00007ffc1a361f95 (__TEXT,__text) non-external +[ODCAction action]
00007ffc4433d908 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._originalThread
00007ffc4433d8d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
00007ffc4433d8e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffc4433d8f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffc4433d8b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffc4433d930 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffc4433d948 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffc4433d938 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffc4433d878 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffc4433d960 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffc4433d8c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffc4433d900 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffc4433d910 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffc4433d918 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffc4433d870 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffc4433d860 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffc4433d850 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffc4433d820 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffc4433d858 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffc4433d7f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffc4433d840 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffc4433d810 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffc4433d818 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffc4433d838 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffc4433d808 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffc4433d830 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffc4433d7f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffc4433d848 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffc4433d828 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffc4433d800 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffc4433d9b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffc4433d998 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffc4433d9b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffc4433d990 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffc4433d9c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffc4433d9d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffc4433d9a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffc4433d9c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffc4433d9a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffc4433da28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffc4433d980 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffc4433d978 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffc4433d988 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffc4433d968 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffc4433d970 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffc4433da10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffc4433da18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffc4433da20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffc4433d9f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffc4433da08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffc4433da00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffc4433d9e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffc4433d9e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffc4433d9f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffc4433d9d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffc4433daa8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffc4433da58 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffc4433db48 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffc4433dc38 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffc4433daf8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffc4433dbe8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffc4433db98 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffc4231ae18 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffc4231ae10 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffc4231ae28 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffc4231ae20 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffc4231ad08 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffc4231ad10 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffc4231ad18 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffc4231ad20 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffc4231ad28 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffc4231ad30 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffc4231adf8 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffc4231adc0 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffc4231adc8 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffc4231ad50 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffc4231ad58 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffc4231ad60 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffc4231ad68 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffc4231ad70 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffc4231ad78 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffc4231ad80 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffc4231ad88 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffc4231ade8 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffc4231ad00 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffc4231ada8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffc4231adb0 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffc4231adb8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffc4231ade0 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffc4231ad38 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffc4231ad40 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffc4231ad48 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffc4231add8 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffc4231add0 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffc4231ae08 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffc4231ae00 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffc4231adf0 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffc4231ad90 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffc4231ad98 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffc4231ada0 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffc1a36e5e0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffc1a36e658 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffc1a36e670 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc1a36e688 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer
00007ffc1a36e6a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffc1a36ecf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction
00007ffc1a36eea8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffc1a36efc8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc1a36f040 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffc1a36f100 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffc1a36f178 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffc4231d3d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffc4231d060 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffc4231dc60 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffc4231e1d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffc4231dad0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffc4231e010 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffc4231deb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffc4231d7d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffc4231d248 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffc4231dd88 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffc4231e1f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffc4231db78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffc4231e0d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffc4231df38 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffc4231da40 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffc4231d340 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffc4231de20 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffc4231e210 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffc4231dbd0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffc4231e140 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffc4231df80 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffc4231d388 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffc4231d018 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffc4231dc18 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffc4231e188 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffc4231da88 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffc4231dfc8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffc4231de68 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffc1a361fe3 (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffc1a369f12 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffc1a35f9f0 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffc1a35fbe3 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffc1a362e42 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffc1a35f9c6 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffc1a35f9dd (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffc1a36f250 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffc1a36f210 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffc1a36e11c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffc1a36e0da (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffc4231ae30 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffc4231ae70 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffc4231acd0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffc4231aca0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffc4231b098 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc4231b0d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffc4231ae50 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc4231b0b8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc4231b0f8 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffc1a35fbf1 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffc1a35fb40 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffc1a35fc08 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffc1a35fb9c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffc1a36e1fb (__TEXT,__text) non-external ___fixup_schema2
00007ffc1a36e211 (__TEXT,__text) non-external ___fixup_schema3
00007ffc1a36e23f (__TEXT,__text) non-external ___fixup_schema4
00007ffc1a36e2f8 (__TEXT,__text) non-external ___fixup_schema5
00007ffc1a36dfb1 (__TEXT,__text) non-external ___get_keyinfo
00007ffc4433dca0 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffc1a36d90d (__TEXT,__text) non-external __schema_construct
00007ffc1a36e3b9 (__TEXT,__text) non-external __schema_construct.cold.1
00007ffc1a36daff (__TEXT,__text) non-external __schema_deconstruct
00007ffc1a36e3b9 (__TEXT,__text) non-external __schema_deconstruct.cold.1
00007ffc1a36e00c (__TEXT,__text) non-external __schema_validate_type
00007ffc4433dc80 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffc1a36e3d1 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffc1a36e3e9 (__TEXT,__text) non-external __schema_validate_type.cold.2
00007ffc4433dc98 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffc4433dc88 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffc4433dc90 (__DATA,__bss) non-external __schema_validate_type.num
00007ffc4433dc70 (__DATA,__bss) non-external __schema_validate_type.once
00007ffc4433dc78 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffc4433dc60 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffc4231b028 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffc4231b030 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffc4231b038 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffc4231b040 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffc4231b048 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffc4231aee0 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffc4231aee8 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffc4231aef0 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffc4231aef8 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffc4231af20 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffc4231af00 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffc4231af08 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffc4231af18 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffc4231af10 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffc4231af28 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffc4231af30 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffc4231af38 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffc4231af40 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffc4231af48 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffc4231af58 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffc4231af50 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffc4231af60 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffc4231af68 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffc4231af70 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffc4231afd0 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffc4231afc8 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffc4231afe8 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffc4231aff0 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffc4231afe0 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffc4231afd8 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffc4231afc0 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffc4231af78 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffc4231af80 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffc4231af90 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffc4231af98 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffc4231afa0 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffc4231afa8 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffc4231af88 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffc4231afb0 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffc4231afb8 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffc4231b050 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffc4231b060 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffc4231b068 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffc4231b070 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffc4231b078 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffc4231b080 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffc4231b088 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffc4231b058 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffc4231b090 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffc1a36f2c0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffc4231b010 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffc4231b020 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffc4231b018 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffc4231b008 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffc4231b000 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffc4231aff8 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffc1a36df52 (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffc4433dc68 (__DATA,__bss) non-external _request_schema
00007ffc1a36da3b (__TEXT,__text) external _schema_construct_request
00007ffc1a36d8f3 (__TEXT,__text) external _schema_construct_requestv
00007ffc1a36de8e (__TEXT,__text) external _schema_construct_result
00007ffc1a36de74 (__TEXT,__text) external _schema_construct_resultv
