0000000247b98a98 (__TEXT,__text) non-external _Done_iODBC
00000002556e3ee0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00000002556e3f38 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00000002556e3fb8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00000002556e3fe0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00000002556e4028 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00000002556e3d28 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00000002556e4050 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00000002556e3568 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00000002556e3170 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00000002556e3588 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00000002556e3238 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00000002556e3258 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00000002556e3308 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00000002556e3608 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00000002556e35b8 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00000002556e2f70 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
0000000247bb0484 (__TEXT,__text) non-external __trace_bufferlen
0000000247bafb44 (__TEXT,__text) non-external __trace_c_type
0000000247bac798 (__TEXT,__text) non-external __trace_colattr2_type
0000000247bacb50 (__TEXT,__text) non-external __trace_colattr3_data
0000000247bac7f8 (__TEXT,__text) non-external __trace_colattr3_type
0000000247ba881c (__TEXT,__text) non-external __trace_connattr_type
0000000247bb07e0 (__TEXT,__text) non-external __trace_connopt_type
0000000247bb2a58 (__TEXT,__text) non-external __trace_connstr
0000000247bb2d80 (__TEXT,__text) non-external __trace_connstr_hidepwd
0000000247bb2cb8 (__TEXT,__text) non-external __trace_connstr_w
0000000247bb1c58 (__TEXT,__text) non-external __trace_data
0000000247ba8b18 (__TEXT,__text) non-external __trace_desc_null
0000000247bac05c (__TEXT,__text) non-external __trace_descfield_type
0000000247bb18d0 (__TEXT,__text) non-external __trace_diag_type
0000000247bae43c (__TEXT,__text) non-external __trace_direction
0000000247bb2b58 (__TEXT,__text) non-external __trace_drvcn_completion
0000000247ba9534 (__TEXT,__text) non-external __trace_envattr_type
0000000247ba9de8 (__TEXT,__text) non-external __trace_fetchtype
0000000247bb3354 (__TEXT,__text) non-external __trace_freestmt_option
0000000247bada70 (__TEXT,__text) non-external __trace_func_name
0000000247bad9a4 (__TEXT,__text) non-external __trace_func_result
0000000247baa07c (__TEXT,__text) non-external __trace_getinfo
0000000247baf45c (__TEXT,__text) non-external __trace_handle
0000000247baf3e8 (__TEXT,__text) non-external __trace_handle_p
0000000247baf388 (__TEXT,__text) non-external __trace_handletype
0000000247bafebc (__TEXT,__text) non-external __trace_inouttype
0000000247baf520 (__TEXT,__text) non-external __trace_integer
0000000247baf6c0 (__TEXT,__text) non-external __trace_integer_p
0000000247baf7f4 (__TEXT,__text) non-external __trace_len
0000000247baf85c (__TEXT,__text) non-external __trace_len_p
0000000247baf590 (__TEXT,__text) non-external __trace_pointer
0000000247baf194 (__TEXT,__text) non-external __trace_print_function
0000000247ba9ef4 (__TEXT,__text) non-external __trace_scrollopt_type
0000000247ba9c08 (__TEXT,__text) non-external __trace_setpos_irow
0000000247ba9ca0 (__TEXT,__text) non-external __trace_setpos_lock
0000000247ba9c40 (__TEXT,__text) non-external __trace_setpos_oper
0000000247baf4b0 (__TEXT,__text) non-external __trace_smallint
0000000247baf5d8 (__TEXT,__text) non-external __trace_smallint_p
0000000247ba9834 (__TEXT,__text) non-external __trace_spcols_null
0000000247ba97d4 (__TEXT,__text) non-external __trace_spcols_scope
0000000247ba9770 (__TEXT,__text) non-external __trace_spcols_type
0000000247bb03a0 (__TEXT,__text) non-external __trace_sql_subtype
0000000247baff1c (__TEXT,__text) non-external __trace_sql_type
0000000247bb0140 (__TEXT,__text) non-external __trace_sql_type_p
0000000247bb3010 (__TEXT,__text) non-external __trace_stats_accuracy
0000000247bb2fac (__TEXT,__text) non-external __trace_stats_unique
0000000247bb0bac (__TEXT,__text) non-external __trace_stmtattr_type
0000000247bb1510 (__TEXT,__text) non-external __trace_stmtopt_type
0000000247baf944 (__TEXT,__text) non-external __trace_string
0000000247bafa28 (__TEXT,__text) non-external __trace_string_w
0000000247baf7a8 (__TEXT,__text) non-external __trace_stringlen
00000002556e4150 (__DATA_CONST,__const) non-external __trace_sym_handletype
0000000247bb2348 (__TEXT,__text) non-external __trace_tran_completion
0000000247bb268c (__TEXT,__text) non-external __trace_typeinfo
0000000247baf558 (__TEXT,__text) non-external __trace_uinteger
0000000247baf734 (__TEXT,__text) non-external __trace_uinteger_p
0000000247baf828 (__TEXT,__text) non-external __trace_ulen
0000000247baf8d0 (__TEXT,__text) non-external __trace_ulen_p
0000000247baf4e8 (__TEXT,__text) non-external __trace_usmallint
0000000247baf64c (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00000002587ca5a2 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
0000000247bb4388 (__TEXT,__text) non-external _dm_SQL_A2W
0000000247bb48c4 (__TEXT,__text) non-external _dm_SQL_U8toW
0000000247bb430c (__TEXT,__text) non-external _dm_SQL_W2A
0000000247bb461c (__TEXT,__text) non-external _dm_SQL_WtoU8
0000000247bb4404 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
0000000247bb4ae0 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
0000000247bb44b4 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
0000000247bb4564 (__TEXT,__text) non-external _dm_strcpy_A2W
0000000247bb45c0 (__TEXT,__text) non-external _dm_strcpy_W2A
0000000247bb6044 (__TEXT,__text) non-external _do_create_dsns
00000002587ca560 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00000002587ca540 (__DATA,__common) non-external _ierror
0000000247bb6198 (__TEXT,__text) non-external _install_from_ini
0000000247bb6664 (__TEXT,__text) non-external _install_from_string
00000002587c9fa8 (__DATA,__data) external _iodbc_version
00000002587ca480 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00000002587ca4c8 (__DATA,__data) non-external _numerrors
00000002587c9fb0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00000002587ca4d0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
0000000247bb6810 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00000002556e23e0 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00000002587ca510 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
0000000247bab90c (__TEXT,__text) non-external _trace_SQLAllocConnect
0000000247bb0714 (__TEXT,__text) non-external _trace_SQLAllocEnv
0000000247bac5c8 (__TEXT,__text) non-external _trace_SQLAllocHandle
0000000247bae338 (__TEXT,__text) non-external _trace_SQLAllocStmt
0000000247bac518 (__TEXT,__text) non-external _trace_SQLBindCol
0000000247bad1fc (__TEXT,__text) non-external _trace_SQLBindParameter
0000000247bb0564 (__TEXT,__text) non-external _trace_SQLBrowseConnect
0000000247bb063c (__TEXT,__text) non-external _trace_SQLBrowseConnectW
0000000247ba96d4 (__TEXT,__text) non-external _trace_SQLBulkOperations
0000000247bb1ba8 (__TEXT,__text) non-external _trace_SQLCancel
0000000247bae3f4 (__TEXT,__text) non-external _trace_SQLCloseCursor
0000000247baca90 (__TEXT,__text) non-external _trace_SQLColAttribute
0000000247bacf50 (__TEXT,__text) non-external _trace_SQLColAttributeW
0000000247bad010 (__TEXT,__text) non-external _trace_SQLColAttributes
0000000247bad0dc (__TEXT,__text) non-external _trace_SQLColAttributesW
0000000247bb1698 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
0000000247bb17b4 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
0000000247baba04 (__TEXT,__text) non-external _trace_SQLColumns
0000000247babb20 (__TEXT,__text) non-external _trace_SQLColumnsW
0000000247bb0f80 (__TEXT,__text) non-external _trace_SQLConnect
0000000247bb106c (__TEXT,__text) non-external _trace_SQLConnectW
0000000247ba9d90 (__TEXT,__text) non-external _trace_SQLCopyDesc
0000000247bae4c8 (__TEXT,__text) non-external _trace_SQLDataSources
0000000247bae5c8 (__TEXT,__text) non-external _trace_SQLDataSourcesW
0000000247ba8bac (__TEXT,__text) non-external _trace_SQLDescribeCol
0000000247ba8cb8 (__TEXT,__text) non-external _trace_SQLDescribeColW
0000000247bb15d8 (__TEXT,__text) non-external _trace_SQLDescribeParam
0000000247bae3ac (__TEXT,__text) non-external _trace_SQLDisconnect
0000000247bb2958 (__TEXT,__text) non-external _trace_SQLDriverConnect
0000000247bb2bb8 (__TEXT,__text) non-external _trace_SQLDriverConnectW
0000000247bad4cc (__TEXT,__text) non-external _trace_SQLDrivers
0000000247bad5cc (__TEXT,__text) non-external _trace_SQLDriversW
0000000247bab8a4 (__TEXT,__text) non-external _trace_SQLEndTran
0000000247ba9034 (__TEXT,__text) non-external _trace_SQLError
0000000247ba9134 (__TEXT,__text) non-external _trace_SQLErrorW
0000000247bae0d4 (__TEXT,__text) non-external _trace_SQLExecDirect
0000000247bae158 (__TEXT,__text) non-external _trace_SQLExecDirectW
0000000247ba9728 (__TEXT,__text) non-external _trace_SQLExecute
0000000247ba9e4c (__TEXT,__text) non-external _trace_SQLExtendedFetch
0000000247bae7d0 (__TEXT,__text) non-external _trace_SQLFetch
0000000247bb0778 (__TEXT,__text) non-external _trace_SQLFetchScroll
0000000247bb1158 (__TEXT,__text) non-external _trace_SQLForeignKeys
0000000247bb12d8 (__TEXT,__text) non-external _trace_SQLForeignKeysW
0000000247bb14c8 (__TEXT,__text) non-external _trace_SQLFreeConnect
0000000247ba9bc0 (__TEXT,__text) non-external _trace_SQLFreeEnv
0000000247bab850 (__TEXT,__text) non-external _trace_SQLFreeHandle
0000000247bb33ac (__TEXT,__text) non-external _trace_SQLFreeStmt
0000000247ba89d0 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
0000000247ba8a74 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
0000000247bb0a0c (__TEXT,__text) non-external _trace_SQLGetConnectOption
0000000247bb0a74 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
0000000247bac650 (__TEXT,__text) non-external _trace_SQLGetCursorName
0000000247bac6f4 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
0000000247bb223c (__TEXT,__text) non-external _trace_SQLGetData
0000000247bac3b8 (__TEXT,__text) non-external _trace_SQLGetDescField
0000000247bac468 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
0000000247ba8dc4 (__TEXT,__text) non-external _trace_SQLGetDescRec
0000000247ba8efc (__TEXT,__text) non-external _trace_SQLGetDescRecW
0000000247bb1a34 (__TEXT,__text) non-external _trace_SQLGetDiagField
0000000247bb1af8 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
0000000247ba9344 (__TEXT,__text) non-external _trace_SQLGetDiagRec
0000000247ba943c (__TEXT,__text) non-external _trace_SQLGetDiagRecW
0000000247ba95c0 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
0000000247bae05c (__TEXT,__text) non-external _trace_SQLGetFunctions
0000000247ba9fcc (__TEXT,__text) non-external _trace_SQLGetInfo
0000000247bab500 (__TEXT,__text) non-external _trace_SQLGetInfoW
0000000247bb0e4c (__TEXT,__text) non-external _trace_SQLGetStmtAttr
0000000247bb0ef0 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
0000000247bb1570 (__TEXT,__text) non-external _trace_SQLGetStmtOption
0000000247bb28b0 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
0000000247bb2904 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
0000000247bb2300 (__TEXT,__text) non-external _trace_SQLMoreResults
0000000247babe84 (__TEXT,__text) non-external _trace_SQLNativeSql
0000000247babf70 (__TEXT,__text) non-external _trace_SQLNativeSqlW
0000000247babc3c (__TEXT,__text) non-external _trace_SQLNumParams
0000000247bb1458 (__TEXT,__text) non-external _trace_SQLNumResultCols
0000000247bad1a8 (__TEXT,__text) non-external _trace_SQLParamData
0000000247bab980 (__TEXT,__text) non-external _trace_SQLParamOptions
0000000247bb3400 (__TEXT,__text) non-external _trace_SQLPrepare
0000000247bb3484 (__TEXT,__text) non-external _trace_SQLPrepareW
0000000247bad6cc (__TEXT,__text) non-external _trace_SQLPrimaryKeys
0000000247bad7b8 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
0000000247bab5b0 (__TEXT,__text) non-external _trace_SQLProcedureColumns
0000000247bab6cc (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
0000000247bad2f4 (__TEXT,__text) non-external _trace_SQLProcedures
0000000247bad3e0 (__TEXT,__text) non-external _trace_SQLProceduresW
0000000247bb1bf0 (__TEXT,__text) non-external _trace_SQLPutData
0000000247ba9664 (__TEXT,__text) non-external _trace_SQLRowCount
0000000247bb2ec4 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
0000000247bb2f38 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
0000000247bb0adc (__TEXT,__text) non-external _trace_SQLSetConnectOption
0000000247bb0b44 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
0000000247bae6c8 (__TEXT,__text) non-external _trace_SQLSetCursorName
0000000247bae74c (__TEXT,__text) non-external _trace_SQLSetCursorNameW
0000000247ba9234 (__TEXT,__text) non-external _trace_SQLSetDescField
0000000247ba92bc (__TEXT,__text) non-external _trace_SQLSetDescFieldW
0000000247bad8a4 (__TEXT,__text) non-external _trace_SQLSetDescRec
0000000247bae1dc (__TEXT,__text) non-external _trace_SQLSetEnvAttr
0000000247ba9d00 (__TEXT,__text) non-external _trace_SQLSetPos
0000000247ba9f58 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
0000000247bae250 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
0000000247bae2c4 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
0000000247bab7e8 (__TEXT,__text) non-external _trace_SQLSetStmtOption
0000000247ba9898 (__TEXT,__text) non-external _trace_SQLSpecialColumns
0000000247ba9a2c (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
0000000247bb3074 (__TEXT,__text) non-external _trace_SQLStatistics
0000000247bb31e4 (__TEXT,__text) non-external _trace_SQLStatisticsW
0000000247babcac (__TEXT,__text) non-external _trace_SQLTablePrivileges
0000000247babd98 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
0000000247bb2454 (__TEXT,__text) non-external _trace_SQLTables
0000000247bb2570 (__TEXT,__text) non-external _trace_SQLTablesW
0000000247bb23ac (__TEXT,__text) non-external _trace_SQLTransact
00000002587ca500 (__DATA,__bss) non-external _trace_appname
0000000247baed78 (__TEXT,__text) non-external _trace_emit
0000000247baf000 (__TEXT,__text) non-external _trace_emit_binary
0000000247baede0 (__TEXT,__text) non-external _trace_emit_string
0000000247baedc4 (__TEXT,__text) non-external _trace_emitc
00000002587ca508 (__DATA,__bss) non-external _trace_fname
00000002587ca520 (__DATA,__bss) non-external _trace_fp
00000002587ca528 (__DATA,__bss) non-external _trace_fp_close
0000000247bae854 (__TEXT,__text) non-external _trace_get_filename
0000000247bae818 (__TEXT,__text) non-external _trace_set_appname
0000000247bae860 (__TEXT,__text) non-external _trace_set_filename
0000000247baeb20 (__TEXT,__text) non-external _trace_start
0000000247baecc4 (__TEXT,__text) non-external _trace_stop
0000000247baeaa8 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
0000000247bb4a64 (__TEXT,__text) non-external _utf8_len
0000000247bb4b84 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00000002587ca5a0 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
