                 (undefined) external _APP_SANDBOX_READ (from libSystem)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
000000021d6cf508 (__DATA,__data) external _PXR_WORK_THREAD_LIMIT
000000020e3b3f58 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfSingletonINS_9SdfSchemaEE15_CreateInstanceEv
000000020e3b422c (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfSingletonINS_9SdfSchemaEE16_DestroyInstanceEv
000000020e3b4198 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfSingletonINS_9SdfSchemaEE22SetInstanceConstructedERS1_
000000021d6d0908 (__DATA,__data) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfSingletonINS_9SdfSchemaEE6_mutexE
000000021d6d08f8 (__DATA,__data) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfSingletonINS_9SdfSchemaEE9_instanceE
000000020e1da49c (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfSingletonINS_9TfRegTestEE11GetInstanceEv
000000020e1da758 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfSingletonINS_9TfRegTestEE14DeleteInstanceEv
000000020e1da6c4 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfSingletonINS_9TfRegTestEE15CurrentlyExistsEv
000000020e1da4b4 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfSingletonINS_9TfRegTestEE15_CreateInstanceEv
000000020e1da770 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfSingletonINS_9TfRegTestEE16_DestroyInstanceEv
000000020e1da6dc (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfSingletonINS_9TfRegTestEE22SetInstanceConstructedERS1_
000000021d6cf2d8 (__DATA,__data) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfSingletonINS_9TfRegTestEE6_mutexE
000000021d6cf2c8 (__DATA,__data) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfSingletonINS_9TfRegTestEE9_instanceE
000000020e1e6784 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfStringifyERKNSt3__112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEE
000000020e1e6764 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfStringifyEb
000000020e1e6ad8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfStringifyEd
000000020e1e69c8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfStringifyEf
000000020e1cd850 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11TfTouchFileERKNSt3__112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEEb
000000020e568184 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI11SetClipSetsERKNS_9SdfListOpINSt3__112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEEEE
000000020e56af50 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI12SetClipTimesERKNS_7VtArrayINS_7GfVec2dEEE
000000020e56b01c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI12SetClipTimesERKNS_7VtArrayINS_7GfVec2dEEERKNSt3__112basic_stringIcNS6_11char_traitsIcEENS6_9allocatorIcEEEE
000000020e56a8e8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI13SetClipActiveERKNS_7VtArrayINS_7GfVec2dEEE
000000020e56a9b4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI13SetClipActiveERKNS_7VtArrayINS_7GfVec2dEEERKNSt3__112basic_stringIcNS6_11char_traitsIcEENS6_9allocatorIcEEEE
000000020e567298 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI14_IsTypedSchemaEv
000000020e56a280 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI15SetClipPrimPathERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e56a34c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI15SetClipPrimPathERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEES9_
000000020e567214 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI16_GetStaticTfTypeEv
000000020e5682c4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI17SetClipAssetPathsERKNS_7VtArrayINS_12SdfAssetPathEEE
000000020e568390 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI17SetClipAssetPathsERKNS_7VtArrayINS_12SdfAssetPathEEERKNSt3__112basic_stringIcNS6_11char_traitsIcEENS6_9allocatorIcEEEE
000000020e56bf54 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI21SetClipTemplateStrideEd
000000020e56c100 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI21SetClipTemplateStrideEdRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e56d3a8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI22SetClipTemplateEndTimeEd
000000020e56d474 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI22SetClipTemplateEndTimeEdRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e567338 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI23GetSchemaAttributeNamesEb
000000020e56923c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI24SetClipManifestAssetPathERKNS_12SdfAssetPathE
000000020e569308 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI24SetClipManifestAssetPathERKNS_12SdfAssetPathERKNSt3__112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEE
000000020e56b8ec (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI24SetClipTemplateAssetPathERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e56b9b8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI24SetClipTemplateAssetPathERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEES9_
000000020e56cd40 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI24SetClipTemplateStartTimeEd
000000020e56ce0c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI24SetClipTemplateStartTimeEdRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e56c72c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI27SetClipTemplateActiveOffsetEd
000000020e56c7a4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI27SetClipTemplateActiveOffsetEdRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e569bb4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI30GenerateClipManifestFromLayersERKNSt3__16vectorINS_9TfWeakPtrINS_8SdfLayerEEENS1_9allocatorIS5_EEEERKNS_7SdfPathE
000000020e569c18 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI31SetInterpolateMissingClipValuesEb
000000020e569ce4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI31SetInterpolateMissingClipValuesEbRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e56707c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI3GetERKNS_9TfWeakPtrINS_8UsdStageEEERKNS_7SdfPathE
000000020e567db4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPI8SetClipsERKNS_12VtDictionaryE
000000020e567054 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPID0Ev
000000020e567050 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPID1Ev
000000020e56704c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdClipsAPID2Ev
000000020e5d8e08 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdDescribeEPKNS_8UsdStageE
000000020e6c8e14 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdDescribeERKNS_13UsdStageCacheE
000000020e5ecaec (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdDescribeERKNS_8TfRefPtrINS_8UsdStageEEE
000000020e5eca90 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdDescribeERKNS_8UsdStageE
000000020e5eca94 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdDescribeERKNS_9TfWeakPtrINS_8UsdStageEEE
000000020e58d02c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdDescribeERKNS_9UsdObjectE
000000020e6fc5b4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCone13ComputeExtentEddRKNS_7TfTokenEPNS_7VtArrayINS_7GfVec3fEEE
000000020e6fc78c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCone13ComputeExtentEddRKNS_7TfTokenERKNS_10GfMatrix4dEPNS_7VtArrayINS_7GfVec3fEEE
000000020e6fbbe8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCone14_IsTypedSchemaEv
000000020e6fbb64 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCone16_GetStaticTfTypeEv
000000020e6fc208 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCone23GetSchemaAttributeNamesEb
000000020e6fb7c4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCone3GetERKNS_9TfWeakPtrINS_8UsdStageEEERKNS_7SdfPathE
000000020e6fb94c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCone6DefineERKNS_9TfWeakPtrINS_8UsdStageEEERKNS_7SdfPathE
000000020e6fb79c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomConeD0Ev
000000020e6fb798 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomConeD1Ev
000000020e6fb794 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomConeD2Ev
000000020e6fd890 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCube13ComputeExtentEdPNS_7VtArrayINS_7GfVec3fEEE
000000020e6fd914 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCube13ComputeExtentEdRKNS_10GfMatrix4dEPNS_7VtArrayINS_7GfVec3fEEE
000000020e6fd23c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCube14_IsTypedSchemaEv
000000020e6fd1b8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCube16_GetStaticTfTypeEv
000000020e6fd59c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCube23GetSchemaAttributeNamesEb
000000020e6fce18 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCube3GetERKNS_9TfWeakPtrINS_8UsdStageEEERKNS_7SdfPathE
000000020e6fcfa0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCube6DefineERKNS_9TfWeakPtrINS_8UsdStageEEERKNS_7SdfPathE
000000020e6fcdf0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCubeD0Ev
000000020e6fcdec (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCubeD1Ev
000000020e6fcde8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomCubeD2Ev
000000020e707048 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomMesh14_IsTypedSchemaEv
000000020e708794 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomMesh16ValidateTopologyERKNS_7VtArrayIiEES4_mPNSt3__112basic_stringIcNS5_11char_traitsIcEENS5_9allocatorIcEEEE
000000020e706fc4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomMesh16_GetStaticTfTypeEv
000000020ec28d44 (__TEXT,__const) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomMesh18SHARPNESS_INFINITEE
000000020e708888 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomMesh19IsSharpnessInfiniteEf
000000020e708168 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomMesh23GetSchemaAttributeNamesEb
000000020e706c24 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomMesh3GetERKNS_9TfWeakPtrINS_8UsdStageEEERKNS_7SdfPathE
000000020e706dac (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomMesh6DefineERKNS_9TfWeakPtrINS_8UsdStageEEERKNS_7SdfPathE
000000020e706bfc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomMeshD0Ev
000000020e706bf8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomMeshD1Ev
000000020e706bf4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdGeomMeshD2Ev
000000020e587d80 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdInherits10AddInheritERKNS_7SdfPathENS_15UsdListPositionE
000000020e588504 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdInherits11SetInheritsERKNSt3__16vectorINS_7SdfPathENS1_9allocatorIS3_EEEE
000000020e588328 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdInherits13ClearInheritsEv
000000020e58804c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdInherits13RemoveInheritERKNS_7SdfPathE
000000020e77fa54 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdLuxLight11CreateInputERKNS_7TfTokenERKNS_16SdfValueTypeNameE
000000020e77f7a0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdLuxLight12CreateOutputERKNS_7TfTokenERKNS_16SdfValueTypeNameE
000000020e77e270 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdLuxLight14_IsTypedSchemaEv
000000020e77e1ec (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdLuxLight16_GetStaticTfTypeEv
000000020e77ef74 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdLuxLight23GetSchemaAttributeNamesEb
000000020e77e05c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdLuxLight3GetERKNS_9TfWeakPtrINS_8UsdStageEEERKNS_7SdfPathE
000000020e77f644 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdLuxLightC1ERKNS_22UsdShadeConnectableAPIE
000000020e77f594 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdLuxLightC2ERKNS_22UsdShadeConnectableAPIE
000000020e77e034 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdLuxLightD0Ev
000000020e77e030 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdLuxLightD1Ev
000000020e77e02c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdLuxLightD2Ev
000000020e5890d0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdModelAPI14_IsTypedSchemaEv
000000020e58904c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdModelAPI16_GetStaticTfTypeEv
000000020e589170 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdModelAPI23GetSchemaAttributeNamesEb
000000020e588eb4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdModelAPI3GetERKNS_9TfWeakPtrINS_8UsdStageEEERKNS_7SdfPathE
000000020e588e8c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdModelAPID0Ev
000000020e588e88 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdModelAPID1Ev
000000020e588e84 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdModelAPID2Ev
000000020e58d1e0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdPayloads10AddPayloadERKNS_10SdfPayloadENS_15UsdListPositionE
000000020e58d588 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdPayloads10AddPayloadERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEERKNS_14SdfLayerOffsetENS_15UsdListPositionE
000000020e58d4f4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdPayloads10AddPayloadERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEERKNS_7SdfPathERKNS_14SdfLayerOffsetENS_15UsdListPositionE
000000020e58dc48 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdPayloads11SetPayloadsERKNSt3__16vectorINS_10SdfPayloadENS1_9allocatorIS3_EEEE
000000020e58da6c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdPayloads13ClearPayloadsEv
000000020e58d750 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdPayloads13RemovePayloadERKNS_10SdfPayloadE
000000020e58d680 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdPayloads18AddInternalPayloadERKNS_7SdfPathERKNS_14SdfLayerOffsetENS_15UsdListPositionE
000000021d91d2a0 (__DATA,__common) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdRiTokensE
000000020e7f38d0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdSkelRoot14_IsTypedSchemaEv
000000020e7f384c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdSkelRoot16_GetStaticTfTypeEv
000000020e7f3970 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdSkelRoot23GetSchemaAttributeNamesEb
000000020e7f34ac (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdSkelRoot3GetERKNS_9TfWeakPtrINS_8UsdStageEEERKNS_7SdfPathE
000000020e7f3a84 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdSkelRoot4FindERKNS_7UsdPrimE
000000020e7f3634 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdSkelRoot6DefineERKNS_9TfWeakPtrINS_8UsdStageEEERKNS_7SdfPathE
000000020e7f3484 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdSkelRootD0Ev
000000020e7f3480 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdSkelRootD1Ev
000000020e7f347c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdSkelRootD2Ev
000000021d91d2b0 (__DATA,__common) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11UsdUITokensE
000000020e49e340 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11Usd_ClipSet3NewERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEERKNS_21Usd_ClipSetDefinitionEPS7_
000000020e49e8f0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11Usd_ClipSetC1ERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEERKNS_21Usd_ClipSetDefinitionE
000000020e49e8f4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11Usd_ClipSetC2ERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEERKNS_21Usd_ClipSetDefinitionE
000000020e3dc614 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11VtStreamOutERKNSt3__13mapINS0_12basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEES7_NS0_4lessIS7_EENS5_INS0_4pairIKS7_S7_EEEEEERNS0_13basic_ostreamIcS4_EE
000000020e274e04 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11VtStreamOutERKNSt3__16vectorINS_7VtValueENS0_9allocatorIS2_EEEERNS0_13basic_ostreamIcNS0_11char_traitsIcEEEE
000000020e253dcc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11VtStreamOutERKaRNSt3__113basic_ostreamIcNS2_11char_traitsIcEEEE
000000020e253d9c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11VtStreamOutERKbRNSt3__113basic_ostreamIcNS2_11char_traitsIcEEEE
000000020e253dac (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11VtStreamOutERKcRNSt3__113basic_ostreamIcNS2_11char_traitsIcEEEE
000000020e253de8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11VtStreamOutERKdRNSt3__113basic_ostreamIcNS2_11char_traitsIcEEEE
000000020e253ddc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11VtStreamOutERKfRNSt3__113basic_ostreamIcNS2_11char_traitsIcEEEE
000000020e253dbc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__11VtStreamOutERKhRNSt3__113basic_ostreamIcNS2_11char_traitsIcEEEE
000000020e18eb84 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12ArchDemangleEPNSt3__112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEE
000000020e19acd8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12ArchNormPathERKNSt3__112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEEb
000000020e19abf4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12ArchOpenFileEPKcS1_
000000020e19c128 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12ArchReadLinkEPKc
000000020e19ab88 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12ArchStrerrorEi
000000020e19ab14 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12ArchStrerrorEv
000000020e19aa80 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12Arch_WarningEPKcS1_mS1_
000000020e1fbaac (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12GfApplyGammaERKNS_7GfVec3dEd
000000020e1fba34 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12GfApplyGammaERKNS_7GfVec3fEd
000000020e1fbb18 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12GfApplyGammaERKNS_7GfVec3hEd
000000020e1fbd00 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12GfApplyGammaERKNS_7GfVec4dEd
000000020e1fbc84 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12GfApplyGammaERKNS_7GfVec4fEd
000000020e1fbd70 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12GfApplyGammaERKNS_7GfVec4hEd
000000020e1fbee4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12GfApplyGammaERKfd
000000020e1fbf0c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12GfApplyGammaERKhd
000000020e20a3e8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12GfQuaternion9NormalizeEd
000000020e20a494 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12GfQuaternionmLERKS0_
000000020e20a508 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12GfQuaternionmLEd
000000020e955ad8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12HdBufferSpec12ComputeUnionERKNSt3__16vectorIS0_NS1_9allocatorIS0_EEEES7_
000000020e955bec (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12HdBufferSpec17ComputeDifferenceERKNSt3__16vectorIS0_NS1_9allocatorIS0_EEEES7_
000000020e955d4c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12HdBufferSpec4DumpERKNSt3__16vectorIS0_NS1_9allocatorIS0_EEEE
000000020e9559dc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12HdBufferSpec8IsSubsetERKNSt3__16vectorIS0_NS1_9allocatorIS0_EEEES7_
000000021d91d3d8 (__DATA,__common) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12HdPerfTokensE
000000020e97d6c8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__12HdPrimGather12_FilterRangeERKNSt3__16vectorINS_7SdfPathENS1_9allocatorIS3_EEEEmmb
