00007ffc042acd14 (__TEXT,__text) non-external +[ODCAction action]
00007ffc42549330 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffc42549320 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffc42549260 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffc42549348 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffc425492a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffc425492e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffc425492f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffc42549300 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffc42549258 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffc42549248 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffc42549238 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffc42549208 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffc42549240 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffc425491e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffc42549228 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffc425491f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffc42549200 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffc42549220 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffc425491f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffc42549218 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffc425491d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffc42549230 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffc42549210 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffc425491e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffc42549398 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffc42549380 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffc425493a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffc42549378 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffc425493a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffc425493b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffc42549390 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffc425493b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffc42549388 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffc42549410 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffc42549368 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffc42549360 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffc42549370 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffc42549350 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffc42549358 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffc425493f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffc42549400 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffc42549408 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffc425493e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffc425493f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffc425493e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffc425493d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffc425493c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffc425493d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffc425493c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffc42549490 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffc42549440 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffc42549530 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffc42549620 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffc425494e0 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffc425495d0 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffc42549580 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffc4059fa68 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffc4059fa60 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffc4059fa78 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffc4059fa70 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffc4059f958 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffc4059f960 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffc4059f968 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffc4059f970 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffc4059f978 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffc4059f980 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffc4059fa48 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffc4059fa10 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffc4059fa18 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffc4059f9a0 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffc4059f9a8 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffc4059f9b0 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffc4059f9b8 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffc4059f9c0 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffc4059f9c8 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffc4059f9d0 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffc4059f9d8 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffc4059fa38 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffc4059f950 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffc4059f9f8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffc4059fa00 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffc4059fa08 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffc4059fa30 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffc4059f988 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffc4059f990 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffc4059f998 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffc4059fa28 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffc4059fa20 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffc4059fa58 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffc4059fa50 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffc4059fa40 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffc4059f9e0 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffc4059f9e8 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffc4059f9f0 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffc042b93f0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffc042b9468 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffc042b9480 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc042b9498 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer
00007ffc042b94b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffc042b9b08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction
00007ffc042b9cb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffc042b9dd8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc042b9e50 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffc042b9f10 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffc042b9f88 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffc405a2020 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffc405a1cb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffc405a28b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffc405a2e20 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffc405a2720 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffc405a2c60 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffc405a2b00 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffc405a2428 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffc405a1e98 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffc405a29d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffc405a2e48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffc405a27c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffc405a2d28 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffc405a2b88 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffc405a2690 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffc405a1f90 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffc405a2a70 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffc405a2e60 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffc405a2820 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffc405a2d90 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffc405a2bd0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffc405a1fd8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffc405a1c68 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffc405a2868 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffc405a2dd8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffc405a26d8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffc405a2c18 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffc405a2ab8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffc042acd62 (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffc042b4d41 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffc042aa7c7 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffc042aa9ba (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffc042adbc9 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffc042aa79d (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffc042aa7b4 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffc042ba060 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffc042ba020 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffc042b8f5c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffc042b8f1a (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffc4059fa80 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffc4059fac0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffc4059f920 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffc4059f8f0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffc4059fce8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc4059fd28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffc4059faa0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc4059fd08 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc4059fd48 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffc042aa9c8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffc042aa917 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffc042aa9df (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffc042aa973 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffc042b903b (__TEXT,__text) non-external ___fixup_schema2
00007ffc042b9051 (__TEXT,__text) non-external ___fixup_schema3
00007ffc042b907f (__TEXT,__text) non-external ___fixup_schema4
00007ffc042b9138 (__TEXT,__text) non-external ___fixup_schema5
00007ffc042b8ddf (__TEXT,__text) non-external ___get_keyinfo
00007ffc42549688 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffc042b8704 (__TEXT,__text) non-external __schema_construct
00007ffc042b8907 (__TEXT,__text) non-external __schema_deconstruct
00007ffc042b8e3a (__TEXT,__text) non-external __schema_validate_type
00007ffc42549668 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffc042b91f9 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffc42549680 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffc42549670 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffc42549678 (__DATA,__bss) non-external __schema_validate_type.num
00007ffc42549658 (__DATA,__bss) non-external __schema_validate_type.once
00007ffc42549660 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffc42549648 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffc4059fc78 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffc4059fc80 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffc4059fc88 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffc4059fc90 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffc4059fc98 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffc4059fb30 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffc4059fb38 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffc4059fb40 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffc4059fb48 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffc4059fb70 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffc4059fb50 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffc4059fb58 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffc4059fb68 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffc4059fb60 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffc4059fb78 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffc4059fb80 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffc4059fb88 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffc4059fb90 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffc4059fb98 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffc4059fba8 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffc4059fba0 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffc4059fbb0 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffc4059fbb8 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffc4059fbc0 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffc4059fc20 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffc4059fc18 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffc4059fc38 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffc4059fc40 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffc4059fc30 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffc4059fc28 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffc4059fc10 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffc4059fbc8 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffc4059fbd0 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffc4059fbe0 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffc4059fbe8 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffc4059fbf0 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffc4059fbf8 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffc4059fbd8 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffc4059fc00 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffc4059fc08 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffc4059fca0 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffc4059fcb0 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffc4059fcb8 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffc4059fcc0 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffc4059fcc8 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffc4059fcd0 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffc4059fcd8 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffc4059fca8 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffc4059fce0 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffc042ba0d0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffc4059fc60 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffc4059fc70 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffc4059fc68 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffc4059fc58 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffc4059fc50 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffc4059fc48 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffc042b8d80 (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffc42549650 (__DATA,__bss) non-external _request_schema
00007ffc042b8843 (__TEXT,__text) external _schema_construct_request
00007ffc042b86ea (__TEXT,__text) external _schema_construct_requestv
00007ffc042b8cbc (__TEXT,__text) external _schema_construct_result
00007ffc042b8ca2 (__TEXT,__text) external _schema_construct_resultv
00007ffc042b88ed (__TEXT,__text) external _schema_deconstruct_request
00007ffc042b8d66 (__TEXT,__text) external _schema_deconstruct_result
00007ffc042b8be1 (__TEXT,__text) external _schema_get_callback
00007ffc042b8b56 (__TEXT,__text) external _schema_set_callback
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _uuid_unparse_upper (from libSystem)
                 (undefined) external _xpc_copy (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_set_int64 (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
