00000001a0175840 (__TEXT,__text) non-external +[Calculate _lock]
00000001a0165e68 (__TEXT,__text) non-external -[UnitRanks isAmbiguous]
00000001a0165cb0 (__TEXT,__text) non-external -[UnitRanks ranks]
00000001a0165ca4 (__TEXT,__text) non-external -[UnitRanks setRanks:]
00000001a0165c28 (__TEXT,__text) non-external -[UnitRanks setUnits:]
00000001a0165c3c (__TEXT,__text) non-external -[UnitRanks setUnitsInfo:]
00000001a0165eac (__TEXT,__text) non-external -[UnitRanks sort]
00000001a0165c48 (__TEXT,__text) non-external -[UnitRanks unitsInfo]
00000001a0165c34 (__TEXT,__text) non-external -[UnitRanks units]
00000001a01667d0 (__TEXT,__text) non-external -[UnitTypeInfo .cxx_destruct]
00000001a0166858 (__TEXT,__text) non-external -[UnitTypeInfo baseUnit]
00000001a01668e8 (__TEXT,__text) non-external -[UnitTypeInfo decompositionCoefficient]
00000001a01668bc (__TEXT,__text) non-external -[UnitTypeInfo decomposition]
00000001a0166834 (__TEXT,__text) non-external -[UnitTypeInfo isCurrency]
00000001a01668fc (__TEXT,__text) non-external -[UnitTypeInfo isDecomposable]
00000001a0166844 (__TEXT,__text) non-external -[UnitTypeInfo isTemperature]
00000001a0166824 (__TEXT,__text) non-external -[UnitTypeInfo isVolume]
00000001a0166910 (__TEXT,__text) non-external -[UnitTypeInfo name]
00000001a016684c (__TEXT,__text) non-external -[UnitTypeInfo setBaseUnit:]
00000001a0166898 (__TEXT,__text) non-external -[UnitTypeInfo setDecomposition:]
00000001a01668e0 (__TEXT,__text) non-external -[UnitTypeInfo setDecompositionCoefficient:]
00000001a016682c (__TEXT,__text) non-external -[UnitTypeInfo setIsCurrency:]
00000001a01668f4 (__TEXT,__text) non-external -[UnitTypeInfo setIsDecomposable:]
00000001a016683c (__TEXT,__text) non-external -[UnitTypeInfo setIsTemperature:]
00000001a016681c (__TEXT,__text) non-external -[UnitTypeInfo setIsVolume:]
00000001a0166904 (__TEXT,__text) non-external -[UnitTypeInfo setName:]
00000001a0166918 (__TEXT,__text) non-external -[UnitTypeInfo setUnitType:]
00000001a0166884 (__TEXT,__text) non-external -[UnitTypeInfo setUnits:]
00000001a0166920 (__TEXT,__text) non-external -[UnitTypeInfo unitType]
00000001a0166890 (__TEXT,__text) non-external -[UnitTypeInfo units]
00000001a0166928 (__TEXT,__text) non-external -[UnitsInfo .cxx_destruct]
00000001a0166a24 (__TEXT,__text) non-external -[UnitsInfo angleInfo]
00000001a01669ec (__TEXT,__text) non-external -[UnitsInfo degreesInfo]
00000001a0166ac0 (__TEXT,__text) non-external -[UnitsInfo infoForAngle]
00000001a0166abc (__TEXT,__text) non-external -[UnitsInfo infoForDegrees]
00000001a0166ab8 (__TEXT,__text) non-external -[UnitsInfo infoForRadians]
00000001a0166b4c (__TEXT,__text) non-external -[UnitsInfo infoForUnitID:]
00000001a0166acc (__TEXT,__text) non-external -[UnitsInfo infoForUnitName:]
00000001a0166c74 (__TEXT,__text) non-external -[UnitsInfo infoForUnitType:]
00000001a0166bf4 (__TEXT,__text) non-external -[UnitsInfo infoForUnitTypeName:]
00000001a0166d20 (__TEXT,__text) non-external -[UnitsInfo initWithDictionary:]
00000001a0166ac4 (__TEXT,__text) non-external -[UnitsInfo objectAtIndexedSubscript:]
00000001a0166ac8 (__TEXT,__text) non-external -[UnitsInfo objectForKeyedSubscript:]
00000001a0167e94 (__TEXT,__text) non-external -[UnitsInfo populateSubunitIDs:forUnit:visited:]
00000001a01669b4 (__TEXT,__text) non-external -[UnitsInfo radiansInfo]
00000001a0166a18 (__TEXT,__text) non-external -[UnitsInfo setAngleInfo:]
00000001a01669e0 (__TEXT,__text) non-external -[UnitsInfo setDegreesInfo:]
00000001a01669a8 (__TEXT,__text) non-external -[UnitsInfo setRadiansInfo:]
00000001a0166a78 (__TEXT,__text) non-external -[UnitsInfo setUnitIDToInfo:]
00000001a0166a8c (__TEXT,__text) non-external -[UnitsInfo setUnitNameToInfo:]
00000001a0166a64 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeNameToInfo:]
00000001a0166a50 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeToInfo:]
00000001a0166aa8 (__TEXT,__text) non-external -[UnitsInfo unitCount]
00000001a0166a84 (__TEXT,__text) non-external -[UnitsInfo unitIDToInfo]
00000001a0166a98 (__TEXT,__text) non-external -[UnitsInfo unitNameToInfo]
00000001a0166ab0 (__TEXT,__text) non-external -[UnitsInfo unitNames]
00000001a0166aa0 (__TEXT,__text) non-external -[UnitsInfo unitTypeCount]
00000001a0166a70 (__TEXT,__text) non-external -[UnitsInfo unitTypeNameToInfo]
00000001a0166a5c (__TEXT,__text) non-external -[UnitsInfo unitTypeToInfo]
00000001a02deb10 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001a02deb3c (__TEXT,__gcc_except_tab) non-external GCC_except_table30
00000001a02deb4c (__TEXT,__gcc_except_tab) non-external GCC_except_table33
00000001a02deb90 (__TEXT,__gcc_except_tab) non-external GCC_except_table411
00000001a02df2a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table420
00000001a02deb5c (__TEXT,__gcc_except_tab) non-external GCC_except_table43
00000001a02df2c8 (__TEXT,__gcc_except_tab) non-external GCC_except_table591
00000001a02df3d4 (__TEXT,__gcc_except_tab) non-external GCC_except_table606
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFPreferencesSetAppValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringTokenizerAdvanceToNextToken (from CoreFoundation)
                 (undefined) external _CFStringTokenizerCreate (from CoreFoundation)
                 (undefined) external _CFStringTokenizerGetCurrentTokenRange (from CoreFoundation)
00000001a0175d00 (__TEXT,__text) external _CalculateExpression
00000001a0175a1c (__TEXT,__text) external _CalculateExpressionError
00000001a0175d08 (__TEXT,__text) external _CalculateInternationalExpression
00000001ef9b5328 (__DATA_CONST,__const) external _CalculateKeyAllowConversions
00000001ef9b5318 (__DATA_CONST,__const) external _CalculateKeyAllowPartialExpressions
00000001ef9b5320 (__DATA_CONST,__const) external _CalculateKeyAllowUnits
00000001ef9b5300 (__DATA_CONST,__const) external _CalculateKeyAutoScientificNotation
00000001ef9b5310 (__DATA_CONST,__const) external _CalculateKeyConvertTrivial
00000001ef9b5340 (__DATA_CONST,__const) external _CalculateKeyEngine
00000001ef9b5350 (__DATA_CONST,__const) external _CalculateKeyExpectedUnitTypes
00000001ef9b5308 (__DATA_CONST,__const) external _CalculateKeyFlexibleFractionDigits
00000001ef9b5348 (__DATA_CONST,__const) external _CalculateKeyIgnoreProbableSearches
00000001ef9b52f0 (__DATA_CONST,__const) external _CalculateKeyLocales
00000001ef9b5358 (__DATA_CONST,__const) external _CalculateKeyLocalizeUnit
00000001ef9b5330 (__DATA_CONST,__const) external _CalculateKeyMaximumConversions
00000001ef9b52f8 (__DATA_CONST,__const) external _CalculateKeyNumberFormatter
00000001ef9b5338 (__DATA_CONST,__const) external _CalculateKeyPreferMixedUnits
00000001a016582c (__TEXT,__text) non-external _CalculateLogForCategory
00000001e73ca978 (__DATA,__bss) non-external _CalculateLogForCategory.logObjects.0
00000001e73ca980 (__DATA,__bss) non-external _CalculateLogForCategory.loggingToken
00000001a0175a10 (__TEXT,__text) external _CalculatePerformExpression
00000001a0154940 (__TEXT,__text) non-external _CountLeadingZeros
00000001e73ca920 (__DATA,__bss) non-external _DecimalPi.initialized
00000001e73ca910 (__DATA,__bss) non-external _DecimalPi.pi.0
00000001a015cc50 (__TEXT,__text) non-external _DecimalToDegrees
00000001e73ca960 (__DATA,__bss) non-external _DecimalToDegrees.initialized
00000001e73ca950 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.0
00000001e73ca940 (__DATA,__bss) non-external _DecimalToRadians.initialized
00000001e73ca930 (__DATA,__bss) non-external _DecimalToRadians.to_radians.0
00000001e73ca8e0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.initialized
00000001e73ca8d0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.0
00000001e73ca900 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.initialized
00000001e73ca8f0 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.0
00000001e73ca8a0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.initialized
00000001e73ca890 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.0
00000001e73ca8c0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.initialized
00000001e73ca8b0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.0
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSCurrentLocaleDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSDecimalCompare (from Foundation)
                 (undefined) external _NSLocaleCurrencyCode (from CoreFoundation)
                 (undefined) external _NSLocaleGroupingSeparator (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystem (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemMetric (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUK (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUS (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnit (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnitCelsius (from CoreFoundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringTransformStripDiacritics (from CoreFoundation)
00000001e8aa7580 (__AUTH,__objc_data) external _OBJC_CLASS_$_Calculate
00000001e8aa7698 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateRequest
00000001e8aa7620 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateResult
00000001e8aa75f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateTerm
00000001e8aa7710 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_CalculateToken
00000001e8aa7760 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_CalculateTokenizer
00000001e8aa75a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateUnit
00000001e8aa7328 (__AUTH,__objc_data) external _OBJC_CLASS_$_Converter
00000001e8aa7350 (__AUTH,__objc_data) external _OBJC_CLASS_$_CurrencyCache
00000001e8aa7800 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_Localize
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCache (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendar (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDoubleNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumberHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableURLRequest (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OACredential (from OAuth)
                 (undefined) external _OBJC_CLASS_$_OAURLRequestSigner (from OAuth)
00000001e8aa7788 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_Trie
00000001e8aa7508 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_TrieNode
00000001e8aa7440 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitInfo
00000001e8aa77d8 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitRank
00000001e8aa77b0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitRanks
00000001e8aa74b8 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitTypeInfo
00000001e8aa7850 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitsInfo
                 (undefined) external _OBJC_EHTYPE_id (from libobjc)
00000001e73ca204 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._expression
00000001e73ca200 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._isCanceled
00000001e73ca208 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._options
00000001e73ca20c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._result
00000001e73ca210 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._resultHandler
00000001e73ca1ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._autoScientificNotation
00000001e73ca1e4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._conversions
00000001e73ca1cc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._expression
00000001e73ca1b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._flexibleFractionDigits
00000001e73ca1b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._hasStaleCurrencyData
00000001e73ca1e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._inputValueAndUnit
00000001e73ca1b4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._isTrivial
00000001e73ca1d4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._locales
00000001e73ca1c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._localizeUnit
00000001e73ca1d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._numberFormatter
00000001e73ca1e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parent
00000001e73ca1ec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parseTree
00000001e73ca1f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._resultTree
00000001e73ca1c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._singleUnitID
00000001e73ca1bc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._synchronous
00000001e73ca1dc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._terms
00000001e73ca1fc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._typeInfo
00000001e73ca1c4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitExponent
00000001e73ca1f4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitFormat
00000001e73ca1d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitType
00000001e73ca1f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitsInfo
00000001e73ca1a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._decimalValue
00000001e73ca1a4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._result
00000001e73ca1a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._units
00000001e73ca19c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._value
00000001e73ca220 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._range
00000001e73ca21c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._ranks
00000001e73ca218 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._text
00000001e73ca214 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._tokenType
00000001e73ca224 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._index
00000001e73ca244 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._lastToken
00000001e73ca22c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._locales
00000001e73ca23c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekIndex
00000001e73ca240 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekTokens
00000001e73ca228 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._string
00000001e73ca238 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._stringLength
00000001e73ca234 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._trie
00000001e73ca230 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._unitsInfo
00000001e73ca248 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndices
00000001e73ca24c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndicesIndex
00000001e73ca188 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._exponent
00000001e73ca18c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._name
00000001e73ca194 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._nextSmallest
00000001e73ca198 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitInfo
00000001e73ca190 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitType
00000001e73ca27c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._additionalResults
00000001e73ca280 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._conversionType
00000001e73ca278 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._currencyUpdateTimeOut
00000001e73ca250 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputString
00000001e73ca254 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputUnit
00000001e73ca260 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputValue
00000001e73ca274 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._isCurrency
00000001e73ca264 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedInputValueAndUnit
00000001e73ca270 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputUnit
00000001e73ca26c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValue
00000001e73ca268 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValueAndUnit
00000001e73ca258 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputUnit
00000001e73ca25c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputValue
00000001e73ca060 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currencyData
00000001e73ca064 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentCurrency
00000001e73ca068 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentRate
00000001e73ca06c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentString
00000001e73ca054 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._lastRefreshDate
00000001e73ca078 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lastRefreshTimeInternal
00000001e73ca07c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lock
00000001e73ca070 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._mutableCurrencyCache
00000001e73ca058 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._refreshInterval
00000001e73ca074 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._serializer
00000001e73ca05c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._timeout
00000001e73ca050 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._uuid
00000001e73ca15c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._autocompress
00000001e73ca164 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterCount
00000001e73ca168 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterSize
00000001e73ca178 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characters
00000001e73ca160 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._compressed
00000001e73ca184 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._firstByteCache
00000001e73ca16c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeCount
00000001e73ca170 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeSize
00000001e73ca17c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodes
00000001e73ca180 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._objects
00000001e73ca174 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._root
00000001e73ca150 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._node
00000001e73ca154 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._offset
00000001e73ca158 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._trie
00000001e73ca0f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._allSubunitIDs
00000001e73ca0fc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseDenominator
00000001e73ca0f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseNumerator
00000001e73ca0e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._bestEquivalent
00000001e73ca0c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._doNotSuggest
00000001e73ca0cc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._formatNextSmallest
00000001e73ca0b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._impliesDivision
00000001e73ca0b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isBaseUnit
00000001e73ca0c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isCelsius
00000001e73ca0b4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isDisplayName
00000001e73ca0bc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isFahrenheit
00000001e73ca0ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isInverted
00000001e73ca0c4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isKelvin
00000001e73ca0f4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._localizationToCompactName
00000001e73ca0e4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._measurementSystem
00000001e73ca0d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._name
00000001e73ca0e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._nextSmallest
00000001e73ca0ec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._subunitIDs
00000001e73ca0dc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._typeInfo
00000001e73ca0d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitID
00000001e73ca0d4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitType
00000001e73ca08c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._context
00000001e73ca088 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._locale
00000001e73ca084 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._rank
00000001e73ca080 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._unitID
00000001e73ca09c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsCurrency
00000001e73ca090 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsFrom
00000001e73ca094 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsTo
00000001e73ca098 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsUnit
00000001e73ca0a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._ranks
00000001e73ca0a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._units
00000001e73ca0a4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._unitsInfo
00000001e73ca11c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._baseUnit
00000001e73ca124 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decomposition
00000001e73ca120 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decompositionCoefficient
00000001e73ca108 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isCurrency
00000001e73ca100 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isDecomposable
00000001e73ca104 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isTemperature
00000001e73ca10c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isVolume
00000001e73ca114 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._name
00000001e73ca110 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._unitType
00000001e73ca118 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._units
00000001e73ca144 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._angleInfo
00000001e73ca148 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._degreesInfo
