00007ffb1f6cb257 (__TEXT,__text) non-external _Done_iODBC
00007ffb409dd4d0 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffb409dd360 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffb409dd4f0 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffb409dcff0 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffb409dd0c0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffb409ddd40 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffb409dd0e0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffb409dd0f0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffb409dd510 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffb409ddd60 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffb409ddd80 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffb409dd580 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffb409dd550 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffb409ddda0 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffb409dd110 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffb409dd140 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffb409dde00 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffb409dde20 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffb409dde50 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffb409dde80 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffb409ddef0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffb409ddf30 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffb409ddfb0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffb409de010 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffb409de090 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffb409de0c0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffb409de110 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffb409dddd0 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffb409de140 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffb409dd5a0 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffb409dd170 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffb409dd5c0 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffb409dd240 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffb409dd260 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffb409dd310 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffb409dd640 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffb409dd5f0 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffb409dcf40 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffb1f6e25eb (__TEXT,__text) non-external __trace_bufferlen
00007ffb1f6e1e05 (__TEXT,__text) non-external __trace_c_type
00007ffb1f6df2cc (__TEXT,__text) non-external __trace_colattr2_type
00007ffb1f6df5d5 (__TEXT,__text) non-external __trace_colattr3_data
00007ffb1f6df30a (__TEXT,__text) non-external __trace_colattr3_type
00007ffb1f6dbaf0 (__TEXT,__text) non-external __trace_connattr_type
00007ffb1f6e28cc (__TEXT,__text) non-external __trace_connopt_type
00007ffb1f6e4607 (__TEXT,__text) non-external __trace_connstr
00007ffb1f6e4895 (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffb1f6e47f4 (__TEXT,__text) non-external __trace_connstr_w
00007ffb1f6e3920 (__TEXT,__text) non-external __trace_data
00007ffb1f6dbd78 (__TEXT,__text) non-external __trace_desc_null
00007ffb1f6deca0 (__TEXT,__text) non-external __trace_descfield_type
00007ffb1f6e3664 (__TEXT,__text) non-external __trace_diag_type
00007ffb1f6e0aac (__TEXT,__text) non-external __trace_direction
00007ffb1f6e46d3 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffb1f6dc652 (__TEXT,__text) non-external __trace_envattr_type
00007ffb1f6dccc8 (__TEXT,__text) non-external __trace_fetchtype
00007ffb1f6e4d40 (__TEXT,__text) non-external __trace_freestmt_option
00007ffb1f6e0281 (__TEXT,__text) non-external __trace_func_name
00007ffb1f6e01d4 (__TEXT,__text) non-external __trace_func_result
00007ffb1f6dcebc (__TEXT,__text) non-external __trace_getinfo
00007ffb1f6e1947 (__TEXT,__text) non-external __trace_handle
00007ffb1f6e18e2 (__TEXT,__text) non-external __trace_handle_p
00007ffb1f6e18a4 (__TEXT,__text) non-external __trace_handletype
00007ffb1f6e2110 (__TEXT,__text) non-external __trace_inouttype
00007ffb1f6e19b9 (__TEXT,__text) non-external __trace_integer
00007ffb1f6e1ad1 (__TEXT,__text) non-external __trace_integer_p
00007ffb1f6e1baa (__TEXT,__text) non-external __trace_len
00007ffb1f6e1be4 (__TEXT,__text) non-external __trace_len_p
00007ffb1f6e19f2 (__TEXT,__text) non-external __trace_pointer
00007ffb1f6e1716 (__TEXT,__text) non-external __trace_print_function
00007ffb1f6dcd98 (__TEXT,__text) non-external __trace_scrollopt_type
00007ffb1f6dcb95 (__TEXT,__text) non-external __trace_setpos_irow
00007ffb1f6dcbef (__TEXT,__text) non-external __trace_setpos_lock
00007ffb1f6dcbb1 (__TEXT,__text) non-external __trace_setpos_oper
00007ffb1f6e1980 (__TEXT,__text) non-external __trace_smallint
00007ffb1f6e1a2a (__TEXT,__text) non-external __trace_smallint_p
00007ffb1f6dc878 (__TEXT,__text) non-external __trace_spcols_null
00007ffb1f6dc83a (__TEXT,__text) non-external __trace_spcols_scope
00007ffb1f6dc7f9 (__TEXT,__text) non-external __trace_spcols_type
00007ffb1f6e2530 (__TEXT,__text) non-external __trace_sql_subtype
00007ffb1f6e214e (__TEXT,__text) non-external __trace_sql_type
00007ffb1f6e2324 (__TEXT,__text) non-external __trace_sql_type_p
00007ffb1f6e4a83 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffb1f6e4a44 (__TEXT,__text) non-external __trace_stats_unique
00007ffb1f6e2bb0 (__TEXT,__text) non-external __trace_stmtattr_type
00007ffb1f6e3360 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffb1f6e1c8a (__TEXT,__text) non-external __trace_string
00007ffb1f6e1d33 (__TEXT,__text) non-external __trace_string_w
00007ffb1f6e1b76 (__TEXT,__text) non-external __trace_stringlen
00007ffb409de160 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffb1f6e404d (__TEXT,__text) non-external __trace_tran_completion
00007ffb1f6e42e8 (__TEXT,__text) non-external __trace_typeinfo
00007ffb1f6e19d6 (__TEXT,__text) non-external __trace_uinteger
00007ffb1f6e1b24 (__TEXT,__text) non-external __trace_uinteger_p
00007ffb1f6e1bc7 (__TEXT,__text) non-external __trace_ulen
00007ffb1f6e1c37 (__TEXT,__text) non-external __trace_ulen_p
00007ffb1f6e199d (__TEXT,__text) non-external __trace_usmallint
00007ffb1f6e1a7e (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffb42d38002 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffb1f6e5bc7 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffb1f6e60d6 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffb1f6e5b62 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffb1f6e5e10 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffb1f6e5c30 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffb1f6e62d0 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffb1f6e5cd5 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffb1f6e5d77 (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffb1f6e5dc5 (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffb1f6e7832 (__TEXT,__text) non-external _do_create_dsns
00007ffb42d37fc0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffb42d37fa0 (__DATA,__common) non-external _ierror
00007ffb1f6e7957 (__TEXT,__text) non-external _install_from_ini
00007ffb1f6e7e26 (__TEXT,__text) non-external _install_from_string
00007ffb42d37a00 (__DATA,__data) external _iodbc_version
00007ffb42d37ee0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffb42d37f28 (__DATA,__data) non-external _numerrors
00007ffb42d37a10 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffb42d37f30 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffb1f6e7fcd (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffb409dc480 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffb42d37f70 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffb1f6de68e (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffb1f6e2838 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffb1f6df15c (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffb1f6e09ff (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffb1f6df0c2 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffb1f6dfb46 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffb1f6e26be (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffb1f6e277b (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffb1f6dc79b (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffb1f6e38ab (__TEXT,__text) non-external _trace_SQLCancel
00007ffb1f6e0a82 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffb1f6df540 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffb1f6df920 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffb1f6df9b8 (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffb1f6dfa65 (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffb1f6e3489 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffb1f6e3575 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffb1f6de74f (__TEXT,__text) non-external _trace_SQLColumns
00007ffb1f6de83b (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffb1f6e2ed8 (__TEXT,__text) non-external _trace_SQLConnect
00007ffb1f6e2f93 (__TEXT,__text) non-external _trace_SQLConnectW
00007ffb1f6dcc8f (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffb1f6e0b10 (__TEXT,__text) non-external _trace_SQLDataSources
00007ffb1f6e0bf2 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffb1f6dbde9 (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffb1f6dbed3 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffb1f6e33e6 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffb1f6e0a58 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffb1f6e4524 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffb1f6e4711 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffb1f6dfda8 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffb1f6dfe8a (__TEXT,__text) non-external _trace_SQLDriversW
00007ffb1f6de64b (__TEXT,__text) non-external _trace_SQLEndTran
00007ffb1f6dc1ef (__TEXT,__text) non-external _trace_SQLError
00007ffb1f6dc2d9 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffb1f6e084f (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffb1f6e08ac (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffb1f6dc7cf (__TEXT,__text) non-external _trace_SQLExecute
00007ffb1f6dcd0a (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffb1f6e0d88 (__TEXT,__text) non-external _trace_SQLFetch
00007ffb1f6e2882 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffb1f6e304e (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffb1f6e3198 (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffb1f6e3336 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffb1f6dcb6b (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffb1f6de61c (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffb1f6e4d7b (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffb1f6dbc68 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffb1f6dbcf0 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffb1f6e2a90 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffb1f6e2ad8 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffb1f6df1c3 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffb1f6df247 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffb1f6e3f78 (__TEXT,__text) non-external _trace_SQLGetData
00007ffb1f6def94 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffb1f6df02b (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffb1f6dbfbd (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffb1f6dc0d6 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffb1f6e3778 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffb1f6e381e (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffb1f6dc493 (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffb1f6dc572 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffb1f6dc6bf (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffb1f6e07fc (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffb1f6dce2c (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffb1f6de36c (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffb1f6e2de4 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffb1f6e2e6c (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffb1f6e339e (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffb1f6e44bc (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffb1f6e44f0 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffb1f6e4023 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffb1f6deb07 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffb1f6debd3 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffb1f6de927 (__TEXT,__text) non-external _trace_SQLNumParams
00007ffb1f6e32e2 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffb1f6dfb12 (__TEXT,__text) non-external _trace_SQLParamData
00007ffb1f6de6e7 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffb1f6e4daf (__TEXT,__text) non-external _trace_SQLPrepare
00007ffb1f6e4e0c (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffb1f6dff6c (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffb1f6e0032 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffb1f6de3fc (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffb1f6de4e8 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffb1f6dfc1c (__TEXT,__text) non-external _trace_SQLProcedures
00007ffb1f6dfce2 (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffb1f6e38d5 (__TEXT,__text) non-external _trace_SQLPutData
00007ffb1f6dc747 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffb1f6e49a0 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffb1f6e49f2 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffb1f6e2b20 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffb1f6e2b68 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffb1f6e0cd0 (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffb1f6e0d2c (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffb1f6dc3c5 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffb1f6dc42c (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffb1f6e00f8 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffb1f6e0909 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffb1f6dcc2d (__TEXT,__text) non-external _trace_SQLSetPos
00007ffb1f6dcdda (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffb1f6e095b (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffb1f6e09ad (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffb1f6de5d4 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffb1f6dc8b7 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffb1f6dca11 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffb1f6e4ac2 (__TEXT,__text) non-external _trace_SQLStatistics
00007ffb1f6e4c01 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffb1f6de97b (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffb1f6dea41 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffb1f6e410d (__TEXT,__text) non-external _trace_SQLTables
00007ffb1f6e41f9 (__TEXT,__text) non-external _trace_SQLTablesW
00007ffb1f6e408d (__TEXT,__text) non-external _trace_SQLTransact
00007ffb42d37f60 (__DATA,__bss) non-external _trace_appname
00007ffb1f6e12a9 (__TEXT,__text) non-external _trace_emit
00007ffb1f6e159e (__TEXT,__text) non-external _trace_emit_binary
00007ffb1f6e139a (__TEXT,__text) non-external _trace_emit_string
00007ffb1f6e1374 (__TEXT,__text) non-external _trace_emitc
00007ffb42d37f68 (__DATA,__bss) non-external _trace_fname
00007ffb42d37f80 (__DATA,__bss) non-external _trace_fp
00007ffb42d37f88 (__DATA,__bss) non-external _trace_fp_close
00007ffb1f6e0de4 (__TEXT,__text) non-external _trace_get_filename
00007ffb1f6e0db4 (__TEXT,__text) non-external _trace_set_appname
00007ffb1f6e0df5 (__TEXT,__text) non-external _trace_set_filename
00007ffb1f6e1073 (__TEXT,__text) non-external _trace_start
00007ffb1f6e1209 (__TEXT,__text) non-external _trace_stop
00007ffb1f6e1020 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffb1f6e6270 (__TEXT,__text) non-external _utf8_len
00007ffb1f6e634e (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffb42d38000 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
