000000019dcd25d0 (__TEXT,__text) non-external +[Calculate _lock]
000000019dcc2c9c (__TEXT,__text) non-external -[UnitRanks containsFrom]
000000019dcc2c90 (__TEXT,__text) non-external -[UnitRanks containsTo]
000000019dcc2c84 (__TEXT,__text) non-external -[UnitRanks containsUnit]
000000019dcc2fa8 (__TEXT,__text) non-external -[UnitRanks initWithUnitsInfo:]
000000019dcc2f08 (__TEXT,__text) non-external -[UnitRanks init]
000000019dcc2e6c (__TEXT,__text) non-external -[UnitRanks isAmbiguous]
000000019dcc2cb4 (__TEXT,__text) non-external -[UnitRanks ranks]
000000019dcc2ca8 (__TEXT,__text) non-external -[UnitRanks setRanks:]
000000019dcc2c2c (__TEXT,__text) non-external -[UnitRanks setUnits:]
000000019dcc2c40 (__TEXT,__text) non-external -[UnitRanks setUnitsInfo:]
000000019dcc2eb0 (__TEXT,__text) non-external -[UnitRanks sort]
000000019dcc2c4c (__TEXT,__text) non-external -[UnitRanks unitsInfo]
000000019dcc2c38 (__TEXT,__text) non-external -[UnitRanks units]
000000019dcc37d4 (__TEXT,__text) non-external -[UnitTypeInfo .cxx_destruct]
000000019dcc385c (__TEXT,__text) non-external -[UnitTypeInfo baseUnit]
000000019dcc38ec (__TEXT,__text) non-external -[UnitTypeInfo decompositionCoefficient]
000000019dcc38c0 (__TEXT,__text) non-external -[UnitTypeInfo decomposition]
000000019dcc3838 (__TEXT,__text) non-external -[UnitTypeInfo isCurrency]
000000019dcc3900 (__TEXT,__text) non-external -[UnitTypeInfo isDecomposable]
000000019dcc3848 (__TEXT,__text) non-external -[UnitTypeInfo isTemperature]
000000019dcc3828 (__TEXT,__text) non-external -[UnitTypeInfo isVolume]
000000019dcc3914 (__TEXT,__text) non-external -[UnitTypeInfo name]
000000019dcc3850 (__TEXT,__text) non-external -[UnitTypeInfo setBaseUnit:]
000000019dcc389c (__TEXT,__text) non-external -[UnitTypeInfo setDecomposition:]
000000019dcc38e4 (__TEXT,__text) non-external -[UnitTypeInfo setDecompositionCoefficient:]
000000019dcc3830 (__TEXT,__text) non-external -[UnitTypeInfo setIsCurrency:]
000000019dcc38f8 (__TEXT,__text) non-external -[UnitTypeInfo setIsDecomposable:]
000000019dcc3840 (__TEXT,__text) non-external -[UnitTypeInfo setIsTemperature:]
000000019dcc3820 (__TEXT,__text) non-external -[UnitTypeInfo setIsVolume:]
000000019dcc3908 (__TEXT,__text) non-external -[UnitTypeInfo setName:]
000000019dcc391c (__TEXT,__text) non-external -[UnitTypeInfo setUnitType:]
000000019dcc3888 (__TEXT,__text) non-external -[UnitTypeInfo setUnits:]
000000019dcc3924 (__TEXT,__text) non-external -[UnitTypeInfo unitType]
000000019dcc3894 (__TEXT,__text) non-external -[UnitTypeInfo units]
000000019dcc392c (__TEXT,__text) non-external -[UnitsInfo .cxx_destruct]
000000019dcc3a28 (__TEXT,__text) non-external -[UnitsInfo angleInfo]
000000019dcc39f0 (__TEXT,__text) non-external -[UnitsInfo degreesInfo]
000000019dcc3ac4 (__TEXT,__text) non-external -[UnitsInfo infoForAngle]
000000019dcc3ac0 (__TEXT,__text) non-external -[UnitsInfo infoForDegrees]
000000019dcc3abc (__TEXT,__text) non-external -[UnitsInfo infoForRadians]
000000019dcc3b50 (__TEXT,__text) non-external -[UnitsInfo infoForUnitID:]
000000019dcc3ad0 (__TEXT,__text) non-external -[UnitsInfo infoForUnitName:]
000000019dcc3c78 (__TEXT,__text) non-external -[UnitsInfo infoForUnitType:]
000000019dcc3bf8 (__TEXT,__text) non-external -[UnitsInfo infoForUnitTypeName:]
000000019dcc3d24 (__TEXT,__text) non-external -[UnitsInfo initWithDictionary:]
000000019dcc3ac8 (__TEXT,__text) non-external -[UnitsInfo objectAtIndexedSubscript:]
000000019dcc3acc (__TEXT,__text) non-external -[UnitsInfo objectForKeyedSubscript:]
000000019dcc4e90 (__TEXT,__text) non-external -[UnitsInfo populateSubunitIDs:forUnit:visited:]
000000019dcc39b8 (__TEXT,__text) non-external -[UnitsInfo radiansInfo]
000000019dcc3a1c (__TEXT,__text) non-external -[UnitsInfo setAngleInfo:]
000000019dcc39e4 (__TEXT,__text) non-external -[UnitsInfo setDegreesInfo:]
000000019dcc39ac (__TEXT,__text) non-external -[UnitsInfo setRadiansInfo:]
000000019dcc3a7c (__TEXT,__text) non-external -[UnitsInfo setUnitIDToInfo:]
000000019dcc3a90 (__TEXT,__text) non-external -[UnitsInfo setUnitNameToInfo:]
000000019dcc3a68 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeNameToInfo:]
000000019dcc3a54 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeToInfo:]
000000019dcc3aac (__TEXT,__text) non-external -[UnitsInfo unitCount]
000000019dcc3a88 (__TEXT,__text) non-external -[UnitsInfo unitIDToInfo]
000000019dcc3a9c (__TEXT,__text) non-external -[UnitsInfo unitNameToInfo]
000000019dcc3ab4 (__TEXT,__text) non-external -[UnitsInfo unitNames]
000000019dcc3aa4 (__TEXT,__text) non-external -[UnitsInfo unitTypeCount]
000000019dcc3a74 (__TEXT,__text) non-external -[UnitsInfo unitTypeNameToInfo]
000000019dcc3a60 (__TEXT,__text) non-external -[UnitsInfo unitTypeToInfo]
000000019de3bb00 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
000000019de3bb2c (__TEXT,__gcc_except_tab) non-external GCC_except_table30
000000019de3bb3c (__TEXT,__gcc_except_tab) non-external GCC_except_table33
000000019de3bb80 (__TEXT,__gcc_except_tab) non-external GCC_except_table411
000000019de3c254 (__TEXT,__gcc_except_tab) non-external GCC_except_table420
000000019de3bb4c (__TEXT,__gcc_except_tab) non-external GCC_except_table43
000000019de3c274 (__TEXT,__gcc_except_tab) non-external GCC_except_table591
000000019de3c380 (__TEXT,__gcc_except_tab) non-external GCC_except_table606
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFPreferencesSetAppValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringTokenizerAdvanceToNextToken (from CoreFoundation)
                 (undefined) external _CFStringTokenizerCreate (from CoreFoundation)
                 (undefined) external _CFStringTokenizerGetCurrentTokenRange (from CoreFoundation)
000000019dcd2a90 (__TEXT,__text) external _CalculateExpression
000000019dcd27ac (__TEXT,__text) external _CalculateExpressionError
000000019dcd2a98 (__TEXT,__text) external _CalculateInternationalExpression
00000001d529fb78 (__DATA_CONST,__const) external _CalculateKeyAllowConversions
00000001d529fb68 (__DATA_CONST,__const) external _CalculateKeyAllowPartialExpressions
00000001d529fb70 (__DATA_CONST,__const) external _CalculateKeyAllowUnits
00000001d529fb50 (__DATA_CONST,__const) external _CalculateKeyAutoScientificNotation
00000001d529fb60 (__DATA_CONST,__const) external _CalculateKeyConvertTrivial
00000001d529fb90 (__DATA_CONST,__const) external _CalculateKeyEngine
00000001d529fba0 (__DATA_CONST,__const) external _CalculateKeyExpectedUnitTypes
00000001d529fb58 (__DATA_CONST,__const) external _CalculateKeyFlexibleFractionDigits
00000001d529fb98 (__DATA_CONST,__const) external _CalculateKeyIgnoreProbableSearches
00000001d529fb40 (__DATA_CONST,__const) external _CalculateKeyLocales
00000001d529fba8 (__DATA_CONST,__const) external _CalculateKeyLocalizeUnit
00000001d529fb80 (__DATA_CONST,__const) external _CalculateKeyMaximumConversions
00000001d529fb48 (__DATA_CONST,__const) external _CalculateKeyNumberFormatter
00000001d529fb88 (__DATA_CONST,__const) external _CalculateKeyPreferMixedUnits
000000019dcc2830 (__TEXT,__text) non-external _CalculateLogForCategory
00000001d9695278 (__DATA,__bss) non-external _CalculateLogForCategory.logObjects
00000001d9695280 (__DATA,__bss) non-external _CalculateLogForCategory.loggingToken
000000019dcd27a0 (__TEXT,__text) external _CalculatePerformExpression
000000019dcb1990 (__TEXT,__text) non-external _CountLeadingZeros
00000001d9695220 (__DATA,__bss) non-external _DecimalPi.initialized
00000001d9695210 (__DATA,__bss) non-external _DecimalPi.pi.0
000000019dcb9cd4 (__TEXT,__text) non-external _DecimalToDegrees
00000001d9695260 (__DATA,__bss) non-external _DecimalToDegrees.initialized
00000001d9695250 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.0
00000001d9695240 (__DATA,__bss) non-external _DecimalToRadians.initialized
00000001d9695230 (__DATA,__bss) non-external _DecimalToRadians.to_radians.0
00000001d96951e0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.initialized
00000001d96951d0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.0
00000001d9695200 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.initialized
00000001d96951f0 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.0
00000001d96951a0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.initialized
00000001d9695190 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.0
00000001d96951c0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.initialized
00000001d96951b0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.0
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSCurrentLocaleDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSDecimalCompare (from Foundation)
                 (undefined) external _NSLocaleCurrencyCode (from CoreFoundation)
                 (undefined) external _NSLocaleGroupingSeparator (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystem (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemMetric (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUK (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUS (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnit (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnitCelsius (from CoreFoundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringTransformStripDiacritics (from CoreFoundation)
00000001dbf1cc50 (__AUTH,__objc_data) external _OBJC_CLASS_$_Calculate
00000001dbf1cd68 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateRequest
00000001dbf1ccf0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateResult
00000001dbf1ccc8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateTerm
00000001dbf1cde0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_CalculateToken
00000001dbf1ce30 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_CalculateTokenizer
00000001dbf1cc78 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateUnit
00000001dbf1c9f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_Converter
00000001dbf1ca20 (__AUTH,__objc_data) external _OBJC_CLASS_$_CurrencyCache
00000001dbf1ced0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_Localize
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCache (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendar (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDoubleNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumberHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableURLRequest (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OACredential (from OAuth)
                 (undefined) external _OBJC_CLASS_$_OAURLRequestSigner (from OAuth)
00000001dbf1ce58 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_Trie
00000001dbf1cbd8 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_TrieNode
00000001dbf1cb10 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitInfo
00000001dbf1cea8 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitRank
00000001dbf1ce80 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitRanks
00000001dbf1cb88 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitTypeInfo
00000001dbf1cf20 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitsInfo
                 (undefined) external _OBJC_EHTYPE_id (from libobjc)
00000001d9694b04 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._expression
00000001d9694b00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._isCanceled
00000001d9694b08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._options
00000001d9694b0c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._result
00000001d9694b10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._resultHandler
00000001d9694aac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._autoScientificNotation
00000001d9694ae4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._conversions
00000001d9694acc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._expression
00000001d9694ab0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._flexibleFractionDigits
00000001d9694ab8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._hasStaleCurrencyData
00000001d9694ae0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._inputValueAndUnit
00000001d9694ab4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._isTrivial
00000001d9694ad4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._locales
00000001d9694ac0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._localizeUnit
00000001d9694ad0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._numberFormatter
00000001d9694ae8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parent
00000001d9694aec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parseTree
00000001d9694af0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._resultTree
00000001d9694ac8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._singleUnitID
00000001d9694abc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._synchronous
00000001d9694adc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._terms
00000001d9694afc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._typeInfo
00000001d9694ac4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitExponent
00000001d9694af4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitFormat
00000001d9694ad8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitType
00000001d9694af8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitsInfo
00000001d9694aa8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._decimalValue
00000001d9694aa4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._result
00000001d9694aa0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._units
00000001d9694a9c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._value
00000001d9694b20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._range
00000001d9694b1c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._ranks
00000001d9694b18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._text
00000001d9694b14 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._tokenType
00000001d9694b24 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._index
00000001d9694b44 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._lastToken
00000001d9694b2c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._locales
00000001d9694b3c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekIndex
00000001d9694b40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekTokens
00000001d9694b28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._string
00000001d9694b38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._stringLength
00000001d9694b34 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._trie
00000001d9694b30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._unitsInfo
00000001d9694b48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndices
00000001d9694b4c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndicesIndex
00000001d9694a88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._exponent
00000001d9694a8c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._name
00000001d9694a94 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._nextSmallest
00000001d9694a98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitInfo
00000001d9694a90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitType
00000001d9694b7c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._additionalResults
00000001d9694b80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._conversionType
00000001d9694b78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._currencyUpdateTimeOut
00000001d9694b50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputString
00000001d9694b54 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputUnit
00000001d9694b60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputValue
00000001d9694b74 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._isCurrency
00000001d9694b64 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedInputValueAndUnit
00000001d9694b70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputUnit
00000001d9694b6c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValue
00000001d9694b68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValueAndUnit
00000001d9694b58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputUnit
00000001d9694b5c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputValue
00000001d9694960 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currencyData
00000001d9694964 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentCurrency
00000001d9694968 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentRate
00000001d969496c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentString
00000001d9694954 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._lastRefreshDate
00000001d9694978 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lastRefreshTimeInternal
00000001d969497c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lock
00000001d9694970 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._mutableCurrencyCache
00000001d9694958 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._refreshInterval
00000001d9694974 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._serializer
00000001d969495c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._timeout
00000001d9694950 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._uuid
00000001d9694a5c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._autocompress
00000001d9694a64 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterCount
00000001d9694a68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterSize
00000001d9694a78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characters
00000001d9694a60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._compressed
00000001d9694a84 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._firstByteCache
00000001d9694a6c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeCount
00000001d9694a70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeSize
00000001d9694a7c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodes
00000001d9694a80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._objects
00000001d9694a74 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._root
00000001d9694a50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._node
00000001d9694a54 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._offset
00000001d9694a58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._trie
00000001d96949f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._allSubunitIDs
00000001d96949fc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseDenominator
00000001d96949f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseNumerator
00000001d96949e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._bestEquivalent
00000001d96949c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._doNotSuggest
00000001d96949cc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._formatNextSmallest
00000001d96949b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._impliesDivision
00000001d96949b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isBaseUnit
00000001d96949c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isCelsius
00000001d96949b4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isDisplayName
00000001d96949bc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isFahrenheit
00000001d96949ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isInverted
00000001d96949c4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isKelvin
00000001d96949f4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._localizationToCompactName
00000001d96949e4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._measurementSystem
00000001d96949d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._name
00000001d96949e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._nextSmallest
00000001d96949ec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._subunitIDs
00000001d96949dc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._typeInfo
00000001d96949d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitID
00000001d96949d4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitType
00000001d969498c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._context
00000001d9694988 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._locale
00000001d9694984 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._rank
00000001d9694980 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._unitID
00000001d969499c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsCurrency
00000001d9694990 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsFrom
00000001d9694994 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsTo
00000001d9694998 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsUnit
00000001d96949a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._ranks
00000001d96949a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._units
00000001d96949a4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._unitsInfo
00000001d9694a1c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._baseUnit
00000001d9694a24 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decomposition
00000001d9694a20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decompositionCoefficient
00000001d9694a08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isCurrency
00000001d9694a00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isDecomposable
00000001d9694a04 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isTemperature
00000001d9694a0c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isVolume
00000001d9694a14 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._name
00000001d9694a10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._unitType
00000001d9694a18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._units
