00007ff8438a0c68 (__DATA,__data) non-external _C
00007ff802ad7aec (__TEXT,__text) external ___rec_ret
00007ff802ad779a (__TEXT,__text) external ___rec_search
00007ff802ad7938 (__TEXT,__text) external ___rec_seq
00007ff802ad655f (__TEXT,__text) external ___rec_sync
00007ff802ad6e21 (__TEXT,__text) external ___rec_vmap
00007ff802ad6bce (__TEXT,__text) external ___rec_vpipe
00007ff802ad4756 (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff802a9ded9 (__TEXT,__text) external ___rshift_D2A
00007ff802b0b7c0 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00007ff802a99446 (__TEXT,__text) external ___rv_alloc_D2A
00007ff802a99e2f (__TEXT,__text) external ___s2b_D2A
00007ff843669810 (__DATA_DIRTY,__data) external ___sF
00007ff843669a00 (__DATA_DIRTY,__data) non-external ___sFX
00007ff802aaa9c6 (__TEXT,__text) external ___sclose
00007ff84366ba70 (__DATA_DIRTY,__bss) non-external ___scounted
00007ff84366c578 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff802a8e3df (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
00007ff802ae226b (__TEXT,__text) external ___setonlyClocaleconv
00007ff802aad6fc (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff8438a1d90 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff8438a27a0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff802b011f5 (__TEXT,__text) non-external ___setup_vars
00007ff802aff694 (__TEXT,__text) non-external (was a private external) ___setutxent
00007ff802a99b7e (__TEXT,__text) external ___sflags
00007ff802a995e7 (__TEXT,__text) external ___sflush
00007ff802a99c15 (__TEXT,__text) external ___sfp
00007ff802a99ddf (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff802a8dbc6 (__TEXT,__text) external ___sfvwrite
00007ff802acde40 (__TEXT,__text) non-external (was a private external) ___sgetrune
00007ff84366aa20 (__DATA_DIRTY,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff802a94fa8 (__TEXT,__text) external ___sinit
00007ff802ac0bc8 (__TEXT,__text) external ___slbexpand
00007ff802a9e17b (__TEXT,__text) external ___smakebuf
00007ff802b08fa1 (__TEXT,__text) non-external ___smakebuf.cold.1
00007ff802a8dfab (__TEXT,__text) external ___snprintf_chk
00007ff802b07713 (__TEXT,__text) external ___snprintf_object_size_chk
00007ff802ad49b3 (__TEXT,__text) external ___split_page
00007ff802af0d98 (__TEXT,__text) non-external ___sprint
00007ff802a95c8e (__TEXT,__text) external ___sprintf_chk
00007ff802b07862 (__TEXT,__text) external ___sprintf_object_size_chk
00007ff802acdf15 (__TEXT,__text) non-external (was a private external) ___sputrune
00007ff802abbebd (__TEXT,__text) external ___sread
00007ff802a94e60 (__TEXT,__text) external ___srefill
00007ff802a94e87 (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff802a9572c (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff802ab11d7 (__TEXT,__text) external ___srget
00007ff802abc02c (__TEXT,__text) external ___sseek
00007ff802af6891 (__TEXT,__text) external ___stack_chk_fail
00007ff84366c5b0 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
                 (undefined) external ___stat_extended (from libsystem_kernel)
00007ff8438a2810 (__DATA,__bss) non-external ___stderr_evp
00007ff8438a0e30 (__DATA,__data) external ___stderrp
00007ff8438a2800 (__DATA,__bss) non-external ___stdin_evp
00007ff8438a0e20 (__DATA,__data) external ___stdinp
00007ff802b0795b (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff84366c530 (__DATA_DIRTY,__bss) non-external ___stdout_evp
00007ff8438a0e28 (__DATA,__data) external ___stdoutp
00007ff802b0780d (__TEXT,__text) external ___stpcpy_chk
00007ff802b07935 (__TEXT,__text) external ___stpncpy_chk
00007ff802b09ad9 (__TEXT,__text) non-external ___stpncpy_chk.cold.1
00007ff802a8f080 (__TEXT,__text) external ___strcat_chk
00007ff802ad9250 (__TEXT,__text) external ___strcp_D2A
00007ff802a97363 (__TEXT,__text) external ___strcpy_chk
00007ff8438a1e28 (__DATA,__bss) non-external ___strerror_ebuf
00007ff802a92782 (__TEXT,__text) external ___strlcat_chk
00007ff802a8e8b0 (__TEXT,__text) external ___strlcpy_chk
00007ff802a8fdc0 (__TEXT,__text) external ___strncat_chk
00007ff802a961e9 (__TEXT,__text) external ___strncpy_chk
00007ff802b09a84 (__TEXT,__text) non-external ___strncpy_chk.cold.1
00007ff802aba3b5 (__TEXT,__text) external ___sum_D2A
00007ff802aec9f4 (__TEXT,__text) external ___svfscanf
00007ff802a92a52 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007ff802b0c290 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007ff802abebe4 (__TEXT,__text) external ___swbuf
00007ff802a9e3e1 (__TEXT,__text) external ___swhatbuf
00007ff802abe1a4 (__TEXT,__text) external ___swrite
00007ff802aacbf0 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00007ff8438a0e98 (__DATA,__data) non-external ___systemfn_mutex
00007ff8438a0f00 (__DATA,__data) non-external ___systemfn_mutex
00007ff802b0ba20 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007ff802ac7089 (__TEXT,__text) non-external ___thread_stack_async_pcs
00007ff802ac6bdc (__TEXT,__text) non-external ___thread_stack_pcs
00007ff802aaf2d0 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007ff8438a2878 (__DATA,__bss) non-external ___time_load_locale.cache
00007ff802b0b9f0 (__TEXT,__const) external ___tinytens_D2A
00007ff802a8fec8 (__TEXT,__text) external ___tolower
00007ff802ae2c44 (__TEXT,__text) external ___tolower_l
00007ff802a8ff0e (__TEXT,__text) external ___toupper
00007ff802ae2c23 (__TEXT,__text) external ___toupper_l
00007ff802aba508 (__TEXT,__text) external ___trailz_D2A
00007ff802ab1f5d (__TEXT,__text) external ___ulp_D2A
00007ff802a8e094 (__TEXT,__text) non-external ___ultoa
00007ff802a8e1a6 (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
00007ff802ab125f (__TEXT,__text) external ___ungetc
00007ff802aec394 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00007ff802a8ec31 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00007ff802b0c890 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00007ff802b000f9 (__TEXT,__text) non-external (was a private external) ___utmpxname
00007ff8438a1e20 (__DATA,__bss) non-external ___utx__
00007ff802b0b654 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00007ff802a893b4 (__TEXT,__text) non-external (was a private external) ___v2printf
00007ff802a896f8 (__TEXT,__text) non-external (was a private external) ___vfprintf
00007ff802b090e3 (__TEXT,__text) non-external ___vfprintf.cold.1
00007ff802b0c250 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00007ff802b0c260 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00007ff802aecc51 (__TEXT,__text) non-external (was a private external) ___vfwprintf
00007ff802b0c2c0 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00007ff802b0c2d0 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00007ff802af0fb3 (__TEXT,__text) non-external (was a private external) ___vfwscanf
00007ff802b0c3c0 (__TEXT,__const) non-external ___vfwscanf.basefix
00007ff802a9c07d (__TEXT,__text) external ___vsnprintf_chk
00007ff802b077be (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00007ff802ae37e0 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00007ff802ae3490 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00007ff802ae2b40 (__TEXT,__text) external ___wcwidth
00007ff802ae2c65 (__TEXT,__text) external ___wcwidth_l
00007ff802aad6d4 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00007ff8438a09c0 (__DATA,__data) external ___xlocale_C_collate
00007ff802aaadb8 (__TEXT,__text) non-external (was a private external) ___xlocale_init
00007ff802aca729 (__TEXT,__text) non-external ___xlocale_release
00007ff802abc07c (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00007ff802b07e30 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00007ff8438a0c70 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00007ff802afeeee (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00007ff802a9bc9f (__TEXT,__text) non-external (was a private external) ___xvprintf
00007ff802af9f7e (__TEXT,__text) external __allocenvstate
00007ff802ad92b9 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00007ff802adf391 (__TEXT,__text) non-external (was a private external) __ascii_init
00007ff802adf3de (__TEXT,__text) non-external __ascii_mbrtowc
00007ff802adf421 (__TEXT,__text) non-external __ascii_mbsinit
00007ff802adf42c (__TEXT,__text) non-external __ascii_mbsnrtowcs
00007ff802adf4bf (__TEXT,__text) non-external __ascii_wcrtomb
00007ff802adf4ed (__TEXT,__text) non-external __ascii_wcsnrtombs
00007ff802ac64a5 (__TEXT,__text) external __atexit_receipt
00007ff8438a2048 (__DATA,__bss) non-external __atexit_receipt_enabled
00007ff802a9d1c5 (__TEXT,__text) non-external __backtrace_snprintf
00007ff802ac0ff7 (__TEXT,__text) non-external __boottime_fallback_usec
00007ff840085d20 (__DATA_CONST,__const) external __c_locale
00007ff802ab4082 (__TEXT,__text) external __cleanup
00007ff802ac84fa (__TEXT,__text) external __closeutx
00007ff802adff4a (__TEXT,__text) external __collate_lookup
00007ff802ae1351 (__TEXT,__text) non-external (was a private external) __collate_sxfrm
00007ff802b08ddf (__TEXT,__text) non-external __collate_sxfrm.cold.1
00007ff802ae10ce (__TEXT,__text) non-external (was a private external) __collate_wxfrm
00007ff802b08dbc (__TEXT,__text) non-external __collate_wxfrm.cold.1
00007ff802af9f88 (__TEXT,__text) external __copyenv
00007ff8438a0e90 (__DATA,__data) external __cthread_init_routine
00007ff802afa000 (__TEXT,__text) external __deallocenvstate
00007ff802abbd84 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
                 (undefined) external __dyld_stack_range (from libdyld)
00007ff8438a2940 (__DATA,__common) non-external (was a private external) __e_err_exit
00007ff8438a2938 (__DATA,__common) non-external (was a private external) __e_err_file
00007ff802ad9525 (__TEXT,__text) non-external (was a private external) __e_visprintf
00007ff802aff7b2 (__TEXT,__text) external __endutxent
00007ff802b098a4 (__TEXT,__text) non-external __endutxent.cold.1
00007ff802b098cc (__TEXT,__text) non-external __endutxent.cold.2
00007ff802aeb80c (__TEXT,__text) non-external __ensurespace
                 (undefined) external __exit (from libsystem_kernel)
00007ff802ac122c (__TEXT,__text) non-external __ffpp_strtoencf32_l
00007ff802b0799a (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
00007ff802b079bd (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
00007ff802b0a590 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
00007ff802ac14da (__TEXT,__text) non-external __ffpp_strtoencf64_l
00007ff802b079e0 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
00007ff802b07a03 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
00007ff802b07a26 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
00007ff802b0a930 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
00007ff802ac1997 (__TEXT,__text) non-external __ffpp_strtoencf80_l
00007ff802b07a49 (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.1
00007ff802b07a6c (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.2
00007ff802b0aae0 (__TEXT,__const) non-external __ffpp_strtoencf80_l.longDoublePowerOf10
00007ff802b05e92 (__TEXT,__text) non-external (was a private external) __filldir
00007ff802adc894 (__TEXT,__text) non-external (was a private external) __filldir$INODE64
00007ff802b06705 (__TEXT,__text) non-external (was a private external) __fixtelldir
00007ff802a8fa8a (__TEXT,__text) non-external (was a private external) __fixtelldir$INODE64
00007ff802ae7baf (__TEXT,__text) external __flockfile_debug_stub
00007ff802abdd9a (__TEXT,__text) external __fseeko
00007ff802abbece (__TEXT,__text) external __ftello
00007ff802ab4093 (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
00007ff802af6a30 (__TEXT,__text) external __getenvp
00007ff802affa5a (__TEXT,__text) external __getutxent
00007ff802b098f4 (__TEXT,__text) non-external __getutxent.cold.1
00007ff802b0991c (__TEXT,__text) non-external __getutxent.cold.2
00007ff802affad0 (__TEXT,__text) external __getutxid
00007ff802b09944 (__TEXT,__text) non-external __getutxid.cold.1
00007ff802b0996c (__TEXT,__text) non-external __getutxid.cold.2
00007ff802affc36 (__TEXT,__text) external __getutxline
00007ff802b09994 (__TEXT,__text) non-external __getutxline.cold.1
00007ff802b099bc (__TEXT,__text) non-external __getutxline.cold.2
00007ff802a9a877 (__TEXT,__text) external __inet_aton_check
00007ff802aaad62 (__TEXT,__text) external __init_clock_port
00007ff802af3f8f (__TEXT,__text) external __int_to_time
00007ff802a962a2 (__TEXT,__text) non-external __isort
00007ff802a96436 (__TEXT,__text) non-external __isort
00007ff802af9efe (__TEXT,__text) non-external __legacy_crt1_environ
00007ff84366c510 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00007ff84366c4b0 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child_v2
00007ff84366c508 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00007ff84366c4a8 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent_v2
00007ff84366c500 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00007ff84366c4e8 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare_v2
00007ff802acd7cf (__TEXT,__text) external __libc_fork_child
00007ff802aaacb2 (__TEXT,__text) non-external (was a private external) __libc_fork_init
00007ff802acd7c3 (__TEXT,__text) external __libc_fork_parent
00007ff802acd7b7 (__TEXT,__text) external __libc_fork_prepare
00007ff802aaac24 (__TEXT,__text) external __libc_initializer
00007ff802ae22db (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
00007ff802ae22ac (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
00007ff802ae227d (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
00007ff802af3f7d (__TEXT,__text) external __long_to_time
00007ff802ac0ecc (__TEXT,__text) non-external __mach_boottime_usec
00007ff802ac64db (__TEXT,__text) non-external (was a private external) __maybe_call_atexit_receipt_handler
00007ff8438a204c (__DATA,__bss) non-external __maybe_call_atexit_receipt_handler.already_did
00007ff84366c4a0 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
00007ff802aba203 (__TEXT,__text) non-external __mkdtemp_action
00007ff802ac0202 (__TEXT,__text) non-external __mkfilex_np
00007ff802aaa703 (__TEXT,__text) non-external __mkostemps_action
00007ff802a97a8a (__TEXT,__text) non-external __mkpath
00007ff802abb9f7 (__TEXT,__text) external __mkpath_np
00007ff802ae9655 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00007ff802b08fbc (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00007ff802ae959f (__TEXT,__text) external __mktemp
00007ff802a9eb63 (__TEXT,__text) non-external __mktemp_action
00007ff802ae2c98 (__TEXT,__text) non-external (was a private external) __none_init
00007ff802ab6b62 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00007ff802ae2ce5 (__TEXT,__text) non-external (was a private external) __none_mbsinit
00007ff802ae2cf0 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00007ff802ab4054 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00007ff802ae2d60 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00007ff8438a2790 (__DATA,__bss) non-external __onlyClocaleconv
00007ff802ac8453 (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00007ff802b07ef3 (__TEXT,__text) external __os_assert_log
00007ff802b0820c (__TEXT,__text) external __os_assert_log_ctx
00007ff802ab0d98 (__TEXT,__text) external __os_assumes_log
00007ff802b0805b (__TEXT,__text) external __os_assumes_log_ctx
00007ff802a95e6d (__TEXT,__text) external __os_avoid_tail_call
00007ff802b07ed7 (__TEXT,__text) external __os_crash
00007ff8438a2950 (__DATA,__common) external __os_crash_callback
00007ff802ace498 (__TEXT,__text) external __os_crash_fmt
00007ff802b08385 (__TEXT,__text) non-external __os_crash_fmt.cold.1
00007ff802ace45c (__TEXT,__text) external __os_crash_msg
00007ff802b07c90 (__TEXT,__text) external __os_debug_log
00007ff802ac86f3 (__TEXT,__text) external __os_debug_log_error_offset
00007ff802ab0f99 (__TEXT,__text) external __os_debug_log_error_str
00007ff802ab0faf (__TEXT,__text) non-external __os_debug_log_init
00007ff802ac8782 (__TEXT,__text) non-external __os_debug_log_open_file
00007ff802ac856d (__TEXT,__text) weak external __os_debug_log_redirect_func
00007ff802ac8575 (__TEXT,__text) non-external __os_debug_log_write
00007ff802ac8708 (__TEXT,__text) non-external __os_debug_log_write_error
00007ff802ace558 (__TEXT,__text) non-external __os_get_build
00007ff802ace4e4 (__TEXT,__text) non-external __os_get_image_uuid
                 (undefined) external __os_log_default (from libsystem_trace)
00007ff802ab0f4e (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_log_send_and_compose_impl (from libsystem_trace)
                 (undefined) external __os_once (from libsystem_platform)
00007ff802a8e7ed (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00007ff802a8e367 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00007ff802a8e782 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00007ff840085f60 (__DATA_CONST,__const) non-external __printf_tbl_defaults_fbsd
00007ff802b0e930 (__TEXT,__cstring) non-external __printf_tbl_flags
00007ff802aaac76 (__TEXT,__text) non-external (was a private external) __program_vars_init
00007ff802afb392 (__TEXT,__text) non-external __psort
00007ff802afbe0d (__TEXT,__text) non-external __psort
00007ff802afc83f (__TEXT,__text) non-external __psort
00007ff802b09597 (__TEXT,__text) non-external __psort.cold.1
00007ff802b095d3 (__TEXT,__text) non-external __psort.cold.1
00007ff802b0960f (__TEXT,__text) non-external __psort.cold.1
00007ff802afb33d (__TEXT,__text) non-external __psort_parallel
00007ff802afbdb8 (__TEXT,__text) non-external __psort_parallel
00007ff802afc7e5 (__TEXT,__text) non-external __psort_parallel
00007ff802af70f7 (__TEXT,__text) external __putenvp
00007ff802affd0d (__TEXT,__text) external __pututxline
00007ff802b099e4 (__TEXT,__text) non-external __pututxline.cold.1
00007ff802b09a0c (__TEXT,__text) non-external __pututxline.cold.2
00007ff802ac7136 (__TEXT,__text) non-external __pwuid_r
00007ff802aba8b5 (__TEXT,__text) non-external __qsort
00007ff802abb118 (__TEXT,__text) non-external __qsort
00007ff8438a0c98 (__DATA,__data) external __rand48_add
00007ff8438a0938 (__DATA,__data) external __rand48_mult
00007ff8436697c0 (__DATA_DIRTY,__data) external __rand48_seed
00007ff802b06108 (__TEXT,__text) external __readdir_unlocked
00007ff802a8f90f (__TEXT,__text) external __readdir_unlocked$INODE64
00007ff802a8fb20 (__TEXT,__text) external __reclaim_telldir
00007ff802b0c794 (__TEXT,__const) non-external (was a private external) __rp_alist
00007ff84366c590 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
00007ff802b06679 (__TEXT,__text) external __seekdir
00007ff802abbceb (__TEXT,__text) external __seekdir$INODE64
00007ff802afa042 (__TEXT,__text) external __setenvp
00007ff802aff6d0 (__TEXT,__text) external __setutxent
00007ff802b09858 (__TEXT,__text) non-external __setutxent.cold.1
00007ff802b0987e (__TEXT,__text) non-external __setutxent.cold.2
00007ff802acd929 (__TEXT,__text) external __sigaction_nobind
00007ff8438a29a8 (__DATA,__common) external __sigintr
00007ff802addfea (__TEXT,__text) external __signal_nobind
00007ff802ac0de9 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00007ff802adde97 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00007ff802a95785 (__TEXT,__text) external __sread
00007ff802a9e5ac (__TEXT,__text) external __sseek
00007ff802aab476 (__TEXT,__text) non-external (was a private external) __st_fmt
00007ff802acc4a0 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00007ff802a91d25 (__TEXT,__text) non-external (was a private external) __st_localsub
00007ff802a91d15 (__TEXT,__text) non-external (was a private external) __st_set_timezone
00007ff802aa1f36 (__TEXT,__text) non-external (was a private external) __st_time1
00007ff802a90076 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00007ff802b003cc (__TEXT,__text) non-external __strfmon
00007ff802ab2300 (__TEXT,__text) non-external __strptime0
00007ff802b0c500 (__TEXT,__const) non-external __strptime0.start_of_month
00007ff802acbcb0 (__TEXT,__text) external __subsystem_init
00007ff802a9beb0 (__TEXT,__text) external __swrite
00007ff802ac7060 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00007ff802a979eb (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
00007ff802af3f50 (__TEXT,__text) external __time32_to_time
00007ff802af3f62 (__TEXT,__text) external __time64_to_time
00007ff802af3f86 (__TEXT,__text) external __time_to_int
00007ff802af3f74 (__TEXT,__text) external __time_to_long
00007ff802af3f59 (__TEXT,__text) external __time_to_time32
00007ff802af3f6b (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
00007ff802afa0c0 (__TEXT,__text) external __unsetenvp
00007ff802ac8386 (__TEXT,__text) non-external (was a private external) __utmpx32_64
00007ff802ac83ed (__TEXT,__text) non-external (was a private external) __utmpx64_32
00007ff802ac73a2 (__TEXT,__text) non-external (was a private external) __utmpx_asl
00007ff802b0c8a1 (__TEXT,__const) non-external (was a private external) __utmpx_vers
00007ff802ac7804 (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00007ff8438a2050 (__DATA,__bss) non-external __utmpx_working_copy.idzero
00007ff802b001cd (__TEXT,__text) external __utmpxname
00007ff802b09a34 (__TEXT,__text) non-external __utmpxname.cold.1
00007ff802b09a5c (__TEXT,__text) non-external __utmpxname.cold.2
00007ff802aba730 (__TEXT,__text) non-external (was a private external) __vasprintf
00007ff802abf764 (__TEXT,__text) non-external (was a private external) __vdprintf
00007ff802aba553 (__TEXT,__text) non-external (was a private external) __vsnprintf
00007ff802aac4b0 (__TEXT,__text) non-external __yconv
00007ff802af68f7 (__TEXT,__text) external _a64l
00007ff802b0b270 (__TEXT,__const) non-external _a64toi
00007ff802b09328 (__TEXT,__text) external _abort
00007ff802b09467 (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
00007ff802af69a6 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00007ff802acacf6 (__TEXT,__text) external _acl_add_flag_np
00007ff802acad61 (__TEXT,__text) external _acl_add_perm
00007ff802aca816 (__TEXT,__text) external _acl_calc_mask
00007ff802acad00 (__TEXT,__text) external _acl_clear_flags_np
00007ff802acad84 (__TEXT,__text) external _acl_clear_perms
00007ff802aca82c (__TEXT,__text) external _acl_copy_entry
00007ff802acaee0 (__TEXT,__text) external _acl_copy_ext
00007ff802a9787e (__TEXT,__text) external _acl_copy_ext_native
00007ff802acafb4 (__TEXT,__text) external _acl_copy_int
00007ff802abfd11 (__TEXT,__text) external _acl_copy_int_native
00007ff802aca950 (__TEXT,__text) external _acl_create_entry
00007ff802aca88d (__TEXT,__text) external _acl_create_entry_np
00007ff802acace0 (__TEXT,__text) external _acl_delete_def_file
00007ff802aca95f (__TEXT,__text) external _acl_delete_entry
00007ff802acab39 (__TEXT,__text) external _acl_delete_fd_np
00007ff802acab4f (__TEXT,__text) external _acl_delete_file_np
00007ff802acad0e (__TEXT,__text) external _acl_delete_flag_np
00007ff802acab65 (__TEXT,__text) external _acl_delete_link_np
00007ff802acad92 (__TEXT,__text) external _acl_delete_perm
00007ff802a977c8 (__TEXT,__text) external _acl_dup
00007ff840085d30 (__DATA_CONST,__const) non-external _acl_flags
00007ff802a97944 (__TEXT,__text) external _acl_free
00007ff802acb05a (__TEXT,__text) external _acl_from_text
00007ff802ac0c31 (__TEXT,__text) external _acl_get_entry
00007ff802acab7b (__TEXT,__text) external _acl_get_fd
00007ff802aba22d (__TEXT,__text) external _acl_get_fd_np
00007ff802ab8ed0 (__TEXT,__text) external _acl_get_file
00007ff802ab8edf (__TEXT,__text) non-external _acl_get_file1
00007ff802ac0cff (__TEXT,__text) external _acl_get_flag_np
00007ff802ac0cb2 (__TEXT,__text) external _acl_get_flagset_np
00007ff802acab8a (__TEXT,__text) external _acl_get_link_np
00007ff802acadb7 (__TEXT,__text) external _acl_get_perm_np
00007ff802acaddd (__TEXT,__text) external _acl_get_permset
00007ff802acae5e (__TEXT,__text) external _acl_get_permset_mask_np
00007ff802acaa1a (__TEXT,__text) external _acl_get_qualifier
00007ff802acaa7d (__TEXT,__text) external _acl_get_tag_type
00007ff802abfd9a (__TEXT,__text) external _acl_init
