00007ff80bd97fe4 (__TEXT,__text) non-external _CCGCMSymmInit
00007ff80bd90f14 (__TEXT,__text) external _tls_handshake_get_max_protocol_version
00007ff80bd910e3 (__TEXT,__text) external _tls_handshake_get_min_dh_group_size
00007ff80bd90f07 (__TEXT,__text) external _tls_handshake_get_min_protocol_version
00007ff80bd98664 (__TEXT,__text) external _tls_handshake_get_negotiated_cipherspec
00007ff80bd9b1e7 (__TEXT,__text) external _tls_handshake_get_negotiated_curve
00007ff80bd9b0ad (__TEXT,__text) external _tls_handshake_get_negotiated_ems
00007ff80bd9b1df (__TEXT,__text) external _tls_handshake_get_negotiated_protocol_version
00007ff80bd9b28e (__TEXT,__text) external _tls_handshake_get_peer_acceptable_client_auth_type
00007ff80bd9b2a3 (__TEXT,__text) external _tls_handshake_get_peer_acceptable_dn_list
00007ff80bd95971 (__TEXT,__text) external _tls_handshake_get_peer_alpn_data
00007ff80bd95e7b (__TEXT,__text) external _tls_handshake_get_peer_certificates
00007ff80bd911e5 (__TEXT,__text) external _tls_handshake_get_peer_hostname
00007ff80bd9598b (__TEXT,__text) external _tls_handshake_get_peer_npn_data
00007ff80bd9b2c5 (__TEXT,__text) external _tls_handshake_get_peer_ocsp_enabled
00007ff80bd9b2de (__TEXT,__text) external _tls_handshake_get_peer_ocsp_request_extensions
00007ff80bd9b2d1 (__TEXT,__text) external _tls_handshake_get_peer_ocsp_responder_id_list
00007ff80bd96a28 (__TEXT,__text) external _tls_handshake_get_peer_ocsp_response
00007ff80bd9b2b8 (__TEXT,__text) external _tls_handshake_get_peer_psk_identity
00007ff80bd9b2b0 (__TEXT,__text) external _tls_handshake_get_peer_psk_identity_hint
00007ff80bd9b279 (__TEXT,__text) external _tls_handshake_get_peer_requested_ciphersuites
00007ff80bd9b304 (__TEXT,__text) external _tls_handshake_get_peer_requested_ecdh_curves
00007ff80bd9b2f8 (__TEXT,__text) external _tls_handshake_get_peer_sct_enabled
00007ff80bd96a1b (__TEXT,__text) external _tls_handshake_get_peer_sct_list
00007ff80bd959a5 (__TEXT,__text) external _tls_handshake_get_peer_signature_algorithms
00007ff80bd9afbf (__TEXT,__text) external _tls_handshake_get_server_identity_change
00007ff80bd9b1f4 (__TEXT,__text) external _tls_handshake_get_server_random
00007ff80bd9b246 (__TEXT,__text) external _tls_handshake_get_session_match
00007ff80bd9b21b (__TEXT,__text) external _tls_handshake_get_session_proposed
00007ff80bd9b410 (__TEXT,__text) external _tls_handshake_get_session_warning
00007ff80bd9b26c (__TEXT,__text) external _tls_handshake_get_sni_hostname
00007ff80bd9b382 (__TEXT,__text) external _tls_handshake_internal_client_random
00007ff80bd9b319 (__TEXT,__text) external _tls_handshake_internal_master_secret
00007ff80bd973f4 (__TEXT,__text) external _tls_handshake_internal_prf
00007ff80bd9b353 (__TEXT,__text) external _tls_handshake_internal_server_random
00007ff80bd9b3b1 (__TEXT,__text) external _tls_handshake_internal_set_master_secret_function
00007ff80bd9b3c7 (__TEXT,__text) external _tls_handshake_internal_set_session_ticket
00007ff80bd91210 (__TEXT,__text) external _tls_handshake_negotiate
00007ff80bd94a84 (__TEXT,__text) external _tls_handshake_process
00007ff80bd9b12c (__TEXT,__text) external _tls_handshake_request_renegotiation
00007ff80bd9b182 (__TEXT,__text) external _tls_handshake_retransmit_timer_expired
00007ff80bd9b18c (__TEXT,__text) external _tls_handshake_send_alert
00007ff80bd9ae78 (__TEXT,__text) external _tls_handshake_set_acceptable_client_auth_type
00007ff80bd9ae57 (__TEXT,__text) external _tls_handshake_set_acceptable_dn_list
00007ff80bd9af77 (__TEXT,__text) external _tls_handshake_set_alpn_data
00007ff80bd90ef1 (__TEXT,__text) external _tls_handshake_set_callbacks
00007ff80bd9ac3a (__TEXT,__text) external _tls_handshake_set_ciphersuites
00007ff80bd90931 (__TEXT,__text) non-external _tls_handshake_set_ciphersuites_internal
00007ff80bd9ac86 (__TEXT,__text) external _tls_handshake_set_client_auth
00007ff80bd9ae49 (__TEXT,__text) external _tls_handshake_set_client_auth_type
00007ff80bd9089c (__TEXT,__text) external _tls_handshake_set_config
00007ff80bd90cef (__TEXT,__text) external _tls_handshake_set_curves
00007ff80bd9acaf (__TEXT,__text) external _tls_handshake_set_dh_parameters
00007ff80bd9ac2b (__TEXT,__text) external _tls_handshake_set_ems_enable
00007ff80bd9add3 (__TEXT,__text) external _tls_handshake_set_encrypt_rsa_public_key
00007ff80bd9afcf (__TEXT,__text) external _tls_handshake_set_fallback
00007ff80bd9af10 (__TEXT,__text) external _tls_handshake_set_false_start
00007ff80bd9ad2c (__TEXT,__text) external _tls_handshake_set_identity
00007ff80bd910c2 (__TEXT,__text) external _tls_handshake_set_max_protocol_version
00007ff80bd910f0 (__TEXT,__text) external _tls_handshake_set_min_dh_group_size
00007ff80bd910a1 (__TEXT,__text) external _tls_handshake_set_min_protocol_version
00007ff80bd9ac95 (__TEXT,__text) external _tls_handshake_set_mtu
00007ff80bd9af3e (__TEXT,__text) external _tls_handshake_set_npn_data
00007ff80bd9af2f (__TEXT,__text) external _tls_handshake_set_npn_enable
00007ff80bd90f30 (__TEXT,__text) external _tls_handshake_set_ocsp_enable
00007ff80bd9b01d (__TEXT,__text) external _tls_handshake_set_ocsp_request_extensions
00007ff80bd9afee (__TEXT,__text) external _tls_handshake_set_ocsp_responder_id_list
00007ff80bd9b056 (__TEXT,__text) external _tls_handshake_set_ocsp_response
00007ff80bd9aedc (__TEXT,__text) external _tls_handshake_set_peer_ec_public_key
00007ff80bd91113 (__TEXT,__text) external _tls_handshake_set_peer_hostname
00007ff80bd95e85 (__TEXT,__text) external _tls_handshake_set_peer_rsa_public_key
00007ff80bd96a42 (__TEXT,__text) external _tls_handshake_set_peer_trust
00007ff80bd9ae0a (__TEXT,__text) external _tls_handshake_set_psk_identity
00007ff80bd9ae24 (__TEXT,__text) external _tls_handshake_set_psk_identity_hint
00007ff80bd9ae2f (__TEXT,__text) external _tls_handshake_set_psk_secret
00007ff80bd9ac77 (__TEXT,__text) external _tls_handshake_set_renegotiation
00007ff80bd91201 (__TEXT,__text) external _tls_handshake_set_resumption
00007ff80bd90f21 (__TEXT,__text) external _tls_handshake_set_sct_enable
00007ff80bd9b07e (__TEXT,__text) external _tls_handshake_set_sct_list
00007ff80bd9afb0 (__TEXT,__text) external _tls_handshake_set_server_identity_change
00007ff80bd9ac68 (__TEXT,__text) external _tls_handshake_set_session_ticket_enabled
00007ff80bd9b41c (__TEXT,__text) external _tls_handshake_set_session_warning
00007ff80bd90db3 (__TEXT,__text) external _tls_handshake_set_sigalgs
00007ff80bd9b0c9 (__TEXT,__text) external _tls_handshake_set_user_agent
00007ff80bd90e77 (__TEXT,__text) non-external (was a private external) _tls_handshake_sigalg_is_supported
00007ff80bd98b1b (__TEXT,__text) non-external (was a private external) _tls_metric_client_finished
00007ff80bd99917 (__TEXT,__text) non-external (was a private external) _tls_metric_destroyed
00007ff80bd9a435 (__TEXT,__text) non-external _tls_metric_event_add_string
00007ff80bd9a5c3 (__TEXT,__text) non-external _tls_metric_event_done
00007ff80bd9a186 (__TEXT,__text) non-external _tls_metric_event_new
00007ff80bd9d1c8 (__TEXT,__text) non-external (was a private external) _tls_metric_insecure_dh_param
00007ff80bda2428 (__TEXT,__text) non-external _tls_metric_insecure_dh_param.cold.1
00007ff80bd9ab4f (__TEXT,__text) external _tls_private_key_create
00007ff80bd9ac01 (__TEXT,__text) external _tls_private_key_destroy
00007ff80bd9abaf (__TEXT,__text) external _tls_private_key_ecdsa_create
00007ff80bd9abf8 (__TEXT,__text) external _tls_private_key_get_context
00007ff80bd9ab11 (__TEXT,__text) external _tls_private_key_rsa_create
00007ff80bd98841 (__TEXT,__text) external _tls_record_advance_read_cipher
00007ff80bd98375 (__TEXT,__text) external _tls_record_advance_write_cipher
00007ff80bd90f3f (__TEXT,__text) external _tls_record_create
00007ff80bd9452a (__TEXT,__text) external _tls_record_decrypt
00007ff80bd944c3 (__TEXT,__text) external _tls_record_decrypted_size
00007ff80bd999db (__TEXT,__text) external _tls_record_destroy
00007ff80bd93f95 (__TEXT,__text) external _tls_record_encrypt
00007ff80bd93e70 (__TEXT,__text) external _tls_record_encrypted_size
00007ff80bd93f28 (__TEXT,__text) non-external _tls_record_encrypted_size_1
00007ff80bd9442d (__TEXT,__text) external _tls_record_get_header_size
00007ff80bd97dd1 (__TEXT,__text) external _tls_record_init_pending_ciphers
00007ff80bd94444 (__TEXT,__text) external _tls_record_parse_header
00007ff80bd9a7a2 (__TEXT,__text) external _tls_record_parse_ssl2_header
00007ff80bd9a6b4 (__TEXT,__text) external _tls_record_rollback_write_cipher
00007ff80bd934e5 (__TEXT,__text) external _tls_record_set_protocol_version
00007ff80bd98364 (__TEXT,__text) external _tls_record_set_record_splitting
00007ff80bd9a7f1 (__TEXT,__text) external _tls_stream_parser_create
00007ff80bd9a962 (__TEXT,__text) external _tls_stream_parser_destroy
00007ff80bd9a81f (__TEXT,__text) external _tls_stream_parser_parse
                 (undefined) external _vasprintf (from libSystem)
                 (undefined) external _xpc_bool_get_value (from libSystem)
                 (undefined) external _xpc_create_from_plist (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
                 (undefined) external _xpc_get_type (from libSystem)
                 (undefined) external _xpc_release (from libSystem)
                 (undefined) external _xpc_retain (from libSystem)
