00000001da232fdc (__TEXT,__text) external _AMFDRDecodeCertificate
00000001da235918 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_comb
00000001da23593b (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdr2
00000001da23592c (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdrd
00000001da235954 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mcmb
00000001da235940 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mft2
00000001da23591d (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rssl
00000001da235927 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rvok
00000001da235931 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_secb
00000001da235936 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_sreq
00000001da235945 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trpk
00000001da235922 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trst
                 (undefined) external _kImg4TagStr_IM4M (from libamsupport)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001e81f8390 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip224r1
00000001e81f83a0 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip384r1
00000001e81f8380 (__DATA_CONST,__const) non-external (was a private external) _oidEcPrime256v1
00000001e81f8320 (__DATA_CONST,__const) non-external (was a private external) _oidEcPubKey
00000001e81f82e0 (__DATA_CONST,__const) non-external (was a private external) _oidRsa
00000001e81f8350 (__DATA_CONST,__const) non-external (was a private external) _oidSha1
00000001e81f82f0 (__DATA_CONST,__const) non-external (was a private external) _oidSha1Rsa
00000001e81f8360 (__DATA_CONST,__const) non-external (was a private external) _oidSha256
00000001e81f8330 (__DATA_CONST,__const) non-external (was a private external) _oidSha256Ecdsa
00000001e81f8300 (__DATA_CONST,__const) non-external (was a private external) _oidSha256Rsa
00000001e81f8370 (__DATA_CONST,__const) non-external (was a private external) _oidSha384
00000001e81f8340 (__DATA_CONST,__const) non-external (was a private external) _oidSha384Ecdsa
00000001e81f8310 (__DATA_CONST,__const) non-external (was a private external) _oidSha384Rsa
                 (undefined) external _vsnprintf (from libSystem)
