                 (undefined) external _AnalyticsSendEvent (from CoreAnalytics)
                 (undefined) external _CONTAINER_PERSONA_PRIMARY (from libSystem)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
                 (undefined) external _NSURLSessionTaskPriorityDefault (from Foundation)
                 (undefined) external _OBJC_CLASS_$_BMStoreConfig (from BiomeStorage)
                 (undefined) external _OBJC_CLASS_$_GEOCountryConfiguration (from GeoServices)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileHandle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHTTPURLResponse (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOutputStream (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPropertyListSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSessionConfiguration (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
00000002953df138 (__DATA_DIRTY,__objc_data) non-external (was a private external) _OBJC_CLASS_$__TtC20PegasusConfiguration14ConfigInternal
0000000257688e68 (__TEXT,__text) non-external _OUTLINED_FUNCTION_72
0000000257688e80 (__TEXT,__text) non-external _OUTLINED_FUNCTION_73
0000000257688e98 (__TEXT,__text) non-external _OUTLINED_FUNCTION_74
0000000257688eb0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_75
0000000257688ec4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_76
0000000257688ed0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_77
0000000257688ee4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_78
0000000257688ef0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_79
0000000257688968 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000257688ef0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000257688f84 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
000000025769086c (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
000000025769393c (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000002576a2c88 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000002576af6f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000002576b5af4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000002576b9410 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000257688efc (__TEXT,__text) non-external _OUTLINED_FUNCTION_80
0000000257688f10 (__TEXT,__text) non-external _OUTLINED_FUNCTION_81
0000000257688f1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_82
0000000257688f44 (__TEXT,__text) non-external _OUTLINED_FUNCTION_83
0000000257688f64 (__TEXT,__text) non-external _OUTLINED_FUNCTION_84
0000000257688f84 (__TEXT,__text) non-external _OUTLINED_FUNCTION_85
0000000257688fa4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_86
0000000257688fc4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_87
0000000257688fe4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_88
0000000257688978 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
0000000257688d50 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000025769088c (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
00000002576a0788 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
00000002576a2ca0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
00000002576b9420 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
00000002576bb0e0 (__TEXT,__const) non-external (was a private external) _PegasusConfigurationVersionNumber
00000002576bb0a0 (__TEXT,__const) non-external (was a private external) _PegasusConfigurationVersionString
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFPropertyListCreateFiltered (from CoreFoundation)
00000002576bad90 (__TEXT,__objc_methlist) non-external __CLASS_METHODS__TtC20PegasusConfiguration14ConfigInternal
00000002991d8690 (__AUTH_CONST,__objc_const) non-external __CLASS_PROPERTIES__TtC20PegasusConfiguration14ConfigInternal
00000002991d7ef8 (__AUTH_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration10ParsecKeys
00000002953df2b8 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC20PegasusConfiguration14ConfigInternal
00000002991d83e0 (__AUTH_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration15ActivityMonitor
00000002991d81f0 (__AUTH_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration15TaskCoordinator
00000002953df0d8 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC20PegasusConfiguration18ResourceAccessSpan
00000002991d8280 (__AUTH_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration20ConfigurationLogging
00000002991d8088 (__AUTH_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration20ConfigurationManager
00000002953df270 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC20PegasusConfiguration21ConfigFactoryInternal
00000002953df220 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC20PegasusConfiguration23ParsecURLRequestBuilder
00000002991d76a8 (__AUTH_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration23PegasusConfigController
00000002991d8c50 (__AUTH_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration24PARNetworkRequestFactory
00000002953df090 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC20PegasusConfiguration25ResourceAccessNetworkSpan
00000002991d7e40 (__AUTH_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration6Locker
00000002991d7980 (__AUTH_CONST,__objc_const) non-external __DATA__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C819ConfigUsageReporter
00000002991d7860 (__AUTH_CONST,__objc_const) non-external __DATA__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C820ConfigTaskController
00000002991d7fd0 (__AUTH_CONST,__objc_const) non-external __DATA__TtC20PegasusConfigurationP33_EEAC374B6C6B78E84C914C3750C38BD020URLSessionDataSource
00000002991d8498 (__AUTH_CONST,__objc_const) non-external __DATA__TtCC20PegasusConfiguration15ActivityMonitor13WeakReference
00000002991d7a98 (__AUTH_CONST,__objc_const) non-external __DATA__TtCC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C819ConfigUsageReporter5State
00000002576bada8 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC20PegasusConfiguration21ConfigFactoryInternal
00000002991d7ed0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration10ParsecKeys
00000002991d82c8 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration11NetworkSpan
00000002991d8838 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration12ActivitySpan
00000002991d85d0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration13DiskWriteSpan
00000002991d87f0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration14AtomicProperty
00000002991d8700 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration14ConfigInternal
00000002991d8378 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration15ActivityMonitor
00000002991d81c8 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration15TaskCoordinator
00000002991d8528 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration18ResourceAccessSpan
00000002991d8060 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration20ConfigurationManager
00000002991d8118 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration23ParsecURLRequestBuilder
00000002991d7520 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration23PegasusConfigController
00000002991d8988 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration24PARNetworkRequestFactory
00000002991d7d88 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration25ResourceAccessNetworkSpan
00000002991d7e18 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration6Locker
00000002991d7958 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C819ConfigUsageReporter
00000002991d7798 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C820ConfigTaskController
00000002991d78a8 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C89Container
00000002991d7f88 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfigurationP33_EEAC374B6C6B78E84C914C3750C38BD020URLSessionDataSource
00000002991d8470 (__AUTH_CONST,__objc_const) non-external __IVARS__TtCC20PegasusConfiguration15ActivityMonitor13WeakReference
00000002991d7a10 (__AUTH_CONST,__objc_const) non-external __IVARS__TtCC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C819ConfigUsageReporter5State
00000002991d7e88 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration10ParsecKeys
00000002991d86a8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration14ConfigInternal
00000002991d8330 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration15ActivityMonitor
00000002991d8180 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration15TaskCoordinator
00000002991d84e0 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration18ResourceAccessSpan
00000002991d8238 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration20ConfigurationLogging
00000002991d8018 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration20ConfigurationManager
00000002991d8628 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration21ConfigFactoryInternal
00000002991d80d0 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration23ParsecURLRequestBuilder
00000002991d74d8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration23PegasusConfigController
00000002991d8940 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration24PARNetworkRequestFactory
00000002991d7d40 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration25ResourceAccessNetworkSpan
00000002991d7dd0 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration6Locker
00000002991d7910 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C819ConfigUsageReporter
00000002991d7750 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C820ConfigTaskController
00000002991d7f40 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfigurationP33_EEAC374B6C6B78E84C914C3750C38BD020URLSessionDataSource
00000002991d8428 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtCC20PegasusConfiguration15ActivityMonitor13WeakReference
00000002991d79c8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtCC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C819ConfigUsageReporter5State
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000002991d7d18 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_NSSecureCoding
00000002576badd8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS__TtC20PegasusConfiguration14ConfigInternal(PegasusConfiguration)
00000002991d7c10 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000002576baea0 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_CLASS_METHODS_NSSecureCoding
00000002576baeb8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCoding
00000002576baed8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000002576bafc8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000002991d7d30 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCoding
00000002991d7c58 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000002991d7d10 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSSecureCoding
00000002991d7cf8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSSecureCoding
00000002991d7be0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_nw_activity
00000002991d7bf8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_os_transaction
000000028d111390 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCoding
000000028d111378 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
000000028d111380 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSSecureCoding
000000028d111368 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_OS_nw_activity
000000028d111370 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_OS_os_transaction
0000000292eba7f0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCoding
0000000292eba730 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
0000000292eba790 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSSecureCoding
0000000292eba5e0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_OS_nw_activity
0000000292eba650 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_OS_os_transaction
00000002991d8788 (__AUTH_CONST,__objc_const) non-external __PROPERTIES__TtC20PegasusConfiguration14ConfigInternal
00000002991d8680 (__AUTH_CONST,__objc_const) non-external __PROTOCOLS__TtC20PegasusConfiguration14ConfigInternal
00000002991d86f0 (__AUTH_CONST,__objc_const) non-external __PROTOCOLS__TtC20PegasusConfiguration14ConfigInternal.7
00000002991d8618 (__AUTH_CONST,__objc_const) non-external __PROTOCOLS__TtC20PegasusConfiguration21ConfigFactoryInternal
00000002991d8670 (__AUTH_CONST,__objc_const) non-external __PROTOCOLS__TtC20PegasusConfiguration21ConfigFactoryInternal.2
00000002576bafe0 (__TEXT,__objc_methlist) non-external __PROTOCOL_INSTANCE_METHODS__TtP20PegasusConfiguration13ConfigFactory_
00000002576bb000 (__TEXT,__objc_methlist) non-external __PROTOCOL_INSTANCE_METHODS__TtP20PegasusConfiguration6Config_
00000002991d7bd0 (__AUTH_CONST,__objc_const) non-external (was a private external) __PROTOCOL_METHOD_TYPES__TtP20PegasusConfiguration13ConfigFactory_
00000002991d7b60 (__AUTH_CONST,__objc_const) non-external (was a private external) __PROTOCOL_METHOD_TYPES__TtP20PegasusConfiguration6Config_
00000002991d7af8 (__AUTH_CONST,__objc_const) non-external (was a private external) __PROTOCOL_PROPERTIES__TtP20PegasusConfiguration6Config_
00000002991d7bc0 (__AUTH_CONST,__objc_const) non-external (was a private external) __PROTOCOL_PROTOCOLS__TtP20PegasusConfiguration13ConfigFactory_
00000002991d7ae0 (__AUTH_CONST,__objc_const) non-external (was a private external) __PROTOCOL_PROTOCOLS__TtP20PegasusConfiguration6Config_
00000002991d76f0 (__AUTH_CONST,__objc_const) non-external (was a private external) __PROTOCOL__TtP20PegasusConfiguration13ConfigFactory_
00000002991d7478 (__AUTH_CONST,__objc_const) non-external (was a private external) __PROTOCOL__TtP20PegasusConfiguration6Config_
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
0000000257687304 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00000002576c98d8 (__TEXT,__swift_as_entry) non-external ___swift_async_entry_functlets
00000002576c9910 (__TEXT,__swift_as_entry) non-external ___swift_async_entry_functlets
00000002576c9918 (__TEXT,__swift_as_entry) non-external ___swift_async_entry_functlets
00000002576c9928 (__TEXT,__swift_as_entry) non-external ___swift_async_entry_functlets
00000002576c9934 (__TEXT,__swift_as_entry) non-external ___swift_async_entry_functlets
00000002576c993c (__TEXT,__swift_as_ret) non-external ___swift_async_ret_functlets
00000002576c9974 (__TEXT,__swift_as_ret) non-external ___swift_async_ret_functlets
00000002576c997c (__TEXT,__swift_as_ret) non-external ___swift_async_ret_functlets
00000002576c9994 (__TEXT,__swift_as_ret) non-external ___swift_async_ret_functlets
00000002576c99a0 (__TEXT,__swift_as_ret) non-external ___swift_async_ret_functlets
0000000257687eb8 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_0
0000000257687eb8 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_0Tm
0000000257687eb8 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
0000000257687eb8 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
0000000257687eb8 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
0000000257687eb8 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
000000025767817c (__TEXT,__text) non-external (was a private external) ___swift_getEnumTagSinglePayload
0000000257677c64 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
000000025768b764 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstract
00000002576885d8 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00000002576855dc (__TEXT,__text) non-external (was a private external) ___swift_memcpy0_1
0000000257688734 (__TEXT,__text) non-external (was a private external) ___swift_memcpy10_8
0000000257685704 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
000000025769d440 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
0000000257684f68 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
00000002576ac774 (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
000000025768cd1c (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
000000025768dda0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy48_8
000000025768579c (__TEXT,__text) non-external (was a private external) ___swift_memcpy4_4
00000002576b71dc (__TEXT,__text) non-external (was a private external) ___swift_memcpy56_8
000000025769cba8 (__TEXT,__text) non-external (was a private external) ___swift_memcpy64_8
000000025769e3fc (__TEXT,__text) non-external (was a private external) ___swift_memcpy8_8
000000025769f254 (__TEXT,__text) non-external (was a private external) ___swift_memcpy9_8
0000000257684f74 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
00000002576875b8 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_0
00000002576875b8 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
00000002576875b8 (__TEXT,__text) non-external ___swift_project_boxed_opaque_existential_1Tm
00000002576872cc (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
00000002576bbfc0 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
0000000257685398 (__TEXT,__text) non-external (was a private external) ___swift_storeEnumTagSinglePayload
00000002991d63f8 (__AUTH_CONST,__const) non-external ___unnamed_1
00000002991d68d0 (__AUTH_CONST,__const) non-external ___unnamed_1
00000002991d7250 (__AUTH_CONST,__const) non-external ___unnamed_1
00000002991d7308 (__AUTH_CONST,__const) non-external ___unnamed_1
00000002576bf030 (__TEXT,__const) non-external ___unnamed_10
00000002991d6d20 (__AUTH_CONST,__const) non-external ___unnamed_13
00000002991d5560 (__AUTH_CONST,__const) non-external ___unnamed_27
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __os_signpost_emit_with_name_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) external __swiftEmptySetSingleton (from libswiftCore)
                 (undefined) external __swiftImmortalRefCount (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
000000028d1112a8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
000000028d111298 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDispatch_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftFoundation (from Foundation)
000000028d1112a0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftFoundation_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftIOKit (from libswiftIOKit)
000000028d1112b0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftIOKit_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftOSLog (from libswiftOSLog)
000000028d111270 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftOSLog_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftObjectiveC (from libswiftObjectiveC)
000000028d111280 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftObjectiveC_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftXPC (from libswiftXPC)
000000028d111290 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftXPC_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_Builtin_float (from libswift_Builtin_float)
000000028d111288 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_Builtin_float_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftos (from libswiftos)
000000028d111278 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftos_$_PegasusConfiguration
                 (undefined) external __swift_stdlib_bridgeErrorToNSError (from libswiftCore)
000000025768c7e4 (__TEXT,__text) non-external __swift_stdlib_malloc_size
                 (undefined) external __swift_stdlib_reportUnimplementedInitializer (from libswiftCore)
00000002576c222e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration0A10ClientNameOSHAASQ
00000002576c2246 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration0A10ClientNameOs12CaseIterableAA8AllCasessADP_Sl
00000002576c2dd2 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration10ClientTypeOSHAASQ
00000002576c2de0 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration11SessionTypeOSHAASQ
00000002576c2dca (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration14DiskWriteErrorOSHAASQ
00000002576c2718 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration15TaskCoordinatorC0C5ErrorOSHAASQ
00000002576c2710 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration15TaskCoordinatorC6Status33_3A4A10173630CF733A77E96DD0593E7ALLOSHAASQ
00000002576c2d8c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration17DiskWriteActivityOSHAASQ
00000002576c2c80 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration19FederatedIdentifierV10CodingKeys33_D82AAE62AA41801EAC09AF9206AC6A29LLOSHAASQ
00000002576c2c90 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration19FederatedIdentifierV10CodingKeys33_D82AAE62AA41801EAC09AF9206AC6A29LLOs0E3KeyAAs23CustomStringConvertible
00000002576c2c88 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration19FederatedIdentifierV10CodingKeys33_D82AAE62AA41801EAC09AF9206AC6A29LLOs0E3KeyAAs28CustomDebugStringConvertible
00000002576c2c5e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration19FederatedIdentifierVSHAASQ
00000002576c2c66 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration19FederatedIdentifierVSLAASQ
00000002576c2808 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration20Useragentpb_ClientIDO21InternalSwiftProtobuf4EnumAASH
00000002576c2810 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration20Useragentpb_ClientIDO21InternalSwiftProtobuf4EnumAASY
00000002576c281e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration20Useragentpb_ClientIDOSHAASQ
00000002576c2830 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration20Useragentpb_ClientIDOs12CaseIterableAA8AllCasessADP_Sl
00000002576c2c98 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration21DataVaultStorageClassOSHAASQ
00000002576c2cb0 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration21DataVaultStorageClassOs12CaseIterableAA8AllCasessADP_Sl
00000002576c2586 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration21ResourceAccessOutcomeOSHAASQ
00000002576c257e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration22ResourceAccessActivityOSHAASQ
00000002576c25fc (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration23ParsecURLRequestBuilderC8URLErrorOSHAASQ
