                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00000001d6bdfe58 (__AUTH,__data) external _CMFSSEAM_DEFAULT
000000018a526484 (__TEXT,__text) non-external __container_references_log_if_error
000000018a527a64 (__TEXT,__text) non-external __container_references_query_execute
000000018a526420 (__TEXT,__text) non-external __container_references_replace_error
000000018a523afc (__TEXT,__text) non-external __container_serialize_copy_deserialized_reference_v1
00000001d55ead68 (__DATA,__bss) non-external __container_xpc_invalidate_shared_connection_after_timeout.onceToken
00000001d55ead60 (__DATA,__bss) non-external __container_xpc_invalidate_shared_connection_after_timeout.queue
00000001d55ead80 (__DATA,__bss) non-external __container_xpc_pthread_key_for_client_context.key
00000001d55ead88 (__DATA,__bss) non-external __container_xpc_pthread_key_for_client_context.onceToken
00000001d55ead78 (__DATA,__bss) non-external __incomingPreprocessor
                 (undefined) external __os_activity_create (from libsystem_trace)
                 (undefined) external __os_activity_current (from libsystem_trace)
                 (undefined) external __os_crash (from libsystem_c)
                 (undefined) external __os_feature_enabled_impl (from libsystem_featureflags)
                 (undefined) external __os_log_debug_impl (from libsystem_trace)
                 (undefined) external __os_log_disabled (from libsystem_trace)
                 (undefined) external __os_log_error_impl (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
                 (undefined) external __os_log_impl (from libsystem_trace)
                 (undefined) external __os_signpost_emit_with_name_impl (from libsystem_trace)
00000001d55ead70 (__DATA,__bss) non-external __outgoingPostprocessor
00000001d55eacd8 (__DATA,__data) non-external __outgoingSender
                 (undefined) external __xpc_error_connection_interrupted (from libxpc)
                 (undefined) external __xpc_error_connection_invalid (from libxpc)
                 (undefined) external __xpc_error_termination_imminent (from libxpc)
                 (undefined) external __xpc_type_array (from libxpc)
                 (undefined) external __xpc_type_dictionary (from libxpc)
                 (undefined) external __xpc_type_error (from libxpc)
                 (undefined) external __xpc_type_string (from libxpc)
                 (undefined) external _acl_add_perm (from libsystem_c)
                 (undefined) external _acl_create_entry (from libsystem_c)
                 (undefined) external _acl_free (from libsystem_c)
                 (undefined) external _acl_get_flagset_np (from libsystem_c)
                 (undefined) external _acl_get_permset (from libsystem_c)
                 (undefined) external _acl_init (from libsystem_c)
                 (undefined) external _acl_set_flagset_np (from libsystem_c)
                 (undefined) external _acl_set_permset (from libsystem_c)
                 (undefined) external _acl_set_qualifier (from libsystem_c)
                 (undefined) external _acl_set_tag_type (from libsystem_c)
                 (undefined) external _acl_to_text (from libsystem_c)
                 (undefined) external _arc4random (from libsystem_c)
                 (undefined) external _asprintf (from libsystem_c)
                 (undefined) external _bzero (from libsystem_c)
000000018a51d40c (__TEXT,__text) non-external _c_array_append
000000018a51d4f8 (__TEXT,__text) non-external _c_array_deinit
                 (undefined) external _calloc (from libsystem_malloc)
                 (undefined) external _close (from libsystem_kernel)
                 (undefined) external _closedir (from libsystem_c)
000000018a53ce48 (__TEXT,__text) external _container_acquire_sandbox_extension
000000018a524db4 (__TEXT,__text) external _container_audit_token_copy_codesign_hash
000000018a524d44 (__TEXT,__text) external _container_audit_token_copy_codesign_identifier
000000018a524f44 (__TEXT,__text) external _container_audit_token_copy_entitlement
000000018a524dec (__TEXT,__text) external _container_audit_token_copy_executable_name
000000018a525148 (__TEXT,__text) external _container_audit_token_for_pid
000000018a524d80 (__TEXT,__text) external _container_audit_token_get_codesign_status
000000018a525140 (__TEXT,__text) external _container_audit_token_get_egid
000000018a525138 (__TEXT,__text) external _container_audit_token_get_euid
000000018a524d78 (__TEXT,__text) external _container_audit_token_get_pid
000000018a525018 (__TEXT,__text) external _container_audit_token_get_platform
000000018a525354 (__TEXT,__text) external _container_audit_token_is_valid
000000018a531b50 (__TEXT,__text) external _container_base64_decode
000000018a531d4c (__TEXT,__text) external _container_base64_decode_string
000000018a531960 (__TEXT,__text) external _container_base64_encode
000000018a531b0c (__TEXT,__text) external _container_base64_encode_string
000000018a536594 (__TEXT,__text) external _container_bundle_copy_data_container
000000018a535bb8 (__TEXT,__text) external _container_bundle_copy_data_container_path
000000018a529bf8 (__TEXT,__text) external _container_class_for_each_normalized_class
000000018a529b44 (__TEXT,__text) external _container_class_normalized
000000018a529be0 (__TEXT,__text) external _container_class_supports_data_subdirectory
000000018a529af0 (__TEXT,__text) external _container_class_supports_randomized_path
000000018a529b68 (__TEXT,__text) external _container_class_supports_randomized_path_on_current_platform
000000018a51efc4 (__TEXT,__text) external _container_client_copy_decoded_from_xpc_object
000000018a51edac (__TEXT,__text) external _container_client_copy_encoded_xpc_object
000000018a51f474 (__TEXT,__text) external _container_client_copy_entitlement
000000018a51fa84 (__TEXT,__text) external _container_client_create_from_audit_token
000000018a51f7dc (__TEXT,__text) external _container_client_get_audit_token
000000018a51f3d0 (__TEXT,__text) external _container_client_get_codesign_identifier
000000018a51f73c (__TEXT,__text) external _container_client_get_egid
000000018a51f69c (__TEXT,__text) external _container_client_get_euid
000000018a51f5fc (__TEXT,__text) external _container_client_get_persona_unique_string
000000018a51f888 (__TEXT,__text) external _container_client_get_pid
000000018a51f55c (__TEXT,__text) external _container_client_get_platform
000000018a51eb60 (__TEXT,__text) external _container_client_initializer
000000018a51fa3c (__TEXT,__text) external _container_client_is_alive
000000018a51fa28 (__TEXT,__text) external _container_client_is_platform_binary
000000018a51f928 (__TEXT,__text) external _container_client_is_sandboxed
000000018a51fa14 (__TEXT,__text) external _container_client_is_signature_valid
000000018a51fa00 (__TEXT,__text) external _container_client_is_signed
000000018a51f9ec (__TEXT,__text) external _container_client_is_test_client
000000018a51e9d0 (__TEXT,__text) external _container_codesign_copy_cdhash
000000018a51e878 (__TEXT,__text) external _container_codesign_copy_cs_identity
000000018a51ea70 (__TEXT,__text) external _container_codesign_copy_current_identifier
000000018a51e7b4 (__TEXT,__text) external _container_codesign_get_self_audit_token
000000018a51eabc (__TEXT,__text) external _container_codesign_get_status
000000018a51fe54 (__TEXT,__text) external _container_copy_client
000000018a53a86c (__TEXT,__text) external _container_copy_code_signing_info_for_identifier
000000018a53cb54 (__TEXT,__text) external _container_copy_from_path
000000018a52ee28 (__TEXT,__text) external _container_copy_info
000000018a539554 (__TEXT,__text) external _container_copy_info_value_for_key
000000018a52f5c8 (__TEXT,__text) external _container_copy_object
000000018a52eb14 (__TEXT,__text) external _container_copy_path
000000018a53c45c (__TEXT,__text) external _container_copy_persona_unique_strings
000000018a52f454 (__TEXT,__text) external _container_copy_sandbox_token
000000018a52f750 (__TEXT,__text) external _container_copy_unlocalized_description
000000018a52f8a4 (__TEXT,__text) external _container_create_merged_array
000000018a536780 (__TEXT,__text) external _container_create_or_lookup
000000018a53d168 (__TEXT,__text) external _container_create_or_lookup_app_group_path_by_app_group_identifier
000000018a5377d8 (__TEXT,__text) external _container_create_or_lookup_app_group_paths
000000018a5377e4 (__TEXT,__text) external _container_create_or_lookup_app_group_paths_for_current_user
000000018a537904 (__TEXT,__text) external _container_create_or_lookup_app_group_paths_for_platform
000000018a537bb8 (__TEXT,__text) external _container_create_or_lookup_app_group_paths_from_entitlements
000000018a537bc8 (__TEXT,__text) external _container_create_or_lookup_app_group_paths_from_entitlements_4ls
000000018a53679c (__TEXT,__text) external _container_create_or_lookup_for_current_user
000000018a5368f4 (__TEXT,__text) external _container_create_or_lookup_for_platform
000000018a537bb0 (__TEXT,__text) external _container_create_or_lookup_group_container_paths_for_current_user
000000018a53510c (__TEXT,__text) external _container_create_or_lookup_path
000000018a535260 (__TEXT,__text) external _container_create_or_lookup_path_for_current_user
000000018a5353b8 (__TEXT,__text) external _container_create_or_lookup_path_for_platform
000000018a536ee0 (__TEXT,__text) external _container_create_or_lookup_system_group_paths
000000018a53baec (__TEXT,__text) external _container_create_or_lookup_user_managed_assets_path
000000018a53bc84 (__TEXT,__text) external _container_create_or_lookup_user_managed_assets_relative_path
000000018a538f1c (__TEXT,__text) external _container_delete
000000018a53a5f0 (__TEXT,__text) external _container_delete_all_container_content
000000018a53a3fc (__TEXT,__text) external _container_delete_all_data_container_content
000000018a53a404 (__TEXT,__text) external _container_delete_all_data_container_content_for_current_user
000000018a5390e4 (__TEXT,__text) external _container_delete_array_of_containers
000000018a53be1c (__TEXT,__text) external _container_delete_user_managed_assets
000000018a538c48 (__TEXT,__text) external _container_delete_with_class_and_identifier_for_current_user
000000018a538c34 (__TEXT,__text) external _container_delete_with_uid_class_and_identifier
000000018a53a090 (__TEXT,__text) external _container_disk_usage
000000018a52e53c (__TEXT,__text) external _container_disposition
000000018a52e5f4 (__TEXT,__text) external _container_disposition_for_array
000000018a5293ec (__TEXT,__text) external _container_entitlements_copy_container_identifiers
000000018a51ca48 (__TEXT,__text) external _container_error_copy
000000018a51cbf4 (__TEXT,__text) external _container_error_copy_unlocalized_description
000000018a51c928 (__TEXT,__text) external _container_error_create
000000018a51ca5c (__TEXT,__text) external _container_error_free
000000018a51ca38 (__TEXT,__text) external _container_error_get_category
000000018a51ca1c (__TEXT,__text) external _container_error_get_path
000000018a51ca40 (__TEXT,__text) external _container_error_get_posix_errno
000000018a51ca24 (__TEXT,__text) external _container_error_get_type
000000018a51c920 (__TEXT,__text) external _container_error_is_fatal
000000018a51ccc0 (__TEXT,__text) external _container_error_is_file_system_error
000000018a51c994 (__TEXT,__text) external _container_error_reinitialize
000000018a53c6c0 (__TEXT,__text) external _container_flush_container_cache
000000018a53c8e4 (__TEXT,__text) external _container_flush_persona_cache
000000018a52f6e0 (__TEXT,__text) external _container_free_array_of_containers
000000018a51ffe4 (__TEXT,__text) external _container_free_client
000000018a52f6dc (__TEXT,__text) external _container_free_object
000000018a51d59c (__TEXT,__text) external _container_frozenset_copyout_external_bytes
000000018a51cf40 (__TEXT,__text) external _container_frozenset_create
000000018a51d5f0 (__TEXT,__text) external _container_frozenset_create_from_external_bytes
000000018a51d558 (__TEXT,__text) external _container_frozenset_destroy
000000018a51d8d0 (__TEXT,__text) external _container_frozenset_enumerate_matches
000000018a51d6d8 (__TEXT,__text) external _container_frozenset_get_container_class_of_container_at_index
000000018a51d648 (__TEXT,__text) external _container_frozenset_get_count
000000018a51d654 (__TEXT,__text) external _container_frozenset_get_generation
000000018a51d72c (__TEXT,__text) external _container_frozenset_get_identifier_of_container_at_index
000000018a51d680 (__TEXT,__text) external _container_frozenset_get_is_new_of_container_at_index
000000018a51d6ac (__TEXT,__text) external _container_frozenset_get_is_transient_of_container_at_index
000000018a51d7a8 (__TEXT,__text) external _container_frozenset_get_path_of_container_at_index
000000018a51d768 (__TEXT,__text) external _container_frozenset_get_persona_unique_string_of_container_at_index
000000018a51d868 (__TEXT,__text) external _container_frozenset_get_stored_string
000000018a51d704 (__TEXT,__text) external _container_frozenset_get_uid_of_container_at_index
000000018a51d7e8 (__TEXT,__text) external _container_frozenset_get_uma_relative_path_of_container_at_index
000000018a51d828 (__TEXT,__text) external _container_frozenset_get_unique_path_component_of_container_at_index
000000018a51d660 (__TEXT,__text) external _container_frozenset_get_uuid_of_container_at_index
000000018a51e1c0 (__TEXT,__text) external _container_fs_add_path_component
000000018a51e3a0 (__TEXT,__text) external _container_fs_append_trailing_slash
000000018a51de20 (__TEXT,__text) external _container_fs_item_exists
000000018a51dccc (__TEXT,__text) external _container_fs_item_exists_at
000000018a51df70 (__TEXT,__text) external _container_fs_load_plist_at
000000018a51e304 (__TEXT,__text) external _container_fs_path_at
000000018a51e27c (__TEXT,__text) external _container_fs_resolve_dirent_type_at
000000018a5380fc (__TEXT,__text) external _container_get_all_with_class
000000018a538110 (__TEXT,__text) external _container_get_all_with_class_for_current_user
000000018a52e5dc (__TEXT,__text) external _container_get_class
000000018a51cc9c (__TEXT,__text) external _container_get_error_description
000000018a52eae0 (__TEXT,__text) external _container_get_identifier
000000018a52f0e0 (__TEXT,__text) external _container_get_info
000000018a52f210 (__TEXT,__text) external _container_get_info_value_for_key
000000018a52eafc (__TEXT,__text) external _container_get_path
000000018a52eaf0 (__TEXT,__text) external _container_get_persona_unique_string
000000018a52e5e8 (__TEXT,__text) external _container_get_uid
000000018a52eaec (__TEXT,__text) external _container_get_unique_path_component
000000018a52eb08 (__TEXT,__text) external _container_get_user_managed_assets_relative_path
00000001d55eaff0 (__DATA,__bss) non-external _container_global_sandbox_extension_per_persona_lock
000000018a537ea0 (__TEXT,__text) external _container_group_container_identifiers_for_current_user
000000018a529944 (__TEXT,__text) external _container_internal_get_first_boot_uuid
00000001d55ead98 (__DATA,__bss) non-external _container_internal_get_first_boot_uuid.length
00000001d55eada0 (__DATA,__bss) non-external _container_internal_get_first_boot_uuid.once
00000001d55ead90 (__DATA,__bss) non-external _container_internal_get_first_boot_uuid.uuid
000000018a53aadc (__TEXT,__text) external _container_invalidate_code_signing_cache
000000018a52fa28 (__TEXT,__text) external _container_is_equal
000000018a52f3e0 (__TEXT,__text) external _container_is_new
000000018a52edf4 (__TEXT,__text) external _container_is_transient
000000018a529824 (__TEXT,__text) external _container_log_client_fault_logging_is_enabled
000000018a52a1d4 (__TEXT,__text) external _container_log_error
000000018a52adfc (__TEXT,__text) external _container_log_error_with_faults
000000018a52a87c (__TEXT,__text) external _container_log_ext_error
000000018a52ae0c (__TEXT,__text) external _container_log_ext_error_with_faults
000000018a529f74 (__TEXT,__text) external _container_log_handle_for_category
00000001d55eada8 (__DATA,__bss) non-external _container_log_handle_for_category.logHandles
00000001d55eae60 (__DATA,__bss) non-external _container_log_handle_for_category.onceToken
000000018a52b254 (__TEXT,__text) external _container_log_replication_disable
000000018a52ae1c (__TEXT,__text) external _container_log_replication_enable_to_uid_relative_path
000000018a52b264 (__TEXT,__text) external _container_log_replication_prune_for_uid
000000018a529830 (__TEXT,__text) external _container_log_set_client_fault_logging
000000018a530cfc (__TEXT,__text) external _container_object_copy
000000018a53097c (__TEXT,__text) external _container_object_create
000000018a530af4 (__TEXT,__text) external _container_object_create_blank
000000018a530b00 (__TEXT,__text) external _container_object_free
000000018a530f08 (__TEXT,__text) external _container_object_get_class
000000018a530eb0 (__TEXT,__text) external _container_object_get_identifier
000000018a5314f4 (__TEXT,__text) external _container_object_get_info
000000018a530fd4 (__TEXT,__text) external _container_object_get_path
000000018a531084 (__TEXT,__text) external _container_object_get_persona_unique_string
000000018a53153c (__TEXT,__text) external _container_object_get_query
000000018a531518 (__TEXT,__text) external _container_object_get_sandbox_token
000000018a530f70 (__TEXT,__text) external _container_object_get_uid
000000018a53102c (__TEXT,__text) external _container_object_get_unique_path_component
000000018a5311bc (__TEXT,__text) external _container_object_get_user_managed_assets_relative_path
000000018a530e50 (__TEXT,__text) external _container_object_get_uuid
000000018a5310dc (__TEXT,__text) external _container_object_is_new
000000018a53114c (__TEXT,__text) external _container_object_is_transient
000000018a531214 (__TEXT,__text) external _container_object_sandbox_extension_activate
000000018a53194c (__TEXT,__text) external _container_object_set_backing_store_from_query
000000018a531544 (__TEXT,__text) external _container_object_set_class
000000018a5317d8 (__TEXT,__text) external _container_object_set_info
000000018a531728 (__TEXT,__text) external _container_object_set_path
000000018a531824 (__TEXT,__text) external _container_object_set_sandbox_token
000000018a531888 (__TEXT,__text) external _container_object_set_transient
000000018a531780 (__TEXT,__text) external _container_object_set_unique_path_component
000000018a5318f4 (__TEXT,__text) external _container_object_set_user_managed_assets_relative_path
000000018a5318b4 (__TEXT,__text) external _container_object_set_uuid
000000018a52e6c4 (__TEXT,__text) external _container_object_update_metadata
000000018a524ac8 (__TEXT,__text) external _container_operation_complete_background_tasks
000000018a523ec8 (__TEXT,__text) external _container_operation_delete
000000018a5240b4 (__TEXT,__text) external _container_operation_delete_array
000000018a5246e4 (__TEXT,__text) external _container_operation_delete_reclaim_disk_space
000000018a520084 (__TEXT,__text) external _container_paths_context_create
000000018a520790 (__TEXT,__text) external _container_paths_context_free
000000018a520100 (__TEXT,__text) external _container_paths_context_set_class
000000018a520380 (__TEXT,__text) external _container_paths_context_set_flags
000000018a5204bc (__TEXT,__text) external _container_paths_context_set_persona_unique_string
000000018a52023c (__TEXT,__text) external _container_paths_context_set_transient
000000018a52064c (__TEXT,__text) external _container_paths_context_set_uid
000000018a520ad0 (__TEXT,__text) external _container_paths_copy_container_at
000000018a520808 (__TEXT,__text) external _container_paths_copy_container_from_path
000000018a53ea20 (__TEXT,__const) non-external _container_paths_copy_container_from_path.data_dir
000000018a522674 (__TEXT,__text) external _container_paths_copy_container_root_path_for_context
000000018a523560 (__TEXT,__text) external _container_paths_copy_uid_home_relative
000000018a522e28 (__TEXT,__text) external _container_paths_create_uid_home_relative
000000018a5210d0 (__TEXT,__text) external _container_paths_enumerate_containers_at
000000018a534068 (__TEXT,__text) external _container_perfect_hash_copyout_external_bytes
000000018a534114 (__TEXT,__text) external _container_perfect_hash_count
000000018a5331c8 (__TEXT,__text) external _container_perfect_hash_create
000000018a5340bc (__TEXT,__text) external _container_perfect_hash_create_from_external_bytes
000000018a534024 (__TEXT,__text) external _container_perfect_hash_destroy
000000018a53415c (__TEXT,__text) external _container_perfect_hash_index_of
000000018a53411c (__TEXT,__text) external _container_perfect_hash_num_indexes
000000018a53afd8 (__TEXT,__text) external _container_perform_data_migration
000000018a53b230 (__TEXT,__text) external _container_perform_data_migration_for_current_user
000000018a53ca98 (__TEXT,__text) external _container_perform_with_client_context
000000018a529c94 (__TEXT,__text) external _container_persona_collect_all_ids
000000018a529f1c (__TEXT,__text) external _container_persona_convert_unique_string_to_persona_uid
000000018a529dd0 (__TEXT,__text) external _container_persona_foreach
000000018a539e40 (__TEXT,__text) external _container_process_restored_container
000000018a534d6c (__TEXT,__text) external _container_pwd_copy_user_home_path
000000018a53478c (__TEXT,__text) external _container_pwd_for_name
000000018a534b3c (__TEXT,__text) external _container_pwd_for_uid
000000018a52e110 (__TEXT,__text) external _container_query_copy
000000018a52cbfc (__TEXT,__text) external _container_query_count_results
000000018a52b30c (__TEXT,__text) external _container_query_create
000000018a52b368 (__TEXT,__text) external _container_query_create_from_container
000000018a52e438 (__TEXT,__text) external _container_query_free
000000018a52e100 (__TEXT,__text) external _container_query_get_last_error
000000018a52d7dc (__TEXT,__text) external _container_query_get_single_result
000000018a52d54c (__TEXT,__text) external _container_query_iterate_results_sync
000000018a52da34 (__TEXT,__text) external _container_query_iterate_results_with_identifier_sync
000000018a52dd0c (__TEXT,__text) external _container_query_iterate_results_with_subquery_sync
000000018a52ca60 (__TEXT,__text) external _container_query_operation_set_client
000000018a52c8d8 (__TEXT,__text) external _container_query_operation_set_flags
000000018a52c750 (__TEXT,__text) external _container_query_operation_set_platform
000000018a52b5dc (__TEXT,__text) external _container_query_set_class
000000018a52c28c (__TEXT,__text) external _container_query_set_group_identifiers
000000018a52b808 (__TEXT,__text) external _container_query_set_identifiers
000000018a52c5bc (__TEXT,__text) external _container_query_set_include_other_owners
000000018a52bcc8 (__TEXT,__text) external _container_query_set_persona_unique_string
000000018a52bf24 (__TEXT,__text) external _container_query_set_transient
000000018a52bb34 (__TEXT,__text) external _container_query_set_uid
000000018a51e0bc (__TEXT,__text) external _container_realpath
000000018a539858 (__TEXT,__text) external _container_recreate_structure
000000018a526bcc (__TEXT,__text) external _container_references_add
000000018a526164 (__TEXT,__text) external _container_references_create
000000018a526b2c (__TEXT,__text) external _container_references_free
000000018a528620 (__TEXT,__text) external _container_references_get_last_error
000000018a52842c (__TEXT,__text) external _container_references_iterate_by_group_sync
000000018a52787c (__TEXT,__text) external _container_references_iterate_by_owner_sync
000000018a5269b8 (__TEXT,__text) external _container_references_operation_set_flags
000000018a5276a8 (__TEXT,__text) external _container_references_remove
000000018a5261c0 (__TEXT,__text) external _container_references_set_class
000000018a526720 (__TEXT,__text) external _container_references_set_persona_unique_string
000000018a5265a0 (__TEXT,__text) external _container_references_set_uid
000000018a539aa8 (__TEXT,__text) external _container_regenerate_uuid
000000018a53dadc (__TEXT,__text) external _container_repair_user_data
000000018a5382fc (__TEXT,__text) external _container_replace
000000018a51e3ec (__TEXT,__text) external _container_retry_test
000000018a530460 (__TEXT,__text) external _container_sandbox_extension_consume
000000018a52fba0 (__TEXT,__text) external _container_sandbox_extension_revoke
000000018a530830 (__TEXT,__text) external _container_sandbox_issue_custom_extension
000000018a530818 (__TEXT,__text) external _container_sandbox_issue_extension
000000018a52b2a4 (__TEXT,__text) external _container_seam_fs_ensure_lazy_loaded
00000001d55eafe8 (__DATA,__bss) non-external _container_seam_fs_ensure_lazy_loaded.once
000000018a52b2f8 (__TEXT,__text) external _container_seam_fs_reset
000000018a52b268 (__TEXT,__text) external _container_seam_fs_set_common
000000018a52393c (__TEXT,__text) external _container_serialize_copy_deserialized_reference
000000018a523760 (__TEXT,__text) external _container_serialize_copy_serialized_reference
000000018a538a04 (__TEXT,__text) external _container_set_code_signing_info_for_identifier
000000018a53ace0 (__TEXT,__text) external _container_set_data_protection_for_current_user
000000018a5392b8 (__TEXT,__text) external _container_set_info_value
000000018a51e5cc (__TEXT,__text) external _container_set_test_lock
000000018a53b39c (__TEXT,__text) external _container_stage_shared_system_content
000000018a5329bc (__TEXT,__text) external _container_string_rom_copyout_external_bytes
000000018a532a68 (__TEXT,__text) external _container_string_rom_count
000000018a531d58 (__TEXT,__text) external _container_string_rom_create
000000018a532a10 (__TEXT,__text) external _container_string_rom_create_from_external_bytes
000000018a532978 (__TEXT,__text) external _container_string_rom_destroy
000000018a532d24 (__TEXT,__text) external _container_string_rom_index_of
000000018a532a74 (__TEXT,__text) external _container_string_rom_string_at_index
000000018a53c074 (__TEXT,__text) external _container_subdirectories_for_class
000000018a536ce0 (__TEXT,__text) external _container_system_group_path_for_identifier
000000018a536af0 (__TEXT,__text) external _container_system_path_for_identifier
000000018a52e8d0 (__TEXT,__text) external _container_update_with_container
000000018a53b650 (__TEXT,__text) external _container_user_managed_assets_path
000000018a53b964 (__TEXT,__text) external _container_user_managed_assets_relative_path
000000018a52983c (__TEXT,__text) external _container_xpc_connection_is_shared
000000018a5255ac (__TEXT,__text) external _container_xpc_create_connection
000000018a51c0e4 (__TEXT,__text) external _container_xpc_decode_container_object
000000018a51c42c (__TEXT,__text) external _container_xpc_decode_create_container_object_array
000000018a51c784 (__TEXT,__text) external _container_xpc_decode_error
000000018a51bcc4 (__TEXT,__text) external _container_xpc_encode_client_onto_message
000000018a51c068 (__TEXT,__text) external _container_xpc_encode_container_array
000000018a51be04 (__TEXT,__text) external _container_xpc_encode_container_as_object
000000018a51bd2c (__TEXT,__text) external _container_xpc_encode_container_metadata_as_object
000000018a51bf0c (__TEXT,__text) external _container_xpc_encode_container_object
000000018a51c758 (__TEXT,__text) external _container_xpc_encode_error
000000018a51c6d0 (__TEXT,__text) external _container_xpc_encode_error_as_object
000000018a529340 (__TEXT,__text) external _container_xpc_get_incoming_reply_preprocess_block
000000018a528fe4 (__TEXT,__text) external _container_xpc_get_outgoing_message_postprocess_block
000000018a528ff0 (__TEXT,__text) external _container_xpc_get_outgoing_message_send_block
000000018a52615c (__TEXT,__text) external _container_xpc_get_raw_connection
000000018a5260fc (__TEXT,__text) external _container_xpc_invalidate_connection
000000018a525a30 (__TEXT,__text) external _container_xpc_release
000000018a528630 (__TEXT,__text) external _container_xpc_send_message
000000018a528ffc (__TEXT,__text) external _container_xpc_send_sync_message
000000018a52912c (__TEXT,__text) external _container_xpc_send_sync_message_with_object
000000018a52918c (__TEXT,__text) external _container_xpc_set_client_context_during_block
000000018a52934c (__TEXT,__text) external _container_xpc_set_incoming_reply_preprocess_block
000000018a5292fc (__TEXT,__text) external _container_xpc_set_outgoing_message_postprocess_block
000000018a529390 (__TEXT,__text) external _container_xpc_set_outgoing_message_send_block
000000018a529848 (__TEXT,__text) external _container_xpc_set_use_shared_connection
000000018a52538c (__TEXT,__text) external _container_xpc_shared_copy_connection
000000018a53ea00 (__TEXT,__const) non-external (was a private external) _containermanagerVersionNumber
000000018a53e9b0 (__TEXT,__const) non-external (was a private external) _containermanagerVersionString
                 (undefined) external _csops_audittoken (from libsystem_kernel)
                 (undefined) external _dirstat_np (from libsystem_darwin)
                 (undefined) external _dispatch_after (from libdispatch)
                 (undefined) external _dispatch_apply (from libdispatch)
                 (undefined) external _dispatch_async (from libdispatch)
                 (undefined) external _dispatch_barrier_async_and_wait (from libdispatch)
                 (undefined) external _dispatch_get_global_queue (from libdispatch)
                 (undefined) external _dispatch_once (from libdispatch)
                 (undefined) external _dispatch_queue_create (from libdispatch)
                 (undefined) external _dispatch_time (from libdispatch)
                 (undefined) external _dlsym (from libdyld)
                 (undefined) external _dup (from libsystem_kernel)
                 (undefined) external _dyld_get_active_platform (from libdyld)
                 (undefined) external _dyld_program_sdk_at_least (from libdyld)
                 (undefined) external _fchflags (from libsystem_kernel)
                 (undefined) external _fchmod (from libsystem_kernel)
                 (undefined) external _fchmodx_np (from libsystem_c)
                 (undefined) external _fchown (from libsystem_kernel)
                 (undefined) external _fcntl (from libsystem_kernel)
                 (undefined) external _fdopendir (from libsystem_c)
                 (undefined) external _fgetxattr (from libsystem_kernel)
                 (undefined) external _filesec_free (from libsystem_c)
                 (undefined) external _filesec_get_property (from libsystem_c)
                 (undefined) external _filesec_init (from libsystem_c)
                 (undefined) external _filesec_set_property (from libsystem_c)
                 (undefined) external _fls (from libsystem_platform)
                 (undefined) external _flsl (from libsystem_platform)
                 (undefined) external _free (from libsystem_malloc)
                 (undefined) external _fremovexattr (from libsystem_kernel)
                 (undefined) external _fsctl (from libsystem_kernel)
                 (undefined) external _fsetxattr (from libsystem_kernel)
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
                 (undefined) external _fstatx_np (from libsystem_c)
                 (undefined) external _fsync (from libsystem_kernel)
                 (undefined) external _fts_close (from libsystem_c)
                 (undefined) external _fts_open (from libsystem_c)
                 (undefined) external _fts_read (from libsystem_c)
00000001d55eae80 (__DATA,__bss) non-external _gCMFSCustomSeamStore
00000001d55eace8 (__DATA,__data) external _gCMFSSeam
00000001d55eace0 (__DATA,__data) non-external _gClientFaultLoggingEnabled
00000001d55eace1 (__DATA,__data) non-external _gContainerXPCUsesSharedConnection
00000001d55ead00 (__DATA,__bss) non-external _gSharedClientConnection
00000001d55eacf8 (__DATA,__bss) non-external _gSharedClientConnectionLock
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getegid (from libsystem_kernel)
                 (undefined) external _geteuid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpwnam_r (from libsystem_info)
                 (undefined) external _getpwuid_r (from libsystem_info)
                 (undefined) external _getuid (from libsystem_kernel)
                 (undefined) external _kpersona_find (from libsystem_kernel)
                 (undefined) external _kpersona_find_by_type (from libsystem_kernel)
                 (undefined) external _kpersona_getpath (from libsystem_kernel)
                 (undefined) external _kpersona_info (from libsystem_kernel)
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
                 (undefined) external _memset_s (from libsystem_c)
                 (undefined) external _mkdir (from libsystem_kernel)
                 (undefined) external _mkdirat (from libsystem_kernel)
                 (undefined) external _mkstemp (from libsystem_c)
00000001d55eacf0 (__DATA,__data) non-external _next_temp_key
                 (undefined) external _notify_register_dispatch (from libsystem_notify)
                 (undefined) external _open (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
                 (undefined) external _openat (from libsystem_kernel)
                 (undefined) external _openat_dprotected_np (from libsystem_kernel)
                 (undefined) external _os_activity_apply (from libsystem_trace)
                 (undefined) external _os_log_copy_decorated_message (from libsystem_trace)
