0000000180ec35e8 (__TEXT,__text) external _APL_dgemm
00000001810a59a8 (__TEXT,__text) external _cblas_ctpmv$NEWLAPACK$ILP64
00000001810ec318 (__TEXT,__text) external _cblas_ctpsv
000000018107fc94 (__TEXT,__text) external _cblas_ctpsv$NEWLAPACK
00000001810a6120 (__TEXT,__text) external _cblas_ctpsv$NEWLAPACK$ILP64
00000001810d6ca0 (__TEXT,__text) external _cblas_ctrmm
000000018106cb44 (__TEXT,__text) external _cblas_ctrmm$NEWLAPACK
0000000181093634 (__TEXT,__text) external _cblas_ctrmm$NEWLAPACK$ILP64
00000001810ecfac (__TEXT,__text) external _cblas_ctrmv
0000000181080584 (__TEXT,__text) external _cblas_ctrmv$NEWLAPACK
00000001810a6a20 (__TEXT,__text) external _cblas_ctrmv$NEWLAPACK$ILP64
00000001810d7e34 (__TEXT,__text) external _cblas_ctrsm
000000018106dcd8 (__TEXT,__text) external _cblas_ctrsm$NEWLAPACK
0000000181094768 (__TEXT,__text) external _cblas_ctrsm$NEWLAPACK$ILP64
00000001810eda40 (__TEXT,__text) external _cblas_ctrsv
0000000181081018 (__TEXT,__text) external _cblas_ctrsv$NEWLAPACK
00000001810a74d0 (__TEXT,__text) external _cblas_ctrsv$NEWLAPACK$ILP64
00000001810b479c (__TEXT,__text) external _cblas_dasum
0000000180f2283c (__TEXT,__text) external _cblas_dasum$NEWLAPACK
000000018105cb38 (__TEXT,__text) external _cblas_dasum$NEWLAPACK$ILP64
00000001810b47f8 (__TEXT,__text) external _cblas_daxpy
0000000180f22898 (__TEXT,__text) external _cblas_daxpy$NEWLAPACK
000000018105cb8c (__TEXT,__text) external _cblas_daxpy$NEWLAPACK$ILP64
00000001810b48d4 (__TEXT,__text) external _cblas_dcopy
0000000180f22974 (__TEXT,__text) external _cblas_dcopy$NEWLAPACK
000000018105cc4c (__TEXT,__text) external _cblas_dcopy$NEWLAPACK$ILP64
00000001810b4748 (__TEXT,__text) external _cblas_ddot
0000000180f227e8 (__TEXT,__text) external _cblas_ddot$NEWLAPACK
000000018105caf4 (__TEXT,__text) external _cblas_ddot$NEWLAPACK$ILP64
00000001810c35bc (__TEXT,__text) external _cblas_dgbmv
00000001810525dc (__TEXT,__text) external _cblas_dgbmv$NEWLAPACK
0000000181062c7c (__TEXT,__text) external _cblas_dgbmv$NEWLAPACK$ILP64
00000001810b563c (__TEXT,__text) external _cblas_dgemm
0000000180fffb20 (__TEXT,__text) external _cblas_dgemm$NEWLAPACK
0000000181060164 (__TEXT,__text) external _cblas_dgemm$NEWLAPACK$ILP64
0000000180d76a80 (__TEXT,__text) external _cblas_dgemv
0000000180dc7794 (__TEXT,__text) external _cblas_dgemv$NEWLAPACK
000000018105b698 (__TEXT,__text) external _cblas_dgemv$NEWLAPACK$ILP64
0000000180d75eac (__TEXT,__text) external _cblas_dger
0000000180dc76a0 (__TEXT,__text) external _cblas_dger$NEWLAPACK
000000018105b5a8 (__TEXT,__text) external _cblas_dger$NEWLAPACK$ILP64
00000001810b4938 (__TEXT,__text) external _cblas_dnrm2
0000000180f229d8 (__TEXT,__text) external _cblas_dnrm2$NEWLAPACK
000000018105cca0 (__TEXT,__text) external _cblas_dnrm2$NEWLAPACK$ILP64
00000001810b4a08 (__TEXT,__text) external _cblas_drot
0000000180f22adc (__TEXT,__text) external _cblas_drot$NEWLAPACK
000000018105cd7c (__TEXT,__text) external _cblas_drot$NEWLAPACK$ILP64
00000001810e5dc8 (__TEXT,__text) external _cblas_drotg
00000001810798f8 (__TEXT,__text) external _cblas_drotg$NEWLAPACK
000000018109fd30 (__TEXT,__text) external _cblas_drotg$NEWLAPACK$ILP64
00000001810b4ab0 (__TEXT,__text) external _cblas_drotm
0000000180f22b84 (__TEXT,__text) external _cblas_drotm$NEWLAPACK
000000018105ce14 (__TEXT,__text) external _cblas_drotm$NEWLAPACK$ILP64
00000001810e5ebc (__TEXT,__text) external _cblas_drotmg
00000001810799ec (__TEXT,__text) external _cblas_drotmg$NEWLAPACK
000000018109fe24 (__TEXT,__text) external _cblas_drotmg$NEWLAPACK$ILP64
00000001810c4330 (__TEXT,__text) external _cblas_dsbmv
0000000181052ff0 (__TEXT,__text) external _cblas_dsbmv$NEWLAPACK
0000000181063088 (__TEXT,__text) external _cblas_dsbmv$NEWLAPACK$ILP64
0000000180d75e78 (__TEXT,__text) external _cblas_dscal
0000000180f229fc (__TEXT,__text) external _cblas_dscal$NEWLAPACK
000000018105ccbc (__TEXT,__text) external _cblas_dscal$NEWLAPACK$ILP64
00000001810b241c (__TEXT,__text) external _cblas_dsdot
0000000180d8b070 (__TEXT,__text) external _cblas_dsdot$NEWLAPACK
0000000181057880 (__TEXT,__text) external _cblas_dsdot$NEWLAPACK$ILP64
00000001810b34cc (__TEXT,__text) external _cblas_dspmv
0000000180dc907c (__TEXT,__text) external _cblas_dspmv$NEWLAPACK
000000018105bafc (__TEXT,__text) external _cblas_dspmv$NEWLAPACK$ILP64
00000001810c6cdc (__TEXT,__text) external _cblas_dspr
0000000181054ec8 (__TEXT,__text) external _cblas_dspr$NEWLAPACK
00000001810638d4 (__TEXT,__text) external _cblas_dspr$NEWLAPACK$ILP64
00000001810c73c4 (__TEXT,__text) external _cblas_dspr2
00000001810550c8 (__TEXT,__text) external _cblas_dspr2$NEWLAPACK
0000000181063ad8 (__TEXT,__text) external _cblas_dspr2$NEWLAPACK$ILP64
00000001810b4988 (__TEXT,__text) external _cblas_dswap
0000000180f22a5c (__TEXT,__text) external _cblas_dswap$NEWLAPACK
000000018105cd0c (__TEXT,__text) external _cblas_dswap$NEWLAPACK$ILP64
00000001810b1c60 (__TEXT,__text) external _cblas_dsymm
0000000180d8a8b4 (__TEXT,__text) external _cblas_dsymm$NEWLAPACK
0000000181057114 (__TEXT,__text) external _cblas_dsymm$NEWLAPACK$ILP64
00000001810c2cc4 (__TEXT,__text) external _cblas_dsymv
00000001810480c4 (__TEXT,__text) external _cblas_dsymv$NEWLAPACK
00000001810629cc (__TEXT,__text) external _cblas_dsymv$NEWLAPACK$ILP64
00000001810b2a38 (__TEXT,__text) external _cblas_dsyr
0000000180dc78e8 (__TEXT,__text) external _cblas_dsyr$NEWLAPACK
000000018105b7e8 (__TEXT,__text) external _cblas_dsyr$NEWLAPACK$ILP64
00000001810b2af8 (__TEXT,__text) external _cblas_dsyr2
0000000180dc79a8 (__TEXT,__text) external _cblas_dsyr2$NEWLAPACK
000000018105b8b0 (__TEXT,__text) external _cblas_dsyr2$NEWLAPACK$ILP64
00000001810b4b94 (__TEXT,__text) external _cblas_dsyr2k
0000000180f8555c (__TEXT,__text) external _cblas_dsyr2k$NEWLAPACK
000000018105f2d0 (__TEXT,__text) external _cblas_dsyr2k$NEWLAPACK$ILP64
00000001810b4f3c (__TEXT,__text) external _cblas_dsyrk
0000000180fe2e50 (__TEXT,__text) external _cblas_dsyrk$NEWLAPACK
000000018105f614 (__TEXT,__text) external _cblas_dsyrk$NEWLAPACK$ILP64
00000001810c5460 (__TEXT,__text) external _cblas_dtbmv
000000018105334c (__TEXT,__text) external _cblas_dtbmv$NEWLAPACK
00000001810633c4 (__TEXT,__text) external _cblas_dtbmv$NEWLAPACK$ILP64
00000001810c66bc (__TEXT,__text) external _cblas_dtbsv
0000000181053614 (__TEXT,__text) external _cblas_dtbsv$NEWLAPACK
000000018106364c (__TEXT,__text) external _cblas_dtbsv$NEWLAPACK$ILP64
00000001810ca424 (__TEXT,__text) external _cblas_dtpmv
000000018105533c (__TEXT,__text) external _cblas_dtpmv$NEWLAPACK
0000000181063d28 (__TEXT,__text) external _cblas_dtpmv$NEWLAPACK$ILP64
00000001810cd754 (__TEXT,__text) external _cblas_dtpsv
0000000181055650 (__TEXT,__text) external _cblas_dtpsv$NEWLAPACK
000000018106401c (__TEXT,__text) external _cblas_dtpsv$NEWLAPACK$ILP64
00000001810b5278 (__TEXT,__text) external _cblas_dtrmm
0000000180fe7ff4 (__TEXT,__text) external _cblas_dtrmm$NEWLAPACK
000000018105fdc8 (__TEXT,__text) external _cblas_dtrmm$NEWLAPACK$ILP64
0000000180d76564 (__TEXT,__text) external _cblas_dtrmv
0000000180dc7aa0 (__TEXT,__text) external _cblas_dtrmv$NEWLAPACK
000000018105b9a8 (__TEXT,__text) external _cblas_dtrmv$NEWLAPACK$ILP64
00000001810b2050 (__TEXT,__text) external _cblas_dtrsm
0000000180d8aca4 (__TEXT,__text) external _cblas_dtrsm$NEWLAPACK
00000001810574cc (__TEXT,__text) external _cblas_dtrsm$NEWLAPACK$ILP64
00000001810c2a54 (__TEXT,__text) external _cblas_dtrsv
0000000181046bbc (__TEXT,__text) external _cblas_dtrsv$NEWLAPACK
0000000181062788 (__TEXT,__text) external _cblas_dtrsv$NEWLAPACK$ILP64
00000001810ef3a8 (__TEXT,__text) external _cblas_dzasum
0000000181082980 (__TEXT,__text) external _cblas_dzasum$NEWLAPACK
00000001810a8da0 (__TEXT,__text) external _cblas_dzasum$NEWLAPACK$ILP64
00000001810ef40c (__TEXT,__text) external _cblas_dznrm2
00000001810829e4 (__TEXT,__text) external _cblas_dznrm2$NEWLAPACK
00000001810a8df4 (__TEXT,__text) external _cblas_dznrm2$NEWLAPACK$ILP64
00000001810f8960 (__TEXT,__text) external _cblas_errprn
000000018108b7c0 (__TEXT,__text) external _cblas_errprn$NEWLAPACK
00000001810b1c08 (__TEXT,__text) external _cblas_errprn$NEWLAPACK$ILP64
00000001810ef144 (__TEXT,__text) external _cblas_icamax
000000018108271c (__TEXT,__text) external _cblas_icamax$NEWLAPACK
00000001810a8b5c (__TEXT,__text) external _cblas_icamax$NEWLAPACK$ILP64
0000000180d75c30 (__TEXT,__text) external _cblas_idamax
00000001810563e4 (__TEXT,__text) external _cblas_idamax$NEWLAPACK
0000000181064600 (__TEXT,__text) external _cblas_idamax$NEWLAPACK$ILP64
00000001810cdb7c (__TEXT,__text) external _cblas_isamax
0000000181055dc8 (__TEXT,__text) external _cblas_isamax$NEWLAPACK
0000000181064248 (__TEXT,__text) external _cblas_isamax$NEWLAPACK$ILP64
00000001810ef500 (__TEXT,__text) external _cblas_izamax
0000000181082ad8 (__TEXT,__text) external _cblas_izamax$NEWLAPACK
00000001810a8ee0 (__TEXT,__text) external _cblas_izamax$NEWLAPACK$ILP64
00000001810b2530 (__TEXT,__text) external _cblas_sasum
0000000180d8b184 (__TEXT,__text) external _cblas_sasum$NEWLAPACK
0000000181057964 (__TEXT,__text) external _cblas_sasum$NEWLAPACK$ILP64
00000001810b258c (__TEXT,__text) external _cblas_saxpy
0000000180d8b1e0 (__TEXT,__text) external _cblas_saxpy$NEWLAPACK
00000001810579b8 (__TEXT,__text) external _cblas_saxpy$NEWLAPACK$ILP64
00000001810ef27c (__TEXT,__text) external _cblas_scasum
0000000181082854 (__TEXT,__text) external _cblas_scasum$NEWLAPACK
00000001810a8c8c (__TEXT,__text) external _cblas_scasum$NEWLAPACK$ILP64
00000001810ef2d8 (__TEXT,__text) external _cblas_scnrm2
00000001810828b0 (__TEXT,__text) external _cblas_scnrm2$NEWLAPACK
00000001810a8cd8 (__TEXT,__text) external _cblas_scnrm2$NEWLAPACK$ILP64
00000001810b2668 (__TEXT,__text) external _cblas_scopy
0000000180d8b2bc (__TEXT,__text) external _cblas_scopy$NEWLAPACK
0000000181057a78 (__TEXT,__text) external _cblas_scopy$NEWLAPACK$ILP64
00000001810b24e8 (__TEXT,__text) external _cblas_sdot
0000000180d8b13c (__TEXT,__text) external _cblas_sdot$NEWLAPACK
000000018105792c (__TEXT,__text) external _cblas_sdot$NEWLAPACK$ILP64
00000001810b2470 (__TEXT,__text) external _cblas_sdsdot
0000000180d8b0c4 (__TEXT,__text) external _cblas_sdsdot$NEWLAPACK
00000001810578c4 (__TEXT,__text) external _cblas_sdsdot$NEWLAPACK$ILP64
00000001810b6b7c (__TEXT,__text) external _cblas_sgbmv
00000001810421ec (__TEXT,__text) external _cblas_sgbmv$NEWLAPACK
0000000181060fe4 (__TEXT,__text) external _cblas_sgbmv$NEWLAPACK$ILP64
00000001810b2958 (__TEXT,__text) external _cblas_sgemm
0000000180d8d0f4 (__TEXT,__text) external _cblas_sgemm$NEWLAPACK
0000000181057d10 (__TEXT,__text) external _cblas_sgemm$NEWLAPACK$ILP64
00000001810b29c8 (__TEXT,__text) external _cblas_sgemm_singlecore
00000001810b439c (__TEXT,__text) external _cblas_sgemv
0000000180ec91e0 (__TEXT,__text) external _cblas_sgemv$NEWLAPACK
000000018105c7ac (__TEXT,__text) external _cblas_sgemv$NEWLAPACK$ILP64
00000001810b4400 (__TEXT,__text) external _cblas_sgemv_singlecore
00000001810b416c (__TEXT,__text) external _cblas_sger
0000000180ec90f0 (__TEXT,__text) external _cblas_sger$NEWLAPACK
000000018105c6bc (__TEXT,__text) external _cblas_sger$NEWLAPACK$ILP64
00000001810b26cc (__TEXT,__text) external _cblas_snrm2
0000000180d8b320 (__TEXT,__text) external _cblas_snrm2$NEWLAPACK
0000000181057acc (__TEXT,__text) external _cblas_snrm2$NEWLAPACK$ILP64
00000001810b27d0 (__TEXT,__text) external _cblas_srot
0000000180d8b424 (__TEXT,__text) external _cblas_srot$NEWLAPACK
0000000181057ba8 (__TEXT,__text) external _cblas_srot$NEWLAPACK$ILP64
00000001810e6198 (__TEXT,__text) external _cblas_srotg
0000000181079cc8 (__TEXT,__text) external _cblas_srotg$NEWLAPACK
00000001810a0100 (__TEXT,__text) external _cblas_srotg$NEWLAPACK$ILP64
00000001810b2878 (__TEXT,__text) external _cblas_srotm
0000000180d8b4cc (__TEXT,__text) external _cblas_srotm$NEWLAPACK
0000000181057c40 (__TEXT,__text) external _cblas_srotm$NEWLAPACK$ILP64
00000001810e6288 (__TEXT,__text) external _cblas_srotmg
0000000181079db8 (__TEXT,__text) external _cblas_srotmg$NEWLAPACK
00000001810a01f0 (__TEXT,__text) external _cblas_srotmg$NEWLAPACK$ILP64
00000001810b7858 (__TEXT,__text) external _cblas_ssbmv
00000001810425f8 (__TEXT,__text) external _cblas_ssbmv$NEWLAPACK
00000001810613f0 (__TEXT,__text) external _cblas_ssbmv$NEWLAPACK$ILP64
00000001810b26f0 (__TEXT,__text) external _cblas_sscal
0000000180d8b344 (__TEXT,__text) external _cblas_sscal$NEWLAPACK
0000000181057ae8 (__TEXT,__text) external _cblas_sscal$NEWLAPACK$ILP64
00000001810b835c (__TEXT,__text) external _cblas_sspmv
0000000181042954 (__TEXT,__text) external _cblas_sspmv$NEWLAPACK
000000018106172c (__TEXT,__text) external _cblas_sspmv$NEWLAPACK$ILP64
00000001810b89fc (__TEXT,__text) external _cblas_sspr
0000000181042c10 (__TEXT,__text) external _cblas_sspr$NEWLAPACK
00000001810619dc (__TEXT,__text) external _cblas_sspr$NEWLAPACK$ILP64
00000001810b9154 (__TEXT,__text) external _cblas_sspr2
0000000181042e10 (__TEXT,__text) external _cblas_sspr2$NEWLAPACK
0000000181061bd0 (__TEXT,__text) external _cblas_sspr2$NEWLAPACK$ILP64
00000001810b2750 (__TEXT,__text) external _cblas_sswap
0000000180d8b3a4 (__TEXT,__text) external _cblas_sswap$NEWLAPACK
0000000181057b38 (__TEXT,__text) external _cblas_sswap$NEWLAPACK$ILP64
00000001810b5c74 (__TEXT,__text) external _cblas_ssymm
0000000181033f4c (__TEXT,__text) external _cblas_ssymm$NEWLAPACK
0000000181060738 (__TEXT,__text) external _cblas_ssymm$NEWLAPACK$ILP64
00000001810b62d4 (__TEXT,__text) external _cblas_ssymv
000000018103f71c (__TEXT,__text) external _cblas_ssymv$NEWLAPACK
0000000181060d34 (__TEXT,__text) external _cblas_ssymv$NEWLAPACK$ILP64
00000001810b4464 (__TEXT,__text) external _cblas_ssyr
0000000180ec9244 (__TEXT,__text) external _cblas_ssyr$NEWLAPACK
000000018105c7fc (__TEXT,__text) external _cblas_ssyr$NEWLAPACK$ILP64
00000001810b4518 (__TEXT,__text) external _cblas_ssyr2
0000000180ec92f8 (__TEXT,__text) external _cblas_ssyr2$NEWLAPACK
000000018105c8b8 (__TEXT,__text) external _cblas_ssyr2$NEWLAPACK$ILP64
00000001810b36c4 (__TEXT,__text) external _cblas_ssyr2k
0000000180dd6e44 (__TEXT,__text) external _cblas_ssyr2k$NEWLAPACK
000000018105bcdc (__TEXT,__text) external _cblas_ssyr2k$NEWLAPACK$ILP64
00000001810b3a6c (__TEXT,__text) external _cblas_ssyrk
0000000180e22028 (__TEXT,__text) external _cblas_ssyrk$NEWLAPACK
000000018105c020 (__TEXT,__text) external _cblas_ssyrk$NEWLAPACK$ILP64
00000001810ba3ac (__TEXT,__text) external _cblas_stbmv
000000018104307c (__TEXT,__text) external _cblas_stbmv$NEWLAPACK
0000000181061e20 (__TEXT,__text) external _cblas_stbmv$NEWLAPACK$ILP64
00000001810bb954 (__TEXT,__text) external _cblas_stbsv
0000000181043344 (__TEXT,__text) external _cblas_stbsv$NEWLAPACK
00000001810620a8 (__TEXT,__text) external _cblas_stbsv$NEWLAPACK$ILP64
00000001810beec0 (__TEXT,__text) external _cblas_stpmv
000000018104360c (__TEXT,__text) external _cblas_stpmv$NEWLAPACK
0000000181062330 (__TEXT,__text) external _cblas_stpmv$NEWLAPACK$ILP64
00000001810c2808 (__TEXT,__text) external _cblas_stpsv
0000000181043e84 (__TEXT,__text) external _cblas_stpsv$NEWLAPACK
000000018106255c (__TEXT,__text) external _cblas_stpsv$NEWLAPACK$ILP64
00000001810b3da8 (__TEXT,__text) external _cblas_strmm
0000000180ec3cd0 (__TEXT,__text) external _cblas_strmm$NEWLAPACK
000000018105c320 (__TEXT,__text) external _cblas_strmm$NEWLAPACK$ILP64
00000001810b45fc (__TEXT,__text) external _cblas_strmv
0000000180ec93dc (__TEXT,__text) external _cblas_strmv$NEWLAPACK
000000018105c9a0 (__TEXT,__text) external _cblas_strmv$NEWLAPACK$ILP64
00000001810cddcc (__TEXT,__text) external _cblas_strsm
0000000181056018 (__TEXT,__text) external _cblas_strsm$NEWLAPACK
000000018106424c (__TEXT,__text) external _cblas_strsm$NEWLAPACK$ILP64
00000001810b6064 (__TEXT,__text) external _cblas_strsv
000000018103e2d0 (__TEXT,__text) external _cblas_strsv$NEWLAPACK
0000000181060af0 (__TEXT,__text) external _cblas_strsv$NEWLAPACK$ILP64
00000001810f88c8 (__TEXT,__text) external _cblas_xerbla
000000018108b728 (__TEXT,__text) external _cblas_xerbla$NEWLAPACK
00000001810b1b70 (__TEXT,__text) external _cblas_xerbla$NEWLAPACK$ILP64
00000001810ef92c (__TEXT,__text) external _cblas_zaxpy
0000000181082f04 (__TEXT,__text) external _cblas_zaxpy$NEWLAPACK
00000001810a92ec (__TEXT,__text) external _cblas_zaxpy$NEWLAPACK$ILP64
00000001810efa40 (__TEXT,__text) external _cblas_zcopy
0000000181083018 (__TEXT,__text) external _cblas_zcopy$NEWLAPACK
00000001810a93f4 (__TEXT,__text) external _cblas_zcopy$NEWLAPACK$ILP64
00000001810efb30 (__TEXT,__text) external _cblas_zdotc_sub
0000000181083108 (__TEXT,__text) external _cblas_zdotc_sub$NEWLAPACK
00000001810a94e0 (__TEXT,__text) external _cblas_zdotc_sub$NEWLAPACK$ILP64
00000001810efcb4 (__TEXT,__text) external _cblas_zdotu_sub
0000000181083258 (__TEXT,__text) external _cblas_zdotu_sub$NEWLAPACK
00000001810a9624 (__TEXT,__text) external _cblas_zdotu_sub$NEWLAPACK$ILP64
00000001810efe04 (__TEXT,__text) external _cblas_zdrot
00000001810833a8 (__TEXT,__text) external _cblas_zdrot$NEWLAPACK
00000001810a9768 (__TEXT,__text) external _cblas_zdrot$NEWLAPACK$ILP64
00000001810efe94 (__TEXT,__text) external _cblas_zdscal
0000000181083438 (__TEXT,__text) external _cblas_zdscal$NEWLAPACK
00000001810a97ec (__TEXT,__text) external _cblas_zdscal$NEWLAPACK$ILP64
00000001810f04ec (__TEXT,__text) external _cblas_zgbmv
00000001810838f0 (__TEXT,__text) external _cblas_zgbmv$NEWLAPACK
00000001810a9c5c (__TEXT,__text) external _cblas_zgbmv$NEWLAPACK$ILP64
00000001810dbe08 (__TEXT,__text) external _cblas_zgemm
000000018106fa08 (__TEXT,__text) external _cblas_zgemm$NEWLAPACK
0000000181096434 (__TEXT,__text) external _cblas_zgemm$NEWLAPACK$ILP64
00000001810f0c30 (__TEXT,__text) external _cblas_zgemv
0000000181084000 (__TEXT,__text) external _cblas_zgemv$NEWLAPACK
00000001810aa348 (__TEXT,__text) external _cblas_zgemv$NEWLAPACK$ILP64
00000001810f18a8 (__TEXT,__text) external _cblas_zgerc
0000000181084c78 (__TEXT,__text) external _cblas_zgerc$NEWLAPACK
00000001810aaffc (__TEXT,__text) external _cblas_zgerc$NEWLAPACK$ILP64
00000001810f1f8c (__TEXT,__text) external _cblas_zgeru
000000018108535c (__TEXT,__text) external _cblas_zgeru$NEWLAPACK
00000001810ab6d8 (__TEXT,__text) external _cblas_zgeru$NEWLAPACK$ILP64
00000001810f2700 (__TEXT,__text) external _cblas_zhbmv
0000000181085ad0 (__TEXT,__text) external _cblas_zhbmv$NEWLAPACK
00000001810abe3c (__TEXT,__text) external _cblas_zhbmv$NEWLAPACK$ILP64
00000001810dccc8 (__TEXT,__text) external _cblas_zhemm
00000001810708c8 (__TEXT,__text) external _cblas_zhemm$NEWLAPACK
000000018109727c (__TEXT,__text) external _cblas_zhemm$NEWLAPACK$ILP64
00000001810f2cf4 (__TEXT,__text) external _cblas_zhemv
00000001810860c4 (__TEXT,__text) external _cblas_zhemv$NEWLAPACK
00000001810ac448 (__TEXT,__text) external _cblas_zhemv$NEWLAPACK$ILP64
00000001810f36b4 (__TEXT,__text) external _cblas_zher
0000000181086a84 (__TEXT,__text) external _cblas_zher$NEWLAPACK
00000001810ace38 (__TEXT,__text) external _cblas_zher$NEWLAPACK$ILP64
00000001810f3dcc (__TEXT,__text) external _cblas_zher2
000000018108719c (__TEXT,__text) external _cblas_zher2$NEWLAPACK
00000001810ad558 (__TEXT,__text) external _cblas_zher2$NEWLAPACK$ILP64
00000001810ddd10 (__TEXT,__text) external _cblas_zher2k
0000000181071910 (__TEXT,__text) external _cblas_zher2k$NEWLAPACK
0000000181098254 (__TEXT,__text) external _cblas_zher2k$NEWLAPACK$ILP64
00000001810df0f4 (__TEXT,__text) external _cblas_zherk
0000000181072cf4 (__TEXT,__text) external _cblas_zherk$NEWLAPACK
0000000181099540 (__TEXT,__text) external _cblas_zherk$NEWLAPACK$ILP64
00000001810f43fc (__TEXT,__text) external _cblas_zhpmv
00000001810877cc (__TEXT,__text) external _cblas_zhpmv$NEWLAPACK
00000001810adb68 (__TEXT,__text) external _cblas_zhpmv$NEWLAPACK$ILP64
00000001810f491c (__TEXT,__text) external _cblas_zhpr
0000000181087cec (__TEXT,__text) external _cblas_zhpr$NEWLAPACK
00000001810ae094 (__TEXT,__text) external _cblas_zhpr$NEWLAPACK$ILP64
00000001810f4c8c (__TEXT,__text) external _cblas_zhpr2
000000018108805c (__TEXT,__text) external _cblas_zhpr2$NEWLAPACK
00000001810ae40c (__TEXT,__text) external _cblas_zhpr2$NEWLAPACK$ILP64
00000001810eff7c (__TEXT,__text) external _cblas_zrotg
0000000181083520 (__TEXT,__text) external _cblas_zrotg$NEWLAPACK
00000001810a98cc (__TEXT,__text) external _cblas_zrotg$NEWLAPACK$ILP64
00000001810f0100 (__TEXT,__text) external _cblas_zscal
00000001810836a4 (__TEXT,__text) external _cblas_zscal$NEWLAPACK
00000001810a9a50 (__TEXT,__text) external _cblas_zscal$NEWLAPACK$ILP64
00000001810f0478 (__TEXT,__text) external _cblas_zswap
000000018108387c (__TEXT,__text) external _cblas_zswap$NEWLAPACK
00000001810a9bf4 (__TEXT,__text) external _cblas_zswap$NEWLAPACK$ILP64
00000001810e1a94 (__TEXT,__text) external _cblas_zsymm
0000000181075694 (__TEXT,__text) external _cblas_zsymm$NEWLAPACK
000000018109bdcc (__TEXT,__text) external _cblas_zsymm$NEWLAPACK$ILP64
00000001810e2aec (__TEXT,__text) external _cblas_zsyr2k
00000001810766ec (__TEXT,__text) external _cblas_zsyr2k$NEWLAPACK
000000018109cdb4 (__TEXT,__text) external _cblas_zsyr2k$NEWLAPACK$ILP64
00000001810e3ea4 (__TEXT,__text) external _cblas_zsyrk
0000000181077aa4 (__TEXT,__text) external _cblas_zsyrk$NEWLAPACK
000000018109dfc4 (__TEXT,__text) external _cblas_zsyrk$NEWLAPACK$ILP64
00000001810f5244 (__TEXT,__text) external _cblas_ztbmv
0000000181088614 (__TEXT,__text) external _cblas_ztbmv$NEWLAPACK
00000001810ae9a8 (__TEXT,__text) external _cblas_ztbmv$NEWLAPACK$ILP64
00000001810f592c (__TEXT,__text) external _cblas_ztbsv
0000000181088cfc (__TEXT,__text) external _cblas_ztbsv$NEWLAPACK
00000001810af0bc (__TEXT,__text) external _cblas_ztbsv$NEWLAPACK$ILP64
00000001810f6198 (__TEXT,__text) external _cblas_ztpmv
0000000181089568 (__TEXT,__text) external _cblas_ztpmv$NEWLAPACK
00000001810af954 (__TEXT,__text) external _cblas_ztpmv$NEWLAPACK$ILP64
00000001810f679c (__TEXT,__text) external _cblas_ztpsv
0000000181089b6c (__TEXT,__text) external _cblas_ztpsv$NEWLAPACK
00000001810aff68 (__TEXT,__text) external _cblas_ztpsv$NEWLAPACK$ILP64
00000001810e4b68 (__TEXT,__text) external _cblas_ztrmm
0000000181078768 (__TEXT,__text) external _cblas_ztrmm$NEWLAPACK
000000018109ebf4 (__TEXT,__text) external _cblas_ztrmm$NEWLAPACK$ILP64
00000001810f7418 (__TEXT,__text) external _cblas_ztrmv
000000018108a304 (__TEXT,__text) external _cblas_ztrmv$NEWLAPACK
00000001810b0710 (__TEXT,__text) external _cblas_ztrmv$NEWLAPACK$ILP64
00000001810dff58 (__TEXT,__text) external _cblas_ztrsm
0000000181073b58 (__TEXT,__text) external _cblas_ztrsm$NEWLAPACK
000000018109a314 (__TEXT,__text) external _cblas_ztrsm$NEWLAPACK$ILP64
00000001810f7d58 (__TEXT,__text) external _cblas_ztrsv
000000018108ac44 (__TEXT,__text) external _cblas_ztrsv$NEWLAPACK
00000001810b1070 (__TEXT,__text) external _cblas_ztrsv$NEWLAPACK$ILP64
0000000180d7c8a4 (__TEXT,__text) external _ccopy
0000000180fe61f8 (__TEXT,__text) external _ccopy$NEWLAPACK
000000018105fb34 (__TEXT,__text) external _ccopy$NEWLAPACK$ILP64
0000000180d7c8a4 (__TEXT,__text) external _ccopy_
0000000180d7c8cc (__TEXT,__text) external _cdotc
0000000180fe6238 (__TEXT,__text) external _cdotc$NEWLAPACK
000000018105fb74 (__TEXT,__text) external _cdotc$NEWLAPACK$ILP64
0000000180d7c8cc (__TEXT,__text) external _cdotc_
0000000180d7c8f4 (__TEXT,__text) external _cdotu
0000000180fe6260 (__TEXT,__text) external _cdotu$NEWLAPACK
000000018105fb9c (__TEXT,__text) external _cdotu$NEWLAPACK$ILP64
0000000180d7c8f4 (__TEXT,__text) external _cdotu_
0000000180d7ac50 (__TEXT,__text) external _cgbmv
0000000180dc4318 (__TEXT,__text) external _cgbmv$NEWLAPACK
0000000181058280 (__TEXT,__text) external _cgbmv$NEWLAPACK$ILP64
0000000180d7ac50 (__TEXT,__text) external _cgbmv_
0000000180d77b74 (__TEXT,__text) external _cgemm
0000000180f23004 (__TEXT,__text) external _cgemm$NEWLAPACK
000000018105d150 (__TEXT,__text) external _cgemm$NEWLAPACK$ILP64
0000000180d77b74 (__TEXT,__text) external _cgemm_
0000000180d7ab74 (__TEXT,__text) external _cgemv
0000000180dc3f88 (__TEXT,__text) external _cgemv$NEWLAPACK
0000000181057f08 (__TEXT,__text) external _cgemv$NEWLAPACK$ILP64
