000000021bbc9428 (__DATA,__bss) non-external _A
000000020cfcdbf4 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
000000020cfcdbac (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
000000020cfcdbe4 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
000000020cfcdc2c (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
000000020cfcdc24 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
000000020cfcdbd4 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
000000020cfcdc0c (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
000000020cfcdc1c (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
000000020cfcdbc4 (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
000000020cfcdbcc (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
000000020cfcdc50 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
000000020cfcdc58 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
000000020cfcdbbc (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
000000020cfcdc04 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
000000020cfcdc34 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
000000020cfcdc3c (__TEXT,__text) external _cmark_syntax_extension_set_private
000000020cfcdbdc (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
000000020cfcdc14 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
000000020cfdb970 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
000000020cfc3e8c (__TEXT,__text) external _cmark_utf8proc_case_fold
000000020cfc3a00 (__TEXT,__text) external _cmark_utf8proc_check
000000020cfc3d54 (__TEXT,__text) external _cmark_utf8proc_encode_char
000000020cfe7e64 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
000000020cfc9fd8 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
000000020cfc9f5c (__TEXT,__text) external _cmark_utf8proc_is_space
000000020cfc3c20 (__TEXT,__text) external _cmark_utf8proc_iterate
000000020cfcbcc4 (__TEXT,__text) external _cmark_version
000000020cfcbccc (__TEXT,__text) external _cmark_version_string
000000020cfcd14c (__TEXT,__text) non-external _commonmark_render
000000020cfcfe18 (__TEXT,__text) non-external _commonmark_render
000000020cfe6138 (__TEXT,__text) non-external _commonmark_render
000000020cfe8b10 (__TEXT,__text) non-external _commonmark_render.cold.1
000000020cfe6120 (__TEXT,__text) non-external _contains_inlines
000000020cfdb9d8 (__TEXT,__text) non-external _core_extensions_registration
000000020cfcdc68 (__TEXT,__text) non-external (was a private external) _create_autolink_extension
000000020cfcfc94 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
000000020cfe5604 (__TEXT,__text) non-external (was a private external) _create_table_extension
000000020cfe7d2c (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
000000020cfccee8 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
000000020cfe8f10 (__TEXT,__const) non-external _encode_unknown.repl
000000020cfe7130 (__TEXT,__text) non-external _escape
000000021bbc9258 (__DATA,__bss) non-external _extensions_lock
000000021bbc9110 (__DATA,__data) non-external _extensions_once
000000020cfe7d70 (__TEXT,__text) non-external _filter
000000020cfde7d8 (__TEXT,__text) non-external _finalize
000000020cfe8294 (__TEXT,__text) non-external _finalize.cold.1
000000020cfe82c0 (__TEXT,__text) non-external _finalize.cold.2
000000020cfdb914 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
000000020cfdf16c (__TEXT,__text) non-external _free_node_as
000000020cfe7860 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
000000020cfd1360 (__TEXT,__text) non-external _get_link_type
000000020cfcd058 (__TEXT,__text) non-external _get_type_string
000000020cfcfdd0 (__TEXT,__text) non-external _get_type_string
000000020cfe6010 (__TEXT,__text) non-external _get_type_string
000000020cfe4928 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
000000020cfebaae (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
000000020cfcbca4 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
000000020cfcbb68 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
000000020cfe4a94 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
000000020cfe4d5c (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
000000020cfe4e98 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
000000020cfcd208 (__TEXT,__text) non-external _html_render
000000020cfcff18 (__TEXT,__text) non-external _html_render
000000020cfe69bc (__TEXT,__text) non-external _html_render
000000020cfe8b94 (__TEXT,__text) non-external _html_render.cold.1
000000020cfe78e4 (__TEXT,__text) non-external _html_table_add_align
000000020cfe7cbc (__TEXT,__text) non-external _init_arena
000000020cfe7cac (__TEXT,__text) non-external _initialize_arena
000000020cfceca0 (__TEXT,__text) non-external _initialize_extensions
000000020cfe06f0 (__TEXT,__text) non-external _initialize_nextflag
000000020cfd0080 (__TEXT,__text) non-external _insert
000000020cfce938 (__TEXT,__text) non-external _is_valid_hostchar
000000020cfcfe3c (__TEXT,__text) non-external _latex_render
000000020cfe63f8 (__TEXT,__text) non-external _latex_render
000000020cfe8b3c (__TEXT,__text) non-external _latex_render.cold.1
000000020cfe34bc (__TEXT,__text) non-external _link_label
000000020cfe880c (__TEXT,__text) non-external _link_label.cold.1
000000020cfe8834 (__TEXT,__text) non-external _link_label.cold.2
000000020cfe885c (__TEXT,__text) non-external _link_label.cold.3
000000020cfe8884 (__TEXT,__text) non-external _link_label.cold.4
000000020cfe88ac (__TEXT,__text) non-external _link_label.cold.5
000000020cfe413c (__TEXT,__text) non-external _make_autolink
000000020cfe8ab8 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
000000020cfcfe70 (__TEXT,__text) non-external _man_render
000000020cfe6790 (__TEXT,__text) non-external _man_render
000000020cfe8b68 (__TEXT,__text) non-external _man_render.cold.1
000000020cfe37c0 (__TEXT,__text) non-external _manual_scan_link_url
000000020cfcdcf4 (__TEXT,__text) non-external _match
000000020cfcff5c (__TEXT,__text) non-external _match
000000020cfccfcc (__TEXT,__text) non-external _matches
000000020cfe57b8 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000021bbc92a0 (__DATA,__bss) non-external _nextflag_lock
000000021bbc9130 (__DATA,__data) non-external _nextflag_once
000000020cfdba4c (__TEXT,__text) non-external (was a private external) _normalize_map_label
000000020cfe807c (__TEXT,__text) non-external _normalize_map_label.cold.1
000000020cfe7020 (__TEXT,__text) non-external _opaque_alloc
000000020cfe709c (__TEXT,__text) non-external _opaque_free
000000020cfcd064 (__TEXT,__text) non-external _open_tasklist_item
000000020cfca98c (__TEXT,__text) non-external _outc
000000020cfd0730 (__TEXT,__text) non-external _outc
000000020cfe4f78 (__TEXT,__text) non-external _outc
000000020cfcff38 (__TEXT,__text) non-external _plaintext_render
000000020cfce108 (__TEXT,__text) non-external _postprocess
000000020cfe7fa0 (__TEXT,__text) non-external _postprocess.cold.1
000000020cfe7fcc (__TEXT,__text) non-external _postprocess.cold.2
000000020cfe2b10 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
000000020cfe404c (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000020cfdbd08 (__TEXT,__text) non-external _refcmp
000000020cfdc66c (__TEXT,__text) non-external _reference_free
000000020cfdbc48 (__TEXT,__text) non-external _refsearch
000000020cfdb9c4 (__TEXT,__text) non-external _register_plugins
000000021bbc9120 (__DATA,__data) non-external _registered_once
000000020cfe30ec (__TEXT,__text) non-external _remove_delimiter
000000020cfe86c8 (__TEXT,__text) non-external _remove_delimiter.cold.1
000000020cfdeb80 (__TEXT,__text) non-external _resolve_reference_link_definitions
000000020cfe73a0 (__TEXT,__text) non-external _row_from_string
00000002186827c8 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
000000020cfded48 (__TEXT,__text) non-external _sort_footnote_by_ix
000000020cfe36ac (__TEXT,__text) non-external _spnl
000000020cfe88d8 (__TEXT,__text) non-external _spnl.cold.1
000000020cfe8900 (__TEXT,__text) non-external _spnl.cold.2
000000020cfe8928 (__TEXT,__text) non-external _spnl.cold.3
000000020cfe8950 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
000000021bbc9298 (__DATA,__bss) non-external _syntax_extensions
000000020cfe5870 (__TEXT,__text) non-external _try_opening_table_block
000000020cfe778c (__TEXT,__text) non-external _unescape_pipes
000000020cfe8e10 (__TEXT,__const) non-external _utf8proc_utf8class
000000020cfce988 (__TEXT,__text) non-external _validate_protocol
000000020cfcbcd8 (__TEXT,__text) non-external _xcalloc
000000020cfe7ebc (__TEXT,__text) non-external _xcalloc.cold.1
000000020cfcbd18 (__TEXT,__text) non-external _xfree
000000020cfcd38c (__TEXT,__text) non-external _xml_attr
000000020cfe664c (__TEXT,__text) non-external _xml_attr
000000020cfcbcf8 (__TEXT,__text) non-external _xrealloc
000000020cfe7eec (__TEXT,__text) non-external _xrealloc.cold.1
