00007ff840096be8 (__DATA,__data) non-external _C
00007ff800a87c51 (__TEXT,__text) non-external (was a private external) ___vfprintf
00007ff800abe422 (__TEXT,__text) non-external ___vfprintf.cold.1
00007ff800ac09a0 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00007ff800ac09b0 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00007ff800a8ea87 (__TEXT,__text) non-external (was a private external) ___vfwprintf
00007ff800ac0a20 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00007ff800ac0a30 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00007ff800a93172 (__TEXT,__text) non-external (was a private external) ___vfwscanf
00007ff800ac0b20 (__TEXT,__const) non-external ___vfwscanf.basefix
00007ff800abd12a (__TEXT,__text) external ___vsnprintf_chk
00007ff800abce76 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00007ff800a7d144 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00007ff800a7ce02 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00007ff800a7b170 (__TEXT,__text) external ___wcwidth
00007ff800a7b2d6 (__TEXT,__text) external ___wcwidth_l
00007ff800a7c2ed (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00007ff800a5c705 (__TEXT,__text) non-external (was a private external) ___xlocale_init
00007ff800a5c732 (__TEXT,__text) non-external ___xlocale_release
00007ff800a5d728 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00007ff800abd4c0 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00007ff8400971b8 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00007ff800aad48c (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00007ff800aad285 (__TEXT,__text) non-external (was a private external) ___xvprintf
00007ff800aa658d (__TEXT,__text) external __allocenvstate
00007ff800a6c86e (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00007ff800a7617e (__TEXT,__text) non-external (was a private external) __ascii_init
00007ff800a761cb (__TEXT,__text) non-external __ascii_mbrtowc
00007ff800a76211 (__TEXT,__text) non-external __ascii_mbsinit
00007ff800a7621c (__TEXT,__text) non-external __ascii_mbsnrtowcs
00007ff800a762af (__TEXT,__text) non-external __ascii_wcrtomb
00007ff800a762de (__TEXT,__text) non-external __ascii_wcsnrtombs
00007ff800a52255 (__TEXT,__text) non-external __boottime_fallback_usec
00007ff840067968 (__DATA_CONST,__const) external __c_locale
00007ff800a810bd (__TEXT,__text) external __cleanup
00007ff800aa6597 (__TEXT,__text) external __copyenv
00007ff840097b40 (__DATA,__data) external __cthread_init_routine
00007ff800aa6620 (__TEXT,__text) external __deallocenvstate
00007ff800aa5eeb (__TEXT,__text) non-external __do_nothing
00007ff800a5bb1a (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00007ff8400a44f0 (__DATA,__common) non-external (was a private external) __e_err_exit
00007ff8400a44e8 (__DATA,__common) non-external (was a private external) __e_err_file
00007ff800a6cce8 (__TEXT,__text) non-external (was a private external) __e_visprintf
                 (undefined) external __exit (from libsystem_kernel)
00007ff800a524a5 (__TEXT,__text) non-external __ffpp_strtoencf32_l
00007ff800abd149 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
00007ff800abd16c (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
00007ff800abf2d0 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
00007ff800a527d2 (__TEXT,__text) non-external __ffpp_strtoencf64_l
00007ff800abd18f (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
00007ff800abd1b2 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
00007ff800abd1d5 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
00007ff800abf670 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
00007ff800a52d11 (__TEXT,__text) non-external __ffpp_strtoencf80_l
00007ff800abd1f8 (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.1
00007ff800abd21b (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.2
00007ff800abf820 (__TEXT,__const) non-external __ffpp_strtoencf80_l.longDoublePowerOf10
00007ff800a7195c (__TEXT,__text) non-external (was a private external) __filldir
00007ff800a73d12 (__TEXT,__text) non-external (was a private external) __fixtelldir
00007ff800a7fc7d (__TEXT,__text) external __flockfile_debug_stub
00007ff800a82153 (__TEXT,__text) external __fseeko
00007ff800a82654 (__TEXT,__text) external __ftello
00007ff800a82bd0 (__TEXT,__text) external __fwalk
00007ff800aa0763 (__TEXT,__text) external __getenvp
00007ff800a590d8 (__TEXT,__text) external __init_clock_port
00007ff800a9c726 (__TEXT,__text) external __int_to_time
00007ff800aa2de0 (__TEXT,__text) non-external __isort
00007ff800aa38bf (__TEXT,__text) non-external __isort
00007ff8400997d0 (__DATA,__bss) non-external __libSystem_atfork_child
00007ff8400997b8 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00007ff8400997c8 (__DATA,__bss) non-external __libSystem_atfork_parent
00007ff8400997b0 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00007ff8400997c0 (__DATA,__bss) non-external __libSystem_atfork_prepare
00007ff8400997a8 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
00007ff800a5ed74 (__TEXT,__text) external __libc_fork_child
00007ff800a5ee1e (__TEXT,__text) non-external (was a private external) __libc_fork_init
00007ff800a5ed68 (__TEXT,__text) external __libc_fork_parent
00007ff800a5ed5c (__TEXT,__text) external __libc_fork_prepare
00007ff800a5eccc (__TEXT,__text) external __libc_initializer
00007ff800a79e77 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
00007ff800a79e48 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
00007ff800a79e19 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
00007ff800a9c714 (__TEXT,__text) external __long_to_time
00007ff800a51f2c (__TEXT,__text) non-external __mach_boottime_usec
00007ff8400997a0 (__DATA,__bss) non-external __mh_execute_header_pointer
00007ff800a83daf (__TEXT,__text) non-external __mkdtemp_action
00007ff800a83b6e (__TEXT,__text) non-external __mkostemps_action
00007ff800a5e0c7 (__TEXT,__text) non-external __mkpath
00007ff800a5e0b0 (__TEXT,__text) external __mkpath_np
00007ff800a83f82 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00007ff800abe2fb (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00007ff800a83e18 (__TEXT,__text) external __mktemp
00007ff800a83e5a (__TEXT,__text) non-external __mktemp_action
00007ff800a7b339 (__TEXT,__text) non-external (was a private external) __none_init
00007ff800a7b386 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00007ff800a7b3b2 (__TEXT,__text) non-external (was a private external) __none_mbsinit
00007ff800a7b3bd (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00007ff800a7b42d (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00007ff800a7b45c (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00007ff800abd602 (__TEXT,__text) external __os_assert_log
00007ff800abd81c (__TEXT,__text) external __os_assert_log_ctx
00007ff800abd4f0 (__TEXT,__text) external __os_assumes_log
00007ff800abd6db (__TEXT,__text) external __os_assumes_log_ctx
00007ff800a5f633 (__TEXT,__text) external __os_avoid_tail_call
00007ff800abd4e3 (__TEXT,__text) external __os_crash
00007ff8400a44d8 (__DATA,__common) external __os_crash_callback
00007ff800a5f639 (__TEXT,__text) non-external __os_get_build
                 (undefined) external __os_once (from libsystem_platform)
00007ff800aa5ef3 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00007ff800aa6006 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00007ff800aa5f9b (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00007ff840067970 (__DATA_CONST,__const) non-external __printf_tbl_defaults_fbsd
00007ff800ac2b50 (__TEXT,__cstring) non-external __printf_tbl_flags
00007ff800a5ede2 (__TEXT,__text) non-external (was a private external) __program_vars_init
00007ff800aa243d (__TEXT,__text) external __putenvp
00007ff800aa2568 (__TEXT,__text) non-external __qsort
00007ff800aa2fc5 (__TEXT,__text) non-external __qsort
00007ff840097220 (__DATA,__data) external __rand48_add
00007ff840097218 (__DATA,__data) external __rand48_mult
00007ff840097210 (__DATA,__data) external __rand48_seed
00007ff800a720a1 (__TEXT,__text) external __readdir_unlocked
00007ff800a73d43 (__TEXT,__text) external __reclaim_telldir
00007ff800a5c76f (__TEXT,__text) non-external __releaselocale
00007ff800ac0e94 (__TEXT,__const) non-external (was a private external) __rp_alist
00007ff800a73c83 (__TEXT,__text) external __seekdir
00007ff800aa6662 (__TEXT,__text) external __setenvp
00007ff800a5f41f (__TEXT,__text) external __sigaction_nobind
00007ff8400a4508 (__DATA,__common) external __sigintr
00007ff800a72fbd (__TEXT,__text) external __signal_nobind
00007ff800a51b01 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00007ff800a72d4f (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00007ff800a86bad (__TEXT,__text) external __sread
00007ff800a86caf (__TEXT,__text) external __sseek
00007ff800a999da (__TEXT,__text) non-external (was a private external) __st_fmt
00007ff800a5d15c (__TEXT,__text) non-external (was a private external) __st_get_timezone
00007ff800a97d36 (__TEXT,__text) non-external (was a private external) __st_localsub
00007ff800a5d169 (__TEXT,__text) non-external (was a private external) __st_set_timezone
00007ff800a986c2 (__TEXT,__text) non-external (was a private external) __st_time1
00007ff800a96b27 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00007ff800aadc0c (__TEXT,__text) non-external __strfmon
00007ff800a9addc (__TEXT,__text) non-external __strptime0
00007ff800ac0c30 (__TEXT,__const) non-external __strptime0.start_of_month
00007ff800a5c946 (__TEXT,__text) external __subsystem_init
00007ff800a86c0a (__TEXT,__text) external __swrite
00007ff800a59bcf (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00007ff800a59a02 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
00007ff800a9c6e7 (__TEXT,__text) external __time32_to_time
00007ff800a9c6f9 (__TEXT,__text) external __time64_to_time
00007ff800a9c71d (__TEXT,__text) external __time_to_int
00007ff800a9c70b (__TEXT,__text) external __time_to_long
00007ff800a9c6f0 (__TEXT,__text) external __time_to_time32
00007ff800a9c702 (__TEXT,__text) external __time_to_time64
00007ff800aa66e0 (__TEXT,__text) external __unsetenvp
00007ff800a8773e (__TEXT,__text) non-external (was a private external) __vasprintf
00007ff800a8795c (__TEXT,__text) non-external (was a private external) __vdprintf
00007ff800a954f1 (__TEXT,__text) non-external (was a private external) __vsnprintf
00007ff800a9ab84 (__TEXT,__text) non-external __yconv
00007ff800a9ff97 (__TEXT,__text) external _a64l
00007ff800abe5ea (__TEXT,__text) external _abort
00007ff800abe730 (__TEXT,__text) external _abort_report_np
00007ff800aa0034 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00007ff800a54bdc (__TEXT,__text) non-external _addToMP
00007ff800a849f4 (__TEXT,__text) non-external _addaster
00007ff800a72c90 (__TEXT,__text) non-external _addcmd
00007ff800a84cdf (__TEXT,__text) non-external _addsarg
00007ff800a84bf5 (__TEXT,__text) non-external _addtype
00007ff800a84e48 (__TEXT,__text) non-external _adduarg
00007ff800a859ec (__TEXT,__text) non-external _addwaster
00007ff800a5814c (__TEXT,__text) non-external _advance_directory
00007ff800abd4a9 (__TEXT,__text) non-external _advance_directory.cold.1
00007ff800a6c741 (__TEXT,__text) external _alarm
00007ff800a63d66 (__TEXT,__text) non-external _alloc_segs
00007ff800a7252d (__TEXT,__text) external _alphasort
00007ff800ac0da0 (__TEXT,__const) non-external _ambig
00007ff800a6c7f3 (__TEXT,__text) non-external _arc4_init
00007ff800abd978 (__TEXT,__text) non-external _arc4_init.cold.1
00007ff800a6c79c (__TEXT,__text) external _arc4random
00007ff800a6c796 (__TEXT,__text) external _arc4random_addrandom
00007ff800a6c7cb (__TEXT,__text) external _arc4random_buf
00007ff800a6c82e (__TEXT,__text) external _arc4random_stir
00007ff800a6c834 (__TEXT,__text) external _arc4random_uniform
00007ff800aaca5c (__TEXT,__text) non-external _arrayget
00007ff800a9690a (__TEXT,__text) external _asctime
00007ff800a967dd (__TEXT,__text) external _asctime_r
00007ff800ac0b70 (__TEXT,__const) non-external _asctime_r.mon_name
00007ff800ac0b50 (__TEXT,__const) non-external _asctime_r.wday_name
00007ff800a7fce7 (__TEXT,__text) external _asprintf
00007ff800a7fdab (__TEXT,__text) external _asprintf_l
00007ff800a5d176 (__TEXT,__text) external _asxprintf
00007ff800a5dc30 (__TEXT,__text) external _asxprintf_exec
00007ff800aa0072 (__TEXT,__text) external _atexit
00007ff800aa01b9 (__TEXT,__text) external _atexit_b
00007ff840097a00 (__DATA,__data) non-external _atexit_mutex
00007ff800aa00a4 (__TEXT,__text) non-external _atexit_register
00007ff800abe7f0 (__TEXT,__text) non-external _atexit_register.cold.1
00007ff800aa0459 (__TEXT,__text) external _atof
00007ff800aa0483 (__TEXT,__text) external _atof_l
00007ff800aa0492 (__TEXT,__text) external _atoi
00007ff800aa04c1 (__TEXT,__text) external _atoi_l
00007ff800aa04d5 (__TEXT,__text) external _atol
00007ff800aa0504 (__TEXT,__text) external _atol_l
00007ff800aa0518 (__TEXT,__text) external _atoll
00007ff800aa0547 (__TEXT,__text) external _atoll_l
00007ff800a55544 (__TEXT,__text) external _backtrace
00007ff800a5559a (__TEXT,__text) external _backtrace_async
00007ff800a55606 (__TEXT,__text) external _backtrace_from_fp
00007ff840096518 (__DATA,__data) non-external _backtrace_get_pcs_func
00007ff800a5565d (__TEXT,__text) external _backtrace_image_offsets
00007ff800a5552b (__TEXT,__text) external _backtrace_set_pcs_func
00007ff800a6c91e (__TEXT,__text) external _basename
00007ff840099800 (__DATA,__bss) non-external _basename.bname
00007ff800a6c874 (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00007ff800a5ac70 (__TEXT,__text) external _bcopy
00007ff800a54edd (__TEXT,__text) non-external _bitCountMP
00007ff800abd405 (__TEXT,__text) non-external _bitCountMP.cold.1
00007ff800ac09c0 (__TEXT,__const) non-external _blanks
00007ff800ac0aa0 (__TEXT,__const) non-external _blanks
00007ff840097c30 (__DATA,__data) non-external _blanks
00007ff800a592c8 (__TEXT,__text) non-external _both_ftw
00007ff840099698 (__DATA,__bss) non-external _brapreg
00007ff800a52338 (__TEXT,__text) external _brk
00007ff800a52350 (__TEXT,__text) external _bsd_signal
00007ff800aa055b (__TEXT,__text) external _bsearch
00007ff800aa05cd (__TEXT,__text) external _bsearch_b
00007ff800a62e77 (__TEXT,__text) non-external _bt_broot
00007ff800a62bd7 (__TEXT,__text) non-external _bt_page
00007ff800a62fb9 (__TEXT,__text) non-external _bt_preserve
00007ff800a62ff6 (__TEXT,__text) non-external _bt_psplit
00007ff800a62ae4 (__TEXT,__text) non-external _bt_root
00007ff800a62d7a (__TEXT,__text) non-external _bt_rroot
00007ff800a76595 (__TEXT,__text) external _btowc
00007ff800a764c9 (__TEXT,__text) external _btowc_l
00007ff84009b380 (__DATA,__bss) non-external _buf_asctime
00007ff800a84f9d (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
00007ff800abef20 (__TEXT,__const) non-external (was a private external) _cVersionNumber
00007ff800abeef0 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
00007ff800a7fbaf (__TEXT,__text) external _catclose
00007ff800a7f8c5 (__TEXT,__text) external _catgets
00007ff800a7f195 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
00007ff800a73eea (__TEXT,__text) external _cfgetispeed
00007ff800a73ee0 (__TEXT,__text) external _cfgetospeed
00007ff800a73f1c (__TEXT,__text) external _cfmakeraw
00007ff800a73f00 (__TEXT,__text) external _cfsetispeed
00007ff800a73ef4 (__TEXT,__text) external _cfsetospeed
00007ff800a73f0c (__TEXT,__text) external _cfsetspeed
00007ff800a6f718 (__TEXT,__text) external _cgetcap
00007ff800a7002b (__TEXT,__text) external _cgetclose
00007ff800a6f79d (__TEXT,__text) external _cgetent
00007ff800a6ffda (__TEXT,__text) external _cgetfirst
00007ff800a6ff80 (__TEXT,__text) external _cgetmatch
00007ff800a70068 (__TEXT,__text) external _cgetnext
00007ff800a7076e (__TEXT,__text) external _cgetnum
00007ff800a6f694 (__TEXT,__text) external _cgetset
00007ff800a70431 (__TEXT,__text) external _cgetstr
00007ff800a70688 (__TEXT,__text) external _cgetustr
00007ff800a7708a (__TEXT,__text) non-external _chainsearch
00007ff800ac06d0 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
00007ff800a5837a (__TEXT,__text) non-external _check_env_var
00007ff800a7fe47 (__TEXT,__text) external _clearerr
00007ff800a7fe67 (__TEXT,__text) external _clearerr_unlocked
00007ff800a6c968 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
00007ff800a52174 (__TEXT,__text) external _clock_getres
00007ff800a51f8c (__TEXT,__text) external _clock_gettime
00007ff800a51d6c (__TEXT,__text) external _clock_gettime_nsec_np
00007ff8400a44c4 (__DATA,__common) external _clock_port
00007ff8400a44c0 (__DATA,__common) external _clock_sem
00007ff800a521fa (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00007ff800a57eea (__TEXT,__text) non-external _close_directory
00007ff800a6c9e3 (__TEXT,__text) external _closedir
00007ff840068330 (__DATA_CONST,__const) non-external _cnames
00007ff800a650e7 (__TEXT,__text) non-external _collect_data
00007ff800a652a6 (__TEXT,__text) non-external _collect_key
00007ff800ac0ce0 (__TEXT,__const) non-external _command_substitution_str
00007ff800a581d3 (__TEXT,__text) external _compat_mode
00007ff800a556fc (__TEXT,__text) external _confstr
00007ff800a5d85f (__TEXT,__text) external _copy_printf_domain
00007ff800abb604 (__TEXT,__text) external _creat
00007ff800a5f6b6 (__TEXT,__text) external _creat$NOCANCEL
00007ff800a6ca48 (__TEXT,__text) external _ctermid
00007ff840097228 (__DATA,__data) non-external _ctermid.def
00007ff800a6ca71 (__TEXT,__text) external _ctermid_r
00007ff800a98660 (__TEXT,__text) external _ctime
00007ff800a9867b (__TEXT,__text) external _ctime_r
00007ff8400972d0 (__DATA,__data) non-external _current_categories
00007ff800a7b996 (__TEXT,__text) non-external _currentlocale
00007ff840099ad0 (__DATA,__bss) non-external _currentlocale.current_locale_string
00007ff8400996f8 (__DATA,__bss) non-external _curshell
00007ff840097a68 (__DATA,__data) non-external _dash_prefix
00007ff8400a4528 (__DATA,__common) external _daylight
00007ff800a671c6 (__TEXT,__text) external _dbm_clearerr
00007ff800a67065 (__TEXT,__text) external _dbm_close
00007ff800a67156 (__TEXT,__text) external _dbm_delete
00007ff800a671dc (__TEXT,__text) external _dbm_dirfno
00007ff800a671b6 (__TEXT,__text) external _dbm_error
00007ff800a6706d (__TEXT,__text) external _dbm_fetch
00007ff800a670b2 (__TEXT,__text) external _dbm_firstkey
00007ff800a67107 (__TEXT,__text) external _dbm_nextkey
00007ff800a66f8f (__TEXT,__text) external _dbm_open
00007ff800a67181 (__TEXT,__text) external _dbm_store
00007ff800a636c3 (__TEXT,__text) external _dbopen
00007ff840099878 (__DATA,__bss) non-external _dbp
00007ff8400996b8 (__DATA,__bss) non-external _decpreg
00007ff800ac0e60 (__TEXT,__const) non-external _degrees
00007ff800a55bf2 (__TEXT,__text) external _devname
00007ff840099618 (__DATA,__bss) non-external _devname.buf
00007ff800a55a74 (__TEXT,__text) external _devname_r
00007ff800a9691b (__TEXT,__text) external _difftime
00007ff800a5a2d9 (__TEXT,__text) external _digittoint
00007ff800a5a551 (__TEXT,__text) external _digittoint_l
00007ff800a5f612 (__TEXT,__text) external _dirfd
00007ff800a6cb57 (__TEXT,__text) external _dirname
00007ff840099808 (__DATA,__bss) non-external _dirname.dname
00007ff800a6ca92 (__TEXT,__text) external _dirname_r
00007ff800aa0643 (__TEXT,__text) external _div
00007ff840096520 (__DATA,__data) non-external _dktypenames
00007ff800a75977 (__TEXT,__text) non-external _do_hvis
00007ff800a75a73 (__TEXT,__text) non-external _do_mvis
00007ff800a75bee (__TEXT,__text) non-external _do_svis
00007ff800a691ec (__TEXT,__text) non-external _dorounding
00007ff800a7fe71 (__TEXT,__text) external _dprintf
00007ff800a7ff35 (__TEXT,__text) external _dprintf_l
00007ff800a6cba1 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00007ff800a5bae4 (__TEXT,__text) external _duplocale
00007ff800a5d21d (__TEXT,__text) external _dxprintf
00007ff800a5dce1 (__TEXT,__text) external _dxprintf_exec
00007ff800aa823e (__TEXT,__text) external _ecvt
00007ff8400998e0 (__DATA,__bss) non-external _empty
00007ff8400998f0 (__DATA,__bss) non-external _empty
00007ff840097ab8 (__DATA,__data) non-external _end_ptr
00007ff800a58c34 (__TEXT,__text) external _endttyent
00007ff800a58f79 (__TEXT,__text) external _endusershell
00007ff800aa072c (__TEXT,__text) external _environ_lock_np
00007ff840099790 (__DATA,__bss) non-external _environ_pointer
00007ff800aa0742 (__TEXT,__text) external _environ_unlock_np
00007ff800a9596d (__TEXT,__text) non-external _eofread
00007ff800a95e35 (__TEXT,__text) non-external _eofread
00007ff800a6cc38 (__TEXT,__text) external _erand48
00007ff800abdac4 (__TEXT,__text) external _err
00007ff800a6ce57 (__TEXT,__text) external _err_set_exit
00007ff800a6ce93 (__TEXT,__text) external _err_set_exit_b
00007ff800a6ce3b (__TEXT,__text) external _err_set_file
00007ff800abdc4d (__TEXT,__text) external _errc
00007ff800abdcbd (__TEXT,__text) external _errx
00007ff800ac0200 (__TEXT,__const) non-external _escape
00007ff800a6ced5 (__TEXT,__text) external _execl
00007ff800a6d052 (__TEXT,__text) external _execle
00007ff800a6d1e7 (__TEXT,__text) external _execlp
00007ff800a6d3b1 (__TEXT,__text) external _execv
00007ff800a6d3db (__TEXT,__text) external _execvP
00007ff800a6d414 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
00007ff800a6d361 (__TEXT,__text) external _execvp
00007ff800aa0673 (__TEXT,__text) external _exit
00007ff800a5ca7f (__TEXT,__text) non-external _extract_next_subsystem_root_path
00007ff800a8105d (__TEXT,__text) external _f_prealloc
00007ff800a53410 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00007ff800a7ffd1 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
00007ff800aa841f (__TEXT,__text) external _fcvt
00007ff800a800da (__TEXT,__text) external _fdopen
00007ff800abbfd2 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
00007ff800a71692 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
00007ff800a801d8 (__TEXT,__text) external _feof
00007ff800a80203 (__TEXT,__text) external _feof_unlocked
00007ff800a80212 (__TEXT,__text) external _ferror
00007ff800a8023d (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
00007ff800a66f1d (__TEXT,__text) non-external _fetch_bitmap
00007ff800a59834 (__TEXT,__text) external _fflagstostr
00007ff800a8024c (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
00007ff800a8043e (__TEXT,__text) external _fgetc
00007ff800a804ee (__TEXT,__text) external _fgetln
00007ff800a8067e (__TEXT,__text) external _fgetpos
00007ff800a806a3 (__TEXT,__text) external _fgets
00007ff800a807bc (__TEXT,__text) external _fgetwc
00007ff800a808e5 (__TEXT,__text) external _fgetwc_l
00007ff800a80a05 (__TEXT,__text) external _fgetwln
00007ff800a80950 (__TEXT,__text) external _fgetwln_l
00007ff800a80bde (__TEXT,__text) external _fgetws
00007ff800a80a2d (__TEXT,__text) external _fgetws_l
00007ff840097848 (__DATA,__data) non-external _filelist_lock
00007ff800a80c06 (__TEXT,__text) external _fileno
00007ff800a80c2a (__TEXT,__text) external _fileno_unlocked
00007ff800a838f6 (__TEXT,__text) non-external _find_temp_path
00007ff800a9c634 (__TEXT,__text) non-external _first_wday_of
00007ff800abf1a0 (__TEXT,__const) non-external _fiveToThe1000
00007ff800a7fc51 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
00007ff800a644ec (__TEXT,__text) non-external _flush_meta
                 (undefined) external _fma (from libsystem_m)
00007ff800a9f201 (__TEXT,__text) external _fmemopen
00007ff800a9f493 (__TEXT,__text) non-external _fmemopen_close
00007ff800a9f380 (__TEXT,__text) non-external _fmemopen_read
00007ff800a9f439 (__TEXT,__text) non-external _fmemopen_seek
00007ff800a9f3ca (__TEXT,__text) non-external _fmemopen_write
00007ff840067ef0 (__DATA_CONST,__const) non-external _fmt_padding
00007ff800a6d7b0 (__TEXT,__text) external _fmtcheck
00007ff800a6dd34 (__TEXT,__text) external _fmtmsg
00007ff800a6e2af (__TEXT,__text) external _fnmatch
00007ff800a81166 (__TEXT,__text) external _fopen
00007ff800abc0cd (__TEXT,__text) external _fopen$DARWIN_EXTSN
00007ff800a5ee74 (__TEXT,__text) external _fork
00007ff800a81240 (__TEXT,__text) external _fprintf
00007ff800a81304 (__TEXT,__text) external _fprintf_l
00007ff840097aa8 (__DATA,__data) non-external _fptr
00007ff800a813a0 (__TEXT,__text) external _fpurge
00007ff800a8141e (__TEXT,__text) external _fputc
00007ff800a81485 (__TEXT,__text) external _fputs
00007ff800a815c0 (__TEXT,__text) external _fputwc
00007ff800a81626 (__TEXT,__text) external _fputwc_l
00007ff800a817fc (__TEXT,__text) external _fputws
