                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00000001e5a8f028 (__AUTH,__data) external _CMFSSEAM_DEFAULT
000000018b1ba520 (__TEXT,__text) non-external __container_references_log_if_error
000000018b1bbae0 (__TEXT,__text) non-external __container_references_query_execute
000000018b1ba4bc (__TEXT,__text) non-external __container_references_replace_error
000000018b1b7adc (__TEXT,__text) non-external __container_serialize_copy_deserialized_reference_v1
000000018b1bf138 (__TEXT,__text) non-external __container_traverse_call_node_handler
000000018b1bda08 (__TEXT,__text) external __container_traverse_continuation_create
000000018b1bd9a4 (__TEXT,__text) external __container_traverse_continuation_free
000000018b1bd980 (__TEXT,__text) external __container_traverse_continuation_pop
000000018b1bdce8 (__TEXT,__text) external __container_traverse_continuation_push
000000018b1bdba4 (__TEXT,__text) non-external __container_traverse_get_attr_buf
000000018b1bed48 (__TEXT,__text) non-external __container_traverse_get_continuation_fd
000000018b1bdda4 (__TEXT,__text) external __container_traverse_get_last_path_component
000000018b1bee98 (__TEXT,__text) non-external __container_traverse_parse_attr_buf
000000018b1bdd6c (__TEXT,__text) external __container_traverse_path_pop
000000018b1bdd04 (__TEXT,__text) external __container_traverse_path_push
000000018b1bd880 (__TEXT,__text) external __container_traverse_state_deinit
000000018b1bd878 (__TEXT,__text) external __container_traverse_state_init
00000001e36bcd20 (__DATA,__bss) non-external __container_xpc_invalidate_shared_connection_after_timeout.onceToken
00000001e36bcd18 (__DATA,__bss) non-external __container_xpc_invalidate_shared_connection_after_timeout.queue
00000001e36bcd38 (__DATA,__bss) non-external __container_xpc_pthread_key_for_client_context.key
00000001e36bcd40 (__DATA,__bss) non-external __container_xpc_pthread_key_for_client_context.onceToken
00000001e36bcd30 (__DATA,__bss) non-external __incomingPreprocessor
                 (undefined) external __os_activity_create (from libsystem_trace)
                 (undefined) external __os_activity_current (from libsystem_trace)
                 (undefined) external __os_crash (from libsystem_c)
                 (undefined) external __os_crash_msg (from libsystem_c)
                 (undefined) external __os_log_debug_impl (from libsystem_trace)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_disabled (from libsystem_trace)
                 (undefined) external __os_log_error_impl (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
                 (undefined) external __os_log_impl (from libsystem_trace)
                 (undefined) external __os_log_send_and_compose_impl (from libsystem_trace)
                 (undefined) external __os_signpost_emit_with_name_impl (from libsystem_trace)
00000001e36bcd28 (__DATA,__bss) non-external __outgoingPostprocessor
00000001e36bcc90 (__DATA,__data) non-external __outgoingSender
                 (undefined) external __xpc_error_connection_interrupted (from libxpc)
                 (undefined) external __xpc_error_connection_invalid (from libxpc)
                 (undefined) external __xpc_error_termination_imminent (from libxpc)
                 (undefined) external __xpc_type_array (from libxpc)
                 (undefined) external __xpc_type_dictionary (from libxpc)
                 (undefined) external __xpc_type_error (from libxpc)
                 (undefined) external __xpc_type_string (from libxpc)
                 (undefined) external _acl_add_flag_np (from libsystem_c)
                 (undefined) external _acl_add_perm (from libsystem_c)
                 (undefined) external _acl_create_entry (from libsystem_c)
                 (undefined) external _acl_delete_perm (from libsystem_c)
                 (undefined) external _acl_free (from libsystem_c)
                 (undefined) external _acl_get_entry (from libsystem_c)
                 (undefined) external _acl_get_file (from libsystem_c)
                 (undefined) external _acl_get_flagset_np (from libsystem_c)
                 (undefined) external _acl_get_permset (from libsystem_c)
                 (undefined) external _acl_get_tag_type (from libsystem_c)
                 (undefined) external _acl_init (from libsystem_c)
                 (undefined) external _acl_set_file (from libsystem_c)
                 (undefined) external _acl_set_flagset_np (from libsystem_c)
                 (undefined) external _acl_set_permset (from libsystem_c)
                 (undefined) external _acl_set_qualifier (from libsystem_c)
                 (undefined) external _acl_set_tag_type (from libsystem_c)
                 (undefined) external _acl_to_text (from libsystem_c)
                 (undefined) external _arc4random (from libsystem_c)
                 (undefined) external _asprintf (from libsystem_c)
                 (undefined) external _bzero (from libsystem_c)
000000018b1b0f08 (__TEXT,__text) non-external _c_array_append
000000018b1b1008 (__TEXT,__text) non-external _c_array_deinit
                 (undefined) external _chmod (from libsystem_kernel)
                 (undefined) external _chown (from libsystem_kernel)
                 (undefined) external _close (from libsystem_kernel)
                 (undefined) external _closedir (from libsystem_c)
000000018b1d42a0 (__TEXT,__text) external _container_acquire_sandbox_extension
000000018b1b8e30 (__TEXT,__text) external _container_audit_token_copy_codesign_hash
000000018b1b8d8c (__TEXT,__text) external _container_audit_token_copy_codesign_identifier
000000018b1b8dc8 (__TEXT,__text) external _container_audit_token_copy_codesign_team_identifier
000000018b1b8fc4 (__TEXT,__text) external _container_audit_token_copy_entitlement
000000018b1b8e68 (__TEXT,__text) external _container_audit_token_copy_executable_name
000000018b1b91cc (__TEXT,__text) external _container_audit_token_for_pid
000000018b1b8dfc (__TEXT,__text) external _container_audit_token_get_codesign_status
000000018b1b91c4 (__TEXT,__text) external _container_audit_token_get_egid
000000018b1b91bc (__TEXT,__text) external _container_audit_token_get_euid
000000018b1b8dc0 (__TEXT,__text) external _container_audit_token_get_pid
000000018b1b9098 (__TEXT,__text) external _container_audit_token_get_platform
000000018b1b93e0 (__TEXT,__text) external _container_audit_token_is_valid
000000018b1c9054 (__TEXT,__text) external _container_base64_decode
000000018b1c9248 (__TEXT,__text) external _container_base64_decode_string
000000018b1c8e6c (__TEXT,__text) external _container_base64_encode
000000018b1c9010 (__TEXT,__text) external _container_base64_encode_string
000000018b1cda2c (__TEXT,__text) external _container_bundle_copy_data_container
000000018b1cd068 (__TEXT,__text) external _container_bundle_copy_data_container_path
000000018b1c0934 (__TEXT,__text) external _container_class_for_each_normalized_class
000000018b1c0880 (__TEXT,__text) external _container_class_normalized
000000018b1c091c (__TEXT,__text) external _container_class_supports_data_subdirectory
000000018b1c082c (__TEXT,__text) external _container_class_supports_randomized_path
000000018b1c08a4 (__TEXT,__text) external _container_class_supports_randomized_path_on_current_platform
000000018b1b2d98 (__TEXT,__text) external _container_client_copy_decoded_from_xpc_object
000000018b1b2b34 (__TEXT,__text) external _container_client_copy_encoded_xpc_object
000000018b1b3384 (__TEXT,__text) external _container_client_copy_entitlement
000000018b1b3998 (__TEXT,__text) external _container_client_create_from_audit_token
000000018b1b36f4 (__TEXT,__text) external _container_client_get_audit_token
000000018b1b3240 (__TEXT,__text) external _container_client_get_codesign_identifier
000000018b1b32e4 (__TEXT,__text) external _container_client_get_codesign_team_identifier
000000018b1b3654 (__TEXT,__text) external _container_client_get_egid
000000018b1b35b4 (__TEXT,__text) external _container_client_get_euid
000000018b1b3514 (__TEXT,__text) external _container_client_get_persona_unique_string
000000018b1b37a0 (__TEXT,__text) external _container_client_get_pid
000000018b1b3474 (__TEXT,__text) external _container_client_get_platform
000000018b1b28bc (__TEXT,__text) external _container_client_initializer
000000018b1b3950 (__TEXT,__text) external _container_client_is_alive
000000018b1b393c (__TEXT,__text) external _container_client_is_platform_binary
000000018b1b3840 (__TEXT,__text) external _container_client_is_sandboxed
000000018b1b3928 (__TEXT,__text) external _container_client_is_signature_valid
000000018b1b3914 (__TEXT,__text) external _container_client_is_signed
000000018b1b3904 (__TEXT,__text) external _container_client_is_test_client
000000018b1b2720 (__TEXT,__text) external _container_codesign_copy_cdhash
000000018b1b2468 (__TEXT,__text) external _container_codesign_copy_cs_identity
000000018b1b25c4 (__TEXT,__text) external _container_codesign_copy_cs_team_identifier
000000018b1b27d0 (__TEXT,__text) external _container_codesign_copy_current_identifier
000000018b1b23a4 (__TEXT,__text) external _container_codesign_get_self_audit_token
000000018b1b281c (__TEXT,__text) external _container_codesign_get_status
000000018b1b3db4 (__TEXT,__text) external _container_copy_client
000000018b1d1cd4 (__TEXT,__text) external _container_copy_code_signing_info_for_identifier
000000018b1d3fa8 (__TEXT,__text) external _container_copy_from_path
000000018b1c616c (__TEXT,__text) external _container_copy_info
000000018b1d09bc (__TEXT,__text) external _container_copy_info_value_for_key
000000018b1c690c (__TEXT,__text) external _container_copy_object
000000018b1c5e54 (__TEXT,__text) external _container_copy_path
000000018b1d38c0 (__TEXT,__text) external _container_copy_persona_unique_strings
000000018b1c6798 (__TEXT,__text) external _container_copy_sandbox_token
000000018b1c6a94 (__TEXT,__text) external _container_copy_unlocalized_description
000000018b1c6c18 (__TEXT,__text) external _container_create_merged_array
000000018b1cdc18 (__TEXT,__text) external _container_create_or_lookup
000000018b1d45c0 (__TEXT,__text) external _container_create_or_lookup_app_group_path_by_app_group_identifier
000000018b1cec30 (__TEXT,__text) external _container_create_or_lookup_app_group_paths
000000018b1cec3c (__TEXT,__text) external _container_create_or_lookup_app_group_paths_for_current_user
000000018b1ced5c (__TEXT,__text) external _container_create_or_lookup_app_group_paths_for_platform
000000018b1cf010 (__TEXT,__text) external _container_create_or_lookup_app_group_paths_from_entitlements
000000018b1cf020 (__TEXT,__text) external _container_create_or_lookup_app_group_paths_from_entitlements_4ls
000000018b1cdc34 (__TEXT,__text) external _container_create_or_lookup_for_current_user
000000018b1cdd8c (__TEXT,__text) external _container_create_or_lookup_for_platform
000000018b1cf008 (__TEXT,__text) external _container_create_or_lookup_group_container_paths_for_current_user
000000018b1cc604 (__TEXT,__text) external _container_create_or_lookup_path
000000018b1cc758 (__TEXT,__text) external _container_create_or_lookup_path_for_current_user
000000018b1cc8b0 (__TEXT,__text) external _container_create_or_lookup_path_for_platform
000000018b1ce378 (__TEXT,__text) external _container_create_or_lookup_system_group_paths
000000018b1d2f50 (__TEXT,__text) external _container_create_or_lookup_user_managed_assets_path
000000018b1d30e8 (__TEXT,__text) external _container_create_or_lookup_user_managed_assets_relative_path
000000018b1d0384 (__TEXT,__text) external _container_delete
000000018b1d1a58 (__TEXT,__text) external _container_delete_all_container_content
000000018b1d1864 (__TEXT,__text) external _container_delete_all_data_container_content
000000018b1d186c (__TEXT,__text) external _container_delete_all_data_container_content_for_current_user
000000018b1d054c (__TEXT,__text) external _container_delete_array_of_containers
000000018b1d3280 (__TEXT,__text) external _container_delete_user_managed_assets
000000018b1d00b0 (__TEXT,__text) external _container_delete_with_class_and_identifier_for_current_user
000000018b1d009c (__TEXT,__text) external _container_delete_with_uid_class_and_identifier
000000018b1d14f8 (__TEXT,__text) external _container_disk_usage
000000018b1c589c (__TEXT,__text) external _container_disposition
000000018b1c5954 (__TEXT,__text) external _container_disposition_for_array
000000018b1bd440 (__TEXT,__text) external _container_entitlements_copy_container_identifiers
000000018b1b0500 (__TEXT,__text) external _container_error_copy
000000018b1b06ac (__TEXT,__text) external _container_error_copy_unlocalized_description
000000018b1b03d0 (__TEXT,__text) external _container_error_create
000000018b1b0514 (__TEXT,__text) external _container_error_free
000000018b1b04f0 (__TEXT,__text) external _container_error_get_category
000000018b1b04d4 (__TEXT,__text) external _container_error_get_path
000000018b1b04f8 (__TEXT,__text) external _container_error_get_posix_errno
000000018b1b04dc (__TEXT,__text) external _container_error_get_type
000000018b1b03c8 (__TEXT,__text) external _container_error_is_fatal
000000018b1b0778 (__TEXT,__text) external _container_error_is_file_system_error
000000018b1b044c (__TEXT,__text) external _container_error_reinitialize
000000018b1d3b14 (__TEXT,__text) external _container_flush_container_cache
000000018b1d3d38 (__TEXT,__text) external _container_flush_persona_cache
000000018b1c6a24 (__TEXT,__text) external _container_free_array_of_containers
000000018b1b3f78 (__TEXT,__text) external _container_free_client
000000018b1c6a20 (__TEXT,__text) external _container_free_object
000000018b1b10ac (__TEXT,__text) external _container_frozenset_copyout_external_bytes
000000018b1b0a14 (__TEXT,__text) external _container_frozenset_create
000000018b1b1100 (__TEXT,__text) external _container_frozenset_create_from_external_bytes
000000018b1b1068 (__TEXT,__text) external _container_frozenset_destroy
000000018b1b143c (__TEXT,__text) external _container_frozenset_enumerate_matches
000000018b1b11ec (__TEXT,__text) external _container_frozenset_get_container_class_of_container_at_index
000000018b1b115c (__TEXT,__text) external _container_frozenset_get_count
000000018b1b134c (__TEXT,__text) external _container_frozenset_get_creator_of_container_at_index
000000018b1b1168 (__TEXT,__text) external _container_frozenset_get_generation
000000018b1b1240 (__TEXT,__text) external _container_frozenset_get_identifier_of_container_at_index
000000018b1b1194 (__TEXT,__text) external _container_frozenset_get_is_new_of_container_at_index
000000018b1b11c0 (__TEXT,__text) external _container_frozenset_get_is_transient_of_container_at_index
000000018b1b12c4 (__TEXT,__text) external _container_frozenset_get_path_of_container_at_index
000000018b1b1280 (__TEXT,__text) external _container_frozenset_get_persona_unique_string_of_container_at_index
000000018b1b13d4 (__TEXT,__text) external _container_frozenset_get_stored_string
000000018b1b1218 (__TEXT,__text) external _container_frozenset_get_uid_of_container_at_index
000000018b1b1308 (__TEXT,__text) external _container_frozenset_get_uma_relative_path_of_container_at_index
000000018b1b1390 (__TEXT,__text) external _container_frozenset_get_unique_path_component_of_container_at_index
000000018b1b1174 (__TEXT,__text) external _container_frozenset_get_uuid_of_container_at_index
000000018b1b1d70 (__TEXT,__text) external _container_fs_add_path_component
000000018b1b1f60 (__TEXT,__text) external _container_fs_append_trailing_slash
000000018b1b1978 (__TEXT,__text) external _container_fs_item_exists
000000018b1b1824 (__TEXT,__text) external _container_fs_item_exists_at
000000018b1b1ac8 (__TEXT,__text) external _container_fs_load_plist_at
000000018b1b1eb4 (__TEXT,__text) external _container_fs_path_at
000000018b1b1e2c (__TEXT,__text) external _container_fs_resolve_dirent_type_at
000000018b1cf554 (__TEXT,__text) external _container_get_all_with_class
000000018b1cf568 (__TEXT,__text) external _container_get_all_with_class_for_current_user
000000018b1c593c (__TEXT,__text) external _container_get_class
000000018b1c5e48 (__TEXT,__text) external _container_get_creator_codesign_identifier
000000018b1b0754 (__TEXT,__text) external _container_get_error_description
000000018b1c5e14 (__TEXT,__text) external _container_get_identifier
000000018b1c6424 (__TEXT,__text) external _container_get_info
000000018b1c6554 (__TEXT,__text) external _container_get_info_value_for_key
000000018b1c5e30 (__TEXT,__text) external _container_get_path
000000018b1c5e24 (__TEXT,__text) external _container_get_persona_unique_string
000000018b1c5948 (__TEXT,__text) external _container_get_uid
000000018b1c5e20 (__TEXT,__text) external _container_get_unique_path_component
000000018b1c5e3c (__TEXT,__text) external _container_get_user_managed_assets_relative_path
00000001e36bd110 (__DATA,__bss) non-external _container_global_sandbox_extension_per_persona_lock
000000018b1cf2f8 (__TEXT,__text) external _container_group_container_identifiers_for_current_user
000000018b1c0678 (__TEXT,__text) external _container_internal_get_first_boot_uuid
00000001e36bcd50 (__DATA,__bss) non-external _container_internal_get_first_boot_uuid.length
00000001e36bcd58 (__DATA,__bss) non-external _container_internal_get_first_boot_uuid.once
00000001e36bcd48 (__DATA,__bss) non-external _container_internal_get_first_boot_uuid.uuid
000000018b1d1f44 (__TEXT,__text) external _container_invalidate_code_signing_cache
000000018b1c6db0 (__TEXT,__text) external _container_is_equal
000000018b1c6724 (__TEXT,__text) external _container_is_new
000000018b1c6134 (__TEXT,__text) external _container_is_transient
000000018b1c0558 (__TEXT,__text) external _container_log_client_fault_logging_is_enabled
000000018b1c0f10 (__TEXT,__text) external _container_log_error
000000018b1c1cd4 (__TEXT,__text) external _container_log_error_with_faults
000000018b1c167c (__TEXT,__text) external _container_log_ext_error
000000018b1c1ce4 (__TEXT,__text) external _container_log_ext_error_with_faults
000000018b1c0cb0 (__TEXT,__text) external _container_log_handle_for_category
00000001e36bcd60 (__DATA,__bss) non-external _container_log_handle_for_category.logHandles
00000001e36bce18 (__DATA,__bss) non-external _container_log_handle_for_category.onceToken
000000018b1c2130 (__TEXT,__text) external _container_log_replication_disable
000000018b1c1cf4 (__TEXT,__text) external _container_log_replication_enable_to_uid_relative_path
000000018b1c2140 (__TEXT,__text) external _container_log_replication_prune_for_uid
000000018b1c0564 (__TEXT,__text) external _container_log_set_client_fault_logging
000000018b1c811c (__TEXT,__text) external _container_object_copy
000000018b1c7d3c (__TEXT,__text) external _container_object_create
000000018b1c7ee0 (__TEXT,__text) external _container_object_create_blank
000000018b1c7efc (__TEXT,__text) external _container_object_free
000000018b1c8338 (__TEXT,__text) external _container_object_get_class
000000018b1c8644 (__TEXT,__text) external _container_object_get_creator_codesign_identifier
000000018b1c82e0 (__TEXT,__text) external _container_object_get_identifier
000000018b1c897c (__TEXT,__text) external _container_object_get_info
000000018b1c8404 (__TEXT,__text) external _container_object_get_path
000000018b1c84b4 (__TEXT,__text) external _container_object_get_persona_unique_string
000000018b1c89c4 (__TEXT,__text) external _container_object_get_query
000000018b1c89a0 (__TEXT,__text) external _container_object_get_sandbox_token
000000018b1c83a0 (__TEXT,__text) external _container_object_get_uid
000000018b1c845c (__TEXT,__text) external _container_object_get_unique_path_component
000000018b1c85ec (__TEXT,__text) external _container_object_get_user_managed_assets_relative_path
000000018b1c8280 (__TEXT,__text) external _container_object_get_uuid
000000018b1c850c (__TEXT,__text) external _container_object_is_new
000000018b1c857c (__TEXT,__text) external _container_object_is_transient
000000018b1c869c (__TEXT,__text) external _container_object_sandbox_extension_activate
000000018b1c8e58 (__TEXT,__text) external _container_object_set_backing_store_from_query
000000018b1c89cc (__TEXT,__text) external _container_object_set_class
000000018b1c8e00 (__TEXT,__text) external _container_object_set_creator_codesign_identifier
000000018b1c8c60 (__TEXT,__text) external _container_object_set_info
000000018b1c8d3c (__TEXT,__text) external _container_object_set_is_new
000000018b1c8bb0 (__TEXT,__text) external _container_object_set_path
000000018b1c8cac (__TEXT,__text) external _container_object_set_sandbox_token
000000018b1c8d10 (__TEXT,__text) external _container_object_set_transient
000000018b1c8c08 (__TEXT,__text) external _container_object_set_unique_path_component
000000018b1c8da8 (__TEXT,__text) external _container_object_set_user_managed_assets_relative_path
000000018b1c8d68 (__TEXT,__text) external _container_object_set_uuid
000000018b1c5a24 (__TEXT,__text) external _container_object_update_metadata
000000018b1b8b0c (__TEXT,__text) external _container_operation_complete_background_tasks
000000018b1b7eb4 (__TEXT,__text) external _container_operation_delete
000000018b1b80a0 (__TEXT,__text) external _container_operation_delete_array
000000018b1b8740 (__TEXT,__text) external _container_operation_delete_reclaim_disk_space
000000018b1b4040 (__TEXT,__text) external _container_paths_context_create
000000018b1b475c (__TEXT,__text) external _container_paths_context_free
000000018b1b40cc (__TEXT,__text) external _container_paths_context_set_class
000000018b1b434c (__TEXT,__text) external _container_paths_context_set_flags
000000018b1b4488 (__TEXT,__text) external _container_paths_context_set_persona_unique_string
000000018b1b4208 (__TEXT,__text) external _container_paths_context_set_transient
000000018b1b4618 (__TEXT,__text) external _container_paths_context_set_uid
000000018b1b4a9c (__TEXT,__text) external _container_paths_copy_container_at
000000018b1b47d4 (__TEXT,__text) external _container_paths_copy_container_from_path
000000018b1d5fb8 (__TEXT,__const) non-external _container_paths_copy_container_from_path.data_dir
000000018b1b663c (__TEXT,__text) external _container_paths_copy_container_root_path_for_context
000000018b1b7524 (__TEXT,__text) external _container_paths_copy_uid_home_relative
000000018b1b6df4 (__TEXT,__text) external _container_paths_create_uid_home_relative
000000018b1b50a0 (__TEXT,__text) external _container_paths_enumerate_containers_at
000000018b1cb55c (__TEXT,__text) external _container_perfect_hash_copyout_external_bytes
000000018b1cb60c (__TEXT,__text) external _container_perfect_hash_count
000000018b1ca6bc (__TEXT,__text) external _container_perfect_hash_create
000000018b1cb5b0 (__TEXT,__text) external _container_perfect_hash_create_from_external_bytes
000000018b1cb518 (__TEXT,__text) external _container_perfect_hash_destroy
000000018b1cb64c (__TEXT,__text) external _container_perfect_hash_index_of
000000018b1cb614 (__TEXT,__text) external _container_perfect_hash_num_indexes
000000018b1d2440 (__TEXT,__text) external _container_perform_data_migration
000000018b1d2698 (__TEXT,__text) external _container_perform_data_migration_for_current_user
000000018b1d3eec (__TEXT,__text) external _container_perform_with_client_context
000000018b1c09c4 (__TEXT,__text) external _container_persona_collect_all_ids
000000018b1c0c58 (__TEXT,__text) external _container_persona_convert_unique_string_to_persona_uid
000000018b1c0b10 (__TEXT,__text) external _container_persona_foreach
000000018b1d12a8 (__TEXT,__text) external _container_process_restored_container
000000018b1cc268 (__TEXT,__text) external _container_pwd_copy_user_home_path
000000018b1cbc74 (__TEXT,__text) external _container_pwd_for_name
000000018b1cc034 (__TEXT,__text) external _container_pwd_for_uid
000000018b1c5454 (__TEXT,__text) external _container_query_copy
000000018b1c3b3c (__TEXT,__text) external _container_query_count_results
000000018b1c21e8 (__TEXT,__text) external _container_query_create
000000018b1c225c (__TEXT,__text) external _container_query_create_from_container
000000018b1c5798 (__TEXT,__text) external _container_query_free
000000018b1c5444 (__TEXT,__text) external _container_query_get_last_error
000000018b1c4afc (__TEXT,__text) external _container_query_get_single_result
000000018b1c485c (__TEXT,__text) external _container_query_iterate_results_sync
000000018b1c4d68 (__TEXT,__text) external _container_query_iterate_results_with_identifier_sync
000000018b1c503c (__TEXT,__text) external _container_query_iterate_results_with_subquery_sync
000000018b1c39a0 (__TEXT,__text) external _container_query_operation_set_client
000000018b1c3818 (__TEXT,__text) external _container_query_operation_set_flags
000000018b1c3690 (__TEXT,__text) external _container_query_operation_set_platform
000000018b1c2524 (__TEXT,__text) external _container_query_set_class
000000018b1c31cc (__TEXT,__text) external _container_query_set_group_identifiers
000000018b1c2750 (__TEXT,__text) external _container_query_set_identifiers
000000018b1c34fc (__TEXT,__text) external _container_query_set_include_other_owners
000000018b1c2c10 (__TEXT,__text) external _container_query_set_persona_unique_string
000000018b1c2e6c (__TEXT,__text) external _container_query_set_transient
000000018b1c2a7c (__TEXT,__text) external _container_query_set_uid
000000018b1b1c1c (__TEXT,__text) external _container_realpath
000000018b1b1c30 (__TEXT,__text) external _container_realpathat
000000018b1d0cc0 (__TEXT,__text) external _container_recreate_structure
000000018b1bac68 (__TEXT,__text) external _container_references_add
000000018b1ba1f0 (__TEXT,__text) external _container_references_create
000000018b1babc8 (__TEXT,__text) external _container_references_free
000000018b1bc674 (__TEXT,__text) external _container_references_get_last_error
000000018b1bc480 (__TEXT,__text) external _container_references_iterate_by_group_sync
000000018b1bb8f8 (__TEXT,__text) external _container_references_iterate_by_owner_sync
000000018b1baa54 (__TEXT,__text) external _container_references_operation_set_flags
000000018b1bb724 (__TEXT,__text) external _container_references_remove
000000018b1ba25c (__TEXT,__text) external _container_references_set_class
000000018b1ba7bc (__TEXT,__text) external _container_references_set_persona_unique_string
000000018b1ba63c (__TEXT,__text) external _container_references_set_uid
000000018b1d0f10 (__TEXT,__text) external _container_regenerate_uuid
000000018b1d4f58 (__TEXT,__text) external _container_repair_user_data
000000018b1cf754 (__TEXT,__text) external _container_replace
000000018b1b1fb0 (__TEXT,__text) external _container_retry_test
000000018b1c7808 (__TEXT,__text) external _container_sandbox_extension_consume
000000018b1c6f18 (__TEXT,__text) external _container_sandbox_extension_revoke
000000018b1c7bf0 (__TEXT,__text) external _container_sandbox_issue_custom_extension
000000018b1c7bd8 (__TEXT,__text) external _container_sandbox_issue_extension
000000018b1c2180 (__TEXT,__text) external _container_seam_fs_ensure_lazy_loaded
00000001e36bd108 (__DATA,__bss) non-external _container_seam_fs_ensure_lazy_loaded.once
000000018b1c21d4 (__TEXT,__text) external _container_seam_fs_reset
000000018b1c2144 (__TEXT,__text) external _container_seam_fs_set_common
000000018b1b7918 (__TEXT,__text) external _container_serialize_copy_deserialized_reference
000000018b1b7740 (__TEXT,__text) external _container_serialize_copy_serialized_reference
000000018b1cfe6c (__TEXT,__text) external _container_set_code_signing_info_for_identifier
000000018b1d2148 (__TEXT,__text) external _container_set_data_protection_for_current_user
000000018b1d0720 (__TEXT,__text) external _container_set_info_value
000000018b1b21bc (__TEXT,__text) external _container_set_test_lock
000000018b1d2804 (__TEXT,__text) external _container_stage_shared_system_content
000000018b1c9ee0 (__TEXT,__text) external _container_string_rom_copyout_external_bytes
000000018b1c9f90 (__TEXT,__text) external _container_string_rom_count
000000018b1c9254 (__TEXT,__text) external _container_string_rom_create
000000018b1c9f34 (__TEXT,__text) external _container_string_rom_create_from_external_bytes
000000018b1c9e9c (__TEXT,__text) external _container_string_rom_destroy
000000018b1ca20c (__TEXT,__text) external _container_string_rom_index_of
000000018b1c9f9c (__TEXT,__text) external _container_string_rom_string_at_index
000000018b1d34d8 (__TEXT,__text) external _container_subdirectories_for_class
000000018b1ce178 (__TEXT,__text) external _container_system_group_path_for_identifier
000000018b1cdf88 (__TEXT,__text) external _container_system_path_for_identifier
000000018b1b1fb8 (__TEXT,__text) external _container_test_set_locks_and_restart
000000018b1bddec (__TEXT,__text) external _container_traverse_directory
000000018b1c03bc (__TEXT,__text) external _container_traverse_node_copy
000000018b1c0270 (__TEXT,__text) external _container_traverse_node_copy_unlocalized_description
000000018b1c049c (__TEXT,__text) external _container_traverse_node_free
000000018b1bf578 (__TEXT,__text) external _container_traverse_node_get_depth_from_origin
000000018b1bf3a8 (__TEXT,__text) external _container_traverse_node_get_name
000000018b1bf9f0 (__TEXT,__text) external _container_traverse_node_get_optional_alloc_size
000000018b1bfbb0 (__TEXT,__text) external _container_traverse_node_get_optional_dp_class
000000018b1bf910 (__TEXT,__text) external _container_traverse_node_get_optional_file_id
000000018b1bfad0 (__TEXT,__text) external _container_traverse_node_get_optional_flags
000000018b1bfd70 (__TEXT,__text) external _container_traverse_node_get_optional_gid
000000018b1bfe50 (__TEXT,__text) external _container_traverse_node_get_optional_link_count
000000018b1bffc8 (__TEXT,__text) external _container_traverse_node_get_optional_mode
000000018b1c0190 (__TEXT,__text) external _container_traverse_node_get_optional_parent_fd
000000018b1bfc90 (__TEXT,__text) external _container_traverse_node_get_optional_uid
000000018b1bf2b8 (__TEXT,__text) external _container_traverse_node_get_path
000000018b1bf498 (__TEXT,__text) external _container_traverse_node_get_subordinate_count
000000018b1bf658 (__TEXT,__text) external _container_traverse_node_is_directory
000000018b1bf828 (__TEXT,__text) external _container_traverse_node_is_regular_file
000000018b1bf740 (__TEXT,__text) external _container_traverse_node_is_symlink
000000018b1c00a8 (__TEXT,__text) external _container_traverse_node_optional_has_acl
000000018b1c5c04 (__TEXT,__text) external _container_update_with_container
000000018b1d2ab8 (__TEXT,__text) external _container_user_managed_assets_path
000000018b1d2dc8 (__TEXT,__text) external _container_user_managed_assets_relative_path
000000018b1c0570 (__TEXT,__text) external _container_xpc_connection_is_shared
000000018b1b9638 (__TEXT,__text) external _container_xpc_create_connection
000000018b1afb58 (__TEXT,__text) external _container_xpc_decode_container_object
000000018b1afec4 (__TEXT,__text) external _container_xpc_decode_create_container_object_array
000000018b1b022c (__TEXT,__text) external _container_xpc_decode_error
000000018b1af6f4 (__TEXT,__text) external _container_xpc_encode_client_onto_message
000000018b1afad8 (__TEXT,__text) external _container_xpc_encode_container_array
000000018b1af858 (__TEXT,__text) external _container_xpc_encode_container_as_object
000000018b1af75c (__TEXT,__text) external _container_xpc_encode_container_metadata_as_object
000000018b1af960 (__TEXT,__text) external _container_xpc_encode_container_object
000000018b1b0200 (__TEXT,__text) external _container_xpc_encode_error
000000018b1b0178 (__TEXT,__text) external _container_xpc_encode_error_as_object
000000018b1bd394 (__TEXT,__text) external _container_xpc_get_incoming_reply_preprocess_block
000000018b1bd034 (__TEXT,__text) external _container_xpc_get_outgoing_message_postprocess_block
000000018b1bd040 (__TEXT,__text) external _container_xpc_get_outgoing_message_send_block
000000018b1ba1e8 (__TEXT,__text) external _container_xpc_get_raw_connection
000000018b1ba188 (__TEXT,__text) external _container_xpc_invalidate_connection
000000018b1b9ab8 (__TEXT,__text) external _container_xpc_release
000000018b1bc684 (__TEXT,__text) external _container_xpc_send_message
000000018b1bd04c (__TEXT,__text) external _container_xpc_send_sync_message
000000018b1bd17c (__TEXT,__text) external _container_xpc_send_sync_message_with_object
000000018b1bd1dc (__TEXT,__text) external _container_xpc_set_client_context_during_block
000000018b1bd3a0 (__TEXT,__text) external _container_xpc_set_incoming_reply_preprocess_block
