00007ffb1919852c (__TEXT,__text) non-external _Done_iODBC
00007ffb409ec6e0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffb409ed3a0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffb409ed3c0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffb409ed3f0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffb409ed420 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffb409ed490 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffb409ed4d0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffb409ed550 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffb409ed5b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffb409ed630 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffb409ed660 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffb409ed6b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffb409ed370 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffb409ed6e0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffb409ecb40 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffb409ec710 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffb409ecb60 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffb409ec7e0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffb409ec800 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffb409ec8b0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffb409ecbe0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffb409ecb90 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffb409ec4e0 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffb191af8cb (__TEXT,__text) non-external __trace_bufferlen
00007ffb191af0ea (__TEXT,__text) non-external __trace_c_type
00007ffb191ac5c0 (__TEXT,__text) non-external __trace_colattr2_type
00007ffb191ac8c9 (__TEXT,__text) non-external __trace_colattr3_data
00007ffb191ac5fb (__TEXT,__text) non-external __trace_colattr3_type
00007ffb191a8e04 (__TEXT,__text) non-external __trace_connattr_type
00007ffb191afba8 (__TEXT,__text) non-external __trace_connopt_type
00007ffb191b18df (__TEXT,__text) non-external __trace_connstr
00007ffb191b1b6a (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffb191b1ac9 (__TEXT,__text) non-external __trace_connstr_w
00007ffb191b0bf8 (__TEXT,__text) non-external __trace_data
00007ffb191a908c (__TEXT,__text) non-external __trace_desc_null
00007ffb191abf94 (__TEXT,__text) non-external __trace_descfield_type
00007ffb191b093c (__TEXT,__text) non-external __trace_diag_type
00007ffb191add94 (__TEXT,__text) non-external __trace_direction
00007ffb191b19ab (__TEXT,__text) non-external __trace_drvcn_completion
00007ffb191a995b (__TEXT,__text) non-external __trace_envattr_type
00007ffb191a9fc8 (__TEXT,__text) non-external __trace_fetchtype
00007ffb191b2010 (__TEXT,__text) non-external __trace_freestmt_option
00007ffb191ad569 (__TEXT,__text) non-external __trace_func_name
00007ffb191ad4bc (__TEXT,__text) non-external __trace_func_result
00007ffb191aa1b5 (__TEXT,__text) non-external __trace_getinfo
00007ffb191aec2c (__TEXT,__text) non-external __trace_handle
00007ffb191aebc7 (__TEXT,__text) non-external __trace_handle_p
00007ffb191aeb8c (__TEXT,__text) non-external __trace_handletype
00007ffb191af3f4 (__TEXT,__text) non-external __trace_inouttype
00007ffb191aec9e (__TEXT,__text) non-external __trace_integer
00007ffb191aedb6 (__TEXT,__text) non-external __trace_integer_p
00007ffb191aee8f (__TEXT,__text) non-external __trace_len
00007ffb191aeec9 (__TEXT,__text) non-external __trace_len_p
00007ffb191aecd7 (__TEXT,__text) non-external __trace_pointer
00007ffb191ae9fc (__TEXT,__text) non-external __trace_print_function
00007ffb191aa095 (__TEXT,__text) non-external __trace_scrollopt_type
00007ffb191a9e9b (__TEXT,__text) non-external __trace_setpos_irow
00007ffb191a9ef2 (__TEXT,__text) non-external __trace_setpos_lock
00007ffb191a9eb7 (__TEXT,__text) non-external __trace_setpos_oper
00007ffb191aec65 (__TEXT,__text) non-external __trace_smallint
00007ffb191aed0f (__TEXT,__text) non-external __trace_smallint_p
00007ffb191a9b7e (__TEXT,__text) non-external __trace_spcols_null
00007ffb191a9b43 (__TEXT,__text) non-external __trace_spcols_scope
00007ffb191a9b02 (__TEXT,__text) non-external __trace_spcols_type
00007ffb191af810 (__TEXT,__text) non-external __trace_sql_subtype
00007ffb191af42f (__TEXT,__text) non-external __trace_sql_type
00007ffb191af604 (__TEXT,__text) non-external __trace_sql_type_p
00007ffb191b1d53 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffb191b1d14 (__TEXT,__text) non-external __trace_stats_unique
00007ffb191afe8c (__TEXT,__text) non-external __trace_stmtattr_type
00007ffb191b063c (__TEXT,__text) non-external __trace_stmtopt_type
00007ffb191aef6f (__TEXT,__text) non-external __trace_string
00007ffb191af018 (__TEXT,__text) non-external __trace_string_w
00007ffb191aee5b (__TEXT,__text) non-external __trace_stringlen
00007ffb409ed7e0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffb191b1325 (__TEXT,__text) non-external __trace_tran_completion
00007ffb191b15c0 (__TEXT,__text) non-external __trace_typeinfo
00007ffb191aecbb (__TEXT,__text) non-external __trace_uinteger
00007ffb191aee09 (__TEXT,__text) non-external __trace_uinteger_p
00007ffb191aeeac (__TEXT,__text) non-external __trace_ulen
00007ffb191aef1c (__TEXT,__text) non-external __trace_ulen_p
00007ffb191aec82 (__TEXT,__text) non-external __trace_usmallint
00007ffb191aed63 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffb430b5842 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffb191b2e66 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffb191b3375 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffb191b2e01 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffb191b30af (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffb191b2ecf (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffb191b3563 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffb191b2f74 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffb191b3016 (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffb191b3064 (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffb191b4a75 (__TEXT,__text) non-external _do_create_dsns
00007ffb430b5800 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffb430b57e0 (__DATA,__common) non-external _ierror
00007ffb191b4b9a (__TEXT,__text) non-external _install_from_ini
00007ffb191b5065 (__TEXT,__text) non-external _install_from_string
00007ffb430b5240 (__DATA,__data) external _iodbc_version
00007ffb430b5720 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffb430b5768 (__DATA,__data) non-external _numerrors
00007ffb430b5250 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffb430b5770 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffb191b520c (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffb409eb940 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffb430b57b0 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffb191ab983 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffb191afb15 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffb191ac450 (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffb191adce7 (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffb191ac3b6 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffb191ace32 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffb191af99b (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffb191afa58 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffb191a9aa4 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffb191b0b83 (__TEXT,__text) non-external _trace_SQLCancel
00007ffb191add6a (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffb191ac834 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffb191acc0c (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffb191acca4 (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffb191acd51 (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffb191b0762 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffb191b084e (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffb191aba44 (__TEXT,__text) non-external _trace_SQLColumns
00007ffb191abb30 (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffb191b01b4 (__TEXT,__text) non-external _trace_SQLConnect
00007ffb191b026f (__TEXT,__text) non-external _trace_SQLConnectW
00007ffb191a9f8f (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffb191addf8 (__TEXT,__text) non-external _trace_SQLDataSources
00007ffb191aded8 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffb191a90fa (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffb191a91e4 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffb191b06bf (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffb191add40 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffb191b17fc (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffb191b19e6 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffb191ad094 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffb191ad174 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffb191ab940 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffb191a9500 (__TEXT,__text) non-external _trace_SQLError
00007ffb191a95e7 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffb191adb37 (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffb191adb94 (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffb191a9ad8 (__TEXT,__text) non-external _trace_SQLExecute
00007ffb191aa007 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffb191ae073 (__TEXT,__text) non-external _trace_SQLFetch
00007ffb191afb5f (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffb191b032a (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffb191b0474 (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffb191b0612 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffb191a9e71 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffb191ab911 (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffb191b2048 (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffb191a8f7c (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffb191a9004 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffb191afd6c (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffb191afdb4 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffb191ac4b7 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffb191ac53b (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffb191b1250 (__TEXT,__text) non-external _trace_SQLGetData
00007ffb191ac288 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffb191ac31f (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffb191a92ce (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffb191a93e7 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffb191b0a50 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffb191b0af6 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffb191a97a1 (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffb191a9880 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffb191a99c8 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffb191adae4 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffb191aa128 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffb191ab664 (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffb191b00c0 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffb191b0148 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffb191b0677 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffb191b1794 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffb191b17c8 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffb191b12fb (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffb191abdfc (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffb191abec8 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffb191abc1c (__TEXT,__text) non-external _trace_SQLNumParams
00007ffb191b05be (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffb191acdfe (__TEXT,__text) non-external _trace_SQLParamData
00007ffb191ab9dc (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffb191b207c (__TEXT,__text) non-external _trace_SQLPrepare
00007ffb191b20d9 (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffb191ad254 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffb191ad31a (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffb191ab6f1 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffb191ab7dd (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffb191acf08 (__TEXT,__text) non-external _trace_SQLProcedures
00007ffb191acfce (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffb191b0bad (__TEXT,__text) non-external _trace_SQLPutData
00007ffb191a9a50 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffb191b1c70 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffb191b1cc2 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffb191afdfc (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffb191afe44 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffb191adfbb (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffb191ae017 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffb191a96d3 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffb191a973a (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffb191ad3e0 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffb191adbf1 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffb191a9f2d (__TEXT,__text) non-external _trace_SQLSetPos
00007ffb191aa0d4 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffb191adc43 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffb191adc95 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffb191ab8c9 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffb191a9bbd (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffb191a9d17 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffb191b1d92 (__TEXT,__text) non-external _trace_SQLStatistics
00007ffb191b1ed1 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffb191abc70 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffb191abd36 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffb191b13e5 (__TEXT,__text) non-external _trace_SQLTables
00007ffb191b14d1 (__TEXT,__text) non-external _trace_SQLTablesW
00007ffb191b1365 (__TEXT,__text) non-external _trace_SQLTransact
00007ffb430b57a0 (__DATA,__bss) non-external _trace_appname
00007ffb191ae588 (__TEXT,__text) non-external _trace_emit
00007ffb191ae881 (__TEXT,__text) non-external _trace_emit_binary
00007ffb191ae679 (__TEXT,__text) non-external _trace_emit_string
00007ffb191ae653 (__TEXT,__text) non-external _trace_emitc
00007ffb430b57a8 (__DATA,__bss) non-external _trace_fname
00007ffb430b57c0 (__DATA,__bss) non-external _trace_fp
00007ffb430b57c8 (__DATA,__bss) non-external _trace_fp_close
00007ffb191ae0d0 (__TEXT,__text) non-external _trace_get_filename
00007ffb191ae0a0 (__TEXT,__text) non-external _trace_set_appname
00007ffb191ae0e1 (__TEXT,__text) non-external _trace_set_filename
00007ffb191ae35f (__TEXT,__text) non-external _trace_start
00007ffb191ae4e8 (__TEXT,__text) non-external _trace_stop
00007ffb191ae30c (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffb191b350f (__TEXT,__text) non-external _utf8_len
00007ffb191b35e1 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffb430b5840 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
