000000019dd4155c (__TEXT,__text) non-external +[Calculate _lock]
000000019dd31b34 (__TEXT,__text) non-external -[UnitRanks containsTo]
000000019dd31b28 (__TEXT,__text) non-external -[UnitRanks containsUnit]
000000019dd31e4c (__TEXT,__text) non-external -[UnitRanks initWithUnitsInfo:]
000000019dd31dac (__TEXT,__text) non-external -[UnitRanks init]
000000019dd31d10 (__TEXT,__text) non-external -[UnitRanks isAmbiguous]
000000019dd31b58 (__TEXT,__text) non-external -[UnitRanks ranks]
000000019dd31b4c (__TEXT,__text) non-external -[UnitRanks setRanks:]
000000019dd31ad0 (__TEXT,__text) non-external -[UnitRanks setUnits:]
000000019dd31ae4 (__TEXT,__text) non-external -[UnitRanks setUnitsInfo:]
000000019dd31d54 (__TEXT,__text) non-external -[UnitRanks sort]
000000019dd31af0 (__TEXT,__text) non-external -[UnitRanks unitsInfo]
000000019dd31adc (__TEXT,__text) non-external -[UnitRanks units]
000000019dd32678 (__TEXT,__text) non-external -[UnitTypeInfo .cxx_destruct]
000000019dd32700 (__TEXT,__text) non-external -[UnitTypeInfo baseUnit]
000000019dd32790 (__TEXT,__text) non-external -[UnitTypeInfo decompositionCoefficient]
000000019dd32764 (__TEXT,__text) non-external -[UnitTypeInfo decomposition]
000000019dd326dc (__TEXT,__text) non-external -[UnitTypeInfo isCurrency]
000000019dd327a4 (__TEXT,__text) non-external -[UnitTypeInfo isDecomposable]
000000019dd326ec (__TEXT,__text) non-external -[UnitTypeInfo isTemperature]
000000019dd326cc (__TEXT,__text) non-external -[UnitTypeInfo isVolume]
000000019dd327b8 (__TEXT,__text) non-external -[UnitTypeInfo name]
000000019dd326f4 (__TEXT,__text) non-external -[UnitTypeInfo setBaseUnit:]
000000019dd32740 (__TEXT,__text) non-external -[UnitTypeInfo setDecomposition:]
000000019dd32788 (__TEXT,__text) non-external -[UnitTypeInfo setDecompositionCoefficient:]
000000019dd326d4 (__TEXT,__text) non-external -[UnitTypeInfo setIsCurrency:]
000000019dd3279c (__TEXT,__text) non-external -[UnitTypeInfo setIsDecomposable:]
000000019dd326e4 (__TEXT,__text) non-external -[UnitTypeInfo setIsTemperature:]
000000019dd326c4 (__TEXT,__text) non-external -[UnitTypeInfo setIsVolume:]
000000019dd327ac (__TEXT,__text) non-external -[UnitTypeInfo setName:]
000000019dd327c0 (__TEXT,__text) non-external -[UnitTypeInfo setUnitType:]
000000019dd3272c (__TEXT,__text) non-external -[UnitTypeInfo setUnits:]
000000019dd327c8 (__TEXT,__text) non-external -[UnitTypeInfo unitType]
000000019dd32738 (__TEXT,__text) non-external -[UnitTypeInfo units]
000000019dd327d0 (__TEXT,__text) non-external -[UnitsInfo .cxx_destruct]
000000019dd328cc (__TEXT,__text) non-external -[UnitsInfo angleInfo]
000000019dd32894 (__TEXT,__text) non-external -[UnitsInfo degreesInfo]
000000019dd32968 (__TEXT,__text) non-external -[UnitsInfo infoForAngle]
000000019dd32964 (__TEXT,__text) non-external -[UnitsInfo infoForDegrees]
000000019dd32960 (__TEXT,__text) non-external -[UnitsInfo infoForRadians]
000000019dd329f4 (__TEXT,__text) non-external -[UnitsInfo infoForUnitID:]
000000019dd32974 (__TEXT,__text) non-external -[UnitsInfo infoForUnitName:]
000000019dd32b1c (__TEXT,__text) non-external -[UnitsInfo infoForUnitType:]
000000019dd32a9c (__TEXT,__text) non-external -[UnitsInfo infoForUnitTypeName:]
000000019dd32bc8 (__TEXT,__text) non-external -[UnitsInfo initWithDictionary:]
000000019dd3296c (__TEXT,__text) non-external -[UnitsInfo objectAtIndexedSubscript:]
000000019dd32970 (__TEXT,__text) non-external -[UnitsInfo objectForKeyedSubscript:]
000000019dd33d34 (__TEXT,__text) non-external -[UnitsInfo populateSubunitIDs:forUnit:visited:]
000000019dd3285c (__TEXT,__text) non-external -[UnitsInfo radiansInfo]
000000019dd328c0 (__TEXT,__text) non-external -[UnitsInfo setAngleInfo:]
000000019dd32888 (__TEXT,__text) non-external -[UnitsInfo setDegreesInfo:]
000000019dd32850 (__TEXT,__text) non-external -[UnitsInfo setRadiansInfo:]
000000019dd32920 (__TEXT,__text) non-external -[UnitsInfo setUnitIDToInfo:]
000000019dd32934 (__TEXT,__text) non-external -[UnitsInfo setUnitNameToInfo:]
000000019dd3290c (__TEXT,__text) non-external -[UnitsInfo setUnitTypeNameToInfo:]
000000019dd328f8 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeToInfo:]
000000019dd32950 (__TEXT,__text) non-external -[UnitsInfo unitCount]
000000019dd3292c (__TEXT,__text) non-external -[UnitsInfo unitIDToInfo]
000000019dd32940 (__TEXT,__text) non-external -[UnitsInfo unitNameToInfo]
000000019dd32958 (__TEXT,__text) non-external -[UnitsInfo unitNames]
000000019dd32948 (__TEXT,__text) non-external -[UnitsInfo unitTypeCount]
000000019dd32918 (__TEXT,__text) non-external -[UnitsInfo unitTypeNameToInfo]
000000019dd32904 (__TEXT,__text) non-external -[UnitsInfo unitTypeToInfo]
000000019deaaac0 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
000000019deaaaec (__TEXT,__gcc_except_tab) non-external GCC_except_table30
000000019deaaafc (__TEXT,__gcc_except_tab) non-external GCC_except_table33
000000019deaab40 (__TEXT,__gcc_except_tab) non-external GCC_except_table411
000000019deab220 (__TEXT,__gcc_except_tab) non-external GCC_except_table420
000000019deaab0c (__TEXT,__gcc_except_tab) non-external GCC_except_table43
000000019deab240 (__TEXT,__gcc_except_tab) non-external GCC_except_table591
000000019deab34c (__TEXT,__gcc_except_tab) non-external GCC_except_table606
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFPreferencesSetAppValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringTokenizerAdvanceToNextToken (from CoreFoundation)
                 (undefined) external _CFStringTokenizerCreate (from CoreFoundation)
                 (undefined) external _CFStringTokenizerGetCurrentTokenRange (from CoreFoundation)
000000019dd41a1c (__TEXT,__text) external _CalculateExpression
000000019dd41738 (__TEXT,__text) external _CalculateExpressionError
000000019dd41a24 (__TEXT,__text) external _CalculateInternationalExpression
00000001d4ef1650 (__DATA_CONST,__const) external _CalculateKeyAllowConversions
00000001d4ef1640 (__DATA_CONST,__const) external _CalculateKeyAllowPartialExpressions
00000001d4ef1648 (__DATA_CONST,__const) external _CalculateKeyAllowUnits
00000001d4ef1628 (__DATA_CONST,__const) external _CalculateKeyAutoScientificNotation
00000001d4ef1638 (__DATA_CONST,__const) external _CalculateKeyConvertTrivial
00000001d4ef1668 (__DATA_CONST,__const) external _CalculateKeyEngine
00000001d4ef1678 (__DATA_CONST,__const) external _CalculateKeyExpectedUnitTypes
00000001d4ef1630 (__DATA_CONST,__const) external _CalculateKeyFlexibleFractionDigits
00000001d4ef1670 (__DATA_CONST,__const) external _CalculateKeyIgnoreProbableSearches
00000001d4ef1618 (__DATA_CONST,__const) external _CalculateKeyLocales
00000001d4ef1680 (__DATA_CONST,__const) external _CalculateKeyLocalizeUnit
00000001d4ef1658 (__DATA_CONST,__const) external _CalculateKeyMaximumConversions
00000001d4ef1620 (__DATA_CONST,__const) external _CalculateKeyNumberFormatter
00000001d4ef1660 (__DATA_CONST,__const) external _CalculateKeyPreferMixedUnits
000000019dd316d4 (__TEXT,__text) non-external _CalculateLogForCategory
00000001d9215348 (__DATA,__bss) non-external _CalculateLogForCategory.logObjects
00000001d9215350 (__DATA,__bss) non-external _CalculateLogForCategory.loggingToken
000000019dd4172c (__TEXT,__text) external _CalculatePerformExpression
000000019dd20834 (__TEXT,__text) non-external _CountLeadingZeros
00000001d92152f0 (__DATA,__bss) non-external _DecimalPi.initialized
00000001d92152e0 (__DATA,__bss) non-external _DecimalPi.pi.0
000000019dd28b78 (__TEXT,__text) non-external _DecimalToDegrees
00000001d9215330 (__DATA,__bss) non-external _DecimalToDegrees.initialized
00000001d9215320 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.0
00000001d9215310 (__DATA,__bss) non-external _DecimalToRadians.initialized
00000001d9215300 (__DATA,__bss) non-external _DecimalToRadians.to_radians.0
00000001d92152b0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.initialized
00000001d92152a0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.0
00000001d92152d0 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.initialized
00000001d92152c0 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.0
00000001d9215270 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.initialized
00000001d9215260 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.0
00000001d9215290 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.initialized
00000001d9215280 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.0
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSCurrentLocaleDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSDecimalCompare (from Foundation)
                 (undefined) external _NSLocaleCurrencyCode (from CoreFoundation)
                 (undefined) external _NSLocaleGroupingSeparator (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystem (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemMetric (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUK (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUS (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnit (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnitCelsius (from CoreFoundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringTransformStripDiacritics (from CoreFoundation)
00000001dbb2dc20 (__AUTH,__objc_data) external _OBJC_CLASS_$_Calculate
00000001dbb2dd38 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateRequest
00000001dbb2dcc0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateResult
00000001dbb2dc98 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateTerm
00000001dbb2ddb0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_CalculateToken
00000001dbb2de00 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_CalculateTokenizer
00000001dbb2dc48 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateUnit
00000001dbb2d9c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_Converter
00000001dbb2d9f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CurrencyCache
00000001dbb2dea0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_Localize
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCache (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendar (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDoubleNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumberHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableURLRequest (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OACredential (from OAuth)
                 (undefined) external _OBJC_CLASS_$_OAURLRequestSigner (from OAuth)
00000001dbb2de28 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_Trie
00000001dbb2dba8 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_TrieNode
00000001dbb2dae0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitInfo
00000001dbb2de78 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitRank
00000001dbb2de50 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitRanks
00000001dbb2db58 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitTypeInfo
00000001dbb2def0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitsInfo
                 (undefined) external _OBJC_EHTYPE_id (from libobjc)
00000001d9214bd4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._expression
00000001d9214bd0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._isCanceled
00000001d9214bd8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._options
00000001d9214bdc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._result
00000001d9214be0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._resultHandler
00000001d9214b7c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._autoScientificNotation
00000001d9214bb4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._conversions
00000001d9214b9c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._expression
00000001d9214b80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._flexibleFractionDigits
00000001d9214b88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._hasStaleCurrencyData
00000001d9214bb0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._inputValueAndUnit
00000001d9214b84 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._isTrivial
00000001d9214ba4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._locales
00000001d9214b90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._localizeUnit
00000001d9214ba0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._numberFormatter
00000001d9214bb8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parent
00000001d9214bbc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parseTree
00000001d9214bc0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._resultTree
00000001d9214b98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._singleUnitID
00000001d9214b8c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._synchronous
00000001d9214bac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._terms
00000001d9214bcc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._typeInfo
00000001d9214b94 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitExponent
00000001d9214bc4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitFormat
00000001d9214ba8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitType
00000001d9214bc8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitsInfo
00000001d9214b78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._decimalValue
00000001d9214b74 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._result
00000001d9214b70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._units
00000001d9214b6c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._value
00000001d9214bf0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._range
00000001d9214bec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._ranks
00000001d9214be8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._text
00000001d9214be4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._tokenType
00000001d9214bf4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._index
00000001d9214c14 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._lastToken
00000001d9214bfc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._locales
00000001d9214c0c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekIndex
00000001d9214c10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekTokens
00000001d9214bf8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._string
00000001d9214c08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._stringLength
00000001d9214c04 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._trie
00000001d9214c00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._unitsInfo
00000001d9214c18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndices
00000001d9214c1c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndicesIndex
00000001d9214b58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._exponent
00000001d9214b5c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._name
00000001d9214b64 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._nextSmallest
00000001d9214b68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitInfo
00000001d9214b60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitType
00000001d9214c4c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._additionalResults
00000001d9214c50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._conversionType
00000001d9214c48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._currencyUpdateTimeOut
00000001d9214c20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputString
00000001d9214c24 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputUnit
00000001d9214c30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputValue
00000001d9214c44 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._isCurrency
00000001d9214c34 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedInputValueAndUnit
00000001d9214c40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputUnit
00000001d9214c3c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValue
00000001d9214c38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValueAndUnit
00000001d9214c28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputUnit
00000001d9214c2c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputValue
00000001d9214a30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currencyData
00000001d9214a34 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentCurrency
00000001d9214a38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentRate
00000001d9214a3c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentString
00000001d9214a24 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._lastRefreshDate
00000001d9214a48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lastRefreshTimeInternal
00000001d9214a4c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lock
00000001d9214a40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._mutableCurrencyCache
00000001d9214a28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._refreshInterval
00000001d9214a44 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._serializer
00000001d9214a2c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._timeout
00000001d9214a20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._uuid
00000001d9214b2c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._autocompress
00000001d9214b34 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterCount
00000001d9214b38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterSize
00000001d9214b48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characters
00000001d9214b30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._compressed
00000001d9214b54 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._firstByteCache
00000001d9214b3c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeCount
00000001d9214b40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeSize
00000001d9214b4c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodes
00000001d9214b50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._objects
00000001d9214b44 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._root
00000001d9214b20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._node
00000001d9214b24 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._offset
00000001d9214b28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._trie
00000001d9214ac0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._allSubunitIDs
00000001d9214acc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseDenominator
00000001d9214ac8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseNumerator
00000001d9214ab0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._bestEquivalent
00000001d9214a98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._doNotSuggest
00000001d9214a9c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._formatNextSmallest
00000001d9214a88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._impliesDivision
00000001d9214a80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isBaseUnit
00000001d9214a90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isCelsius
00000001d9214a84 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isDisplayName
00000001d9214a8c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isFahrenheit
00000001d9214a7c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isInverted
00000001d9214a94 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isKelvin
00000001d9214ac4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._localizationToCompactName
00000001d9214ab4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._measurementSystem
00000001d9214aa8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._name
00000001d9214ab8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._nextSmallest
00000001d9214abc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._subunitIDs
00000001d9214aac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._typeInfo
00000001d9214aa0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitID
00000001d9214aa4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitType
00000001d9214a5c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._context
00000001d9214a58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._locale
00000001d9214a54 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._rank
00000001d9214a50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._unitID
00000001d9214a6c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsCurrency
00000001d9214a60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsFrom
00000001d9214a64 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsTo
00000001d9214a68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsUnit
00000001d9214a70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._ranks
00000001d9214a78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._units
00000001d9214a74 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._unitsInfo
00000001d9214aec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._baseUnit
00000001d9214af4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decomposition
00000001d9214af0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decompositionCoefficient
00000001d9214ad8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isCurrency
00000001d9214ad0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isDecomposable
00000001d9214ad4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isTemperature
00000001d9214adc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isVolume
00000001d9214ae4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._name
00000001d9214ae0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._unitType
00000001d9214ae8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._units
00000001d9214b14 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._angleInfo
00000001d9214b18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._degreesInfo
