00000001ca2bf684 (__TEXT,__text) non-external +[NFPromise new]
00000001d68d8b04 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromise._seal
00000001d68d8b0c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._error
00000001d68d8b14 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._handlers
00000001d68d8b18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._lock
00000001d68d8b10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._state
00000001d68d8b08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._value
00000001d68d8b28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentNetworkPath
00000001d68d8b1c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentReachabilityStatus
00000001d68d8b24 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._networkPathMonitor
00000001d68d8b20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._observationQueue
00000001d68d8aec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._events
00000001d68d8af0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._lock
00000001d68d8ae4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._owner
00000001d68d8ae0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._state
00000001d68d8ae8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._states
00000001d68d8adc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._status
00000001d68d8af4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._statusToken
00000001d68d8b38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._destinationState
00000001d68d8b3c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._fireBlock
00000001d68d8b30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._name
00000001d68d8b34 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._states
00000001d68d8b44 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._canTryBlock
00000001d68d8b54 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didEnterBlock
00000001d68d8b50 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didExitBlock
00000001d68d8b40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._name
00000001d68d8b4c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willEnterBlock
00000001d68d8b48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willExitBlock
00000001d68d8ab0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._context
00000001d68d8aa4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._event
00000001d68d8aa8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._fromState
00000001d68d8aa0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._stateMachine
00000001d68d8aac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._toState
00000001d68d8a98 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLock
00000001d68d8a9c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLockOptions
00000001d7dc2a98 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFArchiver
00000001d7047088 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventManager
00000001d70470b0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventTrigger
00000001d7047100 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFLazy
00000001d70472e0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMultiDelegate
00000001d7047290 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMutexLock
00000001d7dc2a70 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFPendingPromise
00000001d7047150 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromise
00000001d70471f0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromiseSeal
00000001d7047240 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFReachability
00000001d7dc2b10 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachine
00000001d7dc2b60 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachineEvent
00000001d7dc2bb0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachineState
00000001d7dc2a20 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachineTransition
00000001d7047010 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFUnfairLock
00000001d7047178 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFVoid
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001ca2bd5ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001ca2beb98 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001ca2c2004 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001ca2bd5c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001ca2bebac (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001ca2c2018 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001ca2bd5d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001ca2bebc0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001ca2c202c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001ca2bd5f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001ca2bebdc (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001ca2c2048 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001ca2bd600 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001ca2bebec (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001ca2c2058 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001df970438 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSError_$_NFStateMachine
00000001df970548 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSKeyedUnarchiver_$_FRAdditions
00000001df970660 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSObject_$_NFAdditions
00000001df9706a0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSString_$_NFAdditions
00000001df9704c0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSUserDefaults_$_NFAdditions
00000001df9708d8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSValue_$_NFAdditions
00000001ca2c58d0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFPromise(Firstly|Void|Delay|Timeout)
00000001ca2c5bc8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFReachability
00000001ca2c56b0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSError(NFStateMachine)
00000001ca2c5880 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSKeyedUnarchiver(FRAdditions)
00000001ca2c5a90 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSObject(NFAdditions)
00000001ca2c5f80 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSValue(NFAdditions)
00000001ca2c5690 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFArchiver
00000001ca2c5588 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventManager
00000001ca2c5630 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventTrigger
00000001ca2c5830 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFLazy
00000001ca2c5ee8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMultiDelegate
00000001ca2c5c88 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMutexLock
00000001ca2c5520 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPendingPromise
00000001ca2c5938 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromise(Firstly|Void|Delay|Timeout)
00000001ca2c5ad0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromiseSeal
00000001ca2c5be0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFReachability
00000001ca2c56e0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachine
00000001ca2c5cd8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineEvent
00000001ca2c5d98 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineState(Private)
00000001ca2c5478 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineTransition
00000001ca2c5418 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFUnfairLock
00000001ca2c5a78 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFVoid
00000001ca2c56c8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSError(NFStateMachine)
00000001ca2c58b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSKeyedUnarchiver(FRAdditions)
00000001ca2c5ab0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSString(NFAdditions)
00000001ca2c5818 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSUserDefaults(NFAdditions)
00000001ca2c5f98 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSValue(NFAdditions)
00000001df96dfb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventManager
00000001df96e068 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventTrigger
00000001df96e738 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFLazy
00000001df96eeb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMultiDelegate
00000001df96ebb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMutexLock
00000001df96dec8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPendingPromise
00000001df96e7d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromise
00000001df96e988 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromiseSeal
00000001df96ea88 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFReachability
00000001df96e590 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachine
00000001df96ec28 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineEvent
00000001df96ed40 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineState
00000001df96dd80 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineTransition
00000001df96dcf0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFUnfairLock
00000001df96e500 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFArchiver
00000001df96dff8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventManager
00000001df96e110 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventTrigger
00000001df96e7a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFLazy
00000001df96ef00 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFMultiDelegate
00000001df96df30 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPendingPromise
00000001df96e800 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromise
00000001df96ea30 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromiseSeal
00000001df96eb10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFReachability
00000001df96e678 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachine
00000001df96ecb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineEvent
00000001df96ee08 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineState
00000001df96de28 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineTransition
00000001df96e358 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001df96e458 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NFArchiver
00000001df96e8b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001df96dc30 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSLocking
00000001df96e168 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001df96e338 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001df96e490 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NFArchiver
00000001df96e8d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001df96dc68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSLocking
00000001df96e3a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001df96e440 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFArchiver
00000001df96dc78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFLocking
00000001df96e4a0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFArchiver
00000001df96eb58 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFMutexLock
00000001df96dc90 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFUnfairLock
00000001df96e8e0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFVoid
00000001df9703f0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFArchiver
00000001df970360 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFEventManager
00000001df9703a8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFEventTrigger
00000001df970500 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFLazy
00000001df970890 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFMultiDelegate
00000001df9707b8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFMutexLock
00000001df970318 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPendingPromise
00000001df9705d0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPromise
00000001df9706e0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPromiseSeal
00000001df970770 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFReachability
00000001df970478 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachine
00000001df970800 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineEvent
00000001df970848 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineState
00000001df9702d0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineTransition
00000001df970288 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFUnfairLock
00000001df970618 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFVoid
00000001df96dc18 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFArchiver
00000001df96dc08 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFLocking
00000001df96dc20 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000001df96dc00 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSLocking
00000001df96dc10 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000001df96e4b8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFArchiver
00000001df96df68 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFEventManager
00000001df96e020 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFEventTrigger
00000001df96e6f0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFLazy
00000001df96ee70 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFMultiDelegate
00000001df96eb70 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFMutexLock
00000001df96de80 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPendingPromise
00000001df970588 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPromise
00000001df96e940 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPromiseSeal
00000001df970728 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFReachability
00000001df96e548 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachine
00000001df96ebe0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineEvent
00000001df96ecf8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineState
00000001df96dd38 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineTransition
00000001df96dca8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFUnfairLock
00000001df96e8f8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFVoid
00000001d68d8c80 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFArchiver
00000001d68d8bc0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFLocking
00000001d68d8cf8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00000001d68d8b60 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSLocking
00000001d68d8c20 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000001ca2c43b8 (__TEXT,__text) external __UIValueCGRectValue
                 (undefined) external __Unwind_Resume (from libSystem)
00000001ca2c004c (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke
00000001ca2c010c (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke_2
00000001ca2bff38 (__TEXT,__text) non-external ___17-[NFPromise then]_block_invoke
00000001ca2c098c (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke
00000001ca2c0a14 (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke_2
00000001ca2c02e4 (__TEXT,__text) non-external ___18-[NFPromise error]_block_invoke
00000001ca2c0190 (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke
00000001ca2c0260 (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke_2
00000001ca2bffc0 (__TEXT,__text) non-external ___19-[NFPromise thenOn]_block_invoke
00000001ca2c0aa8 (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke
00000001ca2c0b7c (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke_2
00000001ca2c03e4 (__TEXT,__text) non-external ___20-[NFPromise errorOn]_block_invoke
00000001ca2c0470 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke
00000001ca2c0530 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_2
00000001ca2c0614 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_3
00000001ca2c0740 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke
00000001ca2c0810 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_2
00000001ca2c08f4 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_3
00000001ca2c22b0 (__TEXT,__text) non-external ___22-[NFReachability init]_block_invoke
00000001ca2bc68c (__TEXT,__text) non-external ___24-[NFPendingPromise init]_block_invoke
00000001ca2bf8b8 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke
00000001ca2bf9e4 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_2
00000001ca2bfbf8 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_3
00000001ca2bfe38 (__TEXT,__text) non-external ___27-[NFPromise errorOn:error:]_block_invoke
00000001ca2bf534 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke
00000001ca2bf598 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke.16
00000001ca2c212c (__TEXT,__text) non-external ___32+[NFReachability sharedInstance]_block_invoke
00000001ca2c1b2c (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke
00000001ca2c1bb4 (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke_2
00000001ca2c2cf4 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke
00000001ca2c3454 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.13
00000001ca2c3234 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.4
00000001ca2c3374 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.8
00000001ca2c306c (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2
00000001ca2c34e4 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.14
00000001ca2c3310 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.5
00000001ca2c3440 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.9
00000001ca2c310c (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_3
00000001ca2c1878 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke
00000001ca2c19f0 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke.11
00000001ca2c19dc (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke_2
00000001ca2c241c (__TEXT,__text) non-external ___44-[NFReachability _updateCurrentNetworkPath:]_block_invoke
00000001ca2c103c (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke
00000001ca2c1120 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke_2
00000001ca2c0dfc (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke
00000001ca2c0ee0 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke_2
00000001ca2be86c (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke
00000001ca2be9f4 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.47
00000001ca2bea04 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.51
00000001ca2c4c88 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.51.cold.1
00000001ca2bea34 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.58
00000001ca2bea7c (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.60
00000001ca2be8e4 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_2
00000001ca2be95c (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_3
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001ca2c46f8 (__TEXT,__text) non-external ___NFDeviceHasExtendedColorDisplay_block_invoke
00000001ca2c45a4 (__TEXT,__text) non-external ___NFDevicePlatform_block_invoke
00000001ca2bc128 (__TEXT,__text) non-external ___NFInternalBuild_block_invoke
00000001ca2bc19c (__TEXT,__text) non-external ___NFStoreDemoMode_block_invoke
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00000001df96dae8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSError"8l
00000001df96dac0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000001df96db08 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e8_v16?08l
00000001df96db28 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_16?08l
00000001df96fc08 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e5_v8?0l
00000001df96fa58 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e8_16?08l
00000001df96f7f8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e17_v16?0"NSError"8l
00000001df96f968 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?08l
00000001df96fae8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?0d8l
00000001df96f8d8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<?>8l
