00007ffd1f37b048 (__TEXT,__text) non-external _Done_iODBC
00007ffd42bc4170 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffd42bc4180 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffd42bc45a0 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffd42bc4df0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffd42bc4e10 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffd42bc4610 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffd42bc45e0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffd42bc4e30 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffd42bc41a0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffd42bc41d0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffd42bc4e90 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffd42bc4eb0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffd42bc4ee0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffd42bc4f10 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffd42bc4f80 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffd42bc4fc0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffd42bc5040 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffd42bc50a0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffd42bc5120 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffd42bc5150 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffd42bc51a0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffd42bc4e60 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffd42bc51d0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffd42bc4630 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffd42bc4200 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffd42bc4650 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffd42bc42d0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffd42bc42f0 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffd42bc43a0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffd42bc46d0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffd42bc4680 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffd42bc3fd0 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffd1f39243d (__TEXT,__text) non-external __trace_bufferlen
00007ffd1f391c42 (__TEXT,__text) non-external __trace_c_type
00007ffd1f38f0ac (__TEXT,__text) non-external __trace_colattr2_type
00007ffd1f38f3a8 (__TEXT,__text) non-external __trace_colattr3_data
00007ffd1f38f0e6 (__TEXT,__text) non-external __trace_colattr3_type
00007ffd1f38b8b0 (__TEXT,__text) non-external __trace_connattr_type
00007ffd1f392720 (__TEXT,__text) non-external __trace_connopt_type
00007ffd1f39441c (__TEXT,__text) non-external __trace_connstr
00007ffd1f3946b2 (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffd1f394611 (__TEXT,__text) non-external __trace_connstr_w
00007ffd1f39377c (__TEXT,__text) non-external __trace_data
00007ffd1f38bb2c (__TEXT,__text) non-external __trace_desc_null
00007ffd1f38ea70 (__TEXT,__text) non-external __trace_descfield_type
00007ffd1f3934bc (__TEXT,__text) non-external __trace_diag_type
00007ffd1f390879 (__TEXT,__text) non-external __trace_direction
00007ffd1f3944f3 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffd1f38c40d (__TEXT,__text) non-external __trace_envattr_type
00007ffd1f38ca7a (__TEXT,__text) non-external __trace_fetchtype
00007ffd1f394b58 (__TEXT,__text) non-external __trace_freestmt_option
00007ffd1f39004d (__TEXT,__text) non-external __trace_func_name
00007ffd1f38ffac (__TEXT,__text) non-external __trace_func_result
00007ffd1f38cc65 (__TEXT,__text) non-external __trace_getinfo
00007ffd1f391766 (__TEXT,__text) non-external __trace_handle
00007ffd1f391701 (__TEXT,__text) non-external __trace_handle_p
00007ffd1f3916c0 (__TEXT,__text) non-external __trace_handletype
00007ffd1f391f4c (__TEXT,__text) non-external __trace_inouttype
00007ffd1f3917d8 (__TEXT,__text) non-external __trace_integer
00007ffd1f3918f4 (__TEXT,__text) non-external __trace_integer_p
00007ffd1f3919d1 (__TEXT,__text) non-external __trace_len
00007ffd1f391a0b (__TEXT,__text) non-external __trace_len_p
00007ffd1f391811 (__TEXT,__text) non-external __trace_pointer
00007ffd1f391531 (__TEXT,__text) non-external __trace_print_function
00007ffd1f38cb46 (__TEXT,__text) non-external __trace_scrollopt_type
00007ffd1f38c950 (__TEXT,__text) non-external __trace_setpos_irow
00007ffd1f38c9a6 (__TEXT,__text) non-external __trace_setpos_lock
00007ffd1f38c96c (__TEXT,__text) non-external __trace_setpos_oper
00007ffd1f39179f (__TEXT,__text) non-external __trace_smallint
00007ffd1f391849 (__TEXT,__text) non-external __trace_smallint_p
00007ffd1f38c62e (__TEXT,__text) non-external __trace_spcols_null
00007ffd1f38c5f4 (__TEXT,__text) non-external __trace_spcols_scope
00007ffd1f38c5b5 (__TEXT,__text) non-external __trace_spcols_type
00007ffd1f392380 (__TEXT,__text) non-external __trace_sql_subtype
00007ffd1f391f8d (__TEXT,__text) non-external __trace_sql_type
00007ffd1f39215c (__TEXT,__text) non-external __trace_sql_type_p
00007ffd1f3948a0 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffd1f394862 (__TEXT,__text) non-external __trace_stats_unique
00007ffd1f392a00 (__TEXT,__text) non-external __trace_stmtattr_type
00007ffd1f3931b4 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffd1f391ab5 (__TEXT,__text) non-external __trace_string
00007ffd1f391b67 (__TEXT,__text) non-external __trace_string_w
00007ffd1f39199d (__TEXT,__text) non-external __trace_stringlen
00007ffd42bc51f0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffd1f393e64 (__TEXT,__text) non-external __trace_tran_completion
00007ffd1f394104 (__TEXT,__text) non-external __trace_typeinfo
00007ffd1f3917f5 (__TEXT,__text) non-external __trace_uinteger
00007ffd1f391949 (__TEXT,__text) non-external __trace_uinteger_p
00007ffd1f3919ee (__TEXT,__text) non-external __trace_ulen
00007ffd1f391a60 (__TEXT,__text) non-external __trace_ulen_p
00007ffd1f3917bc (__TEXT,__text) non-external __trace_usmallint
00007ffd1f39189f (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffd44bba0f2 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffd1f3959d2 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffd1f395f0f (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffd1f395962 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffd1f395c30 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffd1f395a46 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffd1f396129 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffd1f395aee (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffd1f395b8b (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffd1f395bdf (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffd1f3975e1 (__TEXT,__text) non-external _do_create_dsns
00007ffd44bba0b0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffd44bba090 (__DATA,__common) non-external _ierror
00007ffd1f39770a (__TEXT,__text) non-external _install_from_ini
00007ffd1f397c0f (__TEXT,__text) non-external _install_from_string
00007ffd44bb9af0 (__DATA,__data) external _iodbc_version
00007ffd44bb9fd0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd44bba018 (__DATA,__data) non-external _numerrors
00007ffd44bb9b00 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffd44bba020 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffd1f397df4 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffd42bc3510 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffd44bba060 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffd1f38e449 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffd1f392688 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffd1f38ef2f (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffd1f3907c9 (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffd1f38ee94 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffd1f38f91d (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffd1f392510 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffd1f3925cc (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffd1f38c559 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffd1f393709 (__TEXT,__text) non-external _trace_SQLCancel
00007ffd1f39084f (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffd1f38f314 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffd1f38f6f4 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffd1f38f78b (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffd1f38f83a (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffd1f3932db (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffd1f3933ca (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffd1f38e510 (__TEXT,__text) non-external _trace_SQLColumns
00007ffd1f38e5ff (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffd1f392d2b (__TEXT,__text) non-external _trace_SQLConnect
00007ffd1f392deb (__TEXT,__text) non-external _trace_SQLConnectW
00007ffd1f38ca41 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffd1f3908d8 (__TEXT,__text) non-external _trace_SQLDataSources
00007ffd1f3909bd (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffd1f38bb9e (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffd1f38bc8a (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffd1f393236 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffd1f390825 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffd1f394338 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffd1f39452d (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffd1f38fb7c (__TEXT,__text) non-external _trace_SQLDrivers
00007ffd1f38fc61 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffd1f38e404 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffd1f38bfa2 (__TEXT,__text) non-external _trace_SQLError
00007ffd1f38c091 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffd1f39061a (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffd1f390678 (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffd1f38c58b (__TEXT,__text) non-external _trace_SQLExecute
00007ffd1f38cabb (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffd1f390b55 (__TEXT,__text) non-external _trace_SQLFetch
00007ffd1f3926d5 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffd1f392eab (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffd1f392fef (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffd1f39318a (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffd1f38c926 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffd1f38e3d2 (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffd1f394b92 (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffd1f38ba1c (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffd1f38baa4 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffd1f3928e0 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffd1f392928 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffd1f38ef99 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffd1f38f021 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffd1f393d94 (__TEXT,__text) non-external _trace_SQLGetData
00007ffd1f38ed64 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffd1f38edfc (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffd1f38bd76 (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffd1f38be8c (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffd1f3935d4 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffd1f39367c (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffd1f38c24e (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffd1f38c32d (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffd1f38c47a (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffd1f3905c4 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffd1f38cbd8 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffd1f38e120 (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffd1f392c34 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffd1f392cbc (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffd1f3931ee (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffd1f3942d4 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffd1f394306 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffd1f393e3a (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffd1f38e8cd (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffd1f38e99e (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffd1f38e6ee (__TEXT,__text) non-external _trace_SQLNumParams
00007ffd1f393133 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffd1f38f8e9 (__TEXT,__text) non-external _trace_SQLParamData
00007ffd1f38e4a5 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffd1f394bc4 (__TEXT,__text) non-external _trace_SQLPrepare
00007ffd1f394c22 (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffd1f38fd46 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffd1f38fe0a (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffd1f38e1ad (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffd1f38e29c (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffd1f38f9f4 (__TEXT,__text) non-external _trace_SQLProcedures
00007ffd1f38fab8 (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffd1f393733 (__TEXT,__text) non-external _trace_SQLPutData
00007ffd1f38c502 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffd1f3947c0 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffd1f394811 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffd1f392970 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffd1f3929b8 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffd1f390a9b (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffd1f390af8 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffd1f38c180 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffd1f38c1e7 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffd1f38fece (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffd1f3906d6 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffd1f38c9e0 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffd1f38cb87 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffd1f390727 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffd1f390778 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffd1f38e38b (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffd1f38c66c (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffd1f38c7c9 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffd1f3948de (__TEXT,__text) non-external _trace_SQLStatistics
00007ffd1f394a1b (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffd1f38e745 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffd1f38e809 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffd1f393f24 (__TEXT,__text) non-external _trace_SQLTables
00007ffd1f394013 (__TEXT,__text) non-external _trace_SQLTablesW
00007ffd1f393ea4 (__TEXT,__text) non-external _trace_SQLTransact
00007ffd44bba050 (__DATA,__bss) non-external _trace_appname
00007ffd1f39108e (__TEXT,__text) non-external _trace_emit
00007ffd1f391397 (__TEXT,__text) non-external _trace_emit_binary
00007ffd1f39117f (__TEXT,__text) non-external _trace_emit_string
00007ffd1f391159 (__TEXT,__text) non-external _trace_emitc
00007ffd44bba058 (__DATA,__bss) non-external _trace_fname
00007ffd44bba070 (__DATA,__bss) non-external _trace_fp
00007ffd44bba078 (__DATA,__bss) non-external _trace_fp_close
00007ffd1f390bb0 (__TEXT,__text) non-external _trace_get_filename
00007ffd1f390b80 (__TEXT,__text) non-external _trace_set_appname
00007ffd1f390bc1 (__TEXT,__text) non-external _trace_set_filename
00007ffd1f390e58 (__TEXT,__text) non-external _trace_start
00007ffd1f390fee (__TEXT,__text) non-external _trace_stop
00007ffd1f390e05 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffd1f3960cb (__TEXT,__text) non-external _utf8_len
00007ffd1f3961a7 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffd44bba0f0 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
