0000000182765150 (__DATA,__data) non-external _C
0000000182765720 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00000001806451fc (__TEXT,__text) non-external (was a private external) ___xprintf_vector
000000018064504c (__TEXT,__text) non-external (was a private external) ___xvprintf
000000018063e178 (__TEXT,__text) external __allocenvstate
0000000180608cd4 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00000001806122ac (__TEXT,__text) non-external (was a private external) __ascii_init
0000000180612324 (__TEXT,__text) non-external __ascii_mbrtowc
0000000180612380 (__TEXT,__text) non-external __ascii_mbsinit
0000000180612388 (__TEXT,__text) non-external __ascii_mbsnrtowcs
000000018061244c (__TEXT,__text) non-external __ascii_wcrtomb
0000000180612488 (__TEXT,__text) non-external __ascii_wcsnrtombs
00000001805edea4 (__TEXT,__text) non-external __boottime_fallback_usec
0000000180747040 (__DATA_CONST,__const) external __c_locale
000000018061d3ec (__TEXT,__text) external __cleanup
000000018063e17c (__TEXT,__text) external __copyenv
000000018277aa38 (__AUTH,__data) external __cthread_init_routine
000000018063e204 (__TEXT,__text) external __deallocenvstate
000000018063dad8 (__TEXT,__text) non-external __do_nothing
00000001805f7854 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
0000000182771b28 (__DATA,__common) non-external (was a private external) __e_err_exit
0000000182771b20 (__DATA,__common) non-external (was a private external) __e_err_file
00000001806091b8 (__TEXT,__text) non-external (was a private external) __e_visprintf
                 (undefined) external __exit (from libsystem_kernel)
00000001805ee150 (__TEXT,__text) non-external __ffpp_strtoencf32_l
0000000180652fa0 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
0000000180652fcc (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
0000000180655730 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
00000001805ee4a8 (__TEXT,__text) non-external __ffpp_strtoencf64_l
0000000180652ff8 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
0000000180653024 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
0000000180653050 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
0000000180655ad0 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
000000018060d760 (__TEXT,__text) non-external (was a private external) __filldir
000000018060fd8c (__TEXT,__text) non-external (was a private external) __fixtelldir
000000018061bed8 (__TEXT,__text) external __flockfile_debug_stub
000000018061e4a8 (__TEXT,__text) external __fseeko
000000018061e930 (__TEXT,__text) external __ftello
000000018061eed0 (__TEXT,__text) external __fwalk
0000000180638cb8 (__TEXT,__text) external __getenvp
00000001805f46bc (__TEXT,__text) external __init_clock_port
000000018063472c (__TEXT,__text) external __int_to_time
000000018063b548 (__TEXT,__text) non-external __isort
000000018063c0f8 (__TEXT,__text) non-external __isort
0000000182766e38 (__DATA,__bss) non-external __libSystem_atfork_child
0000000182766e20 (__DATA,__bss) non-external __libSystem_atfork_child_v2
0000000182766e30 (__DATA,__bss) non-external __libSystem_atfork_parent
0000000182766e18 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
0000000182766e28 (__DATA,__bss) non-external __libSystem_atfork_prepare
0000000182766e10 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
00000001805fac58 (__TEXT,__text) external __libc_fork_child
00000001805fad0c (__TEXT,__text) non-external (was a private external) __libc_fork_init
00000001805fac54 (__TEXT,__text) external __libc_fork_parent
00000001805fac50 (__TEXT,__text) external __libc_fork_prepare
00000001805faba0 (__TEXT,__text) external __libc_initializer
0000000180615d58 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
0000000180615d30 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
0000000180615d08 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
0000000180634724 (__TEXT,__text) external __long_to_time
00000001805edb30 (__TEXT,__text) non-external __mach_boottime_usec
0000000182766e08 (__DATA,__bss) non-external __mh_execute_header_pointer
00000001806200c4 (__TEXT,__text) non-external __mkdtemp_action
000000018061fdf4 (__TEXT,__text) non-external __mkostemps_action
00000001805f9eac (__TEXT,__text) non-external __mkpath
00000001805f9e98 (__TEXT,__text) external __mkpath_np
00000001806202e8 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
0000000180654090 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
0000000180620148 (__TEXT,__text) external __mktemp
00000001806201a0 (__TEXT,__text) non-external __mktemp_action
00000001806170a8 (__TEXT,__text) non-external (was a private external) __none_init
0000000180617120 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
0000000180617150 (__TEXT,__text) non-external (was a private external) __none_mbsinit
0000000180617158 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00000001806171ec (__TEXT,__text) non-external (was a private external) __none_wcrtomb
0000000180617228 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001806534f8 (__TEXT,__text) external __os_assert_log
00000001806536e8 (__TEXT,__text) external __os_assert_log_ctx
00000001806533ec (__TEXT,__text) external __os_assumes_log
00000001806535c4 (__TEXT,__text) external __os_assumes_log_ctx
00000001805fb5b0 (__TEXT,__text) external __os_avoid_tail_call
00000001806533e0 (__TEXT,__text) external __os_crash
0000000182771b10 (__DATA,__common) external __os_crash_callback
00000001805fb5b4 (__TEXT,__text) non-external __os_get_build
                 (undefined) external __os_once (from libsystem_platform)
000000018063dae0 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
000000018063dc30 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
000000018063db98 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00000001827d1b78 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
00000001806585a1 (__TEXT,__cstring) non-external __printf_tbl_flags
00000001805facd4 (__TEXT,__text) non-external (was a private external) __program_vars_init
000000018063aaf8 (__TEXT,__text) external __putenvp
000000018063ac78 (__TEXT,__text) non-external __qsort
000000018063b774 (__TEXT,__text) non-external __qsort
0000000182765780 (__DATA,__data) external __rand48_add
0000000182765778 (__DATA,__data) external __rand48_mult
0000000182765770 (__DATA,__data) external __rand48_seed
000000018060df00 (__TEXT,__text) external __readdir_unlocked
000000018060fdc0 (__TEXT,__text) external __reclaim_telldir
00000001805f869c (__TEXT,__text) non-external __releaselocale
0000000180656974 (__TEXT,__const) non-external (was a private external) __rp_alist
000000018060fcd0 (__TEXT,__text) external __seekdir
000000018063e260 (__TEXT,__text) external __setenvp
00000001805fb310 (__TEXT,__text) external __sigaction_nobind
0000000182771b40 (__DATA,__common) external __sigintr
000000018060ef24 (__TEXT,__text) external __signal_nobind
00000001805ed5b0 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
000000018060ec48 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00000001806229c4 (__TEXT,__text) external __sread
0000000180622af8 (__TEXT,__text) external __sseek
0000000180631d04 (__TEXT,__text) non-external (was a private external) __st_fmt
00000001805f9158 (__TEXT,__text) non-external (was a private external) __st_get_timezone
000000018062fc7c (__TEXT,__text) non-external (was a private external) __st_localsub
00000001805f9164 (__TEXT,__text) non-external (was a private external) __st_set_timezone
0000000180630724 (__TEXT,__text) non-external (was a private external) __st_time1
000000018062ea28 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00000001806456e8 (__TEXT,__text) non-external __strfmon
0000000180632eec (__TEXT,__text) non-external __strptime0
00000001806567c0 (__TEXT,__const) non-external __strptime0.start_of_month
00000001805f8994 (__TEXT,__text) external __subsystem_init
0000000180622a34 (__TEXT,__text) external __swrite
00000001805f52a8 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00000001805f50c0 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
000000018063470c (__TEXT,__text) external __time32_to_time
0000000180634718 (__TEXT,__text) external __time64_to_time
0000000180634728 (__TEXT,__text) external __time_to_int
0000000180634720 (__TEXT,__text) external __time_to_long
0000000180634714 (__TEXT,__text) external __time_to_time32
000000018063471c (__TEXT,__text) external __time_to_time64
000000018063e2f0 (__TEXT,__text) external __unsetenvp
00000001806234e0 (__TEXT,__text) non-external (was a private external) __vasprintf
00000001806236b4 (__TEXT,__text) non-external (was a private external) __vdprintf
000000018062d6ac (__TEXT,__text) non-external (was a private external) __vsnprintf
0000000180632c2c (__TEXT,__text) non-external __yconv
0000000180638314 (__TEXT,__text) external _a64l
00000001806543d8 (__TEXT,__text) external _abort
0000000180654548 (__TEXT,__text) external _abort_report_np
00000001806383e0 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00000001805eff88 (__TEXT,__text) non-external _addToMP
0000000180620df8 (__TEXT,__text) non-external _addaster
000000018060eb50 (__TEXT,__text) non-external _addcmd
0000000180620fe4 (__TEXT,__text) non-external _addtype
0000000180621b40 (__TEXT,__text) non-external _addwaster
00000001805f3604 (__TEXT,__text) non-external _advance_directory
000000018065338c (__TEXT,__text) non-external _advance_directory.cold.1
0000000180608b48 (__TEXT,__text) external _alarm
00000001805ffdf8 (__TEXT,__text) non-external _alloc_segs
000000018060e3fc (__TEXT,__text) external _alphasort
00000001806568c4 (__TEXT,__const) non-external _ambig
0000000180608c40 (__TEXT,__text) non-external _arc4_init
0000000180653830 (__TEXT,__text) non-external _arc4_init.cold.1
0000000180608bac (__TEXT,__text) external _arc4random
0000000180608ba8 (__TEXT,__text) external _arc4random_addrandom
0000000180608bf0 (__TEXT,__text) external _arc4random_buf
0000000180608c88 (__TEXT,__text) external _arc4random_stir
0000000180608c8c (__TEXT,__text) external _arc4random_uniform
0000000180644894 (__TEXT,__text) non-external _arrayget
000000018062e81c (__TEXT,__text) external _asctime
000000018062e6d0 (__TEXT,__text) external _asctime_r
0000000180656723 (__TEXT,__const) non-external _asctime_r.mon_name
000000018065670e (__TEXT,__const) non-external _asctime_r.wday_name
000000018061bf60 (__TEXT,__text) external _asprintf
000000018061bfb0 (__TEXT,__text) external _asprintf_l
00000001805f9170 (__TEXT,__text) external _asxprintf
00000001805f9c30 (__TEXT,__text) external _asxprintf_exec
0000000180638434 (__TEXT,__text) external _atexit
0000000180638574 (__TEXT,__text) external _atexit_b
0000000182765d78 (__DATA,__data) non-external _atexit_mutex
0000000180638468 (__TEXT,__text) non-external _atexit_register
000000018065459c (__TEXT,__text) non-external _atexit_register.cold.1
0000000180638904 (__TEXT,__text) external _atof
000000018063892c (__TEXT,__text) external _atof_l
0000000180638938 (__TEXT,__text) external _atoi
0000000180638978 (__TEXT,__text) external _atoi_l
000000018063899c (__TEXT,__text) external _atol
00000001806389c8 (__TEXT,__text) external _atol_l
00000001806389d8 (__TEXT,__text) external _atoll
0000000180638a04 (__TEXT,__text) external _atoll_l
00000001805f0974 (__TEXT,__text) external _backtrace
00000001805f09dc (__TEXT,__text) external _backtrace_async
00000001805f0a48 (__TEXT,__text) external _backtrace_from_fp
000000018277a860 (__AUTH,__data) non-external _backtrace_get_pcs_func
00000001805f0ab0 (__TEXT,__text) external _backtrace_image_offsets
00000001805f0950 (__TEXT,__text) external _backtrace_set_pcs_func
0000000180608db4 (__TEXT,__text) external _basename
0000000182766e68 (__DATA,__bss) non-external _basename.bname
0000000180608cd8 (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00000001805f666c (__TEXT,__text) external _bcopy
00000001805f02b4 (__TEXT,__text) non-external _bitCountMP
00000001806532b8 (__TEXT,__text) non-external _bitCountMP.cold.1
00000001806565ab (__TEXT,__const) non-external _blanks
000000018065666c (__TEXT,__const) non-external _blanks
0000000182765f84 (__DATA,__data) non-external _blanks
00000001805f490c (__TEXT,__text) non-external _both_ftw
0000000182766d00 (__DATA,__bss) non-external _brapreg
00000001805edfb8 (__TEXT,__text) external _brk
00000001805edfdc (__TEXT,__text) external _bsd_signal
0000000180638a14 (__TEXT,__text) external _bsearch
0000000180638a9c (__TEXT,__text) external _bsearch_b
00000001805fee54 (__TEXT,__text) non-external _bt_broot
00000001805feba4 (__TEXT,__text) non-external _bt_page
00000001805fefc0 (__TEXT,__text) non-external _bt_preserve
00000001805ff018 (__TEXT,__text) non-external _bt_psplit
00000001805feac0 (__TEXT,__text) non-external _bt_root
00000001805fed4c (__TEXT,__text) non-external _bt_rroot
000000018061279c (__TEXT,__text) external _btowc
00000001806126e0 (__TEXT,__text) external _btowc_l
00000001827689c8 (__DATA,__bss) non-external _buf_asctime
00000001806210c8 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
00000001806554c8 (__TEXT,__const) non-external (was a private external) _cVersionNumber
00000001806554a0 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
000000018061bdc0 (__TEXT,__text) external _catclose
0000000180747380 (__DATA_CONST,__const) non-external _categories
000000018061bac4 (__TEXT,__text) external _catgets
000000018061b3e0 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
000000018060ffd4 (__TEXT,__text) external _cfgetispeed
000000018060ffcc (__TEXT,__text) external _cfgetospeed
0000000180610000 (__TEXT,__text) external _cfmakeraw
000000018060ffe8 (__TEXT,__text) external _cfsetispeed
000000018060ffdc (__TEXT,__text) external _cfsetospeed
000000018060fff4 (__TEXT,__text) external _cfsetspeed
000000018060b56c (__TEXT,__text) external _cgetcap
000000018060bd58 (__TEXT,__text) external _cgetclose
000000018060b5f8 (__TEXT,__text) external _cgetent
000000018060bce8 (__TEXT,__text) external _cgetfirst
000000018060bc70 (__TEXT,__text) external _cgetmatch
000000018060bda4 (__TEXT,__text) external _cgetnext
000000018060c520 (__TEXT,__text) external _cgetnum
000000018060b4dc (__TEXT,__text) external _cgetset
000000018060c158 (__TEXT,__text) external _cgetstr
000000018060c428 (__TEXT,__text) external _cgetustr
0000000180613350 (__TEXT,__text) non-external _chainsearch
00000001806563b8 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
00000001805f38a0 (__TEXT,__text) non-external _check_env_var
000000018061bfdc (__TEXT,__text) external _clearerr
000000018061c020 (__TEXT,__text) external _clearerr_unlocked
0000000180608e14 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
00000001805edd94 (__TEXT,__text) external _clock_getres
00000001805edba8 (__TEXT,__text) external _clock_gettime
00000001805ed960 (__TEXT,__text) external _clock_gettime_nsec_np
0000000182771afc (__DATA,__common) external _clock_port
0000000182771af8 (__DATA,__common) external _clock_sem
00000001805ede38 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00000001805f336c (__TEXT,__text) non-external _close_directory
0000000180608e84 (__TEXT,__text) external _closedir
0000000180747988 (__DATA_CONST,__const) non-external _cnames
00000001806012d8 (__TEXT,__text) non-external _collect_data
0000000180601490 (__TEXT,__text) non-external _collect_key
0000000180656836 (__TEXT,__const) non-external _command_substitution_str
00000001805f36a4 (__TEXT,__text) external _compat_mode
00000001805f0b6c (__TEXT,__text) external _confstr
00000001805f9704 (__TEXT,__text) external _copy_printf_domain
0000000180651360 (__TEXT,__text) external _creat
00000001805fb69c (__TEXT,__text) external _creat$NOCANCEL
0000000180608f04 (__TEXT,__text) external _ctermid
0000000182765788 (__DATA,__data) non-external _ctermid.def
0000000180608f2c (__TEXT,__text) external _ctermid_r
00000001806306a0 (__TEXT,__text) external _ctime
00000001806306d4 (__TEXT,__text) external _ctime_r
0000000182765828 (__DATA,__data) non-external _current_categories
0000000180617840 (__TEXT,__text) non-external _currentlocale
0000000182767128 (__DATA,__bss) non-external _currentlocale.current_locale_string
0000000182766d60 (__DATA,__bss) non-external _curshell
0000000182765de0 (__DATA,__data) non-external _dash_prefix
0000000182771b60 (__DATA,__common) external _daylight
0000000180603640 (__TEXT,__text) external _dbm_clearerr
0000000180603470 (__TEXT,__text) external _dbm_close
00000001806035b4 (__TEXT,__text) external _dbm_delete
0000000180603650 (__TEXT,__text) external _dbm_dirfno
0000000180603634 (__TEXT,__text) external _dbm_error
000000018060347c (__TEXT,__text) external _dbm_fetch
00000001806034c8 (__TEXT,__text) external _dbm_firstkey
0000000180603538 (__TEXT,__text) external _dbm_nextkey
0000000180603384 (__TEXT,__text) external _dbm_open
00000001806035f0 (__TEXT,__text) external _dbm_store
00000001805ff73c (__TEXT,__text) external _dbopen
0000000182766ed8 (__DATA,__bss) non-external _dbp
0000000182766d20 (__DATA,__bss) non-external _decpreg
000000018065694c (__TEXT,__const) non-external _degrees
00000001805f104c (__TEXT,__text) external _devname
0000000182766c80 (__DATA,__bss) non-external _devname.buf
00000001805f0eec (__TEXT,__text) external _devname_r
000000018062e828 (__TEXT,__text) external _difftime
00000001805f5a9c (__TEXT,__text) external _digittoint
00000001805f5d94 (__TEXT,__text) external _digittoint_l
00000001805fb580 (__TEXT,__text) external _dirfd
0000000180609048 (__TEXT,__text) external _dirname
0000000182766e70 (__DATA,__bss) non-external _dirname.dname
0000000180608f4c (__TEXT,__text) external _dirname_r
0000000180638b34 (__TEXT,__text) external _div
0000000182764a88 (__DATA,__data) non-external _dktypenames
0000000180611948 (__TEXT,__text) non-external _do_hvis
0000000180611a84 (__TEXT,__text) non-external _do_mvis
0000000180611c3c (__TEXT,__text) non-external _do_svis
000000018061c030 (__TEXT,__text) external _dprintf
000000018061c080 (__TEXT,__text) external _dprintf_l
00000001806090a8 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00000001805f77f0 (__TEXT,__text) external _duplocale
00000001805f91ac (__TEXT,__text) external _dxprintf
00000001805f9c70 (__TEXT,__text) external _dxprintf_exec
00000001806401e8 (__TEXT,__text) external _ecvt
0000000182766f40 (__DATA,__bss) non-external _empty
0000000182766f50 (__DATA,__bss) non-external _empty
0000000182765e28 (__DATA,__data) non-external _end_ptr
00000001805f41d4 (__TEXT,__text) external _endttyent
00000001805f4520 (__TEXT,__text) external _endusershell
0000000180638c90 (__TEXT,__text) external _environ_lock_np
0000000182766df8 (__DATA,__bss) non-external _environ_pointer
0000000180638ca0 (__TEXT,__text) external _environ_unlock_np
000000018062da78 (__TEXT,__text) non-external _eofread
000000018062de90 (__TEXT,__text) non-external _eofread
0000000180609128 (__TEXT,__text) external _erand48
0000000180653968 (__TEXT,__text) external _err
0000000180609304 (__TEXT,__text) external _err_set_exit
000000018060935c (__TEXT,__text) external _err_set_exit_b
00000001806092e4 (__TEXT,__text) external _err_set_file
0000000180653ad4 (__TEXT,__text) external _errc
0000000180653af4 (__TEXT,__text) external _errx
0000000180655ea8 (__TEXT,__const) non-external _escape
00000001806093b8 (__TEXT,__text) external _execl
0000000180609498 (__TEXT,__text) external _execle
0000000180609580 (__TEXT,__text) external _execlp
00000001806096c0 (__TEXT,__text) external _execv
00000001806096fc (__TEXT,__text) external _execvP
0000000180609748 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
000000018060965c (__TEXT,__text) external _execvp
0000000180638b64 (__TEXT,__text) external _exit
00000001805f8ac4 (__TEXT,__text) non-external _extract_next_subsystem_root_path
000000018061d360 (__TEXT,__text) external _f_prealloc
00000001805ee9f4 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
000000018061c0ac (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
00000001806403b4 (__TEXT,__text) external _fcvt
000000018061c1cc (__TEXT,__text) external _fdopen
0000000180651e84 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
000000018060d460 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
000000018061c300 (__TEXT,__text) external _feof
000000018061c338 (__TEXT,__text) external _feof_unlocked
000000018061c344 (__TEXT,__text) external _ferror
000000018061c37c (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
0000000180603304 (__TEXT,__text) non-external _fetch_bitmap
00000001805f4eb8 (__TEXT,__text) external _fflagstostr
000000018061c388 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
000000018061c5d0 (__TEXT,__text) external _fgetc
000000018061c6ac (__TEXT,__text) external _fgetln
000000018061c858 (__TEXT,__text) external _fgetpos
000000018061c888 (__TEXT,__text) external _fgets
000000018061c9bc (__TEXT,__text) external _fgetwc
000000018061cb4c (__TEXT,__text) external _fgetwc_l
000000018061ccb0 (__TEXT,__text) external _fgetwln
000000018061cbd4 (__TEXT,__text) external _fgetwln_l
000000018061ceb4 (__TEXT,__text) external _fgetws
000000018061ccd4 (__TEXT,__text) external _fgetws_l
0000000182765bc8 (__DATA,__data) non-external _filelist_lock
000000018061ced8 (__TEXT,__text) external _fileno
000000018061cf0c (__TEXT,__text) external _fileno_unlocked
000000018061fb5c (__TEXT,__text) non-external _find_temp_path
0000000180634658 (__TEXT,__text) non-external _first_wday_of
000000018061be9c (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
000000018060061c (__TEXT,__text) non-external _flush_meta
00000001806373bc (__TEXT,__text) external _fmemopen
000000018063770c (__TEXT,__text) non-external _fmemopen_close
000000018063759c (__TEXT,__text) non-external _fmemopen_read
0000000180637684 (__TEXT,__text) non-external _fmemopen_seek
00000001806375f8 (__TEXT,__text) non-external _fmemopen_write
0000000180747538 (__DATA_CONST,__const) non-external _fmt_padding
0000000180609a94 (__TEXT,__text) external _fmtcheck
000000018060a088 (__TEXT,__text) external _fmtmsg
000000018060a610 (__TEXT,__text) external _fnmatch
000000018061d4cc (__TEXT,__text) external _fopen
0000000180651fb8 (__TEXT,__text) external _fopen$DARWIN_EXTSN
00000001805fad68 (__TEXT,__text) external _fork
000000018061d5e8 (__TEXT,__text) external _fprintf
000000018061d638 (__TEXT,__text) external _fprintf_l
0000000182765e18 (__DATA,__data) non-external _fptr
000000018061d664 (__TEXT,__text) external _fpurge
000000018061d6f4 (__TEXT,__text) external _fputc
000000018061d780 (__TEXT,__text) external _fputs
000000018061d910 (__TEXT,__text) external _fputwc
000000018061d994 (__TEXT,__text) external _fputwc_l
000000018061db80 (__TEXT,__text) external _fputws
000000018061da28 (__TEXT,__text) external _fputws_l
000000018061dd50 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
00000001805f9344 (__TEXT,__text) external _free_printf_comp
00000001805f97b8 (__TEXT,__text) external _free_printf_domain
00000001805f7b44 (__TEXT,__text) external _freelocale
000000018061dfec (__TEXT,__text) external _freopen
000000018061e31c (__TEXT,__text) external _fscanf
000000018061e394 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
000000018061e41c (__TEXT,__text) external _fseek
000000018061e828 (__TEXT,__text) external _fseeko
000000018061e8b4 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
00000001805f0778 (__TEXT,__text) external _fstatvfs
0000000182764ae8 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
00000001805fb510 (__TEXT,__text) external _fsync_volume_np
000000018061e8c0 (__TEXT,__text) external _ftell
000000018061e8c4 (__TEXT,__text) external _ftello
000000018062e85c (__TEXT,__text) external _ftime
000000018060b2b8 (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
000000018061bedc (__TEXT,__text) external _ftrylockfile
00000001805f31a8 (__TEXT,__text) non-external _fts_alloc
00000001805f2330 (__TEXT,__text) non-external _fts_build
00000001806532e4 (__TEXT,__text) non-external _fts_build.cold.1
0000000180653300 (__TEXT,__text) non-external _fts_build.cold.2
000000018065331c (__TEXT,__text) non-external _fts_build.cold.3
0000000180653338 (__TEXT,__text) non-external _fts_build.cold.4
0000000180653354 (__TEXT,__text) non-external _fts_build.cold.5
0000000180653370 (__TEXT,__text) non-external _fts_build.cold.6
00000001805f2fb8 (__TEXT,__text) external _fts_children
00000001805f1b90 (__TEXT,__text) external _fts_close
00000001805f1d08 (__TEXT,__text) non-external _fts_fchdir
00000001805f1cb4 (__TEXT,__text) non-external _fts_free
00000001805f2edc (__TEXT,__text) non-external _fts_load
00000001805f17d0 (__TEXT,__text) external _fts_open
00000001805f1adc (__TEXT,__text) external _fts_open_b
00000001805f3128 (__TEXT,__text) non-external _fts_palloc
00000001805f1d20 (__TEXT,__text) external _fts_read
00000001805f2190 (__TEXT,__text) non-external _fts_safe_changedir
00000001805f2f80 (__TEXT,__text) external _fts_set
00000001805f3248 (__TEXT,__text) non-external _fts_sort
00000001805f33c0 (__TEXT,__text) non-external _fts_stat2
00000001805f48fc (__TEXT,__text) external _ftw
000000018061bf24 (__TEXT,__text) external _funlockfile
000000018061eaa8 (__TEXT,__text) external _funopen
000000018061ef58 (__TEXT,__text) external _fwide
000000018061efc4 (__TEXT,__text) external _fwprintf
000000018061f014 (__TEXT,__text) external _fwprintf_l
000000018061f040 (__TEXT,__text) external _fwrite
000000018061f130 (__TEXT,__text) external _fwscanf
000000018061f180 (__TEXT,__text) external _fwscanf_l
00000001805f91e8 (__TEXT,__text) external _fxprintf
00000001805f9cb0 (__TEXT,__text) external _fxprintf_exec
0000000182764a40 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001806403bc (__TEXT,__text) external _gcvt
0000000180607cb8 (__TEXT,__text) non-external _gdtoa_freelist_free
0000000182766e50 (__DATA,__bss) non-external _gdtoa_tsd_key
0000000182765730 (__DATA,__data) non-external _gdtoa_tsd_lock
00000001805ef6e8 (__TEXT,__text) non-external _generalSlowpath
000000018065307c (__TEXT,__text) non-external _generalSlowpath.cold.1
0000000180653208 (__TEXT,__text) non-external _generalSlowpath.cold.10
0000000180653234 (__TEXT,__text) non-external _generalSlowpath.cold.11
0000000180653260 (__TEXT,__text) non-external _generalSlowpath.cold.12
000000018065328c (__TEXT,__text) non-external _generalSlowpath.cold.13
