00000001a512cd78 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a511afc4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
00000001a511af38 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem redactedDescription]
00000001a511afbc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem setAllowed:]
00000001a511afa4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem teamID]
00000001a512bf90 (__TEXT,__text) non-external -[SPMigrationScanner .cxx_destruct]
00000001a512bf88 (__TEXT,__text) non-external -[SPMigrationScanner allBundleURLs]
00000001a512bf80 (__TEXT,__text) non-external -[SPMigrationScanner allKextURLs]
00000001a512bc50 (__TEXT,__text) non-external -[SPMigrationScanner initWithRoot:]
00000001a512bce4 (__TEXT,__text) non-external -[SPMigrationScanner performMigrationScan]
00000001a512bf78 (__TEXT,__text) non-external -[SPMigrationScanner volumeRoot]
00000001a512bbd0 (__TEXT,__text) non-external -[SPProvenanceMetadata .cxx_destruct]
00000001a512bb80 (__TEXT,__text) non-external -[SPProvenanceMetadata bundleID]
00000001a512bbbc (__TEXT,__text) non-external -[SPProvenanceMetadata cdhash]
00000001a512baf4 (__TEXT,__text) non-external -[SPProvenanceMetadata description]
00000001a512b9d8 (__TEXT,__text) non-external -[SPProvenanceMetadata encodeWithCoder:]
00000001a512b7f4 (__TEXT,__text) non-external -[SPProvenanceMetadata initWithCoder:]
00000001a512baac (__TEXT,__text) non-external -[SPProvenanceMetadata redactedDescription]
00000001a512bb58 (__TEXT,__text) non-external -[SPProvenanceMetadata rootID]
00000001a512bb88 (__TEXT,__text) non-external -[SPProvenanceMetadata setBundleID:]
00000001a512bbc4 (__TEXT,__text) non-external -[SPProvenanceMetadata setCdhash:]
00000001a512bb60 (__TEXT,__text) non-external -[SPProvenanceMetadata setRootID:]
00000001a512bbb0 (__TEXT,__text) non-external -[SPProvenanceMetadata setSigningID:]
00000001a512bb9c (__TEXT,__text) non-external -[SPProvenanceMetadata setTeamID:]
00000001a512bb4c (__TEXT,__text) non-external -[SPProvenanceMetadata setUniqueID:]
00000001a512bb74 (__TEXT,__text) non-external -[SPProvenanceMetadata setUrl:]
00000001a512bba8 (__TEXT,__text) non-external -[SPProvenanceMetadata signingID]
00000001a512bb94 (__TEXT,__text) non-external -[SPProvenanceMetadata teamID]
00000001a512bb44 (__TEXT,__text) non-external -[SPProvenanceMetadata uniqueID]
00000001a512bb6c (__TEXT,__text) non-external -[SPProvenanceMetadata url]
00000001a511ce9c (__TEXT,__text) non-external -[SPProvenanceTracking .cxx_destruct]
00000001a511cb70 (__TEXT,__text) non-external -[SPProvenanceTracking dealloc]
00000001a511cd94 (__TEXT,__text) non-external -[SPProvenanceTracking findAssociatedProvenanceEntries:]
00000001a511cca8 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForID:]
00000001a511cbbc (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForURL:]
00000001a511ce80 (__TEXT,__text) non-external -[SPProvenanceTracking getAllProvenanceEntries]
00000001a511c9f0 (__TEXT,__text) non-external -[SPProvenanceTracking init]
00000001a511b7c8 (__TEXT,__text) non-external -[StagedBundleData .cxx_destruct]
00000001a511b7ac (__TEXT,__text) non-external -[StagedBundleData access:]
00000001a511b7c0 (__TEXT,__text) non-external -[StagedBundleData bundle]
00000001a511b2c0 (__TEXT,__text) non-external -[StagedBundleData handleReload]
00000001a511b03c (__TEXT,__text) non-external -[StagedBundleData initWithURL:withStagedURL:withReloadBlock:withPrepareBlock:]
00000001a511b7b8 (__TEXT,__text) non-external -[StagedBundleData stagedBundle]
00000001a5132b80 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a5132c08 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a5132bb8 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001a5132be0 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001a5132ba0 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a5132c18 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a512cb58 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibrary
00000001a512c980 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibraryCore
00000001e7436958 (__DATA,__bss) non-external _AppleMobileFileIntegrityLibraryCore.frameworkLibrary
00000001a5127d48 (__TEXT,__text) non-external _BooleanXPCImpl
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBundleCopyExecutableURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetInfoDictionary (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDateGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _FSEventStreamCreate (from CoreServices)
                 (undefined) external _FSEventStreamInvalidate (from CoreServices)
                 (undefined) external _FSEventStreamRelease (from CoreServices)
                 (undefined) external _FSEventStreamScheduleWithRunLoop (from CoreServices)
                 (undefined) external _FSEventStreamStart (from CoreServices)
                 (undefined) external _FSEventStreamStop (from CoreServices)
00000001efa75948 (__DATA_CONST,__const) external _GKErrorDomain
                 (undefined) weak external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) weak external _MISInstallProvisioningProfile (from libmis)
                 (undefined) weak external _MISProfileCreateWithFile (from libmis)
                 (undefined) weak external _MISProvisioningProfileCheckValidity (from libmis)
                 (undefined) weak external _MISProvisioningProfileGetUUID (from libmis)
                 (undefined) weak external _MISRemoveProvisioningProfile (from libmis)
                 (undefined) weak external _MISUPPTrusted (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfo (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfoWithProgress (from libmis)
                 (undefined) external _NSFileModificationDate (from Foundation)
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSURLErrorKey (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
00000001e8ab0e88 (__AUTH,__objc_data) external _OBJC_CLASS_$_AKELData
00000001e8ab14a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMFI
00000001e8ab1040 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapper
00000001e8ab1540 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicy
00000001e8ab14c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicyResult
00000001e8ab0fc8 (__AUTH,__objc_data) external _OBJC_CLASS_$_BundleData
00000001e8ab10b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_GKScanResult
00000001e8ab1298 (__AUTH,__objc_data) external _OBJC_CLASS_$_MIS
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
00000001e8ab0f50 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyCacheMeta
00000001e8ab1388 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyScanTarget
00000001e8ab1568 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPDeveloperPolicy
00000001e8ab1158 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionHistoryItem
00000001e8ab11f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicy
00000001e8ab1068 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicyItem
00000001e8ab0ed8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPFilePolicy
00000001e8ab1338 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPInstallationPolicy
00000001e8ab11a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistory
00000001e8ab1248 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistoryItem
00000001e8ab0d98 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicy
00000001e8ab0dc0 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicyItem
00000001e8ab1108 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPLog
00000001e8ab12e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigration
00000001e8ab1428 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigrationScanner
00000001e8ab13d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceMetadata
00000001e8ab0f78 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceTracking
00000001e8ab0e38 (__AUTH,__objc_data) external _OBJC_CLASS_$_StagedBundleData
00000001e74364d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._bundle
00000001e74364d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._signatureExceptionData
00000001e74364dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._timestampExceptionData
00000001e7436670 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isModified
00000001e743666c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isValid
00000001e7436674 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.signerCategory
00000001e7436504 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._isSignedBundle
00000001e7436508 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._reloadHandler
00000001e743650c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._stream
00000001e7436518 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._timestamp
00000001e7436500 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._url
00000001e7436510 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._version
00000001e7436514 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._versionNumber
00000001e743653c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.allowed
00000001e7436540 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.gkError
00000001e74364ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._forEntry
00000001e74364e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._lastMiss
00000001e74364e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._metaId
00000001e74364e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._missCount
00000001e74364f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._sourceTable
00000001e74364f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._target
00000001e74365d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._blockDevice
00000001e7436600 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundle
00000001e74365f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleID
00000001e74365f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleVersion
00000001e743660c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhash
00000001e7436610 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashData
00000001e7436614 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashDigestAlgorithm
00000001e74365e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._checkValidity
00000001e74365dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._chgTime
00000001e7436620 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._entitlements
00000001e74365c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._fsTypeName
00000001e74365fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isAppWrapper
00000001e7436638 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isBundled
00000001e74365f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isDirectory
00000001e743662c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantined
00000001e7436628 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantinedMount
00000001e7436634 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isScript
00000001e7436630 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isUserApproved
00000001e74365ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mainExecutableURL
00000001e74365d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._modTime
00000001e74365d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mountTime
00000001e74365c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._objectID
00000001e74365e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._originalURL
00000001e74365c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pathOnVolume
00000001e7436640 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pid
00000001e7436624 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._quarantineChecked
00000001e743661c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingID
00000001e7436608 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingInfo
00000001e7436604 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._staticCodeRef
00000001e7436618 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._teamID
00000001e743663c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._triggeredByLibraryLoad
00000001e74365e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._url
00000001e74365cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumePath
00000001e74365bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumeUUID
00000001e743667c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._connection
00000001e7436678 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._interface
00000001e7436554 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._cdHash
00000001e743655c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._developerName
00000001e7436544 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._execPath
00000001e7436560 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._lastSeen
00000001e7436548 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._mmapPath
00000001e7436558 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._responsiblePath
00000001e743654c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._signingID
00000001e7436550 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._teamID
00000001e7436580 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._connection
00000001e743657c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._interface
00000001e7436584 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._lock
00000001e7436588 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._progressBlock
00000001e7436538 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._blockedReasonDescription
00000001e7436528 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._cdHash
00000001e743651c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._itemPath
00000001e7436534 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._knownMalware
00000001e743652c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._needsApproval
00000001e7436530 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._needsOverride
00000001e7436520 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._signingID
00000001e7436524 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._teamID
00000001e74365b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._connection
00000001e74365b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._interface
00000001e74365b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._requireDaemon
00000001e7436568 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPKernelExtensionHistory._connection
00000001e7436564 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPKernelExtensionHistory._interface
00000001e74365a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.bundleID
00000001e74365a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.cdHash
00000001e7436598 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isCodeless
00000001e7436590 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isDeprecated
00000001e743658c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isNotarized
00000001e7436594 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isUnsupported
00000001e74365ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.lastUsed
00000001e743659c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.path
00000001e74365a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.teamID
00000001e7436574 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._connection
00000001e743656c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._currentPolicy
00000001e7436570 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._interface
00000001e7436578 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy.currentUAKL
00000001e7436490 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem._originalAllowed
00000001e7436494 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.allowed
00000001e74364a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.applicationName
00000001e74364a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.applicationPath
00000001e74364b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.bundleIDs
00000001e74364a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.developerName
00000001e743649c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.isPendingUpgrade
00000001e7436498 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.rebootRequired
00000001e74364ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.teamID
00000001e7436668 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._allBundleURLs
00000001e7436664 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._allKextURLs
00000001e7436660 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._volumeRoot
00000001e7436650 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.bundleID
00000001e743665c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.cdhash
00000001e7436648 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.rootID
00000001e7436658 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.signingID
00000001e7436654 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.teamID
00000001e7436644 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.uniqueID
00000001e743664c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.url
00000001e74364fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceTracking._connection
00000001e74364f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceTracking._interface
00000001e74364bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._accessQueue
00000001e74364c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._bundle
00000001e74364b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._bundleUrl
00000001e74364c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._fileManager
00000001e74364d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._prepareBlock
00000001e74364cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._reloadBlock
00000001e74364c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._stagedBundle
00000001e74364b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._stagedUrl
00000001e8ab0eb0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AKELData
00000001e8ab1478 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AMFI
00000001e8ab1018 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapper
00000001e8ab1518 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapperPolicy
00000001e8ab14f0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapperPolicyResult
00000001e8ab0ff0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_BundleData
00000001e8ab10e0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_GKScanResult
00000001e8ab12c0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_MIS
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001e8ab0f28 (__AUTH,__objc_data) external _OBJC_METACLASS_$_PolicyCacheMeta
00000001e8ab13b0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_PolicyScanTarget
00000001e8ab1590 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPDeveloperPolicy
00000001e8ab1180 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionHistoryItem
00000001e8ab1220 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionPolicy
00000001e8ab1090 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionPolicyItem
00000001e8ab0f00 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPFilePolicy
00000001e8ab1360 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPInstallationPolicy
00000001e8ab11d0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPKernelExtensionHistory
00000001e8ab1270 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPKernelExtensionHistoryItem
00000001e8ab0de8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPKernelExtensionPolicy
00000001e8ab0e10 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPKernelExtensionPolicyItem
00000001e8ab1130 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPLog
00000001e8ab1310 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPMigration
00000001e8ab1450 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPMigrationScanner
00000001e8ab1400 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPProvenanceMetadata
00000001e8ab0fa0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPProvenanceTracking
