000000018e911070 (__TEXT,__text) non-external _Annihilate
                 (undefined) external _gettimeofday (from libSystem)
000000018e92276c (__TEXT,__text) non-external _header_fetch_from_payload
000000018e94ba6c (__TEXT,__text) non-external _init_block
000000018e92244c (__TEXT,__text) non-external (was a private external) _is_format_invalid
000000018e922360 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
000000018e922de0 (__TEXT,__text) non-external _is_image_valid
000000018e916904 (__TEXT,__text) non-external (was a private external) _join_thread
000000018e974a50 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
000000018e9561f0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
000000018e956250 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001e85a93d0 (__DATA_CONST,__const) non-external _kBrotliDictionary
000000018e956a68 (__TEXT,__const) non-external _kBrotliDictionaryData
000000018e956130 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
000000018e956190 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
000000018e9b4218 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
000000018e976778 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001e85a95b8 (__DATA_CONST,__const) non-external _kBrotliTransforms
000000018e956848 (__TEXT,__const) non-external _kCmdHistoSeed
000000018e974b92 (__TEXT,__const) non-external _kCmdLut
000000018e9a80d4 (__TEXT,__const) non-external _kCodeLengthBits
000000018e974b60 (__TEXT,__const) non-external _kCodeLengthCodeOrder
000000018e9a80c0 (__TEXT,__const) non-external _kCodeLengthDepth
000000018e974b72 (__TEXT,__const) non-external _kCodeLengthPrefixLength
000000018e974b82 (__TEXT,__const) non-external _kCodeLengthPrefixValue
000000018e976638 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
000000018e9765f8 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
000000018e976c7c (__TEXT,__const) non-external _kDistanceCacheIndex
000000018e976cbc (__TEXT,__const) non-external _kDistanceCacheOffset
000000018e976544 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
000000018e976530 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
000000018e9765a8 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
000000018e976594 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
000000018e9a8c20 (__TEXT,__const) non-external _kNonZeroRepsBits
000000018e9a811c (__TEXT,__const) non-external _kNonZeroRepsDepth
000000018e9a5cc0 (__TEXT,__const) non-external _kPrefixSuffix
000000018e9a5d9a (__TEXT,__const) non-external _kPrefixSuffixMap
000000018e9aa4e0 (__TEXT,__const) non-external _kStaticCommandCodeBits
000000018e9aa220 (__TEXT,__const) non-external _kStaticCommandCodeDepth
000000018e976d5c (__TEXT,__const) non-external _kStaticDictionaryBuckets
000000018e9c4a26 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
000000018e9b4a26 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
000000018e986d5c (__TEXT,__const) non-external _kStaticDictionaryWords
000000018e9aaaa0 (__TEXT,__const) non-external _kStaticDistanceCodeBits
000000018e9aaa60 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
000000018e9a5dfe (__TEXT,__const) non-external _kTransformsData
000000018e9a6ac0 (__TEXT,__const) non-external _kZeroRepsBits
000000018e9a5fc0 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
000000018e8ff55c (__TEXT,__text) non-external _longest_match
000000018e9af8d4 (__TEXT,__const) non-external (was a private external) _lut_rle
000000018e9165c8 (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
000000018e91fd40 (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
000000018e91fd34 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
000000018e904710 (__TEXT,__text) non-external (was a private external) _lz4_decode
000000018e904300 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
000000018e90411c (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
000000018e911140 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
000000018e9054c8 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
000000018e900e08 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
000000018e931a3c (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
000000018e931a3c (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
000000018e931a3c (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
000000018e931a08 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
000000018e931340 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
000000018e9313f8 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
000000018e9204c8 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
000000018e9203c4 (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
000000018e91bf88 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
000000018e92df08 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
000000018e92cbec (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
000000018e92df78 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
000000018e92b2dc (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
000000018e92df3c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
000000018e92cad8 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
000000018e92df80 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
000000018e92b1a8 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
000000018e927ea0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
000000018e92de7c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
000000018e91e400 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
000000018e92deb0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
000000018e92deec (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
000000018e91e3e0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
000000018e9b0920 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
000000018e92b1fc (__TEXT,__text) non-external _lzbitmap_init_encode_state
000000018e9b0120 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
000000018e92b424 (__TEXT,__text) non-external _lzbitmap_process_block
000000018e92df9c (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
000000018e9b1920 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
000000018e9af920 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
000000018e94f7d4 (__TEXT,__text) non-external _lzfseBackendMatch
000000018e901390 (__TEXT,__text) non-external (was a private external) _lzfseDecode
000000018e9048cc (__TEXT,__text) non-external _lzfseDecodeV1
000000018e94f4dc (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
000000018e94f834 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
000000018e94f33c (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
000000018e94f394 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
000000018e94fbd0 (__TEXT,__text) non-external _lzfseEncodeMatches
000000018e94f364 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
000000018e94f45c (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
000000018e94f8e0 (__TEXT,__text) non-external _lzfsePushMatch
000000018e9010cc (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
000000018e900ff4 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
000000018e927e94 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
000000018e942b6c (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
000000018e942ad4 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
000000018e942ab4 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
000000018e902700 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
000000018e9213bc (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
000000018e921188 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
000000018e9213b4 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
000000018e91f240 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
000000018e91bce0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
000000018e921f90 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00000001f058c208 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
000000018e902388 (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
000000018e935938 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
000000018e9358f8 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
000000018e976738 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
000000018e976758 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
000000018e900e08 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
000000018e91f7f0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
000000018e91f7ec (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
000000018e91f7c0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
000000018e91f75c (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
000000018e900fc8 (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
000000018e9010a8 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
000000018e95403c (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
000000018e928614 (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
000000018e952540 (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
000000018e92ca2c (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
000000018e9027a4 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
000000018e92ca88 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
000000018e9027a4 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
000000018e976b20 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
000000018e900f90 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
000000018e951f10 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
000000018e9b4a20 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
000000018e900e38 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
000000018e900edc (__TEXT,__text) non-external (was a private external) _lzma_stream_process
000000018e951b18 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
000000018e951e48 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
000000018e901e74 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00000001f058ba08 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
000000018e92d140 (__TEXT,__text) non-external (was a private external) _lzvnEncode
000000018e92d0e4 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
000000018e911cac (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
000000018e911c10 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
000000018e911c04 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
000000018e915f38 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
000000018e915e64 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
000000018e915e44 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
000000018e9027c0 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
000000018e9027a4 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
000000018e92db70 (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
000000018e92dbb8 (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
000000018e92db5c (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
000000018e900e08 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
000000018e92ca28 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
000000018e92ca24 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
000000018e92c9f8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
000000018e92c9bc (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
000000018e92c96c (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
000000018e92c998 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
000000018e934fd4 (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
000000018e934fc8 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
000000018e94a054 (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
000000018e90bb24 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
000000018e90b440 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
000000018e90b728 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
000000018e90b838 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
000000018e9284e0 (__TEXT,__text) non-external (was a private external) _parse_size
000000018e9aad64 (__TEXT,__const) non-external _position_slot_base_position
000000018e9aacec (__TEXT,__const) non-external _position_slot_extra_bits
000000018e900154 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018e94ba04 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
000000018e903a88 (__TEXT,__text) non-external _readHuffmanTable
000000018e928410 (__TEXT,__text) non-external (was a private external) _read_expected
000000018e8fd8f0 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
000000018e900238 (__TEXT,__text) non-external _scan_tree
000000018e90033c (__TEXT,__text) non-external _send_tree
000000018e92de4c (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
000000018e92ddd4 (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
000000018e92dde4 (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
000000018e92dda8 (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
000000018e931a48 (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
000000018e931c24 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
000000018e92348c (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
000000018e923bb8 (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
000000018e91cd70 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
000000018e91cf74 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat (from libSystem)
000000018e9345e8 (__TEXT,__text) non-external _staticHuffmanTable
00000001ec0ec560 (__DATA,__data) non-external _static_bl_desc
00000001ec0ec540 (__DATA,__data) non-external _static_d_desc
000000018e9b30a8 (__TEXT,__const) non-external _static_dtree
00000001ec0ec520 (__DATA,__data) non-external _static_l_desc
000000018e9b2c28 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001ec0ec500 (__DATA,__data) non-external (was a private external) _tc_quant16
000000018e911938 (__TEXT,__text) non-external (was a private external) _thread_pool_create
000000018e911b40 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
000000018e911a68 (__TEXT,__text) non-external _thread_pool_entry
000000018e9117a4 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
000000018e91189c (__TEXT,__text) non-external (was a private external) _thread_pool_sync
000000018e949eb0 (__TEXT,__text) external _touchpadCodecCreate
000000018e911ef0 (__TEXT,__text) external _touchpadCodecDecodeImage
000000018e949fe0 (__TEXT,__text) external _touchpadCodecDestroy
000000018e951f28 (__TEXT,__text) external _touchpadCodecEncodeImage
000000018e949650 (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
000000018e928478 (__TEXT,__text) non-external (was a private external) _write_expected
000000018e9b41d2 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
000000018e9b41cc (__TEXT,__const) non-external (was a private external) _xz_header_magic
000000018e951ea0 (__TEXT,__text) non-external _xz_read_multi_byte
000000018e951e50 (__TEXT,__text) non-external _xz_simple_crc32
000000018e942fd4 (__TEXT,__text) external _yzip_codec_create
000000018e943010 (__TEXT,__text) external _yzip_codec_destroy
000000018e943054 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
000000018e9225bc (__TEXT,__text) external _yzip_image_create
000000018e922724 (__TEXT,__text) external _yzip_image_create_with_payload
000000018e922fa8 (__TEXT,__text) external _yzip_image_decode
000000018e9228c0 (__TEXT,__text) external _yzip_image_destroy
000000018e9228c4 (__TEXT,__text) external _yzip_image_encode
000000018e9231bc (__TEXT,__text) external _yzip_image_get_descriptor
000000018e923274 (__TEXT,__text) external _yzip_image_get_max_payload_size
000000018e923228 (__TEXT,__text) external _yzip_image_get_plane_descriptor
000000018e9232fc (__TEXT,__text) external _yzip_image_set_data
000000018e923480 (__TEXT,__text) external _yzip_image_set_identifier
000000018e9233b8 (__TEXT,__text) external _yzip_image_set_plane_data
000000018e91d91c (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
000000018e91d80c (__TEXT,__text) non-external _yzip_jobs_create_empty_list
000000018e91d5e8 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
000000018e91e35c (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
000000018e91ddc8 (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
000000018e91e284 (__TEXT,__text) non-external _yzip_jobs_process
000000018e91d578 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
000000018e94b334 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
000000018e94a424 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
000000018e94a338 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
000000018e94a490 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
000000018e94ac80 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
000000018e9054b0 (__TEXT,__text) non-external (was a private external) _zError
00000001e85a9380 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
000000018e8fdc04 (__TEXT,__text) non-external (was a private external) _zcalloc
000000018e900d84 (__TEXT,__text) non-external (was a private external) _zcfree
000000018e904a7c (__TEXT,__text) external _zero_coder_decode
000000018e904b80 (__TEXT,__text) external _zero_coder_encode
000000018e904cc4 (__TEXT,__text) non-external _zero_coder_init_luts
00000001ec0ec700 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00000001ec0ec800 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00000001ec0ed000 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00000001ec0ec600 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
000000018e9054a8 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
000000018e902d60 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
000000018e90337c (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
000000018e9aab9c (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
000000018e9aab60 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
000000018e90549c (__TEXT,__text) non-external (was a private external) _zlibVersion
000000018e934480 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
000000018e934474 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
000000018e912458 (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
000000018e91244c (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
000000018e92dda4 (__TEXT,__text) non-external (was a private external) _zlib_free
000000018e92dd78 (__TEXT,__text) non-external (was a private external) _zlib_malloc
000000018e900e08 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
000000018e934fa0 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
000000018e9027a4 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
000000018e934fac (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
000000018e934f98 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
000000018e8fd840 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
000000018e8fe03c (__TEXT,__text) non-external (was a private external) _zlib_stream_process
000000018e951af0 (__TEXT,__text) non-external vec_table
