000000020c78db4c (__TEXT,__text) non-external _Done_iODBC
0000000217bcf5b8 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
0000000217bcf8e0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
0000000217bcedf8 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
0000000217bcea00 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
0000000217bcee18 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
0000000217bceac8 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
0000000217bceae8 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
0000000217bceb98 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
0000000217bcee98 (__DATA_CONST,__const) non-external __mask_SQL_UNION
0000000217bcee48 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
0000000217bce800 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
000000020c7a54b0 (__TEXT,__text) non-external __trace_bufferlen
000000020c7a4b70 (__TEXT,__text) non-external __trace_c_type
000000020c7a17cc (__TEXT,__text) non-external __trace_colattr2_type
000000020c7a1b84 (__TEXT,__text) non-external __trace_colattr3_data
000000020c7a182c (__TEXT,__text) non-external __trace_colattr3_type
000000020c79d854 (__TEXT,__text) non-external __trace_connattr_type
000000020c7a580c (__TEXT,__text) non-external __trace_connopt_type
000000020c7a7a84 (__TEXT,__text) non-external __trace_connstr
000000020c7a7dac (__TEXT,__text) non-external __trace_connstr_hidepwd
000000020c7a7ce4 (__TEXT,__text) non-external __trace_connstr_w
000000020c7a6c84 (__TEXT,__text) non-external __trace_data
000000020c79db50 (__TEXT,__text) non-external __trace_desc_null
000000020c7a1090 (__TEXT,__text) non-external __trace_descfield_type
000000020c7a68fc (__TEXT,__text) non-external __trace_diag_type
000000020c7a3470 (__TEXT,__text) non-external __trace_direction
000000020c7a7b84 (__TEXT,__text) non-external __trace_drvcn_completion
000000020c79e56c (__TEXT,__text) non-external __trace_envattr_type
000000020c79ee20 (__TEXT,__text) non-external __trace_fetchtype
000000020c7a8380 (__TEXT,__text) non-external __trace_freestmt_option
000000020c7a2aa4 (__TEXT,__text) non-external __trace_func_name
000000020c7a29d8 (__TEXT,__text) non-external __trace_func_result
000000020c79f0b4 (__TEXT,__text) non-external __trace_getinfo
000000020c7a4488 (__TEXT,__text) non-external __trace_handle
000000020c7a4414 (__TEXT,__text) non-external __trace_handle_p
000000020c7a43b4 (__TEXT,__text) non-external __trace_handletype
000000020c7a4ee8 (__TEXT,__text) non-external __trace_inouttype
000000020c7a454c (__TEXT,__text) non-external __trace_integer
000000020c7a46ec (__TEXT,__text) non-external __trace_integer_p
000000020c7a4820 (__TEXT,__text) non-external __trace_len
000000020c7a4888 (__TEXT,__text) non-external __trace_len_p
000000020c7a45bc (__TEXT,__text) non-external __trace_pointer
000000020c7a41c0 (__TEXT,__text) non-external __trace_print_function
000000020c79ef2c (__TEXT,__text) non-external __trace_scrollopt_type
000000020c79ec40 (__TEXT,__text) non-external __trace_setpos_irow
000000020c79ecd8 (__TEXT,__text) non-external __trace_setpos_lock
000000020c79ec78 (__TEXT,__text) non-external __trace_setpos_oper
000000020c7a44dc (__TEXT,__text) non-external __trace_smallint
000000020c7a4604 (__TEXT,__text) non-external __trace_smallint_p
000000020c79e86c (__TEXT,__text) non-external __trace_spcols_null
000000020c79e80c (__TEXT,__text) non-external __trace_spcols_scope
000000020c79e7a8 (__TEXT,__text) non-external __trace_spcols_type
000000020c7a53cc (__TEXT,__text) non-external __trace_sql_subtype
000000020c7a4f48 (__TEXT,__text) non-external __trace_sql_type
000000020c7a516c (__TEXT,__text) non-external __trace_sql_type_p
000000020c7a803c (__TEXT,__text) non-external __trace_stats_accuracy
000000020c7a7fd8 (__TEXT,__text) non-external __trace_stats_unique
000000020c7a5bd8 (__TEXT,__text) non-external __trace_stmtattr_type
000000020c7a653c (__TEXT,__text) non-external __trace_stmtopt_type
000000020c7a4970 (__TEXT,__text) non-external __trace_string
000000020c7a4a54 (__TEXT,__text) non-external __trace_string_w
000000020c7a47d4 (__TEXT,__text) non-external __trace_stringlen
0000000217bcf9e0 (__DATA_CONST,__const) non-external __trace_sym_handletype
000000020c7a7374 (__TEXT,__text) non-external __trace_tran_completion
000000020c7a76b8 (__TEXT,__text) non-external __trace_typeinfo
000000020c7a4584 (__TEXT,__text) non-external __trace_uinteger
000000020c7a4760 (__TEXT,__text) non-external __trace_uinteger_p
000000020c7a4854 (__TEXT,__text) non-external __trace_ulen
000000020c7a48fc (__TEXT,__text) non-external __trace_ulen_p
000000020c7a4514 (__TEXT,__text) non-external __trace_usmallint
000000020c7a4678 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000021b0cbefa (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000020c7a9334 (__TEXT,__text) non-external _dm_SQL_A2W
000000020c7a9870 (__TEXT,__text) non-external _dm_SQL_U8toW
000000020c7a92b8 (__TEXT,__text) non-external _dm_SQL_W2A
000000020c7a95c8 (__TEXT,__text) non-external _dm_SQL_WtoU8
000000020c7a93b0 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
000000020c7a9a8c (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
000000020c7a9460 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
000000020c7a9510 (__TEXT,__text) non-external _dm_strcpy_A2W
000000020c7a956c (__TEXT,__text) non-external _dm_strcpy_W2A
000000020c7aaff0 (__TEXT,__text) non-external _do_create_dsns
000000021b0cbeb8 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
000000021b0cbe98 (__DATA,__common) non-external _ierror
000000020c7ab144 (__TEXT,__text) non-external _install_from_ini
000000020c7ab610 (__TEXT,__text) non-external _install_from_string
000000021b0cb900 (__DATA,__data) external _iodbc_version
000000021b0cbdd8 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000021b0cbe20 (__DATA,__data) non-external _numerrors
000000021b0cb908 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
000000021b0cbe28 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000020c7ab7bc (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
0000000217bcdc70 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
000000021b0cbe68 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
000000020c7a0940 (__TEXT,__text) non-external _trace_SQLAllocConnect
000000020c7a5740 (__TEXT,__text) non-external _trace_SQLAllocEnv
000000020c7a15fc (__TEXT,__text) non-external _trace_SQLAllocHandle
000000020c7a336c (__TEXT,__text) non-external _trace_SQLAllocStmt
000000020c7a154c (__TEXT,__text) non-external _trace_SQLBindCol
000000020c7a2230 (__TEXT,__text) non-external _trace_SQLBindParameter
000000020c7a5590 (__TEXT,__text) non-external _trace_SQLBrowseConnect
000000020c7a5668 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
000000020c79e70c (__TEXT,__text) non-external _trace_SQLBulkOperations
000000020c7a6bd4 (__TEXT,__text) non-external _trace_SQLCancel
000000020c7a3428 (__TEXT,__text) non-external _trace_SQLCloseCursor
000000020c7a1ac4 (__TEXT,__text) non-external _trace_SQLColAttribute
000000020c7a1f84 (__TEXT,__text) non-external _trace_SQLColAttributeW
000000020c7a2044 (__TEXT,__text) non-external _trace_SQLColAttributes
000000020c7a2110 (__TEXT,__text) non-external _trace_SQLColAttributesW
000000020c7a66c4 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
000000020c7a67e0 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
000000020c7a0a38 (__TEXT,__text) non-external _trace_SQLColumns
000000020c7a0b54 (__TEXT,__text) non-external _trace_SQLColumnsW
000000020c7a5fac (__TEXT,__text) non-external _trace_SQLConnect
000000020c7a6098 (__TEXT,__text) non-external _trace_SQLConnectW
000000020c79edc8 (__TEXT,__text) non-external _trace_SQLCopyDesc
000000020c7a34fc (__TEXT,__text) non-external _trace_SQLDataSources
000000020c7a35fc (__TEXT,__text) non-external _trace_SQLDataSourcesW
000000020c79dbe4 (__TEXT,__text) non-external _trace_SQLDescribeCol
000000020c79dcf0 (__TEXT,__text) non-external _trace_SQLDescribeColW
000000020c7a6604 (__TEXT,__text) non-external _trace_SQLDescribeParam
000000020c7a33e0 (__TEXT,__text) non-external _trace_SQLDisconnect
000000020c7a7984 (__TEXT,__text) non-external _trace_SQLDriverConnect
000000020c7a7be4 (__TEXT,__text) non-external _trace_SQLDriverConnectW
000000020c7a2500 (__TEXT,__text) non-external _trace_SQLDrivers
000000020c7a2600 (__TEXT,__text) non-external _trace_SQLDriversW
000000020c7a08d8 (__TEXT,__text) non-external _trace_SQLEndTran
000000020c79e06c (__TEXT,__text) non-external _trace_SQLError
000000020c79e16c (__TEXT,__text) non-external _trace_SQLErrorW
000000020c7a3108 (__TEXT,__text) non-external _trace_SQLExecDirect
000000020c7a318c (__TEXT,__text) non-external _trace_SQLExecDirectW
000000020c79e760 (__TEXT,__text) non-external _trace_SQLExecute
000000020c79ee84 (__TEXT,__text) non-external _trace_SQLExtendedFetch
000000020c7a3804 (__TEXT,__text) non-external _trace_SQLFetch
000000020c7a57a4 (__TEXT,__text) non-external _trace_SQLFetchScroll
000000020c7a6184 (__TEXT,__text) non-external _trace_SQLForeignKeys
000000020c7a6304 (__TEXT,__text) non-external _trace_SQLForeignKeysW
000000020c7a64f4 (__TEXT,__text) non-external _trace_SQLFreeConnect
000000020c79ebf8 (__TEXT,__text) non-external _trace_SQLFreeEnv
000000020c7a0884 (__TEXT,__text) non-external _trace_SQLFreeHandle
000000020c7a83d8 (__TEXT,__text) non-external _trace_SQLFreeStmt
000000020c79da08 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
000000020c79daac (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
000000020c7a5a38 (__TEXT,__text) non-external _trace_SQLGetConnectOption
000000020c7a5aa0 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
000000020c7a1684 (__TEXT,__text) non-external _trace_SQLGetCursorName
000000020c7a1728 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
000000020c7a7268 (__TEXT,__text) non-external _trace_SQLGetData
000000020c7a13ec (__TEXT,__text) non-external _trace_SQLGetDescField
000000020c7a149c (__TEXT,__text) non-external _trace_SQLGetDescFieldW
000000020c79ddfc (__TEXT,__text) non-external _trace_SQLGetDescRec
000000020c79df34 (__TEXT,__text) non-external _trace_SQLGetDescRecW
000000020c7a6a60 (__TEXT,__text) non-external _trace_SQLGetDiagField
000000020c7a6b24 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
000000020c79e37c (__TEXT,__text) non-external _trace_SQLGetDiagRec
000000020c79e474 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
000000020c79e5f8 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
000000020c7a3090 (__TEXT,__text) non-external _trace_SQLGetFunctions
000000020c79f004 (__TEXT,__text) non-external _trace_SQLGetInfo
000000020c7a0534 (__TEXT,__text) non-external _trace_SQLGetInfoW
000000020c7a5e78 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
000000020c7a5f1c (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
000000020c7a659c (__TEXT,__text) non-external _trace_SQLGetStmtOption
000000020c7a78dc (__TEXT,__text) non-external _trace_SQLGetTypeInfo
000000020c7a7930 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
000000020c7a732c (__TEXT,__text) non-external _trace_SQLMoreResults
000000020c7a0eb8 (__TEXT,__text) non-external _trace_SQLNativeSql
000000020c7a0fa4 (__TEXT,__text) non-external _trace_SQLNativeSqlW
000000020c7a0c70 (__TEXT,__text) non-external _trace_SQLNumParams
000000020c7a6484 (__TEXT,__text) non-external _trace_SQLNumResultCols
000000020c7a21dc (__TEXT,__text) non-external _trace_SQLParamData
000000020c7a09b4 (__TEXT,__text) non-external _trace_SQLParamOptions
000000020c7a842c (__TEXT,__text) non-external _trace_SQLPrepare
000000020c7a84b0 (__TEXT,__text) non-external _trace_SQLPrepareW
000000020c7a2700 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
000000020c7a27ec (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
000000020c7a05e4 (__TEXT,__text) non-external _trace_SQLProcedureColumns
000000020c7a0700 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
000000020c7a2328 (__TEXT,__text) non-external _trace_SQLProcedures
000000020c7a2414 (__TEXT,__text) non-external _trace_SQLProceduresW
000000020c7a6c1c (__TEXT,__text) non-external _trace_SQLPutData
000000020c79e69c (__TEXT,__text) non-external _trace_SQLRowCount
000000020c7a7ef0 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
000000020c7a7f64 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
000000020c7a5b08 (__TEXT,__text) non-external _trace_SQLSetConnectOption
000000020c7a5b70 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
000000020c7a36fc (__TEXT,__text) non-external _trace_SQLSetCursorName
000000020c7a3780 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
000000020c79e26c (__TEXT,__text) non-external _trace_SQLSetDescField
000000020c79e2f4 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
000000020c7a28d8 (__TEXT,__text) non-external _trace_SQLSetDescRec
000000020c7a3210 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
000000020c79ed38 (__TEXT,__text) non-external _trace_SQLSetPos
000000020c79ef90 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
000000020c7a3284 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
000000020c7a32f8 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
000000020c7a081c (__TEXT,__text) non-external _trace_SQLSetStmtOption
000000020c79e8d0 (__TEXT,__text) non-external _trace_SQLSpecialColumns
000000020c79ea64 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
000000020c7a80a0 (__TEXT,__text) non-external _trace_SQLStatistics
000000020c7a8210 (__TEXT,__text) non-external _trace_SQLStatisticsW
000000020c7a0ce0 (__TEXT,__text) non-external _trace_SQLTablePrivileges
000000020c7a0dcc (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
000000020c7a7480 (__TEXT,__text) non-external _trace_SQLTables
000000020c7a759c (__TEXT,__text) non-external _trace_SQLTablesW
000000020c7a73d8 (__TEXT,__text) non-external _trace_SQLTransact
000000021b0cbe58 (__DATA,__bss) non-external _trace_appname
000000020c7a3dac (__TEXT,__text) non-external _trace_emit
000000020c7a402c (__TEXT,__text) non-external _trace_emit_binary
000000020c7a3e14 (__TEXT,__text) non-external _trace_emit_string
000000020c7a3df8 (__TEXT,__text) non-external _trace_emitc
000000021b0cbe60 (__DATA,__bss) non-external _trace_fname
000000021b0cbe78 (__DATA,__bss) non-external _trace_fp
000000021b0cbe80 (__DATA,__bss) non-external _trace_fp_close
000000020c7a3888 (__TEXT,__text) non-external _trace_get_filename
000000020c7a384c (__TEXT,__text) non-external _trace_set_appname
000000020c7a3894 (__TEXT,__text) non-external _trace_set_filename
000000020c7a3b54 (__TEXT,__text) non-external _trace_start
000000020c7a3cf8 (__TEXT,__text) non-external _trace_stop
000000020c7a3adc (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
000000020c7a9a10 (__TEXT,__text) non-external _utf8_len
000000020c7a9b30 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
000000021b0cbef8 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
