                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CONTAINER_PERSONA_PRIMARY (from libSystem)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
                 (undefined) external _OBJC_CLASS_$_BMStoreConfig (from BiomeStorage)
                 (undefined) external _OBJC_CLASS_$_GEOCountryConfiguration (from GeoServices)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileHandle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHTTPURLResponse (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOutputStream (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPropertyListSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSessionConfiguration (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
0000000257908318 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$__TtC20PegasusConfiguration14ConfigInternal
000000022f1a5a1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_87
000000022f1a5a3c (__TEXT,__text) non-external _OUTLINED_FUNCTION_88
000000022f1a5a54 (__TEXT,__text) non-external _OUTLINED_FUNCTION_89
000000022f1a5330 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000022f1ac71c (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000022f1b0920 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000022f1b947c (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000022f1bc7f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000022f1bf4a0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000022f1c17e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000022f1c8c3c (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000022f1cd4d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000022f1d0f0c (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000022f1d37cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000022f1d562c (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000022f1a5a6c (__TEXT,__text) non-external _OUTLINED_FUNCTION_90
000000022f1a5a8c (__TEXT,__text) non-external _OUTLINED_FUNCTION_91
000000022f1a5aa0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_92
000000022f1a5ab4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_93
000000022f1a5ac0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_94
000000022f1d7080 (__TEXT,__const) non-external (was a private external) _PegasusConfigurationVersionNumber
000000022f1d7040 (__TEXT,__const) non-external (was a private external) _PegasusConfigurationVersionString
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_release (from libSystem)
0000000259607400 (__AUTH_CONST,__objc_const) non-external __CATEGORY__TtC20PegasusConfiguration14ConfigInternal_$_PegasusConfiguration
                 (undefined) external __CFCopySystemVersionDictionary (from CoreFoundation)
                 (undefined) external __CFPropertyListCreateFiltered (from CoreFoundation)
0000000259603f50 (__DATA_CONST,__objc_const) non-external __CLASS_PROPERTIES__TtC20PegasusConfiguration14ConfigInternal
00000002579082b8 (__AUTH,__objc_data) non-external __DATA__TtC20PegasusConfiguration14ConfigInternal
0000000259603ca0 (__DATA_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration15ActivityMonitor
0000000259603ab0 (__DATA_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration15TaskCoordinator
0000000257908530 (__DATA,__objc_data) non-external __DATA__TtC20PegasusConfiguration18ResourceAccessSpan
0000000259603b40 (__DATA_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration20ConfigurationLogging
0000000259603948 (__DATA_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration20ConfigurationManager
0000000257908208 (__AUTH,__objc_data) non-external __DATA__TtC20PegasusConfiguration21ConfigFactoryInternal
00000002579081b8 (__AUTH,__objc_data) non-external __DATA__TtC20PegasusConfiguration23ParsecURLRequestBuilder
0000000259602d80 (__DATA_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration23PegasusConfigController
00000002596044e8 (__DATA_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration24PARNetworkRequestFactory
00000002579084e8 (__DATA,__objc_data) non-external __DATA__TtC20PegasusConfiguration25ResourceAccessNetworkSpan
00000002596037b8 (__DATA_CONST,__objc_const) non-external __DATA__TtC20PegasusConfiguration6Locker
00000002596030b8 (__DATA_CONST,__objc_const) non-external __DATA__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C819ConfigUsageReporter
0000000259602f98 (__DATA_CONST,__objc_const) non-external __DATA__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C820ConfigTaskController
0000000259603890 (__DATA_CONST,__objc_const) non-external __DATA__TtC20PegasusConfigurationP33_EEAC374B6C6B78E84C914C3750C38BD020URLSessionDataSource
0000000259603d58 (__DATA_CONST,__objc_const) non-external __DATA__TtCC20PegasusConfiguration15ActivityMonitor13WeakReference
00000002596031d0 (__DATA_CONST,__objc_const) non-external __DATA__TtCC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C819ConfigUsageReporter5State
0000000259603b88 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration11NetworkSpan
00000002596040b0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration12ActivitySpan
0000000259603e90 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration13DiskWriteSpan
0000000259604068 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration14AtomicProperty
0000000259603f78 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration14ConfigInternal
0000000259603c38 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration15ActivityMonitor
0000000259603a88 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration15TaskCoordinator
0000000259603de8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration18ResourceAccessSpan
0000000259603920 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration20ConfigurationManager
00000002596039d8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration23ParsecURLRequestBuilder
0000000259602bf8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration23PegasusConfigController
0000000259604200 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration24PARNetworkRequestFactory
0000000259603700 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration25ResourceAccessNetworkSpan
0000000259603790 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfiguration6Locker
0000000259603090 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C819ConfigUsageReporter
0000000259602ed0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C820ConfigTaskController
0000000259602fe0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C89Container
0000000259603848 (__DATA_CONST,__objc_const) non-external __IVARS__TtC20PegasusConfigurationP33_EEAC374B6C6B78E84C914C3750C38BD020URLSessionDataSource
0000000259603d30 (__DATA_CONST,__objc_const) non-external __IVARS__TtCC20PegasusConfiguration15ActivityMonitor13WeakReference
0000000259603148 (__DATA_CONST,__objc_const) non-external __IVARS__TtCC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C819ConfigUsageReporter5State
00000002596073b8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration14ConfigInternal
0000000259603bf0 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration15ActivityMonitor
0000000259603a40 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration15TaskCoordinator
0000000259603da0 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration18ResourceAccessSpan
0000000259603af8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration20ConfigurationLogging
00000002596038d8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration20ConfigurationManager
0000000259603ee8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration21ConfigFactoryInternal
0000000259603990 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration23ParsecURLRequestBuilder
0000000259602bb0 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration23PegasusConfigController
00000002596041b8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration24PARNetworkRequestFactory
00000002596036b8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration25ResourceAccessNetworkSpan
0000000259603748 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfiguration6Locker
0000000259603048 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C819ConfigUsageReporter
0000000259602e88 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C820ConfigTaskController
0000000259603800 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC20PegasusConfigurationP33_EEAC374B6C6B78E84C914C3750C38BD020URLSessionDataSource
0000000259603ce8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtCC20PegasusConfiguration15ActivityMonitor13WeakReference
0000000259603100 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtCC20PegasusConfigurationP33_D758D9336EA834F15B14E3FC78D6A6C819ConfigUsageReporter5State
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000022f1d6f30 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS__TtC20PegasusConfiguration14ConfigInternal
0000000259603658 (__DATA_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_NSSecureCoding
000000022f1d6f48 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS__TtC20PegasusConfiguration14ConfigInternal
000000022f1d6ff8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS__TtC20PegasusConfiguration14ConfigInternal(PegasusConfiguration)
000000022f1d7010 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS__TtC20PegasusConfiguration21ConfigFactoryInternal
0000000259603530 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
0000000259603630 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_CLASS_METHODS_NSSecureCoding
0000000259603670 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCoding
0000000259603340 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
0000000259603510 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000002596036a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCoding
0000000259603578 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
0000000259603650 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSSecureCoding
0000000259603618 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSSecureCoding
0000000259603310 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_nw_activity
0000000259603328 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_os_transaction
0000000259602ba0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCoding
0000000259602b88 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
0000000259602b90 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSSecureCoding
0000000259602b78 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_OS_nw_activity
0000000259602b80 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_OS_os_transaction
0000000257909880 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCoding
00000002579097c0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
0000000257909820 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSSecureCoding
0000000257909548 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_OS_nw_activity
00000002579095b0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_OS_os_transaction
0000000259604000 (__DATA_CONST,__objc_const) non-external __PROPERTIES__TtC20PegasusConfiguration14ConfigInternal
0000000259603f40 (__DATA_CONST,__objc_const) non-external __PROTOCOLS__TtC20PegasusConfiguration14ConfigInternal
0000000259603f68 (__DATA_CONST,__objc_const) non-external __PROTOCOLS__TtC20PegasusConfiguration14ConfigInternal.7
0000000259603ed8 (__DATA_CONST,__objc_const) non-external __PROTOCOLS__TtC20PegasusConfiguration21ConfigFactoryInternal
0000000259603f30 (__DATA_CONST,__objc_const) non-external __PROTOCOLS__TtC20PegasusConfiguration21ConfigFactoryInternal.2
00000002579083a0 (__DATA,__objc_data) non-external (was a private external) __PROTOCOL_INSTANCE_METHODS__TtP20PegasusConfiguration13ConfigFactory_
00000002579083d8 (__DATA,__objc_data) non-external (was a private external) __PROTOCOL_INSTANCE_METHODS__TtP20PegasusConfiguration6Config_
0000000259603228 (__DATA_CONST,__objc_const) non-external (was a private external) __PROTOCOL_METHOD_TYPES__TtP20PegasusConfiguration13ConfigFactory_
00000002596032b8 (__DATA_CONST,__objc_const) non-external (was a private external) __PROTOCOL_METHOD_TYPES__TtP20PegasusConfiguration6Config_
0000000259603250 (__DATA_CONST,__objc_const) non-external (was a private external) __PROTOCOL_PROPERTIES__TtP20PegasusConfiguration6Config_
0000000259603218 (__DATA_CONST,__objc_const) non-external (was a private external) __PROTOCOL_PROTOCOLS__TtP20PegasusConfiguration13ConfigFactory_
0000000259603238 (__DATA_CONST,__objc_const) non-external (was a private external) __PROTOCOL_PROTOCOLS__TtP20PegasusConfiguration6Config_
0000000259602dc8 (__DATA_CONST,__objc_const) non-external (was a private external) __PROTOCOL__TtP20PegasusConfiguration13ConfigFactory_
0000000259602e28 (__DATA_CONST,__objc_const) non-external (was a private external) __PROTOCOL__TtP20PegasusConfiguration6Config_
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000022f1a3098 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
000000022f1a969c (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_0
000000022f1abdac (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
000000022f1a42f4 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
000000022f1c0c94 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
000000022f1d36ac (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
000000022f1922cc (__TEXT,__text) non-external (was a private external) ___swift_getEnumTagSinglePayload
000000022f191c64 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
000000022f1a7b64 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstract
000000022f1a488c (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
000000022f1b4348 (__TEXT,__text) non-external (was a private external) ___swift_memcpy0_1
000000022f1a4fd0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy10_8
000000022f1a1558 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
000000022f1b60a8 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
000000022f1a02e8 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
000000022f1c9d8c (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
000000022f1a830c (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
000000022f1a991c (__TEXT,__text) non-external (was a private external) ___swift_memcpy40_8
000000022f1d26f8 (__TEXT,__text) non-external (was a private external) ___swift_memcpy56_8
000000022f1b5500 (__TEXT,__text) non-external (was a private external) ___swift_memcpy64_8
000000022f1b7c98 (__TEXT,__text) non-external (was a private external) ___swift_memcpy9_8
000000022f1a02f4 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
000000022f1d0800 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_0
000000022f1a3488 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
000000022f1c0ce4 (__TEXT,__text) non-external ___swift_project_boxed_opaque_existential_1Tm
000000022f1a3060 (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
000000022f1d77f0 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
000000022f1a0914 (__TEXT,__text) non-external (was a private external) ___swift_storeEnumTagSinglePayload
0000000259605998 (__AUTH_CONST,__const) non-external ___unnamed_1
0000000259605fa8 (__AUTH_CONST,__const) non-external ___unnamed_1
00000002596068e8 (__AUTH_CONST,__const) non-external ___unnamed_1
0000000259607058 (__AUTH_CONST,__const) non-external ___unnamed_1
0000000259607110 (__AUTH_CONST,__const) non-external ___unnamed_1
000000022f1da038 (__TEXT,__const) non-external ___unnamed_10
0000000259604a30 (__AUTH_CONST,__const) non-external ___unnamed_25
                 (undefined) external __kCFSystemVersionBuildVersionKey (from CoreFoundation)
                 (undefined) external __kCFSystemVersionProductNameKey (from CoreFoundation)
                 (undefined) external __kCFSystemVersionProductVersionKey (from CoreFoundation)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __os_signpost_emit_with_name_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) external __swiftEmptySetSingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
0000000259602aa8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreGraphics (from libswiftCoreFoundation)
0000000259602ab8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreGraphics_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDarwin (from libswiftDarwin)
0000000259602a88 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDarwin_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
0000000259602a98 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDispatch_$_PegasusConfiguration
                 (undefined) weak external automatically hidden __swift_FORCE_LOAD_$_swiftFoundation (from Foundation)
0000000259602aa0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftFoundation_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftIOKit (from libswiftIOKit)
0000000259602ab0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftIOKit_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftOSLog (from libswiftOSLog)
0000000259602a70 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftOSLog_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftObjectiveC (from libswiftObjectiveC)
0000000259602a80 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftObjectiveC_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftXPC (from libswiftXPC)
0000000259602a90 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftXPC_$_PegasusConfiguration
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftos (from libswiftos)
0000000259602a78 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftos_$_PegasusConfiguration
                 (undefined) external __swift_stdlib_bridgeErrorToNSError (from libswiftCore)
000000022f1b057c (__TEXT,__text) non-external __swift_stdlib_malloc_size
000000022f1b1aac (__TEXT,__text) non-external __swift_stdlib_malloc_size
000000022f1bc5cc (__TEXT,__text) non-external __swift_stdlib_malloc_size
000000022f1c9e7c (__TEXT,__text) non-external __swift_stdlib_malloc_size
                 (undefined) external __swift_stdlib_reportUnimplementedInitializer (from libswiftCore)
000000022f1ddbe6 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration0A10ClientNameOSHAASQ
000000022f1ddbfe (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration0A10ClientNameOs12CaseIterableAA8AllCasessADP_Sl
000000022f1de71e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration10ClientTypeOSHAASQ
000000022f1de748 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration11SessionTypeOSHAASQ
000000022f1de716 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration14DiskWriteErrorOSHAASQ
000000022f1ddfcc (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration15TaskCoordinatorC0C5ErrorOSHAASQ
000000022f1ddfc4 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration15TaskCoordinatorC6Status33_3A4A10173630CF733A77E96DD0593E7ALLOSHAASQ
000000022f1de702 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration17DiskWriteActivityOSHAASQ
000000022f1de5e8 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration19FederatedIdentifierV10CodingKeys33_D82AAE62AA41801EAC09AF9206AC6A29LLOSHAASQ
000000022f1de5f8 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration19FederatedIdentifierV10CodingKeys33_D82AAE62AA41801EAC09AF9206AC6A29LLOs0E3KeyAAs23CustomStringConvertible
000000022f1de5f0 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration19FederatedIdentifierV10CodingKeys33_D82AAE62AA41801EAC09AF9206AC6A29LLOs0E3KeyAAs28CustomDebugStringConvertible
000000022f1de5c6 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration19FederatedIdentifierVSHAASQ
000000022f1de5ce (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration19FederatedIdentifierVSLAASQ
000000022f1de0bc (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration20Useragentpb_ClientIDO21InternalSwiftProtobuf4EnumAASH
000000022f1de0c4 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration20Useragentpb_ClientIDO21InternalSwiftProtobuf4EnumAASY
000000022f1de0d2 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration20Useragentpb_ClientIDOSHAASQ
000000022f1de0e4 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration20Useragentpb_ClientIDOs12CaseIterableAA8AllCasessADP_Sl
000000022f1de60e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration21DataVaultStorageClassOSHAASQ
000000022f1de626 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration21DataVaultStorageClassOs12CaseIterableAA8AllCasessADP_Sl
000000022f1de51e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration21ResourceAccessOutcomeOSHAASQ
000000022f1de516 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration22ResourceAccessActivityOSHAASQ
000000022f1dded2 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration23ParsecURLRequestBuilderC8URLErrorOSHAASQ
000000022f1ddb6a (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration23ResourceNetworkActivityVAA03SubE11DescriptionAA06ParentE0AaDP_AA0eG0
000000022f1ddb62 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration23ResourceNetworkActivityVSHAASQ
000000022f1de33c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration24FeedbackStreamDescriptorOSHAASQ
000000022f1de354 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration24FeedbackStreamDescriptorOs12CaseIterableAA8AllCasessADP_Sl
000000022f1de01e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration24LifetimeTrackingActivityOyxGSHAASQ
000000022f1ddef6 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration26KnownAggregationRecipeNameOSHAASQ
000000022f1ddf0e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration26KnownAggregationRecipeNameOs12CaseIterableAA8AllCasessADP_Sl
000000022f1dd7ec (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 20PegasusConfiguration37ShouldThrottleConfigFetchResultReasonOSHAASQ
