00000001bf709be0 (__TEXT,__text) non-external +[NFPromise new]
00000001d800ffa4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._networkPathMonitor
00000001d800ffa0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._observationQueue
00000001d800ff6c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._events
00000001d800ff70 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._lock
00000001d800ff64 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._owner
00000001d800ff60 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._state
00000001d800ff68 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._states
00000001d800ff5c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._status
00000001d800ff74 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._statusToken
00000001d800ffb8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._destinationState
00000001d800ffbc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._fireBlock
00000001d800ffb0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._name
00000001d800ffb4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._states
00000001d800ffc4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._canTryBlock
00000001d800ffd4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didEnterBlock
00000001d800ffd0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didExitBlock
00000001d800ffc0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._name
00000001d800ffcc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willEnterBlock
00000001d800ffc8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willExitBlock
00000001d800ff30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._context
00000001d800ff24 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._event
00000001d800ff28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._fromState
00000001d800ff20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._stateMachine
00000001d800ff2c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._toState
00000001d800ff18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLock
00000001d800ff1c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLockOptions
00000001d97f53d8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFArchiver
00000001d8f4ba18 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventManager
00000001d8f4ba40 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventTrigger
00000001d8f4ba90 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFLazy
00000001d8f4bc70 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMultiDelegate
00000001d8f4bc20 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMutexLock
00000001d97f53b0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFPendingPromise
00000001d8f4bae0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromise
00000001d8f4bb80 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromiseSeal
00000001d8f4bbd0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFReachability
00000001d97f5450 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachine
00000001d97f54a0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachineEvent
00000001d97f54f0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachineState
00000001d97f5360 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachineTransition
00000001d8f4b9a0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFUnfairLock
00000001d8f4bb08 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFVoid
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001bf70765c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001bf708fbc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001bf70ca54 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001bf707678 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001bf708fd8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001bf70ca70 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001bf70768c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001bf708fec (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001bf70ca84 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001bf7076a0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001bf709000 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001bf70ca98 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001bf7076b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001bf709010 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001bf70caa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001bf7076c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001bf709020 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001bf70cab8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001dd2ff530 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSError_$_NFStateMachine
00000001dd2ff5b0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSKeyedUnarchiver_$_FRAdditions
00000001dd2ff5f0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSObject_$_NFAdditions
00000001dd2ff630 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSString_$_NFAdditions
00000001dd2ff570 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSUserDefaults_$_NFAdditions
00000001dd2ff670 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSValue_$_NFAdditions
00000001bf70fc10 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFPromise(Firstly|Void|Delay)
00000001bf70fef0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFReachability
00000001bf70f9f0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSError(NFStateMachine)
00000001bf70fbc0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSKeyedUnarchiver(FRAdditions)
00000001bf70fdb8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSObject(NFAdditions)
00000001bf7102a8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSValue(NFAdditions)
00000001bf70f9d0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFArchiver
00000001bf70f8c8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventManager
00000001bf70f970 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventTrigger
00000001bf70fb70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFLazy
00000001bf710210 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMultiDelegate
00000001bf70ffb0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMutexLock
00000001bf70f860 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPendingPromise
00000001bf70fc78 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromise(Firstly|Void|Delay)
00000001bf70fdf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromiseSeal
00000001bf70ff08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFReachability
00000001bf70fa20 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachine
00000001bf710000 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineEvent
00000001bf7100c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineState(Private)
00000001bf70f7b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineTransition
00000001bf70f770 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFUnfairLock
00000001bf70fda0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFVoid
00000001bf70fa08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSError(NFStateMachine)
00000001bf70fbf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSKeyedUnarchiver(FRAdditions)
00000001bf70fdd8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSString(NFAdditions)
00000001bf70fb58 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSUserDefaults(NFAdditions)
00000001bf7102c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSValue(NFAdditions)
00000001d3e39f58 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventManager
00000001d3e39fc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventTrigger
00000001d3e3a5c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFLazy
00000001d3e3abf0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMultiDelegate
00000001d3e3a9c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMutexLock
00000001d3e39eb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPendingPromise
00000001d3e3a660 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromise
00000001d3e3a780 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromiseSeal
00000001d3e3a880 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFReachability
00000001d3e3a460 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachine
00000001d3e3a9f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineEvent
00000001d3e3aac0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineState
00000001d3e39db8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineTransition
00000001d3e39d70 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFUnfairLock
00000001d3e3a418 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFArchiver
00000001d3e39fa0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventManager
00000001d3e3a070 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventTrigger
00000001d3e3a628 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFLazy
00000001d3e3ac38 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFMultiDelegate
00000001d3e39f20 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPendingPromise
00000001d3e3a688 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromise
00000001d3e3a828 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromiseSeal
00000001d3e3a908 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFReachability
00000001d3e3a548 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachine
00000001d3e3aa78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineEvent
00000001d3e3ab88 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineState
00000001d3e39e60 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineTransition
00000001d3e3a2b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d3e3a3b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NFArchiver
00000001d3e3a740 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d3e39cf8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSLocking
00000001d3e3a950 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSLocking
00000001d3e3a0c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d3e3a298 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001d3e3a3f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NFArchiver
00000001d3e3a760 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d3e39d30 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSLocking
00000001d3e3a988 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSLocking
00000001d3e3a300 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001d3e3a3a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFArchiver
00000001d3e39d40 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFLocking
00000001d3e3a998 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFLocking
00000001d3e3a400 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFArchiver
00000001d3e3a9b0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFMutexLock
00000001d3e39d58 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFUnfairLock
00000001d3e3a768 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFVoid
00000001dd2ffc18 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFArchiver
00000001dd2ffaf8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFEventManager
00000001dd2ffb88 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFEventTrigger
00000001dd2ffd38 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFLazy
00000001dd3001b8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFMultiDelegate
00000001dd300008 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFMutexLock
00000001dd2ffa68 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFPendingPromise
00000001dd2ffdc8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFPromise
00000001dd2ffee8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFPromiseSeal
00000001dd2fff78 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFReachability
00000001dd2ffca8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFStateMachine
00000001dd300098 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFStateMachineEvent
00000001dd300128 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFStateMachineState
00000001dd2ff9d8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFStateMachineTransition
00000001dd2ff948 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFUnfairLock
00000001dd2ffe58 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFVoid
00000001d3e39ce0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFArchiver
00000001d3e39cd0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFLocking
00000001d3e39ce8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000001d3e39cc8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSLocking
00000001d3e39cd8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000001dd2ffbd0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFArchiver
00000001dd2ffab0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFEventManager
00000001dd2ffb40 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFEventTrigger
00000001dd2ffcf0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFLazy
00000001dd300170 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFMultiDelegate
00000001dd2fffc0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFMutexLock
00000001dd2ffa20 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFPendingPromise
00000001dd2ffd80 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFPromise
00000001dd2ffea0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFPromiseSeal
00000001dd2fff30 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFReachability
00000001dd2ffc60 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFStateMachine
00000001dd300050 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFStateMachineEvent
00000001dd3000e0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFStateMachineState
00000001dd2ff990 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFStateMachineTransition
00000001dd2ff900 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFUnfairLock
00000001dd2ffe10 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFVoid
00000001d8010100 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFArchiver
00000001d8010040 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFLocking
00000001d8010170 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00000001d800ffe0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSLocking
00000001d80100a0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000001bf70e710 (__TEXT,__text) external __UIValueCGRectValue
                 (undefined) external __Unwind_Resume (from libSystem)
00000001bf70a718 (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke
00000001bf70a7ec (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke_2
00000001bf70a5f4 (__TEXT,__text) non-external ___17-[NFPromise then]_block_invoke
00000001bf70b0bc (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke
00000001bf70b14c (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke_2
00000001bf70a9d0 (__TEXT,__text) non-external ___18-[NFPromise error]_block_invoke
00000001bf70a870 (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke
00000001bf70a94c (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke_2
00000001bf70a684 (__TEXT,__text) non-external ___19-[NFPromise thenOn]_block_invoke
00000001bf70b1e8 (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke
00000001bf70b2d0 (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke_2
00000001bf70aad8 (__TEXT,__text) non-external ___20-[NFPromise errorOn]_block_invoke
00000001bf70ab6c (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke
00000001bf70ac40 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_2
00000001bf70ad30 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_3
00000001bf70ae58 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke
00000001bf70af34 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_2
00000001bf70b024 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_3
00000001bf70cd30 (__TEXT,__text) non-external ___22-[NFReachability init]_block_invoke
00000001bf7064f8 (__TEXT,__text) non-external ___24-[NFPendingPromise init]_block_invoke
00000001bf709f28 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke
00000001bf70a06c (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_2
00000001bf70a27c (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_3
00000001bf70a4e0 (__TEXT,__text) non-external ___27-[NFPromise errorOn:error:]_block_invoke
00000001bf709a50 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke
00000001bf709ad0 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke.26
00000001bf70cbac (__TEXT,__text) non-external ___32+[NFReachability sharedInstance]_block_invoke
00000001bf70c458 (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke
00000001bf70c4e0 (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke_2
00000001bf70c194 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke
00000001bf70c310 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke.25
00000001bf70c2fc (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke_2
00000001bf70ced0 (__TEXT,__text) non-external ___44-[NFReachability _updateCurrentNetworkPath:]_block_invoke
00000001bf70b880 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke
00000001bf70b964 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke_2
00000001bf70b634 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke
00000001bf70b718 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke_2
00000001bf708c48 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke
00000001bf708df8 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.113
00000001bf708e10 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.121
00000001bf70f020 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.121.cold.1
00000001bf708e40 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.130
00000001bf708e98 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.136
00000001bf708cd0 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_2
00000001bf708d58 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_3
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001bf70ea70 (__TEXT,__text) non-external ___NFDeviceHasExtendedColorDisplay_block_invoke
00000001bf70e914 (__TEXT,__text) non-external ___NFDevicePlatform_block_invoke
00000001bf705f48 (__TEXT,__text) non-external ___NFInternalBuild_block_invoke
00000001bf705fbc (__TEXT,__text) non-external ___NFStoreDemoMode_block_invoke
00000001d3e39bb0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSError"8l
00000001d3e39b90 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_8?0l
00000001d3e39b68 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000001d3e39bd0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e8_v16?08l
00000001d3e39bf0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_16?08l
00000001dd2fefa0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e5_v8?0l
00000001dd2fedf0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e8_16?08l
00000001dd2feb90 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e17_v16?0"NSError"8l
00000001dd2fed00 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?08l
00000001dd2fee80 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?0d8l
00000001dd2fec70 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<?>8l
00000001dd2fed60 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<v?>8l
00000001dd2fea00 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e34_v24?0?<v?>8?<v?"NSError">16l
00000001dd2fee20 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"16?0?<v??<v?>?<v?"NSError">>8l
00000001dd2fed30 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"816l
00000001dd2feee0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8d16l
00000001dd2feca0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<?>16l
