00007ff8400abd80 (__DATA,__data) non-external _C
00007ff800b6be22 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007ff800ba0bd0 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007ff800b757ab (__TEXT,__text) external ___swbuf
00007ff800b62eee (__TEXT,__text) external ___swhatbuf
00007ff800b6637e (__TEXT,__text) external ___swrite
00007ff800b75b76 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00007ff8400acda8 (__DATA,__data) non-external ___systemfn_mutex
00007ff8400ace10 (__DATA,__data) non-external ___systemfn_mutex
00007ff800ba0400 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007ff800b39293 (__TEXT,__text) non-external ___thread_stack_async_pcs
00007ff800b390a5 (__TEXT,__text) non-external ___thread_stack_pcs
00007ff800b7be6a (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007ff8400b89d0 (__DATA,__bss) non-external ___time_load_locale.cache
00007ff800ba03d0 (__TEXT,__const) external ___tinytens_D2A
00007ff800b5a652 (__TEXT,__text) external ___tolower
00007ff800b5a798 (__TEXT,__text) external ___tolower_l
00007ff800b5a60e (__TEXT,__text) external ___toupper
00007ff800b5a779 (__TEXT,__text) external ___toupper_l
00007ff800b4aebf (__TEXT,__text) external ___trailz_D2A
00007ff800b4bcd2 (__TEXT,__text) external ___ulp_D2A
00007ff800b6b9a0 (__TEXT,__text) non-external ___ultoa
00007ff800b7257b (__TEXT,__text) non-external ___ultoa
00007ff800b66c8e (__TEXT,__text) external ___ungetc
00007ff800b66e24 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00007ff800b8615e (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00007ff800ba1190 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00007ff800b8d3fc (__TEXT,__text) non-external (was a private external) ___v2printf
00007ff800b674cb (__TEXT,__text) non-external (was a private external) ___vfprintf
00007ff800b9e6e2 (__TEXT,__text) non-external ___vfprintf.cold.1
00007ff800ba0b90 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00007ff800ba0ba0 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00007ff800b6e571 (__TEXT,__text) non-external (was a private external) ___vfwprintf
00007ff800ba0c10 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00007ff800ba0c20 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00007ff800b72b7a (__TEXT,__text) non-external (was a private external) ___vfwscanf
00007ff800ba0d10 (__TEXT,__const) non-external ___vfwscanf.basefix
00007ff800b9d3ce (__TEXT,__text) external ___vsnprintf_chk
00007ff800b9d11a (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00007ff800b5c61f (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00007ff800b5c2dd (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00007ff800b5a696 (__TEXT,__text) external ___wcwidth
00007ff800b5a7b7 (__TEXT,__text) external ___wcwidth_l
00007ff800b5b7bb (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00007ff8400ac450 (__DATA,__data) external ___xlocale_C_collate
00007ff800b3bda8 (__TEXT,__text) non-external (was a private external) ___xlocale_init
00007ff800b3bdd5 (__TEXT,__text) non-external ___xlocale_release
00007ff800b3cbac (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00007ff800b9d6dc (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00007ff8400ac348 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00007ff800b8d8e0 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00007ff800b8d6d9 (__TEXT,__text) non-external (was a private external) ___xvprintf
00007ff800b8623d (__TEXT,__text) external __allocenvstate
00007ff800b4be5f (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00007ff800b5576a (__TEXT,__text) non-external (was a private external) __ascii_init
00007ff800b557b7 (__TEXT,__text) non-external __ascii_mbrtowc
00007ff800b557fb (__TEXT,__text) non-external __ascii_mbsinit
00007ff800b55806 (__TEXT,__text) non-external __ascii_mbsnrtowcs
00007ff800b55899 (__TEXT,__text) non-external __ascii_wcrtomb
00007ff800b558c8 (__TEXT,__text) non-external __ascii_wcsnrtombs
00007ff800b31829 (__TEXT,__text) non-external __boottime_fallback_usec
00007ff840076578 (__DATA_CONST,__const) external __c_locale
00007ff800b60670 (__TEXT,__text) external __cleanup
00007ff800b86247 (__TEXT,__text) external __copyenv
00007ff8400acda0 (__DATA,__data) external __cthread_init_routine
00007ff800b862d0 (__TEXT,__text) external __deallocenvstate
00007ff800b85ba0 (__TEXT,__text) non-external __do_nothing
00007ff800b3b1f6 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00007ff8400b8ae8 (__DATA,__common) non-external (was a private external) __e_err_exit
00007ff8400b8ae0 (__DATA,__common) non-external (was a private external) __e_err_file
00007ff800b4c2d7 (__TEXT,__text) non-external (was a private external) __e_visprintf
                 (undefined) external __exit (from libsystem_kernel)
00007ff800b31a6d (__TEXT,__text) non-external __ffpp_strtoencf32_l
00007ff800b9d3e8 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
00007ff800b9d40b (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
00007ff800b9f560 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
00007ff800b31d8f (__TEXT,__text) non-external __ffpp_strtoencf64_l
00007ff800b9d42e (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
00007ff800b9d451 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
00007ff800b9d474 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
00007ff800b9f900 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
00007ff800b322d3 (__TEXT,__text) non-external __ffpp_strtoencf80_l
00007ff800b9d497 (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.1
00007ff800b9d4ba (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.2
00007ff800b9fab0 (__TEXT,__const) non-external __ffpp_strtoencf80_l.longDoublePowerOf10
00007ff800b50f63 (__TEXT,__text) non-external (was a private external) __filldir
00007ff800b53356 (__TEXT,__text) non-external (was a private external) __fixtelldir
00007ff800b5f18e (__TEXT,__text) external __flockfile_debug_stub
00007ff800b6182b (__TEXT,__text) external __fseeko
00007ff800b61d43 (__TEXT,__text) external __ftello
00007ff800b622b9 (__TEXT,__text) external __fwalk
00007ff800b7fef4 (__TEXT,__text) external __getenvp
00007ff800b38793 (__TEXT,__text) external __init_clock_port
00007ff800b7be3e (__TEXT,__text) external __int_to_time
00007ff800b825c7 (__TEXT,__text) non-external __isort
00007ff800b83080 (__TEXT,__text) non-external __isort
00007ff8400add70 (__DATA,__bss) non-external __libSystem_atfork_child
00007ff8400add58 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00007ff8400add68 (__DATA,__bss) non-external __libSystem_atfork_parent
00007ff8400add50 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00007ff8400add60 (__DATA,__bss) non-external __libSystem_atfork_prepare
00007ff8400add48 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
00007ff800b3e210 (__TEXT,__text) external __libc_fork_child
00007ff800b3e2ba (__TEXT,__text) non-external (was a private external) __libc_fork_init
00007ff800b3e204 (__TEXT,__text) external __libc_fork_parent
00007ff800b3e1f8 (__TEXT,__text) external __libc_fork_prepare
00007ff800b3e168 (__TEXT,__text) external __libc_initializer
00007ff800b5938d (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
00007ff800b5935e (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
00007ff800b5932f (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
00007ff800b7be2c (__TEXT,__text) external __long_to_time
00007ff800b31500 (__TEXT,__text) non-external __mach_boottime_usec
00007ff8400add40 (__DATA,__bss) non-external __mh_execute_header_pointer
00007ff800b635b5 (__TEXT,__text) non-external __mkdtemp_action
00007ff800b63378 (__TEXT,__text) non-external __mkostemps_action
00007ff800b3d563 (__TEXT,__text) non-external __mkpath
00007ff800b3d54c (__TEXT,__text) external __mkpath_np
00007ff800b63786 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00007ff800b9e5be (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00007ff800b6361c (__TEXT,__text) external __mktemp
00007ff800b6365e (__TEXT,__text) non-external __mktemp_action
00007ff800b5a7ea (__TEXT,__text) non-external (was a private external) __none_init
00007ff800b5a837 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00007ff800b5a863 (__TEXT,__text) non-external (was a private external) __none_mbsinit
00007ff800b5a86e (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00007ff800b5a8de (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00007ff800b5a90d (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00007ff800b9d8a2 (__TEXT,__text) external __os_assert_log
00007ff800b9dabc (__TEXT,__text) external __os_assert_log_ctx
00007ff800b9d790 (__TEXT,__text) external __os_assumes_log
00007ff800b9d97b (__TEXT,__text) external __os_assumes_log_ctx
00007ff800b3eb8c (__TEXT,__text) external __os_avoid_tail_call
00007ff800b9d783 (__TEXT,__text) external __os_crash
00007ff8400b8ad0 (__DATA,__common) external __os_crash_callback
00007ff800b3eb92 (__TEXT,__text) non-external __os_get_build
                 (undefined) external __os_once (from libsystem_platform)
00007ff800b85ba8 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00007ff800b85cb9 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00007ff800b85c4e (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00007ff840076580 (__DATA_CONST,__const) non-external __printf_tbl_defaults_fbsd
00007ff800ba2da0 (__TEXT,__cstring) non-external __printf_tbl_flags
00007ff800b3e27e (__TEXT,__text) non-external (was a private external) __program_vars_init
00007ff800b81c58 (__TEXT,__text) external __putenvp
00007ff800b81d83 (__TEXT,__text) non-external __qsort
00007ff800b827ac (__TEXT,__text) non-external __qsort
00007ff8400ac3b0 (__DATA,__data) external __rand48_add
00007ff8400ac3a8 (__DATA,__data) external __rand48_mult
00007ff8400ac3a0 (__DATA,__data) external __rand48_seed
00007ff800b516de (__TEXT,__text) external __readdir_unlocked
00007ff800b53387 (__TEXT,__text) external __reclaim_telldir
00007ff800ba10f4 (__TEXT,__const) non-external (was a private external) __rp_alist
00007ff800b532c7 (__TEXT,__text) external __seekdir
00007ff800b86312 (__TEXT,__text) external __setenvp
00007ff800b3e8a6 (__TEXT,__text) external __sigaction_nobind
00007ff8400b8b00 (__DATA,__common) external __sigintr
00007ff800b52601 (__TEXT,__text) external __signal_nobind
00007ff800b310d5 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00007ff800b52393 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00007ff800b663ab (__TEXT,__text) external __sread
00007ff800b664ad (__TEXT,__text) external __sseek
00007ff800b79226 (__TEXT,__text) non-external (was a private external) __st_fmt
00007ff800b3c610 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00007ff800b775a9 (__TEXT,__text) non-external (was a private external) __st_localsub
00007ff800b3c61d (__TEXT,__text) non-external (was a private external) __st_set_timezone
00007ff800b77f39 (__TEXT,__text) non-external (was a private external) __st_time1
00007ff800b763b7 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00007ff800b8e0ca (__TEXT,__text) non-external __strfmon
00007ff800b7a568 (__TEXT,__text) non-external __strptime0
00007ff800ba0e20 (__TEXT,__const) non-external __strptime0.start_of_month
00007ff800b3be4e (__TEXT,__text) external __subsystem_init
00007ff800b66408 (__TEXT,__text) external __swrite
00007ff800b39257 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00007ff800b39095 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
00007ff800b7bdff (__TEXT,__text) external __time32_to_time
00007ff800b7be11 (__TEXT,__text) external __time64_to_time
00007ff800b7be35 (__TEXT,__text) external __time_to_int
00007ff800b7be23 (__TEXT,__text) external __time_to_long
00007ff800b7be08 (__TEXT,__text) external __time_to_time32
00007ff800b7be1a (__TEXT,__text) external __time_to_time64
00007ff800b86390 (__TEXT,__text) external __unsetenvp
00007ff800b66f79 (__TEXT,__text) non-external (was a private external) __vasprintf
00007ff800b67197 (__TEXT,__text) non-external (was a private external) __vdprintf
00007ff800b74d2d (__TEXT,__text) non-external (was a private external) __vsnprintf
00007ff800b7a310 (__TEXT,__text) non-external __yconv
00007ff800b7f720 (__TEXT,__text) external _a64l
00007ff800b9e8aa (__TEXT,__text) external _abort
00007ff800b9e9f1 (__TEXT,__text) external _abort_report_np
00007ff800b7f7bd (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00007ff800b3428a (__TEXT,__text) non-external _addToMP
00007ff800b641dc (__TEXT,__text) non-external _addaster
00007ff800b522d4 (__TEXT,__text) non-external _addcmd
00007ff800b644c7 (__TEXT,__text) non-external _addsarg
00007ff800b643dd (__TEXT,__text) non-external _addtype
00007ff800b64630 (__TEXT,__text) non-external _adduarg
00007ff800b651b0 (__TEXT,__text) non-external _addwaster
00007ff800b377f0 (__TEXT,__text) non-external _advance_directory
00007ff800b9d6c7 (__TEXT,__text) non-external _advance_directory.cold.1
00007ff800b4bd33 (__TEXT,__text) external _alarm
00007ff800b432a3 (__TEXT,__text) non-external _alloc_segs
00007ff800b51b74 (__TEXT,__text) external _alphasort
00007ff800ba0fa0 (__TEXT,__const) non-external _ambig
00007ff800b4bde5 (__TEXT,__text) non-external _arc4_init
00007ff800b9dc18 (__TEXT,__text) non-external _arc4_init.cold.1
00007ff800b4bd8e (__TEXT,__text) external _arc4random
00007ff800b4bd88 (__TEXT,__text) external _arc4random_addrandom
00007ff800b4bdbd (__TEXT,__text) external _arc4random_buf
00007ff800b4be1f (__TEXT,__text) external _arc4random_stir
00007ff800b4be25 (__TEXT,__text) external _arc4random_uniform
00007ff800b8cdec (__TEXT,__text) non-external _arrayget
00007ff800b76194 (__TEXT,__text) external _asctime
00007ff800b76067 (__TEXT,__text) external _asctime_r
00007ff800ba0d60 (__TEXT,__const) non-external _asctime_r.mon_name
00007ff800ba0d40 (__TEXT,__const) non-external _asctime_r.wday_name
00007ff800b5f1f8 (__TEXT,__text) external _asprintf
00007ff800b5f2bc (__TEXT,__text) external _asprintf_l
00007ff800b3c62a (__TEXT,__text) external _asxprintf
00007ff800b3d0cc (__TEXT,__text) external _asxprintf_exec
00007ff800b8df93 (__TEXT,__text) external _at_quick_exit
00007ff800b7f7fb (__TEXT,__text) external _atexit
00007ff800b7f942 (__TEXT,__text) external _atexit_b
00007ff8400acc60 (__DATA,__data) non-external _atexit_mutex
00007ff800b7f82d (__TEXT,__text) non-external _atexit_register
00007ff800b9eab1 (__TEXT,__text) non-external _atexit_register.cold.1
00007ff800b7fbe2 (__TEXT,__text) external _atof
00007ff800b7fc0c (__TEXT,__text) external _atof_l
00007ff800b7fc1b (__TEXT,__text) external _atoi
00007ff800b7fc4a (__TEXT,__text) external _atoi_l
00007ff800b7fc5e (__TEXT,__text) external _atol
00007ff800b7fc8d (__TEXT,__text) external _atol_l
00007ff800b7fca1 (__TEXT,__text) external _atoll
00007ff800b7fcd0 (__TEXT,__text) external _atoll_l
00007ff800b34bf7 (__TEXT,__text) external _backtrace
00007ff800b34c4d (__TEXT,__text) external _backtrace_async
00007ff800b34cb9 (__TEXT,__text) external _backtrace_from_fp
00007ff8400ab6b8 (__DATA,__data) non-external _backtrace_get_pcs_func
00007ff800b34d10 (__TEXT,__text) external _backtrace_image_offsets
00007ff800b34bde (__TEXT,__text) external _backtrace_set_pcs_func
00007ff800b4bf0f (__TEXT,__text) external _basename
00007ff8400adda0 (__DATA,__bss) non-external _basename.bname
00007ff800b4be65 (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00007ff800b3a322 (__TEXT,__text) external _bcopy
00007ff800b3458b (__TEXT,__text) non-external _bitCountMP
00007ff800b9d6a4 (__TEXT,__text) non-external _bitCountMP.cold.1
00007ff800ba0bb0 (__TEXT,__const) non-external _blanks
00007ff800ba0c90 (__TEXT,__const) non-external _blanks
00007ff8400ace00 (__DATA,__data) non-external _blanks
00007ff800b38984 (__TEXT,__text) non-external _both_ftw
00007ff8400adc38 (__DATA,__bss) non-external _brapreg
00007ff800b31903 (__TEXT,__text) external _brk
00007ff800b3191b (__TEXT,__text) external _bsd_signal
00007ff800b7fce4 (__TEXT,__text) external _bsearch
00007ff800b7fd56 (__TEXT,__text) external _bsearch_b
00007ff800b423c8 (__TEXT,__text) non-external _bt_broot
00007ff800b42128 (__TEXT,__text) non-external _bt_page
00007ff800b4250a (__TEXT,__text) non-external _bt_preserve
00007ff800b42547 (__TEXT,__text) non-external _bt_psplit
00007ff800b42035 (__TEXT,__text) non-external _bt_root
00007ff800b422cb (__TEXT,__text) non-external _bt_rroot
00007ff800b55b7e (__TEXT,__text) external _btowc
00007ff800b55ab2 (__TEXT,__text) external _btowc_l
00007ff8400af940 (__DATA,__bss) non-external _buf_asctime
00007ff800b64785 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
00007ff800b9f1b8 (__TEXT,__const) non-external (was a private external) _cVersionNumber
00007ff800b9f190 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
00007ff800b5f0c0 (__TEXT,__text) external _catclose
00007ff800b5ed8a (__TEXT,__text) external _catgets
00007ff800b5e67e (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
00007ff800b5352d (__TEXT,__text) external _cfgetispeed
00007ff800b53523 (__TEXT,__text) external _cfgetospeed
00007ff800b5355f (__TEXT,__text) external _cfmakeraw
00007ff800b53543 (__TEXT,__text) external _cfsetispeed
00007ff800b53537 (__TEXT,__text) external _cfsetospeed
00007ff800b5354f (__TEXT,__text) external _cfsetspeed
00007ff800b4ed34 (__TEXT,__text) external _cgetcap
00007ff800b4f64c (__TEXT,__text) external _cgetclose
00007ff800b4edb9 (__TEXT,__text) external _cgetent
00007ff800b4f5fb (__TEXT,__text) external _cgetfirst
00007ff800b4f5a1 (__TEXT,__text) external _cgetmatch
00007ff800b4f689 (__TEXT,__text) external _cgetnext
00007ff800b4fd86 (__TEXT,__text) external _cgetnum
00007ff800b4ecb0 (__TEXT,__text) external _cgetset
00007ff800b4fa49 (__TEXT,__text) external _cgetstr
00007ff800b4fca0 (__TEXT,__text) external _cgetustr
00007ff800b56ab0 (__TEXT,__text) non-external _chainsearch
00007ff800ba0970 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
00007ff800b37a1e (__TEXT,__text) non-external _check_env_var
00007ff800b5f358 (__TEXT,__text) external _clearerr
00007ff800b5f378 (__TEXT,__text) external _clearerr_unlocked
00007ff800b4bf59 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
00007ff800b31748 (__TEXT,__text) external _clock_getres
00007ff800b31560 (__TEXT,__text) external _clock_gettime
00007ff800b31340 (__TEXT,__text) external _clock_gettime_nsec_np
00007ff8400b8a94 (__DATA,__common) external _clock_port
00007ff8400b8a90 (__DATA,__common) external _clock_sem
00007ff800b317ce (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00007ff800b3758e (__TEXT,__text) non-external _close_directory
00007ff800b4bfd4 (__TEXT,__text) external _closedir
00007ff840076f40 (__DATA_CONST,__const) non-external _cnames
00007ff800b44620 (__TEXT,__text) non-external _collect_data
00007ff800b447d9 (__TEXT,__text) non-external _collect_key
00007ff800ba0ee0 (__TEXT,__const) non-external _command_substitution_str
00007ff800b37877 (__TEXT,__text) external _compat_mode
00007ff800b34db0 (__TEXT,__text) external _confstr
00007ff800b3cce3 (__TEXT,__text) external _copy_printf_domain
00007ff800b9b856 (__TEXT,__text) external _creat
00007ff800b3ec0f (__TEXT,__text) external _creat$NOCANCEL
00007ff800b4c039 (__TEXT,__text) external _ctermid
00007ff8400ac3b8 (__DATA,__data) non-external _ctermid.def
00007ff800b4c062 (__TEXT,__text) external _ctermid_r
00007ff800b77ed7 (__TEXT,__text) external _ctime
00007ff800b77ef2 (__TEXT,__text) external _ctime_r
00007ff8400ac530 (__DATA,__data) non-external _current_categories
00007ff800b5ae21 (__TEXT,__text) non-external _currentlocale
00007ff8400ae070 (__DATA,__bss) non-external _currentlocale.current_locale_string
00007ff8400adc98 (__DATA,__bss) non-external _curshell
00007ff8400accc8 (__DATA,__data) non-external _dash_prefix
00007ff8400b8b20 (__DATA,__common) external _daylight
00007ff800b46702 (__TEXT,__text) external _dbm_clearerr
00007ff800b465a2 (__TEXT,__text) external _dbm_close
00007ff800b46692 (__TEXT,__text) external _dbm_delete
00007ff800b46718 (__TEXT,__text) external _dbm_dirfno
00007ff800b466f2 (__TEXT,__text) external _dbm_error
00007ff800b465aa (__TEXT,__text) external _dbm_fetch
00007ff800b465ef (__TEXT,__text) external _dbm_firstkey
00007ff800b46644 (__TEXT,__text) external _dbm_nextkey
00007ff800b464cc (__TEXT,__text) external _dbm_open
00007ff800b466bd (__TEXT,__text) external _dbm_store
00007ff800b42c02 (__TEXT,__text) external _dbopen
00007ff8400ade18 (__DATA,__bss) non-external _dbp
00007ff8400adc58 (__DATA,__bss) non-external _decpreg
00007ff800ba10c0 (__TEXT,__const) non-external _degrees
00007ff800b56616 (__TEXT,__text) non-external _destruct_collate
00007ff800b895e6 (__TEXT,__text) non-external _destruct_ctype
00007ff800b58994 (__TEXT,__text) non-external (was a private external) _destruct_ldpart
00007ff800b3bdf1 (__TEXT,__text) non-external _destruct_locale
00007ff800b352a6 (__TEXT,__text) external _devname
00007ff8400adbb8 (__DATA,__bss) non-external _devname.buf
00007ff800b35128 (__TEXT,__text) external _devname_r
00007ff800b761a5 (__TEXT,__text) external _difftime
00007ff800b39971 (__TEXT,__text) external _digittoint
00007ff800b39bf0 (__TEXT,__text) external _digittoint_l
00007ff800b3eb6b (__TEXT,__text) external _dirfd
00007ff800b4c148 (__TEXT,__text) external _dirname
00007ff8400adda8 (__DATA,__bss) non-external _dirname.dname
00007ff800b4c083 (__TEXT,__text) external _dirname_r
00007ff800b7fdcc (__TEXT,__text) external _div
00007ff8400ab6c0 (__DATA,__data) non-external _dktypenames
00007ff800b54f5b (__TEXT,__text) non-external _do_hvis
00007ff800b55058 (__TEXT,__text) non-external _do_mvis
00007ff800b551d5 (__TEXT,__text) non-external _do_svis
00007ff800b4871c (__TEXT,__text) non-external _dorounding
00007ff800b5f382 (__TEXT,__text) external _dprintf
00007ff800b5f446 (__TEXT,__text) external _dprintf_l
00007ff800b4c192 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00007ff800b3b1c0 (__TEXT,__text) external _duplocale
00007ff800b3c6d1 (__TEXT,__text) external _dxprintf
00007ff800b3d17d (__TEXT,__text) external _dxprintf_exec
00007ff800b87ea5 (__TEXT,__text) external _ecvt
00007ff8400ade80 (__DATA,__bss) non-external _empty
00007ff8400ade90 (__DATA,__bss) non-external _empty
00007ff8400acd18 (__DATA,__data) non-external _end_ptr
00007ff800b382d8 (__TEXT,__text) external _endttyent
00007ff800b38634 (__TEXT,__text) external _endusershell
00007ff800b7febd (__TEXT,__text) external _environ_lock_np
00007ff8400add30 (__DATA,__bss) non-external _environ_pointer
00007ff800b7fed3 (__TEXT,__text) external _environ_unlock_np
00007ff800b75203 (__TEXT,__text) non-external _eofread
00007ff800b756cb (__TEXT,__text) non-external _eofread
00007ff800b4c229 (__TEXT,__text) external _erand48
00007ff800b9dd64 (__TEXT,__text) external _err
00007ff800b4c446 (__TEXT,__text) external _err_set_exit
00007ff800b4c482 (__TEXT,__text) external _err_set_exit_b
00007ff800b4c42a (__TEXT,__text) external _err_set_file
00007ff800b9deed (__TEXT,__text) external _errc
00007ff800b9df5d (__TEXT,__text) external _errx
00007ff800ba04c0 (__TEXT,__const) non-external _escape
00007ff800b4c4c4 (__TEXT,__text) external _execl
00007ff800b4c648 (__TEXT,__text) external _execle
00007ff800b4c7e8 (__TEXT,__text) external _execlp
00007ff800b4c9b9 (__TEXT,__text) external _execv
00007ff800b4c9e3 (__TEXT,__text) external _execvP
00007ff800b4ca1c (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
00007ff800b4c969 (__TEXT,__text) external _execvp
00007ff800b7fdfc (__TEXT,__text) external _exit
00007ff800b3bf52 (__TEXT,__text) non-external _extract_next_subsystem_root_path
00007ff800b60610 (__TEXT,__text) external _f_prealloc
00007ff800b329f4 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00007ff800b5f4e2 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
00007ff800b8808b (__TEXT,__text) external _fcvt
00007ff800b5f606 (__TEXT,__text) external _fdopen
00007ff800b9c250 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
00007ff800b50c90 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
00007ff800b5f71b (__TEXT,__text) external _feof
00007ff800b5f746 (__TEXT,__text) external _feof_unlocked
00007ff800b5f755 (__TEXT,__text) external _ferror
00007ff800b5f780 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
00007ff800b4645a (__TEXT,__text) non-external _fetch_bitmap
00007ff800b38ef0 (__TEXT,__text) external _fflagstostr
00007ff800b5f78f (__TEXT,__text) external _fflush
