00000001a6ebcd90 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a6eb2890 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00000001a6eb22a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00000001a6eb2378 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00000001a6eb2250 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00000001a6eb2248 (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00000001a6eb2858 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00000001a6eb2f04 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00000001a6eb21fc (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00000001a6eb2cfc (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00000001a6eb1ec8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00000001a6eb2528 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00000001a6eb2b30 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00000001a6eb2c24 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00000001a6eb2874 (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00000001a6eb297c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00000001a6eb2ee8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00000001a6eb2ecc (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00000001a6eb2eb0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00000001a6eb2e94 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00000001a6eb2450 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00000001a6eb2a54 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00000001a6eb2e7c (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00000001a6eb2e64 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00000001a6eb2d8c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00000001a6eb277c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00000001a6eb2670 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00000001a6eb6534 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00000001a6eb60c8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
00000001a6eb62ec (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00000001a6eb5ff8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00000001a6eb5f28 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00000001a6eb6410 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00000001a6ea9d8c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00000001a6ea9d44 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00000001a6ea9d4c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00000001a6ea9d64 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00000001a6ea9d40 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00000001a6ea9d54 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00000001a6ea9bf4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
00000001a6ea9768 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a6ea99ec (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
00000001a6ea98c0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a6ea974c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
00000001a6ea9d6c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
00000001a6ea99d8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
00000001a6ea9d84 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
00000001a6ea9d7c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
00000001a6ea9cf0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem redactedDescription]
00000001a6ea9d74 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem setAllowed:]
00000001a6ea9d5c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem teamID]
00000001a6ebbc18 (__TEXT,__text) non-external -[SPMigrationScanner .cxx_destruct]
00000001a6ebbc10 (__TEXT,__text) non-external -[SPMigrationScanner allBundleURLs]
00000001a6ebbc08 (__TEXT,__text) non-external -[SPMigrationScanner allKextURLs]
00000001a6ebb8d8 (__TEXT,__text) non-external -[SPMigrationScanner initWithRoot:]
00000001a6ebb96c (__TEXT,__text) non-external -[SPMigrationScanner performMigrationScan]
00000001a6ebbc00 (__TEXT,__text) non-external -[SPMigrationScanner volumeRoot]
00000001a6ebb858 (__TEXT,__text) non-external -[SPProvenanceMetadata .cxx_destruct]
00000001a6ebb808 (__TEXT,__text) non-external -[SPProvenanceMetadata bundleID]
00000001a6ebb844 (__TEXT,__text) non-external -[SPProvenanceMetadata cdhash]
00000001a6ebb77c (__TEXT,__text) non-external -[SPProvenanceMetadata description]
00000001a6ebb660 (__TEXT,__text) non-external -[SPProvenanceMetadata encodeWithCoder:]
00000001a6ebb47c (__TEXT,__text) non-external -[SPProvenanceMetadata initWithCoder:]
00000001a6ebb734 (__TEXT,__text) non-external -[SPProvenanceMetadata redactedDescription]
00000001a6ebb7e0 (__TEXT,__text) non-external -[SPProvenanceMetadata rootID]
00000001a6ebb810 (__TEXT,__text) non-external -[SPProvenanceMetadata setBundleID:]
00000001a6ebb84c (__TEXT,__text) non-external -[SPProvenanceMetadata setCdhash:]
00000001a6ebb7e8 (__TEXT,__text) non-external -[SPProvenanceMetadata setRootID:]
00000001a6ebb838 (__TEXT,__text) non-external -[SPProvenanceMetadata setSigningID:]
00000001a6ebb824 (__TEXT,__text) non-external -[SPProvenanceMetadata setTeamID:]
00000001a6ebb7d4 (__TEXT,__text) non-external -[SPProvenanceMetadata setUniqueID:]
00000001a6ebb7fc (__TEXT,__text) non-external -[SPProvenanceMetadata setUrl:]
00000001a6ebb830 (__TEXT,__text) non-external -[SPProvenanceMetadata signingID]
00000001a6ebb81c (__TEXT,__text) non-external -[SPProvenanceMetadata teamID]
00000001a6ebb7cc (__TEXT,__text) non-external -[SPProvenanceMetadata uniqueID]
00000001a6ebb7f4 (__TEXT,__text) non-external -[SPProvenanceMetadata url]
00000001a6eabd98 (__TEXT,__text) non-external -[SPProvenanceTracking .cxx_destruct]
00000001a6eab9a4 (__TEXT,__text) non-external -[SPProvenanceTracking dealloc]
00000001a6eabc90 (__TEXT,__text) non-external -[SPProvenanceTracking findAssociatedProvenanceEntries:]
00000001a6eabba4 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForID:]
00000001a6eab9f0 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForURL:]
00000001a6eabd7c (__TEXT,__text) non-external -[SPProvenanceTracking getAllProvenanceEntries]
00000001a6eabadc (__TEXT,__text) non-external -[SPProvenanceTracking getProvenanceIDForURL:]
00000001a6eab824 (__TEXT,__text) non-external -[SPProvenanceTracking init]
00000001a6eaa580 (__TEXT,__text) non-external -[StagedBundleData .cxx_destruct]
00000001a6eaa564 (__TEXT,__text) non-external -[StagedBundleData access:]
00000001a6eaa578 (__TEXT,__text) non-external -[StagedBundleData bundle]
00000001a6eaa078 (__TEXT,__text) non-external -[StagedBundleData handleReload]
00000001a6ea9df4 (__TEXT,__text) non-external -[StagedBundleData initWithURL:withStagedURL:withReloadBlock:withPrepareBlock:]
00000001a6eaa570 (__TEXT,__text) non-external -[StagedBundleData stagedBundle]
00000001a6ea91f0 (__TEXT,__text) non-external -[TrackingAttributes description]
00000001a6ea9264 (__TEXT,__text) non-external -[TrackingAttributes flags]
00000001a6ea9254 (__TEXT,__text) non-external -[TrackingAttributes identifier]
00000001a6ea90c0 (__TEXT,__text) non-external -[TrackingAttributes initWithData:]
00000001a6ea91f4 (__TEXT,__text) non-external -[TrackingAttributes redactedDescription]
00000001a6ea9180 (__TEXT,__text) non-external -[TrackingAttributes serialize]
00000001a6ea926c (__TEXT,__text) non-external -[TrackingAttributes setFlags:]
00000001a6ea925c (__TEXT,__text) non-external -[TrackingAttributes setIdentifier:]
00000001a6ec2ea0 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a6ec2f78 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a6ec304c (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a6ec2f28 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001a6ec2f18 (__TEXT,__gcc_except_tab) non-external GCC_except_table13
00000001a6ec2fa8 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001a6ec2f50 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001a6ec2ec0 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a6ec305c (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a6ec3038 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001a6ebcb70 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibrary
00000001a6ebc998 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibraryCore
00000001e3b631a8 (__DATA,__bss) non-external _AppleMobileFileIntegrityLibraryCore.frameworkLibrary
00000001a6eb77d0 (__TEXT,__text) non-external _BooleanXPCImpl
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBundleCopyExecutableURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetInfoDictionary (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDateGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _FSEventStreamCreate (from CoreServices)
                 (undefined) external _FSEventStreamInvalidate (from CoreServices)
                 (undefined) external _FSEventStreamRelease (from CoreServices)
                 (undefined) external _FSEventStreamScheduleWithRunLoop (from CoreServices)
                 (undefined) external _FSEventStreamStart (from CoreServices)
                 (undefined) external _FSEventStreamStop (from CoreServices)
00000001e0480cd0 (__DATA_CONST,__const) external _GKErrorDomain
                 (undefined) weak external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) weak external _MISInstallProvisioningProfile (from libmis)
                 (undefined) weak external _MISProfileCreateWithFile (from libmis)
                 (undefined) weak external _MISProvisioningProfileCheckValidity (from libmis)
                 (undefined) weak external _MISProvisioningProfileGetUUID (from libmis)
                 (undefined) weak external _MISRemoveProvisioningProfile (from libmis)
                 (undefined) weak external _MISUPPTrusted (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfo (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfoWithProgress (from libmis)
                 (undefined) external _NSFileModificationDate (from Foundation)
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSURLErrorKey (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
                 (undefined) external _NSURLIsSystemImmutableKey (from CoreFoundation)
                 (undefined) external _NSURLIsUserImmutableKey (from CoreFoundation)
00000001e5c24da0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AKELData
00000001e5c253b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMFI
00000001e5c24f58 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapper
00000001e5c25458 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicy
00000001e5c253e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicyResult
00000001e5c24ee0 (__AUTH,__objc_data) external _OBJC_CLASS_$_BundleData
00000001e5c25340 (__AUTH,__objc_data) external _OBJC_CLASS_$_GKScanResult
00000001e5c25160 (__AUTH,__objc_data) external _OBJC_CLASS_$_MIS
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
00000001e5c24e68 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyCacheMeta
00000001e5c25250 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyScanTarget
00000001e5c24d28 (__AUTH,__objc_data) external _OBJC_CLASS_$_ProvenanceEntry
00000001e5c25480 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPDeveloperPolicy
00000001e5c25020 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionHistoryItem
00000001e5c250c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicy
00000001e5c24f80 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicyItem
00000001e5c24df0 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPFilePolicy
00000001e5c25200 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPInstallationPolicy
00000001e5c25070 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistory
00000001e5c25110 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistoryItem
00000001e5c24c10 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicy
00000001e5c24c38 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicyItem
00000001e5c24fd0 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPLog
00000001e5c251b0 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigration
00000001e5c252f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigrationScanner
00000001e5c252a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceMetadata
00000001e5c24e90 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceTracking
00000001e5c24d50 (__AUTH,__objc_data) external _OBJC_CLASS_$_StagedBundleData
00000001e5c24cb0 (__AUTH,__objc_data) external _OBJC_CLASS_$_TrackingAttributes
00000001e3b62cfc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._bundle
00000001e3b62d00 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._signatureExceptionData
00000001e3b62d04 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._timestampExceptionData
00000001e3b62eb0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isModified
00000001e3b62eac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isValid
00000001e3b62eb4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.signerCategory
00000001e3b62d2c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._isSignedBundle
00000001e3b62d30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._reloadHandler
00000001e3b62d34 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._stream
00000001e3b62d40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._timestamp
00000001e3b62d28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._url
00000001e3b62d38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._version
00000001e3b62d3c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._versionNumber
00000001e3b62ea4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.allowed
00000001e3b62ea8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.gkError
00000001e3b62d14 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._forEntry
00000001e3b62d10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._lastMiss
00000001e3b62d08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._metaId
00000001e3b62d0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._missCount
00000001e3b62d18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._sourceTable
00000001e3b62d1c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._target
00000001e3b62df0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._blockDevice
00000001e3b62e20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundle
00000001e3b62e10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleID
00000001e3b62e14 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleVersion
00000001e3b62e2c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhash
00000001e3b62e30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashData
00000001e3b62e34 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashDigestAlgorithm
00000001e3b62e00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._checkValidity
00000001e3b62dfc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._chgTime
00000001e3b62e40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._entitlements
00000001e3b62de8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._fsTypeName
00000001e3b62e70 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PolicyScanTarget._hasResourceDirectorySlot
00000001e3b62e1c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isAppWrapper
00000001e3b62e58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isBundled
00000001e3b62e18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isDirectory
00000001e3b62e74 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PolicyScanTarget._isMovedToTrash
00000001e3b62e4c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantined
00000001e3b62e48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantinedMount
00000001e3b62e54 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isScript
00000001e3b62e50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isUserApproved
00000001e3b62e0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mainExecutableURL
00000001e3b62df8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._modTime
00000001e3b62df4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mountTime
00000001e3b62de4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._objectID
00000001e3b62e08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._originalURL
00000001e3b62de0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pathOnVolume
00000001e3b62e6c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pid
00000001e3b62e44 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._quarantineChecked
00000001e3b62e60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._resourceDirectorySlotChecked
00000001e3b62e3c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingID
00000001e3b62e28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingInfo
00000001e3b62e24 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._staticCodeRef
00000001e3b62e38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._teamID
00000001e3b62e64 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._trashedMainExe
00000001e3b62e78 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PolicyScanTarget._trashedURL
00000001e3b62e5c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._triggeredByLibraryLoad
00000001e3b62e04 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._url
00000001e3b62e68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._validationCategory
00000001e3b62dec (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumePath
00000001e3b62ddc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumeUUID
00000001e3b62cb4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_ProvenanceEntry.bundleID
00000001e3b62cb0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_ProvenanceEntry.cdhash
00000001e3b62c9c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_ProvenanceEntry.flags
00000001e3b62ca0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_ProvenanceEntry.rootID
00000001e3b62cac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_ProvenanceEntry.signingID
00000001e3b62ca8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_ProvenanceEntry.teamID
00000001e3b62c98 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_ProvenanceEntry.uniqueID
00000001e3b62ca4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_ProvenanceEntry.url
00000001e3b62ebc (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._connection
00000001e3b62eb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._interface
00000001e3b62d74 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._cdHash
00000001e3b62d7c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._developerName
00000001e3b62d64 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._execPath
00000001e3b62d80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._lastSeen
00000001e3b62d68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._mmapPath
00000001e3b62d78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._responsiblePath
00000001e3b62d6c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._signingID
00000001e3b62d70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._teamID
00000001e3b62da0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._connection
00000001e3b62d9c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._interface
00000001e3b62da4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._lock
00000001e3b62da8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._progressBlock
00000001e3b62d60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._blockedReasonDescription
00000001e3b62d50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._cdHash
00000001e3b62d44 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._itemPath
00000001e3b62d5c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._knownMalware
00000001e3b62d54 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._needsApproval
