00000001d5a9ffd0 (__DATA,__data) external _NDR_record
00000001d3914708 (__DATA_CONST,__const) non-external _err_codes_exception
00000001d39143e0 (__DATA_CONST,__const) non-external _err_codes_execd
00000001d39144e0 (__DATA_CONST,__const) non-external _err_codes_io
00000001d3915048 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001d3914c80 (__DATA_CONST,__const) non-external _err_codes_iokit_common
0000000180430a38 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001d3914f10 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
0000000180430a78 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001d3914e30 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
0000000180430a48 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001d3913f88 (__DATA_CONST,__const) non-external _err_codes_kern
00000001d3914b10 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001d3914b80 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001d3914b20 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001d39146d8 (__DATA_CONST,__const) non-external _err_codes_loader
00000001d3914ac0 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001d3914a38 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001d3914980 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001d39146a8 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001d3914940 (__DATA_CONST,__const) non-external _err_codes_mig
00000001d3914400 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001d3914380 (__DATA_CONST,__const) non-external _err_codes_netname
00000001d3914450 (__DATA_CONST,__const) non-external _err_codes_ns
00000001d39148f8 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001d3914898 (__DATA_CONST,__const) non-external _err_codes_send
00000001d3914618 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001d3914420 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001d3914418 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001d3914150 (__DATA_CONST,__const) non-external _err_codes_unix
00000001d3914558 (__DATA_CONST,__const) non-external _err_codes_us
00000001d3914740 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001d3914830 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001d3913da8 (__DATA_CONST,__const) non-external _err_iokit_sub
0000000180430a28 (__TEXT,__const) non-external _err_iokit_sub_map
00000001d3913c40 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001d3913d30 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001d3913cb8 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001d3913920 (__DATA_CONST,__const) non-external _err_os_sub
00000001d39139c0 (__DATA_CONST,__const) non-external _err_server_sub
0000000180430a00 (__TEXT,__const) non-external _err_us_sub
00000001d6c276d0 (__DATA_DIRTY,__common) external _errno
000000018042d120 (__TEXT,__text) external _etap_trace_thread
000000018041bc64 (__TEXT,__text) external _exc_server
000000018041bc30 (__TEXT,__text) external _exc_server_routine
000000018041b27c (__TEXT,__text) external _exception_raise
000000018041b3f8 (__TEXT,__text) external _exception_raise_state
000000018041b66c (__TEXT,__text) external _exception_raise_state_identity
0000000180409f20 (__TEXT,__text) external _exchangedata
000000018040fc78 (__TEXT,__text) external _exclaves_boot
000000018040fb8c (__TEXT,__text) external _exclaves_endpoint_call
000000018040fc20 (__TEXT,__text) external _exclaves_named_buffer_copyin
000000018040fc4c (__TEXT,__text) external _exclaves_named_buffer_copyout
000000018040fbfc (__TEXT,__text) external _exclaves_named_buffer_create
0000000180406268 (__TEXT,__text) external _execve
00000001d5aa0070 (__DATA,__bss) non-external _execve_with_filter
000000018040bbb0 (__TEXT,__text) external _faccessat
000000018040bbdc (__TEXT,__text) external _fchdir
0000000180402ed4 (__TEXT,__text) external _fchflags
0000000180401f60 (__TEXT,__text) external _fchmod
000000018040bc08 (__TEXT,__text) external _fchmodat
0000000180403318 (__TEXT,__text) external _fchown
000000018040bc34 (__TEXT,__text) external _fchownat
000000018040bc60 (__TEXT,__text) external _fclonefileat
00000001803fe350 (__TEXT,__text) external _fcntl
0000000180401b2c (__TEXT,__text) external _fcntl$NOCANCEL
000000018040bc8c (__TEXT,__text) external _fdatasync
00000001804054a4 (__TEXT,__text) external _ffsctl
00000001804011ec (__TEXT,__text) external _fgetattrlist
0000000180401ea8 (__TEXT,__text) external _fgetxattr
000000018040bcb8 (__TEXT,__text) external _fhopen
0000000180403b9c (__TEXT,__text) external _fileport_makefd
0000000180403e1c (__TEXT,__text) external _fileport_makeport
0000000180409e34 (__TEXT,__text) external _flistxattr
0000000180401830 (__TEXT,__text) external _flock
000000018040bce4 (__TEXT,__text) external _fmount
000000018040bd10 (__TEXT,__text) external _fpathconf
000000018040f934 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
000000018040bd3c (__TEXT,__text) external _freadlink
000000018040bd68 (__TEXT,__text) external _fremovexattr
0000000180417534 (__TEXT,__text) external _fs_snapshot_create
0000000180417550 (__TEXT,__text) external _fs_snapshot_delete
0000000180406158 (__TEXT,__text) external _fs_snapshot_list
00000001804175c0 (__TEXT,__text) external _fs_snapshot_mount
000000018041756c (__TEXT,__text) external _fs_snapshot_rename
0000000180417588 (__TEXT,__text) external _fs_snapshot_revert
00000001804175a4 (__TEXT,__text) external _fs_snapshot_root
00000001804011c0 (__TEXT,__text) external _fsctl
00000001804032ec (__TEXT,__text) external _fsetattrlist
0000000180402d10 (__TEXT,__text) external _fsetxattr
00000001804012ac (__TEXT,__text) external _fsgetpath
000000018040bd94 (__TEXT,__text) external _fsgetpath_ext
000000018040bdec (__TEXT,__text) external _fstat
000000018040bdec (__TEXT,__text) external _fstat64
000000018040be44 (__TEXT,__text) external _fstatat
000000018040be44 (__TEXT,__text) external _fstatat64
00000001804094ec (__TEXT,__text) external _fstatfs
00000001804094ec (__TEXT,__text) external _fstatfs64
000000018040135c (__TEXT,__text) external _fsync
000000018040aa68 (__TEXT,__text) external _fsync$NOCANCEL
0000000180400fb4 (__TEXT,__text) external _ftruncate
0000000180411c08 (__TEXT,__text) external _futimens
0000000180402f00 (__TEXT,__text) external _futimes
00000001d5a9ffd8 (__DATA,__crash_info) non-external _gCRAnnotations
00000001803fe270 (__TEXT,__text) external _getattrlist
000000018040be9c (__TEXT,__text) external _getattrlistat
000000018040100c (__TEXT,__text) external _getattrlistbulk
000000018041a8cc (__TEXT,__text) external _getaudit
00000001803ffc28 (__TEXT,__text) external _getaudit_addr
000000018040bec8 (__TEXT,__text) external _getauid
000000018040bef4 (__TEXT,__text) external _getdirentries
000000018040bf20 (__TEXT,__text) external _getdirentriesattr
00000001804065f8 (__TEXT,__text) external _getdtablesize
00000001803ff3dc (__TEXT,__text) external _getegid
00000001803fdd70 (__TEXT,__text) external _getentropy
00000001803feb64 (__TEXT,__text) external _geteuid
000000018040bf4c (__TEXT,__text) external _getfh
000000018040bfa4 (__TEXT,__text) external _getfsstat
000000018040bfa4 (__TEXT,__text) external _getfsstat64
0000000180401aa8 (__TEXT,__text) external _getgid
0000000180403344 (__TEXT,__text) external _getgroups
00000001804030d8 (__TEXT,__text) external _gethostuuid
0000000180402088 (__TEXT,__text) external _getiopolicy_np
000000018040bfd0 (__TEXT,__text) external _getitimer
0000000180401f34 (__TEXT,__text) external _getpeername
0000000180407e10 (__TEXT,__text) external _getpgid
000000018040623c (__TEXT,__text) external _getpgrp
00000001803fddac (__TEXT,__text) external _getpid
0000000180403ea0 (__TEXT,__text) external _getppid
000000018040607c (__TEXT,__text) external _getpriority
00000001803ffbf4 (__TEXT,__text) external _getrlimit
0000000180405264 (__TEXT,__text) external _getrusage
000000018040aa94 (__TEXT,__text) external _getsgroups_np
000000018040bffc (__TEXT,__text) external _getsid
00000001804054d0 (__TEXT,__text) external _getsockname
0000000180401e50 (__TEXT,__text) external _getsockopt
00000001803ff384 (__TEXT,__text) external _getuid
000000018040aac0 (__TEXT,__text) external _getwgroups_np
0000000180400a24 (__TEXT,__text) external _getxattr
000000018040c028 (__TEXT,__text) external _grab_pgo_data
000000018040c054 (__TEXT,__text) external _graftdmg
0000000180401330 (__TEXT,__text) external _guarded_close_np
0000000180408568 (__TEXT,__text) external _guarded_kqueue_np
000000018040f9ac (__TEXT,__text) external _guarded_open_dprotected_np
00000001804010bc (__TEXT,__text) external _guarded_open_np
0000000180401118 (__TEXT,__text) external _guarded_pwrite_np
0000000180405634 (__TEXT,__text) external _guarded_write_np
000000018040c080 (__TEXT,__text) external _guarded_writev_np
0000000180435ea4 (__TEXT,__cstring) non-external _hex
000000018040f9fc (__TEXT,__text) external _host_check_multiuser_mode
00000001803fe928 (__TEXT,__text) external _host_create_mach_voucher
00000001803fd8f0 (__TEXT,__text) external _host_create_mach_voucher_trap
000000018041c248 (__TEXT,__text) external _host_default_memory_manager
000000018041dc98 (__TEXT,__text) external _host_get_UNDServer
000000018040f9dc (__TEXT,__text) external _host_get_atm_diagnostic_flag
000000018041bcec (__TEXT,__text) external _host_get_boot_info
000000018041c93c (__TEXT,__text) external _host_get_clock_control
0000000180403744 (__TEXT,__text) external _host_get_clock_service
000000018041d130 (__TEXT,__text) external _host_get_exception_ports
000000018041e958 (__TEXT,__text) external _host_get_io_main
0000000180401388 (__TEXT,__text) external _host_get_io_master
000000018040f9f4 (__TEXT,__text) external _host_get_multiuser_config_flags
00000001803fe574 (__TEXT,__text) external _host_get_special_port
00000001804027a8 (__TEXT,__text) external _host_info
000000018041e2d4 (__TEXT,__text) external _host_kernel_version
000000018041f240 (__TEXT,__text) external _host_lockgroup_info
000000018040fb5c (__TEXT,__text) external _host_page_size
000000018041c024 (__TEXT,__text) external _host_priv_statistics
000000018041e7b8 (__TEXT,__text) external _host_processor_info
000000018041d9fc (__TEXT,__text) external _host_processor_set_priv
000000018041d878 (__TEXT,__text) external _host_processor_sets
000000018041c7b8 (__TEXT,__text) external _host_processors
000000018041bf04 (__TEXT,__text) external _host_reboot
000000018041f8c4 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
000000018041fa58 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
00000001803ff8ec (__TEXT,__text) external _host_request_notification
000000018041dfe8 (__TEXT,__text) external _host_security_create_task_token
000000018041e18c (__TEXT,__text) external _host_security_set_task_token
000000018041000c (__TEXT,__text) external _host_self
00000001803fd7a0 (__TEXT,__text) external _host_self_trap
000000018041db74 (__TEXT,__text) external _host_set_UNDServer
000000018041fbe0 (__TEXT,__text) external _host_set_atm_diagnostic_flag
000000018041cff8 (__TEXT,__text) external _host_set_exception_ports
000000018041ff18 (__TEXT,__text) external _host_set_multiuser_config_flags
000000018041cec4 (__TEXT,__text) external _host_set_special_port
0000000180407f10 (__TEXT,__text) external _host_statistics
0000000180407794 (__TEXT,__text) external _host_statistics64
000000018041d404 (__TEXT,__text) external _host_swap_exception_ports
000000018041ec3c (__TEXT,__text) external _host_virtual_physical_table_info
00000001d5a9ffb0 (__DATA,__data) external _important_boost_assertion_token
00000001daad8030 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
000000018040f884 (__TEXT,__text) non-external _internal_catch_exception_raise
00000001d5a9ffa0 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
000000018040f7b4 (__TEXT,__text) non-external _internal_catch_exception_raise_state
00000001d5a9ff98 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
000000018040f6d0 (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
00000001d5a9ff90 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
0000000180401d44 (__TEXT,__text) external _ioctl
00000001803fd564 (__TEXT,__text) external _issetugid
00000001d5aa0058 (__DATA,__bss) non-external _kAccountingThreshold
000000018040c0ac (__TEXT,__text) external _kas_info
00000001803fd400 (__TEXT,__text) external _kdebug_is_enabled
0000000180417754 (__TEXT,__text) external _kdebug_signpost
0000000180407f00 (__TEXT,__text) external _kdebug_signpost_end
0000000180407e4c (__TEXT,__text) non-external _kdebug_signpost_internal
0000000180407e3c (__TEXT,__text) external _kdebug_signpost_start
0000000180417704 (__TEXT,__text) external _kdebug_timestamp
000000018041771c (__TEXT,__text) external _kdebug_timestamp_from_absolute
0000000180417738 (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001803fd4e4 (__TEXT,__text) external _kdebug_trace
00000001804003ac (__TEXT,__text) external _kdebug_trace_string
00000001803fd460 (__TEXT,__text) external _kdebug_typefilter
00000001d6c27d50 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
00000001804176f0 (__TEXT,__text) external _kdebug_using_continuous_time
00000001804039b8 (__TEXT,__text) external _kevent
00000001804097c0 (__TEXT,__text) external _kevent64
00000001803ff5a0 (__TEXT,__text) external _kevent_id
00000001803ff574 (__TEXT,__text) external _kevent_qos
000000018041ddf8 (__TEXT,__text) external _kext_request
0000000180405ae8 (__TEXT,__text) external _kill
000000018041cd1c (__TEXT,__text) external _kmod_control
000000018041caac (__TEXT,__text) external _kmod_create
000000018041cbfc (__TEXT,__text) external _kmod_destroy
000000018041eab8 (__TEXT,__text) external _kmod_get_info
000000018041a9b8 (__TEXT,__text) external _kpersona_alloc
000000018041aa38 (__TEXT,__text) external _kpersona_dealloc
000000018041ab04 (__TEXT,__text) external _kpersona_find
000000018041abe4 (__TEXT,__text) external _kpersona_find_by_type
0000000180401a68 (__TEXT,__text) external _kpersona_get
000000018041aa7c (__TEXT,__text) external _kpersona_getpath
0000000180401768 (__TEXT,__text) external _kpersona_info
000000018041a9f8 (__TEXT,__text) external _kpersona_palloc
000000018041aac0 (__TEXT,__text) external _kpersona_pidinfo
000000018040398c (__TEXT,__text) external _kqueue
0000000180403370 (__TEXT,__text) external _lchown
000000018040c0d8 (__TEXT,__text) external _ledger
000000018040214c (__TEXT,__text) external _link
000000018040c104 (__TEXT,__text) external _linkat
000000018040c130 (__TEXT,__text) external _lio_listio
000000018040618c (__TEXT,__text) external _listen
0000000180401038 (__TEXT,__text) external _listxattr
0000000180427e64 (__TEXT,__text) external _lock_set_create
0000000180427fd0 (__TEXT,__text) external _lock_set_destroy
00000001804121ac (__TEXT,__text) external _log_data_as_kernel
00000001803ff150 (__TEXT,__text) external _lseek
00000001804093cc (__TEXT,__text) external _lstat
00000001804093cc (__TEXT,__text) external _lstat64
00000001803fdcd4 (__TEXT,__text) external _mach_absolute_time
00000001803fdd58 (__TEXT,__text) external _mach_absolute_time_kernel
00000001803fefb0 (__TEXT,__text) external _mach_approximate_time
00000001804118e4 (__TEXT,__text) external _mach_boottime_usec
0000000180404f00 (__TEXT,__text) external _mach_continuous_approximate_time
00000001803fdc5c (__TEXT,__text) external _mach_continuous_time
00000001803fdd64 (__TEXT,__text) external _mach_continuous_time_kernel
000000018040fad4 (__TEXT,__text) external _mach_error
00000001d5aa0028 (__DATA,__common) external _mach_error_full_diag
0000000180404004 (__TEXT,__text) external _mach_error_string
0000000180404028 (__TEXT,__text) non-external _mach_error_string_int
000000018040fa04 (__TEXT,__text) external _mach_error_type
000000018042f500 (__TEXT,__text) external _mach_eventlink_associate
000000018042f240 (__TEXT,__text) external _mach_eventlink_create
000000018042f3e0 (__TEXT,__text) external _mach_eventlink_destroy
000000018042f648 (__TEXT,__text) external _mach_eventlink_disassociate
0000000180411b6c (__TEXT,__text) external _mach_eventlink_signal
0000000180411bc8 (__TEXT,__text) external _mach_eventlink_signal_wait_until
0000000180411b88 (__TEXT,__text) external _mach_eventlink_wait_until
00000001803fd83c (__TEXT,__text) external _mach_generate_activity_id
00000001803ff804 (__TEXT,__text) external _mach_get_times
00000001803fe570 (__TEXT,__text) external _mach_host_self
000000018040dfb8 (__TEXT,__text) external _mach_host_special_port_description
00000001d3913790 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
000000018040e018 (__TEXT,__text) external _mach_host_special_port_for_id
00000001d5a9fe18 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
00000001804035e8 (__TEXT,__text) external _mach_init
00000001d6c27d38 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
0000000180403620 (__TEXT,__text) non-external _mach_init_doit
000000018042444c (__TEXT,__text) external _mach_make_memory_entry
00000001803fede4 (__TEXT,__text) external _mach_make_memory_entry_64
000000018042ef88 (__TEXT,__text) external _mach_memory_entry_access_tracking
000000018042f108 (__TEXT,__text) external _mach_memory_entry_ownership
000000018042ee2c (__TEXT,__text) external _mach_memory_entry_purgable_control
000000018041fd00 (__TEXT,__text) external _mach_memory_info
000000018041e628 (__TEXT,__text) external _mach_memory_object_memory_entry
000000018041f0b0 (__TEXT,__text) external _mach_memory_object_memory_entry_64
00000001803fdbe0 (__TEXT,__text) external _mach_msg
000000018040fca0 (__TEXT,__text) external _mach_msg2_internal
00000001803fd86c (__TEXT,__text) external _mach_msg2_trap
00000001803fe6e0 (__TEXT,__text) external _mach_msg_destroy
00000001803fe81c (__TEXT,__text) non-external _mach_msg_destroy_port
00000001804062d4 (__TEXT,__text) external _mach_msg_overwrite
00000001803fd7b8 (__TEXT,__text) external _mach_msg_overwrite_trap
000000018040fdec (__TEXT,__text) external _mach_msg_priority_encode
000000018040fddc (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
000000018040fe20 (__TEXT,__text) external _mach_msg_priority_overide_qos
000000018040fe30 (__TEXT,__text) external _mach_msg_priority_qos
000000018040fe40 (__TEXT,__text) external _mach_msg_priority_relpri
0000000180409e60 (__TEXT,__text) external _mach_msg_receive
0000000180402110 (__TEXT,__text) external _mach_msg_send
0000000180405780 (__TEXT,__text) external _mach_msg_server
0000000180406590 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
000000018040fdd8 (__TEXT,__text) external _mach_msg_server_importance
0000000180408b4c (__TEXT,__text) external _mach_msg_server_once
00000001803fd7ac (__TEXT,__text) external _mach_msg_trap
00000001804252ec (__TEXT,__text) external _mach_notify_dead_name
0000000180425228 (__TEXT,__text) external _mach_notify_no_senders
000000018042514c (__TEXT,__text) external _mach_notify_port_deleted
00000001804251b4 (__TEXT,__text) external _mach_notify_port_destroyed
0000000180425290 (__TEXT,__text) external _mach_notify_send_once
00000001803ffa20 (__TEXT,__text) external _mach_port_allocate
000000018041a42c (__TEXT,__text) external _mach_port_allocate_full
000000018041a418 (__TEXT,__text) external _mach_port_allocate_name
000000018041a428 (__TEXT,__text) external _mach_port_allocate_qos
000000018041a69c (__TEXT,__text) external _mach_port_assert_attributes
00000001803fe9b8 (__TEXT,__text) external _mach_port_construct
00000001803feb90 (__TEXT,__text) external _mach_port_deallocate
00000001804030d4 (__TEXT,__text) external _mach_port_destroy
00000001803ff1e4 (__TEXT,__text) external _mach_port_destruct
000000018041a5cc (__TEXT,__text) external _mach_port_dnrequest_info
0000000180400ec0 (__TEXT,__text) external _mach_port_extract_member
0000000180407b58 (__TEXT,__text) external _mach_port_extract_right
00000001804001b0 (__TEXT,__text) external _mach_port_get_attributes
0000000180402d3c (__TEXT,__text) external _mach_port_get_context
0000000180400d08 (__TEXT,__text) external _mach_port_get_refs
000000018041a698 (__TEXT,__text) external _mach_port_get_service_port_info
0000000180409a34 (__TEXT,__text) external _mach_port_get_set_status
000000018041a434 (__TEXT,__text) external _mach_port_get_srights
0000000180400718 (__TEXT,__text) external _mach_port_guard
000000018041a68c (__TEXT,__text) external _mach_port_guard_with_flags
00000001803ffa90 (__TEXT,__text) external _mach_port_insert_member
00000001803ffcbc (__TEXT,__text) external _mach_port_insert_right
000000018041a694 (__TEXT,__text) external _mach_port_is_connection_for_service
000000018041a5d0 (__TEXT,__text) external _mach_port_kernel_object
000000018041a614 (__TEXT,__text) external _mach_port_kobject
000000018041a618 (__TEXT,__text) external _mach_port_kobject_description
00000001803fdf6c (__TEXT,__text) external _mach_port_mod_refs
00000001804029cc (__TEXT,__text) external _mach_port_move_member
000000018041a410 (__TEXT,__text) external _mach_port_names
000000018041a41c (__TEXT,__text) external _mach_port_peek
000000018041a414 (__TEXT,__text) external _mach_port_rename
00000001803ff650 (__TEXT,__text) external _mach_port_request_notification
000000018040023c (__TEXT,__text) external _mach_port_set_attributes
0000000180409910 (__TEXT,__text) external _mach_port_set_context
000000018041a420 (__TEXT,__text) external _mach_port_set_mscount
000000018041a424 (__TEXT,__text) external _mach_port_set_seqno
000000018041a43c (__TEXT,__text) external _mach_port_space_basic_info
000000018041a438 (__TEXT,__text) external _mach_port_space_info
000000018041a690 (__TEXT,__text) external _mach_port_swap_guard
0000000180400480 (__TEXT,__text) external _mach_port_type
000000018041a61c (__TEXT,__text) external _mach_port_unguard
0000000180409518 (__TEXT,__text) external _mach_ports_lookup
0000000180405290 (__TEXT,__text) external _mach_ports_register
00000001803fd77c (__TEXT,__text) external _mach_reply_port
0000000180410314 (__TEXT,__text) external _mach_right_recv_construct
00000001804103d8 (__TEXT,__text) external _mach_right_recv_destruct
0000000180410470 (__TEXT,__text) external _mach_right_send_create
00000001804105b8 (__TEXT,__text) external _mach_right_send_once_consume
000000018041054c (__TEXT,__text) external _mach_right_send_once_create
0000000180402178 (__TEXT,__text) external _mach_right_send_release
00000001804104d8 (__TEXT,__text) external _mach_right_send_retain
000000018041a4ac (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
000000018041a558 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
00000001804118f4 (__TEXT,__text) external _mach_task_is_self
0000000180410310 (__TEXT,__text) external _mach_task_self
00000001d6c27d20 (__DATA_DIRTY,__common) external _mach_task_self_
000000018040dfd8 (__TEXT,__text) external _mach_task_special_port_description
00000001d39138a0 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
000000018040e0dc (__TEXT,__text) external _mach_task_special_port_for_id
00000001d5a9ff10 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
0000000180403714 (__TEXT,__text) external _mach_thread_self
000000018040dff8 (__TEXT,__text) external _mach_thread_special_port_description
00000001d3913900 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
000000018040e0ec (__TEXT,__text) external _mach_thread_special_port_for_id
00000001d5a9ff70 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
00000001803fdc04 (__TEXT,__text) external _mach_timebase_info
00000001d6c27d44 (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
00000001803fd92c (__TEXT,__text) external _mach_timebase_info_trap
00000001803ffb40 (__TEXT,__text) external _mach_vm_allocate
0000000180423ecc (__TEXT,__text) external _mach_vm_behavior_set
0000000180405660 (__TEXT,__text) external _mach_vm_copy
00000001803ff2e0 (__TEXT,__text) external _mach_vm_deallocate
0000000180424c38 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_init
0000000180424d58 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_synchronize
0000000180424e78 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
0000000180423834 (__TEXT,__text) external _mach_vm_inherit
0000000180423ff0 (__TEXT,__text) external _mach_vm_machine_attribute
00000001803fd590 (__TEXT,__text) external _mach_vm_map
0000000180423da8 (__TEXT,__text) external _mach_vm_msync
0000000180424744 (__TEXT,__text) external _mach_vm_page_info
00000001804242e4 (__TEXT,__text) external _mach_vm_page_query
0000000180424930 (__TEXT,__text) external _mach_vm_page_range_query
00000001804015a4 (__TEXT,__text) external _mach_vm_protect
0000000180401148 (__TEXT,__text) external _mach_vm_purgable_control
0000000180424f98 (__TEXT,__text) external _mach_vm_range_create
000000018041a7d0 (__TEXT,__text) external _mach_vm_read
0000000180423ae4 (__TEXT,__text) external _mach_vm_read_list
00000001804089f8 (__TEXT,__text) external _mach_vm_read_overwrite
0000000180410998 (__TEXT,__text) external _mach_vm_reclaim_is_available
0000000180410730 (__TEXT,__text) external _mach_vm_reclaim_mark_free
0000000180410874 (__TEXT,__text) external _mach_vm_reclaim_mark_used
0000000180410668 (__TEXT,__text) external _mach_vm_reclaim_ringbuffer_init
00000001804109bc (__TEXT,__text) external _mach_vm_reclaim_synchronize
0000000180410984 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
0000000180402288 (__TEXT,__text) external _mach_vm_region
0000000180408784 (__TEXT,__text) external _mach_vm_region_recurse
000000018041a6a0 (__TEXT,__text) external _mach_vm_remap
000000018041a738 (__TEXT,__text) external _mach_vm_remap_new
000000018041d740 (__TEXT,__text) external _mach_vm_wire
0000000180423c6c (__TEXT,__text) external _mach_vm_write
00000001804024ec (__TEXT,__text) external _mach_voucher_attr_command
00000001803ff1a8 (__TEXT,__text) external _mach_voucher_deallocate
000000018042fc1c (__TEXT,__text) external _mach_voucher_debug_info
000000018042f9c4 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
0000000180408318 (__TEXT,__text) external _mach_voucher_extract_attr_content
0000000180400138 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
00000001803fd8fc (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
00000001803fd938 (__TEXT,__text) external _mach_wait_until
000000018041f5a4 (__TEXT,__text) external _mach_zone_force_gc
00000001804204f0 (__TEXT,__text) external _mach_zone_get_btlog_records
000000018042035c (__TEXT,__text) external _mach_zone_get_zlog_zones
000000018041f3d4 (__TEXT,__text) external _mach_zone_info
00000001804201ac (__TEXT,__text) external _mach_zone_info_for_largest_zone
0000000180420038 (__TEXT,__text) external _mach_zone_info_for_zone
00000001803fd8b4 (__TEXT,__text) external _macx_backing_store_recovery
00000001803fd8a8 (__TEXT,__text) external _macx_backing_store_suspend
00000001803fd884 (__TEXT,__text) external _macx_swapoff
00000001803fd878 (__TEXT,__text) external _macx_swapon
00000001803fd89c (__TEXT,__text) external _macx_triggers
00000001804004f0 (__TEXT,__text) external _madvise
00000001804042ec (__TEXT,__text) non-external (was a private external) _malloc
00000001d5aa0050 (__DATA,__bss) non-external _master_host_port
00000001803fdb3c (__TEXT,__text) non-external _memcpy
000000018040cfbc (__TEXT,__text) non-external _memmove
000000018040680c (__TEXT,__text) external _memorystatus_control
000000018040c188 (__TEXT,__text) external _memorystatus_get_level
000000018040fe58 (__TEXT,__text) external _mig_allocate
0000000180400aac (__TEXT,__text) external _mig_dealloc_reply_port
000000018041a440 (__TEXT,__text) external _mig_dealloc_special_reply_port
0000000180403420 (__TEXT,__text) external _mig_deallocate
00000001803fdb4c (__TEXT,__text) external _mig_get_reply_port
00000001803fefcc (__TEXT,__text) external _mig_get_special_reply_port
0000000180402c40 (__TEXT,__text) external _mig_put_reply_port
0000000180402254 (__TEXT,__text) external _mig_reply_setup
0000000180402c44 (__TEXT,__text) external _mig_strncpy
00000001803ff008 (__TEXT,__text) external _mig_strncpy_zerofill
000000018040c1b4 (__TEXT,__text) external _mincore
000000018040c1e0 (__TEXT,__text) external _minherit
00000001803fd95c (__TEXT,__text) external _mk_timer_arm
00000001803fd974 (__TEXT,__text) external _mk_timer_arm_leeway
00000001803fd968 (__TEXT,__text) external _mk_timer_cancel
00000001803fd944 (__TEXT,__text) external _mk_timer_create
00000001803fd950 (__TEXT,__text) external _mk_timer_destroy
00000001803ff2b4 (__TEXT,__text) external _mkdir
0000000180401304 (__TEXT,__text) external _mkdirat
000000018040c20c (__TEXT,__text) external _mkfifo
000000018040c238 (__TEXT,__text) external _mkfifoat
000000018040c264 (__TEXT,__text) external _mknod
000000018040c290 (__TEXT,__text) external _mknodat
0000000180407708 (__TEXT,__text) external _mlock
000000018040c2bc (__TEXT,__text) external _mlockall
00000001803fe484 (__TEXT,__text) external _mmap
0000000180409e9c (__TEXT,__text) external _mount
000000018040165c (__TEXT,__text) external _mprotect
000000018040c2e8 (__TEXT,__text) external _mremap_encrypted
000000018040fff8 (__TEXT,__text) external _msg_receive
