00007ffd0aa21048 (__TEXT,__text) non-external _Done_iODBC
00007ffd41700ac0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffd41700c50 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffd41700750 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffd41700820 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffd417014a0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffd41700840 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffd41700850 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffd41700c70 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffd417014c0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffd417014e0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffd41700ce0 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffd41700cb0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffd41701500 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffd41700870 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffd417008a0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffd41701560 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffd41701580 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffd417015b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffd417015e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffd41701650 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffd41701690 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffd41701710 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffd41701770 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffd417017f0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffd41701820 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffd41701870 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffd41701530 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffd417018a0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffd41700d00 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffd417008d0 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffd41700d20 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffd417009a0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffd417009c0 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffd41700a70 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffd41700da0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffd41700d50 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffd417006a0 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffd0aa3843d (__TEXT,__text) non-external __trace_bufferlen
00007ffd0aa37c42 (__TEXT,__text) non-external __trace_c_type
00007ffd0aa350ac (__TEXT,__text) non-external __trace_colattr2_type
00007ffd0aa353a8 (__TEXT,__text) non-external __trace_colattr3_data
00007ffd0aa350e6 (__TEXT,__text) non-external __trace_colattr3_type
00007ffd0aa318b0 (__TEXT,__text) non-external __trace_connattr_type
00007ffd0aa38720 (__TEXT,__text) non-external __trace_connopt_type
00007ffd0aa3a41c (__TEXT,__text) non-external __trace_connstr
00007ffd0aa3a6b2 (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffd0aa3a611 (__TEXT,__text) non-external __trace_connstr_w
00007ffd0aa3977c (__TEXT,__text) non-external __trace_data
00007ffd0aa31b2c (__TEXT,__text) non-external __trace_desc_null
00007ffd0aa34a70 (__TEXT,__text) non-external __trace_descfield_type
00007ffd0aa394bc (__TEXT,__text) non-external __trace_diag_type
00007ffd0aa36879 (__TEXT,__text) non-external __trace_direction
00007ffd0aa3a4f3 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffd0aa3240d (__TEXT,__text) non-external __trace_envattr_type
00007ffd0aa32a7a (__TEXT,__text) non-external __trace_fetchtype
00007ffd0aa3ab58 (__TEXT,__text) non-external __trace_freestmt_option
00007ffd0aa3604d (__TEXT,__text) non-external __trace_func_name
00007ffd0aa35fac (__TEXT,__text) non-external __trace_func_result
00007ffd0aa32c65 (__TEXT,__text) non-external __trace_getinfo
00007ffd0aa37766 (__TEXT,__text) non-external __trace_handle
00007ffd0aa37701 (__TEXT,__text) non-external __trace_handle_p
00007ffd0aa376c0 (__TEXT,__text) non-external __trace_handletype
00007ffd0aa37f4c (__TEXT,__text) non-external __trace_inouttype
00007ffd0aa377d8 (__TEXT,__text) non-external __trace_integer
00007ffd0aa378f4 (__TEXT,__text) non-external __trace_integer_p
00007ffd0aa379d1 (__TEXT,__text) non-external __trace_len
00007ffd0aa37a0b (__TEXT,__text) non-external __trace_len_p
00007ffd0aa37811 (__TEXT,__text) non-external __trace_pointer
00007ffd0aa37531 (__TEXT,__text) non-external __trace_print_function
00007ffd0aa32b46 (__TEXT,__text) non-external __trace_scrollopt_type
00007ffd0aa32950 (__TEXT,__text) non-external __trace_setpos_irow
00007ffd0aa329a6 (__TEXT,__text) non-external __trace_setpos_lock
00007ffd0aa3296c (__TEXT,__text) non-external __trace_setpos_oper
00007ffd0aa3779f (__TEXT,__text) non-external __trace_smallint
00007ffd0aa37849 (__TEXT,__text) non-external __trace_smallint_p
00007ffd0aa3262e (__TEXT,__text) non-external __trace_spcols_null
00007ffd0aa325f4 (__TEXT,__text) non-external __trace_spcols_scope
00007ffd0aa325b5 (__TEXT,__text) non-external __trace_spcols_type
00007ffd0aa38380 (__TEXT,__text) non-external __trace_sql_subtype
00007ffd0aa37f8d (__TEXT,__text) non-external __trace_sql_type
00007ffd0aa3815c (__TEXT,__text) non-external __trace_sql_type_p
00007ffd0aa3a8a0 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffd0aa3a862 (__TEXT,__text) non-external __trace_stats_unique
00007ffd0aa38a00 (__TEXT,__text) non-external __trace_stmtattr_type
00007ffd0aa391b4 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffd0aa37ab5 (__TEXT,__text) non-external __trace_string
00007ffd0aa37b67 (__TEXT,__text) non-external __trace_string_w
00007ffd0aa3799d (__TEXT,__text) non-external __trace_stringlen
00007ffd417018c0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffd0aa39e64 (__TEXT,__text) non-external __trace_tran_completion
00007ffd0aa3a104 (__TEXT,__text) non-external __trace_typeinfo
00007ffd0aa377f5 (__TEXT,__text) non-external __trace_uinteger
00007ffd0aa37949 (__TEXT,__text) non-external __trace_uinteger_p
00007ffd0aa379ee (__TEXT,__text) non-external __trace_ulen
00007ffd0aa37a60 (__TEXT,__text) non-external __trace_ulen_p
00007ffd0aa377bc (__TEXT,__text) non-external __trace_usmallint
00007ffd0aa3789f (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffd4313ead2 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffd0aa3b9d2 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffd0aa3bf0f (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffd0aa3b962 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffd0aa3bc30 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffd0aa3ba46 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffd0aa3c129 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffd0aa3baee (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffd0aa3bb8b (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffd0aa3bbdf (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffd0aa3d5e1 (__TEXT,__text) non-external _do_create_dsns
00007ffd4313ea90 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffd4313ea70 (__DATA,__common) non-external _ierror
00007ffd0aa3d70a (__TEXT,__text) non-external _install_from_ini
00007ffd0aa3dc0f (__TEXT,__text) non-external _install_from_string
00007ffd4313e4d0 (__DATA,__data) external _iodbc_version
00007ffd4313e9b0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd4313e9f8 (__DATA,__data) non-external _numerrors
00007ffd4313e4e0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffd4313ea00 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffd0aa3ddf4 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffd416ffbe0 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffd4313ea40 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffd0aa34449 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffd0aa38688 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffd0aa34f2f (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffd0aa367c9 (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffd0aa34e94 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffd0aa3591d (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffd0aa38510 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffd0aa385cc (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffd0aa32559 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffd0aa39709 (__TEXT,__text) non-external _trace_SQLCancel
00007ffd0aa3684f (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffd0aa35314 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffd0aa356f4 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffd0aa3578b (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffd0aa3583a (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffd0aa392db (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffd0aa393ca (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffd0aa34510 (__TEXT,__text) non-external _trace_SQLColumns
00007ffd0aa345ff (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffd0aa38d2b (__TEXT,__text) non-external _trace_SQLConnect
00007ffd0aa38deb (__TEXT,__text) non-external _trace_SQLConnectW
00007ffd0aa32a41 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffd0aa368d8 (__TEXT,__text) non-external _trace_SQLDataSources
00007ffd0aa369bd (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffd0aa31b9e (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffd0aa31c8a (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffd0aa39236 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffd0aa36825 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffd0aa3a338 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffd0aa3a52d (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffd0aa35b7c (__TEXT,__text) non-external _trace_SQLDrivers
00007ffd0aa35c61 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffd0aa34404 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffd0aa31fa2 (__TEXT,__text) non-external _trace_SQLError
00007ffd0aa32091 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffd0aa3661a (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffd0aa36678 (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffd0aa3258b (__TEXT,__text) non-external _trace_SQLExecute
00007ffd0aa32abb (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffd0aa36b55 (__TEXT,__text) non-external _trace_SQLFetch
00007ffd0aa386d5 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffd0aa38eab (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffd0aa38fef (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffd0aa3918a (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffd0aa32926 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffd0aa343d2 (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffd0aa3ab92 (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffd0aa31a1c (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffd0aa31aa4 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffd0aa388e0 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffd0aa38928 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffd0aa34f99 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffd0aa35021 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffd0aa39d94 (__TEXT,__text) non-external _trace_SQLGetData
00007ffd0aa34d64 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffd0aa34dfc (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffd0aa31d76 (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffd0aa31e8c (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffd0aa395d4 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffd0aa3967c (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffd0aa3224e (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffd0aa3232d (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffd0aa3247a (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffd0aa365c4 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffd0aa32bd8 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffd0aa34120 (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffd0aa38c34 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffd0aa38cbc (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffd0aa391ee (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffd0aa3a2d4 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffd0aa3a306 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffd0aa39e3a (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffd0aa348cd (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffd0aa3499e (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffd0aa346ee (__TEXT,__text) non-external _trace_SQLNumParams
00007ffd0aa39133 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffd0aa358e9 (__TEXT,__text) non-external _trace_SQLParamData
00007ffd0aa344a5 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffd0aa3abc4 (__TEXT,__text) non-external _trace_SQLPrepare
00007ffd0aa3ac22 (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffd0aa35d46 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffd0aa35e0a (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffd0aa341ad (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffd0aa3429c (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffd0aa359f4 (__TEXT,__text) non-external _trace_SQLProcedures
00007ffd0aa35ab8 (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffd0aa39733 (__TEXT,__text) non-external _trace_SQLPutData
00007ffd0aa32502 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffd0aa3a7c0 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffd0aa3a811 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffd0aa38970 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffd0aa389b8 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffd0aa36a9b (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffd0aa36af8 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffd0aa32180 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffd0aa321e7 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffd0aa35ece (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffd0aa366d6 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffd0aa329e0 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffd0aa32b87 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffd0aa36727 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffd0aa36778 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffd0aa3438b (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffd0aa3266c (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffd0aa327c9 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffd0aa3a8de (__TEXT,__text) non-external _trace_SQLStatistics
00007ffd0aa3aa1b (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffd0aa34745 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffd0aa34809 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffd0aa39f24 (__TEXT,__text) non-external _trace_SQLTables
00007ffd0aa3a013 (__TEXT,__text) non-external _trace_SQLTablesW
00007ffd0aa39ea4 (__TEXT,__text) non-external _trace_SQLTransact
00007ffd4313ea30 (__DATA,__bss) non-external _trace_appname
00007ffd0aa3708e (__TEXT,__text) non-external _trace_emit
00007ffd0aa37397 (__TEXT,__text) non-external _trace_emit_binary
00007ffd0aa3717f (__TEXT,__text) non-external _trace_emit_string
00007ffd0aa37159 (__TEXT,__text) non-external _trace_emitc
00007ffd4313ea38 (__DATA,__bss) non-external _trace_fname
00007ffd4313ea50 (__DATA,__bss) non-external _trace_fp
00007ffd4313ea58 (__DATA,__bss) non-external _trace_fp_close
00007ffd0aa36bb0 (__TEXT,__text) non-external _trace_get_filename
00007ffd0aa36b80 (__TEXT,__text) non-external _trace_set_appname
00007ffd0aa36bc1 (__TEXT,__text) non-external _trace_set_filename
00007ffd0aa36e58 (__TEXT,__text) non-external _trace_start
00007ffd0aa36fee (__TEXT,__text) non-external _trace_stop
00007ffd0aa36e05 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffd0aa3c0cb (__TEXT,__text) non-external _utf8_len
00007ffd0aa3c1a7 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffd4313ead0 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
