000000022c7ca9a4 (__TEXT,__text) non-external +[CBOR cborFalse]
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
000000027a5cea38 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDarwin (from libswiftDarwin)
000000027a5cea20 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDarwin_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
000000027a5cea28 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDispatch_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftFoundation (from Foundation)
000000027a5ce9d0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftIOKit (from libswiftIOKit)
000000027a5cea40 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftIOKit_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftObjectiveC (from libswiftObjectiveC)
000000027a5cea30 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftObjectiveC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftXPC (from libswiftXPC)
000000027a5cea18 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftXPC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_Builtin_float (from libswift_Builtin_float)
000000027a5cea10 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_Builtin_float_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_errno (from libswift_errno)
000000027a5ce9d8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_errno_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_math (from libswift_math)
000000027a5cea08 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_math_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_signal (from libswift_signal)
000000027a5ce9e8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_signal_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_stdio (from libswift_stdio)
000000027a5ce9f0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_stdio_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_time (from libswift_time)
000000027a5ce9f8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_time_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftos (from libswiftos)
000000027a5cea48 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftos_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftsys_time (from libswiftsys_time)
000000027a5ce9e0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftsys_time_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftunistd (from libswiftunistd)
000000027a5cea00 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftunistd_$_CBORLibrary
000000022c7b8198 (__TEXT,__text) non-external __swift_stdlib_malloc_size
                 (undefined) external __swift_stdlib_reportUnimplementedInitializer (from libswiftCore)
000000022c7d26a6 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOSHAASQ
000000022c7d26b6 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs23CustomStringConvertible
000000022c7d26ae (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs28CustomDebugStringConvertible
000000022c7d2714 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC20DateEncodingStrategyOSHAASQ
000000022c7d270c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyOSHAASQ
000000022c7d26ea (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVSHAASQ
000000022c7d26fa (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs23CustomStringConvertible
000000022c7d26f2 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs28CustomDebugStringConvertible
000000022c7d283e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLVyxGs013KeyedEncodingD8ProtocolAA0C0sAFP_s06CodingC0
000000022c7d25b4 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLVyxGs0c8DecodingD8ProtocolAA3KeysAFP_s06CodingO0
000000022c7d2640 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance So4CBORC11CBORLibraryE9InitErrorOSHACSQ
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _malloc_size (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _mktime (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_allocWithZone (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
000000022c7d7900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
000000022c7d7920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObjectsFromArray:
000000022c7d7940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allKeys
000000022c7d7960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendBytes:length:
000000022c7d7980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendData:
000000022c7d79a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
000000022c7d79c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendString:
000000022c7d79e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
000000022c7d7a00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObjects:count:
000000022c7d7a20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asJSON
000000022c7d7a40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$boolValue
000000022c7d7a60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bytes
000000022c7d7a80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cStringUsingEncoding:
000000022c7d7aa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cachedHash
000000022c7d7ac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborNil
000000022c7d7ae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithArray:
000000022c7d7b00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithData:
000000022c7d7b20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithDictionary:
000000022c7d7b40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithEmbeddedCBORData:
000000022c7d7b60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithInteger:
000000022c7d7b80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithUTF8String:
000000022c7d7ba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
000000022c7d7bc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$conformsToProtocol:
000000022c7d7be0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$content
000000022c7d7c00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
000000022c7d7c20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
000000022c7d7c40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
000000022c7d7c60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$data
000000022c7d7c80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataUsingEncoding:
000000022c7d7ca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithCBOR:
000000022c7d7cc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithCBOR:encodingKeyOrder:
000000022c7d7ce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateByAddingTimeInterval:
000000022c7d7d00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateFromString:
000000022c7d7d20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromBytes:length:recursionLevel:keepKeyOrdering:noCopy:
000000022c7d7d40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromData:
000000022c7d7d60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromData:keepKeyOrdering:noCopy:
000000022c7d7d80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType0And1FromBuffer:length:tag:
000000022c7d7da0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:noCopy:
000000022c7d7dc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:
000000022c7d7de0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:
000000022c7d7e00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType6FromBuffer:length:tag:
000000022c7d7e20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType7FromBuffer:length:tag:
000000022c7d7e40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$description
000000022c7d7e60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionary
000000022c7d7e80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
000000022c7d7ea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$doubleValue
000000022c7d7ec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$enumerateKeysAndObjectsUsingBlock:
000000022c7d7ee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$floatValue
000000022c7d7f00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hash
000000022c7d7f20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithArray:copyItems:
000000022c7d7f40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBool:
000000022c7d7f60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytes:length:
000000022c7d7f80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytes:length:encoding:
000000022c7d7fa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytesNoCopy:length:encoding:freeWhenDone:
000000022c7d7fc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytesNoCopy:length:freeWhenDone:
000000022c7d7fe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithCBOR:
000000022c7d8000 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithCapacity:
000000022c7d8020 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithData:
000000022c7d8040 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDictionary:
000000022c7d8060 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDouble:
000000022c7d8080 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFloat:
000000022c7d80a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFormat:
000000022c7d80c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithInt:
000000022c7d80e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithLongLong:
000000022c7d8100 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithObjects:forKeys:
000000022c7d8120 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithShort:
000000022c7d8140 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithTimeIntervalSince1970:
000000022c7d8160 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithType:value:valueSize:tag:
000000022c7d8180 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedInt:
000000022c7d81a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedInteger:
000000022c7d81c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedLongLong:
000000022c7d81e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedShort:
000000022c7d8200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$intValue
000000022c7d8220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$integerValue
000000022c7d8240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToString:
000000022c7d8260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isWholeNumber
000000022c7d8280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$length
000000022c7d82a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$lengthOfBytesUsingEncoding:
000000022c7d82c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localeWithLocaleIdentifier:
000000022c7d82e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$longLongValue
000000022c7d8300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$mac
000000022c7d8320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$null
000000022c7d8340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithInteger:
000000022c7d8360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numeric
000000022c7d8380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndex:
000000022c7d83a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndexedSubscript:
000000022c7d83c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKey:
000000022c7d83e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKeyedSubscript:
000000022c7d8400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$orderedKeys
000000022c7d8420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$protectedHeaderParameters
000000022c7d8440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$protectedHeadererDictionary
000000022c7d8460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDateFormat:
000000022c7d8480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setLocale:
000000022c7d84a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKey:
000000022c7d84c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKeyedSubscript:
000000022c7d84e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setOrderedKeys:
000000022c7d8500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setTag:
000000022c7d8520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setTimeZone:
000000022c7d8540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$signature
000000022c7d8560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$sortedArrayUsingComparator:
000000022c7d8580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$string
000000022c7d85a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringFromDate:
000000022c7d85c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringValue
000000022c7d85e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFormat:
000000022c7d8600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$tag
000000022c7d8620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeZoneForSecondsFromGMT:
000000022c7d8640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$type
000000022c7d8660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unprotectedHeaderParameters
000000022c7d8680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unsignedIntValue
000000022c7d86a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unsignedLongLongValue
000000022c7d86c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$value
000000022c7d86e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$valueSize
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_self (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _strptime_l (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _swift_allocBox (from libswiftCore)
                 (undefined) external _swift_allocError (from libswiftCore)
                 (undefined) external _swift_allocObject (from libswiftCore)
                 (undefined) external _swift_allocateGenericValueMetadata (from libswiftCore)
                 (undefined) external _swift_arrayInitWithCopy (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeBackToFront (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeFrontToBack (from libswiftCore)
                 (undefined) external _swift_beginAccess (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRelease (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain_n (from libswiftCore)
                 (undefined) external _swift_checkMetadataState (from libswiftCore)
                 (undefined) external _swift_conformsToProtocol2 (from libswiftCore)
                 (undefined) external _swift_deallocClassInstance (from libswiftCore)
                 (undefined) external _swift_deallocObject (from libswiftCore)
                 (undefined) external _swift_deletedMethodError (from libswiftCore)
                 (undefined) external _swift_dynamicCast (from libswiftCore)
                 (undefined) external _swift_dynamicCastClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastMetatype (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClassUnconditional (from libswiftCore)
                 (undefined) external _swift_endAccess (from libswiftCore)
                 (undefined) external _swift_getDynamicType (from libswiftCore)
                 (undefined) external _swift_getForeignTypeMetadata (from libswiftCore)
                 (undefined) external _swift_getGenericMetadata (from libswiftCore)
                 (undefined) external _swift_getMetatypeMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassFromMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassMetadata (from libswiftCore)
                 (undefined) external _swift_getObjectType (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContext2 (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContextInMetadataState2 (from libswiftCore)
                 (undefined) external _swift_getWitnessTable (from libswiftCore)
                 (undefined) external _swift_initStackObject (from libswiftCore)
                 (undefined) external _swift_initStructMetadata (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_bridgeObject (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_native (from libswiftCore)
                 (undefined) external _swift_lookUpClassMethod (from libswiftCore)
                 (undefined) external _swift_makeBoxUnique (from libswiftCore)
                 (undefined) external _swift_once (from libswiftCore)
                 (undefined) external _swift_release (from libswiftCore)
                 (undefined) external _swift_retain (from libswiftCore)
                 (undefined) external _swift_retain_n (from libswiftCore)
                 (undefined) external _swift_slowAlloc (from libswiftCore)
                 (undefined) external _swift_slowDealloc (from libswiftCore)
                 (undefined) external _swift_unknownObjectRelease (from libswiftCore)
                 (undefined) external _swift_unknownObjectRelease_n (from libswiftCore)
                 (undefined) external _swift_unknownObjectRetain (from libswiftCore)
                 (undefined) external _swift_weakAssign (from libswiftCore)
                 (undefined) external _swift_weakDestroy (from libswiftCore)
                 (undefined) external _swift_weakInit (from libswiftCore)
                 (undefined) external _swift_weakLoadStrong (from libswiftCore)
                 (undefined) external _swift_willThrow (from libswiftCore)
000000022c7d2768 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s11CBORLibrary27ExplicitKeyOrderedEncodableP
000000022c7d2488 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s11CBORLibrary30_CBORDictionaryDecodableMarker33_9AD5FE8BA51478D9E31399B9411E4CF6LLP
000000022c7d246a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelDecoderP
000000022c7d2722 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelEncoderP
000000022c7d25ae (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $sSY
000000022c7d25bc (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedDecodingContainerProtocolP
000000022c7d2846 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedEncodingContainerProtocolP
000000022c7d2544 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySSypG
000000022c7d258a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCABG
000000022c7d2754 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCyXlG
000000022c7d24de (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDy_____ypG s17CodingUserInfoKeyV
000000022c7d2806 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SE_p
000000022c7d2454 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SS
000000022c7d255a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SS_ypt
000000022c7d24fc (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SaySo4CBORCG
000000022c7d24f0 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Say______pG s9CodingKeyP
000000022c7d27d6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SayyXlG
000000022c7d2764 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Sb
000000022c7d25a6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Si
000000022c7d26e4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SiSg
000000022c7d265e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So10COSE_Sign1C
000000022c7d2824 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC
000000022c7d27de (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC_Sit
000000022c7d264e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So4CBORC
000000022c7d268e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So7COSEKeyC
000000022c7d2740 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So8NSObjectC
000000022c7d267a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So9COSE_Mac0C
000000022c7d25aa (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Su
000000022c7d245e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 10Foundation4DataV
000000022c7d2658 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V
000000022c7d266e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV
000000022c7d26a0 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLO
000000022c7d2464 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBORDecoderC
000000022c7d271c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC
000000022c7d279c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC20DateEncodingStrategyO
000000022c7d2796 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyO
000000022c7d24ea (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBORDecoder33_9AD5FE8BA51478D9E31399B9411E4CF6LLC
000000022c7d27b4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBOREncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
000000022c7d25e2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary13CBORCodingKeyV
000000022c7d274e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary15_CBORDictionary33_7693559CB90E2482CACD4C8EAD5C6230LLC
000000022c7d2648 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary18CBORCodableWrapperV
000000022c7d27ba (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary20_CBOREncodingStorage33_7693559CB90E2482CACD4C8EAD5C6230LLV
000000022c7d27ca (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
000000022c7d27d0 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC9ReferenceO
000000022c7d2838 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
