00007ff8163cbca3 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff84389b8e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00007ff84389b908 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00007ff84389ba78 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00007ff84389b988 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00007ff84389ba28 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00007ff84389bc08 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00007ff84389b9d8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00007ff84389bac8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalEvent
00007ff84389bb68 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00007ff84389b938 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00007ff84389bbb8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
00007ff84389bb18 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceRule
00007ff84389bc58 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalTask
                 (undefined) external _OBJC_METACLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSMethodExceptionProem (from Foundation)
00007ff8163d6880 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalAlarm
00007ff8163d6898 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendar
00007ff8163d68b0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarItem
00007ff8163d68c8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarStore
00007ff8163d6990 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalEvent
00007ff8163d69b0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalNthWeekDay
00007ff8163d69c8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceEnd
00007ff8163d69e8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceRule
00007ff8163d6a18 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalTask
00007ff841dd6cb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_CalCalendarStore
00007ff8163d6a30 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAlarm
00007ff8163d6ba0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAttendee
00007ff8163d6c30 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendar
00007ff8163d6d10 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarItem
00007ff8163d6e78 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarStore
00007ff8163d6f98 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalEvent
00007ff8163d70b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalNthWeekDay
00007ff8163d7138 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalPredicate
00007ff8163d7188 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceEnd
00007ff8163d7230 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceRule
00007ff8163d7370 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalTask
00007ff841dd6f40 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAlarm
00007ff841dd6bf8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAttendee
00007ff841dd6df8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendar
00007ff841dd75c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarItem
00007ff841dd6d10 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarStore
00007ff841dd70d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalEvent
00007ff841dd73a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalNthWeekDay
00007ff841dd6b00 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalPredicate
00007ff841dd74a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceEnd
00007ff841dd7238 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceRule
00007ff841dd7730 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalTask
00007ff841dd6fa8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAlarm
00007ff841dd6c20 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAttendee
00007ff841dd6e20 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendar
00007ff841dd7608 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarItem
00007ff841dd6d38 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarStore
00007ff841dd70f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalEvent
00007ff841dd73c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalNthWeekDay
00007ff841dd74d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceEnd
00007ff841dd7260 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceRule
00007ff841dd7758 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalTask
00007ff841dd6b70 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff841dd6b90 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ff841dd6ee0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAlarm
00007ff841dd6b98 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAttendee
00007ff841dd6d98 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendar
00007ff841dd7560 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendarItem
00007ff841dd7340 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalNthWeekDay
00007ff841dd7448 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceEnd
00007ff841dd71d8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceRule
00007ff841dd7040 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalAlarm
00007ff841dd6c68 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalAttendee
00007ff841dd6e98 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendar
00007ff841dd76a0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendarItem
00007ff841dd6d50 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendarStore
00007ff841dd7190 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalEvent
00007ff841dd7400 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalNthWeekDay
00007ff841dd6b28 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalPredicate
00007ff841dd7518 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalRecurrenceEnd
00007ff841dd72f8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalRecurrenceRule
00007ff841dd77b0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalTask
00007ff841dd6aa8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00007ff841dd6ef8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalAlarm
00007ff841dd6bb0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalAttendee
00007ff841dd6db0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendar
00007ff841dd7578 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendarItem
00007ff841dd6cc8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendarStore
00007ff841dd7088 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalEvent
00007ff841dd7358 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalNthWeekDay
00007ff841dd6ab8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalPredicate
00007ff841dd7460 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalRecurrenceEnd
00007ff841dd71f0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalRecurrenceRule
00007ff841dd76e8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalTask
00007ff84389bc80 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
                 (undefined) external __Unwind_Resume (from libSystem)
00007ff8163cdbba (__TEXT,__text) non-external ___58+[CalCalendarStore requestAccessForEntityType:eventStore:]_block_invoke
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ff841dd5ad8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e20_v20?0c8"NSError"12l
00007ff8163cdbd4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00007ff8163cdc04 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff84389bce0 (__DATA,__bss) non-external __defaultCalendarStore
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
