0000000182ba24b8 (__DATA,__data) non-external _C
0000000180a7f470 (__TEXT,__text) non-external ___strncpy_chk.cold.1
0000000180a31044 (__TEXT,__text) external ___sum_D2A
0000000180a52238 (__TEXT,__text) external ___svfscanf
0000000180a50518 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
0000000180a812d0 (__TEXT,__const) non-external ___svfscanf_l.basefix
0000000180a57a50 (__TEXT,__text) external ___swbuf
0000000180a48c8c (__TEXT,__text) external ___swhatbuf
0000000180a4bea0 (__TEXT,__text) external ___swrite
0000000180a57c80 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
0000000182ba32e0 (__DATA,__data) non-external ___systemfn_mutex
0000000182ba3340 (__DATA,__data) non-external ___systemfn_mutex
0000000180a80aa8 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
0000000180a1e0a4 (__TEXT,__text) non-external ___thread_stack_async_pcs
0000000180a1dc54 (__TEXT,__text) non-external ___thread_stack_pcs
0000000180a5df7c (__TEXT,__text) non-external (was a private external) ___time_load_locale
0000000182baee08 (__DATA,__bss) non-external ___time_load_locale.cache
0000000180a80a80 (__TEXT,__const) external ___tinytens_D2A
0000000180a3fd18 (__TEXT,__text) external ___tolower
0000000180a3fe6c (__TEXT,__text) external ___tolower_l
0000000180a3fcd8 (__TEXT,__text) external ___toupper
0000000180a3fe4c (__TEXT,__text) external ___toupper_l
0000000180a301c8 (__TEXT,__text) external ___trailz_D2A
0000000180a31180 (__TEXT,__text) external ___ulp_D2A
0000000180a50050 (__TEXT,__text) non-external ___ultoa
0000000180a55194 (__TEXT,__text) non-external ___ultoa
0000000180a4c798 (__TEXT,__text) external ___ungetc
0000000180a4c950 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
0000000180a6830c (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
0000000180a81771 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
0000000180a6f70c (__TEXT,__text) non-external (was a private external) ___v2printf
0000000180a4d094 (__TEXT,__text) non-external (was a private external) ___vfprintf
0000000180a7ed94 (__TEXT,__text) non-external ___vfprintf.cold.1
0000000180a8128f (__TEXT,__const) non-external ___vfprintf.xdigs_lower
0000000180a8129f (__TEXT,__const) non-external ___vfprintf.xdigs_upper
0000000180a525c0 (__TEXT,__text) non-external (was a private external) ___vfwprintf
0000000180a812f4 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
0000000180a81304 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
0000000180a5573c (__TEXT,__text) non-external (was a private external) ___vfwscanf
0000000180a813f0 (__TEXT,__const) non-external ___vfwscanf.basefix
0000000180a7da54 (__TEXT,__text) external ___vsnprintf_chk
0000000180a7d83c (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
0000000180a41de4 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
0000000180a41b4c (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
0000000180a3fd58 (__TEXT,__text) external ___wcwidth
0000000180a3fe8c (__TEXT,__text) external ___wcwidth_l
0000000180a41000 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
0000000182ba2b80 (__DATA,__data) external ___xlocale_C_collate
0000000180a210b0 (__TEXT,__text) non-external (was a private external) ___xlocale_init
0000000180a210e8 (__TEXT,__text) non-external ___xlocale_release
0000000180a21d20 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
0000000180a7dde4 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
0000000182ba2a80 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
0000000180a6fc44 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
0000000180a6fa90 (__TEXT,__text) non-external (was a private external) ___xvprintf
0000000180a683f8 (__TEXT,__text) external __allocenvstate
0000000180a31378 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
0000000180a3a9f0 (__TEXT,__text) non-external (was a private external) __ascii_init
0000000180a3aa68 (__TEXT,__text) non-external __ascii_mbrtowc
0000000180a3aac4 (__TEXT,__text) non-external __ascii_mbsinit
0000000180a3aacc (__TEXT,__text) non-external __ascii_mbsnrtowcs
0000000180a3ab8c (__TEXT,__text) non-external __ascii_wcrtomb
0000000180a3abcc (__TEXT,__text) non-external __ascii_wcsnrtombs
0000000180a1693c (__TEXT,__text) non-external __boottime_fallback_usec
0000000180b827c8 (__DATA_CONST,__const) external __c_locale
0000000180a46218 (__TEXT,__text) external __cleanup
0000000180a3bce8 (__TEXT,__text) external __collate_lookup
0000000180a683fc (__TEXT,__text) external __copyenv
0000000182bc94b0 (__AUTH,__data) external __cthread_init_routine
0000000180a68494 (__TEXT,__text) external __deallocenvstate
0000000180a67cf0 (__TEXT,__text) non-external __do_nothing
0000000180a2060c (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
                 (undefined) external __dyld_stack_range (from libdyld)
0000000182baef18 (__DATA,__common) non-external (was a private external) __e_err_exit
0000000182baef10 (__DATA,__common) non-external (was a private external) __e_err_file
0000000180a3187c (__TEXT,__text) non-external (was a private external) __e_visprintf
                 (undefined) external __exit (from libsystem_kernel)
0000000180a16bf0 (__TEXT,__text) non-external __ffpp_strtoencf32_l
0000000180a7da84 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
0000000180a7dab0 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
0000000180a803e0 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
0000000180a16f48 (__TEXT,__text) non-external __ffpp_strtoencf64_l
0000000180a7dadc (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
0000000180a7db08 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
0000000180a7db34 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
0000000180a80780 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
0000000180a35d6c (__TEXT,__text) non-external (was a private external) __filldir
0000000180a38528 (__TEXT,__text) non-external (was a private external) __fixtelldir
0000000180a44b78 (__TEXT,__text) external __flockfile_debug_stub
0000000180a47688 (__TEXT,__text) external __fseeko
0000000180a47b0c (__TEXT,__text) external __ftello
0000000180a480c0 (__TEXT,__text) external __fwalk
0000000180a624c0 (__TEXT,__text) external __getenvp
0000000180a1d24c (__TEXT,__text) external __init_clock_port
0000000180a5df54 (__TEXT,__text) external __int_to_time
0000000180a64d84 (__TEXT,__text) non-external __isort
0000000180a6591c (__TEXT,__text) non-external __isort
0000000182ba41e0 (__DATA,__bss) non-external __libSystem_atfork_child
0000000182ba41c8 (__DATA,__bss) non-external __libSystem_atfork_child_v2
0000000182ba41d8 (__DATA,__bss) non-external __libSystem_atfork_parent
0000000182ba41c0 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
0000000182ba41d0 (__DATA,__bss) non-external __libSystem_atfork_prepare
0000000182ba41b8 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
0000000180a2337c (__TEXT,__text) external __libc_fork_child
0000000180a23430 (__TEXT,__text) non-external (was a private external) __libc_fork_init
0000000180a23378 (__TEXT,__text) external __libc_fork_parent
0000000180a23374 (__TEXT,__text) external __libc_fork_prepare
0000000180a232c4 (__TEXT,__text) external __libc_initializer
0000000180a3eacc (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
0000000180a3eaa4 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
0000000180a3ea7c (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
0000000180a5df4c (__TEXT,__text) external __long_to_time
0000000180a16604 (__TEXT,__text) non-external __mach_boottime_usec
0000000182ba41b0 (__DATA,__bss) non-external __mh_execute_header_pointer
0000000180a49464 (__TEXT,__text) non-external __mkdtemp_action
0000000180a49194 (__TEXT,__text) non-external __mkostemps_action
0000000180a225e4 (__TEXT,__text) non-external __mkpath
0000000180a225d0 (__TEXT,__text) external __mkpath_np
0000000180a49688 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
0000000180a7ec50 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
0000000180a494e8 (__TEXT,__text) external __mktemp
0000000180a49540 (__TEXT,__text) non-external __mktemp_action
0000000180a3fed0 (__TEXT,__text) non-external (was a private external) __none_init
0000000180a3ff48 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
0000000180a3ff78 (__TEXT,__text) non-external (was a private external) __none_mbsinit
0000000180a3ff80 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
0000000180a40014 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
0000000180a40054 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
0000000180a7dfe4 (__TEXT,__text) external __os_assert_log
0000000180a7e1f0 (__TEXT,__text) external __os_assert_log_ctx
0000000180a7ded8 (__TEXT,__text) external __os_assumes_log
0000000180a7e0b4 (__TEXT,__text) external __os_assumes_log_ctx
0000000180a23eb0 (__TEXT,__text) external __os_avoid_tail_call
0000000180a7decc (__TEXT,__text) external __os_crash
0000000182baef00 (__DATA,__common) external __os_crash_callback
0000000180a23eb4 (__TEXT,__text) non-external __os_get_build
                 (undefined) external __os_once (from libsystem_platform)
0000000180a67cf8 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
0000000180a67e50 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
0000000180a67dbc (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
0000000182c3d588 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
0000000180a83308 (__TEXT,__cstring) non-external __printf_tbl_flags
0000000180a233f8 (__TEXT,__text) non-external (was a private external) __program_vars_init
0000000180a6434c (__TEXT,__text) external __putenvp
0000000180a644cc (__TEXT,__text) non-external __qsort
0000000180a64fa8 (__TEXT,__text) non-external __qsort
0000000182ba2ae0 (__DATA,__data) external __rand48_add
0000000182ba2ad8 (__DATA,__data) external __rand48_mult
0000000182ba2ad0 (__DATA,__data) external __rand48_seed
0000000180a36648 (__TEXT,__text) external __readdir_unlocked
0000000180a3855c (__TEXT,__text) external __reclaim_telldir
0000000180a816d8 (__TEXT,__const) non-external (was a private external) __rp_alist
0000000180a3846c (__TEXT,__text) external __seekdir
0000000180a684f0 (__TEXT,__text) external __setenvp
0000000180a23a58 (__TEXT,__text) external __sigaction_nobind
0000000182baef30 (__DATA,__common) external __sigintr
0000000180a376a8 (__TEXT,__text) external __signal_nobind
0000000180a160a8 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
0000000180a373cc (__TEXT,__text) non-external (was a private external) __sm_compress_mode
0000000180a4bed0 (__TEXT,__text) external __sread
0000000180a4c004 (__TEXT,__text) external __sseek
0000000180a5b6b0 (__TEXT,__text) non-external (was a private external) __st_fmt
0000000180a21940 (__TEXT,__text) non-external (was a private external) __st_get_timezone
0000000180a596e4 (__TEXT,__text) non-external (was a private external) __st_localsub
0000000180a2194c (__TEXT,__text) non-external (was a private external) __st_set_timezone
0000000180a5a1ac (__TEXT,__text) non-external (was a private external) __st_time1
0000000180a5851c (__TEXT,__text) non-external (was a private external) __st_tzset_basic
0000000180a70228 (__TEXT,__text) non-external __strfmon
0000000180a5c798 (__TEXT,__text) non-external __strptime0
0000000180a814c8 (__TEXT,__const) non-external __strptime0.start_of_month
0000000180a211ac (__TEXT,__text) external __subsystem_init
0000000180a4bf40 (__TEXT,__text) external __swrite
0000000180a1e03c (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
0000000180a1dc34 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
0000000180a5df34 (__TEXT,__text) external __time32_to_time
0000000180a5df40 (__TEXT,__text) external __time64_to_time
0000000180a5df50 (__TEXT,__text) external __time_to_int
0000000180a5df48 (__TEXT,__text) external __time_to_long
0000000180a5df3c (__TEXT,__text) external __time_to_time32
0000000180a5df44 (__TEXT,__text) external __time_to_time64
0000000180a68580 (__TEXT,__text) external __unsetenvp
0000000180a4cb0c (__TEXT,__text) non-external (was a private external) __vasprintf
0000000180a4ccf4 (__TEXT,__text) non-external (was a private external) __vdprintf
0000000180a57108 (__TEXT,__text) non-external (was a private external) __vsnprintf
0000000180a5c4f0 (__TEXT,__text) non-external __yconv
0000000180a61b28 (__TEXT,__text) external _a64l
0000000180a7ef98 (__TEXT,__text) external _abort
0000000180a7f0c8 (__TEXT,__text) external _abort_report_np
0000000180a61c10 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
0000000180a18b08 (__TEXT,__text) non-external _addToMP
0000000180a4a194 (__TEXT,__text) non-external _addaster
0000000180a372d4 (__TEXT,__text) non-external _addcmd
0000000180a4a3a8 (__TEXT,__text) non-external _addtype
0000000180a4af1c (__TEXT,__text) non-external _addwaster
0000000180a1c168 (__TEXT,__text) non-external _advance_directory
0000000180a7ddc8 (__TEXT,__text) non-external _advance_directory.cold.1
0000000180a311ec (__TEXT,__text) external _alarm
0000000180a28710 (__TEXT,__text) non-external _alloc_segs
0000000180a36b60 (__TEXT,__text) external _alphasort
0000000180a815be (__TEXT,__const) non-external _ambig
0000000180a312e4 (__TEXT,__text) non-external _arc4_init
0000000180a7e350 (__TEXT,__text) non-external _arc4_init.cold.1
0000000180a31250 (__TEXT,__text) external _arc4random
0000000180a3124c (__TEXT,__text) external _arc4random_addrandom
0000000180a31294 (__TEXT,__text) external _arc4random_buf
0000000180a3132c (__TEXT,__text) external _arc4random_stir
0000000180a31330 (__TEXT,__text) external _arc4random_uniform
0000000180a6f1d8 (__TEXT,__text) non-external _arrayget
0000000180a58314 (__TEXT,__text) external _asctime
0000000180a581c8 (__TEXT,__text) external _asctime_r
0000000180a81427 (__TEXT,__const) non-external _asctime_r.mon_name
0000000180a81412 (__TEXT,__const) non-external _asctime_r.wday_name
0000000180a44c00 (__TEXT,__text) external _asprintf
0000000180a44c50 (__TEXT,__text) external _asprintf_l
0000000180a21958 (__TEXT,__text) external _asxprintf
0000000180a22368 (__TEXT,__text) external _asxprintf_exec
0000000180a70114 (__TEXT,__text) external _at_quick_exit
0000000180a61c68 (__TEXT,__text) external _atexit
0000000180a61dbc (__TEXT,__text) external _atexit_b
0000000182ba31a8 (__DATA,__data) non-external _atexit_mutex
0000000180a61c9c (__TEXT,__text) non-external _atexit_register
0000000180a7f11c (__TEXT,__text) non-external _atexit_register.cold.1
0000000180a6214c (__TEXT,__text) external _atof
0000000180a62174 (__TEXT,__text) external _atof_l
0000000180a62180 (__TEXT,__text) external _atoi
0000000180a621c0 (__TEXT,__text) external _atoi_l
0000000180a621e4 (__TEXT,__text) external _atol
0000000180a62210 (__TEXT,__text) external _atol_l
0000000180a62220 (__TEXT,__text) external _atoll
0000000180a6224c (__TEXT,__text) external _atoll_l
0000000180a194d0 (__TEXT,__text) external _backtrace
0000000180a19538 (__TEXT,__text) external _backtrace_async
0000000180a195b4 (__TEXT,__text) external _backtrace_from_fp
0000000182bc92d8 (__AUTH,__data) non-external _backtrace_get_pcs_func
0000000180a1961c (__TEXT,__text) external _backtrace_image_offsets
0000000180a194ac (__TEXT,__text) external _backtrace_set_pcs_func
0000000180a31458 (__TEXT,__text) external _basename
0000000182ba4210 (__DATA,__bss) non-external _basename.bname
0000000180a3137c (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
0000000180a1f41c (__TEXT,__text) external _bcopy
0000000180a18e30 (__TEXT,__text) non-external _bitCountMP
0000000180a7dd9c (__TEXT,__text) non-external _bitCountMP.cold.1
0000000180a812af (__TEXT,__const) non-external _blanks
0000000180a81370 (__TEXT,__const) non-external _blanks
0000000182ba3330 (__DATA,__data) non-external _blanks
0000000180a1d490 (__TEXT,__text) non-external _both_ftw
0000000182ba40a8 (__DATA,__bss) non-external _brapreg
0000000180a16a50 (__TEXT,__text) external _brk
0000000180a16a74 (__TEXT,__text) external _bsd_signal
0000000180a6225c (__TEXT,__text) external _bsearch
0000000180a622e4 (__TEXT,__text) external _bsearch_b
0000000180a2772c (__TEXT,__text) non-external _bt_broot
0000000180a27478 (__TEXT,__text) non-external _bt_page
0000000180a27894 (__TEXT,__text) non-external _bt_preserve
0000000180a278ec (__TEXT,__text) non-external _bt_psplit
0000000180a27394 (__TEXT,__text) non-external _bt_root
0000000180a2762c (__TEXT,__text) non-external _bt_rroot
0000000180a3aee0 (__TEXT,__text) external _btowc
0000000180a3ae24 (__TEXT,__text) external _btowc_l
0000000182ba5d88 (__DATA,__bss) non-external _buf_asctime
0000000180a4a4a0 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
0000000180a80178 (__TEXT,__const) non-external (was a private external) _cVersionNumber
0000000180a80150 (__TEXT,__const) non-external (was a private external) _cVersionString
0000000180a44a60 (__TEXT,__text) external _catclose
0000000180b82b08 (__DATA_CONST,__const) non-external _categories
0000000180a44788 (__TEXT,__text) external _catgets
0000000180a440b0 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
0000000180a38774 (__TEXT,__text) external _cfgetispeed
0000000180a3876c (__TEXT,__text) external _cfgetospeed
0000000180a387a0 (__TEXT,__text) external _cfmakeraw
0000000180a38788 (__TEXT,__text) external _cfsetispeed
0000000180a3877c (__TEXT,__text) external _cfsetospeed
0000000180a38794 (__TEXT,__text) external _cfsetspeed
0000000180a33b58 (__TEXT,__text) external _cgetcap
0000000180a34368 (__TEXT,__text) external _cgetclose
0000000180a33be4 (__TEXT,__text) external _cgetent
0000000180a342f8 (__TEXT,__text) external _cgetfirst
0000000180a34280 (__TEXT,__text) external _cgetmatch
0000000180a343b4 (__TEXT,__text) external _cgetnext
0000000180a34b1c (__TEXT,__text) external _cgetnum
0000000180a33ac0 (__TEXT,__text) external _cgetset
0000000180a34778 (__TEXT,__text) external _cgetstr
0000000180a34a1c (__TEXT,__text) external _cgetustr
0000000180a3be48 (__TEXT,__text) non-external _chainsearch
0000000180a81088 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
0000000180a1c40c (__TEXT,__text) non-external _check_env_var
0000000180a44c7c (__TEXT,__text) external _clearerr
0000000180a44cc0 (__TEXT,__text) external _clearerr_unlocked
0000000180a314c8 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
0000000180a1682c (__TEXT,__text) external _clock_getres
0000000180a1667c (__TEXT,__text) external _clock_gettime
0000000180a16458 (__TEXT,__text) external _clock_gettime_nsec_np
0000000182baeec4 (__DATA,__common) external _clock_port
0000000182baeec0 (__DATA,__common) external _clock_sem
0000000180a168d0 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
0000000180a1becc (__TEXT,__text) non-external _close_directory
0000000180a31538 (__TEXT,__text) external _closedir
0000000180b830d0 (__DATA_CONST,__const) non-external _cnames
0000000180a29b74 (__TEXT,__text) non-external _collect_data
0000000180a29d3c (__TEXT,__text) non-external _collect_key
0000000180a8153e (__TEXT,__const) non-external _command_substitution_str
0000000180a1c208 (__TEXT,__text) external _compat_mode
0000000180a196d8 (__TEXT,__text) external _confstr
0000000180a21e8c (__TEXT,__text) external _copy_printf_domain
0000000180a7bd40 (__TEXT,__text) external _creat
0000000180a23f6c (__TEXT,__text) external _creat$NOCANCEL
0000000180a315ac (__TEXT,__text) external _ctermid
0000000182ba2ae8 (__DATA,__data) non-external _ctermid.def
0000000180a315d8 (__TEXT,__text) external _ctermid_r
0000000180a5a128 (__TEXT,__text) external _ctime
0000000180a5a15c (__TEXT,__text) external _ctime_r
0000000182ba2c54 (__DATA,__data) non-external _current_categories
0000000180a405d0 (__TEXT,__text) non-external _currentlocale
0000000182ba44d0 (__DATA,__bss) non-external _currentlocale.current_locale_string
0000000182ba4108 (__DATA,__bss) non-external _curshell
0000000182ba3210 (__DATA,__data) non-external _dash_prefix
0000000182baef50 (__DATA,__common) external _daylight
0000000180a2bdd4 (__TEXT,__text) external _dbm_clearerr
0000000180a2bc04 (__TEXT,__text) external _dbm_close
0000000180a2bd48 (__TEXT,__text) external _dbm_delete
0000000180a2bde4 (__TEXT,__text) external _dbm_dirfno
0000000180a2bdc8 (__TEXT,__text) external _dbm_error
0000000180a2bc10 (__TEXT,__text) external _dbm_fetch
0000000180a2bc5c (__TEXT,__text) external _dbm_firstkey
0000000180a2bccc (__TEXT,__text) external _dbm_nextkey
0000000180a2bb18 (__TEXT,__text) external _dbm_open
0000000180a2bd84 (__TEXT,__text) external _dbm_store
0000000180a2805c (__TEXT,__text) external _dbopen
0000000182ba4280 (__DATA,__bss) non-external _dbp
0000000182ba40c8 (__DATA,__bss) non-external _decpreg
0000000180a816b0 (__TEXT,__const) non-external _degrees
0000000180a3b964 (__TEXT,__text) non-external _destruct_collate
0000000180a6ba34 (__TEXT,__text) non-external _destruct_ctype
0000000180a3e0ec (__TEXT,__text) non-external (was a private external) _destruct_ldpart
0000000180a21110 (__TEXT,__text) non-external _destruct_locale
0000000180a19bb4 (__TEXT,__text) external _devname
0000000182ba4028 (__DATA,__bss) non-external _devname.buf
0000000180a19a64 (__TEXT,__text) external _devname_r
0000000180a58320 (__TEXT,__text) external _difftime
0000000180a1e834 (__TEXT,__text) external _digittoint
0000000180a1eb34 (__TEXT,__text) external _digittoint_l
0000000180a23e78 (__TEXT,__text) external _dirfd
0000000180a316f4 (__TEXT,__text) external _dirname
0000000182ba4218 (__DATA,__bss) non-external _dirname.dname
0000000180a315f8 (__TEXT,__text) external _dirname_r
0000000180a6237c (__TEXT,__text) external _div
0000000182ba1df8 (__DATA,__data) non-external _dktypenames
0000000180a3a0b8 (__TEXT,__text) non-external _do_hvis
0000000180a3a1f0 (__TEXT,__text) non-external _do_mvis
0000000180a3a398 (__TEXT,__text) non-external _do_svis
0000000180a44cd0 (__TEXT,__text) external _dprintf
0000000180a44d20 (__TEXT,__text) external _dprintf_l
0000000180a31764 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
0000000180a205b0 (__TEXT,__text) external _duplocale
0000000180a21994 (__TEXT,__text) external _dxprintf
0000000180a223a8 (__TEXT,__text) external _dxprintf_exec
0000000180a6a4e4 (__TEXT,__text) external _ecvt
0000000182ba42e8 (__DATA,__bss) non-external _empty
0000000182ba42f8 (__DATA,__bss) non-external _empty
0000000182ba3258 (__DATA,__data) non-external _end_ptr
0000000180a1cd50 (__TEXT,__text) external _endttyent
0000000180a1d0bc (__TEXT,__text) external _endusershell
0000000180a62498 (__TEXT,__text) external _environ_lock_np
0000000182ba41a0 (__DATA,__bss) non-external _environ_pointer
0000000180a624a8 (__TEXT,__text) external _environ_unlock_np
0000000180a57544 (__TEXT,__text) non-external _eofread
0000000180a57974 (__TEXT,__text) non-external _eofread
0000000180a317e8 (__TEXT,__text) external _erand48
0000000180a7e488 (__TEXT,__text) external _err
0000000180a319c8 (__TEXT,__text) external _err_set_exit
0000000180a31a20 (__TEXT,__text) external _err_set_exit_b
0000000180a319a8 (__TEXT,__text) external _err_set_file
0000000180a7e5f4 (__TEXT,__text) external _errc
0000000180a7e614 (__TEXT,__text) external _errx
0000000180a80b60 (__TEXT,__const) non-external _escape
0000000180a31a7c (__TEXT,__text) external _execl
0000000180a31b5c (__TEXT,__text) external _execle
0000000180a31c44 (__TEXT,__text) external _execlp
0000000180a31d84 (__TEXT,__text) external _execv
0000000180a31dc0 (__TEXT,__text) external _execvP
0000000180a31e0c (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
0000000180a31d20 (__TEXT,__text) external _execvp
0000000180a623ac (__TEXT,__text) external _exit
0000000180a212dc (__TEXT,__text) non-external _extract_next_subsystem_root_path
0000000180a4618c (__TEXT,__text) external _f_prealloc
0000000180a17494 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
0000000180a44d4c (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
0000000180a6a6d0 (__TEXT,__text) external _fcvt
0000000180a44ec4 (__TEXT,__text) external _fdopen
0000000180a7c900 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
0000000180a35a50 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
0000000180a4504c (__TEXT,__text) external _feof
0000000180a45084 (__TEXT,__text) external _feof_unlocked
0000000180a45090 (__TEXT,__text) external _ferror
0000000180a450c8 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
0000000180a2ba78 (__TEXT,__text) non-external _fetch_bitmap
0000000180a1da4c (__TEXT,__text) external _fflagstostr
0000000180a450d4 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
0000000180a45374 (__TEXT,__text) external _fgetc
0000000180a4545c (__TEXT,__text) external _fgetln
0000000180a45608 (__TEXT,__text) external _fgetpos
0000000180a45638 (__TEXT,__text) external _fgets
0000000180a45814 (__TEXT,__text) external _fgetwc
0000000180a459a0 (__TEXT,__text) external _fgetwc_l
0000000180a45afc (__TEXT,__text) external _fgetwln
0000000180a45a24 (__TEXT,__text) external _fgetwln_l
0000000180a45cf0 (__TEXT,__text) external _fgetws
0000000180a45b20 (__TEXT,__text) external _fgetws_l
0000000182ba2ff8 (__DATA,__data) non-external _filelist_lock
0000000180a45d14 (__TEXT,__text) external _fileno
0000000180a45d48 (__TEXT,__text) external _fileno_unlocked
0000000180a48ef8 (__TEXT,__text) non-external _find_temp_path
0000000180a5de80 (__TEXT,__text) non-external _first_wday_of
0000000180a44b3c (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
0000000180a28f60 (__TEXT,__text) non-external _flush_meta
0000000180a60b38 (__TEXT,__text) external _fmemopen
0000000180a60ea4 (__TEXT,__text) non-external _fmemopen_close
