00000001d5a96d78 (__DATA,__data) non-external _C
00000001802f7188 (__TEXT,__text) external ___srget
00000001803008c4 (__TEXT,__text) external ___sseek
000000018033a664 (__TEXT,__text) external ___stack_chk_fail
00000001d6c26328 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
00000001d5a96ff8 (__DATA,__data) external ___stderrp
00000001d5a96fe8 (__DATA,__data) external ___stdinp
00000001803480e0 (__TEXT,__text) non-external (was a private external) ___stdio_init
00000001d5a98a98 (__DATA,__bss) non-external ___stdout_evp
00000001d5a96ff0 (__DATA,__data) external ___stdoutp
0000000180347f90 (__TEXT,__text) external ___stpcpy_chk
000000018034806c (__TEXT,__text) external ___stpncpy_chk
00000001802d90a0 (__TEXT,__text) external ___strcat_chk
000000018031ec48 (__TEXT,__text) external ___strcp_D2A
00000001802e03ec (__TEXT,__text) external ___strcpy_chk
00000001d6c24ac8 (__DATA_DIRTY,__bss) non-external ___stream_max
00000001d5a98c80 (__DATA,__bss) non-external ___strerror_ebuf
00000001802dc818 (__TEXT,__text) external ___strlcat_chk
00000001802d88a8 (__TEXT,__text) external ___strlcpy_chk
00000001802d9b44 (__TEXT,__text) external ___strncat_chk
00000001802df308 (__TEXT,__text) external ___strncpy_chk
00000001802ff528 (__TEXT,__text) external ___sum_D2A
0000000180331d2c (__TEXT,__text) external ___svfscanf
00000001802dca48 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
000000018034ca90 (__TEXT,__const) non-external ___svfscanf_l.basefix
0000000180303278 (__TEXT,__text) external ___swbuf
00000001802e6e38 (__TEXT,__text) external ___swhatbuf
000000018030274c (__TEXT,__text) external ___swrite
00000001802f2ea0 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00000001d5a970f0 (__DATA,__data) non-external ___systemfn_mutex
00000001d5a971e8 (__DATA,__data) non-external ___systemfn_mutex
000000018034c250 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
000000018030bc98 (__TEXT,__text) non-external ___thread_stack_async_pcs
000000018030ba8c (__TEXT,__text) non-external ___thread_stack_pcs
00000001802f5198 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00000001d5a98c78 (__DATA,__bss) non-external ___time_load_locale.cache
000000018034c228 (__TEXT,__const) external ___tinytens_D2A
00000001802d9c70 (__TEXT,__text) external ___tolower
0000000180328494 (__TEXT,__text) external ___tolower_l
00000001802d9cac (__TEXT,__text) external ___toupper
0000000180328474 (__TEXT,__text) external ___toupper_l
00000001802ff670 (__TEXT,__text) external ___trailz_D2A
00000001802f7f9c (__TEXT,__text) external ___ulp_D2A
00000001802d8154 (__TEXT,__text) non-external ___ultoa
0000000180334ae8 (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
00000001802f7250 (__TEXT,__text) external ___ungetc
000000018033119c (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00000001802d8ca8 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
000000018034cf21 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
0000000180343214 (__TEXT,__text) non-external (was a private external) ___utmpxname
00000001d5a98d40 (__DATA,__bss) non-external ___utx__
000000018034bf28 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00000001802d4c0c (__TEXT,__text) non-external (was a private external) ___v2printf
00000001802d4f48 (__TEXT,__text) non-external (was a private external) ___vfprintf
00000001803496f4 (__TEXT,__text) non-external ___vfprintf.cold.1
000000018034ca4f (__TEXT,__const) non-external ___vfprintf.xdigs_lower
000000018034ca5f (__TEXT,__const) non-external ___vfprintf.xdigs_upper
0000000180331f80 (__TEXT,__text) non-external (was a private external) ___vfwprintf
000000018034cab4 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
000000018034cac4 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
0000000180335090 (__TEXT,__text) non-external (was a private external) ___vfwscanf
000000018034cbb0 (__TEXT,__const) non-external ___vfwscanf.basefix
00000001802e48fc (__TEXT,__text) external ___vsnprintf_chk
0000000180347f20 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
0000000180328f94 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
0000000180328d10 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
0000000180328388 (__TEXT,__text) external ___wcwidth
00000001803284b4 (__TEXT,__text) external ___wcwidth_l
00000001802f3c00 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00000001802f12f0 (__TEXT,__text) non-external (was a private external) ___xlocale_init
000000018030faa0 (__TEXT,__text) non-external ___xlocale_release
000000018030092c (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
0000000180348674 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00000001d5a96d80 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
0000000180342008 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00000001802e44e8 (__TEXT,__text) non-external (was a private external) ___xvprintf
000000018033cfd4 (__TEXT,__text) external __allocenvstate
000000018031ecb0 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00000001803259cc (__TEXT,__text) non-external (was a private external) __ascii_init
0000000180325a30 (__TEXT,__text) non-external __ascii_mbrtowc
0000000180325a8c (__TEXT,__text) non-external __ascii_mbsinit
0000000180325a94 (__TEXT,__text) non-external __ascii_mbsnrtowcs
0000000180325b58 (__TEXT,__text) non-external __ascii_wcrtomb
0000000180325b94 (__TEXT,__text) non-external __ascii_wcsnrtombs
000000018030b248 (__TEXT,__text) external __atexit_receipt
00000001d5a980a0 (__DATA,__bss) non-external __atexit_receipt_enabled
00000001802e5ab8 (__TEXT,__text) non-external __backtrace_snprintf
0000000180305a64 (__TEXT,__text) non-external __boottime_fallback_usec
00000001d3911788 (__DATA_CONST,__const) external __c_locale
00000001802fa0a0 (__TEXT,__text) external __cleanup
000000018030d190 (__TEXT,__text) external __closeutx
000000018033cfd8 (__TEXT,__text) external __copyenv
00000001d70bd3c8 (__AUTH,__data) external __cthread_init_routine
000000018033d060 (__TEXT,__text) external __deallocenvstate
0000000180300534 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00000001d5a98d68 (__DATA,__common) non-external (was a private external) __e_err_exit
00000001d5a98d60 (__DATA,__common) non-external (was a private external) __e_err_file
000000018031ef20 (__TEXT,__text) non-external (was a private external) __e_visprintf
00000001803426c4 (__TEXT,__text) external __endutxent
000000018034a000 (__TEXT,__text) non-external __endutxent.cold.1
000000018034a038 (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
0000000180305ce4 (__TEXT,__text) non-external __ffpp_strtoencf32_l
000000018034812c (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
0000000180348158 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
000000018034b570 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
0000000180305fb0 (__TEXT,__text) non-external __ffpp_strtoencf64_l
0000000180348184 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
00000001803481b0 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
00000001803481dc (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
000000018034b910 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
00000001803223b0 (__TEXT,__text) non-external (was a private external) __filldir
0000000180324618 (__TEXT,__text) non-external (was a private external) __fixtelldir
000000018032d618 (__TEXT,__text) external __flockfile_debug_stub
00000001803023d0 (__TEXT,__text) external __fseeko
000000018030074c (__TEXT,__text) external __ftello
00000001802fa0b4 (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
000000018033a80c (__TEXT,__text) external __getenvp
00000001803429e4 (__TEXT,__text) external __getutxent
000000018034a070 (__TEXT,__text) non-external __getutxent.cold.1
000000018034a0a8 (__TEXT,__text) non-external __getutxent.cold.2
0000000180342a94 (__TEXT,__text) external __getutxid
000000018034a0e0 (__TEXT,__text) non-external __getutxid.cold.1
000000018034a118 (__TEXT,__text) non-external __getutxid.cold.2
0000000180342c98 (__TEXT,__text) external __getutxline
000000018034a150 (__TEXT,__text) non-external __getutxline.cold.1
000000018034a188 (__TEXT,__text) non-external __getutxline.cold.2
00000001802e3c3c (__TEXT,__text) external __inet_aton_check
00000001802f1278 (__TEXT,__text) external __init_clock_port
0000000180337b9c (__TEXT,__text) external __int_to_time
00000001802df43c (__TEXT,__text) non-external __isort
000000018033b8e0 (__TEXT,__text) non-external __isort
000000018033cf28 (__TEXT,__text) non-external __legacy_crt1_environ
00000001d6c24a90 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00000001d5a986a8 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00000001d6c24a88 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00000001d5a986a0 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00000001d6c24a80 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00000001d5a98698 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
0000000180312b34 (__TEXT,__text) external __libc_fork_child
00000001802f11c4 (__TEXT,__text) non-external (was a private external) __libc_fork_init
0000000180312b30 (__TEXT,__text) external __libc_fork_parent
0000000180312b2c (__TEXT,__text) external __libc_fork_prepare
00000001802f1120 (__TEXT,__text) external __libc_initializer
0000000180327b24 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
0000000180327afc (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
0000000180327ad4 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
0000000180337b94 (__TEXT,__text) external __long_to_time
0000000180305898 (__TEXT,__text) non-external __mach_boottime_usec
000000018030b25c (__TEXT,__text) non-external (was a private external) __maybe_call_atexit_receipt_handler
00000001d5a980a4 (__DATA,__bss) non-external __maybe_call_atexit_receipt_handler.already_did
00000001d6c24a78 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
00000001802ff330 (__TEXT,__text) non-external __mkdtemp_action
0000000180304aa4 (__TEXT,__text) non-external __mkfilex_np
00000001802f0bac (__TEXT,__text) non-external __mkostemps_action
00000001802e0c54 (__TEXT,__text) non-external __mkpath
0000000180300204 (__TEXT,__text) external __mkpath_np
000000018032ef40 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00000001803495b0 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
000000018032ee60 (__TEXT,__text) external __mktemp
00000001802e76c8 (__TEXT,__text) non-external __mktemp_action
00000001803284f8 (__TEXT,__text) non-external (was a private external) __none_init
00000001802fc9f8 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
000000018032855c (__TEXT,__text) non-external (was a private external) __none_mbsinit
0000000180328564 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00000001802fa064 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00000001803285f8 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00000001d5a98850 (__DATA,__bss) non-external __onlyClocaleconv
000000018030d0f4 (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
000000018034871c (__TEXT,__text) external __os_assert_log
00000001803489a4 (__TEXT,__text) external __os_assert_log_ctx
00000001802f6cd4 (__TEXT,__text) external __os_assumes_log
000000018034885c (__TEXT,__text) external __os_assumes_log_ctx
00000001802def54 (__TEXT,__text) external __os_avoid_tail_call
00000001803486ac (__TEXT,__text) external __os_crash
00000001d5a98d50 (__DATA,__common) external __os_crash_callback
0000000180313acc (__TEXT,__text) external __os_crash_fmt
0000000180348ac4 (__TEXT,__text) non-external __os_crash_fmt.cold.1
0000000180313a58 (__TEXT,__text) external __os_crash_msg
0000000180348534 (__TEXT,__text) external __os_debug_log
000000018030d3c8 (__TEXT,__text) external __os_debug_log_error_offset
00000001802f6f20 (__TEXT,__text) external __os_debug_log_error_str
00000001802f6f34 (__TEXT,__text) non-external __os_debug_log_init
000000018030d46c (__TEXT,__text) non-external __os_debug_log_open_file
000000018030d218 (__TEXT,__text) non-external __os_debug_log_write
000000018030d3d8 (__TEXT,__text) non-external __os_debug_log_write_error
0000000180313c20 (__TEXT,__text) non-external __os_get_build
0000000180313b74 (__TEXT,__text) non-external __os_get_image_uuid
                 (undefined) external __os_log_default (from libsystem_trace)
00000001802f6e30 (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_log_send_and_compose_impl (from libsystem_trace)
                 (undefined) external __os_once (from libsystem_platform)
00000001802d87c8 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00000001802d833c (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00000001802d8730 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00000001daad2038 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
000000018034ef51 (__TEXT,__cstring) non-external __printf_tbl_flags
00000001802f118c (__TEXT,__text) non-external (was a private external) __program_vars_init
000000018033e424 (__TEXT,__text) non-external __psort
000000018033ef54 (__TEXT,__text) non-external __psort
000000018033fa04 (__TEXT,__text) non-external __psort
0000000180349c14 (__TEXT,__text) non-external __psort.cold.1
0000000180349c64 (__TEXT,__text) non-external __psort.cold.1
0000000180349cb4 (__TEXT,__text) non-external __psort.cold.1
000000018033e3b8 (__TEXT,__text) non-external __psort_parallel
000000018033eee8 (__TEXT,__text) non-external __psort_parallel
000000018033f994 (__TEXT,__text) non-external __psort_parallel
000000018033ae74 (__TEXT,__text) external __putenvp
0000000180342da0 (__TEXT,__text) external __pututxline
000000018034a1c0 (__TEXT,__text) non-external __pututxline.cold.1
000000018034a1f8 (__TEXT,__text) non-external __pututxline.cold.2
000000018030bd78 (__TEXT,__text) non-external __pwuid_r
00000001802ff97c (__TEXT,__text) non-external __qsort
000000018033afa4 (__TEXT,__text) non-external __qsort
00000001d5a96db0 (__DATA,__data) external __rand48_add
00000001d5a96da8 (__DATA,__data) external __rand48_mult
00000001d5a96da0 (__DATA,__data) external __rand48_seed
0000000180322b4c (__TEXT,__text) external __readdir_unlocked
00000001802d986c (__TEXT,__text) external __reclaim_telldir
00000001802e684c (__TEXT,__text) non-external __releaselocale
000000018034ce54 (__TEXT,__const) non-external (was a private external) __rp_alist
00000001d6c26370 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
000000018032455c (__TEXT,__text) external __seekdir
000000018033d0bc (__TEXT,__text) external __setenvp
000000018034259c (__TEXT,__text) external __setutxent
0000000180349f90 (__TEXT,__text) non-external __setutxent.cold.1
0000000180349fc8 (__TEXT,__text) non-external __setutxent.cold.2
0000000180312cb8 (__TEXT,__text) external __sigaction_nobind
00000001d5a98d88 (__DATA,__common) external __sigintr
0000000180323f7c (__TEXT,__text) external __signal_nobind
0000000180305738 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
0000000180323df4 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00000001802de944 (__TEXT,__text) external __sread
00000001802e7014 (__TEXT,__text) external __sseek
00000001802f1a88 (__TEXT,__text) non-external (was a private external) __st_fmt
0000000180311a40 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00000001802dbd04 (__TEXT,__text) non-external (was a private external) __st_localsub
00000001802dbcf8 (__TEXT,__text) non-external (was a private external) __st_set_timezone
00000001802e96c8 (__TEXT,__text) non-external (was a private external) __st_time1
00000001802d9e34 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00000001803434a0 (__TEXT,__text) non-external __strfmon
00000001802f83b0 (__TEXT,__text) non-external __strptime0
000000018034cca4 (__TEXT,__const) non-external __strptime0.start_of_month
0000000180311284 (__TEXT,__text) external __subsystem_init
00000001802e46c8 (__TEXT,__text) external __swrite
000000018030bc54 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00000001802e0b80 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
0000000180337b7c (__TEXT,__text) external __time32_to_time
0000000180337b88 (__TEXT,__text) external __time64_to_time
0000000180337b98 (__TEXT,__text) external __time_to_int
0000000180337b90 (__TEXT,__text) external __time_to_long
0000000180337b84 (__TEXT,__text) external __time_to_time32
0000000180337b8c (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
000000018033d14c (__TEXT,__text) external __unsetenvp
000000018030d01c (__TEXT,__text) non-external (was a private external) __utmpx32_64
000000018030d088 (__TEXT,__text) non-external (was a private external) __utmpx64_32
000000018030bfe4 (__TEXT,__text) non-external (was a private external) __utmpx_asl
000000018034cf32 (__TEXT,__const) non-external (was a private external) __utmpx_vers
000000018030c40c (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00000001d5a980a8 (__DATA,__bss) non-external __utmpx_working_copy.idzero
00000001803432d8 (__TEXT,__text) external __utmpxname
000000018034a230 (__TEXT,__text) non-external __utmpxname.cold.1
000000018034a268 (__TEXT,__text) non-external __utmpxname.cold.2
00000001802ff7fc (__TEXT,__text) non-external (was a private external) __vasprintf
0000000180303e64 (__TEXT,__text) non-external (was a private external) __vdprintf
00000001802ff6e4 (__TEXT,__text) non-external (was a private external) __vsnprintf
00000001802f284c (__TEXT,__text) non-external __yconv
000000018033a6c4 (__TEXT,__text) external _a64l
000000018034bb20 (__TEXT,__const) non-external _a64toi
000000018034998c (__TEXT,__text) external _abort
0000000180349af8 (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
000000018033a790 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
0000000180310218 (__TEXT,__text) external _acl_add_flag_np
00000001803102c8 (__TEXT,__text) external _acl_add_perm
000000018030fbcc (__TEXT,__text) external _acl_calc_mask
000000018031022c (__TEXT,__text) external _acl_clear_flags_np
0000000180310314 (__TEXT,__text) external _acl_clear_perms
000000018030fbf0 (__TEXT,__text) external _acl_copy_entry
0000000180310540 (__TEXT,__text) external _acl_copy_ext
00000001802e0998 (__TEXT,__text) external _acl_copy_ext_native
0000000180310628 (__TEXT,__text) external _acl_copy_int
0000000180304534 (__TEXT,__text) external _acl_copy_int_native
000000018030fd54 (__TEXT,__text) external _acl_create_entry
000000018030fc70 (__TEXT,__text) external _acl_create_entry_np
00000001803101f4 (__TEXT,__text) external _acl_delete_def_file
000000018030fd5c (__TEXT,__text) external _acl_delete_entry
0000000180310004 (__TEXT,__text) external _acl_delete_fd_np
0000000180310028 (__TEXT,__text) external _acl_delete_file_np
0000000180310238 (__TEXT,__text) external _acl_delete_flag_np
000000018031004c (__TEXT,__text) external _acl_delete_link_np
0000000180310320 (__TEXT,__text) external _acl_delete_perm
00000001802e08b0 (__TEXT,__text) external _acl_dup
00000001d3911790 (__DATA_CONST,__const) non-external _acl_flags
00000001802e0a70 (__TEXT,__text) external _acl_free
00000001803106f0 (__TEXT,__text) external _acl_from_text
000000018030554c (__TEXT,__text) external _acl_get_entry
0000000180310070 (__TEXT,__text) external _acl_get_fd
00000001802ff364 (__TEXT,__text) external _acl_get_fd_np
00000001802fdf4c (__TEXT,__text) external _acl_get_file
00000001802fdf54 (__TEXT,__text) non-external _acl_get_file1
0000000180305678 (__TEXT,__text) external _acl_get_flag_np
0000000180305608 (__TEXT,__text) external _acl_get_flagset_np
0000000180310078 (__TEXT,__text) external _acl_get_link_np
000000018031036c (__TEXT,__text) external _acl_get_perm_np
00000001803103b0 (__TEXT,__text) external _acl_get_permset
000000018031047c (__TEXT,__text) external _acl_get_permset_mask_np
000000018030fe58 (__TEXT,__text) external _acl_get_qualifier
000000018030fed8 (__TEXT,__text) external _acl_get_tag_type
00000001803045e4 (__TEXT,__text) external _acl_init
0000000180310468 (__TEXT,__text) external _acl_maximal_permset_mask_np
00000001d3911850 (__DATA_CONST,__const) non-external _acl_perms
00000001803100f8 (__TEXT,__text) external _acl_set_fd
0000000180310080 (__TEXT,__text) external _acl_set_fd_np
00000001803100fc (__TEXT,__text) external _acl_set_file
000000018031024c (__TEXT,__text) external _acl_set_flagset_np
0000000180310174 (__TEXT,__text) external _acl_set_link_np
000000018031040c (__TEXT,__text) external _acl_set_permset
00000001803104d8 (__TEXT,__text) external _acl_set_permset_mask_np
000000018030ff34 (__TEXT,__text) external _acl_set_qualifier
000000018030ffa0 (__TEXT,__text) external _acl_set_tag_type
00000001802e092c (__TEXT,__text) external _acl_size
0000000180310d34 (__TEXT,__text) external _acl_to_text
000000018030fb10 (__TEXT,__text) external _acl_valid
000000018030fb60 (__TEXT,__text) external _acl_valid_fd_np
000000018030fb84 (__TEXT,__text) external _acl_valid_file_np
000000018030fba8 (__TEXT,__text) external _acl_valid_link
0000000180307978 (__TEXT,__text) non-external _addToMP
000000018032fa50 (__TEXT,__text) non-external _addaster
0000000180323cfc (__TEXT,__text) non-external _addcmd
000000018032aab4 (__TEXT,__text) external _addr2ascii
00000001d5a98a38 (__DATA,__bss) non-external _addr2ascii.staticbuf
000000018032fc3c (__TEXT,__text) non-external _addtype
0000000180330798 (__TEXT,__text) non-external _addwaster
00000001802e83c0 (__TEXT,__text) non-external _advance_directory
0000000180348518 (__TEXT,__text) non-external _advance_directory.cold.1
00000001802fe048 (__TEXT,__text) external _alarm
0000000180318430 (__TEXT,__text) non-external _alloc_segs
00000001803235a8 (__TEXT,__text) external _alphasort
000000018034cda4 (__TEXT,__const) non-external _ambig
00000001802d46e4 (__TEXT,__text) non-external _arc4_init
0000000180348b64 (__TEXT,__text) non-external _arc4_init.cold.1
00000001802df3fc (__TEXT,__text) external _arc4random
000000018031ecac (__TEXT,__text) external _arc4random_addrandom
00000001802d4698 (__TEXT,__text) external _arc4random_buf
00000001802fef00 (__TEXT,__text) external _arc4random_stir
00000001802e4aa0 (__TEXT,__text) external _arc4random_uniform
00000001d5a98d10 (__DATA,__bss) non-external _arg_type_queue
0000000180341e00 (__TEXT,__text) non-external (was a private external) _arrayfree
0000000180301304 (__TEXT,__text) non-external _arrayget
000000018032ab90 (__TEXT,__text) external _ascii2addr
00000001802fcc70 (__TEXT,__text) external _asctime
00000001802f17a0 (__TEXT,__text) external _asctime_r
000000018034cbe7 (__TEXT,__const) non-external _asctime_r.mon_name
000000018034cbd2 (__TEXT,__const) non-external _asctime_r.wday_name
                 (undefined) external _asl_append (from libsystem_asl)
                 (undefined) external _asl_get (from libsystem_asl)
                 (undefined) external _asl_match (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_next (from libsystem_asl)
                 (undefined) external _asl_open (from libsystem_asl)
                 (undefined) external _asl_release (from libsystem_asl)
                 (undefined) external _asl_send (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asl_set_query (from libsystem_asl)
00000001802e0160 (__TEXT,__text) external _asprintf
000000018032d664 (__TEXT,__text) external _asprintf_l
0000000180311a4c (__TEXT,__text) external _asxprintf
0000000180312198 (__TEXT,__text) external _asxprintf_exec
00000001802f8114 (__TEXT,__text) external _atexit
00000001802fa138 (__TEXT,__text) external _atexit_b
00000001d6c24980 (__DATA_DIRTY,__data) non-external _atexit_mutex
00000001802d9164 (__TEXT,__text) non-external _atexit_register
0000000180349b4c (__TEXT,__text) non-external _atexit_register.cold.1
0000000180304434 (__TEXT,__text) external _atof
00000001802f2fb8 (__TEXT,__text) external _atof_l
00000001802df6d8 (__TEXT,__text) external _atoi
000000018033a7a0 (__TEXT,__text) external _atoi_l
00000001802e7854 (__TEXT,__text) external _atol
000000018033a7c4 (__TEXT,__text) external _atol_l
00000001802e107c (__TEXT,__text) external _atoll
000000018033a7d4 (__TEXT,__text) external _atoll_l
00000001802e0af8 (__TEXT,__text) external _backtrace
0000000180308120 (__TEXT,__text) external _backtrace_async
000000018030818c (__TEXT,__text) external _backtrace_from_fp
00000001d70bd3a0 (__AUTH,__data) non-external _backtrace_get_pcs_func
00000001802e7324 (__TEXT,__text) external _backtrace_image_offsets
0000000180308100 (__TEXT,__text) external _backtrace_set_pcs_func
00000001802e591c (__TEXT,__text) external _backtrace_symbols
00000001803081f4 (__TEXT,__text) external _backtrace_symbols_fd
00000001802e72c4 (__TEXT,__text) external _basename
00000001d6c24ab0 (__DATA_DIRTY,__bss) non-external _basename.bname
00000001802e6a2c (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00000001802d47c8 (__TEXT,__text) external _bcopy
0000000180307ca4 (__TEXT,__text) non-external _bitCountMP
0000000180348444 (__TEXT,__text) non-external _bitCountMP.cold.1
000000018034ca6f (__TEXT,__const) non-external _blanks
000000018034cb30 (__TEXT,__const) non-external _blanks
00000001d5a971c4 (__DATA,__data) non-external _blanks
                 (undefined) external _bootstrap_parent (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
000000018030b2e0 (__TEXT,__text) non-external _both_ftw
00000001d5a98028 (__DATA,__bss) non-external _brapreg
0000000180305b78 (__TEXT,__text) external _brk
0000000180305b9c (__TEXT,__text) external _bsd_signal
00000001802d9bec (__TEXT,__text) external _bsearch
00000001802e26a0 (__TEXT,__text) external _bsearch_b
00000001803174e8 (__TEXT,__text) non-external _bt_broot
0000000180317238 (__TEXT,__text) non-external _bt_page
0000000180317654 (__TEXT,__text) non-external _bt_preserve
00000001803176ac (__TEXT,__text) non-external _bt_psplit
0000000180317154 (__TEXT,__text) non-external _bt_root
00000001803173e0 (__TEXT,__text) non-external _bt_rroot
0000000180304dc0 (__TEXT,__text) external _btowc
0000000180304de4 (__TEXT,__text) external _btowc_l
00000001d5a98ac8 (__DATA,__bss) non-external _buf_asctime
000000018032fd20 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
000000018034b2f8 (__TEXT,__const) non-external (was a private external) _cVersionNumber
