00007ff80ab37c5c (__TEXT,__text) non-external _CCGCMSymmInit
00007ff80ab3aefc (__TEXT,__text) external _tls_handshake_get_peer_acceptable_client_auth_type
00007ff80ab3af11 (__TEXT,__text) external _tls_handshake_get_peer_acceptable_dn_list
00007ff80ab353bd (__TEXT,__text) external _tls_handshake_get_peer_alpn_data
00007ff80ab35b16 (__TEXT,__text) external _tls_handshake_get_peer_certificates
00007ff80ab3063c (__TEXT,__text) external _tls_handshake_get_peer_hostname
00007ff80ab353d7 (__TEXT,__text) external _tls_handshake_get_peer_npn_data
00007ff80ab3af33 (__TEXT,__text) external _tls_handshake_get_peer_ocsp_enabled
00007ff80ab3af4c (__TEXT,__text) external _tls_handshake_get_peer_ocsp_request_extensions
00007ff80ab3af3f (__TEXT,__text) external _tls_handshake_get_peer_ocsp_responder_id_list
00007ff80ab366ca (__TEXT,__text) external _tls_handshake_get_peer_ocsp_response
00007ff80ab3af26 (__TEXT,__text) external _tls_handshake_get_peer_psk_identity
00007ff80ab3af1e (__TEXT,__text) external _tls_handshake_get_peer_psk_identity_hint
00007ff80ab3aee7 (__TEXT,__text) external _tls_handshake_get_peer_requested_ciphersuites
00007ff80ab3af72 (__TEXT,__text) external _tls_handshake_get_peer_requested_ecdh_curves
00007ff80ab3af66 (__TEXT,__text) external _tls_handshake_get_peer_sct_enabled
00007ff80ab366bd (__TEXT,__text) external _tls_handshake_get_peer_sct_list
00007ff80ab353f1 (__TEXT,__text) external _tls_handshake_get_peer_signature_algorithms
00007ff80ab3ac27 (__TEXT,__text) external _tls_handshake_get_server_identity_change
00007ff80ab3ae62 (__TEXT,__text) external _tls_handshake_get_server_random
00007ff80ab3aeb4 (__TEXT,__text) external _tls_handshake_get_session_match
00007ff80ab3ae89 (__TEXT,__text) external _tls_handshake_get_session_proposed
00007ff80ab3b07e (__TEXT,__text) external _tls_handshake_get_session_warning
00007ff80ab3aeda (__TEXT,__text) external _tls_handshake_get_sni_hostname
00007ff80ab3aff0 (__TEXT,__text) external _tls_handshake_internal_client_random
00007ff80ab3af87 (__TEXT,__text) external _tls_handshake_internal_master_secret
00007ff80ab37060 (__TEXT,__text) external _tls_handshake_internal_prf
00007ff80ab3afc1 (__TEXT,__text) external _tls_handshake_internal_server_random
00007ff80ab3b01f (__TEXT,__text) external _tls_handshake_internal_set_master_secret_function
00007ff80ab3b035 (__TEXT,__text) external _tls_handshake_internal_set_session_ticket
00007ff80ab30667 (__TEXT,__text) external _tls_handshake_negotiate
00007ff80ab34039 (__TEXT,__text) external _tls_handshake_process
00007ff80ab3ad9a (__TEXT,__text) external _tls_handshake_request_renegotiation
00007ff80ab3adf0 (__TEXT,__text) external _tls_handshake_retransmit_timer_expired
00007ff80ab3adfa (__TEXT,__text) external _tls_handshake_send_alert
00007ff80ab3aad7 (__TEXT,__text) external _tls_handshake_set_acceptable_client_auth_type
00007ff80ab3aab6 (__TEXT,__text) external _tls_handshake_set_acceptable_dn_list
00007ff80ab3abdc (__TEXT,__text) external _tls_handshake_set_alpn_data
00007ff80ab30342 (__TEXT,__text) external _tls_handshake_set_callbacks
00007ff80ab3a896 (__TEXT,__text) external _tls_handshake_set_ciphersuites
00007ff80ab2fd75 (__TEXT,__text) non-external _tls_handshake_set_ciphersuites_internal
00007ff80ab3a8e2 (__TEXT,__text) external _tls_handshake_set_client_auth
00007ff80ab3aaa8 (__TEXT,__text) external _tls_handshake_set_client_auth_type
00007ff80ab2fcdc (__TEXT,__text) external _tls_handshake_set_config
00007ff80ab30133 (__TEXT,__text) external _tls_handshake_set_curves
00007ff80ab3a90b (__TEXT,__text) external _tls_handshake_set_dh_parameters
00007ff80ab3a887 (__TEXT,__text) external _tls_handshake_set_ems_enable
00007ff80ab3aa2f (__TEXT,__text) external _tls_handshake_set_encrypt_rsa_public_key
00007ff80ab3ac37 (__TEXT,__text) external _tls_handshake_set_fallback
00007ff80ab3ab72 (__TEXT,__text) external _tls_handshake_set_false_start
00007ff80ab3a988 (__TEXT,__text) external _tls_handshake_set_identity
00007ff80ab30516 (__TEXT,__text) external _tls_handshake_set_max_protocol_version
00007ff80ab30544 (__TEXT,__text) external _tls_handshake_set_min_dh_group_size
00007ff80ab304f5 (__TEXT,__text) external _tls_handshake_set_min_protocol_version
00007ff80ab3a8f1 (__TEXT,__text) external _tls_handshake_set_mtu
00007ff80ab3aba0 (__TEXT,__text) external _tls_handshake_set_npn_data
00007ff80ab3ab91 (__TEXT,__text) external _tls_handshake_set_npn_enable
00007ff80ab30381 (__TEXT,__text) external _tls_handshake_set_ocsp_enable
00007ff80ab3ac85 (__TEXT,__text) external _tls_handshake_set_ocsp_request_extensions
00007ff80ab3ac56 (__TEXT,__text) external _tls_handshake_set_ocsp_responder_id_list
00007ff80ab3acc1 (__TEXT,__text) external _tls_handshake_set_ocsp_response
00007ff80ab3ab3b (__TEXT,__text) external _tls_handshake_set_peer_ec_public_key
00007ff80ab30567 (__TEXT,__text) external _tls_handshake_set_peer_hostname
00007ff80ab35b20 (__TEXT,__text) external _tls_handshake_set_peer_rsa_public_key
00007ff80ab366e4 (__TEXT,__text) external _tls_handshake_set_peer_trust
00007ff80ab3aa69 (__TEXT,__text) external _tls_handshake_set_psk_identity
00007ff80ab3aa83 (__TEXT,__text) external _tls_handshake_set_psk_identity_hint
00007ff80ab3aa8e (__TEXT,__text) external _tls_handshake_set_psk_secret
00007ff80ab3a8d3 (__TEXT,__text) external _tls_handshake_set_renegotiation
00007ff80ab30658 (__TEXT,__text) external _tls_handshake_set_resumption
00007ff80ab30372 (__TEXT,__text) external _tls_handshake_set_sct_enable
00007ff80ab3acec (__TEXT,__text) external _tls_handshake_set_sct_list
00007ff80ab3ac18 (__TEXT,__text) external _tls_handshake_set_server_identity_change
00007ff80ab3a8c4 (__TEXT,__text) external _tls_handshake_set_session_ticket_enabled
00007ff80ab3b08a (__TEXT,__text) external _tls_handshake_set_session_warning
00007ff80ab301f6 (__TEXT,__text) external _tls_handshake_set_sigalgs
00007ff80ab3ad37 (__TEXT,__text) external _tls_handshake_set_user_agent
00007ff80ab302ba (__TEXT,__text) non-external (was a private external) _tls_handshake_sigalg_is_supported
00007ff80ab38795 (__TEXT,__text) non-external (was a private external) _tls_metric_client_finished
00007ff80ab3958f (__TEXT,__text) non-external (was a private external) _tls_metric_destroyed
00007ff80ab3a090 (__TEXT,__text) non-external _tls_metric_event_add_string
00007ff80ab3a21e (__TEXT,__text) non-external _tls_metric_event_done
00007ff80ab39de1 (__TEXT,__text) non-external _tls_metric_event_new
00007ff80ab3cc71 (__TEXT,__text) non-external (was a private external) _tls_metric_insecure_dh_param
00007ff80ab417fc (__TEXT,__text) non-external _tls_metric_insecure_dh_param.cold.1
00007ff80ab3a7ab (__TEXT,__text) external _tls_private_key_create
00007ff80ab3a85d (__TEXT,__text) external _tls_private_key_destroy
00007ff80ab3a80b (__TEXT,__text) external _tls_private_key_ecdsa_create
00007ff80ab3a854 (__TEXT,__text) external _tls_private_key_get_context
00007ff80ab3a76d (__TEXT,__text) external _tls_private_key_rsa_create
00007ff80ab384bb (__TEXT,__text) external _tls_record_advance_read_cipher
00007ff80ab37feb (__TEXT,__text) external _tls_record_advance_write_cipher
00007ff80ab30393 (__TEXT,__text) external _tls_record_create
00007ff80ab33ad8 (__TEXT,__text) external _tls_record_decrypt
00007ff80ab33a70 (__TEXT,__text) external _tls_record_decrypted_size
00007ff80ab39653 (__TEXT,__text) external _tls_record_destroy
00007ff80ab3354e (__TEXT,__text) external _tls_record_encrypt
00007ff80ab3342c (__TEXT,__text) external _tls_record_encrypted_size
00007ff80ab334e1 (__TEXT,__text) non-external _tls_record_encrypted_size_1
00007ff80ab339da (__TEXT,__text) external _tls_record_get_header_size
00007ff80ab37a4f (__TEXT,__text) external _tls_record_init_pending_ciphers
00007ff80ab339f0 (__TEXT,__text) external _tls_record_parse_header
00007ff80ab3a3fe (__TEXT,__text) external _tls_record_parse_ssl2_header
00007ff80ab3a30e (__TEXT,__text) external _tls_record_rollback_write_cipher
00007ff80ab32a9d (__TEXT,__text) external _tls_record_set_protocol_version
00007ff80ab37fdc (__TEXT,__text) external _tls_record_set_record_splitting
00007ff80ab3a44d (__TEXT,__text) external _tls_stream_parser_create
00007ff80ab3a5be (__TEXT,__text) external _tls_stream_parser_destroy
00007ff80ab3a47b (__TEXT,__text) external _tls_stream_parser_parse
00007ff84226ead0 (__DATA,__const) non-external _top_bundles
                 (undefined) external _vasprintf (from libSystem)
                 (undefined) external _xpc_bool_get_value (from libSystem)
                 (undefined) external _xpc_create_from_plist (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
                 (undefined) external _xpc_get_type (from libSystem)
                 (undefined) external _xpc_release (from libSystem)
                 (undefined) external _xpc_retain (from libSystem)
