00000001a0e0eff8 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a0dfd030 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
00000001a0dfcf04 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a0dfcd90 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
00000001a0dfd3b0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
00000001a0dfd01c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
00000001a0dfd3c8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
00000001a0dfd3c0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
00000001a0dfd334 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem redactedDescription]
00000001a0dfd3b8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem setAllowed:]
00000001a0dfd3a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem teamID]
00000001a0e0e1f8 (__TEXT,__text) non-external -[SPMigrationScanner .cxx_destruct]
00000001a0e0e1f0 (__TEXT,__text) non-external -[SPMigrationScanner allBundleURLs]
00000001a0e0e1e8 (__TEXT,__text) non-external -[SPMigrationScanner allKextURLs]
00000001a0e0deb8 (__TEXT,__text) non-external -[SPMigrationScanner initWithRoot:]
00000001a0e0df4c (__TEXT,__text) non-external -[SPMigrationScanner performMigrationScan]
00000001a0e0e1e0 (__TEXT,__text) non-external -[SPMigrationScanner volumeRoot]
00000001a0e0de38 (__TEXT,__text) non-external -[SPProvenanceMetadata .cxx_destruct]
00000001a0e0dde8 (__TEXT,__text) non-external -[SPProvenanceMetadata bundleID]
00000001a0e0de24 (__TEXT,__text) non-external -[SPProvenanceMetadata cdhash]
00000001a0e0dcd8 (__TEXT,__text) non-external -[SPProvenanceMetadata encodeWithCoder:]
00000001a0e0daf4 (__TEXT,__text) non-external -[SPProvenanceMetadata initWithCoder:]
00000001a0e0ddc0 (__TEXT,__text) non-external -[SPProvenanceMetadata rootID]
00000001a0e0ddf0 (__TEXT,__text) non-external -[SPProvenanceMetadata setBundleID:]
00000001a0e0de2c (__TEXT,__text) non-external -[SPProvenanceMetadata setCdhash:]
00000001a0e0ddc8 (__TEXT,__text) non-external -[SPProvenanceMetadata setRootID:]
00000001a0e0de18 (__TEXT,__text) non-external -[SPProvenanceMetadata setSigningID:]
00000001a0e0de04 (__TEXT,__text) non-external -[SPProvenanceMetadata setTeamID:]
00000001a0e0ddb4 (__TEXT,__text) non-external -[SPProvenanceMetadata setUniqueID:]
00000001a0e0dddc (__TEXT,__text) non-external -[SPProvenanceMetadata setUrl:]
00000001a0e0de10 (__TEXT,__text) non-external -[SPProvenanceMetadata signingID]
00000001a0e0ddfc (__TEXT,__text) non-external -[SPProvenanceMetadata teamID]
00000001a0e0ddac (__TEXT,__text) non-external -[SPProvenanceMetadata uniqueID]
00000001a0e0ddd4 (__TEXT,__text) non-external -[SPProvenanceMetadata url]
00000001a0dff298 (__TEXT,__text) non-external -[SPProvenanceTracking .cxx_destruct]
00000001a0dfef6c (__TEXT,__text) non-external -[SPProvenanceTracking dealloc]
00000001a0dff190 (__TEXT,__text) non-external -[SPProvenanceTracking findAssociatedProvenanceEntries:]
00000001a0dff0a4 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForID:]
00000001a0dfefb8 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForURL:]
00000001a0dff27c (__TEXT,__text) non-external -[SPProvenanceTracking getAllProvenanceEntries]
00000001a0dfedec (__TEXT,__text) non-external -[SPProvenanceTracking init]
00000001a0dfdbc4 (__TEXT,__text) non-external -[StagedBundleData .cxx_destruct]
00000001a0dfdba8 (__TEXT,__text) non-external -[StagedBundleData access:]
00000001a0dfdbbc (__TEXT,__text) non-external -[StagedBundleData bundle]
00000001a0dfd6bc (__TEXT,__text) non-external -[StagedBundleData handleReload]
00000001a0dfd438 (__TEXT,__text) non-external -[StagedBundleData initWithURL:withStagedURL:withReloadBlock:withPrepareBlock:]
00000001a0dfdbb4 (__TEXT,__text) non-external -[StagedBundleData stagedBundle]
00000001a0e14cf4 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a0e14d7c (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a0e14d2c (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001a0e14d54 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001a0e14d14 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a0e14d8c (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a0e0edd8 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibrary
00000001a0e0ec00 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibraryCore
00000001d98e48f8 (__DATA,__bss) non-external _AppleMobileFileIntegrityLibraryCore.frameworkLibrary
00000001a0e09fc0 (__TEXT,__text) non-external _BooleanXPCImpl
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBundleCopyExecutableURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetInfoDictionary (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDateGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _FSEventStreamCreate (from CoreServices)
                 (undefined) external _FSEventStreamInvalidate (from CoreServices)
                 (undefined) external _FSEventStreamRelease (from CoreServices)
                 (undefined) external _FSEventStreamScheduleWithRunLoop (from CoreServices)
                 (undefined) external _FSEventStreamStart (from CoreServices)
                 (undefined) external _FSEventStreamStop (from CoreServices)
00000001d5614de0 (__DATA_CONST,__const) external _GKErrorDomain
                 (undefined) weak external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) weak external _MISInstallProvisioningProfile (from libmis)
                 (undefined) weak external _MISProfileCreateWithFile (from libmis)
                 (undefined) weak external _MISProvisioningProfileCheckValidity (from libmis)
                 (undefined) weak external _MISProvisioningProfileGetUUID (from libmis)
                 (undefined) weak external _MISRemoveProvisioningProfile (from libmis)
                 (undefined) weak external _MISUPPTrusted (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfo (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfoWithProgress (from libmis)
                 (undefined) external _NSFileModificationDate (from Foundation)
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSURLErrorKey (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
00000001dbe069e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_AKELData
00000001dbe07000 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMFI
00000001dbe06ba0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapper
00000001dbe070a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicy
00000001dbe07028 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicyResult
00000001dbe06b28 (__AUTH,__objc_data) external _OBJC_CLASS_$_BundleData
00000001dbe06c18 (__AUTH,__objc_data) external _OBJC_CLASS_$_GKScanResult
00000001dbe06df8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MIS
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
00000001dbe06ab0 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyCacheMeta
00000001dbe06ee8 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyScanTarget
00000001dbe070c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPDeveloperPolicy
00000001dbe06cb8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionHistoryItem
00000001dbe06d58 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicy
00000001dbe06bc8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicyItem
00000001dbe06a38 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPFilePolicy
00000001dbe06e98 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPInstallationPolicy
00000001dbe06d08 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistory
00000001dbe06da8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistoryItem
00000001dbe068f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicy
00000001dbe06920 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicyItem
00000001dbe06c68 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPLog
00000001dbe06e48 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigration
00000001dbe06f88 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigrationScanner
00000001dbe06f38 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceMetadata
00000001dbe06ad8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceTracking
00000001dbe06998 (__AUTH,__objc_data) external _OBJC_CLASS_$_StagedBundleData
00000001d98e4474 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._bundle
00000001d98e4478 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._signatureExceptionData
00000001d98e447c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._timestampExceptionData
00000001d98e4610 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isModified
00000001d98e460c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isValid
00000001d98e4614 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.signerCategory
00000001d98e44a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._isSignedBundle
00000001d98e44a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._reloadHandler
00000001d98e44ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._stream
00000001d98e44b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._timestamp
00000001d98e44a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._url
00000001d98e44b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._version
00000001d98e44b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._versionNumber
00000001d98e44dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.allowed
00000001d98e44e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.gkError
00000001d98e448c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._forEntry
00000001d98e4488 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._lastMiss
00000001d98e4480 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._metaId
00000001d98e4484 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._missCount
00000001d98e4490 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._sourceTable
00000001d98e4494 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._target
00000001d98e4570 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._blockDevice
00000001d98e45a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundle
00000001d98e4590 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleID
00000001d98e4594 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleVersion
00000001d98e45ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhash
00000001d98e45b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashData
00000001d98e45b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashDigestAlgorithm
00000001d98e4580 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._checkValidity
00000001d98e457c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._chgTime
00000001d98e45c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._entitlements
00000001d98e4568 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._fsTypeName
00000001d98e459c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isAppWrapper
00000001d98e45d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isBundled
00000001d98e4598 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isDirectory
00000001d98e45cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantined
00000001d98e45c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantinedMount
00000001d98e45d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isScript
00000001d98e45d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isUserApproved
00000001d98e458c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mainExecutableURL
00000001d98e4578 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._modTime
00000001d98e4574 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mountTime
00000001d98e4564 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._objectID
00000001d98e4588 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._originalURL
00000001d98e4560 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pathOnVolume
00000001d98e45e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pid
00000001d98e45c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._quarantineChecked
00000001d98e45bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingID
00000001d98e45a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingInfo
00000001d98e45a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._staticCodeRef
00000001d98e45b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._teamID
00000001d98e45dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._triggeredByLibraryLoad
00000001d98e4584 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._url
00000001d98e456c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumePath
00000001d98e455c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumeUUID
00000001d98e461c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._connection
00000001d98e4618 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._interface
00000001d98e44f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._cdHash
00000001d98e44fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._developerName
00000001d98e44e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._execPath
00000001d98e4500 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._lastSeen
00000001d98e44e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._mmapPath
00000001d98e44f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._responsiblePath
00000001d98e44ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._signingID
00000001d98e44f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._teamID
00000001d98e4520 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._connection
00000001d98e451c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._interface
00000001d98e4524 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._lock
00000001d98e4528 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._progressBlock
00000001d98e44d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._blockedReasonDescription
00000001d98e44c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._cdHash
00000001d98e44bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._itemPath
00000001d98e44d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._knownMalware
00000001d98e44cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._needsApproval
00000001d98e44d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._needsOverride
00000001d98e44c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._signingID
00000001d98e44c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._teamID
00000001d98e4554 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._connection
00000001d98e4550 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._interface
00000001d98e4558 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._requireDaemon
00000001d98e4508 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPKernelExtensionHistory._connection
00000001d98e4504 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPKernelExtensionHistory._interface
00000001d98e4540 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.bundleID
00000001d98e4548 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.cdHash
00000001d98e4538 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isCodeless
00000001d98e4530 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isDeprecated
00000001d98e452c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isNotarized
00000001d98e4534 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isUnsupported
00000001d98e454c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.lastUsed
00000001d98e453c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.path
00000001d98e4544 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.teamID
00000001d98e4514 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._connection
00000001d98e450c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._currentPolicy
00000001d98e4510 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._interface
00000001d98e4518 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy.currentUAKL
00000001d98e4430 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem._originalAllowed
00000001d98e4434 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.allowed
00000001d98e4440 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.applicationName
00000001d98e4444 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.applicationPath
00000001d98e4450 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.bundleIDs
00000001d98e4448 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.developerName
00000001d98e443c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.isPendingUpgrade
00000001d98e4438 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.rebootRequired
00000001d98e444c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.teamID
00000001d98e4608 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._allBundleURLs
00000001d98e4604 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._allKextURLs
00000001d98e4600 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._volumeRoot
00000001d98e45f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.bundleID
00000001d98e45fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.cdhash
00000001d98e45e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.rootID
00000001d98e45f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.signingID
00000001d98e45f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.teamID
00000001d98e45e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.uniqueID
00000001d98e45ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.url
00000001d98e449c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceTracking._connection
00000001d98e4498 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceTracking._interface
00000001d98e445c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._accessQueue
00000001d98e4464 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._bundle
00000001d98e4458 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._bundleUrl
00000001d98e4468 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._fileManager
00000001d98e4470 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._prepareBlock
00000001d98e446c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._reloadBlock
00000001d98e4460 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._stagedBundle
00000001d98e4454 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._stagedUrl
00000001dbe06a10 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AKELData
00000001dbe06fd8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AMFI
00000001dbe06b78 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapper
00000001dbe07078 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapperPolicy
00000001dbe07050 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapperPolicyResult
00000001dbe06b50 (__AUTH,__objc_data) external _OBJC_METACLASS_$_BundleData
00000001dbe06c40 (__AUTH,__objc_data) external _OBJC_METACLASS_$_GKScanResult
00000001dbe06e20 (__AUTH,__objc_data) external _OBJC_METACLASS_$_MIS
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001dbe06a88 (__AUTH,__objc_data) external _OBJC_METACLASS_$_PolicyCacheMeta
00000001dbe06f10 (__AUTH,__objc_data) external _OBJC_METACLASS_$_PolicyScanTarget
00000001dbe070f0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPDeveloperPolicy
00000001dbe06ce0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionHistoryItem
00000001dbe06d80 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionPolicy
00000001dbe06bf0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionPolicyItem
00000001dbe06a60 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPFilePolicy
00000001dbe06ec0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPInstallationPolicy
