00007ffc425a9560 (__DATA_DIRTY,__common) external _AfterColour
00007ffc0a4b4864 (__TEXT,__text) external __ZN4llvm10LiveStacks19getOrCreateIntervalEiPKNS_19TargetRegisterClassE
00007ffc0a4b41b0 (__TEXT,__text) external __ZN4llvm10LiveStacks20runOnMachineFunctionERNS_15MachineFunctionE
00007ffc42bd8af0 (__DATA,__common) external __ZN4llvm10LiveStacks2IDE
00007ffc0bb7060c (__TEXT,__text) external __ZN4llvm10MCAsmLexerC2Ev
00007ffc0bb706d4 (__TEXT,__text) external __ZN4llvm10MCAsmLexerD0Ev
00007ffc0bb706ce (__TEXT,__text) external __ZN4llvm10MCAsmLexerD1Ev
00007ffc0b5b7dda (__TEXT,__text) external __ZN4llvm10MCAsmLexerD2Ev
00007ffc0add26d2 (__TEXT,__text) external __ZN4llvm10MCFragment7destroyEv
00007ffc0add298a (__TEXT,__text) external __ZN4llvm10MCFragmentC1ENS0_12FragmentTypeEbPNS_9MCSectionE
00007ffc0add2934 (__TEXT,__text) external __ZN4llvm10MCFragmentC2ENS0_12FragmentTypeEbPNS_9MCSectionE
00007ffc0b8ca094 (__TEXT,__text) external __ZN4llvm10MCStreamer10endSectionEPNS_9MCSectionE
00007ffc0b8ca088 (__TEXT,__text) external __ZN4llvm10MCStreamer10finishImplEv
00007ffc0b8c924a (__TEXT,__text) external __ZN4llvm10MCStreamer11emitCFILsdaEPKNS_8MCSymbolEj
00007ffc0b8ca00e (__TEXT,__text) external __ZN4llvm10MCStreamer11emitELFSizeEPNS_8MCSymbolEPKNS_6MCExprE
00007ffc0b8c8592 (__TEXT,__text) external __ZN4llvm10MCStreamer11emitRawTextERKNS_5TwineE
00007ffc0addfda4 (__TEXT,__text) external __ZN4llvm10MCStreamer12GetCommentOSEv
00007ffc0b8c921a (__TEXT,__text) external __ZN4llvm10MCStreamer12emitCFILabelEv
00007ffc0b8c8aae (__TEXT,__text) external __ZN4llvm10MCStreamer12emitIntValueENS_5APIntE
00007ffc0addfdea (__TEXT,__text) external __ZN4llvm10MCStreamer12emitIntValueEyj
00007ffc0ade06e4 (__TEXT,__text) external __ZN4llvm10MCStreamer12initSectionsEbRKNS_15MCSubtargetInfoE
00007ffc0ade1f2c (__TEXT,__text) external __ZN4llvm10MCStreamer13SwitchSectionEPNS_9MCSectionEPKNS_6MCExprE
00007ffc0b8ca026 (__TEXT,__text) external __ZN4llvm10MCStreamer13changeSectionEPNS_9MCSectionEPKNS_6MCExprE
00007ffc0ade0a12 (__TEXT,__text) external __ZN4llvm10MCStreamer13emitCFIDefCfaExx
00007ffc0ade12e2 (__TEXT,__text) external __ZN4llvm10MCStreamer13emitCFIEscapeENS_9StringRefE
00007ffc0ade0de0 (__TEXT,__text) external __ZN4llvm10MCStreamer13emitCFIOffsetExx
00007ffc0b8ca038 (__TEXT,__text) external __ZN4llvm10MCStreamer13emitLazyBytesENS_9StringRefEyy
00007ffc0b8c9fc6 (__TEXT,__text) external __ZN4llvm10MCStreamer13emitThumbFuncEPNS_8MCSymbolE
00007ffc0ade1f20 (__TEXT,__text) external __ZN4llvm10MCStreamer13emitValueImplEPKNS_6MCExprEjNS_5SMLocE
00007ffc0ade1d4c (__TEXT,__text) external __ZN4llvm10MCStreamer13visitUsedExprERKNS_6MCExprE
00007ffc0b8c91ca (__TEXT,__text) external __ZN4llvm10MCStreamer14AssignFragmentEPNS_8MCSymbolEPNS_10MCFragmentE
00007ffc0ade1ce6 (__TEXT,__text) external __ZN4llvm10MCStreamer14emitAssignmentEPNS_8MCSymbolEPKNS_6MCExprE
00007ffc0b8ca03e (__TEXT,__text) external __ZN4llvm10MCStreamer14emitBinaryDataENS_9StringRefE
00007ffc0b8ca082 (__TEXT,__text) external __ZN4llvm10MCStreamer14emitBundleLockEb
00007ffc0ade09e0 (__TEXT,__text) external __ZN4llvm10MCStreamer14emitCFIEndProcEv
00007ffc0ade122a (__TEXT,__text) external __ZN4llvm10MCStreamer14emitCFIRestoreEx
00007ffc0b8c8a36 (__TEXT,__text) external __ZN4llvm10MCStreamer14emitRawCommentERKNS_5TwineEb
00007ffc0b8c9fcc (__TEXT,__text) external __ZN4llvm10MCStreamer14emitSymbolDescEPNS_8MCSymbolEj
00007ffc0b8ca020 (__TEXT,__text) external __ZN4llvm10MCStreamer14emitTBSSSymbolEPNS_9MCSectionEPNS_8MCSymbolEyj
00007ffc0b8c9d60 (__TEXT,__text) external __ZN4llvm10MCStreamer15EmitCOFFSafeSEHEPKNS_8MCSymbolE
00007ffc0ade15a2 (__TEXT,__text) external __ZN4llvm10MCStreamer15emitCFIRegisterExx
00007ffc0ade0862 (__TEXT,__text) external __ZN4llvm10MCStreamer15emitCFISectionsEbb
00007ffc0ade1de4 (__TEXT,__text) external __ZN4llvm10MCStreamer15emitInstructionERKNS_6MCInstERKNS_15MCSubtargetInfoE
00007ffc0b8c9e78 (__TEXT,__text) external __ZN4llvm10MCStreamer15emitPseudoProbeEyyyyRKNS_11SmallVectorINSt3__15tupleIJyjEEELj8EEE
00007ffc0b8c9d7e (__TEXT,__text) external __ZN4llvm10MCStreamer15emitRawTextImplENS_9StringRefE
00007ffc0ade02f8 (__TEXT,__text) external __ZN4llvm10MCStreamer15emitSymbolValueEPKNS_8MCSymbolEjb
00007ffc0b8c9e72 (__TEXT,__text) external __ZN4llvm10MCStreamer15visitUsedSymbolERKNS_8MCSymbolE
00007ffc0b8c9d78 (__TEXT,__text) external __ZN4llvm10MCStreamer16EmitCOFFImgRel32EPKNS_8MCSymbolEx
00007ffc0b8c9d72 (__TEXT,__text) external __ZN4llvm10MCStreamer16EmitCOFFSecRel32EPKNS_8MCSymbolEy
00007ffc0b8c972e (__TEXT,__text) external __ZN4llvm10MCStreamer16EmitWinEHHandlerEPKNS_8MCSymbolEbbNS_5SMLocE
00007ffc0b8c9fd8 (__TEXT,__text) external __ZN4llvm10MCStreamer16EndCOFFSymbolDefEv
00007ffc0b8ca08e (__TEXT,__text) external __ZN4llvm10MCStreamer16emitBundleUnlockEv
00007ffc0b8c8cee (__TEXT,__text) external __ZN4llvm10MCStreamer16emitCFIBKeyFrameEv
00007ffc0ade0f58 (__TEXT,__text) external __ZN4llvm10MCStreamer16emitCFIRelOffsetExx
00007ffc0ade1178 (__TEXT,__text) external __ZN4llvm10MCStreamer16emitCFISameValueEx
00007ffc0ade0868 (__TEXT,__text) external __ZN4llvm10MCStreamer16emitCFIStartProcEbNS_5SMLocE
00007ffc0ade14ea (__TEXT,__text) external __ZN4llvm10MCStreamer16emitCFIUndefinedEx
00007ffc0ade17cc (__TEXT,__text) external __ZN4llvm10MCStreamer16emitCFIValOffsetExxNS_5SMLocE
00007ffc0b8c8c98 (__TEXT,__text) external __ZN4llvm10MCStreamer16emitGPRel32ValueEPKNS_6MCExprE
00007ffc0b8c8c82 (__TEXT,__text) external __ZN4llvm10MCStreamer16emitGPRel64ValueEPKNS_6MCExprE
00007ffc0b8ca058 (__TEXT,__text) external __ZN4llvm10MCStreamer16emitSLEB128ValueEPKNS_6MCExprE
00007ffc0b8c8c6c (__TEXT,__text) external __ZN4llvm10MCStreamer16emitTPRel32ValueEPKNS_6MCExprE
00007ffc0b8c8c56 (__TEXT,__text) external __ZN4llvm10MCStreamer16emitTPRel64ValueEPKNS_6MCExprE
00007ffc0b8ca052 (__TEXT,__text) external __ZN4llvm10MCStreamer16emitULEB128ValueEPKNS_6MCExprE
00007ffc0addfdae (__TEXT,__text) external __ZN4llvm10MCStreamer16getNumFrameInfosEv
00007ffc0b8c949a (__TEXT,__text) external __ZN4llvm10MCStreamer17EmitWinCFIEndProcENS_5SMLocE
00007ffc0b8c985e (__TEXT,__text) external __ZN4llvm10MCStreamer17EmitWinCFIPushRegENS_10MCRegisterENS_5SMLocE
00007ffc0b8c9ace (__TEXT,__text) external __ZN4llvm10MCStreamer17EmitWinCFISaveRegENS_10MCRegisterEjNS_5SMLocE
00007ffc0b8c9ba6 (__TEXT,__text) external __ZN4llvm10MCStreamer17EmitWinCFISaveXMMENS_10MCRegisterEjNS_5SMLocE
00007ffc0b8c8e3c (__TEXT,__text) external __ZN4llvm10MCStreamer17checkCVLocSectionEjjNS_5SMLocE
00007ffc0b8c9fc0 (__TEXT,__text) external __ZN4llvm10MCStreamer17emitAssemblerFlagENS_15MCAssemblerFlagE
00007ffc0ade1666 (__TEXT,__text) external __ZN4llvm10MCStreamer17emitCFIWindowSaveEv
00007ffc0b8ca070 (__TEXT,__text) external __ZN4llvm10MCStreamer17emitCodeAlignmentEjPKNS_15MCSubtargetInfoEj
00007ffc0b8c8c40 (__TEXT,__text) external __ZN4llvm10MCStreamer17emitDTPRel32ValueEPKNS_6MCExprE
00007ffc0b8c8c2a (__TEXT,__text) external __ZN4llvm10MCStreamer17emitDTPRel64ValueEPKNS_6MCExprE
00007ffc0b8c9fde (__TEXT,__text) external __ZN4llvm10MCStreamer17emitFileDirectiveENS_9StringRefE
00007ffc0b8c9fe4 (__TEXT,__text) external __ZN4llvm10MCStreamer17emitFileDirectiveENS_9StringRefES1_S1_S1_
00007ffc0b8ca076 (__TEXT,__text) external __ZN4llvm10MCStreamer17emitValueToOffsetEPKNS_6MCExprEhNS_5SMLocE
00007ffc0b8ca02c (__TEXT,__text) external __ZN4llvm10MCStreamer17emitWeakReferenceEPNS_8MCSymbolEPKS1_
00007ffc0b8c9fd2 (__TEXT,__text) external __ZN4llvm10MCStreamer18BeginCOFFSymbolDefEPKNS_8MCSymbolE
00007ffc0b8c9ff0 (__TEXT,__text) external __ZN4llvm10MCStreamer18EmitCOFFSymbolTypeEi
00007ffc0b8c98f8 (__TEXT,__text) external __ZN4llvm10MCStreamer18EmitWinCFISetFrameENS_10MCRegisterEjNS_5SMLocE
00007ffc0b8c8a3c (__TEXT,__text) external __ZN4llvm10MCStreamer18addExplicitCommentERKNS_5TwineE
00007ffc0b8c920c (__TEXT,__text) external __ZN4llvm10MCStreamer18emitCFIEndProcImplERNS_16MCDwarfFrameInfoE
00007ffc0ade1432 (__TEXT,__text) external __ZN4llvm10MCStreamer18emitCFIGnuArgsSizeEx
00007ffc0b8c9228 (__TEXT,__text) external __ZN4llvm10MCStreamer18emitCFIPersonalityEPKNS_8MCSymbolEj
00007ffc0b8c926e (__TEXT,__text) external __ZN4llvm10MCStreamer18emitCFISignalFrameEv
00007ffc0b8c9828 (__TEXT,__text) external __ZN4llvm10MCStreamer18emitCGProfileEntryEPKNS_15MCSymbolRefExprES3_y
00007ffc0b8c8e36 (__TEXT,__text) external __ZN4llvm10MCStreamer18emitCVLocDirectiveEjjjjbbNS_9StringRefENS_5SMLocE
00007ffc0b8c9d66 (__TEXT,__text) external __ZN4llvm10MCStreamer19EmitCOFFSymbolIndexEPKNS_8MCSymbolE
00007ffc0b8c8d02 (__TEXT,__text) external __ZN4llvm10MCStreamer19EmitCVFileDirectiveEjNS_9StringRefENS_8ArrayRefIhEEj
00007ffc0b8c9d36 (__TEXT,__text) external __ZN4llvm10MCStreamer19EmitWinCFIEndPrologENS_5SMLocE
00007ffc0b8c9c7e (__TEXT,__text) external __ZN4llvm10MCStreamer19EmitWinCFIPushFrameEbNS_5SMLocE
00007ffc0b8c9308 (__TEXT,__text) external __ZN4llvm10MCStreamer19EmitWinCFIStartProcEPKNS_8MCSymbolENS_5SMLocE
00007ffc0b8ca07c (__TEXT,__text) external __ZN4llvm10MCStreamer19emitBundleAlignModeEj
00007ffc0ade0ad6 (__TEXT,__text) external __ZN4llvm10MCStreamer19emitCFIDefCfaOffsetEx
00007ffc0ade10c6 (__TEXT,__text) external __ZN4llvm10MCStreamer19emitCFIRestoreStateEv
00007ffc0b8c9282 (__TEXT,__text) external __ZN4llvm10MCStreamer19emitCFIReturnColumnEx
00007ffc0ade1b2e (__TEXT,__text) external __ZN4llvm10MCStreamer19emitDwarfUnitLengthERKNS_5TwineES3_
00007ffc0b8c9da0 (__TEXT,__text) external __ZN4llvm10MCStreamer19emitDwarfUnitLengthEyRKNS_5TwineE
00007ffc0b8c91c2 (__TEXT,__text) external __ZN4llvm10MCStreamer19emitEHSymAttributesEPKNS_8MCSymbolEPS1_
00007ffc0ade00da (__TEXT,__text) external __ZN4llvm10MCStreamer19emitSLEB128IntValueEx
00007ffc0b8c9858 (__TEXT,__text) external __ZN4llvm10MCStreamer19emitSyntaxDirectiveEv
00007ffc0addfe3e (__TEXT,__text) external __ZN4llvm10MCStreamer19emitULEB128IntValueEyj
00007ffc0b8c9d6c (__TEXT,__text) external __ZN4llvm10MCStreamer20EmitCOFFSectionIndexEPKNS_8MCSymbolE
00007ffc0b8c9a02 (__TEXT,__text) external __ZN4llvm10MCStreamer20EmitWinCFIAllocStackEjNS_5SMLocE
00007ffc0b8c96c4 (__TEXT,__text) external __ZN4llvm10MCStreamer20EmitWinCFIEndChainedENS_5SMLocE
00007ffc0b8c97dc (__TEXT,__text) external __ZN4llvm10MCStreamer20EmitWinEHHandlerDataENS_5SMLocE
00007ffc0ade1718 (__TEXT,__text) external __ZN4llvm10MCStreamer20emitCFINegateRAStateEv
00007ffc0ade1014 (__TEXT,__text) external __ZN4llvm10MCStreamer20emitCFIRememberStateEv
00007ffc0b8c9206 (__TEXT,__text) external __ZN4llvm10MCStreamer20emitCFIStartProcImplERNS_16MCDwarfFrameInfoE
00007ffc0b8c8a42 (__TEXT,__text) external __ZN4llvm10MCStreamer20emitExplicitCommentsEv
00007ffc0b8ca06a (__TEXT,__text) external __ZN4llvm10MCStreamer20emitValueToAlignmentEjxjj
00007ffc0ade2022 (__TEXT,__text) external __ZN4llvm10MCStreamer20emitVersionForTargetERKNS_6TripleERKNS_12VersionTupleEPS2_S6_
00007ffc0ade1ad6 (__TEXT,__text) external __ZN4llvm10MCStreamer20maybeEmitDwarf64MarkEv
00007ffc0b8c8d6e (__TEXT,__text) external __ZN4llvm10MCStreamer21EmitCVFuncIdDirectiveEj
00007ffc0ade0c46 (__TEXT,__text) external __ZN4llvm10MCStreamer21emitCFIDefCfaRegisterEx
00007ffc0ade05f0 (__TEXT,__text) external __ZN4llvm10MCStreamer21emitDwarfLocDirectiveEjjjjjjNS_9StringRefE
00007ffc0b8ca01a (__TEXT,__text) external __ZN4llvm10MCStreamer21emitLocalCommonSymbolEPNS_8MCSymbolEyj
00007ffc0b8ca008 (__TEXT,__text) external __ZN4llvm10MCStreamer21emitXCOFFRefDirectiveENS_9StringRefE
00007ffc0b8c95ac (__TEXT,__text) external __ZN4llvm10MCStreamer22EmitWinCFIStartChainedENS_5SMLocE
00007ffc0ade1e30 (__TEXT,__text) external __ZN4llvm10MCStreamer22emitAbsoluteSymbolDiffEPKNS_8MCSymbolES3_j
00007ffc0ade0b8e (__TEXT,__text) external __ZN4llvm10MCStreamer22emitCFIAdjustCfaOffsetEx
00007ffc0b8ca014 (__TEXT,__text) external __ZN4llvm10MCStreamer22emitELFSymverDirectiveEPKNS_8MCSymbolENS_9StringRefEb
00007ffc0b8c9d9a (__TEXT,__text) external __ZN4llvm10MCStreamer23EmitWindowsUnwindTablesEPNS_5WinEH9FrameInfoE
00007ffc0b8c9d94 (__TEXT,__text) external __ZN4llvm10MCStreamer23EmitWindowsUnwindTablesEv
00007ffc0b8c92a0 (__TEXT,__text) external __ZN4llvm10MCStreamer23EnsureValidWinFrameInfoENS_5SMLocE
00007ffc0ade0d0a (__TEXT,__text) external __ZN4llvm10MCStreamer23emitCFILLVMDefAspaceCfaExxx
00007ffc0b8c905e (__TEXT,__text) external __ZN4llvm10MCStreamer23emitCVDefRangeDirectiveENS_8ArrayRefINSt3__14pairIPKNS_8MCSymbolES6_EEEENS_8codeview22DefRangeRegisterHeaderE
00007ffc0b8c8ef6 (__TEXT,__text) external __ZN4llvm10MCStreamer23emitCVDefRangeDirectiveENS_8ArrayRefINSt3__14pairIPKNS_8MCSymbolES6_EEEENS_8codeview25DefRangeRegisterRelHeaderE
00007ffc0b8c9110 (__TEXT,__text) external __ZN4llvm10MCStreamer23emitCVDefRangeDirectiveENS_8ArrayRefINSt3__14pairIPKNS_8MCSymbolES6_EEEENS_8codeview29DefRangeFramePointerRelHeaderE
00007ffc0b8c8faa (__TEXT,__text) external __ZN4llvm10MCStreamer23emitCVDefRangeDirectiveENS_8ArrayRefINSt3__14pairIPKNS_8MCSymbolES6_EEEENS_8codeview30DefRangeSubfieldRegisterHeaderE
00007ffc0b8c8ef0 (__TEXT,__text) external __ZN4llvm10MCStreamer23emitCVDefRangeDirectiveENS_8ArrayRefINSt3__14pairIPKNS_8MCSymbolES6_EEEENS_9StringRefE
00007ffc0ade050e (__TEXT,__text) external __ZN4llvm10MCStreamer23emitDwarfFile0DirectiveENS_9StringRefES1_NS_8OptionalINS_3MD59MD5ResultEEENS2_IS1_EEj
00007ffc0ade1cd2 (__TEXT,__text) external __ZN4llvm10MCStreamer23emitDwarfLineStartLabelEPNS_8MCSymbolE
00007ffc0ade062c (__TEXT,__text) external __ZN4llvm10MCStreamer23getDwarfLineTableSymbolEj
00007ffc0ade0e9c (__TEXT,__text) external __ZN4llvm10MCStreamer24emitCFIAGX3SpecialOffsetExx
00007ffc0b8c8ee4 (__TEXT,__text) external __ZN4llvm10MCStreamer24emitCVLinetableDirectiveEjPKNS_8MCSymbolES3_
00007ffc0b8ca002 (__TEXT,__text) external __ZN4llvm10MCStreamer24emitXCOFFRenameDirectiveEPKNS_8MCSymbolENS_9StringRefE
00007ffc0ade0596 (__TEXT,__text) external __ZN4llvm10MCStreamer24getCurrentDwarfFrameInfoEv
00007ffc0b8c9200 (__TEXT,__text) external __ZN4llvm10MCStreamer25emitConditionalAssignmentEPNS_8MCSymbolEPKNS_6MCExprE
00007ffc0ade188a (__TEXT,__text) external __ZN4llvm10MCStreamer25getAssociatedPDataSectionEPKNS_9MCSectionE
00007ffc0b8c982e (__TEXT,__text) external __ZN4llvm10MCStreamer25getAssociatedXDataSectionEPKNS_9MCSectionE
00007ffc0ade0466 (__TEXT,__text) external __ZN4llvm10MCStreamer25tryEmitDwarfFileDirectiveEjNS_9StringRefES1_NS_8OptionalINS_3MD59MD5ResultEEENS2_IS1_EEj
00007ffc0b8c9fea (__TEXT,__text) external __ZN4llvm10MCStreamer26EmitCOFFSymbolStorageClassEi
00007ffc0b8c954c (__TEXT,__text) external __ZN4llvm10MCStreamer26EmitWinCFIFuncletOrFuncEndENS_5SMLocE
00007ffc0b8c9ff6 (__TEXT,__text) external __ZN4llvm10MCStreamer26emitXCOFFLocalCommonSymbolEPNS_8MCSymbolEyS2_j
00007ffc0b8c8d90 (__TEXT,__text) external __ZN4llvm10MCStreamer27EmitCVInlineSiteIdDirectiveEjjjjjNS_5SMLocE
00007ffc0ade06c6 (__TEXT,__text) external __ZN4llvm10MCStreamer27hasUnfinishedDwarfFrameInfoEv
00007ffc0b8c8eea (__TEXT,__text) external __ZN4llvm10MCStreamer30emitCVInlineLinetableDirectiveEjjjPKNS_8MCSymbolES3_
00007ffc0b8c8a48 (__TEXT,__text) external __ZN4llvm10MCStreamer30generateCompactUnwindEncodingsEPNS_12MCAsmBackendE
00007ffc0b8c9f5a (__TEXT,__text) external __ZN4llvm10MCStreamer31emitAbsoluteSymbolDiffAsULEB128EPKNS_8MCSymbolES3_
00007ffc0b8c9ffc (__TEXT,__text) external __ZN4llvm10MCStreamer36emitXCOFFSymbolLinkageWithVisibilityEPNS_8MCSymbolENS_12MCSymbolAttrES3_
00007ffc0addfc9a (__TEXT,__text) external __ZN4llvm10MCStreamer5resetEv
00007ffc0ade1a5c (__TEXT,__text) external __ZN4llvm10MCStreamer6FinishENS_5SMLocE
00007ffc0b8ca064 (__TEXT,__text) external __ZN4llvm10MCStreamer8emitFillERKNS_6MCExprExxNS_5SMLocE
00007ffc0b8ca05e (__TEXT,__text) external __ZN4llvm10MCStreamer8emitFillERKNS_6MCExprEyNS_5SMLocE
00007ffc0b8c8cae (__TEXT,__text) external __ZN4llvm10MCStreamer8emitFillEyh
00007ffc0b8c8ce8 (__TEXT,__text) external __ZN4llvm10MCStreamer8emitNopsExxNS_5SMLocERKNS_15MCSubtargetInfoE
00007ffc0b8ca032 (__TEXT,__text) external __ZN4llvm10MCStreamer9emitBytesENS_9StringRefE
00007ffc0ade0706 (__TEXT,__text) external __ZN4llvm10MCStreamer9emitLabelEPNS_8MCSymbolENS_5SMLocE
00007ffc0ade02e6 (__TEXT,__text) external __ZN4llvm10MCStreamer9emitValueEPKNS_6MCExprEjNS_5SMLocE
00007ffc0ade034a (__TEXT,__text) external __ZN4llvm10MCStreamer9emitZerosEy
00007ffc0b8c88fa (__TEXT,__text) external __ZN4llvm10MCStreamerC2ERNS_9MCContextE
00007ffc0b8c8a30 (__TEXT,__text) external __ZN4llvm10MCStreamerD0Ev
00007ffc0b8c8a2a (__TEXT,__text) external __ZN4llvm10MCStreamerD1Ev
00007ffc0b8c8996 (__TEXT,__text) external __ZN4llvm10MCStreamerD2Ev
00007ffc410f14d8 (__DATA_CONST,__const) external __ZN4llvm10MIRNamerIDE
00007ffc0a57c842 (__TEXT,__text) external __ZN4llvm10MIRPrinter19convertStackObjectsERNS_4yaml15MachineFunctionERKNS_15MachineFunctionERNS_17ModuleSlotTrackerE
00007ffc0b7490c0 (__TEXT,__text) external __ZN4llvm10MIRPrinter19initRegisterMaskIdsERKNS_15MachineFunctionE
00007ffc0a57d7fe (__TEXT,__text) external __ZN4llvm10MIRPrinter22convertCallSiteObjectsERNS_4yaml15MachineFunctionERKNS_15MachineFunctionERNS_17ModuleSlotTrackerE
00007ffc0a57e5ce (__TEXT,__text) external __ZN4llvm10MIRPrinter27convertMachineMetadataNodesERNS_4yaml15MachineFunctionERKNS_15MachineFunctionERNS_24MachineModuleSlotTrackerE
00007ffc0b748b54 (__TEXT,__text) external __ZN4llvm10MIRPrinter5printERKNS_15MachineFunctionE
00007ffc0b74913c (__TEXT,__text) external __ZN4llvm10MIRPrinter7convertERNS_17ModuleSlotTrackerERNS_4yaml16MachineFrameInfoERKNS_16MachineFrameInfoE
00007ffc0a57e038 (__TEXT,__text) external __ZN4llvm10MIRPrinter7convertERNS_17ModuleSlotTrackerERNS_4yaml16MachineJumpTableERKNS_20MachineJumpTableInfoE
00007ffc0a57dbee (__TEXT,__text) external __ZN4llvm10MIRPrinter7convertERNS_4yaml15MachineFunctionERKNS_19MachineConstantPoolE
00007ffc0a57bf8a (__TEXT,__text) external __ZN4llvm10MIRPrinter7convertERNS_4yaml15MachineFunctionERKNS_19MachineRegisterInfoEPKNS_18TargetRegisterInfoE
00007ffc0a7ad6c4 (__TEXT,__text) external __ZN4llvm10ModulePass17assignPassManagerERNS_7PMStackENS_15PassManagerTypeE
00007ffc0b7b8cce (__TEXT,__text) external __ZN4llvm10ModulePassD0Ev
00007ffc0b7b8cc8 (__TEXT,__text) external __ZN4llvm10ModulePassD1Ev
00007ffc0a7c824c (__TEXT,__text) external __ZN4llvm10ModulePassD2Ev
00007ffc0b991072 (__TEXT,__text) external __ZN4llvm10NewGVNPass3runERNS_8FunctionERNS_15AnalysisManagerIS1_JEEE
00007ffc0b78ebd0 (__TEXT,__text) external __ZN4llvm10NoCFIValue19destroyConstantImplEv
00007ffc0b78fda8 (__TEXT,__text) external __ZN4llvm10NoCFIValue23handleOperandChangeImplEPNS_5ValueES2_
00007ffc0b78fcb6 (__TEXT,__text) external __ZN4llvm10NoCFIValue3getEPNS_11GlobalValueE
00007ffc0b78fd32 (__TEXT,__text) external __ZN4llvm10NoCFIValueC1EPNS_11GlobalValueE
00007ffc0b78fd3c (__TEXT,__text) external __ZN4llvm10NoCFIValueC2EPNS_11GlobalValueE
00007ffc0b2bb3e0 (__TEXT,__text) external __ZN4llvm10Obfuscator9obfuscateENS_9StringRefEbb
00007ffc0b94700a (__TEXT,__text) external __ZN4llvm10PassPlugin4LoadERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
00007ffc42bd8a58 (__DATA,__common) external __ZN4llvm10RAFastPass3KeyE
00007ffc410f09d0 (__DATA_CONST,__const) external __ZN4llvm10RAGreedyIDE
00007ffc42bd8a68 (__DATA,__common) external __ZN4llvm10RAPBQPPass3KeyE
00007ffc0bab28e3 (__TEXT,__text) external __ZN4llvm10RISCVAttrs21getRISCVAttributeTagsEv
00007ffc0a537ea6 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE11block_beginEv
00007ffc0a5380ce (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE11element_endEv
00007ffc0a5355ba (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE11replaceExitEPNS_17MachineBasicBlockE
00007ffc0a5370ce (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE12addSubRegionEPNS_13MachineRegionEb
00007ffc0a5355a8 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE12replaceEntryEPNS_17MachineBasicBlockE
00007ffc0a5380b6 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE13element_beginEv
00007ffc0a537e64 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE14clearNodeCacheEv
00007ffc0a537c14 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE15removeSubRegionEPNS_13MachineRegionE
00007ffc0a537cd0 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE18transferChildrenToEPNS_13MachineRegionE
00007ffc0a53578a (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE20replaceExitRecursiveEPNS_17MachineBasicBlockE
00007ffc0a5355c4 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE21replaceEntryRecursiveEPNS_17MachineBasicBlockE
00007ffc0a535780 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE3endEv
00007ffc0a535776 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE5beginEv
00007ffc0a537f56 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE6blocksEv
00007ffc0b736b58 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE8elementsEv
00007ffc0a537ecc (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEE9block_endEv
00007ffc0a5354e2 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEEC1EPNS_17MachineBasicBlockES6_PNS_17MachineRegionInfoEPNS_20MachineDominatorTreeEPNS_13MachineRegionE
00007ffc0a535492 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEEC2EPNS_17MachineBasicBlockES6_PNS_17MachineRegionInfoEPNS_20MachineDominatorTreeEPNS_13MachineRegionE
00007ffc0a53555a (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEED1Ev
00007ffc0a53551a (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_15MachineFunctionEEEED2Ev
00007ffc0a27b838 (__TEXT,__text) weak external __ZN4llvm10RegionBaseINS_12RegionTraitsINS_8FunctionEEEE11block_beginEv
