00007ffb434db968 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffb4060cd40 (__DATA_CONST,__const) non-external _nc_tab
00007ffb4060cc50 (__DATA_CONST,__const) non-external _netids
00007ffb05569288 (__TEXT,__const) external _oncrpcVersionNumber
00007ffb05569260 (__TEXT,__const) external _oncrpcVersionString
00007ffb434db778 (__DATA,__data) non-external _oncrpc_xprt_init
                 (undefined) external _open (from libSystem)
00007ffb055616e8 (__TEXT,__text) non-external (was a private external) _open_socket
00007ffb434db3d0 (__DATA,__data) non-external _ops
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _pipe (from libSystem)
00007ffb434db4e0 (__DATA,__data) non-external _pmap_addrs
00007ffb0555a9f4 (__TEXT,__text) non-external _pmap_bcastrecv
00007ffb05559c77 (__TEXT,__text) non-external (was a private external) _pmap_getport_timeout
00007ffb0555a72b (__TEXT,__text) non-external _pmap_mcastrecv
                 (undefined) external _poll (from libSystem)
00007ffb434db6c8 (__DATA,__data) non-external _poll_timeout
00007ffb42f71988 (__DATA_DIRTY,__data) non-external (was a private external) _portmap_netid
00007ffb434db958 (__DATA,__bss) non-external _proglst
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_set_qos_class_np (from libSystem)
                 (undefined) external _pthread_attr_setdetachstate (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait_relative_np (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_exit (from libSystem)
                 (undefined) external _pthread_getspecific (from libSystem)
                 (undefined) external _pthread_getugid_np (from libSystem)
                 (undefined) external _pthread_key_create (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_destroy (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _pthread_rwlock_init (from libSystem)
                 (undefined) external _pthread_rwlock_rdlock (from libSystem)
                 (undefined) external _pthread_rwlock_unlock (from libSystem)
                 (undefined) external _pthread_rwlock_wrlock (from libSystem)
                 (undefined) external _pthread_set_qos_class_self_np (from libSystem)
                 (undefined) external _pthread_setspecific (from libSystem)
                 (undefined) external _pthread_setugid_np (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffb05559006 (__TEXT,__text) non-external _readstrm
00007ffb0555d0b4 (__TEXT,__text) non-external _readstrm
00007ffb05566e94 (__TEXT,__text) non-external _readstrm.cold.1
00007ffb05566f2f (__TEXT,__text) non-external _readstrm.cold.2
                 (undefined) external _realloc (from libSystem)
00007ffb05560966 (__TEXT,__text) non-external _realloc_stream
                 (undefined) external _reallocf (from libSystem)
                 (undefined) external _recvfrom (from libSystem)
00007ffb0556177f (__TEXT,__text) non-external (was a private external) _recvfrom_and_to
00007ffb05568ddf (__TEXT,__text) non-external _recvfrom_and_to.cold.1
                 (undefined) external _recvmsg (from libSystem)
00007ffb0555d01d (__TEXT,__text) non-external _rendezvous_abort_freeargs
00007ffb0555d00d (__TEXT,__text) non-external _rendezvous_abort_getargs
00007ffb0555d015 (__TEXT,__text) non-external _rendezvous_abort_reply
00007ffb0555d025 (__TEXT,__text) non-external _rendezvous_destroy
00007ffb0555ce74 (__TEXT,__text) non-external _rendezvous_request
00007ffb05566d38 (__TEXT,__text) non-external _rendezvous_request.cold.1
00007ffb0555d002 (__TEXT,__text) non-external _rendezvous_stat
00007ffb0555710e (__TEXT,__text) external _reply_addr_cache_create
00007ffb05557166 (__TEXT,__text) external _reply_addr_cache_destroy
00007ffb434db520 (__DATA,__data) non-external _reply_dscrm
00007ffb05562425 (__TEXT,__text) non-external _reset_if_addr_cache
00007ffb05558322 (__TEXT,__text) non-external _rpc_createerr_destroy
00007ffb42f71990 (__DATA_DIRTY,__bss) non-external _rpc_createerr_key
00007ffb42f71978 (__DATA_DIRTY,__data) non-external _rpc_createerr_once
00007ffb4060c970 (__DATA_CONST,__const) non-external _rpc_errlist
00007ffb434db4f8 (__DATA,__data) non-external _rpc_multicast
00007ffb434db4d0 (__DATA,__data) non-external _rpcb_addrs
00007ffb0555a4ba (__TEXT,__text) non-external _rpcb_mcastrecv
00007ffb055559a2 (__TEXT,__text) non-external _rpcbind_getaddr_generic
00007ffb055619ea (__TEXT,__text) non-external _search_local_ifaddr_cache
                 (undefined) external _sendto (from libSystem)
00007ffb434db550 (__DATA,__data) non-external _server_ops
00007ffb0556067c (__TEXT,__text) non-external _set_input_fragment
00007ffb055622e7 (__TEXT,__text) non-external (was a private external) _set_local_ephemeral_sockname
00007ffb434db880 (__DATA,__data) non-external _set_retry_timeout
00007ffb434db8e0 (__DATA,__data) non-external _set_retry_timeout
00007ffb434db890 (__DATA,__data) non-external _set_total_timeout
00007ffb434db8f0 (__DATA,__data) non-external _set_total_timeout
                 (undefined) external _setsockopt (from libSystem)
00007ffb05560625 (__TEXT,__text) non-external _skip_input_bytes
                 (undefined) external _sleep (from libSystem)
00007ffb0555822a (__TEXT,__text) non-external _slprintf
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _socket (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror_r (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
00007ffb434db468 (__DATA,__data) non-external _strm_ops
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strtol (from libSystem)
00007ffb434db940 (__DATA,__bss) non-external _svc_active_threads
00007ffb0555e6d5 (__TEXT,__text) non-external (was a private external) _svc_armxprt
00007ffb05567f20 (__TEXT,__text) non-external _svc_armxprt.cold.1
00007ffb05567fc1 (__TEXT,__text) non-external _svc_armxprt.cold.2
00007ffb0556804a (__TEXT,__text) non-external _svc_armxprt.cold.3
00007ffb0555e873 (__TEXT,__text) non-external (was a private external) _svc_clear_kq_control
00007ffb0555c12b (__TEXT,__text) non-external _svc_complete
00007ffb434dba84 (__DATA,__common) non-external (was a private external) _svc_cred_switch
00007ffb434db5d8 (__DATA,__data) non-external _svc_exit_cond
00007ffb434db944 (__DATA,__bss) non-external _svc_exit_flag
00007ffb0555ec35 (__TEXT,__text) non-external (was a private external) _svc_get_thread_req
00007ffb434db960 (__DATA,__bss) non-external _svc_head
00007ffb0555e867 (__TEXT,__text) non-external (was a private external) _svc_kq_control
00007ffb434db6d8 (__DATA,__data) non-external (was a private external) _svc_listen_backlog
00007ffb434db580 (__DATA,__data) non-external (was a private external) _svc_max_threads
00007ffb434db584 (__DATA,__data) non-external (was a private external) _svc_min_threads
00007ffb434db588 (__DATA,__data) non-external (was a private external) _svc_nreq
00007ffb0555e5ab (__TEXT,__text) non-external _svc_oncrpc_start
00007ffb05567d16 (__TEXT,__text) non-external _svc_oncrpc_start.cold.1
00007ffb05567dc4 (__TEXT,__text) non-external _svc_oncrpc_start.cold.2
00007ffb05567e72 (__TEXT,__text) non-external _svc_oncrpc_start.cold.3
00007ffb434db698 (__DATA,__data) non-external _svc_poll_cond
00007ffb434db658 (__DATA,__data) non-external _svc_poll_lock
00007ffb434db948 (__DATA,__bss) non-external _svc_polling
00007ffb0555e8f9 (__TEXT,__text) non-external (was a private external) _svc_rearmxprt
00007ffb05568254 (__TEXT,__text) non-external _svc_rearmxprt.cold.1
00007ffb055682f5 (__TEXT,__text) non-external _svc_rearmxprt.cold.2
00007ffb055683a3 (__TEXT,__text) non-external _svc_rearmxprt.cold.3
00007ffb434db790 (__DATA,__data) non-external _svc_register_lock
00007ffb0555ec6c (__TEXT,__text) external _svc_req_clone
00007ffb0555edbb (__TEXT,__text) external _svc_req_destroy
00007ffb0555e7d4 (__TEXT,__text) non-external (was a private external) _svc_rmxprt
00007ffb055680f8 (__TEXT,__text) non-external _svc_rmxprt.cold.1
00007ffb434db590 (__DATA,__data) non-external (was a private external) _svc_stack_size
00007ffb0555b9b0 (__TEXT,__text) non-external _svc_start_threads
00007ffb0555b95d (__TEXT,__text) non-external _svc_thread
00007ffb434db598 (__DATA,__data) non-external _svc_thread_lock
00007ffb434dba78 (__DATA,__common) non-external (was a private external) _svc_thread_qos_class
00007ffb434dba7c (__DATA,__common) non-external (was a private external) _svc_thread_relative_priority
00007ffb0555ea38 (__TEXT,__text) non-external (was a private external) _svc_unarmxprt
00007ffb05568444 (__TEXT,__text) non-external _svc_unarmxprt.cold.1
00007ffb055684e5 (__TEXT,__text) non-external _svc_unarmxprt.cold.2
00007ffb434db608 (__DATA,__data) non-external _svc_workq_lock
00007ffb0555e1ec (__TEXT,__text) non-external (was a private external) _svc_xprt_create
00007ffb05567bba (__TEXT,__text) non-external _svc_xprt_create.cold.1
00007ffb05567c68 (__TEXT,__text) non-external _svc_xprt_create.cold.2
00007ffb0555e43e (__TEXT,__text) non-external (was a private external) _svc_xprt_destroy
00007ffb4060cb10 (__DATA_CONST,__const) non-external _svcauthsw
00007ffb0555b89c (__TEXT,__text) non-external _svcraw_destroy
00007ffb0555b894 (__TEXT,__text) non-external _svcraw_freeargs
00007ffb0555b884 (__TEXT,__text) non-external _svcraw_getargs
00007ffb0555b871 (__TEXT,__text) non-external _svcraw_recv
00007ffb0555b88c (__TEXT,__text) non-external _svcraw_reply
00007ffb0555b879 (__TEXT,__text) non-external _svcraw_stat
00007ffb0555d05e (__TEXT,__text) non-external _svcstrm_destroy
00007ffb05566de6 (__TEXT,__text) non-external _svcstrm_destroy.cold.1
00007ffb0555c706 (__TEXT,__text) non-external _svcstrm_domain_create
00007ffb055661f9 (__TEXT,__text) non-external _svcstrm_domain_create.cold.1
00007ffb055662a7 (__TEXT,__text) non-external _svcstrm_domain_create.cold.2
00007ffb05566355 (__TEXT,__text) non-external _svcstrm_domain_create.cold.3
00007ffb0555d6fa (__TEXT,__text) non-external _svcstrm_freeargs
00007ffb0555d5a2 (__TEXT,__text) non-external _svcstrm_getargs
00007ffb434db710 (__DATA,__data) non-external _svcstrm_op
00007ffb0555d3d7 (__TEXT,__text) non-external _svcstrm_recv
00007ffb0556708b (__TEXT,__text) non-external _svcstrm_recv.cold.1
00007ffb05567126 (__TEXT,__text) non-external _svcstrm_recv.cold.2
00007ffb055671d4 (__TEXT,__text) non-external _svcstrm_recv.cold.3
00007ffb434db6e0 (__DATA,__data) non-external _svcstrm_rendezvous_op
00007ffb0555d644 (__TEXT,__text) non-external _svcstrm_reply
00007ffb0556726f (__TEXT,__text) non-external _svcstrm_reply.cold.1
00007ffb0555d546 (__TEXT,__text) non-external _svcstrm_stat
00007ffb0555c8c2 (__TEXT,__text) external _svcticots_create
00007ffb0555c8cc (__TEXT,__text) external _svcticotsord_create
00007ffb05566403 (__TEXT,__text) non-external _svcticotsord_create.cold.1
00007ffb055664b1 (__TEXT,__text) non-external _svcticotsord_create.cold.2
00007ffb0556655f (__TEXT,__text) non-external _svcticotsord_create.cold.3
00007ffb0556660d (__TEXT,__text) non-external _svcticotsord_create.cold.4
00007ffb055666bb (__TEXT,__text) non-external _svcticotsord_create.cold.5
00007ffb05566756 (__TEXT,__text) non-external _svcticotsord_create.cold.6
00007ffb055667f5 (__TEXT,__text) non-external _svcticotsord_create.cold.7
00007ffb05566889 (__TEXT,__text) non-external _svcticotsord_create.cold.8
00007ffb05566937 (__TEXT,__text) non-external _svcticotsord_create.cold.9
00007ffb0555e18e (__TEXT,__text) non-external _svcudp_destroy
00007ffb05567b0c (__TEXT,__text) non-external _svcudp_destroy.cold.1
00007ffb0555e160 (__TEXT,__text) non-external _svcudp_freeargs
00007ffb0555dd95 (__TEXT,__text) non-external _svcudp_getargs
00007ffb434db740 (__DATA,__data) non-external _svcudp_op
00007ffb0555da81 (__TEXT,__text) non-external _svcudp_recv
00007ffb05567731 (__TEXT,__text) non-external _svcudp_recv.cold.1
00007ffb055677df (__TEXT,__text) non-external _svcudp_recv.cold.2
00007ffb0555de16 (__TEXT,__text) non-external _svcudp_reply
00007ffb0556788d (__TEXT,__text) non-external _svcudp_reply.cold.1
00007ffb0556793b (__TEXT,__text) non-external _svcudp_reply.cold.2
00007ffb055679d6 (__TEXT,__text) non-external _svcudp_reply.cold.3
00007ffb05567a71 (__TEXT,__text) non-external _svcudp_reply.cold.4
00007ffb0555dd8a (__TEXT,__text) non-external _svcudp_stat
                 (undefined) external _sys_nerr (from libSystem)
00007ffb05558333 (__TEXT,__text) non-external _tsd_init_buf
00007ffb05564b87 (__TEXT,__text) non-external _tsd_init_buf.cold.1
00007ffb05555c99 (__TEXT,__text) non-external _tsd_init_rpc_createerr
00007ffb05564992 (__TEXT,__text) non-external _tsd_init_rpc_createerr.cold.1
00007ffb434db498 (__DATA,__data) non-external _udp_ops
00007ffb05561fd5 (__TEXT,__text) non-external _ugetport
00007ffb0555c2ef (__TEXT,__text) non-external _universal
00007ffb05565b9e (__TEXT,__text) non-external _universal.cold.1
00007ffb05565c34 (__TEXT,__text) non-external _universal.cold.2
00007ffb05565cc8 (__TEXT,__text) non-external _universal.cold.3
                 (undefined) external _unlink (from libSystem)
00007ffb434db8a0 (__DATA,__data) non-external _unset_retry_timeout
00007ffb434db900 (__DATA,__data) non-external _unset_retry_timeout
00007ffb434db8b0 (__DATA,__data) non-external _unset_total_timeout
00007ffb434db910 (__DATA,__data) non-external _unset_total_timeout
                 (undefined) external _vm_allocate (from libSystem)
                 (undefined) external _vm_deallocate (from libSystem)
                 (undefined) external _vsnprintf (from libSystem)
00007ffb0555e8a1 (__TEXT,__text) non-external _wakeup_kq
00007ffb055681a6 (__TEXT,__text) non-external _wakeup_kq.cold.1
                 (undefined) external _warnx (from libSystem)
00007ffb434db648 (__DATA,__data) non-external _workq
                 (undefined) external _write (from libSystem)
00007ffb05559104 (__TEXT,__text) non-external _writestrm
00007ffb0555d27b (__TEXT,__text) non-external _writestrm
00007ffb05566fdd (__TEXT,__text) non-external _writestrm.cold.1
00007ffb05560ca3 (__TEXT,__text) non-external _x_destroy
00007ffb05560c92 (__TEXT,__text) non-external _x_getpostn
00007ffb05560c1f (__TEXT,__text) non-external _x_inline
00007ffb05560c11 (__TEXT,__text) non-external _x_putbytes
00007ffb05560c02 (__TEXT,__text) non-external _x_putlong
00007ffb05560c9b (__TEXT,__text) non-external _x_setpostn
00007ffb05556408 (__TEXT,__text) non-external _xdr_accepted_reply
00007ffb0555abe2 (__TEXT,__text) non-external _xdr_callit_args
00007ffb0555febf (__TEXT,__text) non-external (was a private external) _xdr_is_memstream
00007ffb05560950 (__TEXT,__text) non-external (was a private external) _xdr_is_recstream
00007ffb0555ad7b (__TEXT,__text) non-external _xdr_pmapcallres
00007ffb0555b47b (__TEXT,__text) non-external _xdr_rejected_reply
00007ffb0555ac5d (__TEXT,__text) non-external _xdr_rmt3callres
00007ffb0556120d (__TEXT,__text) external _xdr_vmbytes
00007ffb05568c80 (__TEXT,__text) non-external _xdr_vmbytes.cold.1
00007ffb055692f8 (__TEXT,__const) non-external _xdr_zero
00007ffb0555599c (__TEXT,__text) non-external _xdrmem_destroy
00007ffb0555ff3f (__TEXT,__text) non-external _xdrmem_getbytes
00007ffb05556352 (__TEXT,__text) non-external _xdrmem_getlong_aligned
00007ffb0555fee8 (__TEXT,__text) non-external _xdrmem_getlong_unaligned
00007ffb0555563b (__TEXT,__text) non-external _xdrmem_getpos
00007ffb0555fe56 (__TEXT,__text) non-external (was a private external) _xdrmem_getrecord
00007ffb0555ff80 (__TEXT,__text) non-external _xdrmem_inline_aligned
00007ffb0555ff78 (__TEXT,__text) non-external _xdrmem_inline_unaligned
00007ffb4060cb70 (__DATA_CONST,__const) non-external _xdrmem_ops_aligned
00007ffb4060cb28 (__DATA_CONST,__const) non-external _xdrmem_ops_unaligned
00007ffb0555625a (__TEXT,__text) non-external _xdrmem_putbytes
00007ffb05555604 (__TEXT,__text) non-external _xdrmem_putlong_aligned
00007ffb0555ff15 (__TEXT,__text) non-external _xdrmem_putlong_unaligned
00007ffb055561fb (__TEXT,__text) non-external _xdrmem_setpos
00007ffb0556028b (__TEXT,__text) non-external _xdrrec_destroy
00007ffb0556006f (__TEXT,__text) non-external _xdrrec_getbytes
00007ffb0555ffa1 (__TEXT,__text) non-external _xdrrec_getlong
00007ffb0556016b (__TEXT,__text) non-external _xdrrec_getpos
00007ffb055607f0 (__TEXT,__text) non-external (was a private external) _xdrrec_getrecord
00007ffb05560240 (__TEXT,__text) non-external _xdrrec_inline
00007ffb05560454 (__TEXT,__text) non-external (was a private external) _xdrrec_isrecordstart
00007ffb05568a02 (__TEXT,__text) non-external _xdrrec_isrecordstart.cold.1
00007ffb4060cbb8 (__DATA_CONST,__const) non-external (was a private external) _xdrrec_ops
00007ffb055600e7 (__TEXT,__text) non-external _xdrrec_putbytes
00007ffb05560009 (__TEXT,__text) non-external _xdrrec_putlong
00007ffb055601be (__TEXT,__text) non-external _xdrrec_setpos
00007ffb05560e21 (__TEXT,__text) non-external _xdrstdio_destroy
00007ffb05560d86 (__TEXT,__text) non-external _xdrstdio_getbytes
00007ffb05560d06 (__TEXT,__text) non-external _xdrstdio_getlong
00007ffb05560de6 (__TEXT,__text) non-external _xdrstdio_getpos
00007ffb05560e19 (__TEXT,__text) non-external _xdrstdio_inline
00007ffb4060cc00 (__DATA_CONST,__const) non-external _xdrstdio_ops
00007ffb05560db6 (__TEXT,__text) non-external _xdrstdio_putbytes
00007ffb05560d4d (__TEXT,__text) non-external _xdrstdio_putlong
00007ffb05560e01 (__TEXT,__text) non-external _xdrstdio_setpos
00007ffb0555e4c4 (__TEXT,__text) non-external (was a private external) _xprt_ref
00007ffb0555e50a (__TEXT,__text) non-external (was a private external) _xprt_unref
