00000001e9d1b18c (__TEXT,__text) non-external +[CPIndex log]
00000001e9d32c50 (__TEXT,__text) non-external -[PMParamKeyValue key]
00000001e9d32b0c (__TEXT,__text) non-external -[PMParamKeyValue mergeFrom:]
00000001e9d323dc (__TEXT,__text) non-external -[PMParamKeyValue readFrom:]
00000001e9d31640 (__TEXT,__text) non-external -[PMParamKeyValue setBoolValue:]
00000001e9d315ec (__TEXT,__text) non-external -[PMParamKeyValue setDoubleValue:]
00000001e9d3158c (__TEXT,__text) non-external -[PMParamKeyValue setFloatValue:]
00000001e9d31664 (__TEXT,__text) non-external -[PMParamKeyValue setHasBoolValue:]
00000001e9d31610 (__TEXT,__text) non-external -[PMParamKeyValue setHasDoubleValue:]
00000001e9d315b0 (__TEXT,__text) non-external -[PMParamKeyValue setHasFloatValue:]
00000001e9d31550 (__TEXT,__text) non-external -[PMParamKeyValue setHasIntValue:]
00000001e9d3152c (__TEXT,__text) non-external -[PMParamKeyValue setIntValue:]
00000001e9d32c60 (__TEXT,__text) non-external -[PMParamKeyValue setKey:]
00000001e9d32c84 (__TEXT,__text) non-external -[PMParamKeyValue setStringValue:]
00000001e9d32c74 (__TEXT,__text) non-external -[PMParamKeyValue stringValue]
00000001e9d323e4 (__TEXT,__text) non-external -[PMParamKeyValue writeTo:]
00000001e9d409e0 (__TEXT,__text) non-external -[PMParamKeyValue writeTo:].cold.1
00000001e9d30534 (__TEXT,__text) non-external -[PMParameters .cxx_destruct]
00000001e9d2f7f8 (__TEXT,__text) non-external -[PMParameters addKeyvalue:]
00000001e9d2f7e0 (__TEXT,__text) non-external -[PMParameters clearKeyvalues]
00000001e9d300ac (__TEXT,__text) non-external -[PMParameters copyTo:]
00000001e9d30194 (__TEXT,__text) non-external -[PMParameters copyWithZone:]
00000001e9d2f8bc (__TEXT,__text) non-external -[PMParameters description]
00000001e9d2f984 (__TEXT,__text) non-external -[PMParameters dictionaryRepresentation]
00000001e9d303c0 (__TEXT,__text) non-external -[PMParameters hash]
00000001e9d3031c (__TEXT,__text) non-external -[PMParameters isEqual:]
00000001e9d2f898 (__TEXT,__text) non-external -[PMParameters keyvalueAtIndex:]
00000001e9d2f880 (__TEXT,__text) non-external -[PMParameters keyvaluesCount]
00000001e9d30510 (__TEXT,__text) non-external -[PMParameters keyvalues]
00000001e9d303d8 (__TEXT,__text) non-external -[PMParameters mergeFrom:]
00000001e9d2ff68 (__TEXT,__text) non-external -[PMParameters readFrom:]
00000001e9d30520 (__TEXT,__text) non-external -[PMParameters setKeyvalues:]
00000001e9d2ff70 (__TEXT,__text) non-external -[PMParameters writeTo:]
00000001e9d31504 (__TEXT,__text) non-external -[PMParameters(GetParamValue) boolValueForKey:]
00000001e9d31304 (__TEXT,__text) non-external -[PMParameters(GetParamValue) boolValueForKey:fallbackParameters:]
00000001e9d30824 (__TEXT,__text) non-external -[PMParameters(GetParamValue) fallbackKeyValueForKey:fallbackParameters:]
00000001e9d314f4 (__TEXT,__text) non-external -[PMParameters(GetParamValue) floatValueForKey:]
00000001e9d31104 (__TEXT,__text) non-external -[PMParameters(GetParamValue) floatValueForKey:fallbackParameters:]
00000001e9d314e4 (__TEXT,__text) non-external -[PMParameters(GetParamValue) intValueForKey:]
00000001e9d30f34 (__TEXT,__text) non-external -[PMParameters(GetParamValue) intValueForKey:fallbackParameters:]
00000001e9d30b88 (__TEXT,__text) non-external -[PMParameters(GetParamValue) kvForKey:fallbackParameters:]
00000001e9d30680 (__TEXT,__text) non-external -[PMParameters(GetParamValue) parameterKeyValueForKey:]
00000001e9d314d4 (__TEXT,__text) non-external -[PMParameters(GetParamValue) stringValueForKey:]
00000001e9d30d4c (__TEXT,__text) non-external -[PMParameters(GetParamValue) stringValueForKey:fallbackParameters:]
00000001e9d367a8 (__TEXT,__text) non-external -[PMPerson .cxx_destruct]
00000001e9d36474 (__TEXT,__text) non-external -[PMPerson copyTo:]
00000001e9d364f4 (__TEXT,__text) non-external -[PMPerson copyWithZone:]
00000001e9d35ed8 (__TEXT,__text) non-external -[PMPerson description]
00000001e9d35fa0 (__TEXT,__text) non-external -[PMPerson dictionaryRepresentation]
00000001e9d36784 (__TEXT,__text) non-external -[PMPerson emailAddress]
00000001e9d35ec0 (__TEXT,__text) non-external -[PMPerson hasEmailAddress]
00000001e9d35ea8 (__TEXT,__text) non-external -[PMPerson hasName]
00000001e9d36680 (__TEXT,__text) non-external -[PMPerson hash]
00000001e9d365a8 (__TEXT,__text) non-external -[PMPerson isEqual:]
00000001e9d366e0 (__TEXT,__text) non-external -[PMPerson mergeFrom:]
00000001e9d36760 (__TEXT,__text) non-external -[PMPerson name]
00000001e9d363f4 (__TEXT,__text) non-external -[PMPerson readFrom:]
00000001e9d36794 (__TEXT,__text) non-external -[PMPerson setEmailAddress:]
00000001e9d36770 (__TEXT,__text) non-external -[PMPerson setName:]
00000001e9d363fc (__TEXT,__text) non-external -[PMPerson writeTo:]
00000001e9d27528 (__TEXT,__text) non-external -[PMPerson(Conversion) toCSPerson]
00000001e9d37884 (__TEXT,__text) non-external -[PMQuery .cxx_destruct]
00000001e9d37110 (__TEXT,__text) non-external -[PMQuery copyTo:]
00000001e9d37230 (__TEXT,__text) non-external -[PMQuery copyWithZone:]
00000001e9d377d0 (__TEXT,__text) non-external -[PMQuery country]
00000001e9d368a4 (__TEXT,__text) non-external -[PMQuery description]
00000001e9d3696c (__TEXT,__text) non-external -[PMQuery dictionaryRepresentation]
00000001e9d3682c (__TEXT,__text) non-external -[PMQuery hasCountry]
00000001e9d36814 (__TEXT,__text) non-external -[PMQuery hasLanguage]
00000001e9d3685c (__TEXT,__text) non-external -[PMQuery hasOriginalQuery]
00000001e9d36844 (__TEXT,__text) non-external -[PMQuery hasRawQuery]
00000001e9d367fc (__TEXT,__text) non-external -[PMQuery hasRoot]
00000001e9d3688c (__TEXT,__text) non-external -[PMQuery hasSearchParams]
00000001e9d36874 (__TEXT,__text) non-external -[PMQuery hasTokenizedQuery]
00000001e9d37560 (__TEXT,__text) non-external -[PMQuery hash]
00000001e9d373ac (__TEXT,__text) non-external -[PMQuery isEqual:]
00000001e9d377ac (__TEXT,__text) non-external -[PMQuery language]
00000001e9d37638 (__TEXT,__text) non-external -[PMQuery mergeFrom:]
00000001e9d37818 (__TEXT,__text) non-external -[PMQuery originalQuery]
00000001e9d377f4 (__TEXT,__text) non-external -[PMQuery rawQuery]
00000001e9d37004 (__TEXT,__text) non-external -[PMQuery readFrom:]
00000001e9d37788 (__TEXT,__text) non-external -[PMQuery root]
00000001e9d37860 (__TEXT,__text) non-external -[PMQuery searchParams]
00000001e9d377e0 (__TEXT,__text) non-external -[PMQuery setCountry:]
00000001e9d377bc (__TEXT,__text) non-external -[PMQuery setLanguage:]
00000001e9d37828 (__TEXT,__text) non-external -[PMQuery setOriginalQuery:]
00000001e9d37804 (__TEXT,__text) non-external -[PMQuery setRawQuery:]
00000001e9d37798 (__TEXT,__text) non-external -[PMQuery setRoot:]
00000001e9d37870 (__TEXT,__text) non-external -[PMQuery setSearchParams:]
00000001e9d3784c (__TEXT,__text) non-external -[PMQuery setTokenizedQuery:]
00000001e9d3783c (__TEXT,__text) non-external -[PMQuery tokenizedQuery]
00000001e9d3700c (__TEXT,__text) non-external -[PMQuery writeTo:]
00000001e9d38c34 (__TEXT,__text) non-external -[PMQuery(InitMethods) _build:stack:]
00000001e9d38838 (__TEXT,__text) non-external -[PMQuery(InitMethods) _evalTimeExpression:deltaString:]
00000001e9d38668 (__TEXT,__text) non-external -[PMQuery(InitMethods) _lookupAttribute:]
00000001e9d38814 (__TEXT,__text) non-external -[PMQuery(InitMethods) _lookupOperator:]
00000001e9d39394 (__TEXT,__text) non-external -[PMQuery(InitMethods) _parse:]
00000001e9d39dd8 (__TEXT,__text) non-external -[PMQuery(InitMethods) _printQueryTree:]
00000001e9d39708 (__TEXT,__text) non-external -[PMQuery(InitMethods) _stringifyQueryTree:indent:]
00000001e9d382ec (__TEXT,__text) non-external -[PMQuery(InitMethods) addFiltersToQuery:optimize:]
00000001e9d37f2c (__TEXT,__text) non-external -[PMQuery(InitMethods) initWithCSQueryString:optimize:]
00000001e9d37e78 (__TEXT,__text) non-external -[PMQuery(InitMethods) initWithQueryString:]
00000001e9d3a12c (__TEXT,__text) non-external -[PMQuery(InitMethods) optimizeQuery:originalQueryParts:]
00000001e9d39f10 (__TEXT,__text) non-external -[PMQuery(InitMethods) removeWildCard:]
00000001e9d3fba8 (__TEXT,__text) non-external -[PMQueryNode .cxx_destruct]
00000001e9d3b5d8 (__TEXT,__text) non-external -[PMQueryNode StringAsKeys:]
00000001e9d3c648 (__TEXT,__text) non-external -[PMQueryNode StringAsMergeOp:]
00000001e9d3c2ac (__TEXT,__text) non-external -[PMQueryNode StringAsOp:]
00000001e9d3c704 (__TEXT,__text) non-external -[PMQueryNode addChild:]
00000001e9d3ab74 (__TEXT,__text) non-external -[PMQueryNode addKey:]
00000001e9d3fb74 (__TEXT,__text) non-external -[PMQueryNode boolValue]
00000001e9d3c7a4 (__TEXT,__text) non-external -[PMQueryNode childAtIndex:]
00000001e9d3c78c (__TEXT,__text) non-external -[PMQueryNode childsCount]
00000001e9d3fb84 (__TEXT,__text) non-external -[PMQueryNode childs]
00000001e9d3c6ec (__TEXT,__text) non-external -[PMQueryNode clearChilds]
00000001e9d3ab64 (__TEXT,__text) non-external -[PMQueryNode clearKeys]
00000001e9d3ef18 (__TEXT,__text) non-external -[PMQueryNode copyTo:]
00000001e9d3f1ac (__TEXT,__text) non-external -[PMQueryNode copyWithZone:]
00000001e9d3aaec (__TEXT,__text) non-external -[PMQueryNode dealloc]
00000001e9d3c7c8 (__TEXT,__text) non-external -[PMQueryNode description]
00000001e9d3c890 (__TEXT,__text) non-external -[PMQueryNode dictionaryRepresentation]
00000001e9d3fb64 (__TEXT,__text) non-external -[PMQueryNode doubleValue]
00000001e9d3fb54 (__TEXT,__text) non-external -[PMQueryNode floatValue]
00000001e9d3bfb4 (__TEXT,__text) non-external -[PMQueryNode hasBoolValue]
00000001e9d3bf54 (__TEXT,__text) non-external -[PMQueryNode hasDoubleValue]
00000001e9d3bf00 (__TEXT,__text) non-external -[PMQueryNode hasFloatValue]
00000001e9d3bea0 (__TEXT,__text) non-external -[PMQueryNode hasIntValue]
00000001e9d3c584 (__TEXT,__text) non-external -[PMQueryNode hasMergeOp]
00000001e9d3c03c (__TEXT,__text) non-external -[PMQueryNode hasOp]
00000001e9d3be3c (__TEXT,__text) non-external -[PMQueryNode hasStringValue]
00000001e9d3f65c (__TEXT,__text) non-external -[PMQueryNode hash]
00000001e9d3fb44 (__TEXT,__text) non-external -[PMQueryNode intValue]
00000001e9d3f468 (__TEXT,__text) non-external -[PMQueryNode isEqual:]
00000001e9d3ab88 (__TEXT,__text) non-external -[PMQueryNode keyAtIndex:]
00000001e9d3ac7c (__TEXT,__text) non-external -[PMQueryNode keysAsString:]
00000001e9d3ab40 (__TEXT,__text) non-external -[PMQueryNode keysCount]
00000001e9d3ab54 (__TEXT,__text) non-external -[PMQueryNode keys]
00000001e9d3f868 (__TEXT,__text) non-external -[PMQueryNode mergeFrom:]
00000001e9d3c598 (__TEXT,__text) non-external -[PMQueryNode mergeOpAsString:]
00000001e9d3c510 (__TEXT,__text) non-external -[PMQueryNode mergeOp]
00000001e9d3c050 (__TEXT,__text) non-external -[PMQueryNode opAsString:]
00000001e9d3bfc8 (__TEXT,__text) non-external -[PMQueryNode op]
00000001e9d3ec9c (__TEXT,__text) non-external -[PMQueryNode readFrom:]
00000001e9d3bf68 (__TEXT,__text) non-external -[PMQueryNode setBoolValue:]
00000001e9d3fb94 (__TEXT,__text) non-external -[PMQueryNode setChilds:]
00000001e9d3bf14 (__TEXT,__text) non-external -[PMQueryNode setDoubleValue:]
00000001e9d3beb4 (__TEXT,__text) non-external -[PMQueryNode setFloatValue:]
00000001e9d3bf8c (__TEXT,__text) non-external -[PMQueryNode setHasBoolValue:]
00000001e9d3bf38 (__TEXT,__text) non-external -[PMQueryNode setHasDoubleValue:]
00000001e9d3bed8 (__TEXT,__text) non-external -[PMQueryNode setHasFloatValue:]
00000001e9d3be78 (__TEXT,__text) non-external -[PMQueryNode setHasIntValue:]
00000001e9d3c55c (__TEXT,__text) non-external -[PMQueryNode setHasMergeOp:]
00000001e9d3c014 (__TEXT,__text) non-external -[PMQueryNode setHasOp:]
00000001e9d3be54 (__TEXT,__text) non-external -[PMQueryNode setIntValue:]
00000001e9d3ac64 (__TEXT,__text) non-external -[PMQueryNode setKeys:count:]
00000001e9d3c538 (__TEXT,__text) non-external -[PMQueryNode setMergeOp:]
00000001e9d3bff0 (__TEXT,__text) non-external -[PMQueryNode setOp:]
00000001e9d3fb30 (__TEXT,__text) non-external -[PMQueryNode setStringValue:]
00000001e9d3fb20 (__TEXT,__text) non-external -[PMQueryNode stringValue]
00000001e9d3eca4 (__TEXT,__text) non-external -[PMQueryNode writeTo:]
00000001e9d4514c (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001e9d457f0 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001e9d45cb0 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001e9d45368 (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00000001e9d45a24 (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00000001e9d45548 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001e9d45ad8 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001e9d45aec (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001e9d45574 (__TEXT,__gcc_except_tab) non-external GCC_except_table13
00000001e9d45b20 (__TEXT,__gcc_except_tab) non-external GCC_except_table13
00000001e9d45608 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001e9d45648 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00000001e9d456b4 (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00000001e9d4572c (__TEXT,__gcc_except_tab) non-external GCC_except_table17
00000001e9d45748 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001e9d45768 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001e9d45804 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001e9d45cbc (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001e9d45788 (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001e9d457a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001e9d457c8 (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001e9d45860 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001e9d4510c (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001e9d45124 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001e9d458b4 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001e9d450ec (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001e9d4515c (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001e9d45170 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00000001e9d4518c (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001e9d458d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001e9d452b0 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000001e9d459c4 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFCalendarComposeAbsoluteTime (from CoreFoundation)
                 (undefined) external _CFCalendarCreateWithIdentifier (from CoreFoundation)
                 (undefined) external _CFCalendarDecomposeAbsoluteTime (from CoreFoundation)
                 (undefined) external _CFCalendarGetOrdinalityOfUnit (from CoreFoundation)
                 (undefined) external _CFCalendarSetTimeZone (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFTimeZoneCopySystem (from CoreFoundation)
                 (undefined) external _CFTimeZoneCreateWithTimeIntervalFromGMT (from CoreFoundation)
                 (undefined) external _CNContactEmailAddressesKey (from Contacts)
00000001e9d23e90 (__TEXT,__text) external _CPPommesItemsForSpotlightItems
00000001e9d2280c (__TEXT,__text) external _CPSpotlightItemsForPommesItems
00000001e9d427e0 (__TEXT,__const) external _CPSpotlightShimSettingsMailWorkaroundsEnabled
                 (undefined) external _CSIndexErrorDomain (from CoreSpotlight)
                 (undefined) external _CSSearchQueryErrorDomain (from CoreSpotlight)
00000001e9d427d0 (__TEXT,__const) external _CorePommesVersionNumber
00000001e9d427a0 (__TEXT,__const) external _CorePommesVersionString
                 (undefined) external _MDItemContentSnippet (from CoreSpotlight)
                 (undefined) external _NSFileProtectionComplete (from Foundation)
                 (undefined) external _NSFileProtectionCompleteUnlessOpen (from Foundation)
                 (undefined) external _NSFileProtectionCompleteUntilFirstUserAuthentication (from Foundation)
                 (undefined) external _NSRangeException (from CoreFoundation)
                 (undefined) external _NSStringFromClass (from Foundation)
000000020ef3ab30 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPIndex
000000020ef3aba8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPIndexFactory
000000020ef3abd0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPSearch
000000020ef3ace8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPSearchContext
000000020ef3ac48 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPSearchFactory
000000020ef3ad10 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPSearchQueryShim
000000020ef3ac70 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPSearchableIndexShim
000000020ef3ad60 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPTopHitSearchQueryShim
000000020ef3adb0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPXPCConnection
000000020ef3ae28 (__AUTH,__objc_data) external _OBJC_CLASS_$_CPXPCConnectionFactory
                 (undefined) external _OBJC_CLASS_$_CSPerson (from CoreSpotlight)
                 (undefined) external _OBJC_CLASS_$_CSSearchQueryContext (from CoreSpotlight)
                 (undefined) external _OBJC_CLASS_$_CSSearchableIndex (from CoreSpotlight)
                 (undefined) external _OBJC_CLASS_$_CSSearchableItem (from CoreSpotlight)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_PBCodable (from ProtocolBuffer)
000000020ef3ae50 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMAttribute
000000020ef3aea0 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMCard
000000020ef3aef0 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMDeviceLockMonitor
000000020ef3af40 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMIndexableItem
000000020ef3afe0 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMParamKeyValue
000000020ef3af90 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMParameters
000000020ef3b030 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMParamsManager
000000020ef3b080 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMPerson
000000020ef3b0d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMQuery
000000020ef3b120 (__AUTH,__objc_data) external _OBJC_CLASS_$_PMQueryNode
000000020cd45300 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._batchOpen
000000020cd45314 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._batchedItemIdentifiersToDelete
000000020cd45310 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._batchedItemsToIndex
000000020cd45318 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._connection
000000020cd45308 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._name
000000020cd45304 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._noBatching
000000020cd4530c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPIndex._protectionClass
000000020cd45320 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearch._completionHandler
000000020cd45330 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearch._connection
000000020cd45324 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearch._filterQueries
000000020cd4531c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearch._foundItemsHandler
000000020cd4532c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearch._query
000000020cd45328 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearch._searchContext
000000020cd45344 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchContext._maxResults
000000020cd4534c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchContext._protectionClasses
000000020cd45348 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchContext._searchParamStr
000000020cd45340 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchContext._topHitQuery
000000020cd45380 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._bundleIDs
000000020cd4535c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._canceled
000000020cd45370 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._changedItemsHandler
000000020cd45368 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._completionHandler
000000020cd45378 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._countChangedHandler
000000020cd45360 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._csSearchQuery
000000020cd4537c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._foundItemHandler
000000020cd45364 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._foundItemsHandler
000000020cd4536c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._gatherEndedHandler
000000020cd45354 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._handlerBlockLock
000000020cd45374 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._removedItemsHandler
000000020cd45384 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._search
000000020cd45358 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._searchState
000000020cd45350 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchQueryShim._stateLock
000000020cd45334 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchableIndexShim._index
000000020cd4533c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchableIndexShim._indexDelegate
000000020cd45338 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPSearchableIndexShim._spotlightIndex
000000020cd45388 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPXPCConnection._invalidated
000000020cd4538c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CPXPCConnection._searchConnection
                 (undefined) external _OBJC_IVAR_$_PBDataReader._bytes (from ProtocolBuffer)
                 (undefined) external _OBJC_IVAR_$_PBDataReader._error (from ProtocolBuffer)
                 (undefined) external _OBJC_IVAR_$_PBDataReader._length (from ProtocolBuffer)
                 (undefined) external _OBJC_IVAR_$_PBDataReader._pos (from ProtocolBuffer)
000000020cd453ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._boolValue
000000020cd453b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._bytesValue
000000020cd45398 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._customKey
000000020cd453a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._doubleValue
000000020cd453a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._floatValue
000000020cd45390 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._has
000000020cd453a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._intValue
000000020cd45394 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._key
000000020cd453b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._personValue
000000020cd453bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._personValues
000000020cd4539c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._stringValue
000000020cd453b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMAttribute._stringValues
000000020cd453d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMCard._freshness
000000020cd453cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMCard._fullScore
000000020cd453c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMCard._has
000000020cd453c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMCard._lightScore
000000020cd453d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMCard._mailDateReceived
000000020cd453c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMCard._textScore
000000020cd453e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PMDeviceLockMonitor._delegate
000000020cd453e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PMDeviceLockMonitor._delegateQueue
000000020cd453d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PMDeviceLockMonitor._deviceUnlockedSinceBoot
000000020cd453dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_PMDeviceLockMonitor._protectedDataAvailable
000000020cd453e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PMIndexableItem._attributes
