000000021eb5aa00 (__TEXT,__text) non-external _Done_iODBC
000000022c065f58 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
000000022c065c58 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
000000022c065f80 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
000000022c065498 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
000000022c0650a0 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
000000022c0654b8 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
000000022c065168 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
000000022c065188 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
000000022c065238 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
000000022c065538 (__DATA_CONST,__const) non-external __mask_SQL_UNION
000000022c0654e8 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
000000022c064ea0 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
000000021eb723e4 (__TEXT,__text) non-external __trace_bufferlen
000000021eb71aa4 (__TEXT,__text) non-external __trace_c_type
000000021eb6e6f8 (__TEXT,__text) non-external __trace_colattr2_type
000000021eb6eab0 (__TEXT,__text) non-external __trace_colattr3_data
000000021eb6e758 (__TEXT,__text) non-external __trace_colattr3_type
000000021eb6a77c (__TEXT,__text) non-external __trace_connattr_type
000000021eb72740 (__TEXT,__text) non-external __trace_connopt_type
000000021eb749b8 (__TEXT,__text) non-external __trace_connstr
000000021eb74ce0 (__TEXT,__text) non-external __trace_connstr_hidepwd
000000021eb74c18 (__TEXT,__text) non-external __trace_connstr_w
000000021eb73bb8 (__TEXT,__text) non-external __trace_data
000000021eb6aa78 (__TEXT,__text) non-external __trace_desc_null
000000021eb6dfbc (__TEXT,__text) non-external __trace_descfield_type
000000021eb73830 (__TEXT,__text) non-external __trace_diag_type
000000021eb7039c (__TEXT,__text) non-external __trace_direction
000000021eb74ab8 (__TEXT,__text) non-external __trace_drvcn_completion
000000021eb6b494 (__TEXT,__text) non-external __trace_envattr_type
000000021eb6bd48 (__TEXT,__text) non-external __trace_fetchtype
000000021eb752b4 (__TEXT,__text) non-external __trace_freestmt_option
000000021eb6f9d0 (__TEXT,__text) non-external __trace_func_name
000000021eb6f904 (__TEXT,__text) non-external __trace_func_result
000000021eb6bfdc (__TEXT,__text) non-external __trace_getinfo
000000021eb713bc (__TEXT,__text) non-external __trace_handle
000000021eb71348 (__TEXT,__text) non-external __trace_handle_p
000000021eb712e8 (__TEXT,__text) non-external __trace_handletype
000000021eb71e1c (__TEXT,__text) non-external __trace_inouttype
000000021eb71480 (__TEXT,__text) non-external __trace_integer
000000021eb71620 (__TEXT,__text) non-external __trace_integer_p
000000021eb71754 (__TEXT,__text) non-external __trace_len
000000021eb717bc (__TEXT,__text) non-external __trace_len_p
000000021eb714f0 (__TEXT,__text) non-external __trace_pointer
000000021eb710f4 (__TEXT,__text) non-external __trace_print_function
000000021eb6be54 (__TEXT,__text) non-external __trace_scrollopt_type
000000021eb6bb68 (__TEXT,__text) non-external __trace_setpos_irow
000000021eb6bc00 (__TEXT,__text) non-external __trace_setpos_lock
000000021eb6bba0 (__TEXT,__text) non-external __trace_setpos_oper
000000021eb71410 (__TEXT,__text) non-external __trace_smallint
000000021eb71538 (__TEXT,__text) non-external __trace_smallint_p
000000021eb6b794 (__TEXT,__text) non-external __trace_spcols_null
000000021eb6b734 (__TEXT,__text) non-external __trace_spcols_scope
000000021eb6b6d0 (__TEXT,__text) non-external __trace_spcols_type
000000021eb72300 (__TEXT,__text) non-external __trace_sql_subtype
000000021eb71e7c (__TEXT,__text) non-external __trace_sql_type
000000021eb720a0 (__TEXT,__text) non-external __trace_sql_type_p
000000021eb74f70 (__TEXT,__text) non-external __trace_stats_accuracy
000000021eb74f0c (__TEXT,__text) non-external __trace_stats_unique
000000021eb72b0c (__TEXT,__text) non-external __trace_stmtattr_type
000000021eb73470 (__TEXT,__text) non-external __trace_stmtopt_type
000000021eb718a4 (__TEXT,__text) non-external __trace_string
000000021eb71988 (__TEXT,__text) non-external __trace_string_w
000000021eb71708 (__TEXT,__text) non-external __trace_stringlen
000000022c066080 (__DATA_CONST,__const) non-external __trace_sym_handletype
000000021eb742a8 (__TEXT,__text) non-external __trace_tran_completion
000000021eb745ec (__TEXT,__text) non-external __trace_typeinfo
000000021eb714b8 (__TEXT,__text) non-external __trace_uinteger
000000021eb71694 (__TEXT,__text) non-external __trace_uinteger_p
000000021eb71788 (__TEXT,__text) non-external __trace_ulen
000000021eb71830 (__TEXT,__text) non-external __trace_ulen_p
000000021eb71448 (__TEXT,__text) non-external __trace_usmallint
000000021eb715ac (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000022f22285a (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000021eb762e8 (__TEXT,__text) non-external _dm_SQL_A2W
000000021eb76824 (__TEXT,__text) non-external _dm_SQL_U8toW
000000021eb7626c (__TEXT,__text) non-external _dm_SQL_W2A
000000021eb7657c (__TEXT,__text) non-external _dm_SQL_WtoU8
000000021eb76364 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
000000021eb76a40 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
000000021eb76414 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
000000021eb764c4 (__TEXT,__text) non-external _dm_strcpy_A2W
000000021eb76520 (__TEXT,__text) non-external _dm_strcpy_W2A
000000021eb77fa4 (__TEXT,__text) non-external _do_create_dsns
000000022f222818 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
000000022f2227f8 (__DATA,__common) non-external _ierror
000000021eb780f8 (__TEXT,__text) non-external _install_from_ini
000000021eb785c4 (__TEXT,__text) non-external _install_from_string
000000022f222260 (__DATA,__data) external _iodbc_version
000000022f222738 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000022f222780 (__DATA,__data) non-external _numerrors
000000022f222268 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
000000022f222788 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000021eb78770 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
000000022c064310 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
000000022f2227c8 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
000000021eb6d86c (__TEXT,__text) non-external _trace_SQLAllocConnect
000000021eb72674 (__TEXT,__text) non-external _trace_SQLAllocEnv
000000021eb6e528 (__TEXT,__text) non-external _trace_SQLAllocHandle
000000021eb70298 (__TEXT,__text) non-external _trace_SQLAllocStmt
000000021eb6e478 (__TEXT,__text) non-external _trace_SQLBindCol
000000021eb6f15c (__TEXT,__text) non-external _trace_SQLBindParameter
000000021eb724c4 (__TEXT,__text) non-external _trace_SQLBrowseConnect
000000021eb7259c (__TEXT,__text) non-external _trace_SQLBrowseConnectW
000000021eb6b634 (__TEXT,__text) non-external _trace_SQLBulkOperations
000000021eb73b08 (__TEXT,__text) non-external _trace_SQLCancel
000000021eb70354 (__TEXT,__text) non-external _trace_SQLCloseCursor
000000021eb6e9f0 (__TEXT,__text) non-external _trace_SQLColAttribute
000000021eb6eeb0 (__TEXT,__text) non-external _trace_SQLColAttributeW
000000021eb6ef70 (__TEXT,__text) non-external _trace_SQLColAttributes
000000021eb6f03c (__TEXT,__text) non-external _trace_SQLColAttributesW
000000021eb735f8 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
000000021eb73714 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
000000021eb6d964 (__TEXT,__text) non-external _trace_SQLColumns
000000021eb6da80 (__TEXT,__text) non-external _trace_SQLColumnsW
000000021eb72ee0 (__TEXT,__text) non-external _trace_SQLConnect
000000021eb72fcc (__TEXT,__text) non-external _trace_SQLConnectW
000000021eb6bcf0 (__TEXT,__text) non-external _trace_SQLCopyDesc
000000021eb70428 (__TEXT,__text) non-external _trace_SQLDataSources
000000021eb70528 (__TEXT,__text) non-external _trace_SQLDataSourcesW
000000021eb6ab0c (__TEXT,__text) non-external _trace_SQLDescribeCol
000000021eb6ac18 (__TEXT,__text) non-external _trace_SQLDescribeColW
000000021eb73538 (__TEXT,__text) non-external _trace_SQLDescribeParam
000000021eb7030c (__TEXT,__text) non-external _trace_SQLDisconnect
000000021eb748b8 (__TEXT,__text) non-external _trace_SQLDriverConnect
000000021eb74b18 (__TEXT,__text) non-external _trace_SQLDriverConnectW
000000021eb6f42c (__TEXT,__text) non-external _trace_SQLDrivers
000000021eb6f52c (__TEXT,__text) non-external _trace_SQLDriversW
000000021eb6d804 (__TEXT,__text) non-external _trace_SQLEndTran
000000021eb6af94 (__TEXT,__text) non-external _trace_SQLError
000000021eb6b094 (__TEXT,__text) non-external _trace_SQLErrorW
000000021eb70034 (__TEXT,__text) non-external _trace_SQLExecDirect
000000021eb700b8 (__TEXT,__text) non-external _trace_SQLExecDirectW
000000021eb6b688 (__TEXT,__text) non-external _trace_SQLExecute
000000021eb6bdac (__TEXT,__text) non-external _trace_SQLExtendedFetch
000000021eb70730 (__TEXT,__text) non-external _trace_SQLFetch
000000021eb726d8 (__TEXT,__text) non-external _trace_SQLFetchScroll
000000021eb730b8 (__TEXT,__text) non-external _trace_SQLForeignKeys
000000021eb73238 (__TEXT,__text) non-external _trace_SQLForeignKeysW
000000021eb73428 (__TEXT,__text) non-external _trace_SQLFreeConnect
000000021eb6bb20 (__TEXT,__text) non-external _trace_SQLFreeEnv
000000021eb6d7b0 (__TEXT,__text) non-external _trace_SQLFreeHandle
000000021eb7530c (__TEXT,__text) non-external _trace_SQLFreeStmt
000000021eb6a930 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
000000021eb6a9d4 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
000000021eb7296c (__TEXT,__text) non-external _trace_SQLGetConnectOption
000000021eb729d4 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
000000021eb6e5b0 (__TEXT,__text) non-external _trace_SQLGetCursorName
000000021eb6e654 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
000000021eb7419c (__TEXT,__text) non-external _trace_SQLGetData
000000021eb6e318 (__TEXT,__text) non-external _trace_SQLGetDescField
000000021eb6e3c8 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
000000021eb6ad24 (__TEXT,__text) non-external _trace_SQLGetDescRec
000000021eb6ae5c (__TEXT,__text) non-external _trace_SQLGetDescRecW
000000021eb73994 (__TEXT,__text) non-external _trace_SQLGetDiagField
000000021eb73a58 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
000000021eb6b2a4 (__TEXT,__text) non-external _trace_SQLGetDiagRec
000000021eb6b39c (__TEXT,__text) non-external _trace_SQLGetDiagRecW
000000021eb6b520 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
000000021eb6ffbc (__TEXT,__text) non-external _trace_SQLGetFunctions
000000021eb6bf2c (__TEXT,__text) non-external _trace_SQLGetInfo
000000021eb6d460 (__TEXT,__text) non-external _trace_SQLGetInfoW
000000021eb72dac (__TEXT,__text) non-external _trace_SQLGetStmtAttr
000000021eb72e50 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
000000021eb734d0 (__TEXT,__text) non-external _trace_SQLGetStmtOption
000000021eb74810 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
000000021eb74864 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
000000021eb74260 (__TEXT,__text) non-external _trace_SQLMoreResults
000000021eb6dde4 (__TEXT,__text) non-external _trace_SQLNativeSql
000000021eb6ded0 (__TEXT,__text) non-external _trace_SQLNativeSqlW
000000021eb6db9c (__TEXT,__text) non-external _trace_SQLNumParams
000000021eb733b8 (__TEXT,__text) non-external _trace_SQLNumResultCols
000000021eb6f108 (__TEXT,__text) non-external _trace_SQLParamData
000000021eb6d8e0 (__TEXT,__text) non-external _trace_SQLParamOptions
000000021eb75360 (__TEXT,__text) non-external _trace_SQLPrepare
000000021eb753e4 (__TEXT,__text) non-external _trace_SQLPrepareW
000000021eb6f62c (__TEXT,__text) non-external _trace_SQLPrimaryKeys
000000021eb6f718 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
000000021eb6d510 (__TEXT,__text) non-external _trace_SQLProcedureColumns
000000021eb6d62c (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
000000021eb6f254 (__TEXT,__text) non-external _trace_SQLProcedures
000000021eb6f340 (__TEXT,__text) non-external _trace_SQLProceduresW
000000021eb73b50 (__TEXT,__text) non-external _trace_SQLPutData
000000021eb6b5c4 (__TEXT,__text) non-external _trace_SQLRowCount
000000021eb74e24 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
000000021eb74e98 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
000000021eb72a3c (__TEXT,__text) non-external _trace_SQLSetConnectOption
000000021eb72aa4 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
000000021eb70628 (__TEXT,__text) non-external _trace_SQLSetCursorName
000000021eb706ac (__TEXT,__text) non-external _trace_SQLSetCursorNameW
000000021eb6b194 (__TEXT,__text) non-external _trace_SQLSetDescField
000000021eb6b21c (__TEXT,__text) non-external _trace_SQLSetDescFieldW
000000021eb6f804 (__TEXT,__text) non-external _trace_SQLSetDescRec
000000021eb7013c (__TEXT,__text) non-external _trace_SQLSetEnvAttr
000000021eb6bc60 (__TEXT,__text) non-external _trace_SQLSetPos
000000021eb6beb8 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
000000021eb701b0 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
000000021eb70224 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
000000021eb6d748 (__TEXT,__text) non-external _trace_SQLSetStmtOption
000000021eb6b7f8 (__TEXT,__text) non-external _trace_SQLSpecialColumns
000000021eb6b98c (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
000000021eb74fd4 (__TEXT,__text) non-external _trace_SQLStatistics
000000021eb75144 (__TEXT,__text) non-external _trace_SQLStatisticsW
000000021eb6dc0c (__TEXT,__text) non-external _trace_SQLTablePrivileges
000000021eb6dcf8 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
000000021eb743b4 (__TEXT,__text) non-external _trace_SQLTables
000000021eb744d0 (__TEXT,__text) non-external _trace_SQLTablesW
000000021eb7430c (__TEXT,__text) non-external _trace_SQLTransact
000000022f2227b8 (__DATA,__bss) non-external _trace_appname
000000021eb70cd8 (__TEXT,__text) non-external _trace_emit
000000021eb70f60 (__TEXT,__text) non-external _trace_emit_binary
000000021eb70d40 (__TEXT,__text) non-external _trace_emit_string
000000021eb70d24 (__TEXT,__text) non-external _trace_emitc
000000022f2227c0 (__DATA,__bss) non-external _trace_fname
000000022f2227d8 (__DATA,__bss) non-external _trace_fp
000000022f2227e0 (__DATA,__bss) non-external _trace_fp_close
000000021eb707b4 (__TEXT,__text) non-external _trace_get_filename
000000021eb70778 (__TEXT,__text) non-external _trace_set_appname
000000021eb707c0 (__TEXT,__text) non-external _trace_set_filename
000000021eb70a80 (__TEXT,__text) non-external _trace_start
000000021eb70c24 (__TEXT,__text) non-external _trace_stop
000000021eb70a08 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
000000021eb769c4 (__TEXT,__text) non-external _utf8_len
000000021eb76ae4 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
000000022f222858 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
