00000001d93a3578 (__DATA,__common) external _BC
00000001a6ff50bc (__TEXT,__text) external _reset_shell_mode
00000001a6ff51a0 (__TEXT,__text) external _resetty
00000001a6ff8a98 (__TEXT,__text) external _resize_term
00000001a6ff8d2c (__TEXT,__text) external _resizeterm
00000001a6ff1620 (__TEXT,__text) external _restartterm
00000001a6ff2974 (__TEXT,__text) external _ripoffline
00000001a6ff513c (__TEXT,__text) external _savetty
00000001a6ff1744 (__TEXT,__text) external _scanw
00000001a6ff1b64 (__TEXT,__text) external _scr_dump
00000001a6ff1bd0 (__TEXT,__text) external _scr_init
00000001a6ff1ae0 (__TEXT,__text) external _scr_restore
00000001a6ff1c7c (__TEXT,__text) external _scr_set
00000001a700035c (__TEXT,__text) external _scrl
00000001a7000370 (__TEXT,__text) external _scroll
00000001a6ff1fb8 (__TEXT,__text) external _scrollok
                 (undefined) external _select (from libSystem)
00000001a6fde81c (__TEXT,__text) external _set_curterm
00000001a6feb1cc (__TEXT,__text) external _set_escdelay
00000001a6ff29c4 (__TEXT,__text) external _set_tabsize
00000001a6ff2018 (__TEXT,__text) external _set_term
00000001a6fe9428 (__TEXT,__text) external _setcchar
                 (undefined) external _setlocale (from libSystem)
00000001a7000378 (__TEXT,__text) external _setscrreg
00000001a6ff2bf8 (__TEXT,__text) external _setupterm
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _sigaction (from libSystem)
                 (undefined) external _sigprocmask (from libSystem)
                 (undefined) external _sleep (from libSystem)
00000001a6ff3260 (__TEXT,__text) external _slk_attr
00000001a7000390 (__TEXT,__text) external _slk_attr_off
00000001a70003a0 (__TEXT,__text) external _slk_attr_on
00000001a6ff3104 (__TEXT,__text) external _slk_attr_set
00000001a6ff3174 (__TEXT,__text) external _slk_attroff
00000001a6ff31c8 (__TEXT,__text) external _slk_attron
00000001a6ff3224 (__TEXT,__text) external _slk_attrset
00000001a6ff3288 (__TEXT,__text) external _slk_clear
00000001a6ff3334 (__TEXT,__text) external _slk_color
00000001a6ff3390 (__TEXT,__text) external _slk_init
00000001a6ff33dc (__TEXT,__text) external _slk_label
00000001a6ff342c (__TEXT,__text) external _slk_noutrefresh
00000001a6ff3730 (__TEXT,__text) external _slk_refresh
00000001a6ff2fd4 (__TEXT,__text) external _slk_restore
00000001a6ff37a4 (__TEXT,__text) external _slk_set
00000001a6ff3ae4 (__TEXT,__text) external _slk_touch
00000001a6ff2ffc (__TEXT,__text) external _slk_wset
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _sscanf (from libSystem)
00000001a70003cc (__TEXT,__text) external _standend
00000001a70003b0 (__TEXT,__text) external _standout
00000001a6fe9904 (__TEXT,__text) external _start_color
                 (undefined) external _stat (from libSystem)
00000001d93a3430 (__DATA,__common) external _stdscr
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
00000001d5449318 (__DATA_CONST,__const) external _strcodes
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
00000001d544b258 (__DATA_CONST,__const) external _strfnames
                 (undefined) external _strlen (from libSystem)
00000001d544a560 (__DATA_CONST,__const) external _strnames
                 (undefined) external _strncat (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _strtol (from libSystem)
00000001a6ff0210 (__TEXT,__text) external _subpad
00000001a6fef8e8 (__TEXT,__text) external _subwin
00000001a6ff65b0 (__TEXT,__text) external _syncok
                 (undefined) external _tcflush (from libSystem)
                 (undefined) external _tcgetattr (from libSystem)
                 (undefined) external _tcgetpgrp (from libSystem)
                 (undefined) external _tcsetattr (from libSystem)
00000001a6ff5730 (__TEXT,__text) external _term_attrs
00000001a6ff5f20 (__TEXT,__text) external _termattrs
00000001a6ff3da4 (__TEXT,__text) external _termname
00000001a6fdd110 (__TEXT,__text) external _tgetent
00000001a6ff3b14 (__TEXT,__text) external _tgetflag
00000001a6ff3bc0 (__TEXT,__text) external _tgetnum
00000001a6ff3c7c (__TEXT,__text) external _tgetstr
00000001a6ff3dc4 (__TEXT,__text) external _tgoto
00000001a6ff41e4 (__TEXT,__text) external _tigetflag
00000001a6ff428c (__TEXT,__text) external _tigetnum
00000001a6ff4344 (__TEXT,__text) external _tigetstr
00000001a70003e4 (__TEXT,__text) external _timeout
00000001a70003f8 (__TEXT,__text) external _touchline
00000001a7000400 (__TEXT,__text) external _touchwin
00000001a6fdee0c (__TEXT,__text) external _tparm
00000001a6ff483c (__TEXT,__text) external _tputs
00000001d93a3460 (__DATA,__common) external _ttytype
00000001a6fefc3c (__TEXT,__text) external _typeahead
00000001a6ffd40c (__TEXT,__text) external _unctrl
00000001a6ff5568 (__TEXT,__text) external _unget_wch
00000001a6ff56f0 (__TEXT,__text) external _ungetch
00000001a6fecec4 (__TEXT,__text) external _ungetmouse
00000001a7000420 (__TEXT,__text) external _untouchwin
00000001a6fea778 (__TEXT,__text) external _use_default_colors
00000001a6ff2a14 (__TEXT,__text) external _use_env
00000001a6fe5f48 (__TEXT,__text) external _use_extended_names
00000001a6fe7208 (__TEXT,__text) external _use_legacy_coding
00000001a6ffd420 (__TEXT,__text) external _use_screen
00000001a6ffd47c (__TEXT,__text) external _use_window
                 (undefined) external _vfprintf (from libSystem)
00000001a6ff5714 (__TEXT,__text) external _vid_attr
00000001a6ff5704 (__TEXT,__text) external _vid_puts
00000001a6ff5ef4 (__TEXT,__text) external _vidattr
00000001a6ff57b8 (__TEXT,__text) external _vidputs
00000001a7000440 (__TEXT,__text) external _vline
00000001a7001714 (__TEXT,__text) external _vline_set
                 (undefined) external _vsnprintf (from libSystem)
                 (undefined) external _vsscanf (from libSystem)
00000001a7000458 (__TEXT,__text) external _vw_printw
00000001a700045c (__TEXT,__text) external _vw_scanw
00000001a6ff0858 (__TEXT,__text) external _vwprintw
00000001a6ff16c0 (__TEXT,__text) external _vwscanw
00000001a6fe7484 (__TEXT,__text) external _wadd_wch
00000001a6fe84e0 (__TEXT,__text) external _wadd_wchnstr
00000001a700172c (__TEXT,__text) external _wadd_wchstr
00000001a6fe7be0 (__TEXT,__text) external _waddch
00000001a6fe83c0 (__TEXT,__text) external _waddchnstr
00000001a7000460 (__TEXT,__text) external _waddchstr
00000001a6fe831c (__TEXT,__text) external _waddnstr
00000001a6fe8888 (__TEXT,__text) external _waddnwstr
00000001a7000468 (__TEXT,__text) external _waddstr
00000001a7001734 (__TEXT,__text) external _waddwstr
00000001a700048c (__TEXT,__text) external _wattr_get
00000001a6ff633c (__TEXT,__text) external _wattr_off
00000001a6ff6370 (__TEXT,__text) external _wattr_on
00000001a70004ac (__TEXT,__text) external _wattr_set
00000001a7000478 (__TEXT,__text) external _wattroff
00000001a7000470 (__TEXT,__text) external _wattron
00000001a7000480 (__TEXT,__text) external _wattrset
00000001a6fe8c7c (__TEXT,__text) external _wbkgd
00000001a6fe8a40 (__TEXT,__text) external _wbkgdset
00000001a6fe8a78 (__TEXT,__text) external _wbkgrnd
00000001a6fe8984 (__TEXT,__text) external _wbkgrndset
00000001a6fe8cb4 (__TEXT,__text) external _wborder
00000001a6fe909c (__TEXT,__text) external _wborder_set
00000001a6fe95c4 (__TEXT,__text) external _wchgat
00000001a6fe967c (__TEXT,__text) external _wclear
00000001a6fe96cc (__TEXT,__text) external _wclrtobot
00000001a6fe97ac (__TEXT,__text) external _wclrtoeol
00000001a6fea52c (__TEXT,__text) external _wcolor_set
                 (undefined) external _wcrtomb (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsrtombs (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
                 (undefined) external _wctob (from libSystem)
00000001a6ff6694 (__TEXT,__text) external _wcursyncup
                 (undefined) external _wcwidth (from libSystem)
00000001a6fea5d8 (__TEXT,__text) external _wdelch
00000001a70004c0 (__TEXT,__text) external _wdeleteln
00000001a6fe7594 (__TEXT,__text) external _wecho_wchar
00000001a6fe7c44 (__TEXT,__text) external _wechochar
00000001a6fed1dc (__TEXT,__text) external _wenclose
00000001a6fea90c (__TEXT,__text) external _werase
00000001a6feab38 (__TEXT,__text) external _wget_wch
00000001a700173c (__TEXT,__text) external _wget_wstr
00000001a7001744 (__TEXT,__text) external _wgetbkgrnd
00000001a6feb934 (__TEXT,__text) external _wgetch
00000001a6feacb0 (__TEXT,__text) external _wgetn_wstr
00000001a6feb98c (__TEXT,__text) external _wgetnstr
00000001a70005c0 (__TEXT,__text) external _wgetparent
00000001a7000624 (__TEXT,__text) external _wgetscrreg
00000001a70004c8 (__TEXT,__text) external _wgetstr
00000001a6febe2c (__TEXT,__text) external _whline
00000001a6febf80 (__TEXT,__text) external _whline_set
00000001a6fec0b4 (__TEXT,__text) external _win_wch
00000001a6fec0f8 (__TEXT,__text) external _win_wchnstr
00000001a700175c (__TEXT,__text) external _win_wchstr
00000001a6ff63a0 (__TEXT,__text) external _winch
00000001a6fec1a8 (__TEXT,__text) external _winchnstr
00000001a70004d0 (__TEXT,__text) external _winchstr
00000001a6fec9d0 (__TEXT,__text) external _winnstr
00000001a6fecb94 (__TEXT,__text) external _winnwstr
00000001a6fec464 (__TEXT,__text) external _wins_nwstr
00000001a6fec2e0 (__TEXT,__text) external _wins_wch
00000001a7001764 (__TEXT,__text) external _wins_wstr
00000001a6fec86c (__TEXT,__text) external _winsch
00000001a6fec8bc (__TEXT,__text) external _winsdelln
00000001a70004d8 (__TEXT,__text) external _winsertln
00000001a6fec930 (__TEXT,__text) external _winsnstr
00000001a70004e0 (__TEXT,__text) external _winsstr
00000001a70004e8 (__TEXT,__text) external _winstr
00000001a6fecc64 (__TEXT,__text) external _winwstr
                 (undefined) external _wmemchr (from libSystem)
                 (undefined) external _wmemcpy (from libSystem)
00000001a6fed274 (__TEXT,__text) external _wmouse_trafo
00000001a6fed960 (__TEXT,__text) external _wmove
00000001a6ff1190 (__TEXT,__text) external _wnoutrefresh
00000001a6ff08b4 (__TEXT,__text) external _wprintw
00000001a6ff0fd4 (__TEXT,__text) external _wredrawln
00000001a6ff10fc (__TEXT,__text) external _wrefresh
00000001a6ffd6c8 (__TEXT,__text) external _wresize
                 (undefined) external _write (from libSystem)
00000001a6ff1780 (__TEXT,__text) external _wscanw
00000001a6ff1f48 (__TEXT,__text) external _wscrl
00000001a6ff1fd4 (__TEXT,__text) external _wsetscrreg
00000001a7000500 (__TEXT,__text) external _wstandend
00000001a70004f0 (__TEXT,__text) external _wstandout
00000001a6ff65cc (__TEXT,__text) external _wsyncdown
00000001a6ff6424 (__TEXT,__text) external _wsyncup
00000001a6fefa9c (__TEXT,__text) external _wtimeout
00000001a6ff4478 (__TEXT,__text) external _wtouchln
00000001a6ff683c (__TEXT,__text) external _wunctrl
00000001a6ff5fd8 (__TEXT,__text) external _wvline
00000001a6ff6128 (__TEXT,__text) external _wvline_set
