                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
00007ffb18c135b1 (__TEXT,__text) external _DRBufferAsResource
00007ffb18c04114 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_13DirectTextureENS_19DirectTextureUpdateEED2Ev
00007ffb18c048f2 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_20DirectMemoryResourceES1_E6createERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffb18c04a20 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_20DirectMemoryResourceES1_E7destroyERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffb18c0498e (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_20DirectMemoryResourceES1_E9setUpdateERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffb18c04114 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_20DirectMemoryResourceES1_ED2Ev
00007ffb18c05314 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_24DirectMaterialParametersENS_20DirectMaterialUpdateEE6createERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffb18c054b8 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_24DirectMaterialParametersENS_20DirectMaterialUpdateEE7destroyERKNS_16DirectResourceIdENS_9SharedPtrIS1_EE
00007ffb18c04114 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceChangesINS_24DirectMaterialParametersENS_20DirectMaterialUpdateEED2Ev
00007ffb18c07552 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext10addPayloadENS_10UnownedPtrINS_14DirectResourceEEERKNS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffb18c14566 (__TEXT,__text) non-external __ZN2re21DirectResourceContext10addPayloadENS_10UnownedPtrINS_14DirectResourceEEERKNS_9SharedPtrINS_20DirectMemoryResourceEEE.cold.1
00007ffb18c07232 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext10createMeshERKNS_21DirectMeshDescriptionE
00007ffb18c078ea (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext10willChangeEPNS_14DirectResourceENS_18DirectResourceSlotENS_22DirectResourceDelegate10ChangeModeEPN3MTL13CommandBufferE
00007ffb18c072b2 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext11addResourceERKNS_9SharedPtrINS_14DirectResourceEEE
00007ffb18c06870 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext11sendIfReadyEv
00007ffb18c1450f (__TEXT,__text) non-external __ZN2re21DirectResourceContext11sendIfReadyEv.cold.1
00007ffb18c07efa (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext11setObserverEU13block_pointerFvPS0_8DRChangePNS_14DirectResourceEE
00007ffb18c07452 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext12createBufferERKNS_23DirectBufferDescriptionE
00007ffb18c065b4 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext13createPayloadENS_10UnownedPtrINS_14DirectResourceEEENS_18DirectResourceSlotE
00007ffb18c073d2 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext13createTextureERKNS_24DirectTextureDescriptionE
00007ffb18c05ef2 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext13freeListReadyEy
00007ffb18c077d2 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext13removePayloadERKNS_16DirectResourceIdE
00007ffb18c074d2 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext14createMaterialERKNS_25DirectMaterialDescriptionE
00007ffb18c07620 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext14removeResourceEPNS_14DirectResourceE
00007ffb18c07cfc (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext15destroyResourceEPNS_14DirectResourceE
00007ffb18c07f26 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext16setBeginCallbackENSt3__18functionIFvPS0_yEEE
00007ffb18c064f2 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext17ensureUncommittedEv
00007ffb18c07bf8 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext17payloadDidReplaceEPNS_14DirectResourceENS_18DirectResourceSlotE
00007ffb18c07a9a (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext18payloadWillReplaceEPNS_14DirectResourceENS_18DirectResourceSlotE
00007ffb18c07fac (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext19setCompleteCallbackENSt3__18functionIFvPS0_PNS_22DirectResourceCommandsEEEE
00007ffb18c06ae6 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext25destroyPayloads_anyThreadENSt3__16vectorINS_16DirectResourceIdENS1_9allocatorIS3_EEEE
00007ffb18c067f4 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext25ensureUncommittedFreeListEv
00007ffb18c062fe (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext26recreatePayloadIfNecessaryEPNS_14DirectResourceENS_18DirectResourceSlotENS_22DirectResourceDelegate10ChangeModeEPN3MTL13CommandBufferE
00007ffb18c0802e (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext6commitEv
00007ffb18c07988 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContext9didChangeEPNS_14DirectResourceENS_18DirectResourceSlotEPN3MTL13CommandBufferE
00007ffb18c06fce (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContextC1ENS0_6ConfigE
00007ffb18c06e68 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContextC2ENS0_6ConfigE
00007ffb18c071dc (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContextD0Ev
00007ffb18c071c4 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContextD1Ev
00007ffb18c06fd8 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourceContextD2Ev
00007ffb18c04e34 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourcesCommitC1Ev
00007ffb18c04ce4 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourcesCommitC2Ev
00007ffb18c04eaa (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourcesCommitD0Ev
00007ffb18c04ea0 (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourcesCommitD1Ev
00007ffb18c04e3e (__TEXT,__text) non-external (was a private external) __ZN2re21DirectResourcesCommitD2Ev
00007ffb18bfcee4 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withIKNSt3__18optionalINS_16DirectResourceIdEEEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffb18bff4ba (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_15DestroyResourceEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffb18bfef5b (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_16CreateDirectMeshEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffb18bfeffd (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_16UpdateDirectMeshEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffb18bff2dd (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_18CreateDirectBufferEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffb18bff37c (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_18UpdateDirectBufferEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffb18bff41b (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_19CreateDirectPayloadEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffb18bff11f (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_19CreateDirectTextureEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffb18bff1be (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_19UpdateDirectTextureEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffb18bfce45 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_22DirectMeshVertexLayoutEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffb18bfa801 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_22DirectMeshVertexLayoutEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffb18bfcda6 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_25DirectMeshVertexAttributeEEEPU24objcproto13OS_xpc_object8NSObjectRKN2dr5sliceIT_EE
00007ffb18bfa7d5 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINS_25DirectMeshVertexAttributeEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffb18bfb3a1 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_array_create_withINSt3__18optionalINS_16DirectResourceIdEEELm4EEEPU24objcproto13OS_xpc_object8NSObjectRAT0__KT_
00007ffb18bfa2d4 (__TEXT,__text) non-external (was a private external) __ZN2re21xpc_dictionary_createESt16initializer_listINSt3__14pairIPKcPU24objcproto13OS_xpc_object8NSObjectEEE
00007ffb18c13924 (__TEXT,__text) non-external __ZN2re22DirectBufferDescriptorD0Ev
00007ffb18c1391a (__TEXT,__text) non-external __ZN2re22DirectBufferDescriptorD1Ev
00007ffb18c0fa40 (__TEXT,__text) non-external (was a private external) __ZN2re22DirectBufferValidation12isWellFormedERKNS_23DirectBufferDescriptionE
00007ffb18c0fa90 (__TEXT,__text) non-external (was a private external) __ZN2re22DirectBufferValidation16isValidBytesUsedEmRKNS_23DirectBufferDescriptionE
00007ffb18c0fa56 (__TEXT,__text) non-external (was a private external) __ZN2re22DirectBufferValidation7isValidEPKNS_12DirectBufferE
00007ffb18bfcff0 (__TEXT,__text) non-external (was a private external) __ZN2re22DirectResourceCommandsD0Ev
00007ffb18bfcfe6 (__TEXT,__text) non-external (was a private external) __ZN2re22DirectResourceCommandsD1Ev
00007ffb18bfd016 (__TEXT,__text) non-external (was a private external) __ZN2re22DirectResourceCommandsD2Ev
00007ffb18bff6d1 (__TEXT,__text) non-external (was a private external) __ZN2re22isPrivateToThisProcessENS_20DirectMemoryResource4TypeE
00007ffb18c1284c (__TEXT,__text) non-external __ZN2re23DirectTextureDescriptorD0Ev
00007ffb18c12842 (__TEXT,__text) non-external __ZN2re23DirectTextureDescriptorD1Ev
00007ffb18c02fb2 (__TEXT,__text) non-external (was a private external) __ZN2re23DirectTextureValidation12isWellFormedERKNS_24DirectTextureDescriptionE
00007ffb18bf9466 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParameters10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffb18bf9482 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParameters14attachToDeviceEPN3MTL6DeviceE
00007ffb18bf9178 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParameters6createERKNS_25DirectMaterialDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffb18bf91da (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParametersC2ERKNS_25DirectMaterialDescriptionE
00007ffb18bf9394 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParametersD0Ev
00007ffb18bf938a (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParametersD1Ev
00007ffb18bf9336 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectMaterialParametersD2Ev
00007ffb18c0ebc2 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReuseList3addENS_16DirectResourceIdENS_18DirectResourceTypeENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffb18c0eb2c (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReuseListC1Ey
00007ffb18c0eb88 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReuseListD0Ev
00007ffb18c0eb60 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReuseListD1Ev
00007ffb18c0f0f4 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReusePool11purgeBeforeEy
00007ffb18c0f2c4 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReusePool13purgePayloadsENS_16DirectResourceIdE
00007ffb18c0ee0a (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReusePool4takeENS_16DirectResourceIdENS_18DirectResourceTypeENS_18DirectResourceSlotE
00007ffb18c0effe (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReusePool9mergeFromEONS_24DirectResourcesReuseListE
00007ffb18c0ede4 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReusePoolC1Ev
00007ffb18c0ee00 (__TEXT,__text) non-external (was a private external) __ZN2re24DirectResourcesReusePoolD1Ev
00007ffb18c08550 (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueue13commitThroughEyNSt3__18functionIFvRKNS_19DirectResourceEventEyEEE
00007ffb18c088d4 (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueue22takeCommits_threadSafeEPS0_
00007ffb18c08742 (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueue24enqueueCommit_threadSafeENS_9SharedPtrINS_29DirectResourcesResolvedCommitEEE
00007ffb18c0895e (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueue29takeCommitsThrough_threadSafeEPS0_y
00007ffb18c084ce (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueue9enumerateENSt3__18functionIFbPKNS_29DirectResourcesResolvedCommitEEEE
00007ffb18c08448 (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueueC1ENS_10UnownedPtrINS_21DirectResourceContextEEE
00007ffb18c083e0 (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueueC2ENS_10UnownedPtrINS_21DirectResourceContextEEE
00007ffb18c084a8 (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueueD0Ev
00007ffb18c0849e (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueueD1Ev
00007ffb18c08452 (__TEXT,__text) non-external (was a private external) __ZN2re26DirectResourcesCommitQueueD2Ev
00007ffb18c08bb8 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver10destroyAllEv
00007ffb18c08df6 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver13receiveCommitEPvPNS_26DirectResourcesCommitQueueE
00007ffb18c08f5c (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver18validateAndResolveERKNS_9SharedPtrINS_21DirectResourcesCommitEEE
00007ffb18c14589 (__TEXT,__text) non-external __ZN2re28DirectResourceClientReceiver18validateAndResolveERKNS_9SharedPtrINS_21DirectResourcesCommitEEE.cold.1
00007ffb18c08d2c (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver21resolvePayloadChangesERKNS_21DirectResourceChangesINS_20DirectMemoryResourceES2_EE
00007ffb18c08eda (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver4loadERKNS_9SharedPtrINS_22DirectResourceCommandsEEE
00007ffb18c09366 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver7resolveINS_10DirectMeshENS_16DirectMeshUpdateEEENS_23ResolvedResourceChangesIT_T0_EERKNS_21DirectResourceChangesIS5_S6_EERNSt3__113unordered_mapINS_16DirectResourceIdENS_9SharedPtrIS5_EENSC_4hashISE_EENSC_8equal_toISE_EENSC_9allocatorINSC_4pairIKSE_SG_EEEEEE
00007ffb18c096b0 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver7resolveINS_12DirectBufferENS_18DirectBufferUpdateEEENS_23ResolvedResourceChangesIT_T0_EERKNS_21DirectResourceChangesIS5_S6_EERNSt3__113unordered_mapINS_16DirectResourceIdENS_9SharedPtrIS5_EENSC_4hashISE_EENSC_8equal_toISE_EENSC_9allocatorINSC_4pairIKSE_SG_EEEEEE
00007ffb18c099fa (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiver7resolveINS_13DirectTextureENS_19DirectTextureUpdateEEENS_23ResolvedResourceChangesIT_T0_EERKNS_21DirectResourceChangesIS5_S6_EERNSt3__113unordered_mapINS_16DirectResourceIdENS_9SharedPtrIS5_EENSC_4hashISE_EENSC_8equal_toISE_EENSC_9allocatorINSC_4pairIKSE_SG_EEEEEE
00007ffb18c08b14 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiverC1EyP16dispatch_queue_sPN3MTL6DeviceE
00007ffb18c08a70 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiverC2EyP16dispatch_queue_sPN3MTL6DeviceE
00007ffb18c08b92 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiverD0Ev
00007ffb18c08b88 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiverD1Ev
00007ffb18c08b1e (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourceClientReceiverD2Ev
00007ffb18c05552 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit10addPayloadENS_10UnownedPtrINS_20DirectMemoryResourceEEE
00007ffb18c05190 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit11addResourceENS_10UnownedPtrINS_14DirectResourceEEE
00007ffb18c056d8 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit12ensureUpdateEPNS_14DirectResourceE
00007ffb18c144c6 (__TEXT,__text) non-external __ZN2re28DirectResourcesPendingCommit12ensureUpdateEPNS_14DirectResourceE.cold.1
00007ffb18c05b3a (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit12forEachFenceERKNSt3__18functionIFvPNS_11DirectFenceEEEE
00007ffb18c05666 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit13removePayloadENS_16DirectResourceIdE
00007ffb18c055dc (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit13updatePayloadENS_10UnownedPtrINS_20DirectMemoryResourceEEE
00007ffb18c0517a (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit14setUserPayloadERKNS_9XPCObjectE
00007ffb18c053b0 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit15destroyResourceENS_18DirectResourceTypeENS_16DirectResourceIdE
00007ffb18c057c0 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit16addCommandBufferEPN3MTL13CommandBufferE
00007ffb18c05bac (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit25fenceCompleted_threadSafeEPNS_11DirectFenceE
00007ffb18c05940 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit8addFenceENS_10UnownedPtrINS_11DirectFenceEEE
00007ffb18c05cc8 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommit9scheduledEv
00007ffb18c144e9 (__TEXT,__text) non-external __ZN2re28DirectResourcesPendingCommit9scheduledEv.cold.1
00007ffb18c05066 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommitC2ENS_10UnownedPtrINS_21DirectResourceContextEEE
00007ffb18c05152 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommitD0Ev
00007ffb18c05148 (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommitD1Ev
00007ffb18c050da (__TEXT,__text) non-external (was a private external) __ZN2re28DirectResourcesPendingCommitD2Ev
00007ffb18c05d38 (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourceCommitSignalingC2ENS_10UnownedPtrINS_21DirectResourceContextEEEPN3MTL6DeviceE
00007ffb18c062d6 (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourceCommitSignalingD0Ev
00007ffb18c062cc (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourceCommitSignalingD1Ev
00007ffb18c06288 (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourceCommitSignalingD2Ev
00007ffb18c04b9e (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourcesResolvedCommitD0Ev
00007ffb18c04b94 (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourcesResolvedCommitD1Ev
00007ffb18c04abc (__TEXT,__text) non-external (was a private external) __ZN2re29DirectResourcesResolvedCommitD2Ev
00007ffb18bfc905 (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_15DestroyResourceEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffb18bfeedb (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_16CreateDirectMeshEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffb18bfef1b (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_16UpdateDirectMeshEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffb18bff25d (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_18CreateDirectBufferEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffb18bff29d (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_18UpdateDirectBufferEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffb18bfc8c5 (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_19CreateDirectPayloadEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffb18bff09f (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_19CreateDirectTextureEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffb18bff0df (__TEXT,__text) non-external (was a private external) __ZN2re29xpc_array_create_unless_emptyINS_19UpdateDirectTextureEEEPU24objcproto13OS_xpc_object8NSObjectRKNSt3__16vectorIT_NS5_9allocatorIS7_EEEE
00007ffb18c01f55 (__TEXT,__text) non-external (was a private external) __ZN2re4loadERKNS_16CreateDirectMeshERNS_20DirectResourceLoaderE
00007ffb18c0208e (__TEXT,__text) non-external (was a private external) __ZN2re4loadERKNS_16UpdateDirectMeshERNS_20DirectResourceLoaderE
00007ffb18c022c5 (__TEXT,__text) non-external (was a private external) __ZN2re4loadERKNS_18CreateDirectBufferERNS_20DirectResourceLoaderE
00007ffb18c02392 (__TEXT,__text) non-external (was a private external) __ZN2re4loadERKNS_18UpdateDirectBufferERNS_20DirectResourceLoaderE
00007ffb18c0215d (__TEXT,__text) non-external (was a private external) __ZN2re4loadERKNS_19CreateDirectTextureERNS_20DirectResourceLoaderE
00007ffb18c02216 (__TEXT,__text) non-external (was a private external) __ZN2re4loadERKNS_19UpdateDirectTextureERNS_20DirectResourceLoaderE
00007ffb18c02428 (__TEXT,__text) non-external (was a private external) __ZN2re4loadERKNS_22DirectResourceCommandsEONSt3__18functionIFPNS_20DirectMemoryResourceERKNS_16DirectResourceIdEEEE
00007ffb18bfcf84 (__TEXT,__text) non-external (was a private external) __ZN2re4make6shared6objectINS_22DirectResourceCommandsEJEEENS_9SharedPtrIT_EEDpOT0_
00007ffb18c127b8 (__TEXT,__text) non-external __ZN2re4make6shared6objectINS_23DirectTextureDescriptorEJEEENS_9SharedPtrIT_EEDpOT0_
00007ffb18c0e1d8 (__TEXT,__text) non-external (was a private external) __ZN2re4make6shared6objectINS_29DirectResourcesResolvedCommitEJRKyRyEEENS_9SharedPtrIT_EEDpOT0_
00007ffb18c0e1d8 (__TEXT,__text) non-external (was a private external) __ZN2re4make6shared6objectINS_29DirectResourcesResolvedCommitEJRKyyEEENS_9SharedPtrIT_EEDpOT0_
00007ffb18bf9bd9 (__TEXT,__text) non-external (was a private external) __ZN2re8toStringENS_18DirectResourceTypeE
00007ffb18bf9bfd (__TEXT,__text) non-external (was a private external) __ZN2re8toStringENS_22DirectResourceSlotTypeE
00007ffb18bf9ae8 (__TEXT,__text) non-external (was a private external) __ZN2re8toStringERA16_Kh
00007ffb18c0e146 (__TEXT,__text) non-external (was a private external) __ZN2re9SharedPtrINS_10DirectMeshEE5resetEPS1_
00007ffb18c0e146 (__TEXT,__text) non-external (was a private external) __ZN2re9SharedPtrINS_12DirectBufferEE5resetEPS1_
00007ffb18c0e146 (__TEXT,__text) non-external (was a private external) __ZN2re9SharedPtrINS_13DirectTextureEE5resetEPS1_
00007ffb18c0e146 (__TEXT,__text) non-external (was a private external) __ZN2re9SharedPtrINS_20DirectMemoryResourceEE5resetEPS1_
00007ffb18c0e146 (__TEXT,__text) non-external (was a private external) __ZN2re9SharedPtrINS_29DirectResourcesResolvedCommitEE5resetEPS1_
00007ffb18bfaa66 (__TEXT,__text) non-external (was a private external) __ZN2re9XPCObject6retainEPU24objcproto13OS_xpc_object8NSObject
00007ffb18bf995e (__TEXT,__text) non-external (was a private external) __ZN2re9XPCObject8setValueEPv
00007ffb18bf993a (__TEXT,__text) non-external (was a private external) __ZN2re9XPCObjectD1Ev
00007ffb18bf998e (__TEXT,__text) non-external (was a private external) __ZN2re9XPCObjectaSEOS0_
00007ffb18c13000 (__TEXT,__text) non-external __ZN2reL5toApiINS_14DirectResourceEvEENS_13bridge_to_apiIT_E4typeERKNS_10UnownedPtrIS3_EE
00007ffb424ae9e8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN3MTL7Private8Selector11s_kcontentsE
00007ffb424aeab8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN3MTL7Private8Selector12s_keventPortE
00007ffb424aead0 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN3MTL7Private8Selector12s_kioSurfaceE
00007ffb18c163ec (__TEXT,__objc_methname) non-external __ZN3MTL7Private8Selector12s_knamelabelE
00007ffb424aea68 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN3MTL7Private8Selector12s_ksetDepth_E
00007ffb424aeaa8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN3MTL7Private8Selector12s_ksetUsage_E
