00007ff80eba74a7 (__TEXT,__text) non-external _Annihilate
00007ff80ec51ad0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80eb92166 (__TEXT,__text) non-external _fill_window
00007ff80eb93f8c (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80ebf2761 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fwrite (from libSystem)
00007ff80ec527f0 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80ec51d70 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80ec51eb0 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80ebbddcc (__TEXT,__text) non-external (was a private external) _get_conversion_set
00007ff80ebea233 (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80ebc27b2 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80ebbbc01 (__TEXT,__text) non-external _get_format_bits
00007ff80ebbba69 (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
00007ff80ebbba8a (__TEXT,__text) non-external (was a private external) _get_format_components
00007ff80ebbbb04 (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
00007ff80ebbbdaf (__TEXT,__text) non-external _get_format_plane_count
00007ff80ebbbb22 (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
00007ff80ebb6475 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80ebb64b0 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80ebb64f1 (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80ebc277e (__TEXT,__text) non-external (was a private external) _get_real_time
00007ff80ebb64da (__TEXT,__text) non-external (was a private external) _get_slice_height
00007ff80ebb64c4 (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
00007ff80ebbbdf6 (__TEXT,__text) non-external _header_fetch_from_payload
00007ff80ebbbb33 (__TEXT,__text) non-external (was a private external) _is_format_invalid
00007ff80ebbba4c (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
00007ff80ebbc451 (__TEXT,__text) non-external _is_image_valid
00007ff80ebaf173 (__TEXT,__text) non-external (was a private external) _join_thread
00007ff80ec13300 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff80ebf4980 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff80ebf49e0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff84154db80 (__DATA_CONST,__const) non-external _kBrotliDictionary
00007ff80ebf52d0 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff80ebf48c0 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff80ebf4920 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff80ec52be0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff80ec14e80 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff84154e450 (__DATA_CONST,__const) non-external _kBrotliTransforms
00007ff80ebf5050 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff80ec13440 (__TEXT,__const) non-external _kCmdLut
00007ff80ec469a0 (__TEXT,__const) non-external _kCodeLengthBits
00007ff80ec13400 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff80ec46980 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff80ec13420 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff80ec13430 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff80ec14d40 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff80ec14d00 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff80ec15530 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff80ec15570 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff80ec14c40 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff80ec14c20 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff80ec14cb0 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff80ec14c90 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff80ec474f0 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff80ec469f0 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff80ec44550 (__TEXT,__const) non-external _kPrefixSuffix
00007ff80ec44630 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff80ebf47c0 (__TEXT,__const) non-external _kReverseBits
00007ff80ec48db0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff80ec48af0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff80ec155e0 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff80ec633f0 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff80ec533f0 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff80ec255e0 (__TEXT,__const) non-external _kStaticDictionaryWords
00007ff80ec49370 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00007ff80ec49330 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00007ff80ec446a0 (__TEXT,__const) non-external _kTransformsData
00007ff80ec45380 (__TEXT,__const) non-external _kZeroRepsBits
00007ff80ec44880 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00007ff80eb923c7 (__TEXT,__text) non-external _longest_match
00007ff80ec4e250 (__TEXT,__const) non-external (was a private external) _lut_rle
00007ff80ebaed9f (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
00007ff80ebb92fb (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
00007ff80ebb92f0 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
00007ff80eb980d0 (__TEXT,__text) non-external (was a private external) _lz4_decode
00007ff80eb97c40 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00007ff80eb97a8b (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00007ff80eb98fe2 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00007ff80eb98e36 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00007ff80eb9415c (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00007ff80ebcf98a (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00007ff80ebcf98a (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00007ff80ebcf98a (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00007ff80ebcf963 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00007ff80ebcf280 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00007ff80ebcf328 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00007ff80ebb9b71 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00007ff80ebb9a85 (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00007ff80ebb4a08 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
00007ff80ebcb929 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
00007ff80ebca486 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
00007ff80ebcb96c (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
00007ff80ebc82d8 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
00007ff80ebcb945 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
00007ff80ebca3a3 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
00007ff80ebcb977 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
00007ff80ebc81a0 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
00007ff80ebc1e3c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
00007ff80ebcb8d9 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00007ff80ebb75ed (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
00007ff80ebcb8f5 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
00007ff80ebcb91c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00007ff80ebb75d3 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00007ff80ec4f290 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
00007ff80ebc81e5 (__TEXT,__text) non-external _lzbitmap_init_encode_state
00007ff80ec4ea90 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00007ff80ebc8412 (__TEXT,__text) non-external _lzbitmap_process_block
00007ff80ebcb984 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00007ff80ec50290 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00007ff80ec4e290 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00007ff80ebf140a (__TEXT,__text) non-external _lzfseBackendMatch
00007ff80eb94670 (__TEXT,__text) non-external (was a private external) _lzfseDecode
00007ff80eb982ae (__TEXT,__text) non-external _lzfseDecodeV1
00007ff80ebf104f (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00007ff80ebf1449 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00007ff80ebf0e80 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00007ff80ebf0eeb (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00007ff80ebf17d0 (__TEXT,__text) non-external _lzfseEncodeMatches
00007ff80ebf0ea9 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00007ff80ebf0fb7 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00007ff80ebf14ee (__TEXT,__text) non-external _lzfsePushMatch
00007ff80eb943ef (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00007ff80eb9431d (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
00007ff80ebc1e2f (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00007ff80ebe368b (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00007ff80ebe35f5 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00007ff80ebe35e4 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00007ff80eb960c3 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00007ff80ebba984 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00007ff80ebba7e5 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00007ff80ebba979 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00007ff80ebbb66f (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00007ff84154dc50 (__DATA_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00007ff80eb95d08 (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00007ff80ebd3a87 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00007ff80ebd3a53 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
00007ff80ec14e40 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
00007ff80ec14e60 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00007ff80eb9415c (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00007ff80ebb8c69 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00007ff80ebb8c5f (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00007ff80ebb8c36 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00007ff80ebb8bf5 (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00007ff80eb942f5 (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00007ff80eb943c9 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
00007ff80ebc282e (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
00007ff80ebc27f4 (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
00007ff80ebf4286 (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
00007ff80ebca309 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00007ff80eb96163 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
00007ff80ebca361 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00007ff80eb96163 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
00007ff80ec153c0 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00007ff80eb942cd (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00007ff80ebf3c22 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00007ff80ec533e0 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00007ff80eb9417f (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00007ff80eb9423d (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00007ff80ebf37cd (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
00007ff80ebf3b59 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
00007ff80eb957df (__TEXT,__text) non-external (was a private external) _lzvnDecode
00007ff84154d380 (__DATA_CONST,__const) non-external _lzvnDecode.opc_tbl
00007ff80ebca9c1 (__TEXT,__text) non-external (was a private external) _lzvnEncode
00007ff80ebca945 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00007ff80eba92de (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00007ff80eba924d (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00007ff80eba9242 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00007ff80ebae66c (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00007ff80ebae596 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00007ff80ebae585 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00007ff8436e7bc0 (__DATA,__data) non-external _lzvn_decode.opcode_table
00007ff80eb96180 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00007ff80eb96163 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
00007ff80ebcb56d (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
00007ff80ebcb5ab (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
00007ff80ebcb553 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00007ff80eb9415c (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
00007ff80ebca2ff (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
00007ff80ebca2f5 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00007ff80ebca2cc (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00007ff80ebca2aa (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
00007ff80ebca25c (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
00007ff80ebca284 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00007ff80ebd30d2 (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00007ff80ebd30c7 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00007ff80ebeaf6d (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00007ff80eba1067 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00007ff80eba0acd (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00007ff80eba0c8a (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00007ff80eba0d6e (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
00007ff80ebc2704 (__TEXT,__text) non-external (was a private external) _parse_size
00007ff80ec49670 (__TEXT,__const) non-external _position_slot_base_position
00007ff80ec495f0 (__TEXT,__const) non-external _position_slot_extra_bits
00007ff80eb9341b (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80ebecd00 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00007ff80eb971f0 (__TEXT,__text) non-external _readHuffmanTable
00007ff80ebc2658 (__TEXT,__text) non-external (was a private external) _read_expected
00007ff80eb9038b (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00007ff80eb93501 (__TEXT,__text) non-external _scan_tree
00007ff80eb935f0 (__TEXT,__text) non-external _send_tree
00007ff80ebcb8a0 (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
00007ff80ebcb82a (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
00007ff80ebcb841 (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
00007ff80ebcb7f5 (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
00007ff80ebcf995 (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
00007ff80ebcfba6 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
00007ff80ebbcb59 (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
00007ff80ebbd0df (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
00007ff80ebb5ed8 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
00007ff80ebb60f7 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat$INODE64 (from libSystem)
00007ff80ebd2cf0 (__TEXT,__text) non-external _staticHuffmanTable
00007ff8436e7b70 (__DATA,__data) non-external _static_bl_desc
00007ff8436e7b50 (__DATA,__data) non-external _static_d_desc
00007ff80ec51a50 (__TEXT,__const) non-external _static_dtree
00007ff8436e7b30 (__DATA,__data) non-external _static_l_desc
00007ff80ec515d0 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00007ff8436e7a90 (__DATA,__data) non-external (was a private external) _tc_quant16
00007ff80eba8f63 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00007ff80eba9185 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00007ff80eba9088 (__TEXT,__text) non-external _thread_pool_entry
00007ff80eba8dbb (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00007ff80eba8ed8 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
00007ff80ebeaddc (__TEXT,__text) external _touchpadCodecCreate
00007ff80eba94f3 (__TEXT,__text) external _touchpadCodecDecodeImage
00007ff80ebeaf20 (__TEXT,__text) external _touchpadCodecDestroy
00007ff80ebf3c33 (__TEXT,__text) external _touchpadCodecEncodeImage
00007ff80ebea51c (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
00007ff80ebc26b0 (__TEXT,__text) non-external (was a private external) _write_expected
00007ff80ec52b96 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
00007ff80ec52b90 (__TEXT,__const) non-external (was a private external) _xz_header_magic
00007ff80ebf3bb6 (__TEXT,__text) non-external _xz_read_multi_byte
00007ff80ebf3b64 (__TEXT,__text) non-external _xz_simple_crc32
00007ff80ebe3ac1 (__TEXT,__text) external _yzip_codec_create
00007ff80ebe3aef (__TEXT,__text) external _yzip_codec_destroy
00007ff80ebe3b14 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
00007ff80ebbbc7c (__TEXT,__text) external _yzip_image_create
00007ff80ebbbdce (__TEXT,__text) external _yzip_image_create_with_payload
00007ff80ebbc5e3 (__TEXT,__text) external _yzip_image_decode
00007ff80ebbbf1d (__TEXT,__text) external _yzip_image_destroy
00007ff80ebbbf27 (__TEXT,__text) external _yzip_image_encode
00007ff80ebbc82e (__TEXT,__text) external _yzip_image_get_descriptor
00007ff80ebbc8e4 (__TEXT,__text) external _yzip_image_get_max_payload_size
00007ff80ebbc893 (__TEXT,__text) external _yzip_image_get_plane_descriptor
00007ff80ebbc967 (__TEXT,__text) external _yzip_image_set_data
00007ff80ebbcb4c (__TEXT,__text) external _yzip_image_set_identifier
00007ff80ebbca74 (__TEXT,__text) external _yzip_image_set_plane_data
00007ff80ebb6aef (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00007ff80ebb69e3 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00007ff80ebb6756 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00007ff80ebb7551 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00007ff80ebb6fde (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00007ff80ebb74b5 (__TEXT,__text) non-external _yzip_jobs_process
00007ff80ebb66fa (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00007ff80ebec57f (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00007ff80ebeb2db (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
00007ff80ebeb1ec (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
00007ff80ebeb342 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00007ff80ebebd77 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00007ff80eb98e1c (__TEXT,__text) non-external (was a private external) _zError
00007ff84154d330 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
00007ff80eb90699 (__TEXT,__text) non-external (was a private external) _zcalloc
00007ff80eb940ce (__TEXT,__text) non-external (was a private external) _zcfree
00007ff80eb98490 (__TEXT,__text) external _zero_coder_decode
00007ff80eb98598 (__TEXT,__text) external _zero_coder_encode
00007ff80eb986c6 (__TEXT,__text) non-external _zero_coder_init_luts
00007ff8436e83d0 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00007ff8436e84d0 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00007ff8436e8cd0 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00007ff8436e83c0 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
00007ff80eb98e11 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00007ff80eb964bf (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00007ff80eb96aa0 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00007ff80ec49490 (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00007ff80ec49450 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00007ff80eb98e04 (__TEXT,__text) non-external (was a private external) _zlibVersion
00007ff80ebd2b5f (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00007ff80ebd2b54 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00007ff80eba9baf (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00007ff80eba9ba4 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
00007ff80ebcb7ef (__TEXT,__text) non-external (was a private external) _zlib_free
00007ff80ebcb7c7 (__TEXT,__text) non-external (was a private external) _zlib_malloc
00007ff80eb9415c (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00007ff80ebd30a4 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00007ff80eb96163 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00007ff80ebd30af (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00007ff80eb96163 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00007ff80eb902c5 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00007ff80eb90f85 (__TEXT,__text) non-external (was a private external) _zlib_stream_process
                 (undefined) external dyld_stub_binder (from libSystem)
00007ff80eb997bb (__TEXT,__text) non-external n_loop
00007ff80eb99aaa (__TEXT,__text) non-external scalar_loop
00007ff80eb997a0 (__TEXT,__text) non-external skip_loading_tables
00007ff8436e7ae0 (__DATA,__data) non-external sum2_coefficients
00007ff8436e7ab0 (__DATA,__data) non-external sum2_coefficients_nossse3
