00007ffb42d6af88 (__DATA,__bss) non-external _A
00007ffb1fb06920 (__TEXT,__text) external _cmark_strbuf_init
00007ffb1fb069ab (__TEXT,__text) external _cmark_strbuf_len
00007ffb1fb06df1 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffb1fb06af0 (__TEXT,__text) external _cmark_strbuf_put
00007ffb1fb06ab6 (__TEXT,__text) external _cmark_strbuf_putc
00007ffb1fb06b44 (__TEXT,__text) external _cmark_strbuf_puts
00007ffb1fb06d58 (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffb1fb06a04 (__TEXT,__text) external _cmark_strbuf_set
00007ffb1fb06a86 (__TEXT,__text) external _cmark_strbuf_sets
00007ffb1fb06c72 (__TEXT,__text) external _cmark_strbuf_strchr
00007ffb1fb06cb2 (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffb1fb06bbd (__TEXT,__text) external _cmark_strbuf_swap
00007ffb1fb06da0 (__TEXT,__text) external _cmark_strbuf_trim
00007ffb1fb06cf1 (__TEXT,__text) external _cmark_strbuf_truncate
00007ffb1fb06e8b (__TEXT,__text) external _cmark_strbuf_unescape
00007ffb1faf9fee (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffb1fb11f33 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffb1faf9f54 (__TEXT,__text) external _cmark_syntax_extension_free
00007ffb1fafa0e9 (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffb1faf9f99 (__TEXT,__text) external _cmark_syntax_extension_new
00007ffb1fafa06b (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffb1fafa10d (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffb1fafa07f (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffb1fafa075 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffb1fafa023 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffb1fafa061 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffb1fafa0c1 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffb1fafa0b4 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffb1fafa04d (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffb1fafa093 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffb1fafa0a7 (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffb1fafa03a (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffb1fafa043 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffb1fafa0f3 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffb1fafa100 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffb1fafa030 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffb1fafa089 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffb1fafa0ce (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffb1fafa0db (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffb1fafa057 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffb1fafa09d (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffb1fb065db (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffb1faeedf9 (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffb1faee9c0 (__TEXT,__text) external _cmark_utf8proc_check
00007ffb1faeecf4 (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffb1fb11e58 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffb1faf68e6 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffb1faf688c (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffb1faeeb9d (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffb1faf81f6 (__TEXT,__text) external _cmark_version
00007ffb1faf8201 (__TEXT,__text) external _cmark_version_string
00007ffb1faf978a (__TEXT,__text) non-external _commonmark_render
00007ffb1fafc12e (__TEXT,__text) non-external _commonmark_render
00007ffb1fb1068a (__TEXT,__text) non-external _commonmark_render
00007ffb1fb128e7 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffb1fb10675 (__TEXT,__text) non-external _contains_inlines
00007ffb1fb0662d (__TEXT,__text) non-external _core_extensions_registration
00007ffb1fafa11a (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffb1fafc00b (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffb1fb0fc28 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffb1fb11d51 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffb1faf95cc (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffb1fb12ba0 (__TEXT,__const) non-external _encode_unknown.repl
00007ffb1fb1135f (__TEXT,__text) non-external _escape
00007ffb42d6adb0 (__DATA,__bss) non-external _extensions_lock
00007ffb42d6ac40 (__DATA,__data) non-external _extensions_once
00007ffb1fb11d7f (__TEXT,__text) non-external _filter
00007ffb1fb0906b (__TEXT,__text) non-external _finalize
00007ffb1fb121a6 (__TEXT,__text) non-external _finalize.cold.1
00007ffb1fb121c9 (__TEXT,__text) non-external _finalize.cold.2
00007ffb1fb0659f (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffb1fb0997d (__TEXT,__text) non-external _free_node_as
00007ffb1fb11999 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffb1fafd35e (__TEXT,__text) non-external _get_link_type
00007ffb1faf96c5 (__TEXT,__text) non-external _get_type_string
00007ffb1fafc0ed (__TEXT,__text) non-external _get_type_string
00007ffb1fb105ad (__TEXT,__text) non-external _get_type_string
00007ffb1fb0f078 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffb1fb157b0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffb1faf81e1 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffb1faf80c4 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffb1fb0f194 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffb1fb0f425 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffb1fb0f552 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffb1faf97f7 (__TEXT,__text) non-external _html_render
00007ffb1fafc1d0 (__TEXT,__text) non-external _html_render
00007ffb1fb10cad (__TEXT,__text) non-external _html_render
00007ffb1fb12950 (__TEXT,__text) non-external _html_render.cold.1
00007ffb1fb11a01 (__TEXT,__text) non-external _html_table_add_align
00007ffb1fb11d08 (__TEXT,__text) non-external _init_arena
00007ffb1fb11cf5 (__TEXT,__text) non-external _initialize_arena
00007ffb1fafb1fd (__TEXT,__text) non-external _initialize_extensions
00007ffb1fb0acce (__TEXT,__text) non-external _initialize_nextflag
00007ffb1fafc34d (__TEXT,__text) non-external _insert
00007ffb1fafaf77 (__TEXT,__text) non-external _is_valid_hostchar
00007ffb1fafc14e (__TEXT,__text) non-external _latex_render
00007ffb1fb108a9 (__TEXT,__text) non-external _latex_render
00007ffb1fb1290a (__TEXT,__text) non-external _latex_render.cold.1
00007ffb1fb0ddc1 (__TEXT,__text) non-external _link_label
00007ffb1fb12651 (__TEXT,__text) non-external _link_label.cold.1
00007ffb1fb12674 (__TEXT,__text) non-external _link_label.cold.2
00007ffb1fb12697 (__TEXT,__text) non-external _link_label.cold.3
00007ffb1fb126ba (__TEXT,__text) non-external _link_label.cold.4
00007ffb1fb126dd (__TEXT,__text) non-external _link_label.cold.5
00007ffb1fb0e86b (__TEXT,__text) non-external _make_autolink
00007ffb1fb128a2 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
00007ffb1fafc17d (__TEXT,__text) non-external _man_render
00007ffb1fb10b46 (__TEXT,__text) non-external _man_render
00007ffb1fb1292d (__TEXT,__text) non-external _man_render.cold.1
00007ffb1fb0e05b (__TEXT,__text) non-external _manual_scan_link_url
00007ffb1fafa188 (__TEXT,__text) non-external _match
00007ffb1fafc212 (__TEXT,__text) non-external _match
00007ffb1faf9661 (__TEXT,__text) non-external _matches
00007ffb1fb0fd4a (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffb42d6adf8 (__DATA,__bss) non-external _nextflag_lock
00007ffb42d6ac60 (__DATA,__data) non-external _nextflag_once
00007ffb1fb06692 (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffb1fb12003 (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffb1fb112c0 (__TEXT,__text) non-external _opaque_alloc
00007ffb1fb1130c (__TEXT,__text) non-external _opaque_free
00007ffb1faf96d2 (__TEXT,__text) non-external _open_tasklist_item
00007ffb1faf70b0 (__TEXT,__text) non-external _outc
00007ffb1fafc94a (__TEXT,__text) non-external _outc
00007ffb1fb0f5ec (__TEXT,__text) non-external _outc
00007ffb1fafc1f2 (__TEXT,__text) non-external _plaintext_render
00007ffb1fafa5e5 (__TEXT,__text) non-external _postprocess
00007ffb1fb11f54 (__TEXT,__text) non-external _postprocess.cold.1
00007ffb1fb11f77 (__TEXT,__text) non-external _postprocess.cold.2
00007ffb1fb0d500 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
00007ffb1fb0e789 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffb1fb068f6 (__TEXT,__text) non-external _refcmp
00007ffb1fb07079 (__TEXT,__text) non-external _reference_free
00007ffb1fb06871 (__TEXT,__text) non-external _refsearch
00007ffb1fb0661c (__TEXT,__text) non-external _register_plugins
00007ffb42d6ac50 (__DATA,__data) non-external _registered_once
00007ffb1fb12bb0 (__TEXT,__const) non-external _reltable.houdini_escape_html0
00007ffb1fb0da8e (__TEXT,__text) non-external _remove_delimiter
00007ffb1fb12539 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffb1fb09438 (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffb1fb11565 (__TEXT,__text) non-external _row_from_string
00007ffb42d626c0 (__DATA,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffb1fb09596 (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffb1fb0df8d (__TEXT,__text) non-external _spnl
00007ffb1fb126fe (__TEXT,__text) non-external _spnl.cold.1
00007ffb1fb12721 (__TEXT,__text) non-external _spnl.cold.2
00007ffb1fb12744 (__TEXT,__text) non-external _spnl.cold.3
00007ffb1fb12767 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffb42d6adf0 (__DATA,__bss) non-external _syntax_extensions
00007ffb1fb0fdd5 (__TEXT,__text) non-external _try_opening_table_block
00007ffb1fb11900 (__TEXT,__text) non-external _unescape_pipes
00007ffb1fb12aa0 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffb1fafafb0 (__TEXT,__text) non-external _validate_protocol
00007ffb1faf820e (__TEXT,__text) non-external _xcalloc
00007ffb1fb11e9f (__TEXT,__text) non-external _xcalloc.cold.1
00007ffb1faf8240 (__TEXT,__text) non-external _xfree
00007ffb1faf994e (__TEXT,__text) non-external _xml_attr
00007ffb1fb10a35 (__TEXT,__text) non-external _xml_attr
00007ffb1faf8227 (__TEXT,__text) non-external _xrealloc
00007ffb1fb11ec4 (__TEXT,__text) non-external _xrealloc.cold.1
