                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cospi (from libSystem)
                 (undefined) external ___cospif (from libSystem)
                 (undefined) external ___sincos_stret (from libSystem)
                 (undefined) external ___sincosf_stret (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external _atan2 (from libSystem)
                 (undefined) external _atan2f (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cblas_dgemm (from libBLAS)
                 (undefined) external _cblas_sgemm (from libBLAS)
                 (undefined) external _cos (from libSystem)
                 (undefined) external _cosf (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _log (from libSystem)
                 (undefined) external _log10 (from libSystem)
                 (undefined) external _log10f (from libSystem)
                 (undefined) external _log2 (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset_pattern4 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _posix_memalign (from libSystem)
                 (undefined) external _pow (from libSystem)
                 (undefined) external _powf (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinf (from libSystem)
                 (undefined) external _tan (from libSystem)
000000018be3f8b4 (__TEXT,__text) external _vDSP_DCT_CreateSetup
000000018be208ac (__TEXT,__text) external _vDSP_vswapD
000000018be25c08 (__TEXT,__text) external _vDSP_vswmax
000000018bd7bac8 (__TEXT,__text) external _vDSP_vswmaxD
000000018be1d230 (__TEXT,__text) external _vDSP_vswsum
000000018be258c0 (__TEXT,__text) external _vDSP_vswsumD
000000018bd8bc54 (__TEXT,__text) external _vDSP_vtabi
000000018bd85108 (__TEXT,__text) external _vDSP_vtabiD
000000018be0f3b0 (__TEXT,__text) external _vDSP_vthr
000000018be06060 (__TEXT,__text) external _vDSP_vthrD
000000018bdb5240 (__TEXT,__text) external _vDSP_vthres
000000018bdac890 (__TEXT,__text) external _vDSP_vthresD
000000018be0f5c8 (__TEXT,__text) external _vDSP_vthrsc
000000018bd827ec (__TEXT,__text) external _vDSP_vthrscD
000000018bda271c (__TEXT,__text) external _vDSP_vtmerg
000000018bdac568 (__TEXT,__text) external _vDSP_vtmergD
000000018be41620 (__TEXT,__text) external _vDSP_vtrapz
000000018be17a4c (__TEXT,__text) external _vDSP_vtrapzD
000000018be18cd0 (__TEXT,__text) external _vDSP_wiener
000000018bdd4814 (__TEXT,__text) external _vDSP_wienerD
000000018be1e278 (__TEXT,__text) external _vDSP_zaspec
000000018be1dd80 (__TEXT,__text) external _vDSP_zaspecD
000000018be156a8 (__TEXT,__text) external _vDSP_zcoher
000000018bdac990 (__TEXT,__text) external _vDSP_zcoherD
000000018bd818e8 (__TEXT,__text) external _vDSP_zconv
000000018bdd02f8 (__TEXT,__text) external _vDSP_zconvD
000000018be159bc (__TEXT,__text) external _vDSP_zcspec
000000018bd86e3c (__TEXT,__text) external _vDSP_zcspecD
000000018be1df64 (__TEXT,__text) external _vDSP_zdotpr
000000018be46118 (__TEXT,__text) external _vDSP_zdotprD
000000018bdca214 (__TEXT,__text) external _vDSP_zidotpr
000000018be0b9a4 (__TEXT,__text) external _vDSP_zidotprD
000000018be22888 (__TEXT,__text) external _vDSP_zmma
000000018be22d28 (__TEXT,__text) external _vDSP_zmmaD
000000018be231c8 (__TEXT,__text) external _vDSP_zmms
000000018be238f8 (__TEXT,__text) external _vDSP_zmmsD
000000018be23dc8 (__TEXT,__text) external _vDSP_zmmul
000000018be24160 (__TEXT,__text) external _vDSP_zmmulD
000000018be24ea0 (__TEXT,__text) external _vDSP_zmsm
000000018be25340 (__TEXT,__text) external _vDSP_zmsmD
000000018be12ea4 (__TEXT,__text) external _vDSP_zrdesamp
000000018be501b4 (__TEXT,__text) external _vDSP_zrdesampD
000000018be1e6b8 (__TEXT,__text) external _vDSP_zrdotpr
000000018bdb11ec (__TEXT,__text) external _vDSP_zrdotprD
000000018bd824e8 (__TEXT,__text) external _vDSP_zrvadd
000000018bdb30c0 (__TEXT,__text) external _vDSP_zrvaddD
000000018be45b98 (__TEXT,__text) external _vDSP_zrvdiv
000000018be54448 (__TEXT,__text) external _vDSP_zrvdivD
000000018be0ea14 (__TEXT,__text) external _vDSP_zrvmul
000000018bdbd3cc (__TEXT,__text) external _vDSP_zrvmulD
000000018bdcc14c (__TEXT,__text) external _vDSP_zrvsub
000000018be298b4 (__TEXT,__text) external _vDSP_zrvsubD
000000018bdce250 (__TEXT,__text) external _vDSP_ztoc
000000018bdca4a4 (__TEXT,__text) external _vDSP_ztocD
000000018be104a8 (__TEXT,__text) external _vDSP_ztrans
000000018bd8a9fc (__TEXT,__text) external _vDSP_ztransD
000000018bdd33ac (__TEXT,__text) external _vDSP_zvabs
000000018be2c378 (__TEXT,__text) external _vDSP_zvabsD
000000018bdc2fe0 (__TEXT,__text) external _vDSP_zvadd
000000018bd8a828 (__TEXT,__text) external _vDSP_zvaddD
000000018be5fd50 (__TEXT,__text) external _vDSP_zvcma
000000018be15490 (__TEXT,__text) external _vDSP_zvcmaD
000000018be1e7f0 (__TEXT,__text) external _vDSP_zvcmul
000000018bd86e34 (__TEXT,__text) external _vDSP_zvcmulD
000000018bdb0a78 (__TEXT,__text) external _vDSP_zvconj
000000018be5fa80 (__TEXT,__text) external _vDSP_zvconjD
000000018be46988 (__TEXT,__text) external _vDSP_zvdiv
000000018bdd88a8 (__TEXT,__text) external _vDSP_zvdivD
000000018bdca8cc (__TEXT,__text) external _vDSP_zvfill
000000018bdcd780 (__TEXT,__text) external _vDSP_zvfillD
000000018be5a650 (__TEXT,__text) external _vDSP_zvma
000000018bdceb68 (__TEXT,__text) external _vDSP_zvmaD
000000018bdaefcc (__TEXT,__text) external _vDSP_zvmags
000000018be13c38 (__TEXT,__text) external _vDSP_zvmagsD
000000018be1035c (__TEXT,__text) external _vDSP_zvmgsa
000000018be0d304 (__TEXT,__text) external _vDSP_zvmgsaD
000000018be5af8c (__TEXT,__text) external _vDSP_zvmmaa
000000018bd9b3bc (__TEXT,__text) external _vDSP_zvmmaaD
000000018be1ee30 (__TEXT,__text) external _vDSP_zvmov
000000018bdc0b9c (__TEXT,__text) external _vDSP_zvmovD
000000018bdcab50 (__TEXT,__text) external _vDSP_zvmul
000000018bdcac94 (__TEXT,__text) external _vDSP_zvmulD
000000018be47010 (__TEXT,__text) external _vDSP_zvneg
000000018be0e1f4 (__TEXT,__text) external _vDSP_zvnegD
000000018bdaf97c (__TEXT,__text) external _vDSP_zvphas
000000018bdb0b04 (__TEXT,__text) external _vDSP_zvphasD
000000018be175cc (__TEXT,__text) external _vDSP_zvsma
000000018be21314 (__TEXT,__text) external _vDSP_zvsmaD
000000018bdbac8c (__TEXT,__text) external _vDSP_zvsub
000000018be0b6b8 (__TEXT,__text) external _vDSP_zvsubD
000000018bdb6b4c (__TEXT,__text) external _vDSP_zvzsml
000000018be0cb38 (__TEXT,__text) external _vDSP_zvzsmlD
                 (undefined) external _vImageConvolve_PlanarF (from vImage)
                 (undefined) external _vvcospi (from libvMisc)
                 (undefined) external _vvcospif (from libvMisc)
                 (undefined) external _vvlog10 (from libvMisc)
                 (undefined) external _vvlog10f (from libvMisc)
