0000000298493420 (__DATA,__bss) non-external _A
000000027e687e34 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
000000027e687e2c (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
000000027e687ddc (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
000000027e687e14 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
000000027e687e24 (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
000000027e687dcc (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
000000027e687dd4 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
000000027e687e58 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
000000027e687e60 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
000000027e687dc4 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
000000027e687e0c (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
000000027e687e3c (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
000000027e687e44 (__TEXT,__text) external _cmark_syntax_extension_set_private
000000027e687de4 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
000000027e687e1c (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
000000027e6954d4 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
000000027e680694 (__TEXT,__text) external _cmark_utf8proc_case_fold
000000027e680218 (__TEXT,__text) external _cmark_utf8proc_check
000000027e68055c (__TEXT,__text) external _cmark_utf8proc_encode_char
000000027e6a1964 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
000000027e684154 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
000000027e6840d8 (__TEXT,__text) external _cmark_utf8proc_is_space
000000027e68042c (__TEXT,__text) external _cmark_utf8proc_iterate
000000027e685c50 (__TEXT,__text) external _cmark_version
000000027e685c5c (__TEXT,__text) external _cmark_version_string
000000027e687290 (__TEXT,__text) non-external _commonmark_render
000000027e68a004 (__TEXT,__text) non-external _commonmark_render
000000027e69fd34 (__TEXT,__text) non-external _commonmark_render
000000027e6a213c (__TEXT,__text) non-external _commonmark_render.cold.1
000000027e69fd1c (__TEXT,__text) non-external _contains_inlines
000000027e695538 (__TEXT,__text) non-external _core_extensions_registration
000000027e687e70 (__TEXT,__text) non-external (was a private external) _create_autolink_extension
000000027e689e80 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
000000027e69f154 (__TEXT,__text) non-external (was a private external) _create_table_extension
000000027e6a1814 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
000000027e687028 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
0000000298493318 (__DATA,__bss) non-external _enable_safety_checks
000000027e6a2b10 (__TEXT,__const) non-external _encode_unknown.repl
000000027e6a0cbc (__TEXT,__text) non-external _escape
000000027e6a1858 (__TEXT,__text) non-external _filter
000000027e698274 (__TEXT,__text) non-external _finalize
000000027e6a1e58 (__TEXT,__text) non-external _finalize.cold.1
000000027e6a1e84 (__TEXT,__text) non-external _finalize.cold.2
000000027e695478 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
000000027e698ca4 (__TEXT,__text) non-external _free_node_as
000000027e6a13a4 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
000000027e68b53c (__TEXT,__text) non-external _get_link_type
000000027e68719c (__TEXT,__text) non-external _get_type_string
000000027e689fbc (__TEXT,__text) non-external _get_type_string
000000027e69fc0c (__TEXT,__text) non-external _get_type_string
000000027e69e5e8 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
000000027e6a1fec (__TEXT,__text) non-external _houdini_escape_href.cold.1
000000027e6a5695 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
000000027e6a1ab8 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
000000027e6a19bc (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
000000027e69e634 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
000000027e69e8d4 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
000000027e69e9e4 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
000000027e68734c (__TEXT,__text) non-external _html_render
000000027e68a104 (__TEXT,__text) non-external _html_render
000000027e6a056c (__TEXT,__text) non-external _html_render
000000027e6a21c0 (__TEXT,__text) non-external _html_render.cold.1
000000027e6a14f0 (__TEXT,__text) non-external _html_table_add_align
000000027e68a26c (__TEXT,__text) non-external _insert
000000027e688bd8 (__TEXT,__text) non-external _is_valid_hostchar
000000027e68a028 (__TEXT,__text) non-external _latex_render
000000027e69fff4 (__TEXT,__text) non-external _latex_render
000000027e6a2168 (__TEXT,__text) non-external _latex_render.cold.1
000000027e69d194 (__TEXT,__text) non-external _link_label
000000027e6a1edc (__TEXT,__text) non-external _link_label.cold.1
000000027e6a1f94 (__TEXT,__text) non-external _link_label.cold.2
000000027e6a1f94 (__TEXT,__text) non-external _link_label.cold.3
000000027e6a1f94 (__TEXT,__text) non-external _link_label.cold.4
000000027e6a1f94 (__TEXT,__text) non-external _link_label.cold.5
000000027e69de00 (__TEXT,__text) non-external _make_autolink
000000027e6a1f68 (__TEXT,__text) non-external _make_autolink.cold.1
000000027e69dcf4 (__TEXT,__text) non-external _make_literal
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
000000027e68a05c (__TEXT,__text) non-external _man_render
000000027e6a0344 (__TEXT,__text) non-external _man_render
000000027e6a2194 (__TEXT,__text) non-external _man_render.cold.1
000000027e69d480 (__TEXT,__text) non-external _manual_scan_link_url
000000027e687efc (__TEXT,__text) non-external _match
000000027e68a148 (__TEXT,__text) non-external _match
000000027e68710c (__TEXT,__text) non-external _matches
000000027e69f308 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000027e6955ac (__TEXT,__text) non-external (was a private external) _normalize_map_label
000000027e6a1c98 (__TEXT,__text) non-external _normalize_map_label.cold.1
000000027e6a0bac (__TEXT,__text) non-external _opaque_alloc
000000027e6a0c28 (__TEXT,__text) non-external _opaque_free
000000027e6871a8 (__TEXT,__text) non-external _open_tasklist_item
000000027e684a28 (__TEXT,__text) non-external _outc
000000027e68a8ac (__TEXT,__text) non-external _outc
000000027e69eac4 (__TEXT,__text) non-external _outc
000000027e68a124 (__TEXT,__text) non-external _plaintext_render
000000027e68831c (__TEXT,__text) non-external _postprocess
000000027e6a1bbc (__TEXT,__text) non-external _postprocess.cold.1
000000027e6a1be8 (__TEXT,__text) non-external _postprocess.cold.2
000000027e69c820 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _qsort (from libSystem)
000000027e695860 (__TEXT,__text) non-external _refcmp
000000027e6961b0 (__TEXT,__text) non-external _reference_free
000000027e6957a0 (__TEXT,__text) non-external _refsearch
0000000299b2a5c0 (__DATA_DIRTY,__bss) non-external _registered
000000027e69cdf0 (__TEXT,__text) non-external _remove_delimiter
000000027e6a1fc0 (__TEXT,__text) non-external _remove_delimiter.cold.1
000000027e698608 (__TEXT,__text) non-external _resolve_reference_link_definitions
000000027e6a0f30 (__TEXT,__text) non-external _row_from_string
000000029230f2b0 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
000000027e6988a8 (__TEXT,__text) non-external _sort_footnote_by_ix
000000027e69d374 (__TEXT,__text) non-external _spnl
000000027e6a1f94 (__TEXT,__text) non-external _spnl.cold.1
000000027e6a1f94 (__TEXT,__text) non-external _spnl.cold.2
000000027e6a1f94 (__TEXT,__text) non-external _spnl.cold.3
000000027e6a1f94 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
0000000299b2a5b8 (__DATA_DIRTY,__bss) non-external _syntax_extensions
000000027e6a1428 (__TEXT,__text) non-external _try_inserting_table_header_paragraph
000000027e69f3c0 (__TEXT,__text) non-external _try_opening_table_block
000000027e6a12d0 (__TEXT,__text) non-external _unescape_pipes
000000027e6a2a10 (__TEXT,__const) non-external _utf8proc_utf8class
000000027e688c28 (__TEXT,__text) non-external _validate_protocol
000000027e685c68 (__TEXT,__text) non-external _xcalloc
000000027e6a1ad8 (__TEXT,__text) non-external _xcalloc.cold.1
000000027e685cb8 (__TEXT,__text) non-external _xfree
000000027e6874d4 (__TEXT,__text) non-external _xml_attr
000000027e6a0244 (__TEXT,__text) non-external _xml_attr
000000027e685c90 (__TEXT,__text) non-external _xrealloc
000000027e6a1b08 (__TEXT,__text) non-external _xrealloc.cold.1
