00000001901bd92c (__TEXT,__text) non-external _Annihilate
                 (undefined) external _gettimeofday (from libSystem)
00000001901ce11c (__TEXT,__text) non-external _header_fetch_from_payload
00000001901f742c (__TEXT,__text) non-external _init_block
00000001901cddfc (__TEXT,__text) non-external (was a private external) _is_format_invalid
00000001901cdd10 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
00000001901ce784 (__TEXT,__text) non-external _is_image_valid
00000001901c2dd8 (__TEXT,__text) non-external (was a private external) _join_thread
0000000190220370 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
0000000190201b10 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
0000000190201b70 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001e654da10 (__DATA_CONST,__const) non-external _kBrotliDictionary
0000000190202388 (__TEXT,__const) non-external _kBrotliDictionaryData
0000000190201a50 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
0000000190201ab0 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
000000019025fb58 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
0000000190222038 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001e654dbf8 (__DATA_CONST,__const) non-external _kBrotliTransforms
0000000190202168 (__TEXT,__const) non-external _kCmdHistoSeed
00000001902204b2 (__TEXT,__const) non-external _kCmdLut
0000000190253a14 (__TEXT,__const) non-external _kCodeLengthBits
0000000190220480 (__TEXT,__const) non-external _kCodeLengthCodeOrder
0000000190253a00 (__TEXT,__const) non-external _kCodeLengthDepth
0000000190220492 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00000001902204a2 (__TEXT,__const) non-external _kCodeLengthPrefixValue
0000000190221ef8 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
0000000190221eb8 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
000000019022258c (__TEXT,__const) non-external _kDistanceCacheIndex
00000001902225cc (__TEXT,__const) non-external _kDistanceCacheOffset
0000000190221e04 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
0000000190221df0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
0000000190221e68 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
0000000190221e54 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
0000000190254560 (__TEXT,__const) non-external _kNonZeroRepsBits
0000000190253a5c (__TEXT,__const) non-external _kNonZeroRepsDepth
0000000190251604 (__TEXT,__const) non-external _kPrefixSuffix
00000001902516de (__TEXT,__const) non-external _kPrefixSuffixMap
0000000190255e20 (__TEXT,__const) non-external _kStaticCommandCodeBits
0000000190255b60 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00000001902226a0 (__TEXT,__const) non-external _kStaticDictionaryBuckets
0000000190270366 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
0000000190260366 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00000001902326a0 (__TEXT,__const) non-external _kStaticDictionaryWords
00000001902563e0 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00000001902563a0 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
0000000190251742 (__TEXT,__const) non-external _kTransformsData
0000000190252400 (__TEXT,__const) non-external _kZeroRepsBits
0000000190251900 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00000001901aa5e0 (__TEXT,__text) non-external _longest_match
000000019025b214 (__TEXT,__const) non-external (was a private external) _lut_rle
00000001901c2a9c (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
00000001901cb724 (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
00000001901cb718 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
00000001901b03d0 (__TEXT,__text) non-external (was a private external) _lz4_decode
00000001901affc0 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00000001901afde4 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00000001901b0740 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00000001901b1d54 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00000001901abe8c (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00000001901dda20 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00000001901dda20 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00000001901dda20 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00000001901dd9ec (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00000001901dd324 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00000001901dd3dc (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00000001901cbea0 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00000001901cbd9c (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00000001901c813c (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
00000001901d9eec (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
00000001901d8bd0 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle_unsafe
00000001901d9f5c (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
00000001901d6c40 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
00000001901d9f20 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
00000001901d8ad4 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle_unsafe
00000001901d9f64 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
00000001901d6b0c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
00000001901d3828 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
00000001901d9e60 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00000001901ca0c4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
00000001901d9e94 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
00000001901d9ed0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00000001901ca0a4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
000000019025c260 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
00000001901d6b60 (__TEXT,__text) non-external _lzbitmap_init_encode_state
000000019025ba60 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00000001901d6d80 (__TEXT,__text) non-external _lzbitmap_process_block
00000001901d9f80 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
000000019025d260 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
000000019025b260 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00000001901fb1b0 (__TEXT,__text) non-external _lzfseBackendMatch
00000001901ac414 (__TEXT,__text) non-external (was a private external) _lzfseDecode
00000001901b058c (__TEXT,__text) non-external _lzfseDecodeV1
00000001901faeb8 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00000001901fb210 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00000001901fad18 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00000001901fad70 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00000001901fb5ac (__TEXT,__text) non-external _lzfseEncodeMatches
00000001901fad40 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00000001901fae38 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00000001901fb2bc (__TEXT,__text) non-external _lzfsePushMatch
00000001901ac150 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00000001901ac078 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
00000001901d381c (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00000001901ee4cc (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00000001901ee434 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00000001901ee414 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00000001901ad784 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00000001901ccd6c (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00000001901ccb68 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00000001901ccd64 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00000001901b0e40 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
00000001901b0b90 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
00000001901cd940 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00000001eec02f60 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00000001901ad40c (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00000001901e1298 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00000001901e1258 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
0000000190221ff8 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
0000000190222018 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00000001901abe8c (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00000001901cb1c4 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00000001901cb1c0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00000001901cb194 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00000001901cb130 (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00000001901ac04c (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00000001901ac12c (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
00000001901ff958 (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
00000001901d3f78 (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
00000001901fde5c (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
00000001901d8a28 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00000001901ad828 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
00000001901d8a84 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00000001901ad828 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
0000000190222430 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00000001901ac014 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00000001901fd808 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
0000000190260360 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00000001901abebc (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00000001901abf60 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00000001901fd410 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
00000001901fd740 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
00000001901acef8 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00000001eec02760 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
00000001901d9124 (__TEXT,__text) non-external (was a private external) _lzvnEncode
00000001901d90c8 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00000001901be17c (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00000001901be0e0 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00000001901be0d4 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00000001901c240c (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00000001901c2338 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00000001901c2318 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00000001901ad840 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00000001901ad828 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
00000001901d9b54 (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
00000001901d9b9c (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
00000001901d9b40 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00000001901abe8c (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
00000001901d8a24 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
00000001901d8a20 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00000001901d89f4 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00000001901d89b8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
00000001901d8968 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
00000001901d8994 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00000001901e093c (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00000001901e0930 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00000001901f5a14 (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00000001901b83b0 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00000001901b7ccc (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00000001901b7fb4 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00000001901b80c4 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
00000001901d3e44 (__TEXT,__text) non-external (was a private external) _parse_size
00000001902566a4 (__TEXT,__const) non-external _position_slot_base_position
000000019025662c (__TEXT,__const) non-external _position_slot_extra_bits
00000001901ab1d8 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00000001901f73c4 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00000001901af750 (__TEXT,__text) non-external _readHuffmanTable
00000001901d3d74 (__TEXT,__text) non-external (was a private external) _read_expected
00000001901a88f0 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00000001901ab2bc (__TEXT,__text) non-external _scan_tree
00000001901ab3c0 (__TEXT,__text) non-external _send_tree
00000001901d9e30 (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
00000001901d9db8 (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
00000001901d9dc8 (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
00000001901d9d8c (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
00000001901dda2c (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
00000001901ddc08 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
00000001901cee14 (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
00000001901cf540 (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
00000001901c8c60 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
00000001901c8e64 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat (from libSystem)
00000001ea02aa60 (__DATA,__data) non-external _static_bl_desc
00000001ea02aa40 (__DATA,__data) non-external _static_d_desc
000000019025e9e8 (__TEXT,__const) non-external _static_dtree
00000001ea02aa20 (__DATA,__data) non-external _static_l_desc
000000019025e568 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001ea02aa00 (__DATA,__data) non-external (was a private external) _tc_quant16
00000001901bde08 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00000001901be010 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00000001901bdf38 (__TEXT,__text) non-external _thread_pool_entry
00000001901bdc74 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00000001901bdd6c (__TEXT,__text) non-external (was a private external) _thread_pool_sync
00000001901f5870 (__TEXT,__text) external _touchpadCodecCreate
00000001901be3c0 (__TEXT,__text) external _touchpadCodecDecodeImage
00000001901f59a0 (__TEXT,__text) external _touchpadCodecDestroy
00000001901fd820 (__TEXT,__text) external _touchpadCodecEncodeImage
00000001901f5010 (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
00000001901d3ddc (__TEXT,__text) non-external (was a private external) _write_expected
000000019025fb12 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
000000019025fb0c (__TEXT,__const) non-external (was a private external) _xz_header_magic
00000001901fd798 (__TEXT,__text) non-external _xz_read_multi_byte
00000001901fd748 (__TEXT,__text) non-external _xz_simple_crc32
00000001901ee934 (__TEXT,__text) external _yzip_codec_create
00000001901ee970 (__TEXT,__text) external _yzip_codec_destroy
00000001901cdf6c (__TEXT,__text) external _yzip_image_create
00000001901ce0d4 (__TEXT,__text) external _yzip_image_create_with_payload
00000001901ce94c (__TEXT,__text) external _yzip_image_decode
00000001901ce270 (__TEXT,__text) external _yzip_image_destroy
00000001901ce274 (__TEXT,__text) external _yzip_image_encode
00000001901ceb44 (__TEXT,__text) external _yzip_image_get_descriptor
00000001901cebfc (__TEXT,__text) external _yzip_image_get_max_payload_size
00000001901cebb0 (__TEXT,__text) external _yzip_image_get_plane_descriptor
00000001901cec84 (__TEXT,__text) external _yzip_image_set_data
00000001901cee08 (__TEXT,__text) external _yzip_image_set_identifier
00000001901ced40 (__TEXT,__text) external _yzip_image_set_plane_data
00000001901c95e0 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00000001901c94f0 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00000001901c92e0 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00000001901ca020 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00000001901c9a8c (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00000001901c9f48 (__TEXT,__text) non-external _yzip_jobs_process
00000001901c9270 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00000001901f6cf4 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00000001901f5de4 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
00000001901f5cf8 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
00000001901f5e50 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00000001901f6640 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00000001901b1d3c (__TEXT,__text) non-external (was a private external) _zError
00000001e654d9c0 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
00000001901a8cb8 (__TEXT,__text) non-external (was a private external) _zcalloc
00000001901abe08 (__TEXT,__text) non-external (was a private external) _zcfree
00000001901b1308 (__TEXT,__text) external _zero_coder_decode
00000001901b140c (__TEXT,__text) external _zero_coder_encode
00000001901b1550 (__TEXT,__text) non-external _zero_coder_init_luts
00000001ea02ac00 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00000001ea02ad00 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00000001ea02b500 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00000001ea02ab00 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
00000001901b1d34 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00000001901adde0 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00000001901aea2c (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00000001902564dc (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00000001902564a0 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00000001901b1d28 (__TEXT,__text) non-external (was a private external) _zlibVersion
00000001901e0464 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00000001901e0458 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00000001901be92c (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00000001901be920 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
00000001901d9d88 (__TEXT,__text) non-external (was a private external) _zlib_free
00000001901d9d5c (__TEXT,__text) non-external (was a private external) _zlib_malloc
00000001901abe8c (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00000001901e0908 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00000001901ad828 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00000001901e0914 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00000001901e0900 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00000001901a8840 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00000001901a90c0 (__TEXT,__text) non-external (was a private external) _zlib_stream_process
00000001901b12e0 (__TEXT,__text) non-external vec_table
