00000001d9c584a4 (__TEXT,__text) non-external +[NFPromise new]
00000001ebee11c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00000001ebee11c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00000001ebee1220 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00000001ebee1224 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00000001ebee1228 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._lock
00000001ebee11f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00000001ebee117c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00000001ebee1184 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00000001ebee1180 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
00000001ebee11cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromise._seal
00000001ebee11d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._error
00000001ebee11dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._handlers
00000001ebee11e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._lock
00000001ebee11d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._state
00000001ebee11d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._value
00000001ebee11f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentNetworkPath
00000001ebee11e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentReachabilityStatus
00000001ebee11ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._networkPathMonitor
00000001ebee11e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._observationQueue
00000001ebee11b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._events
00000001ebee11b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._lock
00000001ebee11ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._owner
00000001ebee11a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._state
00000001ebee11b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._states
00000001ebee11a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._status
00000001ebee11bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._statusToken
00000001ebee1200 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._destinationState
00000001ebee1204 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._fireBlock
00000001ebee11f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._name
00000001ebee11fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._states
00000001ebee120c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._canTryBlock
00000001ebee121c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didEnterBlock
00000001ebee1218 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didExitBlock
00000001ebee1208 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._name
00000001ebee1214 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willEnterBlock
00000001ebee1210 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willExitBlock
00000001ebee1178 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._context
00000001ebee116c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._event
00000001ebee1170 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._fromState
00000001ebee1168 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._stateMachine
00000001ebee1174 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._toState
00000001ebee1160 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLock
00000001ebee1164 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLockOptions
00000001ed090320 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFArchiver
00000001ed0900a0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventManager
00000001ed090078 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventTrigger
00000001ed090050 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFLazy
00000001ed090398 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMultiDelegate
00000001ed090028 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMutexLock
00000001ed0902f8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPendingPromise
00000001ed090000 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromise
00000001ed08ffd8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromiseSeal
00000001ed08ffb0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFReachability
00000001ed08ff88 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachine
00000001ed08ff60 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineEvent
00000001ed08ff38 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineState
00000001ed08ff10 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineTransition
00000001ed08fee8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFUnfairLock
00000001ed08fec0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFVoid
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001d9c5642c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d9c5644c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001d9c56460 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001d9c5647c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001d9c56488 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
                 (undefined) external _SCNetworkReachabilityCreateWithAddress (from SystemConfiguration)
                 (undefined) external _SCNetworkReachabilityGetFlags (from SystemConfiguration)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001d9c5e6e0 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSError_$_NFStateMachine
00000001d9c5e6f8 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSKeyedUnarchiver_$_FRAdditions
00000001d9c5e730 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSObject_$_NFAdditions
00000001d9c5e750 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSValue_$_NFAdditions
00000001d9c5e770 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSError_$_NFStateMachine
00000001d9c5e788 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSKeyedUnarchiver_$_FRAdditions
00000001d9c5e7a0 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSString_$_NFAdditions
00000001d9c5e7c0 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSUserDefaults_$_NFAdditions
00000001d9c5e7d8 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSValue_$_NFAdditions
00000001f4a68a90 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSError_$_NFStateMachine
00000001f4a68e30 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSKeyedUnarchiver_$_FRAdditions
00000001f4a69090 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSObject_$_NFAdditions
00000001f4a690d0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSString_$_NFAdditions
00000001f4a68cc0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSUserDefaults_$_NFAdditions
00000001f4a69930 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSValue_$_NFAdditions
00000001d9c5e7f8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFPromise(Firstly|Void|Delay|Timeout)
00000001d9c5e860 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFReachability
00000001d9c5e880 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFArchiver
00000001d9c5e8a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventManager
00000001d9c5e948 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventTrigger
00000001d9c5e9a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFLazy
00000001d9c5e9f8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMultiDelegate
00000001d9c5eab8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMutexLock
00000001d9c5eb08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPendingPromise
00000001d9c5eb70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromise(Firstly|Void|Delay|Timeout)
00000001d9c5ecb0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromiseSeal
00000001d9c5eda8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFReachability
00000001d9c5ee50 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachine
00000001d9c5ef88 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineEvent
00000001d9c5f048 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineState(Private)
00000001d9c5f198 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineTransition
00000001d9c5f240 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFUnfairLock
00000001d9c5f2a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFVoid
00000001f4a68648 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventManager
00000001f4a68748 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventTrigger
00000001f4a68d48 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFLazy
00000001f4a69838 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMultiDelegate
00000001f4a69460 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMutexLock
00000001f4a68518 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPendingPromise
00000001f4a68eb8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromise
00000001f4a69158 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromiseSeal
00000001f4a692e8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFReachability
00000001f4a68b18 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachine
00000001f4a69518 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineEvent
00000001f4a69678 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineState
00000001f4a68388 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineTransition
00000001f4a682b0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFUnfairLock
00000001f4a68a00 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFArchiver
00000001f4a68690 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventManager
00000001f4a687f0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventTrigger
00000001f4a68db0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFLazy
00000001f4a698a0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFMultiDelegate
00000001f4a68580 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPendingPromise
00000001f4a68ee0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromise
00000001f4a69200 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromiseSeal
00000001f4a69370 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFReachability
00000001f4a68c00 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachine
00000001f4a695a0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineEvent
00000001f4a69740 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineState
00000001f4a68430 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineTransition
00000001f4a68890 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d9c5f2b8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NFArchiver
00000001d9c5f2d8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d9c5f2f0 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSLocking
00000001d9c5f310 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d9c5f400 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001f4a68990 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NFArchiver
00000001f4a68fe0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001f4a68228 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSLocking
00000001f4a688d8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001f4a68978 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFArchiver
00000001f4a68238 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFLocking
00000001f4a689a0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFArchiver
00000001f4a69400 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFMutexLock
00000001f4a68250 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFUnfairLock
00000001f4a68fe8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFVoid
00000001f4a68a48 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFArchiver
00000001f4a686b8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFEventManager
00000001f4a68848 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFEventTrigger
00000001f4a68de8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFLazy
00000001f4a698e8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFMultiDelegate
00000001f4a69488 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFMutexLock
00000001f4a685b8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPendingPromise
00000001f4a68f98 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPromise
00000001f4a69258 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPromiseSeal
00000001f4a693b8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFReachability
00000001f4a68c78 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachine
00000001f4a695e8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineEvent
00000001f4a697a8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineState
00000001f4a68488 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineTransition
00000001f4a682f8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFUnfairLock
00000001f4a69048 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFVoid
00000001e7b15208 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFArchiver
00000001e7b151f8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFLocking
00000001e7b15210 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000001e7b151f0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSLocking
00000001e7b15200 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000001f4a689b8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFArchiver
00000001f4a68600 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFEventManager
00000001f4a68700 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFEventTrigger
00000001f4a68d00 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFLazy
00000001f4a697f0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFMultiDelegate
00000001f4a69418 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFMutexLock
00000001f4a684d0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPendingPromise
00000001f4a68e70 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPromise
00000001f4a69110 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPromiseSeal
00000001f4a692a0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFReachability
00000001f4a68ad0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachine
00000001f4a694d0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineEvent
00000001f4a69630 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineState
00000001f4a68340 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineTransition
00000001f4a68268 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFUnfairLock
00000001f4a69000 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFVoid
00000001ebee1350 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFArchiver
00000001ebee1290 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFLocking
00000001ebee13c8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00000001ebee1230 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSLocking
00000001ebee12f0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000001d9c5d558 (__TEXT,__text) external __UIValueCGPointValue
00000001d9c5d3b4 (__TEXT,__text) external __UIValueCGRectValue
                 (undefined) external __Unwind_Resume (from libSystem)
00000001d9c58e6c (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke
00000001d9c58f2c (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke_2
00000001d9c58d58 (__TEXT,__text) non-external ___17-[NFPromise then]_block_invoke
00000001d9c597ac (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke
00000001d9c59834 (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke_2
00000001d9c59104 (__TEXT,__text) non-external ___18-[NFPromise error]_block_invoke
00000001d9c58fb0 (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke
00000001d9c59080 (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke_2
00000001d9c58de0 (__TEXT,__text) non-external ___19-[NFPromise thenOn]_block_invoke
00000001d9c598c8 (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke
00000001d9c5999c (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke_2
00000001d9c59204 (__TEXT,__text) non-external ___20-[NFPromise errorOn]_block_invoke
00000001d9c59290 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke
00000001d9c59350 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_2
00000001d9c59434 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_3
00000001d9c59560 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke
00000001d9c59630 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_2
00000001d9c59714 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_3
00000001d9c5b060 (__TEXT,__text) non-external ___22-[NFReachability init]_block_invoke
00000001d9c5550c (__TEXT,__text) non-external ___24-[NFPendingPromise init]_block_invoke
00000001d9c586d8 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke
00000001d9c58804 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_2
00000001d9c58a18 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_3
00000001d9c58c58 (__TEXT,__text) non-external ___27-[NFPromise errorOn:error:]_block_invoke
00000001d9c58354 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke
00000001d9c583b8 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke.16
00000001d9c5aed8 (__TEXT,__text) non-external ___32+[NFReachability sharedInstance]_block_invoke
00000001d9c5a94c (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke
00000001d9c5a9d4 (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke_2
00000001d9c5bb60 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke
00000001d9c5c2c4 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.13
00000001d9c5c0a8 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.4
00000001d9c5c1e4 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.8
00000001d9c5bed8 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2
00000001d9c5c354 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.14
00000001d9c5c180 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.5
00000001d9c5c2b0 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.9
00000001d9c5bf78 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_3
00000001d9c5a698 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke
00000001d9c5a810 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke.11
00000001d9c5a7fc (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke_2
00000001d9c5b1cc (__TEXT,__text) non-external ___44-[NFReachability _updateCurrentNetworkPath:]_block_invoke
00000001d9c59e5c (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke
00000001d9c59f40 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke_2
00000001d9c59c1c (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke
00000001d9c59d00 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke_2
00000001d9c576ec (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke
00000001d9c57874 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.47
00000001d9c57884 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.51
00000001d9c5de4c (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.51.cold.1
00000001d9c578b4 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.58
00000001d9c578fc (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.60
00000001d9c57764 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_2
00000001d9c577dc (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_3
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001d9c5d81c (__TEXT,__text) non-external ___NFDeviceHasExtendedColorDisplay_block_invoke
00000001d9c5d65c (__TEXT,__text) non-external ___NFDevicePlatform_block_invoke
00000001d9c54fb8 (__TEXT,__text) non-external ___NFInternalBuild_block_invoke
00000001d9c55020 (__TEXT,__text) non-external ___NFStoreDemoMode_block_invoke
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00000001e7b150d8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSError"8l
00000001e7b150b0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000001e7b150f8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e8_v16?08l
