00007ffe07858052 (__TEXT,__text) non-external _Done_iODBC
00007ffe412819a0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffe41282660 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffe41282680 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffe412826b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffe412826e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffe41282750 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffe41282790 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffe41282810 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffe41282870 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffe412828f0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffe41282920 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffe41282970 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffe41282630 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffe412829a0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffe41281e00 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffe412819d0 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffe41281e20 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffe41281aa0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffe41281ac0 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffe41281b70 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffe41281ea0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffe41281e50 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffe412817a0 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffe0786f3dd (__TEXT,__text) non-external __trace_bufferlen
00007ffe0786ebe2 (__TEXT,__text) non-external __trace_c_type
00007ffe0786c060 (__TEXT,__text) non-external __trace_colattr2_type
00007ffe0786c35c (__TEXT,__text) non-external __trace_colattr3_data
00007ffe0786c09a (__TEXT,__text) non-external __trace_colattr3_type
00007ffe0786886c (__TEXT,__text) non-external __trace_connattr_type
00007ffe0786f6c0 (__TEXT,__text) non-external __trace_connopt_type
00007ffe078713b8 (__TEXT,__text) non-external __trace_connstr
00007ffe0787164e (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffe078715ad (__TEXT,__text) non-external __trace_connstr_w
00007ffe0787071c (__TEXT,__text) non-external __trace_data
00007ffe07868ae8 (__TEXT,__text) non-external __trace_desc_null
00007ffe0786ba24 (__TEXT,__text) non-external __trace_descfield_type
00007ffe0787045c (__TEXT,__text) non-external __trace_diag_type
00007ffe0786d82d (__TEXT,__text) non-external __trace_direction
00007ffe0787148f (__TEXT,__text) non-external __trace_drvcn_completion
00007ffe078693c9 (__TEXT,__text) non-external __trace_envattr_type
00007ffe07869a36 (__TEXT,__text) non-external __trace_fetchtype
00007ffe07871af4 (__TEXT,__text) non-external __trace_freestmt_option
00007ffe0786d001 (__TEXT,__text) non-external __trace_func_name
00007ffe0786cf60 (__TEXT,__text) non-external __trace_func_result
00007ffe07869c21 (__TEXT,__text) non-external __trace_getinfo
00007ffe0786e706 (__TEXT,__text) non-external __trace_handle
00007ffe0786e6a1 (__TEXT,__text) non-external __trace_handle_p
00007ffe0786e660 (__TEXT,__text) non-external __trace_handletype
00007ffe0786eeec (__TEXT,__text) non-external __trace_inouttype
00007ffe0786e778 (__TEXT,__text) non-external __trace_integer
00007ffe0786e894 (__TEXT,__text) non-external __trace_integer_p
00007ffe0786e971 (__TEXT,__text) non-external __trace_len
00007ffe0786e9ab (__TEXT,__text) non-external __trace_len_p
00007ffe0786e7b1 (__TEXT,__text) non-external __trace_pointer
00007ffe0786e4d3 (__TEXT,__text) non-external __trace_print_function
00007ffe07869b02 (__TEXT,__text) non-external __trace_scrollopt_type
00007ffe0786990c (__TEXT,__text) non-external __trace_setpos_irow
00007ffe07869962 (__TEXT,__text) non-external __trace_setpos_lock
00007ffe07869928 (__TEXT,__text) non-external __trace_setpos_oper
00007ffe0786e73f (__TEXT,__text) non-external __trace_smallint
00007ffe0786e7e9 (__TEXT,__text) non-external __trace_smallint_p
00007ffe078695ea (__TEXT,__text) non-external __trace_spcols_null
00007ffe078695b0 (__TEXT,__text) non-external __trace_spcols_scope
00007ffe07869571 (__TEXT,__text) non-external __trace_spcols_type
00007ffe0786f320 (__TEXT,__text) non-external __trace_sql_subtype
00007ffe0786ef2d (__TEXT,__text) non-external __trace_sql_type
00007ffe0786f0fc (__TEXT,__text) non-external __trace_sql_type_p
00007ffe0787183c (__TEXT,__text) non-external __trace_stats_accuracy
00007ffe078717fe (__TEXT,__text) non-external __trace_stats_unique
00007ffe0786f9a0 (__TEXT,__text) non-external __trace_stmtattr_type
00007ffe07870154 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffe0786ea55 (__TEXT,__text) non-external __trace_string
00007ffe0786eb07 (__TEXT,__text) non-external __trace_string_w
00007ffe0786e93d (__TEXT,__text) non-external __trace_stringlen
00007ffe412829c0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffe07870e00 (__TEXT,__text) non-external __trace_tran_completion
00007ffe078710a0 (__TEXT,__text) non-external __trace_typeinfo
00007ffe0786e795 (__TEXT,__text) non-external __trace_uinteger
00007ffe0786e8e9 (__TEXT,__text) non-external __trace_uinteger_p
00007ffe0786e98e (__TEXT,__text) non-external __trace_ulen
00007ffe0786ea00 (__TEXT,__text) non-external __trace_ulen_p
00007ffe0786e75c (__TEXT,__text) non-external __trace_usmallint
00007ffe0786e83f (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffe4343cf82 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffe078728fd (__TEXT,__text) non-external _dm_SQL_A2W
00007ffe07872e1a (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffe0787288d (__TEXT,__text) non-external _dm_SQL_W2A
00007ffe07872b40 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffe07872971 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffe07873025 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffe07872a09 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffe07872a9b (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffe07872aef (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffe078744d6 (__TEXT,__text) non-external _do_create_dsns
00007ffe4343cf40 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffe4343cf20 (__DATA,__common) non-external _ierror
00007ffe078745ff (__TEXT,__text) non-external _install_from_ini
00007ffe07874abe (__TEXT,__text) non-external _install_from_string
00007ffe4343c980 (__DATA,__data) external _iodbc_version
00007ffe4343ce60 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffe4343cea8 (__DATA,__data) non-external _numerrors
00007ffe4343c990 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffe4343ceb0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffe07874ca0 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffe41280ce0 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffe4343cf00 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffe0786b3fd (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffe0786f628 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffe0786bee3 (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffe0786d77d (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffe0786be48 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffe0786c8d1 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffe0786f4b0 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffe0786f56c (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffe07869515 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffe078706a9 (__TEXT,__text) non-external _trace_SQLCancel
00007ffe0786d803 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffe0786c2c8 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffe0786c6a8 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffe0786c73f (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffe0786c7ee (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffe0787027b (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffe0787036a (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffe0786b4c4 (__TEXT,__text) non-external _trace_SQLColumns
00007ffe0786b5b3 (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffe0786fccb (__TEXT,__text) non-external _trace_SQLConnect
00007ffe0786fd8b (__TEXT,__text) non-external _trace_SQLConnectW
00007ffe078699fd (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffe0786d88c (__TEXT,__text) non-external _trace_SQLDataSources
00007ffe0786d971 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffe07868b5a (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffe07868c46 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffe078701d6 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffe0786d7d9 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffe078712d4 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffe078714c9 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffe0786cb30 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffe0786cc15 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffe0786b3b8 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffe07868f5e (__TEXT,__text) non-external _trace_SQLError
00007ffe0786904d (__TEXT,__text) non-external _trace_SQLErrorW
00007ffe0786d5ce (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffe0786d62c (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffe07869547 (__TEXT,__text) non-external _trace_SQLExecute
00007ffe07869a77 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffe0786db09 (__TEXT,__text) non-external _trace_SQLFetch
00007ffe0786f675 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffe0786fe4b (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffe0786ff8f (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffe0787012a (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffe078698e2 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffe0786b386 (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffe07871b2e (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffe078689d8 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffe07868a60 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffe0786f880 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffe0786f8c8 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffe0786bf4d (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffe0786bfd5 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffe07870d30 (__TEXT,__text) non-external _trace_SQLGetData
00007ffe0786bd18 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffe0786bdb0 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffe07868d32 (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffe07868e48 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffe07870574 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffe0787061c (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffe0786920a (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffe078692e9 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffe07869436 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffe0786d578 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffe07869b94 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffe0786b0d4 (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffe0786fbd4 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffe0786fc5c (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffe0787018e (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffe07871270 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffe078712a2 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffe07870dd6 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffe0786b881 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffe0786b952 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffe0786b6a2 (__TEXT,__text) non-external _trace_SQLNumParams
00007ffe078700d3 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffe0786c89d (__TEXT,__text) non-external _trace_SQLParamData
00007ffe0786b459 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffe07871b60 (__TEXT,__text) non-external _trace_SQLPrepare
00007ffe07871bbe (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffe0786ccfa (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffe0786cdbe (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffe0786b161 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffe0786b250 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffe0786c9a8 (__TEXT,__text) non-external _trace_SQLProcedures
00007ffe0786ca6c (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffe078706d3 (__TEXT,__text) non-external _trace_SQLPutData
00007ffe078694be (__TEXT,__text) non-external _trace_SQLRowCount
00007ffe0787175c (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffe078717ad (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffe0786f910 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffe0786f958 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffe0786da4f (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffe0786daac (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffe0786913c (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffe078691a3 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffe0786ce82 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffe0786d68a (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffe0786999c (__TEXT,__text) non-external _trace_SQLSetPos
00007ffe07869b43 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffe0786d6db (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffe0786d72c (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffe0786b33f (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffe07869628 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffe07869785 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffe0787187a (__TEXT,__text) non-external _trace_SQLStatistics
00007ffe078719b7 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffe0786b6f9 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffe0786b7bd (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffe07870ec0 (__TEXT,__text) non-external _trace_SQLTables
00007ffe07870faf (__TEXT,__text) non-external _trace_SQLTablesW
00007ffe07870e40 (__TEXT,__text) non-external _trace_SQLTransact
00007ffe4343cee0 (__DATA,__bss) non-external _trace_appname
00007ffe0786e042 (__TEXT,__text) non-external _trace_emit
00007ffe0786e349 (__TEXT,__text) non-external _trace_emit_binary
00007ffe0786e133 (__TEXT,__text) non-external _trace_emit_string
00007ffe0786e10d (__TEXT,__text) non-external _trace_emitc
00007ffe4343cee8 (__DATA,__bss) non-external _trace_fname
00007ffe4343cef0 (__DATA,__bss) non-external _trace_fp
00007ffe4343cef8 (__DATA,__bss) non-external _trace_fp_close
00007ffe0786db64 (__TEXT,__text) non-external _trace_get_filename
00007ffe0786db34 (__TEXT,__text) non-external _trace_set_appname
00007ffe0786db75 (__TEXT,__text) non-external _trace_set_filename
00007ffe0786de0c (__TEXT,__text) non-external _trace_start
00007ffe0786dfa2 (__TEXT,__text) non-external _trace_stop
00007ffe0786ddb9 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffe07872fd2 (__TEXT,__text) non-external _utf8_len
00007ffe0787309d (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffe4343cf80 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
