00007ffb0bddedab (__TEXT,__text) non-external +[MGDaemon daemon]
00007ffb41ae4bd8 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGOutstandingQuery
00007ffb41ae53c0 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClient
00007ffb41ae5510 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClientSet
00007ffb41ae4598 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceListenerProvider
00007ffb41ae5278 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGDaemon
00007ffb41ae4130 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsActivity
00007ffb41ae4020 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsMediator
00007ffb41ae4830 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryAgent
00007ffb41ae49d0 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryOperation
00007ffb41ae4c40 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGOutstandingQuery
00007ffb41ae5448 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClient
00007ffb41ae5558 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClientSet
00007ffb41ae4600 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceListenerProvider
00007ffb41ae4390 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb41ae4eb0 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb41ae4a60 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGClientInterfaceProtocol
00007ffb41ae4a88 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceInterfaceProtocol
00007ffb41ae4fd8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceInterfaceProtocol
00007ffb41ae4490 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceListenerProviderProtocol
00007ffb41ae41a0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb41ae4cc0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb41ae50f8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_MGGroupsQueryAgentDelegate
00007ffb41ae4370 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb41ae4e90 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb41ae4fb0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSXPCListenerDelegate
00007ffb41ae4a80 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGClientInterfaceProtocol
00007ffb41ae5118 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGGroupsQueryAgentDelegate
00007ffb41ae4b50 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGServiceInterfaceProtocol
00007ffb41ae50a0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGServiceInterfaceProtocol
00007ffb41ae4510 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGServiceListenerProviderProtocol
00007ffb41ae43d8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb41ae4ef8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb41ae4fd0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSXPCListenerDelegate
00007ffb41ae50e0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_MGGroupsQueryAgentDelegate
00007ffb41ae4478 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_MGServiceListenerProviderProtocol
00007ffb41ae4f98 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSXPCListenerDelegate
00007ffb41ae5120 (__DATA,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_MGDaemon
00007ffb41ae4538 (__DATA,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_MGServiceListenerProvider
00007ffb41ae5330 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGDaemon
00007ffb41ae4158 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsActivity
00007ffb41ae4058 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsMediator
00007ffb41ae48b8 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsQueryAgent
00007ffb41ae4a18 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsQueryOperation
00007ffb41ae4c78 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGOutstandingQuery
00007ffb41ae5480 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGServiceClient
00007ffb41ae5570 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGServiceClientSet
00007ffb41ae4678 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGServiceListenerProvider
00007ffb41ae3f08 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGClientInterfaceProtocol
00007ffb41ae3f20 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGGroupsQueryAgentDelegate
00007ffb41ae3f10 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGServiceInterfaceProtocol
00007ffb41ae3f00 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGServiceListenerProviderProtocol
00007ffb41ae3ef8 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffb41ae3f18 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSXPCListenerDelegate
00007ffb41ae5148 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGDaemon
00007ffb41ae40a0 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsActivity
00007ffb41ae3f30 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsMediator
00007ffb41ae46c0 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsQueryAgent
00007ffb41ae4900 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsQueryOperation
00007ffb41ae4b90 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGOutstandingQuery
00007ffb41ae5378 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGServiceClient
00007ffb41ae54c8 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGServiceClientSet
00007ffb41ae4550 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGServiceListenerProvider
00007ffb41ae63b8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGClientInterfaceProtocol
00007ffb41ae64d8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGGroupsQueryAgentDelegate
00007ffb41ae6418 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGServiceInterfaceProtocol
00007ffb41ae6358 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGServiceListenerProviderProtocol
00007ffb41ae62f8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffb41ae6478 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSXPCListenerDelegate
00007ffb41ae5d30 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_MGClientInterfaceProtocol
00007ffb41ae5d38 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_MGServiceInterfaceProtocol
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb0bde3672 (__TEXT,__text) non-external ___28-[MGServiceClient addQuery:]_block_invoke
00007ffb0bdd7b32 (__TEXT,__text) non-external ___29-[MGGroupsMediator addGroup:]_block_invoke
00007ffb0bddc8e1 (__TEXT,__text) non-external ___30-[MGGroupsQueryOperation main]_block_invoke
00007ffb0bddfa84 (__TEXT,__text) non-external ___31-[MGDaemon _ingestHomeKitHome:]_block_invoke
00007ffb0bddfaa4 (__TEXT,__text) non-external ___31-[MGDaemon _ingestHomeKitHome:]_block_invoke.159
00007ffb0bddfbcd (__TEXT,__text) non-external ___31-[MGDaemon _ingestHomeKitHome:]_block_invoke.168
00007ffb0bddfcf6 (__TEXT,__text) non-external ___31-[MGDaemon _ingestHomeKitHome:]_block_invoke.177
00007ffb0bdd72d3 (__TEXT,__text) non-external ___31-[MGGroupsMediator description]_block_invoke
00007ffb0bde37a4 (__TEXT,__text) non-external ___31-[MGServiceClient removeQuery:]_block_invoke
00007ffb0bdd7892 (__TEXT,__text) non-external ___32-[MGGroupsMediator endActivity:]_block_invoke
00007ffb0bdd7cf4 (__TEXT,__text) non-external ___32-[MGGroupsMediator removeGroup:]_block_invoke
00007ffb0bdd74b6 (__TEXT,__text) non-external ___33-[MGGroupsMediator currentGroups]_block_invoke
00007ffb0bde1e27 (__TEXT,__text) non-external ___35-[MGDaemon deleteGroup:completion:]_block_invoke
00007ffb0bdd7f92 (__TEXT,__text) non-external ___35-[MGGroupsMediator group:renameTo:]_block_invoke
00007ffb0bdd8417 (__TEXT,__text) non-external ___36-[MGGroupsMediator group:addMember:]_block_invoke
00007ffb0bdd886a (__TEXT,__text) non-external ___39-[MGGroupsMediator group:removeMember:]_block_invoke
00007ffb0bde3e97 (__TEXT,__text) non-external ___39-[MGServiceClientSet addClientService:]_block_invoke
00007ffb0bdd7686 (__TEXT,__text) non-external ___42-[MGGroupsMediator startActivityWithName:]_block_invoke
00007ffb0bddbd6e (__TEXT,__text) non-external ___42-[MGGroupsQueryAgent addOutstandingQuery:]_block_invoke
00007ffb0bde3f96 (__TEXT,__text) non-external ___42-[MGServiceClientSet removeClientService:]_block_invoke
00007ffb0bddea78 (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke
00007ffb0bddec23 (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke.100
00007ffb0bddec0d (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke.97
00007ffb0bddea7e (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke_2
00007ffb0bddeb1c (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke_3
00007ffb0bddc0d4 (__TEXT,__text) non-external ___45-[MGGroupsQueryAgent removeOutstandingQuery:]_block_invoke
00007ffb0bdd8bf2 (__TEXT,__text) non-external ___46-[MGGroupsMediator removeGroupWithIdentifier:]_block_invoke
00007ffb0bde3b27 (__TEXT,__text) non-external ___46-[MGServiceClient enumerateQueriesUsingBlock:]_block_invoke
00007ffb0bde3b65 (__TEXT,__text) non-external ___46-[MGServiceClient enumerateQueriesUsingBlock:]_block_invoke.44
00007ffb0bde108f (__TEXT,__text) non-external ___47-[MGDaemon listener:shouldAcceptNewConnection:]_block_invoke
00007ffb0bdd98b4 (__TEXT,__text) non-external ___49-[MGGroupsQueryAgent setCurrentDeviceIdentifier:]_block_invoke
00007ffb0bde397a (__TEXT,__text) non-external ___49-[MGServiceClient outstandingQueryForIdentifier:]_block_invoke
00007ffb0bde4150 (__TEXT,__text) non-external ___49-[MGServiceClientSet enumerateClientsUsingBlock:]_block_invoke
00007ffb0bde41db (__TEXT,__text) non-external ___49-[MGServiceClientSet enumerateClientsUsingBlock:]_block_invoke_2
00007ffb0bddee99 (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke
00007ffb0bddf42c (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke.134
00007ffb0bddf034 (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke_2
00007ffb0bddf11a (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke_3
00007ffb0bddf331 (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke_4
00007ffb0bddb934 (__TEXT,__text) non-external ___52-[MGGroupsQueryAgent _queryOperation:didFindGroups:]_block_invoke
00007ffb0bde3da1 (__TEXT,__text) non-external ___52-[MGServiceClientSet serviceClientForXPCConnection:]_block_invoke
00007ffb0bddc3c4 (__TEXT,__text) non-external ___53-[MGGroupsQueryAgent groupsMediator:didUpdateGroups:]_block_invoke
00007ffb0bde18fd (__TEXT,__text) non-external ___56-[MGDaemon createGroupWithType:name:members:completion:]_block_invoke
00007ffb0bdda999 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke
00007ffb0bddb121 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.120
00007ffb0bddb2fe (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.136
00007ffb0bddb68d (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.147
00007ffb0bddac5b (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.61
00007ffb0bddacd4 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.69
00007ffb0bddad99 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.75
00007ffb0bddb0fb (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.87
00007ffb0bddaa8b (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke_2
00007ffb0bdd9a4b (__TEXT,__text) non-external ___73-[MGGroupsQueryAgent _performQueryExchangeUsingGroups:currentIdentifier:]_block_invoke
00007ffb0bde24e0 (__TEXT,__text) non-external ___99-[MGDaemon HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:]_block_invoke
00007ffb0bdd72ae (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb0bde3955 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb0bdd72c4 (__TEXT,__text) non-external ___Block_byref_object_dispose_
00007ffb0bde396b (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb0bdde1e9 (__TEXT,__text) non-external (was a private external) ___MGLogForCategory_block_invoke
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00007ffb0bddca7b (__TEXT,__text) non-external ____AddContainmentForGroup_block_invoke
00007ffb41ae34e0 (__DATA,__const) non-external (was a private external) ___block_descriptor_32_e24_v32?0"MGGroup"8Q16^c24l
00007ffb41ae34a0 (__DATA,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00007ffb41ae37c0 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e32_v32?0"MGServiceClient"8Q16^c24l
00007ffb41ae3790 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e43_v32?0"NSUUID"8"MGOutstandingQuery"16^c24l
00007ffb41ae3320 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e21_c24?0"NSArray"8^c16l
00007ffb41ae3290 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e24_c32?0"MGGroup"8Q16^c24l
00007ffb41ae32c0 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e29_q24?0"MGGroup"8"MGGroup"16l
00007ffb41ae3520 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e34_v32?0"MGGroupIdentifier"8Q16^c24l
00007ffb41ae3550 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e43_v32?0"MGGroupIdentifier"8"MGGroup"16^c24l
00007ffb41ae3140 (__DATA,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e5_v8?0l
00007ffb41ae3640 (__DATA,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e28_v32?0"HMAccessory"8Q16^c24l
00007ffb41ae3170 (__DATA,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e5_v8?0l
00007ffb41ae32f0 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e24_v32?0"MGGroup"8Q16^c24l
00007ffb41ae31a0 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48r_e5_v8?0l
00007ffb41ae3350 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e38_v32?0"NSString"8"NSPredicate"16^c24l
00007ffb41ae3260 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e5_c8?0l
00007ffb41ae3410 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e5_v8?0l
00007ffb41ae3200 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48w_e5_v8?0l
00007ffb41ae3700 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32w40w48w_e5_v8?0l
00007ffb41ae3110 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40r48r56r_e5_v8?0l
00007ffb41ae3230 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56r_e5_v8?0l
00007ffb41ae36a0 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e23_v32?0"HMRoom"8Q16^c24l
00007ffb41ae36d0 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e23_v32?0"HMZone"8Q16^c24l
00007ffb41ae3670 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e30_v32?0"HMMediaSystem"8Q16^c24l
00007ffb41ae3580 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e5_v8?0l
00007ffb41ae3610 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56r64r_e29_v24?0"MGServiceClient"8^c16l
00007ffb41ae31d0 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56r64r_e5_v8?0l
00007ffb41ae3470 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64bs_e34_v32?0"MGGroupIdentifier"8Q16^c24l
00007ffb41ae35b0 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64r_e17_v16?0"NSError"8l
00007ffb41ae33e0 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64r_e5_v8?0l
00007ffb41ae3440 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64s_e43_v32?0"MGGroupIdentifier"8"MGGroup"16^c24l
00007ffb41ae3380 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64s_e43_v32?0"NSUUID"8"MGOutstandingQuery"16^c24l
00007ffb41ae33b0 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64s_e5_v8?0l
00007ffb41ae35e0 (__DATA,__const) non-external (was a private external) ___block_descriptor_80_e8_32s40s48s56s64r72r_e32_v24?0"MGOutstandingQuery"8^c16l
00007ffb41ae34c0 (__DATA,__const) non-external (was a private external) ___block_literal_global
00007ffb41ae3500 (__DATA,__const) non-external ___block_literal_global
00007ffb41ae3730 (__DATA,__const) non-external ___block_literal_global.250
00007ffb41ae3750 (__DATA,__const) non-external ___block_literal_global.276
00007ffb41ae3770 (__DATA,__const) non-external ___block_literal_global.279
00007ffb0bde3b7a (__TEXT,__text) non-external ___copy_helper_block_e8_32b
00007ffb0bddacb6 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00007ffb0bdd755b (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00007ffb0bdd7348 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r56r
00007ffb0bdd7700 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00007ffb0bddb0b7 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48b
00007ffb0bdd7973 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48r
00007ffb0bddac03 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00007ffb0bddab7e (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56r
00007ffb0bdd8167 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56r64r
00007ffb0bddecdd (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s
00007ffb0bddcb92 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s64b
00007ffb0bddbc0a (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56s64r
00007ffb0bddf581 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s64r72r
00007ffb0bddb73f (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s64s
00007ffb0bdd9a8b (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48w
00007ffb0bde11d6 (__TEXT,__text) non-external ___copy_helper_block_e8_32w40w48w
00007ffb0bddacc5 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00007ffb0bdd758b (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
00007ffb0bdd739c (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r56r
00007ffb0bdd7725 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00007ffb0bdd79b7 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48r
00007ffb0bddac2f (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00007ffb0bddabc9 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56r
00007ffb0bdd81c4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56r64r
00007ffb0bdded10 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s
00007ffb0bddbc5c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s64r
00007ffb0bddf5e5 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s64r72r
00007ffb0bddb779 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s64s
00007ffb0bdd9acd (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48w
00007ffb0bde1214 (__TEXT,__text) non-external ___destroy_helper_block_e8_32w40w48w
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_debug_impl (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
00007ffb41ae6570 (__DATA,__bss) non-external _createGroupWithType:name:members:completion:.allowed
00007ffb41ae6578 (__DATA,__bss) non-external _createGroupWithType:name:members:completion:.disallowed
00007ffb41ae6580 (__DATA,__bss) non-external _createGroupWithType:name:members:completion:.onceToken
00007ffb41ae6588 (__DATA,__bss) non-external _deleteGroup:completion:.allowed
00007ffb41ae6590 (__DATA,__bss) non-external _deleteGroup:completion:.disallowed
00007ffb41ae6598 (__DATA,__bss) non-external _deleteGroup:completion:.onceToken
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _notify_post (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getAssociatedObject (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_transaction_create (from libSystem)
                 (undefined) external _os_unfair_lock_assert_owner (from libSystem)
                 (undefined) external _os_unfair_lock_lock (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
                 (undefined) external _proc_name (from libSystem)
00007ffb0bde49e8 (__TEXT,__const) non-external _reltable.__MGLogForCategory_block_invoke
