000000018d296ec0 (__TEXT,__text) non-external _Annihilate
000000018d2daab8 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
000000018d2dab18 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001e4df1070 (__DATA_CONST,__const) non-external _kBrotliDictionary
000000018d2db308 (__TEXT,__const) non-external _kBrotliDictionaryData
000000018d2da9f8 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
000000018d2daa58 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
000000018d338a58 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
000000018d2fb010 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001e4df1258 (__DATA_CONST,__const) non-external _kBrotliTransforms
000000018d2db0e8 (__TEXT,__const) non-external _kCmdHistoSeed
000000018d2f9422 (__TEXT,__const) non-external _kCmdLut
000000018d32c934 (__TEXT,__const) non-external _kCodeLengthBits
000000018d2f93f0 (__TEXT,__const) non-external _kCodeLengthCodeOrder
000000018d32c920 (__TEXT,__const) non-external _kCodeLengthDepth
000000018d2f9402 (__TEXT,__const) non-external _kCodeLengthPrefixLength
000000018d2f9412 (__TEXT,__const) non-external _kCodeLengthPrefixValue
000000018d2faec8 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
000000018d2fae88 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
000000018d2fb50c (__TEXT,__const) non-external _kDistanceCacheIndex
000000018d2fb54c (__TEXT,__const) non-external _kDistanceCacheOffset
000000018d2fadd4 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
000000018d2fadc0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
000000018d2fae38 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
000000018d2fae24 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
000000018d32d480 (__TEXT,__const) non-external _kNonZeroRepsBits
000000018d32c97c (__TEXT,__const) non-external _kNonZeroRepsDepth
000000018d32a560 (__TEXT,__const) non-external _kPrefixSuffix
000000018d32a63a (__TEXT,__const) non-external _kPrefixSuffixMap
000000018d32ed40 (__TEXT,__const) non-external _kStaticCommandCodeBits
000000018d32ea80 (__TEXT,__const) non-external _kStaticCommandCodeDepth
000000018d2fb5fc (__TEXT,__const) non-external _kStaticDictionaryBuckets
000000018d349266 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
000000018d339266 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
000000018d30b5fc (__TEXT,__const) non-external _kStaticDictionaryWords
000000018d32f300 (__TEXT,__const) non-external _kStaticDistanceCodeBits
000000018d32f2c0 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
000000018d32a69e (__TEXT,__const) non-external _kTransformsData
000000018d32b320 (__TEXT,__const) non-external _kZeroRepsBits
000000018d32a820 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
000000018d285170 (__TEXT,__text) non-external _longest_match
000000018d33411c (__TEXT,__const) non-external (was a private external) _lut_rle
000000018d29c410 (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
000000018d2a5ecc (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
000000018d2a5ec0 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
000000018d28a190 (__TEXT,__text) non-external (was a private external) _lz4_decode
000000018d289d80 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
000000018d289ba0 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
000000018d296f90 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
000000018d28af3c (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
000000018d2b9974 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
000000018d2b99f0 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
000000018d2b99e4 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
000000018d2b99d8 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
000000018d2b99a4 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
000000018d2b921c (__TEXT,__text) non-external (was a private external) _lz4_stream_init
000000018d2b92e0 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
000000018d2a66a0 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
000000018d2a659c (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
000000018d2a1f38 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
000000018d2b6010 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
000000018d2b4cd0 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
000000018d2b6080 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
000000018d2b330c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
000000018d2b6044 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
000000018d2b4bc0 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
000000018d2b6088 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
000000018d2b31b4 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
000000018d2adf70 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
000000018d2b5f84 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
000000018d2a4510 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
000000018d2b5fb8 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
000000018d2b5ff4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
000000018d2a44f0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
000000018d335160 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
000000018d2b3220 (__TEXT,__text) non-external _lzbitmap_init_encode_state
000000018d334960 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
000000018d2b3460 (__TEXT,__text) non-external _lzbitmap_process_block
000000018d2b60a4 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
000000018d336160 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
000000018d334160 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
000000018d2d7760 (__TEXT,__text) non-external _lzfseBackendMatch
000000018d286fec (__TEXT,__text) non-external (was a private external) _lzfseDecode
000000018d28a350 (__TEXT,__text) non-external _lzfseDecodeV1
000000018d2d7464 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
000000018d2d77c0 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
000000018d2d72cc (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
000000018d2d7324 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
000000018d2d7b60 (__TEXT,__text) non-external _lzfseEncodeMatches
000000018d2d72f4 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
000000018d2d73e4 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
000000018d2d7870 (__TEXT,__text) non-external _lzfsePushMatch
000000018d286d18 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
000000018d286c40 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
000000018d2adf64 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
000000018d2cab7c (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
000000018d2caae4 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
000000018d2caac4 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
000000018d2883f0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
000000018d2a7568 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
000000018d2a7330 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
000000018d2a7560 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
000000018d2a53c0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
000000018d2a1c90 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
000000018d2a8124 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00000001ee13fac8 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
000000018d288070 (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
000000018d2bd614 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
000000018d2bd5d4 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
000000018d2fafc8 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
000000018d2fafe8 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
000000018d287f60 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
000000018d2a5970 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
000000018d2a596c (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
000000018d2a5940 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
000000018d2a58dc (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
000000018d286c14 (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
000000018d286cf4 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
000000018d2ae7a0 (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
000000018d2ae758 (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
000000018d2da4cc (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
000000018d2b4b0c (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
000000018d2b4b04 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
000000018d2b4b70 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
000000018d2b4b68 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
000000018d2fb3b0 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
000000018d286bdc (__TEXT,__text) non-external (was a private external) _lzma_stream_end
000000018d2d9e9c (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
000000018d339260 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
000000018d286a84 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
000000018d286b28 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
000000018d2d9a98 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
000000018d2d9dd8 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
000000018d287b20 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00000001ee13f2c8 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
000000018d2b5248 (__TEXT,__text) non-external (was a private external) _lzvnEncode
000000018d2b51ec (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
000000018d297b34 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
000000018d297a98 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
000000018d297a8c (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
000000018d29bd7c (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
000000018d29bca8 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
000000018d29bc88 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
000000018d2884c0 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
000000018d288494 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
000000018d2b5c5c (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
000000018d2b5ca4 (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
000000018d2b5c48 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
000000018d2b4a64 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
000000018d2b4b00 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
000000018d2b4afc (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
000000018d2b4ad0 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
000000018d2b4a94 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
000000018d2b4a14 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
000000018d2b4a40 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
000000018d2bcce0 (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
000000018d2bccd4 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
000000018d2d216c (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
000000018d29184c (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
000000018d291274 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
000000018d291444 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
000000018d291558 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
000000018d2ae624 (__TEXT,__text) non-external (was a private external) _parse_size
000000018d32f5c4 (__TEXT,__const) non-external _position_slot_base_position
000000018d32f54c (__TEXT,__const) non-external _position_slot_extra_bits
000000018d285d74 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018d2d3c10 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
000000018d289650 (__TEXT,__text) non-external _readHuffmanTable
000000018d2ae554 (__TEXT,__text) non-external (was a private external) _read_expected
000000018d283530 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
000000018d285e7c (__TEXT,__text) non-external _scan_tree
000000018d285f74 (__TEXT,__text) non-external _send_tree
000000018d2b5f54 (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
000000018d2b5ee0 (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
000000018d2b5ef0 (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
000000018d2b5eb4 (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
000000018d2b99fc (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
000000018d2b9bd8 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
000000018d2a9694 (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
000000018d2a9bcc (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
000000018d2a2da8 (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
000000018d2a2fb0 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat (from libSystem)
000000018d2bc6f4 (__TEXT,__text) non-external _staticHuffmanTable
00000001e716bb60 (__DATA,__data) non-external _static_bl_desc
00000001e716bb40 (__DATA,__data) non-external _static_d_desc
000000018d3378e8 (__TEXT,__const) non-external _static_dtree
00000001e716bb20 (__DATA,__data) non-external _static_l_desc
000000018d337468 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001e716bb00 (__DATA,__data) non-external (was a private external) _tc_quant16
000000018d29779c (__TEXT,__text) non-external (was a private external) _thread_pool_create
000000018d2979c8 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
000000018d2978cc (__TEXT,__text) non-external _thread_pool_entry
000000018d2975ec (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
000000018d2976f4 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
000000018d2d1fc8 (__TEXT,__text) external _touchpadCodecCreate
000000018d297d7c (__TEXT,__text) external _touchpadCodecDecodeImage
000000018d2d20f8 (__TEXT,__text) external _touchpadCodecDestroy
000000018d2d9eb4 (__TEXT,__text) external _touchpadCodecEncodeImage
000000018d2d1768 (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
000000018d2ae5bc (__TEXT,__text) non-external (was a private external) _write_expected
000000018d338a12 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
000000018d338a0c (__TEXT,__const) non-external (was a private external) _xz_header_magic
000000018d2d9e2c (__TEXT,__text) non-external _xz_read_multi_byte
000000018d2d9de0 (__TEXT,__text) non-external _xz_simple_crc32
000000018d2cafe0 (__TEXT,__text) external _yzip_codec_create
000000018d2cb01c (__TEXT,__text) external _yzip_codec_destroy
000000018d2cb060 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
000000018d2a87c8 (__TEXT,__text) external _yzip_image_create
000000018d2a892c (__TEXT,__text) external _yzip_image_create_with_payload
000000018d2a9190 (__TEXT,__text) external _yzip_image_decode
000000018d2a8ac0 (__TEXT,__text) external _yzip_image_destroy
000000018d2a8ac4 (__TEXT,__text) external _yzip_image_encode
000000018d2a93a8 (__TEXT,__text) external _yzip_image_get_descriptor
000000018d2a946c (__TEXT,__text) external _yzip_image_get_max_payload_size
000000018d2a9420 (__TEXT,__text) external _yzip_image_get_plane_descriptor
000000018d2a94f4 (__TEXT,__text) external _yzip_image_set_data
000000018d2a9688 (__TEXT,__text) external _yzip_image_set_identifier
000000018d2a95b0 (__TEXT,__text) external _yzip_image_set_plane_data
000000018d2a39cc (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
000000018d2a38bc (__TEXT,__text) non-external _yzip_jobs_create_empty_list
000000018d2a3640 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
000000018d2a446c (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
000000018d2a3ec4 (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
000000018d2a4394 (__TEXT,__text) non-external _yzip_jobs_process
000000018d2a35d0 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
000000018d2d3544 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
000000018d2d253c (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
000000018d2d2450 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
000000018d2d25a8 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
000000018d2d2d94 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
000000018d28af24 (__TEXT,__text) non-external (was a private external) _zError
00000001e4df1020 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
000000018d283848 (__TEXT,__text) non-external (was a private external) _zcalloc
000000018d2869d0 (__TEXT,__text) non-external (was a private external) _zcfree
000000018d28a524 (__TEXT,__text) external _zero_coder_decode
000000018d28a628 (__TEXT,__text) external _zero_coder_encode
000000018d28a764 (__TEXT,__text) non-external _zero_coder_init_luts
00000001e716bd00 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00000001e716be00 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00000001e716c600 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00000001e716bc00 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
000000018d28af1c (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
000000018d288a60 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
000000018d288fe8 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
000000018d32f3fc (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
000000018d32f3c0 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
000000018d28af10 (__TEXT,__text) non-external (was a private external) _zlibVersion
000000018d2bc51c (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
000000018d2bc510 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
000000018d298308 (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
000000018d2982fc (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
000000018d2b5eb0 (__TEXT,__text) non-external (was a private external) _zlib_free
000000018d2b5e84 (__TEXT,__text) non-external (was a private external) _zlib_malloc
000000018d286a54 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
000000018d2bccac (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
000000018d2bcca4 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
000000018d2bccb8 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
000000018d2bcc9c (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
000000018d283480 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
000000018d283c6c (__TEXT,__text) non-external (was a private external) _zlib_stream_process
000000018d2d9a70 (__TEXT,__text) non-external vec_table
