00000001bf77abe0 (__TEXT,__text) non-external +[NFPromise new]
00000001d80a00b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._networkPathMonitor
00000001d80a00b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._observationQueue
00000001d80a007c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._events
00000001d80a0080 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._lock
00000001d80a0074 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._owner
00000001d80a0070 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._state
00000001d80a0078 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._states
00000001d80a006c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._status
00000001d80a0084 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._statusToken
00000001d80a00c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._destinationState
00000001d80a00cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._fireBlock
00000001d80a00c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._name
00000001d80a00c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._states
00000001d80a00d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._canTryBlock
00000001d80a00e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didEnterBlock
00000001d80a00e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didExitBlock
00000001d80a00d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._name
00000001d80a00dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willEnterBlock
00000001d80a00d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willExitBlock
00000001d80a0040 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._context
00000001d80a0034 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._event
00000001d80a0038 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._fromState
00000001d80a0030 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._stateMachine
00000001d80a003c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._toState
00000001d80a0028 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLock
00000001d80a002c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLockOptions
00000001d9889940 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFArchiver
00000001d8fdf9f8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventManager
00000001d8fdfa20 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventTrigger
00000001d8fdfa70 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFLazy
00000001d8fdfc50 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMultiDelegate
00000001d8fdfc00 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMutexLock
00000001d9889918 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFPendingPromise
00000001d8fdfac0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromise
00000001d8fdfb60 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromiseSeal
00000001d8fdfbb0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFReachability
00000001d98899b8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachine
00000001d9889a08 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachineEvent
00000001d9889a58 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachineState
00000001d98898c8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachineTransition
00000001d8fdf980 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFUnfairLock
00000001d8fdfae8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFVoid
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001bf77865c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001bf779fbc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001bf77da54 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001bf778678 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001bf779fd8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001bf77da70 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001bf77868c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001bf779fec (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001bf77da84 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001bf7786a0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001bf77a000 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001bf77da98 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001bf7786b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001bf77a010 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001bf77daa8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001bf7786c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001bf77a020 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001bf77dab8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001dd39ddd0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSError_$_NFStateMachine
00000001dd39de50 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSKeyedUnarchiver_$_FRAdditions
00000001dd39de90 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSObject_$_NFAdditions
00000001dd39ded0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSString_$_NFAdditions
00000001dd39de10 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSUserDefaults_$_NFAdditions
00000001dd39df10 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSValue_$_NFAdditions
00000001bf780c10 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFPromise(Firstly|Void|Delay)
00000001bf780ef0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFReachability
00000001bf7809f0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSError(NFStateMachine)
00000001bf780bc0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSKeyedUnarchiver(FRAdditions)
00000001bf780db8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSObject(NFAdditions)
00000001bf7812a8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSValue(NFAdditions)
00000001bf7809d0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFArchiver
00000001bf7808c8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventManager
00000001bf780970 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventTrigger
00000001bf780b70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFLazy
00000001bf781210 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMultiDelegate
00000001bf780fb0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMutexLock
00000001bf780860 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPendingPromise
00000001bf780c78 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromise(Firstly|Void|Delay)
00000001bf780df8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromiseSeal
00000001bf780f08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFReachability
00000001bf780a20 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachine
00000001bf781000 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineEvent
00000001bf7810c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineState(Private)
00000001bf7807b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineTransition
00000001bf780770 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFUnfairLock
00000001bf780da0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFVoid
00000001bf780a08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSError(NFStateMachine)
00000001bf780bf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSKeyedUnarchiver(FRAdditions)
00000001bf780dd8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSString(NFAdditions)
00000001bf780b58 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSUserDefaults(NFAdditions)
00000001bf7812c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSValue(NFAdditions)
00000001d3eca3d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventManager
00000001d3eca448 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventTrigger
00000001d3ecaa40 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFLazy
00000001d3ecb070 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMultiDelegate
00000001d3ecae48 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMutexLock
00000001d3eca338 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPendingPromise
00000001d3ecaae0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromise
00000001d3ecac00 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromiseSeal
00000001d3ecad00 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFReachability
00000001d3eca8e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachine
00000001d3ecae70 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineEvent
00000001d3ecaf40 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineState
00000001d3eca238 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineTransition
00000001d3eca1f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFUnfairLock
00000001d3eca898 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFArchiver
00000001d3eca420 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventManager
00000001d3eca4f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventTrigger
00000001d3ecaaa8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFLazy
00000001d3ecb0b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFMultiDelegate
00000001d3eca3a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPendingPromise
00000001d3ecab08 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromise
00000001d3ecaca8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromiseSeal
00000001d3ecad88 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFReachability
00000001d3eca9c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachine
00000001d3ecaef8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineEvent
00000001d3ecb008 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineState
00000001d3eca2e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineTransition
00000001d3eca738 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d3eca838 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NFArchiver
00000001d3ecabc0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d3eca178 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSLocking
00000001d3ecadd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSLocking
00000001d3eca548 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d3eca718 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001d3eca870 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NFArchiver
00000001d3ecabe0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d3eca1b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSLocking
00000001d3ecae08 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSLocking
00000001d3eca780 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001d3eca820 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFArchiver
00000001d3eca1c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFLocking
00000001d3ecae18 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFLocking
00000001d3eca880 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFArchiver
00000001d3ecae30 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFMutexLock
00000001d3eca1d8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFUnfairLock
00000001d3ecabe8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFVoid
00000001dd39e4b8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFArchiver
00000001dd39e398 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFEventManager
00000001dd39e428 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFEventTrigger
00000001dd39e5d8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFLazy
00000001dd39ea58 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFMultiDelegate
00000001dd39e8a8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFMutexLock
00000001dd39e308 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFPendingPromise
00000001dd39e668 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFPromise
00000001dd39e788 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFPromiseSeal
00000001dd39e818 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFReachability
00000001dd39e548 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFStateMachine
00000001dd39e938 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFStateMachineEvent
00000001dd39e9c8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFStateMachineState
00000001dd39e278 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFStateMachineTransition
00000001dd39e1e8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFUnfairLock
00000001dd39e6f8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFVoid
00000001d3eca160 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFArchiver
00000001d3eca150 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFLocking
00000001d3eca168 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000001d3eca148 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSLocking
00000001d3eca158 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000001dd39e470 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFArchiver
00000001dd39e350 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFEventManager
00000001dd39e3e0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFEventTrigger
00000001dd39e590 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFLazy
00000001dd39ea10 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFMultiDelegate
00000001dd39e860 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFMutexLock
00000001dd39e2c0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFPendingPromise
00000001dd39e620 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFPromise
00000001dd39e740 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFPromiseSeal
00000001dd39e7d0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFReachability
00000001dd39e500 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFStateMachine
00000001dd39e8f0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFStateMachineEvent
00000001dd39e980 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFStateMachineState
00000001dd39e230 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFStateMachineTransition
00000001dd39e1a0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFUnfairLock
00000001dd39e6b0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFVoid
00000001d80a0210 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFArchiver
00000001d80a0150 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFLocking
00000001d80a0280 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00000001d80a00f0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSLocking
00000001d80a01b0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000001bf77f710 (__TEXT,__text) external __UIValueCGRectValue
                 (undefined) external __Unwind_Resume (from libSystem)
00000001bf77b718 (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke
00000001bf77b7ec (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke_2
00000001bf77b5f4 (__TEXT,__text) non-external ___17-[NFPromise then]_block_invoke
00000001bf77c0bc (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke
00000001bf77c14c (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke_2
00000001bf77b9d0 (__TEXT,__text) non-external ___18-[NFPromise error]_block_invoke
00000001bf77b870 (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke
00000001bf77b94c (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke_2
00000001bf77b684 (__TEXT,__text) non-external ___19-[NFPromise thenOn]_block_invoke
00000001bf77c1e8 (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke
00000001bf77c2d0 (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke_2
00000001bf77bad8 (__TEXT,__text) non-external ___20-[NFPromise errorOn]_block_invoke
00000001bf77bb6c (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke
00000001bf77bc40 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_2
00000001bf77bd30 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_3
00000001bf77be58 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke
00000001bf77bf34 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_2
00000001bf77c024 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_3
00000001bf77dd30 (__TEXT,__text) non-external ___22-[NFReachability init]_block_invoke
00000001bf7774f8 (__TEXT,__text) non-external ___24-[NFPendingPromise init]_block_invoke
00000001bf77af28 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke
00000001bf77b06c (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_2
00000001bf77b27c (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_3
00000001bf77b4e0 (__TEXT,__text) non-external ___27-[NFPromise errorOn:error:]_block_invoke
00000001bf77aa50 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke
00000001bf77aad0 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke.26
00000001bf77dbac (__TEXT,__text) non-external ___32+[NFReachability sharedInstance]_block_invoke
00000001bf77d458 (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke
00000001bf77d4e0 (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke_2
00000001bf77d194 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke
00000001bf77d310 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke.25
00000001bf77d2fc (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke_2
00000001bf77ded0 (__TEXT,__text) non-external ___44-[NFReachability _updateCurrentNetworkPath:]_block_invoke
00000001bf77c880 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke
00000001bf77c964 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke_2
00000001bf77c634 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke
00000001bf77c718 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke_2
00000001bf779c48 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke
00000001bf779df8 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.113
00000001bf779e10 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.121
00000001bf780020 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.121.cold.1
00000001bf779e40 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.130
00000001bf779e98 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.136
00000001bf779cd0 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_2
00000001bf779d58 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_3
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001bf77fa70 (__TEXT,__text) non-external ___NFDeviceHasExtendedColorDisplay_block_invoke
00000001bf77f914 (__TEXT,__text) non-external ___NFDevicePlatform_block_invoke
00000001bf776f48 (__TEXT,__text) non-external ___NFInternalBuild_block_invoke
00000001bf776fbc (__TEXT,__text) non-external ___NFStoreDemoMode_block_invoke
00000001d3eca030 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSError"8l
00000001d3eca010 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_8?0l
00000001d3ec9fe8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000001d3eca050 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e8_v16?08l
00000001d3eca070 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_16?08l
00000001dd39d840 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e5_v8?0l
00000001dd39d690 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e8_16?08l
00000001dd39d430 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e17_v16?0"NSError"8l
00000001dd39d5a0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?08l
00000001dd39d720 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?0d8l
00000001dd39d510 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<?>8l
00000001dd39d600 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<v?>8l
00000001dd39d2a0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e34_v24?0?<v?>8?<v?"NSError">16l
00000001dd39d6c0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"16?0?<v??<v?>?<v?"NSError">>8l
00000001dd39d5d0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"816l
00000001dd39d780 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8d16l
00000001dd39d540 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<?>16l
00000001dd39d630 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<v?>16l
00000001dd39d390 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
