000000019f8f8858 (__TEXT,__text) non-external +[Calculate _lock]
000000019f8e8964 (__TEXT,__text) non-external -[UnitRank unitID]
000000019f8e8bf4 (__TEXT,__text) non-external -[UnitRanks .cxx_destruct]
000000019f8e8cd0 (__TEXT,__text) non-external -[UnitRanks addUnitRank:]
000000019f8e8c8c (__TEXT,__text) non-external -[UnitRanks containsCurrency]
000000019f8e8cb0 (__TEXT,__text) non-external -[UnitRanks containsFrom]
000000019f8e8ca4 (__TEXT,__text) non-external -[UnitRanks containsTo]
000000019f8e8c98 (__TEXT,__text) non-external -[UnitRanks containsUnit]
000000019f8e8fbc (__TEXT,__text) non-external -[UnitRanks initWithUnitsInfo:]
000000019f8e8f1c (__TEXT,__text) non-external -[UnitRanks init]
000000019f8e8e80 (__TEXT,__text) non-external -[UnitRanks isAmbiguous]
000000019f8e8cc8 (__TEXT,__text) non-external -[UnitRanks ranks]
000000019f8e8cbc (__TEXT,__text) non-external -[UnitRanks setRanks:]
000000019f8e8c40 (__TEXT,__text) non-external -[UnitRanks setUnits:]
000000019f8e8c54 (__TEXT,__text) non-external -[UnitRanks setUnitsInfo:]
000000019f8e8ec4 (__TEXT,__text) non-external -[UnitRanks sort]
000000019f8e8c60 (__TEXT,__text) non-external -[UnitRanks unitsInfo]
000000019f8e8c4c (__TEXT,__text) non-external -[UnitRanks units]
000000019f8e97e8 (__TEXT,__text) non-external -[UnitTypeInfo .cxx_destruct]
000000019f8e9870 (__TEXT,__text) non-external -[UnitTypeInfo baseUnit]
000000019f8e9900 (__TEXT,__text) non-external -[UnitTypeInfo decompositionCoefficient]
000000019f8e98d4 (__TEXT,__text) non-external -[UnitTypeInfo decomposition]
000000019f8e984c (__TEXT,__text) non-external -[UnitTypeInfo isCurrency]
000000019f8e9914 (__TEXT,__text) non-external -[UnitTypeInfo isDecomposable]
000000019f8e985c (__TEXT,__text) non-external -[UnitTypeInfo isTemperature]
000000019f8e983c (__TEXT,__text) non-external -[UnitTypeInfo isVolume]
000000019f8e9928 (__TEXT,__text) non-external -[UnitTypeInfo name]
000000019f8e9864 (__TEXT,__text) non-external -[UnitTypeInfo setBaseUnit:]
000000019f8e98b0 (__TEXT,__text) non-external -[UnitTypeInfo setDecomposition:]
000000019f8e98f8 (__TEXT,__text) non-external -[UnitTypeInfo setDecompositionCoefficient:]
000000019f8e9844 (__TEXT,__text) non-external -[UnitTypeInfo setIsCurrency:]
000000019f8e990c (__TEXT,__text) non-external -[UnitTypeInfo setIsDecomposable:]
000000019f8e9854 (__TEXT,__text) non-external -[UnitTypeInfo setIsTemperature:]
000000019f8e9834 (__TEXT,__text) non-external -[UnitTypeInfo setIsVolume:]
000000019f8e991c (__TEXT,__text) non-external -[UnitTypeInfo setName:]
000000019f8e9930 (__TEXT,__text) non-external -[UnitTypeInfo setUnitType:]
000000019f8e989c (__TEXT,__text) non-external -[UnitTypeInfo setUnits:]
000000019f8e9938 (__TEXT,__text) non-external -[UnitTypeInfo unitType]
000000019f8e98a8 (__TEXT,__text) non-external -[UnitTypeInfo units]
000000019f8e9940 (__TEXT,__text) non-external -[UnitsInfo .cxx_destruct]
000000019f8e9a3c (__TEXT,__text) non-external -[UnitsInfo angleInfo]
000000019f8e9a04 (__TEXT,__text) non-external -[UnitsInfo degreesInfo]
000000019f8e9ad8 (__TEXT,__text) non-external -[UnitsInfo infoForAngle]
000000019f8e9ad4 (__TEXT,__text) non-external -[UnitsInfo infoForDegrees]
000000019f8e9ad0 (__TEXT,__text) non-external -[UnitsInfo infoForRadians]
000000019f8e9b64 (__TEXT,__text) non-external -[UnitsInfo infoForUnitID:]
000000019f8e9ae4 (__TEXT,__text) non-external -[UnitsInfo infoForUnitName:]
000000019f8e9c8c (__TEXT,__text) non-external -[UnitsInfo infoForUnitType:]
000000019f8e9c0c (__TEXT,__text) non-external -[UnitsInfo infoForUnitTypeName:]
000000019f8e9d38 (__TEXT,__text) non-external -[UnitsInfo initWithDictionary:]
000000019f8e9adc (__TEXT,__text) non-external -[UnitsInfo objectAtIndexedSubscript:]
000000019f8e9ae0 (__TEXT,__text) non-external -[UnitsInfo objectForKeyedSubscript:]
000000019f8eaeac (__TEXT,__text) non-external -[UnitsInfo populateSubunitIDs:forUnit:visited:]
000000019f8e99cc (__TEXT,__text) non-external -[UnitsInfo radiansInfo]
000000019f8e9a30 (__TEXT,__text) non-external -[UnitsInfo setAngleInfo:]
000000019f8e99f8 (__TEXT,__text) non-external -[UnitsInfo setDegreesInfo:]
000000019f8e99c0 (__TEXT,__text) non-external -[UnitsInfo setRadiansInfo:]
000000019f8e9a90 (__TEXT,__text) non-external -[UnitsInfo setUnitIDToInfo:]
000000019f8e9aa4 (__TEXT,__text) non-external -[UnitsInfo setUnitNameToInfo:]
000000019f8e9a7c (__TEXT,__text) non-external -[UnitsInfo setUnitTypeNameToInfo:]
000000019f8e9a68 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeToInfo:]
000000019f8e9ac0 (__TEXT,__text) non-external -[UnitsInfo unitCount]
000000019f8e9a9c (__TEXT,__text) non-external -[UnitsInfo unitIDToInfo]
000000019f8e9ab0 (__TEXT,__text) non-external -[UnitsInfo unitNameToInfo]
000000019f8e9ac8 (__TEXT,__text) non-external -[UnitsInfo unitNames]
000000019f8e9ab8 (__TEXT,__text) non-external -[UnitsInfo unitTypeCount]
000000019f8e9a88 (__TEXT,__text) non-external -[UnitsInfo unitTypeNameToInfo]
000000019f8e9a74 (__TEXT,__text) non-external -[UnitsInfo unitTypeToInfo]
000000019fa61b20 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
000000019fa61b4c (__TEXT,__gcc_except_tab) non-external GCC_except_table30
000000019fa61b5c (__TEXT,__gcc_except_tab) non-external GCC_except_table33
000000019fa61ba0 (__TEXT,__gcc_except_tab) non-external GCC_except_table411
000000019fa622b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table420
000000019fa61b6c (__TEXT,__gcc_except_tab) non-external GCC_except_table43
000000019fa622d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table591
000000019fa623e4 (__TEXT,__gcc_except_tab) non-external GCC_except_table606
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFPreferencesSetAppValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringTokenizerAdvanceToNextToken (from CoreFoundation)
                 (undefined) external _CFStringTokenizerCreate (from CoreFoundation)
                 (undefined) external _CFStringTokenizerGetCurrentTokenRange (from CoreFoundation)
000000019f8f8d18 (__TEXT,__text) external _CalculateExpression
000000019f8f8a34 (__TEXT,__text) external _CalculateExpressionError
000000019f8f8d20 (__TEXT,__text) external _CalculateInternationalExpression
00000001dcb59a78 (__DATA_CONST,__const) external _CalculateKeyAllowConversions
00000001dcb59a68 (__DATA_CONST,__const) external _CalculateKeyAllowPartialExpressions
00000001dcb59a70 (__DATA_CONST,__const) external _CalculateKeyAllowUnits
00000001dcb59a50 (__DATA_CONST,__const) external _CalculateKeyAutoScientificNotation
00000001dcb59a60 (__DATA_CONST,__const) external _CalculateKeyConvertTrivial
00000001dcb59a90 (__DATA_CONST,__const) external _CalculateKeyEngine
00000001dcb59aa0 (__DATA_CONST,__const) external _CalculateKeyExpectedUnitTypes
00000001dcb59a58 (__DATA_CONST,__const) external _CalculateKeyFlexibleFractionDigits
00000001dcb59a98 (__DATA_CONST,__const) external _CalculateKeyIgnoreProbableSearches
00000001dcb59a40 (__DATA_CONST,__const) external _CalculateKeyLocales
00000001dcb59aa8 (__DATA_CONST,__const) external _CalculateKeyLocalizeUnit
00000001dcb59a80 (__DATA_CONST,__const) external _CalculateKeyMaximumConversions
00000001dcb59a48 (__DATA_CONST,__const) external _CalculateKeyNumberFormatter
00000001dcb59a88 (__DATA_CONST,__const) external _CalculateKeyPreferMixedUnits
000000019f8e8844 (__TEXT,__text) non-external _CalculateLogForCategory
00000001d58e7f88 (__DATA,__bss) non-external _CalculateLogForCategory.logObjects.0
00000001d58e7f90 (__DATA,__bss) non-external _CalculateLogForCategory.loggingToken
000000019f8f8a28 (__TEXT,__text) external _CalculatePerformExpression
000000019f8d795c (__TEXT,__text) non-external _CountLeadingZeros
00000001d58e7f30 (__DATA,__bss) non-external _DecimalPi.initialized
00000001d58e7f20 (__DATA,__bss) non-external _DecimalPi.pi.0
000000019f8dfc68 (__TEXT,__text) non-external _DecimalToDegrees
00000001d58e7f70 (__DATA,__bss) non-external _DecimalToDegrees.initialized
00000001d58e7f60 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.0
00000001d58e7f50 (__DATA,__bss) non-external _DecimalToRadians.initialized
00000001d58e7f40 (__DATA,__bss) non-external _DecimalToRadians.to_radians.0
00000001d58e7ef0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.initialized
00000001d58e7ee0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.0
00000001d58e7f10 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.initialized
00000001d58e7f00 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.0
00000001d58e7eb0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.initialized
00000001d58e7ea0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.0
00000001d58e7ed0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.initialized
00000001d58e7ec0 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.0
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSCurrentLocaleDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSDecimalCompare (from Foundation)
                 (undefined) external _NSLocaleCurrencyCode (from CoreFoundation)
                 (undefined) external _NSLocaleGroupingSeparator (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystem (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemMetric (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUK (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUS (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnit (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnitCelsius (from CoreFoundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringTransformStripDiacritics (from CoreFoundation)
00000001d6dbe500 (__AUTH,__objc_data) external _OBJC_CLASS_$_Calculate
00000001d6dbe618 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateRequest
00000001d6dbe5a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateResult
00000001d6dbe578 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateTerm
00000001d6dbe690 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_CalculateToken
00000001d6dbe6e0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_CalculateTokenizer
00000001d6dbe528 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalculateUnit
00000001d6dbe2a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_Converter
00000001d6dbe2d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CurrencyCache
00000001d6dbe780 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_Localize
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCache (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendar (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDoubleNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumberHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableURLRequest (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OACredential (from OAuth)
                 (undefined) external _OBJC_CLASS_$_OAURLRequestSigner (from OAuth)
00000001d6dbe708 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_Trie
00000001d6dbe488 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_TrieNode
00000001d6dbe3c0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitInfo
00000001d6dbe758 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitRank
00000001d6dbe730 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitRanks
00000001d6dbe438 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitTypeInfo
00000001d6dbe7d0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_UnitsInfo
                 (undefined) external _OBJC_EHTYPE_id (from libobjc)
00000001d58e7814 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._expression
00000001d58e7810 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._isCanceled
00000001d58e7818 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._options
00000001d58e781c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._result
00000001d58e7820 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._resultHandler
00000001d58e77bc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._autoScientificNotation
00000001d58e77f4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._conversions
00000001d58e77dc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._expression
00000001d58e77c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._flexibleFractionDigits
00000001d58e77c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._hasStaleCurrencyData
00000001d58e77f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._inputValueAndUnit
00000001d58e77c4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._isTrivial
00000001d58e77e4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._locales
00000001d58e77d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._localizeUnit
00000001d58e77e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._numberFormatter
00000001d58e77f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parent
00000001d58e77fc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parseTree
00000001d58e7800 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._resultTree
00000001d58e77d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._singleUnitID
00000001d58e77cc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._synchronous
00000001d58e77ec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._terms
00000001d58e780c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._typeInfo
00000001d58e77d4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitExponent
00000001d58e7804 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitFormat
00000001d58e77e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitType
00000001d58e7808 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitsInfo
00000001d58e77b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._decimalValue
00000001d58e77b4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._result
00000001d58e77b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._units
00000001d58e77ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._value
00000001d58e7830 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._range
00000001d58e782c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._ranks
00000001d58e7828 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._text
00000001d58e7824 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._tokenType
00000001d58e7834 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._index
00000001d58e7854 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._lastToken
00000001d58e783c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._locales
00000001d58e784c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekIndex
00000001d58e7850 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekTokens
00000001d58e7838 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._string
00000001d58e7848 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._stringLength
00000001d58e7844 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._trie
00000001d58e7840 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._unitsInfo
00000001d58e7858 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndices
00000001d58e785c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndicesIndex
00000001d58e7798 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._exponent
00000001d58e779c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._name
00000001d58e77a4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._nextSmallest
00000001d58e77a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitInfo
00000001d58e77a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitType
00000001d58e788c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._additionalResults
00000001d58e7890 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._conversionType
00000001d58e7888 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._currencyUpdateTimeOut
00000001d58e7860 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputString
00000001d58e7864 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputUnit
00000001d58e7870 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputValue
00000001d58e7884 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._isCurrency
00000001d58e7874 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedInputValueAndUnit
00000001d58e7880 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputUnit
00000001d58e787c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValue
00000001d58e7878 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValueAndUnit
00000001d58e7868 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputUnit
00000001d58e786c (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputValue
00000001d58e7670 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currencyData
00000001d58e7674 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentCurrency
00000001d58e7678 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentRate
00000001d58e767c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentString
00000001d58e7664 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._lastRefreshDate
00000001d58e7688 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lastRefreshTimeInternal
00000001d58e768c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lock
00000001d58e7680 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._mutableCurrencyCache
00000001d58e7668 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._refreshInterval
00000001d58e7684 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._serializer
00000001d58e766c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._timeout
00000001d58e7660 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._uuid
00000001d58e776c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._autocompress
00000001d58e7774 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterCount
00000001d58e7778 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterSize
00000001d58e7788 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characters
00000001d58e7770 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._compressed
00000001d58e7794 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._firstByteCache
00000001d58e777c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeCount
00000001d58e7780 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeSize
00000001d58e778c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodes
00000001d58e7790 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._objects
00000001d58e7784 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._root
00000001d58e7760 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._node
00000001d58e7764 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._offset
00000001d58e7768 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._trie
00000001d58e7700 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._allSubunitIDs
00000001d58e770c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseDenominator
00000001d58e7708 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseNumerator
00000001d58e76f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._bestEquivalent
00000001d58e76d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._doNotSuggest
00000001d58e76dc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._formatNextSmallest
00000001d58e76c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._impliesDivision
00000001d58e76c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isBaseUnit
00000001d58e76d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isCelsius
00000001d58e76c4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isDisplayName
00000001d58e76cc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isFahrenheit
00000001d58e76bc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isInverted
00000001d58e76d4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isKelvin
00000001d58e7704 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._localizationToCompactName
00000001d58e76f4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._measurementSystem
00000001d58e76e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._name
00000001d58e76f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._nextSmallest
00000001d58e76fc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._subunitIDs
00000001d58e76ec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._typeInfo
00000001d58e76e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitID
00000001d58e76e4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitType
00000001d58e769c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._context
00000001d58e7698 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._locale
00000001d58e7694 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._rank
00000001d58e7690 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._unitID
00000001d58e76ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsCurrency
00000001d58e76a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsFrom
00000001d58e76a4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsTo
00000001d58e76a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsUnit
00000001d58e76b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._ranks
00000001d58e76b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._units
00000001d58e76b4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._unitsInfo
00000001d58e772c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._baseUnit
00000001d58e7734 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decomposition
00000001d58e7730 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decompositionCoefficient
00000001d58e7718 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isCurrency
00000001d58e7710 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isDecomposable
