00007ffb1d30c4bc (__TEXT,__text) non-external _Done_iODBC
00007ffb408fac90 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffb408fa490 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffb408fa460 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffb408facb0 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffb408fa020 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffb408fa050 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffb408fad10 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffb408fad30 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffb408fad60 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffb408fad90 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffb408fae00 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffb408fae40 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffb408faec0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffb408faf20 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffb408fafa0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffb408fafd0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffb408fb020 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffb408face0 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffb408fb050 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffb408fa4b0 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffb408fa080 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffb408fa4d0 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffb408fa150 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffb408fa170 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffb408fa220 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffb408fa550 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffb408fa500 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffb408f9e50 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffb1d3238c3 (__TEXT,__text) non-external __trace_bufferlen
00007ffb1d3230e2 (__TEXT,__text) non-external __trace_c_type
00007ffb1d3205ac (__TEXT,__text) non-external __trace_colattr2_type
00007ffb1d3208b5 (__TEXT,__text) non-external __trace_colattr3_data
00007ffb1d3205e7 (__TEXT,__text) non-external __trace_colattr3_type
00007ffb1d31cde0 (__TEXT,__text) non-external __trace_connattr_type
00007ffb1d323ba0 (__TEXT,__text) non-external __trace_connopt_type
00007ffb1d3258d7 (__TEXT,__text) non-external __trace_connstr
00007ffb1d325b62 (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffb1d325ac1 (__TEXT,__text) non-external __trace_connstr_w
00007ffb1d324bf0 (__TEXT,__text) non-external __trace_data
00007ffb1d31d068 (__TEXT,__text) non-external __trace_desc_null
00007ffb1d31ff80 (__TEXT,__text) non-external __trace_descfield_type
00007ffb1d324934 (__TEXT,__text) non-external __trace_diag_type
00007ffb1d321d84 (__TEXT,__text) non-external __trace_direction
00007ffb1d3259a3 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffb1d31d93f (__TEXT,__text) non-external __trace_envattr_type
00007ffb1d31dfac (__TEXT,__text) non-external __trace_fetchtype
00007ffb1d326008 (__TEXT,__text) non-external __trace_freestmt_option
00007ffb1d321559 (__TEXT,__text) non-external __trace_func_name
00007ffb1d3214ac (__TEXT,__text) non-external __trace_func_result
00007ffb1d31e19c (__TEXT,__text) non-external __trace_getinfo
00007ffb1d322c24 (__TEXT,__text) non-external __trace_handle
00007ffb1d322bbf (__TEXT,__text) non-external __trace_handle_p
00007ffb1d322b84 (__TEXT,__text) non-external __trace_handletype
00007ffb1d3233ec (__TEXT,__text) non-external __trace_inouttype
00007ffb1d322c96 (__TEXT,__text) non-external __trace_integer
00007ffb1d322dae (__TEXT,__text) non-external __trace_integer_p
00007ffb1d322e87 (__TEXT,__text) non-external __trace_len
00007ffb1d322ec1 (__TEXT,__text) non-external __trace_len_p
00007ffb1d322ccf (__TEXT,__text) non-external __trace_pointer
00007ffb1d3229f5 (__TEXT,__text) non-external __trace_print_function
00007ffb1d31e079 (__TEXT,__text) non-external __trace_scrollopt_type
00007ffb1d31de7f (__TEXT,__text) non-external __trace_setpos_irow
00007ffb1d31ded6 (__TEXT,__text) non-external __trace_setpos_lock
00007ffb1d31de9b (__TEXT,__text) non-external __trace_setpos_oper
00007ffb1d322c5d (__TEXT,__text) non-external __trace_smallint
00007ffb1d322d07 (__TEXT,__text) non-external __trace_smallint_p
00007ffb1d31db62 (__TEXT,__text) non-external __trace_spcols_null
00007ffb1d31db27 (__TEXT,__text) non-external __trace_spcols_scope
00007ffb1d31dae6 (__TEXT,__text) non-external __trace_spcols_type
00007ffb1d323808 (__TEXT,__text) non-external __trace_sql_subtype
00007ffb1d323427 (__TEXT,__text) non-external __trace_sql_type
00007ffb1d3235fc (__TEXT,__text) non-external __trace_sql_type_p
00007ffb1d325d4b (__TEXT,__text) non-external __trace_stats_accuracy
00007ffb1d325d0c (__TEXT,__text) non-external __trace_stats_unique
00007ffb1d323e84 (__TEXT,__text) non-external __trace_stmtattr_type
00007ffb1d324634 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffb1d322f67 (__TEXT,__text) non-external __trace_string
00007ffb1d323010 (__TEXT,__text) non-external __trace_string_w
00007ffb1d322e53 (__TEXT,__text) non-external __trace_stringlen
00007ffb408fb150 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffb1d32531d (__TEXT,__text) non-external __trace_tran_completion
00007ffb1d3255b8 (__TEXT,__text) non-external __trace_typeinfo
00007ffb1d322cb3 (__TEXT,__text) non-external __trace_uinteger
00007ffb1d322e01 (__TEXT,__text) non-external __trace_uinteger_p
00007ffb1d322ea4 (__TEXT,__text) non-external __trace_ulen
00007ffb1d322f14 (__TEXT,__text) non-external __trace_ulen_p
00007ffb1d322c7a (__TEXT,__text) non-external __trace_usmallint
00007ffb1d322d5b (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffb42bfdf02 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffb1d326e58 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffb1d327367 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffb1d326df3 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffb1d3270a1 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffb1d326ec1 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffb1d327555 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffb1d326f66 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffb1d327008 (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffb1d327056 (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffb1d328a67 (__TEXT,__text) non-external _do_create_dsns
00007ffb42bfdec0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffb42bfdea0 (__DATA,__common) non-external _ierror
00007ffb1d328b8c (__TEXT,__text) non-external _install_from_ini
00007ffb1d329057 (__TEXT,__text) non-external _install_from_string
00007ffb42bfd900 (__DATA,__data) external _iodbc_version
00007ffb42bfdde0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffb42bfde28 (__DATA,__data) non-external _numerrors
                 (undefined) external _objc_msgSend (from libobjc)
00007ffb42bfd910 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffb42bfde30 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffb1d3291fe (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffb408f92b0 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffb42bfde70 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffb1d31f96e (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffb1d323b0d (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffb1d32043c (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffb1d321cd7 (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffb1d3203a2 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffb1d320e1e (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffb1d323993 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffb1d323a50 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffb1d31da88 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffb1d324b7b (__TEXT,__text) non-external _trace_SQLCancel
00007ffb1d321d5a (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffb1d320820 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffb1d320bf8 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffb1d320c90 (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffb1d320d3d (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffb1d32475a (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffb1d324846 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffb1d31fa2f (__TEXT,__text) non-external _trace_SQLColumns
00007ffb1d31fb1b (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffb1d3241ac (__TEXT,__text) non-external _trace_SQLConnect
00007ffb1d324267 (__TEXT,__text) non-external _trace_SQLConnectW
00007ffb1d31df73 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffb1d321de8 (__TEXT,__text) non-external _trace_SQLDataSources
00007ffb1d321eca (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffb1d31d0d6 (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffb1d31d1c0 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffb1d3246b7 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffb1d321d30 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffb1d3257f4 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffb1d3259de (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffb1d321080 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffb1d321162 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffb1d31f92b (__TEXT,__text) non-external _trace_SQLEndTran
00007ffb1d31d4dc (__TEXT,__text) non-external _trace_SQLError
00007ffb1d31d5c6 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffb1d321b27 (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffb1d321b84 (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffb1d31dabc (__TEXT,__text) non-external _trace_SQLExecute
00007ffb1d31dfeb (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffb1d322060 (__TEXT,__text) non-external _trace_SQLFetch
00007ffb1d323b57 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffb1d324322 (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffb1d32446c (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffb1d32460a (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffb1d31de55 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffb1d31f8fc (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffb1d326040 (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffb1d31cf58 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffb1d31cfe0 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffb1d323d64 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffb1d323dac (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffb1d3204a3 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffb1d320527 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffb1d325248 (__TEXT,__text) non-external _trace_SQLGetData
00007ffb1d320274 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffb1d32030b (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffb1d31d2aa (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffb1d31d3c3 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffb1d324a48 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffb1d324aee (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffb1d31d780 (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffb1d31d85f (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffb1d31d9ac (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffb1d321ad4 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffb1d31e10c (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffb1d31f64c (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffb1d3240b8 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffb1d324140 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffb1d32466f (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffb1d32578c (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffb1d3257c0 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffb1d3252f3 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffb1d31fde7 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffb1d31feb3 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffb1d31fc07 (__TEXT,__text) non-external _trace_SQLNumParams
00007ffb1d3245b6 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffb1d320dea (__TEXT,__text) non-external _trace_SQLParamData
00007ffb1d31f9c7 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffb1d326074 (__TEXT,__text) non-external _trace_SQLPrepare
00007ffb1d3260d1 (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffb1d321244 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffb1d32130a (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffb1d31f6dc (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffb1d31f7c8 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffb1d320ef4 (__TEXT,__text) non-external _trace_SQLProcedures
00007ffb1d320fba (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffb1d324ba5 (__TEXT,__text) non-external _trace_SQLPutData
00007ffb1d31da34 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffb1d325c68 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffb1d325cba (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffb1d323df4 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffb1d323e3c (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffb1d321fa8 (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffb1d322004 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffb1d31d6b2 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffb1d31d719 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffb1d3213d0 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffb1d321be1 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffb1d31df11 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffb1d31e0b8 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffb1d321c33 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffb1d321c85 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffb1d31f8b4 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffb1d31dba1 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffb1d31dcfb (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffb1d325d8a (__TEXT,__text) non-external _trace_SQLStatistics
00007ffb1d325ec9 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffb1d31fc5b (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffb1d31fd21 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffb1d3253dd (__TEXT,__text) non-external _trace_SQLTables
00007ffb1d3254c9 (__TEXT,__text) non-external _trace_SQLTablesW
00007ffb1d32535d (__TEXT,__text) non-external _trace_SQLTransact
00007ffb42bfde60 (__DATA,__bss) non-external _trace_appname
00007ffb1d322581 (__TEXT,__text) non-external _trace_emit
00007ffb1d32287a (__TEXT,__text) non-external _trace_emit_binary
00007ffb1d322672 (__TEXT,__text) non-external _trace_emit_string
00007ffb1d32264c (__TEXT,__text) non-external _trace_emitc
00007ffb42bfde68 (__DATA,__bss) non-external _trace_fname
00007ffb42bfde80 (__DATA,__bss) non-external _trace_fp
00007ffb42bfde88 (__DATA,__bss) non-external _trace_fp_close
00007ffb1d3220bc (__TEXT,__text) non-external _trace_get_filename
00007ffb1d32208c (__TEXT,__text) non-external _trace_set_appname
00007ffb1d3220cd (__TEXT,__text) non-external _trace_set_filename
00007ffb1d32234b (__TEXT,__text) non-external _trace_start
00007ffb1d3224e1 (__TEXT,__text) non-external _trace_stop
00007ffb1d3222f8 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffb1d327501 (__TEXT,__text) non-external _utf8_len
00007ffb1d3275d3 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffb42bfdf00 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
