00000001830079e8 (__DATA,__data) non-external _C
0000000183008810 (__DATA,__data) non-external ___systemfn_mutex
0000000183008870 (__DATA,__data) non-external ___systemfn_mutex
0000000180ed56b8 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
0000000180e7208c (__TEXT,__text) non-external ___thread_stack_async_pcs
0000000180e71c3c (__TEXT,__text) non-external ___thread_stack_pcs
0000000180eb28a0 (__TEXT,__text) non-external (was a private external) ___time_load_locale
0000000183014338 (__DATA,__bss) non-external ___time_load_locale.cache
0000000180ed5690 (__TEXT,__const) external ___tinytens_D2A
0000000180e93f2c (__TEXT,__text) external ___tolower
0000000180e94080 (__TEXT,__text) external ___tolower_l
0000000180e93eec (__TEXT,__text) external ___toupper
0000000180e94060 (__TEXT,__text) external ___toupper_l
0000000180e841b8 (__TEXT,__text) external ___trailz_D2A
0000000180e85170 (__TEXT,__text) external ___ulp_D2A
0000000180ea4950 (__TEXT,__text) non-external ___ultoa
0000000180ea9ab0 (__TEXT,__text) non-external ___ultoa
0000000180ea10b0 (__TEXT,__text) external ___ungetc
0000000180ea1268 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
0000000180ebcb94 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
0000000180ed63a1 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
0000000180ec3fc8 (__TEXT,__text) non-external (was a private external) ___v2printf
0000000180ea19ac (__TEXT,__text) non-external (was a private external) ___vfprintf
0000000180ed39a4 (__TEXT,__text) non-external ___vfprintf.cold.1
0000000180ed5ebf (__TEXT,__const) non-external ___vfprintf.xdigs_lower
0000000180ed5ecf (__TEXT,__const) non-external ___vfprintf.xdigs_upper
0000000180ea6ec0 (__TEXT,__text) non-external (was a private external) ___vfwprintf
0000000180ed5f24 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
0000000180ed5f34 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
0000000180eaa058 (__TEXT,__text) non-external (was a private external) ___vfwscanf
0000000180ed6020 (__TEXT,__const) non-external ___vfwscanf.basefix
0000000180ed260c (__TEXT,__text) external ___vsnprintf_chk
0000000180ed23f4 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
0000000180e95ff0 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
0000000180e95d58 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
0000000180e93f6c (__TEXT,__text) external ___wcwidth
0000000180e940a0 (__TEXT,__text) external ___wcwidth_l
0000000180e9520c (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00000001830080b0 (__DATA,__data) external ___xlocale_C_collate
0000000180e75098 (__TEXT,__text) non-external (was a private external) ___xlocale_init
0000000180e750d0 (__TEXT,__text) non-external ___xlocale_release
0000000180e75d08 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
0000000180ed299c (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
0000000183007fb0 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
0000000180ec4500 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
0000000180ec434c (__TEXT,__text) non-external (was a private external) ___xvprintf
0000000180ebcc80 (__TEXT,__text) external __allocenvstate
0000000180e85368 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
0000000180e8e998 (__TEXT,__text) non-external (was a private external) __ascii_init
0000000180e8ea10 (__TEXT,__text) non-external __ascii_mbrtowc
0000000180e8ea6c (__TEXT,__text) non-external __ascii_mbsinit
0000000180e8ea74 (__TEXT,__text) non-external __ascii_mbsnrtowcs
0000000180e8eb34 (__TEXT,__text) non-external __ascii_wcrtomb
0000000180e8eb74 (__TEXT,__text) non-external __ascii_wcsnrtombs
0000000180e6a93c (__TEXT,__text) non-external __boottime_fallback_usec
0000000180fe76c8 (__DATA_CONST,__const) external __c_locale
0000000180e9a420 (__TEXT,__text) external __cleanup
0000000180e8fbe4 (__TEXT,__text) external __collate_lookup
0000000180e90f0c (__TEXT,__text) non-external (was a private external) __collate_sxfrm
0000000180ed3740 (__TEXT,__text) non-external __collate_sxfrm.cold.1
0000000180e90c98 (__TEXT,__text) non-external (was a private external) __collate_wxfrm
0000000180ed3714 (__TEXT,__text) non-external __collate_wxfrm.cold.1
0000000180ebcc84 (__TEXT,__text) external __copyenv
000000018302daf0 (__AUTH,__data) external __cthread_init_routine
0000000180ebcd1c (__TEXT,__text) external __deallocenvstate
0000000180ebc578 (__TEXT,__text) non-external __do_nothing
0000000180e745f4 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
                 (undefined) external __dyld_stack_range (from libdyld)
0000000183014448 (__DATA,__common) non-external (was a private external) __e_err_exit
0000000183014440 (__DATA,__common) non-external (was a private external) __e_err_file
0000000180e85874 (__TEXT,__text) non-external (was a private external) __e_visprintf
0000000180e9f954 (__TEXT,__text) non-external __ensurespace
                 (undefined) external __exit (from libsystem_kernel)
0000000180e6abf0 (__TEXT,__text) non-external __ffpp_strtoencf32_l
0000000180ed263c (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
0000000180ed2668 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
0000000180ed4ff0 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
0000000180e6af48 (__TEXT,__text) non-external __ffpp_strtoencf64_l
0000000180ed2694 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
0000000180ed26c0 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
0000000180ed26ec (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
0000000180ed5390 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
0000000180e89d18 (__TEXT,__text) non-external (was a private external) __filldir
0000000180e8c4d0 (__TEXT,__text) non-external (was a private external) __fixtelldir
0000000180e98d80 (__TEXT,__text) external __flockfile_debug_stub
0000000180e9b8d8 (__TEXT,__text) external __fseeko
0000000180e9bd5c (__TEXT,__text) external __ftello
0000000180e9c310 (__TEXT,__text) external __fwalk
0000000180eb6bd4 (__TEXT,__text) external __getenvp
0000000180e71234 (__TEXT,__text) external __init_clock_port
0000000180eb2878 (__TEXT,__text) external __int_to_time
0000000180eb960c (__TEXT,__text) non-external __isort
0000000180eba1a4 (__TEXT,__text) non-external __isort
0000000183009710 (__DATA,__bss) non-external __libSystem_atfork_child
00000001830096f8 (__DATA,__bss) non-external __libSystem_atfork_child_v2
0000000183009708 (__DATA,__bss) non-external __libSystem_atfork_parent
00000001830096f0 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
0000000183009700 (__DATA,__bss) non-external __libSystem_atfork_prepare
00000001830096e8 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
0000000180e77364 (__TEXT,__text) external __libc_fork_child
0000000180e77418 (__TEXT,__text) non-external (was a private external) __libc_fork_init
0000000180e77360 (__TEXT,__text) external __libc_fork_parent
0000000180e7735c (__TEXT,__text) external __libc_fork_prepare
0000000180e772ac (__TEXT,__text) external __libc_initializer
0000000180e92ce0 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
0000000180e92cb8 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
0000000180e92c90 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
0000000180eb2870 (__TEXT,__text) external __long_to_time
0000000180e6a604 (__TEXT,__text) non-external __mach_boottime_usec
00000001830096e0 (__DATA,__bss) non-external __mh_execute_header_pointer
0000000180e9d6b4 (__TEXT,__text) non-external __mkdtemp_action
0000000180e9d3e4 (__TEXT,__text) non-external __mkostemps_action
0000000180e765cc (__TEXT,__text) non-external __mkpath
0000000180e765b8 (__TEXT,__text) external __mkpath_np
0000000180e9d8d8 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
0000000180ed3860 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
0000000180e9d738 (__TEXT,__text) external __mktemp
0000000180e9d790 (__TEXT,__text) non-external __mktemp_action
0000000180e940e4 (__TEXT,__text) non-external (was a private external) __none_init
0000000180e9415c (__TEXT,__text) non-external (was a private external) __none_mbrtowc
0000000180e9418c (__TEXT,__text) non-external (was a private external) __none_mbsinit
0000000180e94194 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
0000000180e94228 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
0000000180e94268 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
0000000180ed2b9c (__TEXT,__text) external __os_assert_log
0000000180ed2da8 (__TEXT,__text) external __os_assert_log_ctx
0000000180ed2a90 (__TEXT,__text) external __os_assumes_log
0000000180ed2c6c (__TEXT,__text) external __os_assumes_log_ctx
0000000180e77e9c (__TEXT,__text) external __os_avoid_tail_call
0000000180ed2a84 (__TEXT,__text) external __os_crash
0000000183014430 (__DATA,__common) external __os_crash_callback
0000000180e77ea0 (__TEXT,__text) non-external __os_get_build
                 (undefined) external __os_once (from libsystem_platform)
0000000180ebc580 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
0000000180ebc6d8 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
0000000180ebc644 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00000001830d1f80 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
0000000180ed7f38 (__TEXT,__cstring) non-external __printf_tbl_flags
0000000180e773e0 (__TEXT,__text) non-external (was a private external) __program_vars_init
0000000180eb8bd4 (__TEXT,__text) external __putenvp
0000000180eb8d54 (__TEXT,__text) non-external __qsort
0000000180eb9830 (__TEXT,__text) non-external __qsort
0000000183008010 (__DATA,__data) external __rand48_add
0000000183008008 (__DATA,__data) external __rand48_mult
0000000183008000 (__DATA,__data) external __rand48_seed
0000000180e8a5f0 (__TEXT,__text) external __readdir_unlocked
0000000180e8c504 (__TEXT,__text) external __reclaim_telldir
0000000180ed6308 (__TEXT,__const) non-external (was a private external) __rp_alist
0000000180e8c414 (__TEXT,__text) external __seekdir
0000000180ebcd78 (__TEXT,__text) external __setenvp
0000000180e77a50 (__TEXT,__text) external __sigaction_nobind
0000000183014460 (__DATA,__common) external __sigintr
0000000180e8b650 (__TEXT,__text) external __signal_nobind
0000000180e6a0a8 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
0000000180e8b374 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
0000000180ea07e8 (__TEXT,__text) external __sread
0000000180ea091c (__TEXT,__text) external __sseek
0000000180eaffa8 (__TEXT,__text) non-external (was a private external) __st_fmt
0000000180e75928 (__TEXT,__text) non-external (was a private external) __st_get_timezone
0000000180eadfe0 (__TEXT,__text) non-external (was a private external) __st_localsub
0000000180e75934 (__TEXT,__text) non-external (was a private external) __st_set_timezone
0000000180eaeaa4 (__TEXT,__text) non-external (was a private external) __st_time1
0000000180eace38 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
0000000180ec4ae4 (__TEXT,__text) non-external __strfmon
0000000180eb10b8 (__TEXT,__text) non-external __strptime0
0000000180ed60f8 (__TEXT,__const) non-external __strptime0.start_of_month
0000000180e75194 (__TEXT,__text) external __subsystem_init
0000000180ea0858 (__TEXT,__text) external __swrite
0000000180e72024 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
0000000180e71c1c (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
0000000180eb2858 (__TEXT,__text) external __time32_to_time
0000000180eb2864 (__TEXT,__text) external __time64_to_time
0000000180eb2874 (__TEXT,__text) external __time_to_int
0000000180eb286c (__TEXT,__text) external __time_to_long
0000000180eb2860 (__TEXT,__text) external __time_to_time32
0000000180eb2868 (__TEXT,__text) external __time_to_time64
0000000180ebce08 (__TEXT,__text) external __unsetenvp
0000000180ea1424 (__TEXT,__text) non-external (was a private external) __vasprintf
0000000180ea160c (__TEXT,__text) non-external (was a private external) __vdprintf
0000000180eaba24 (__TEXT,__text) non-external (was a private external) __vsnprintf
0000000180eb0e10 (__TEXT,__text) non-external __yconv
0000000180eb6234 (__TEXT,__text) external _a64l
0000000180ed3ba8 (__TEXT,__text) external _abort
0000000180ed3cd8 (__TEXT,__text) external _abort_report_np
0000000180eb631c (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
0000000180e6cb08 (__TEXT,__text) non-external _addToMP
0000000180e8b27c (__TEXT,__text) non-external _addcmd
0000000180e70168 (__TEXT,__text) non-external _advance_directory
0000000180ed2980 (__TEXT,__text) non-external _advance_directory.cold.1
0000000180e851dc (__TEXT,__text) external _alarm
0000000180e7c6fc (__TEXT,__text) non-external _alloc_segs
0000000180e8ab08 (__TEXT,__text) external _alphasort
0000000180ed61ee (__TEXT,__const) non-external _ambig
0000000180e852d4 (__TEXT,__text) non-external _arc4_init
0000000180ed2f08 (__TEXT,__text) non-external _arc4_init.cold.1
0000000180e85240 (__TEXT,__text) external _arc4random
0000000180e8523c (__TEXT,__text) external _arc4random_addrandom
0000000180e85284 (__TEXT,__text) external _arc4random_buf
0000000180e8531c (__TEXT,__text) external _arc4random_stir
0000000180e85320 (__TEXT,__text) external _arc4random_uniform
0000000180ec3a94 (__TEXT,__text) non-external _arrayget
0000000180eacc30 (__TEXT,__text) external _asctime
0000000180eacae4 (__TEXT,__text) external _asctime_r
0000000180ed6057 (__TEXT,__const) non-external _asctime_r.mon_name
0000000180ed6042 (__TEXT,__const) non-external _asctime_r.wday_name
0000000180e98e08 (__TEXT,__text) external _asprintf
0000000180e98e58 (__TEXT,__text) external _asprintf_l
0000000180e75940 (__TEXT,__text) external _asxprintf
0000000180e76350 (__TEXT,__text) external _asxprintf_exec
0000000180ec49d0 (__TEXT,__text) external _at_quick_exit
0000000180eb6374 (__TEXT,__text) external _atexit
0000000180eb64c8 (__TEXT,__text) external _atexit_b
00000001830086d8 (__DATA,__data) non-external _atexit_mutex
0000000180eb63a8 (__TEXT,__text) non-external _atexit_register
0000000180ed3d2c (__TEXT,__text) non-external _atexit_register.cold.1
0000000180eb6860 (__TEXT,__text) external _atof
0000000180eb6888 (__TEXT,__text) external _atof_l
0000000180eb6894 (__TEXT,__text) external _atoi
0000000180eb68d4 (__TEXT,__text) external _atoi_l
0000000180eb68f8 (__TEXT,__text) external _atol
0000000180eb6924 (__TEXT,__text) external _atol_l
0000000180eb6934 (__TEXT,__text) external _atoll
0000000180eb6960 (__TEXT,__text) external _atoll_l
0000000180e6d4d0 (__TEXT,__text) external _backtrace
0000000180e6d538 (__TEXT,__text) external _backtrace_async
0000000180e6d5b4 (__TEXT,__text) external _backtrace_from_fp
000000018302d918 (__AUTH,__data) non-external _backtrace_get_pcs_func
0000000180e6d61c (__TEXT,__text) external _backtrace_image_offsets
0000000180e6d4ac (__TEXT,__text) external _backtrace_set_pcs_func
0000000180e85444 (__TEXT,__text) external _basename
0000000183009740 (__DATA,__bss) non-external _basename.bname
0000000180e8536c (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
0000000180e73404 (__TEXT,__text) external _bcopy
0000000180e6ce30 (__TEXT,__text) non-external _bitCountMP
0000000180ed2954 (__TEXT,__text) non-external _bitCountMP.cold.1
0000000180ed5edf (__TEXT,__const) non-external _blanks
0000000180ed5fa0 (__TEXT,__const) non-external _blanks
0000000183008860 (__DATA,__data) non-external _blanks
0000000180e71478 (__TEXT,__text) non-external _both_ftw
00000001830095d8 (__DATA,__bss) non-external _brapreg
0000000180e6aa50 (__TEXT,__text) external _brk
0000000180e6aa74 (__TEXT,__text) external _bsd_signal
0000000180eb6970 (__TEXT,__text) external _bsearch
0000000180eb69f8 (__TEXT,__text) external _bsearch_b
0000000180e7b718 (__TEXT,__text) non-external _bt_broot
0000000180e7b464 (__TEXT,__text) non-external _bt_page
0000000180e7b880 (__TEXT,__text) non-external _bt_preserve
0000000180e7b8d8 (__TEXT,__text) non-external _bt_psplit
0000000180e7b380 (__TEXT,__text) non-external _bt_root
0000000180e7b618 (__TEXT,__text) non-external _bt_rroot
0000000180e8ee88 (__TEXT,__text) external _btowc
0000000180e8edcc (__TEXT,__text) external _btowc_l
000000018300b2b8 (__DATA,__bss) non-external _buf_asctime
0000000180e9e98c (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
0000000180ed4d88 (__TEXT,__const) non-external (was a private external) _cVersionNumber
0000000180ed4d60 (__TEXT,__const) non-external (was a private external) _cVersionString
0000000180e98c68 (__TEXT,__text) external _catclose
0000000180fe7a08 (__DATA_CONST,__const) non-external _categories
0000000180e98998 (__TEXT,__text) external _catgets
0000000180e982bc (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
0000000180e8c71c (__TEXT,__text) external _cfgetispeed
0000000180e8c714 (__TEXT,__text) external _cfgetospeed
0000000180e8c748 (__TEXT,__text) external _cfmakeraw
0000000180e8c730 (__TEXT,__text) external _cfsetispeed
0000000180e8c724 (__TEXT,__text) external _cfsetospeed
0000000180e8c73c (__TEXT,__text) external _cfsetspeed
0000000180e87b04 (__TEXT,__text) external _cgetcap
0000000180e88314 (__TEXT,__text) external _cgetclose
0000000180e87b90 (__TEXT,__text) external _cgetent
0000000180e882a4 (__TEXT,__text) external _cgetfirst
0000000180e8822c (__TEXT,__text) external _cgetmatch
0000000180e88360 (__TEXT,__text) external _cgetnext
0000000180e88ac8 (__TEXT,__text) external _cgetnum
0000000180e87a6c (__TEXT,__text) external _cgetset
0000000180e88724 (__TEXT,__text) external _cgetstr
0000000180e889c8 (__TEXT,__text) external _cgetustr
0000000180e8fd54 (__TEXT,__text) non-external _chainsearch
0000000180ed5cb8 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
0000000180e7040c (__TEXT,__text) non-external _check_env_var
0000000180e98e84 (__TEXT,__text) external _clearerr
0000000180e98ec8 (__TEXT,__text) external _clearerr_unlocked
0000000180e854b4 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
0000000180e6a82c (__TEXT,__text) external _clock_getres
0000000180e6a67c (__TEXT,__text) external _clock_gettime
0000000180e6a458 (__TEXT,__text) external _clock_gettime_nsec_np
00000001830143f4 (__DATA,__common) external _clock_port
00000001830143f0 (__DATA,__common) external _clock_sem
0000000180e6a8d0 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
0000000180e6fecc (__TEXT,__text) non-external _close_directory
0000000180e85524 (__TEXT,__text) external _closedir
0000000180fe7fd0 (__DATA_CONST,__const) non-external _cnames
0000000180e7db64 (__TEXT,__text) non-external _collect_data
0000000180e7dd2c (__TEXT,__text) non-external _collect_key
0000000180ed616e (__TEXT,__const) non-external _command_substitution_str
0000000180e70208 (__TEXT,__text) external _compat_mode
0000000180e6d6d8 (__TEXT,__text) external _confstr
0000000180e75e74 (__TEXT,__text) external _copy_printf_domain
0000000180ed08fc (__TEXT,__text) external _creat
0000000180e77f58 (__TEXT,__text) external _creat$NOCANCEL
0000000180e85598 (__TEXT,__text) external _ctermid
0000000183008018 (__DATA,__data) non-external _ctermid.def
0000000180e855c4 (__TEXT,__text) external _ctermid_r
0000000180eaea20 (__TEXT,__text) external _ctime
0000000180eaea54 (__TEXT,__text) external _ctime_r
0000000183008184 (__DATA,__data) non-external _current_categories
0000000180e947e4 (__TEXT,__text) non-external _currentlocale
0000000183009a00 (__DATA,__bss) non-external _currentlocale.current_locale_string
0000000183009638 (__DATA,__bss) non-external _curshell
0000000183008740 (__DATA,__data) non-external _dash_prefix
0000000183014480 (__DATA,__common) external _daylight
0000000180e7fdc4 (__TEXT,__text) external _dbm_clearerr
0000000180e7fbf4 (__TEXT,__text) external _dbm_close
0000000180e7fd38 (__TEXT,__text) external _dbm_delete
0000000180e7fdd4 (__TEXT,__text) external _dbm_dirfno
0000000180e7fdb8 (__TEXT,__text) external _dbm_error
0000000180e7fc00 (__TEXT,__text) external _dbm_fetch
0000000180e7fc4c (__TEXT,__text) external _dbm_firstkey
0000000180e7fcbc (__TEXT,__text) external _dbm_nextkey
0000000180e7fb08 (__TEXT,__text) external _dbm_open
0000000180e7fd74 (__TEXT,__text) external _dbm_store
0000000180e7c048 (__TEXT,__text) external _dbopen
00000001830097b0 (__DATA,__bss) non-external _dbp
00000001830095f8 (__DATA,__bss) non-external _decpreg
0000000180ed62e0 (__TEXT,__const) non-external _degrees
0000000180e8fad0 (__TEXT,__text) non-external _destruct_collate
0000000180ec02c4 (__TEXT,__text) non-external _destruct_ctype
0000000180e9230c (__TEXT,__text) non-external (was a private external) _destruct_ldpart
0000000180e750f8 (__TEXT,__text) non-external _destruct_locale
0000000180e6dbb4 (__TEXT,__text) external _devname
0000000183009558 (__DATA,__bss) non-external _devname.buf
0000000180e6da64 (__TEXT,__text) external _devname_r
0000000180eacc3c (__TEXT,__text) external _difftime
0000000180e7281c (__TEXT,__text) external _digittoint
0000000180e72b1c (__TEXT,__text) external _digittoint_l
0000000180e77e64 (__TEXT,__text) external _dirfd
0000000180e856ec (__TEXT,__text) external _dirname
0000000183009748 (__DATA,__bss) non-external _dirname.dname
0000000180e855e4 (__TEXT,__text) external _dirname_r
0000000180eb6a90 (__TEXT,__text) external _div
0000000183007328 (__DATA,__data) non-external _dktypenames
0000000180e8e060 (__TEXT,__text) non-external _do_hvis
0000000180e8e198 (__TEXT,__text) non-external _do_mvis
0000000180e8e340 (__TEXT,__text) non-external _do_svis
0000000180e98ed8 (__TEXT,__text) external _dprintf
0000000180e98f28 (__TEXT,__text) external _dprintf_l
0000000180e8575c (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
0000000180e74598 (__TEXT,__text) external _duplocale
0000000180e7597c (__TEXT,__text) external _dxprintf
0000000180e76390 (__TEXT,__text) external _dxprintf_exec
0000000180ebed64 (__TEXT,__text) external _ecvt
0000000183009818 (__DATA,__bss) non-external _empty
0000000183009828 (__DATA,__bss) non-external _empty
0000000183008788 (__DATA,__data) non-external _end_ptr
0000000180e70d38 (__TEXT,__text) external _endttyent
0000000180e710a4 (__TEXT,__text) external _endusershell
0000000180eb6bac (__TEXT,__text) external _environ_lock_np
00000001830096d0 (__DATA,__bss) non-external _environ_pointer
0000000180eb6bbc (__TEXT,__text) external _environ_unlock_np
0000000180eabe60 (__TEXT,__text) non-external _eofread
0000000180eac290 (__TEXT,__text) non-external _eofread
0000000180e857e0 (__TEXT,__text) external _erand48
0000000180ed3040 (__TEXT,__text) external _err
0000000180e859c0 (__TEXT,__text) external _err_set_exit
0000000180e85a18 (__TEXT,__text) external _err_set_exit_b
0000000180e859a0 (__TEXT,__text) external _err_set_file
0000000180ed31ac (__TEXT,__text) external _errc
0000000180ed31cc (__TEXT,__text) external _errx
0000000180ed5770 (__TEXT,__const) non-external _escape
0000000180e85a74 (__TEXT,__text) external _execl
0000000180e85b54 (__TEXT,__text) external _execle
0000000180e85c3c (__TEXT,__text) external _execlp
0000000180e85d7c (__TEXT,__text) external _execv
0000000180e85db8 (__TEXT,__text) external _execvP
0000000180e85e04 (__TEXT,__text) non-external _execvPe
0000000180ed5870 (__TEXT,__const) non-external _execvPe_err_preamble
0000000180ed5879 (__TEXT,__const) non-external _execvPe_err_trailer
                 (undefined) external _execve (from libsystem_kernel)
0000000180e85d18 (__TEXT,__text) external _execvp
0000000180eb6ac0 (__TEXT,__text) external _exit
0000000180e752c4 (__TEXT,__text) non-external _extract_next_subsystem_root_path
0000000180e9a394 (__TEXT,__text) external _f_prealloc
0000000180e6b494 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
0000000180e98f54 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
0000000180ebef50 (__TEXT,__text) external _fcvt
0000000180e990cc (__TEXT,__text) external _fdopen
0000000180ed14b8 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
0000000180e899fc (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
0000000180e99254 (__TEXT,__text) external _feof
0000000180e9928c (__TEXT,__text) external _feof_unlocked
0000000180e99298 (__TEXT,__text) external _ferror
0000000180e992d0 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
0000000180e7fa68 (__TEXT,__text) non-external _fetch_bitmap
0000000180e71a34 (__TEXT,__text) external _fflagstostr
0000000180e992dc (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
0000000180e9957c (__TEXT,__text) external _fgetc
0000000180e99664 (__TEXT,__text) external _fgetln
0000000180e99810 (__TEXT,__text) external _fgetpos
0000000180e99840 (__TEXT,__text) external _fgets
0000000180e99a1c (__TEXT,__text) external _fgetwc
0000000180e99ba8 (__TEXT,__text) external _fgetwc_l
0000000180e99d04 (__TEXT,__text) external _fgetwln
0000000180e99c2c (__TEXT,__text) external _fgetwln_l
0000000180e99ef8 (__TEXT,__text) external _fgetws
0000000180e99d28 (__TEXT,__text) external _fgetws_l
0000000183008528 (__DATA,__data) non-external _filelist_lock
0000000180e99f1c (__TEXT,__text) external _fileno
0000000180e99f50 (__TEXT,__text) external _fileno_unlocked
0000000180e9d148 (__TEXT,__text) non-external _find_temp_path
0000000180eb27a4 (__TEXT,__text) non-external _first_wday_of
0000000180e98d44 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
0000000180e7cf50 (__TEXT,__text) non-external _flush_meta
0000000180eb52f4 (__TEXT,__text) external _fmemopen
0000000180eb5660 (__TEXT,__text) non-external _fmemopen_close
0000000180eb54f0 (__TEXT,__text) non-external _fmemopen_read
0000000180eb55d8 (__TEXT,__text) non-external _fmemopen_seek
0000000180eb554c (__TEXT,__text) non-external _fmemopen_write
0000000180fe7b80 (__DATA_CONST,__const) non-external _fmt_padding
