00007ffb42a5a2c0 (__DATA,__bss) non-external _A
00007ffb1c2ea41e (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffb1c2ea432 (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffb1c2ea3c5 (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffb1c2ea3ce (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffb1c2ea47e (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffb1c2ea48b (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffb1c2ea3bb (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffb1c2ea414 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffb1c2ea459 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffb1c2ea466 (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffb1c2ea3e2 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffb1c2ea428 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffb1c2df354 (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffb1c2def10 (__TEXT,__text) external _cmark_utf8proc_check
00007ffb1c2df254 (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffb1c301437 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffb1c2e6d9e (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffb1c2e6d44 (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffb1c2df0ed (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffb1c2e8750 (__TEXT,__text) external _cmark_version
00007ffb1c2e875b (__TEXT,__text) external _cmark_version_string
00007ffb1c2e9b2a (__TEXT,__text) non-external _commonmark_render
00007ffb1c2ec30b (__TEXT,__text) non-external _commonmark_render
00007ffb1c300141 (__TEXT,__text) non-external _commonmark_render
00007ffb1c301e3b (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffb1c30012c (__TEXT,__text) non-external _contains_inlines
00007ffb1c2f6a6a (__TEXT,__text) non-external _core_extensions_registration
00007ffb1c2ea4a5 (__TEXT,__text) external _create_autolink_extension
00007ffb1c2ec1e8 (__TEXT,__text) external _create_strikethrough_extension
00007ffb1c2ff7e8 (__TEXT,__text) external _create_table_extension
00007ffb1c30132f (__TEXT,__text) external _create_tagfilter_extension
00007ffb1c2e996f (__TEXT,__text) external _create_tasklist_extension
00007ffb1c302100 (__TEXT,__const) non-external _encode_unknown.repl
00007ffb1c300bba (__TEXT,__text) non-external _escape
00007ffb42a5a130 (__DATA,__bss) non-external _extensions_lock
00007ffb42a59fe0 (__DATA,__data) non-external _extensions_once
00007ffb1c30135d (__TEXT,__text) non-external _filter
00007ffb1c2f929f (__TEXT,__text) non-external _finalize
00007ffb1c301741 (__TEXT,__text) non-external _finalize.cold.1
00007ffb1c301764 (__TEXT,__text) non-external _finalize.cold.2
00007ffb1c2f6a05 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffb1c2f9b04 (__TEXT,__text) non-external _free_node_as
00007ffb1c300fb0 (__TEXT,__text) non-external _free_table_cell
                 (undefined) external _fwrite (from libSystem)
00007ffb1c2e9a65 (__TEXT,__text) non-external _get_type_string
00007ffb1c2ec2ca (__TEXT,__text) non-external _get_type_string
00007ffb1c300067 (__TEXT,__text) non-external _get_type_string
00007ffb1c2fec3c (__TEXT,__text) external _houdini_escape_href
00007ffb1c304810 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffb1c2e873b (__TEXT,__text) external _houdini_escape_html
00007ffb1c2e862c (__TEXT,__text) external _houdini_escape_html0
00007ffb1c2fed5b (__TEXT,__text) external _houdini_unescape_ent
00007ffb1c2feffd (__TEXT,__text) external _houdini_unescape_html
00007ffb1c2ff12d (__TEXT,__text) external _houdini_unescape_html_f
00007ffb1c2e9b97 (__TEXT,__text) non-external _html_render
00007ffb1c2ec3ad (__TEXT,__text) non-external _html_render
00007ffb1c30063d (__TEXT,__text) non-external _html_render
00007ffb1c301ea4 (__TEXT,__text) non-external _html_render.cold.1
00007ffb1c300fd9 (__TEXT,__text) non-external _html_table_add_align
00007ffb1c3012e6 (__TEXT,__text) non-external _init_arena
00007ffb1c3012d3 (__TEXT,__text) non-external _initialize_arena
00007ffb1c2eb2a4 (__TEXT,__text) non-external _initialize_extensions
00007ffb1c2ec52a (__TEXT,__text) non-external _insert
00007ffb1c2eac30 (__TEXT,__text) non-external _is_valid_hostchar
00007ffb1c2ec32b (__TEXT,__text) non-external _latex_render
00007ffb1c3002b8 (__TEXT,__text) non-external _latex_render
00007ffb1c301e5e (__TEXT,__text) non-external _latex_render.cold.1
00007ffb1c2fda69 (__TEXT,__text) non-external _link_label
00007ffb1c301ba3 (__TEXT,__text) non-external _link_label.cold.1
00007ffb1c301bc6 (__TEXT,__text) non-external _link_label.cold.2
00007ffb1c301be9 (__TEXT,__text) non-external _link_label.cold.3
00007ffb1c301c0c (__TEXT,__text) non-external _link_label.cold.4
00007ffb1c301c2f (__TEXT,__text) non-external _link_label.cold.5
00007ffb1c2fe437 (__TEXT,__text) non-external _make_autolink
00007ffb1c301df4 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
00007ffb1c2ec35a (__TEXT,__text) non-external _man_render
00007ffb1c3004dc (__TEXT,__text) non-external _man_render
00007ffb1c301e81 (__TEXT,__text) non-external _man_render.cold.1
00007ffb1c2fdceb (__TEXT,__text) non-external _manual_scan_link_url
00007ffb1c2ea513 (__TEXT,__text) non-external _match
00007ffb1c2ec3ef (__TEXT,__text) non-external _match
00007ffb1c2e9a04 (__TEXT,__text) non-external _matches
00007ffb1c2ff8fe (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffb1c2f6acf (__TEXT,__text) external _normalize_map_label
00007ffb1c30159c (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffb1c300b2c (__TEXT,__text) non-external _opaque_alloc
00007ffb1c300b75 (__TEXT,__text) non-external _opaque_free
00007ffb1c2e9a72 (__TEXT,__text) non-external _open_tasklist_item
00007ffb1c2e755c (__TEXT,__text) non-external _outc
00007ffb1c2ecb12 (__TEXT,__text) non-external _outc
00007ffb1c2ff1c4 (__TEXT,__text) non-external _outc
00007ffb1c2ec3cf (__TEXT,__text) non-external _plaintext_render
00007ffb1c2ea946 (__TEXT,__text) non-external _postprocess
00007ffb1c2eac69 (__TEXT,__text) non-external _postprocess_text
00007ffb1c2fd1e0 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffb1c2f6d00 (__TEXT,__text) non-external _refcmp
00007ffb1c2f7453 (__TEXT,__text) non-external _reference_free
00007ffb1c2f6c84 (__TEXT,__text) non-external _refsearch
00007ffb1c2f6a59 (__TEXT,__text) non-external _register_plugins
00007ffb42a59ff0 (__DATA,__data) non-external _registered_once
00007ffb1c2fd75b (__TEXT,__text) non-external _remove_delimiter
00007ffb1c301a8b (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffb1c2f963c (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffb1c300cf2 (__TEXT,__text) non-external _row_from_string
00007ffb42a51a10 (__DATA,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffb1c2f9791 (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffb1c2fdc25 (__TEXT,__text) non-external _spnl
00007ffb1c301c50 (__TEXT,__text) non-external _spnl.cold.1
00007ffb1c301c73 (__TEXT,__text) non-external _spnl.cold.2
00007ffb1c301c96 (__TEXT,__text) non-external _spnl.cold.3
00007ffb1c301cb9 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffb42a5a170 (__DATA,__bss) non-external _syntax_extensions
00007ffb1c2ff991 (__TEXT,__text) non-external _try_opening_table_block
00007ffb1c300f17 (__TEXT,__text) non-external _unescape_pipes
00007ffb1c302000 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffb1c2e8768 (__TEXT,__text) non-external _xcalloc
00007ffb1c30147f (__TEXT,__text) non-external _xcalloc.cold.1
00007ffb1c2e8792 (__TEXT,__text) non-external _xfree
00007ffb1c2e9cee (__TEXT,__text) non-external _xml_attr
00007ffb1c30043c (__TEXT,__text) non-external _xml_attr
00007ffb1c2e877d (__TEXT,__text) non-external _xrealloc
00007ffb1c3014a4 (__TEXT,__text) non-external _xrealloc.cold.1
