00000001f40d76a0 (__TEXT,__text) non-external +[AAFPromise all:]
00000002075a8818 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFKeychainItemDescriptor
00000002075a8788 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFKeychainManager
00000002075a8ae8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFPromise
00000002075a88a8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFService
00000002075a8938 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFXPCSession
00000002075a8a58 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AAFXPCSessionConfig
00000002075a8668 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_AFUtilities
0000000201dcfec8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
0000000201dcfed0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSXPCListenerDelegate
00000002075a8980 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFCertificateTrustValidator
00000002075a86b0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFKeychainItem
00000002075a87d0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFKeychainItemDescriptor
00000002075a8740 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFKeychainManager
00000002075a8aa0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFPromise
00000002075a8860 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFService
00000002075a88f0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFXPCSession
00000002075a8a10 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AAFXPCSessionConfig
00000002075a8620 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_AFUtilities
00000002053aaf18 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000002053aaf78 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSXPCListenerDelegate
                 (undefined) external __Unwind_Resume (from libSystem)
00000001f40d7784 (__TEXT,__text) non-external ___18+[AAFPromise all:]_block_invoke
00000001f40d7b64 (__TEXT,__text) non-external ___18+[AAFPromise all:]_block_invoke.62
00000001f40d79f0 (__TEXT,__text) non-external ___18+[AAFPromise all:]_block_invoke_2
00000001f40d7ac0 (__TEXT,__text) non-external ___18+[AAFPromise all:]_block_invoke_3
00000001f40d7c3c (__TEXT,__text) non-external ___18-[AAFPromise then]_block_invoke
00000001f40d7d5c (__TEXT,__text) non-external ___19-[AAFPromise catch]_block_invoke
00000001f40d701c (__TEXT,__text) non-external ___19-[AAFPromise then:]_block_invoke
00000001f40d7418 (__TEXT,__text) non-external ___20-[AAFPromise catch:]_block_invoke
00000001f40d6600 (__TEXT,__text) non-external ___21-[AAFPromise _chain:]_block_invoke
00000001f40d66cc (__TEXT,__text) non-external ___21-[AAFPromise _chain:]_block_invoke_2
00000001f40d4a40 (__TEXT,__text) non-external ___23-[AAFXPCSession resume]_block_invoke
00000001f40d4b1c (__TEXT,__text) non-external ___24-[AAFXPCSession suspend]_block_invoke
00000001f40d6c68 (__TEXT,__text) non-external ___25-[AAFPromise onComplete:]_block_invoke
00000001f40d7ccc (__TEXT,__text) non-external ___25-[AAFPromise thenOnQueue]_block_invoke
00000001f40d7dec (__TEXT,__text) non-external ___26-[AAFPromise catchOnQueue]_block_invoke
00000001f40d71b0 (__TEXT,__text) non-external ___27-[AAFPromise then:onQueue:]_block_invoke
00000001f40d72a0 (__TEXT,__text) non-external ___27-[AAFPromise then:onQueue:]_block_invoke_2
00000001f40d5140 (__TEXT,__text) non-external ___27-[AAFXPCSession connection]_block_invoke
00000001f40d52d0 (__TEXT,__text) non-external ___27-[AAFXPCSession connection]_block_invoke.57
00000001f40d81bc (__TEXT,__text) non-external ___27-[AAFXPCSession connection]_block_invoke.57.cold.1
00000001f40d8160 (__TEXT,__text) non-external ___27-[AAFXPCSession connection]_block_invoke.cold.1
00000001f40d544c (__TEXT,__text) non-external ___27-[AAFXPCSession connection]_block_invoke_2
00000001f40d4be8 (__TEXT,__text) non-external ___27-[AAFXPCSession invalidate]_block_invoke
00000001f40d759c (__TEXT,__text) non-external ___28-[AAFPromise catch:onQueue:]_block_invoke
00000001f40d768c (__TEXT,__text) non-external ___28-[AAFPromise catch:onQueue:]_block_invoke_2
00000001f40d607c (__TEXT,__text) non-external ___28-[AAFPromise initWithError:]_block_invoke
00000001f40d5fa8 (__TEXT,__text) non-external ___28-[AAFPromise initWithValue:]_block_invoke
00000001f40d1ef4 (__TEXT,__text) non-external ___30+[AFUtilities isInternalBuild]_block_invoke
00000001f40d6198 (__TEXT,__text) non-external ___30-[AAFPromise _startWithBlock:]_block_invoke
00000001f40d6dfc (__TEXT,__text) non-external ___33-[AAFPromise onComplete:onQueue:]_block_invoke
00000001f40d6ee8 (__TEXT,__text) non-external ___33-[AAFPromise onComplete:onQueue:]_block_invoke_2
00000001f40d691c (__TEXT,__text) non-external ___34-[AAFPromise _placeBlock:onQueue:]_block_invoke
00000001f40d69e0 (__TEXT,__text) non-external ___34-[AAFPromise _placeBlock:onQueue:]_block_invoke_2
00000001f40d48cc (__TEXT,__text) non-external ___35-[AAFXPCSession remoteServiceProxy]_block_invoke
00000001f40d80a8 (__TEXT,__text) non-external ___35-[AAFXPCSession remoteServiceProxy]_block_invoke.cold.1
00000001f40d630c (__TEXT,__text) non-external ___39-[AAFPromise _completeWithValue:error:]_block_invoke
00000001f40d4958 (__TEXT,__text) non-external ___39-[AAFXPCSession syncRemoteServiceProxy]_block_invoke
00000001f40d8104 (__TEXT,__text) non-external ___39-[AAFXPCSession syncRemoteServiceProxy]_block_invoke.cold.1
00000001f40d23a4 (__TEXT,__text) non-external ___44-[AAFKeychainManager addKeychainItem:error:]_block_invoke
00000001f40d271c (__TEXT,__text) non-external ___47-[AAFKeychainManager updateKeychainItem:error:]_block_invoke
00000001f40d25ac (__TEXT,__text) non-external ___52-[AAFKeychainManager addOrUpdateKeychainItem:error:]_block_invoke
00000001f40d292c (__TEXT,__text) non-external ___54-[AAFKeychainManager keychainItemForDescriptor:error:]_block_invoke
00000001f40d2bec (__TEXT,__text) non-external ___55-[AAFKeychainManager keychainItemsForDescriptor:error:]_block_invoke
00000001f40d2d84 (__TEXT,__text) non-external ___61-[AAFKeychainManager deleteKeychainItemsForDescriptor:error:]_block_invoke
00000001f40d238c (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001f40d239c (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001f40d5628 (__TEXT,__text) non-external ____AAFLogSystem_block_invoke
0000000201dcfe50 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSError"8l
0000000201dcfe30 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000002075a8278 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e20_24?08"NSError"16l
00000002075a8098 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e25_v16?0?<v?"NSError">8l
00000002075a8398 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e27_"AAFPromise"16?0?<?>8l
00000002075a83f8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e36_"AAFPromise"16?0?<?"NSError">8l
00000002075a83c8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e52_"AAFPromise"24?0"NSObject<OS_dispatch_queue>"816l
00000002075a7fe8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
00000002075a80c8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e20_v24?08"NSError"16l
00000002075a82a8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40s_e5_8?0l
00000002075a8368 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40s_e5_v8?0l
00000002075a8248 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e20_v24?08"NSError"16l
00000002075a8158 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e25_v16?0?<v?"NSError">8l
00000002075a81e8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e5_v8?0l
00000002075a8018 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32w40w_e5_v8?0l
00000002075a8128 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32bs40s48bs_e20_v24?08"NSError"16l
00000002075a8338 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32bs40s48s_e27_v32?0"AAFPromise"8Q16^B24l
00000002075a8218 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32bs40s48s_e5_v8?0l
00000002075a8188 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e5_v8?0l
00000002075a82d8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48s_e8_16?08l
00000002075a81b8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e25_v16?0?<v?"NSError">8l
00000002075a7f48 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48r_e5_v8?0l
00000002075a80f8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e5_v8?0l
00000002075a8048 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40w48w_e5_v8?0l
00000002075a8308 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32bs40s48s_e20_v24?08"NSError"16l
00000002075a7f78 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48r56r_e5_v8?0l
00000002075a7f28 (__AUTH_CONST,__const) non-external ___block_literal_global
00000002075a7fa8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000002075a8078 (__AUTH_CONST,__const) non-external ___block_literal_global
00000002075a7fc8 (__AUTH_CONST,__const) non-external ___block_literal_global.5
00000001f40d70a0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00000001f40d72b4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40s
00000001f40d6730 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40s48b
00000001f40d6f00 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40s48s
00000001f40d4a98 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00000001f40d6788 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00000001f40d6a50 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b
00000001f40d72f8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48s
00000001f40d6aa8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00000001f40d2400 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48r
00000001f40d29b0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48r56r
00000001f40d6484 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00000001f40d545c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40w48w
00000001f40d6220 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00000001f40d524c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w40w
00000001f40d4aa0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00000001f40d67d0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00000001f40d2450 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48r
00000001f40d2a10 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48r56r
00000001f40d64c8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00000001f40d54ac (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40w48w
00000001f40d622c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
00000001f40d5294 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w40w
                 (undefined) external ___kCFBooleanFalse (from CoreFoundation)
                 (undefined) external ___kCFBooleanTrue (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external _dispatch_assert_queue$V2 (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_group_create (from libSystem)
                 (undefined) external _dispatch_group_enter (from libSystem)
                 (undefined) external _dispatch_group_leave (from libSystem)
                 (undefined) external _dispatch_group_notify (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
00000002053aafd8 (__DATA,__bss) non-external _isInternalBuild.isInternalBuild
00000002053aafe0 (__DATA,__bss) non-external _isInternalBuild.onceToken
0000000201dcfe70 (__DATA_CONST,__const) external _kAAFDisableCertPinningKey
0000000201dcfe78 (__DATA_CONST,__const) external _kAAFInternalSettingsDomain
                 (undefined) external _kCFBundleIdentifierKey (from CoreFoundation)
                 (undefined) external _kCFBundleVersionKey (from CoreFoundation)
                 (undefined) external _kSecAttrAccessGroup (from Security)
                 (undefined) external _kSecAttrAccessible (from Security)
                 (undefined) external _kSecAttrAccessibleAfterFirstUnlock (from Security)
                 (undefined) external _kSecAttrAccessibleAfterFirstUnlockThisDeviceOnly (from Security)
                 (undefined) external _kSecAttrAccessibleWhenPasscodeSetThisDeviceOnly (from Security)
                 (undefined) external _kSecAttrAccessibleWhenUnlocked (from Security)
                 (undefined) external _kSecAttrAccessibleWhenUnlockedThisDeviceOnly (from Security)
                 (undefined) external _kSecAttrAccount (from Security)
                 (undefined) external _kSecAttrIsInvisible (from Security)
                 (undefined) external _kSecAttrLabel (from Security)
                 (undefined) external _kSecAttrSecurityDomain (from Security)
                 (undefined) external _kSecAttrServer (from Security)
                 (undefined) external _kSecAttrService (from Security)
                 (undefined) external _kSecAttrSynchronizable (from Security)
                 (undefined) external _kSecClass (from Security)
                 (undefined) external _kSecClassGenericPassword (from Security)
                 (undefined) external _kSecClassIdentity (from Security)
                 (undefined) external _kSecClassInternetPassword (from Security)
                 (undefined) external _kSecClassKey (from Security)
                 (undefined) external _kSecMatchLimit (from Security)
                 (undefined) external _kSecMatchLimitAll (from Security)
                 (undefined) external _kSecMatchLimitOne (from Security)
                 (undefined) external _kSecReturnAttributes (from Security)
                 (undefined) external _kSecReturnData (from Security)
                 (undefined) external _kSecUseDataProtectionKeychain (from Security)
                 (undefined) external _kSecValueData (from Security)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_variant_has_internal_ui (from libSystem)
                 (undefined) external _proc_pidpath (from libSystem)
