000000018c0466e4 (__TEXT,__text) non-external _Annihilate
000000018c051168 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
000000018c060204 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
000000018c05ef78 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
000000018c060274 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
000000018c05d620 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
000000018c060238 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
000000018c05ee68 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
000000018c06027c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
000000018c05d4c8 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
000000018c05a0cc (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
000000018c060178 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
000000018c053060 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
000000018c0601ac (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
000000018c0601e8 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
000000018c053040 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
000000018c0e1310 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
000000018c05d534 (__TEXT,__text) non-external _lzbitmap_init_encode_state
000000018c0e0b10 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
000000018c05d774 (__TEXT,__text) non-external _lzbitmap_process_block
000000018c060298 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
000000018c0e2310 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
000000018c0e0310 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
000000018c0846cc (__TEXT,__text) non-external _lzfseBackendMatch
000000018c036418 (__TEXT,__text) non-external (was a private external) _lzfseDecode
000000018c03994c (__TEXT,__text) non-external _lzfseDecodeV1
000000018c0843d0 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
000000018c08472c (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
000000018c084230 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
000000018c084288 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
000000018c084ae0 (__TEXT,__text) non-external _lzfseEncodeMatches
000000018c084258 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
000000018c084350 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
000000018c0847dc (__TEXT,__text) non-external _lzfsePushMatch
000000018c036144 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
000000018c03606c (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
000000018c05a0c0 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
000000018c074f84 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
000000018c074eec (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
000000018c074ecc (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
000000018c037788 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
000000018c05647c (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
000000018c056244 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
000000018c056474 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
000000018c053ff0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
000000018c050ec0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
000000018c057078 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00000001dd8ef0d8 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
000000018c037470 (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
000000018c0672e4 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
000000018c0672a4 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
000000018c0a7388 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
000000018c0a73a8 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
000000018c03738c (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
000000018c0545a0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
000000018c05459c (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
000000018c054570 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
000000018c05450c (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
000000018c036040 (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
000000018c036120 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
000000018c05edb4 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
000000018c05edac (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
000000018c05ee18 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
000000018c05ee10 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
000000018c036008 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
000000018c086af8 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
000000018c0e53c8 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
000000018c035eb0 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
000000018c035f54 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
000000018c036f4c (__TEXT,__text) non-external (was a private external) _lzvnDecode
00000001dd8ee8d8 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
000000018c05f4f4 (__TEXT,__text) non-external (was a private external) _lzvnEncode
000000018c05f494 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
000000018c047364 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
000000018c0472c8 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
000000018c0472bc (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
000000018c04b084 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
000000018c04afb0 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
000000018c04af90 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
000000018c037840 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
000000018c03782c (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
000000018c05ff18 (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
000000018c05ff60 (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
000000018c05ff04 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
000000018c05ed0c (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
000000018c05eda8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
000000018c05eda4 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
000000018c05ed78 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
000000018c05ed3c (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
000000018c05ecbc (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
000000018c05ece8 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
000000018c06699c (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
000000018c066990 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
000000018c07f0fc (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
000000018c040f30 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
000000018c040950 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
000000018c040b28 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
000000018c040c3c (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
000000018c05a788 (__TEXT,__text) non-external (was a private external) _parse_size
000000018c0db774 (__TEXT,__const) non-external _position_slot_base_position
000000018c0db6fc (__TEXT,__const) non-external _position_slot_extra_bits
000000018c03518c (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018c080818 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
000000018c0389f0 (__TEXT,__text) non-external _readHuffmanTable
000000018c05a6b8 (__TEXT,__text) non-external (was a private external) _read_expected
000000018c0328b0 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
000000018c0352a0 (__TEXT,__text) non-external _scan_tree
000000018c035398 (__TEXT,__text) non-external _send_tree
                 (undefined) external _stat (from libSystem)
000000018c06659c (__TEXT,__text) non-external _staticHuffmanTable
00000001d8d62c60 (__DATA,__data) non-external _static_bl_desc
00000001d8d62c40 (__DATA,__data) non-external _static_d_desc
000000018c0e3a98 (__TEXT,__const) non-external _static_dtree
00000001d8d62c20 (__DATA,__data) non-external _static_l_desc
000000018c0e3618 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001d8d62c00 (__DATA,__data) non-external (was a private external) _tc_quant16
000000018c046fcc (__TEXT,__text) non-external (was a private external) _thread_pool_create
000000018c0471f8 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
000000018c0470fc (__TEXT,__text) non-external _thread_pool_entry
000000018c046e1c (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
000000018c046f24 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
                 (undefined) external _write (from libSystem)
000000018c05a720 (__TEXT,__text) non-external (was a private external) _write_expected
000000018c0753e4 (__TEXT,__text) external _yzip_codec_create
000000018c075420 (__TEXT,__text) external _yzip_codec_destroy
000000018c075464 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
000000018c057450 (__TEXT,__text) external _yzip_image_create
000000018c0575d0 (__TEXT,__text) external _yzip_image_create_with_payload
000000018c057948 (__TEXT,__text) external _yzip_image_decode
000000018c05771c (__TEXT,__text) external _yzip_image_destroy
000000018c057720 (__TEXT,__text) external _yzip_image_encode
000000018c057a68 (__TEXT,__text) external _yzip_image_get_descriptor
000000018c057b20 (__TEXT,__text) external _yzip_image_get_max_payload_size
000000018c057ad4 (__TEXT,__text) external _yzip_image_get_plane_descriptor
000000018c057ba0 (__TEXT,__text) external _yzip_image_set_data
000000018c057ce4 (__TEXT,__text) external _yzip_image_set_identifier
000000018c057c5c (__TEXT,__text) external _yzip_image_set_plane_data
000000018c0524c8 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
000000018c0523b4 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
000000018c0521ac (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
000000018c052fbc (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
000000018c0529a4 (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
000000018c052ee0 (__TEXT,__text) non-external _yzip_jobs_process
000000018c05213c (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
000000018c0802fc (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
000000018c07f3f8 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
000000018c07faec (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
000000018c03a5b8 (__TEXT,__text) non-external (was a private external) _zError
00000001d431dcc8 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
000000018c032bc8 (__TEXT,__text) non-external (was a private external) _zcalloc
000000018c035dfc (__TEXT,__text) non-external (was a private external) _zcfree
000000018c039b20 (__TEXT,__text) external _zero_coder_decode
000000018c039c28 (__TEXT,__text) external _zero_coder_encode
000000018c039d64 (__TEXT,__text) non-external _zero_coder_init_luts
00000001d8d63100 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00000001d8d63200 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00000001d8d63a00 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00000001d8d63000 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
000000018c03a5b0 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
000000018c037de0 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
000000018c038378 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
000000018c0db5ac (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
000000018c0db570 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
000000018c03a5a4 (__TEXT,__text) non-external (was a private external) _zlibVersion
000000018c0663c4 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
000000018c0663b8 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
000000018c0475b8 (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
000000018c0475ac (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
000000018c060174 (__TEXT,__text) non-external (was a private external) _zlib_free
000000018c060148 (__TEXT,__text) non-external (was a private external) _zlib_malloc
000000018c035e80 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
000000018c066968 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
000000018c066960 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
000000018c066974 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
000000018c066958 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
000000018c032800 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
000000018c032fe8 (__TEXT,__text) non-external (was a private external) _zlib_stream_process
000000018c086ad0 (__TEXT,__text) non-external vec_table
