000000021b0c1820 (__DATA,__bss) non-external _A
000000020c4ecbd4 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
000000020c4ecc0c (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
000000020c4ecc1c (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
000000020c4ecbc4 (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
000000020c4ecbcc (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
000000020c4ecc50 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
000000020c4ecc58 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
000000020c4ecbbc (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
000000020c4ecc04 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
000000020c4ecc34 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
000000020c4ecc3c (__TEXT,__text) external _cmark_syntax_extension_set_private
000000020c4ecbdc (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
000000020c4ecc14 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
000000020c4fa970 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
000000020c4e2e8c (__TEXT,__text) external _cmark_utf8proc_case_fold
000000020c4e2a00 (__TEXT,__text) external _cmark_utf8proc_check
000000020c4e2d54 (__TEXT,__text) external _cmark_utf8proc_encode_char
000000020c506e64 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
000000020c4e8fd8 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
000000020c4e8f5c (__TEXT,__text) external _cmark_utf8proc_is_space
000000020c4e2c20 (__TEXT,__text) external _cmark_utf8proc_iterate
000000020c4eacc4 (__TEXT,__text) external _cmark_version
000000020c4eaccc (__TEXT,__text) external _cmark_version_string
000000020c4ec14c (__TEXT,__text) non-external _commonmark_render
000000020c4eee18 (__TEXT,__text) non-external _commonmark_render
000000020c505138 (__TEXT,__text) non-external _commonmark_render
000000020c507b10 (__TEXT,__text) non-external _commonmark_render.cold.1
000000020c505120 (__TEXT,__text) non-external _contains_inlines
000000020c4fa9d8 (__TEXT,__text) non-external _core_extensions_registration
000000020c4ecc68 (__TEXT,__text) non-external (was a private external) _create_autolink_extension
000000020c4eec94 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
000000020c504604 (__TEXT,__text) non-external (was a private external) _create_table_extension
000000020c506d2c (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
000000020c4ebee8 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
000000020c507f10 (__TEXT,__const) non-external _encode_unknown.repl
000000020c506130 (__TEXT,__text) non-external _escape
000000021b0c1650 (__DATA,__bss) non-external _extensions_lock
000000021b0c1508 (__DATA,__data) non-external _extensions_once
000000020c506d70 (__TEXT,__text) non-external _filter
000000020c4fd7d8 (__TEXT,__text) non-external _finalize
000000020c507294 (__TEXT,__text) non-external _finalize.cold.1
000000020c5072c0 (__TEXT,__text) non-external _finalize.cold.2
000000020c4fa914 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
000000020c4fe16c (__TEXT,__text) non-external _free_node_as
000000020c506860 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
000000020c4f0360 (__TEXT,__text) non-external _get_link_type
000000020c4ec058 (__TEXT,__text) non-external _get_type_string
000000020c4eedd0 (__TEXT,__text) non-external _get_type_string
000000020c505010 (__TEXT,__text) non-external _get_type_string
000000020c503928 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
000000020c50aaae (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
000000020c4eaca4 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
000000020c4eab68 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
000000020c503a94 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
000000020c503d5c (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
000000020c503e98 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
000000020c4ec208 (__TEXT,__text) non-external _html_render
000000020c4eef18 (__TEXT,__text) non-external _html_render
000000020c5059bc (__TEXT,__text) non-external _html_render
000000020c507b94 (__TEXT,__text) non-external _html_render.cold.1
000000020c5068e4 (__TEXT,__text) non-external _html_table_add_align
000000020c506cbc (__TEXT,__text) non-external _init_arena
000000020c506cac (__TEXT,__text) non-external _initialize_arena
000000020c4edca0 (__TEXT,__text) non-external _initialize_extensions
000000020c4ff6f0 (__TEXT,__text) non-external _initialize_nextflag
000000020c4ef080 (__TEXT,__text) non-external _insert
000000020c4ed938 (__TEXT,__text) non-external _is_valid_hostchar
000000020c4eee3c (__TEXT,__text) non-external _latex_render
000000020c5053f8 (__TEXT,__text) non-external _latex_render
000000020c507b3c (__TEXT,__text) non-external _latex_render.cold.1
000000020c5024bc (__TEXT,__text) non-external _link_label
000000020c50780c (__TEXT,__text) non-external _link_label.cold.1
000000020c507834 (__TEXT,__text) non-external _link_label.cold.2
000000020c50785c (__TEXT,__text) non-external _link_label.cold.3
000000020c507884 (__TEXT,__text) non-external _link_label.cold.4
000000020c5078ac (__TEXT,__text) non-external _link_label.cold.5
000000020c50313c (__TEXT,__text) non-external _make_autolink
000000020c507ab8 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
000000020c4eee70 (__TEXT,__text) non-external _man_render
000000020c505790 (__TEXT,__text) non-external _man_render
000000020c507b68 (__TEXT,__text) non-external _man_render.cold.1
000000020c5027c0 (__TEXT,__text) non-external _manual_scan_link_url
000000020c4eccf4 (__TEXT,__text) non-external _match
000000020c4eef5c (__TEXT,__text) non-external _match
000000020c4ebfcc (__TEXT,__text) non-external _matches
000000020c5047b8 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000021b0c1698 (__DATA,__bss) non-external _nextflag_lock
000000021b0c1528 (__DATA,__data) non-external _nextflag_once
000000020c4faa4c (__TEXT,__text) non-external (was a private external) _normalize_map_label
000000020c50707c (__TEXT,__text) non-external _normalize_map_label.cold.1
000000020c506020 (__TEXT,__text) non-external _opaque_alloc
000000020c50609c (__TEXT,__text) non-external _opaque_free
000000020c4ec064 (__TEXT,__text) non-external _open_tasklist_item
000000020c4e998c (__TEXT,__text) non-external _outc
000000020c4ef730 (__TEXT,__text) non-external _outc
000000020c503f78 (__TEXT,__text) non-external _outc
000000020c4eef38 (__TEXT,__text) non-external _plaintext_render
000000020c4ed108 (__TEXT,__text) non-external _postprocess
000000020c506fa0 (__TEXT,__text) non-external _postprocess.cold.1
000000020c506fcc (__TEXT,__text) non-external _postprocess.cold.2
000000020c501b10 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
000000020c50304c (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000020c4fad08 (__TEXT,__text) non-external _refcmp
000000020c4fb66c (__TEXT,__text) non-external _reference_free
000000020c4fac48 (__TEXT,__text) non-external _refsearch
000000020c4fa9c4 (__TEXT,__text) non-external _register_plugins
000000021b0c1518 (__DATA,__data) non-external _registered_once
000000020c5020ec (__TEXT,__text) non-external _remove_delimiter
000000020c5076c8 (__TEXT,__text) non-external _remove_delimiter.cold.1
000000020c4fdb80 (__TEXT,__text) non-external _resolve_reference_link_definitions
000000020c5063a0 (__TEXT,__text) non-external _row_from_string
0000000217ba7910 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
000000020c4fdd48 (__TEXT,__text) non-external _sort_footnote_by_ix
000000020c5026ac (__TEXT,__text) non-external _spnl
000000020c5078d8 (__TEXT,__text) non-external _spnl.cold.1
000000020c507900 (__TEXT,__text) non-external _spnl.cold.2
000000020c507928 (__TEXT,__text) non-external _spnl.cold.3
000000020c507950 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
000000021b0c1690 (__DATA,__bss) non-external _syntax_extensions
000000020c504870 (__TEXT,__text) non-external _try_opening_table_block
000000020c50678c (__TEXT,__text) non-external _unescape_pipes
000000020c507e10 (__TEXT,__const) non-external _utf8proc_utf8class
000000020c4ed988 (__TEXT,__text) non-external _validate_protocol
000000020c4eacd8 (__TEXT,__text) non-external _xcalloc
000000020c506ebc (__TEXT,__text) non-external _xcalloc.cold.1
000000020c4ead18 (__TEXT,__text) non-external _xfree
000000020c4ec38c (__TEXT,__text) non-external _xml_attr
000000020c50564c (__TEXT,__text) non-external _xml_attr
000000020c4eacf8 (__TEXT,__text) non-external _xrealloc
000000020c506eec (__TEXT,__text) non-external _xrealloc.cold.1
