00000002338709c0 (__TEXT,__text) non-external +[CBOR cborFalse]
000000028e67b5c8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftIOKit (from libswiftIOKit)
000000028e67b5f8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftIOKit_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftObjectiveC (from libswiftObjectiveC)
000000028e67b5e8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftObjectiveC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftXPC (from libswiftXPC)
000000028e67b5d0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftXPC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_Builtin_float (from libswift_Builtin_float)
000000028e67b5d8 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_Builtin_float_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftos (from libswiftos)
000000028e67b600 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftos_$_CBORLibrary
0000000233860440 (__TEXT,__text) non-external __swift_stdlib_malloc_size
                 (undefined) external __swift_stdlib_reportUnimplementedInitializer (from libswiftCore)
0000000233878c10 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOSHAASQ
0000000233878c20 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs23CustomStringConvertible
0000000233878c18 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLOs0F3KeyAAs28CustomDebugStringConvertible
0000000233878c7e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC20DateEncodingStrategyOSHAASQ
0000000233878c76 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyOSHAASQ
0000000233878c54 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVSHAASQ
0000000233878c64 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs23CustomStringConvertible
0000000233878c5c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary13CBORCodingKeyVs06CodingC0AAs28CustomDebugStringConvertible
0000000233878da8 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLVyxGs013KeyedEncodingD8ProtocolAA0C0sAFP_s06CodingC0
0000000233878b0c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLVyxGs0c8DecodingD8ProtocolAA3KeysAFP_s06CodingO0
0000000233878ba6 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance So4CBORC11CBORLibraryE9InitErrorOSHACSQ
                 (undefined) external _bzero (from libSystem)
0000000233860054 (__TEXT,__text) non-external (was a private external) _get_enum_tag_for_layout_string 10Foundation4DataV15_RepresentationO
000000023386907c (__TEXT,__text) non-external (was a private external) _get_enum_tag_for_layout_string 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyO
00000002338691a8 (__TEXT,__text) non-external (was a private external) _get_enum_tag_for_layout_string 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC9ReferenceO
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _malloc_size (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _mktime (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_allocWithZone (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
000000023387dce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
000000023387dd00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObjectsFromArray:
000000023387dd20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allKeys
000000023387dd40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendBytes:length:
000000023387dd60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendData:
000000023387dd80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
000000023387dda0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendString:
000000023387ddc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
000000023387dde0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObjects:count:
000000023387de00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asJSON
000000023387de20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$boolValue
000000023387de40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bytes
000000023387de60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cStringUsingEncoding:
000000023387de80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cachedHash
000000023387dea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborNil
000000023387dec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithArray:
000000023387dee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithData:
000000023387df00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithDictionary:
000000023387df20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithEmbeddedCBORData:
000000023387df40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithInteger:
000000023387df60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$cborWithUTF8String:
000000023387df80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
000000023387dfa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$conformsToProtocol:
000000023387dfc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$content
000000023387dfe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
000000023387e000 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
000000023387e020 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
000000023387e040 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$data
000000023387e060 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataUsingEncoding:
000000023387e080 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithCBOR:
000000023387e0a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithCBOR:encodingKeyOrder:
000000023387e0c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateByAddingTimeInterval:
000000023387e0e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateFromString:
000000023387e100 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromBytes:length:recursionLevel:keepKeyOrdering:noCopy:
000000023387e120 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromData:
000000023387e140 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeFromData:keepKeyOrdering:noCopy:
000000023387e160 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType0And1FromBuffer:length:tag:
000000023387e180 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:noCopy:
000000023387e1a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:
000000023387e1c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:
000000023387e1e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType6FromBuffer:length:tag:
000000023387e200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeMajorType7FromBuffer:length:tag:
000000023387e220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$description
000000023387e240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionary
000000023387e260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
000000023387e280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$doubleValue
000000023387e2a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$enumerateKeysAndObjectsUsingBlock:
000000023387e2c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$floatValue
000000023387e2e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hash
000000023387e300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithArray:copyItems:
000000023387e320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBool:
000000023387e340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytes:length:
000000023387e360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytes:length:encoding:
000000023387e380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytesNoCopy:length:encoding:freeWhenDone:
000000023387e3a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithBytesNoCopy:length:freeWhenDone:
000000023387e3c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithCBOR:
000000023387e3e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithCapacity:
000000023387e400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithData:
000000023387e420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDictionary:
000000023387e440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDouble:
000000023387e460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFloat:
000000023387e480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFormat:
000000023387e4a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithInt:
000000023387e4c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithLongLong:
000000023387e4e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithObjects:forKeys:
000000023387e500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithShort:
000000023387e520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithTimeIntervalSince1970:
000000023387e540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithType:value:valueSize:tag:
000000023387e560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedInt:
000000023387e580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedInteger:
000000023387e5a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedLongLong:
000000023387e5c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUnsignedShort:
000000023387e5e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$intValue
000000023387e600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$integerValue
000000023387e620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToString:
000000023387e640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isWholeNumber
000000023387e660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$length
000000023387e680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$lengthOfBytesUsingEncoding:
000000023387e6a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$localeWithLocaleIdentifier:
000000023387e6c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$longLongValue
000000023387e6e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$mac
000000023387e700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$null
000000023387e720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithInteger:
000000023387e740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numeric
000000023387e760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndex:
000000023387e780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectAtIndexedSubscript:
000000023387e7a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKey:
000000023387e7c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKeyedSubscript:
000000023387e7e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$orderedKeys
000000023387e800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$protectedHeaderParameters
000000023387e820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$protectedHeadererDictionary
000000023387e840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDateFormat:
000000023387e860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setLocale:
000000023387e880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKey:
000000023387e8a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKeyedSubscript:
000000023387e8c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setOrderedKeys:
000000023387e8e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setTag:
000000023387e900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setTimeZone:
000000023387e920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$signature
000000023387e940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$sortedArrayUsingComparator:
000000023387e960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$string
000000023387e980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringFromDate:
000000023387e9a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringValue
000000023387e9c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFormat:
000000023387e9e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$tag
000000023387ea00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeZoneForSecondsFromGMT:
000000023387ea20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$type
000000023387ea40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unprotectedHeaderParameters
000000023387ea60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unsignedIntValue
000000023387ea80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unsignedLongLongValue
000000023387eaa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$value
000000023387eac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$valueSize
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_self (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _strptime_l (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _swift_allocBox (from libswiftCore)
                 (undefined) external _swift_allocError (from libswiftCore)
                 (undefined) external _swift_allocObject (from libswiftCore)
                 (undefined) external _swift_arrayInitWithCopy (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeBackToFront (from libswiftCore)
                 (undefined) external _swift_arrayInitWithTakeFrontToBack (from libswiftCore)
                 (undefined) external _swift_beginAccess (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRelease (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain (from libswiftCore)
                 (undefined) external _swift_bridgeObjectRetain_n (from libswiftCore)
                 (undefined) external _swift_checkMetadataState (from libswiftCore)
                 (undefined) external _swift_conformsToProtocol2 (from libswiftCore)
                 (undefined) external _swift_cvw_allocateGenericValueMetadataWithLayoutString (from libswiftCore)
                 (undefined) external _swift_cvw_assignWithCopy (from libswiftCore)
                 (undefined) external _swift_cvw_assignWithTake (from libswiftCore)
                 (undefined) external _swift_cvw_destroy (from libswiftCore)
                 (undefined) external _swift_cvw_enumFn_getEnumTag (from libswiftCore)
                 (undefined) external _swift_cvw_initStructMetadataWithLayoutString (from libswiftCore)
                 (undefined) external _swift_cvw_initWithCopy (from libswiftCore)
                 (undefined) external _swift_cvw_initWithTake (from libswiftCore)
                 (undefined) external _swift_cvw_initializeBufferWithCopyOfBuffer (from libswiftCore)
                 (undefined) external _swift_cvw_instantiateLayoutString (from libswiftCore)
                 (undefined) external _swift_deallocClassInstance (from libswiftCore)
                 (undefined) external _swift_deallocObject (from libswiftCore)
                 (undefined) external _swift_deletedMethodError (from libswiftCore)
                 (undefined) external _swift_dynamicCast (from libswiftCore)
                 (undefined) external _swift_dynamicCastClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastMetatype (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClass (from libswiftCore)
                 (undefined) external _swift_dynamicCastObjCClassUnconditional (from libswiftCore)
                 (undefined) external _swift_endAccess (from libswiftCore)
                 (undefined) external _swift_getDynamicType (from libswiftCore)
                 (undefined) external _swift_getForeignTypeMetadata (from libswiftCore)
                 (undefined) external _swift_getGenericMetadata (from libswiftCore)
                 (undefined) external _swift_getMetatypeMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassFromMetadata (from libswiftCore)
                 (undefined) external _swift_getObjCClassMetadata (from libswiftCore)
                 (undefined) external _swift_getObjectType (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContext2 (from libswiftCore)
                 (undefined) external _swift_getTypeByMangledNameInContextInMetadataState2 (from libswiftCore)
                 (undefined) external _swift_getWitnessTable (from libswiftCore)
                 (undefined) external _swift_initStackObject (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_bridgeObject (from libswiftCore)
                 (undefined) external _swift_isUniquelyReferenced_nonNull_native (from libswiftCore)
                 (undefined) external _swift_lookUpClassMethod (from libswiftCore)
                 (undefined) external _swift_makeBoxUnique (from libswiftCore)
                 (undefined) external _swift_once (from libswiftCore)
                 (undefined) external _swift_release (from libswiftCore)
                 (undefined) external _swift_release_n (from libswiftCore)
                 (undefined) external _swift_retain (from libswiftCore)
                 (undefined) external _swift_retain_n (from libswiftCore)
                 (undefined) external _swift_setDeallocating (from libswiftCore)
                 (undefined) external _swift_slowAlloc (from libswiftCore)
                 (undefined) external _swift_slowDealloc (from libswiftCore)
                 (undefined) external _swift_unknownObjectRelease (from libswiftCore)
                 (undefined) external _swift_unknownObjectRetain (from libswiftCore)
                 (undefined) external _swift_weakAssign (from libswiftCore)
                 (undefined) external _swift_weakDestroy (from libswiftCore)
                 (undefined) external _swift_weakInit (from libswiftCore)
                 (undefined) external _swift_weakLoadStrong (from libswiftCore)
                 (undefined) external _swift_willThrow (from libswiftCore)
0000000233878cd2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s11CBORLibrary27ExplicitKeyOrderedEncodableP
00000002338789b4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s11CBORLibrary30_CBORDictionaryDecodableMarker33_9AD5FE8BA51478D9E31399B9411E4CF6LLP
0000000233878996 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelDecoderP
0000000233878c8c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $s7Combine15TopLevelEncoderP
0000000233878b06 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $sSY
0000000233878b14 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedDecodingContainerProtocolP
0000000233878db0 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic $ss30KeyedEncodingContainerProtocolP
0000000233878ae2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCABG
0000000233878cbe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDySo4CBORCyXlG
0000000233878a7c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDy_____AAG s11AnyHashableV
0000000233878a70 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDy_____ypG s11AnyHashableV
0000000233878a0a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SDy_____ypG s17CodingUserInfoKeyV
0000000233878d70 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SE_p
0000000233878bda (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SS
0000000233878a9a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SSSg
0000000233878a28 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SaySo4CBORCG
0000000233878a88 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Say_____G s11AnyHashableV
0000000233878a1c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Say______pG s9CodingKeyP
0000000233878d40 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SayyXlG
0000000233878cce (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Sb
0000000233878afe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Si
0000000233878c4e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic SiSg
0000000233878bc4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So10COSE_Sign1C
0000000233878d8e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC
0000000233878d48 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So14NSMutableArrayC_Sit
0000000233878bb4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So4CBORC
0000000233878b7c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So4CBORC_ABt
0000000233878bf8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So7COSEKeyC
0000000233878caa (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So8NSObjectC
0000000233878be4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic So9COSE_Mac0C
0000000233878b02 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic Su
000000023387898a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 10Foundation4DataV
0000000233878bbe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V
0000000233878bd4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV
0000000233878c0a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLO
0000000233878990 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBORDecoderC
0000000233878c86 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC
0000000233878d06 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC20DateEncodingStrategyO
0000000233878d00 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyO
0000000233878a16 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBORDecoder33_9AD5FE8BA51478D9E31399B9411E4CF6LLC
0000000233878d1e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary12_CBOREncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
0000000233878b3a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary13CBORCodingKeyV
0000000233878cb8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary15_CBORDictionary33_7693559CB90E2482CACD4C8EAD5C6230LLC
0000000233878bae (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary18CBORCodableWrapperV
0000000233878d24 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary20_CBOREncodingStorage33_7693559CB90E2482CACD4C8EAD5C6230LLV
0000000233878d34 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC
0000000233878d3a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary21_CBORReferenceEncoder33_7693559CB90E2482CACD4C8EAD5C6230LLC9ReferenceO
0000000233878da2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary24_CBOREncoderKeyContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
0000000233878adc (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary26_CBORDecoderKeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLV
0000000233878a4a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary28_CBORDecoderUnkeyedContainer33_9AD5FE8BA51478D9E31399B9411E4CF6LLV
0000000233878d88 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary28_CBOREncoderUnkeyedContainer33_7693559CB90E2482CACD4C8EAD5C6230LLV
0000000233878bf2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary7COSEKeyV
0000000233878bde (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary9COSE_Mac0V
0000000233878af2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So20COSEKeyOperationTypeV
0000000233878dd6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So4CBORC11CBORLibraryE07EncodedA0V
0000000233878ddc (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So4CBORC11CBORLibraryE20EncodedCBORTag24DataV
0000000233878c04 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So4CBORC11CBORLibraryE9InitErrorO
0000000233878af8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So8CBORTypeV
