                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFAbsoluteTimeGetGregorianDate (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFCalendarComposeAbsoluteTime (from CoreFoundation)
                 (undefined) external _CFCalendarCreateWithIdentifier (from CoreFoundation)
                 (undefined) external _CFCalendarSetTimeZone (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValueIfPresent (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCompare (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFTimeZoneCopyDefault (from CoreFoundation)
                 (undefined) external _CFTimeZoneCreateWithName (from CoreFoundation)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateDeviceRGB (from CoreGraphics)
                 (undefined) external _CGColorSpaceRelease (from CoreGraphics)
                 (undefined) external _CGContextClearRect (from CoreGraphics)
                 (undefined) external _CGContextDrawImage (from CoreGraphics)
                 (undefined) external _CGContextRelease (from CoreGraphics)
                 (undefined) external _CGImageDestinationAddImage (from ImageIO)
                 (undefined) external _CGImageDestinationCreateWithData (from ImageIO)
                 (undefined) external _CGImageDestinationFinalize (from ImageIO)
                 (undefined) external _CGImageGetHeight (from CoreGraphics)
                 (undefined) external _CGImageGetWidth (from CoreGraphics)
                 (undefined) external _CGImageRelease (from CoreGraphics)
                 (undefined) external _CGImageSourceCopyPropertiesAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateImageAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateThumbnailAtIndex (from ImageIO)
                 (undefined) external _CGImageSourceCreateWithData (from ImageIO)
                 (undefined) external _CGImageSourceCreateWithURL (from ImageIO)
00007fff36322d30 (__TEXT,__text) external _ICACloseSession
00007fff8874af28 (__DATA_CONST,__const) external _kICANotificationPercentDownloadedKey
00007fff8874b2b0 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationProcIsOldStyleKey
00007fff8874b2a8 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationProcKey
00007fff8874ae98 (__DATA_CONST,__const) external _kICANotificationRawEventKey
00007fff8874af18 (__DATA_CONST,__const) external _kICANotificationScannerButtonTypeKey
00007fff8874af10 (__DATA_CONST,__const) external _kICANotificationScannerDocumentNameKey
00007fff8874aff8 (__DATA_CONST,__const) external _kICANotificationSubTypeDocumentLoaded
00007fff8874b000 (__DATA_CONST,__const) external _kICANotificationSubTypeDocumentNotLoaded
00007fff8874ae90 (__DATA_CONST,__const) external _kICANotificationSubTypeKey
00007fff8874aff0 (__DATA_CONST,__const) external _kICANotificationSubTypePerformOverviewScan
00007fff8874afe8 (__DATA_CONST,__const) external _kICANotificationSubTypeWarmUpDone
00007fff8874afe0 (__DATA_CONST,__const) external _kICANotificationSubTypeWarmUpStarted
00007fff8874afa8 (__DATA_CONST,__const) external _kICANotificationTypeCaptureComplete
00007fff8874af80 (__DATA_CONST,__const) external _kICANotificationTypeDeviceAdded
00007fff8874b038 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationTypeDeviceBrowserContentChanged
00007fff8874b048 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationTypeDeviceConnectionFailed
00007fff8874b060 (__DATA_CONST,__const) external _kICANotificationTypeDeviceConnectionProgress
00007fff8874af90 (__DATA_CONST,__const) external _kICANotificationTypeDeviceInfoChanged
00007fff8874b040 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationTypeDevicePairingFailed
00007fff8874af98 (__DATA_CONST,__const) external _kICANotificationTypeDevicePropertyChanged
00007fff8874af88 (__DATA_CONST,__const) external _kICANotificationTypeDeviceRemoved
00007fff8874afd8 (__DATA_CONST,__const) external _kICANotificationTypeDeviceStatusError
00007fff8874afd0 (__DATA_CONST,__const) external _kICANotificationTypeDeviceStatusInfo
00007fff8874afa0 (__DATA_CONST,__const) external _kICANotificationTypeDeviceWasReset
00007fff8874b068 (__DATA_CONST,__const) external _kICANotificationTypeDownloadProgressStatus
00007fff8874b2b8 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationTypeIsOldOldStyleKey
00007fff8874ae88 (__DATA_CONST,__const) external _kICANotificationTypeKey
00007fff8874b018 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationTypeNetworkSettingChanged
00007fff8874af48 (__DATA_CONST,__const) external _kICANotificationTypeObjectAdded
00007fff8874af58 (__DATA_CONST,__const) external _kICANotificationTypeObjectInfoChanged
00007fff8874af50 (__DATA_CONST,__const) external _kICANotificationTypeObjectRemoved
00007fff8874b010 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationTypeObjectUpdatedKey
00007fff8874b098 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationTypeOldStyleKey
00007fff8874afc0 (__DATA_CONST,__const) external _kICANotificationTypeProprietary
00007fff8874afb0 (__DATA_CONST,__const) external _kICANotificationTypeRequestObjectTransfer
00007fff8874b030 (__DATA_CONST,__const) external _kICANotificationTypeScanProgressStatus
00007fff8874b088 (__DATA_CONST,__const) external _kICANotificationTypeScannerButtonPressed
00007fff8874b090 (__DATA_CONST,__const) external _kICANotificationTypeScannerOverviewOverlayAvailable
00007fff8874b080 (__DATA_CONST,__const) external _kICANotificationTypeScannerPageDone
00007fff8874b078 (__DATA_CONST,__const) external _kICANotificationTypeScannerScanDone
00007fff8874b070 (__DATA_CONST,__const) external _kICANotificationTypeScannerSessionClosed
00007fff8874b050 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationTypeStartTWAIN_UI
00007fff8874b058 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationTypeStoppedTWAIN_UI
00007fff8874af60 (__DATA_CONST,__const) external _kICANotificationTypeStoreAdded
00007fff8874af70 (__DATA_CONST,__const) external _kICANotificationTypeStoreFull
00007fff8874af78 (__DATA_CONST,__const) external _kICANotificationTypeStoreInfoChanged
00007fff8874af68 (__DATA_CONST,__const) external _kICANotificationTypeStoreRemoved
00007fff8874ac48 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationTypeTWAINSessionClosed
00007fff8874ac40 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationTypeTWAINSessionOpened
00007fff8874afb8 (__DATA_CONST,__const) external _kICANotificationTypeTransactionCanceled
00007fff8874afc8 (__DATA_CONST,__const) external _kICANotificationTypeUnreportedStatus
00007fff8874b020 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationTypeWebServerURLChanged
00007fff8874b028 (__DATA_CONST,__const) non-external (was a private external) _kICANotificationTypeWebSharingChanged
00007fff8874aeb8 (__DATA_CONST,__const) external _kICANotificationVendorErrorCodeKey
00007fff8874ad70 (__DATA_CONST,__const) external _kICAOBEXVersionKey
00007fff8874b358 (__DATA_CONST,__const) non-external (was a private external) _kICAObjectArrayKey
00007fff8874aec0 (__DATA_CONST,__const) non-external (was a private external) _kICAObjectInTemporaryStoreKey
00007fff8874aaa0 (__DATA_CONST,__const) external _kICAObjectKey
00007fff8874aab0 (__DATA_CONST,__const) external _kICAObjectNameKey
00007fff8874b298 (__DATA_CONST,__const) non-external (was a private external) _kICAObjectOfInterestKey
00007fff8874b3d8 (__DATA_CONST,__const) non-external (was a private external) _kICAObjectPropertyDictionaryKey
00007fff8874b308 (__DATA_CONST,__const) non-external (was a private external) _kICAObjectRefConKey
00007fff8874b260 (__DATA_CONST,__const) non-external (was a private external) _kICAObjectSendMessageCmd
00007fff8874b300 (__DATA_CONST,__const) non-external (was a private external) _kICAObjectSubtypeKey
00007fff8874b2f8 (__DATA_CONST,__const) non-external (was a private external) _kICAObjectTypeKey
00007fff8874b2c0 (__DATA_CONST,__const) non-external (was a private external) _kICAObjectsOfInterestKey
00007fff8874b218 (__DATA_CONST,__const) non-external (was a private external) _kICAOpenSessionCmd
00007fff8874b2c8 (__DATA_CONST,__const) non-external (was a private external) _kICAOptionsDictionaryKey
00007fff8874add8 (__DATA_CONST,__const) external _kICAOrientationKey
00007fff8874adb8 (__DATA_CONST,__const) external _kICAOverwriteKey
00007fff8874b398 (__DATA_CONST,__const) non-external (was a private external) _kICAParameterDictionaryKey
00007fff8874b2e0 (__DATA_CONST,__const) non-external (was a private external) _kICAParentObjectKey
00007fff8874ad08 (__DATA_CONST,__const) external _kICAPhysicalTransportsKey
00007fff8874ad28 (__DATA_CONST,__const) external _kICAPictureFolderKey
00007fff8874b360 (__DATA_CONST,__const) non-external (was a private external) _kICAPropertyArrayKey
00007fff8874b330 (__DATA_CONST,__const) non-external (was a private external) _kICAPropertyDataFlagsKey
00007fff8874b338 (__DATA_CONST,__const) non-external (was a private external) _kICAPropertyDataPtrKey
00007fff8874b328 (__DATA_CONST,__const) non-external (was a private external) _kICAPropertyDataSizeKey
00007fff8874b320 (__DATA_CONST,__const) non-external (was a private external) _kICAPropertyDataTypeKey
00007fff8874b310 (__DATA_CONST,__const) non-external (was a private external) _kICAPropertyKey
00007fff8874b340 (__DATA_CONST,__const) non-external (was a private external) _kICAPropertyRefConKey
00007fff8874b318 (__DATA_CONST,__const) non-external (was a private external) _kICAPropertyTypeKey
00007fff8874acc0 (__DATA_CONST,__const) external _kICAProtocolKey
00007fff8874acc8 (__DATA_CONST,__const) non-external (was a private external) _kICAProtocolVersionKey
00007fff8874ac78 (__DATA_CONST,__const) non-external (was a private external) _kICARawExtensionsKey
00007fff8874ab50 (__DATA_CONST,__const) external _kICARawKey
00007fff8874ae58 (__DATA_CONST,__const) external _kICARefconKey
00007fff8874b278 (__DATA_CONST,__const) non-external (was a private external) _kICARegisterEventNotificationCmd
00007fff8874b108 (__DATA_CONST,__const) non-external (was a private external) _kICARegisterForEventNotificationCmd
00007fff8874aad8 (__DATA_CONST,__const) external _kICARemoteDeviceKey
00007fff8874ae38 (__DATA_CONST,__const) non-external (was a private external) _kICARemoteDevicesKey
00007fff8874aaa8 (__DATA_CONST,__const) non-external (was a private external) _kICARemoteObjectKey
00007fff8874b378 (__DATA_CONST,__const) non-external (was a private external) _kICARequestedByteCountKey
00007fff8874b400 (__DATA_CONST,__const) non-external (was a private external) _kICAResultKey
00007fff8874b2d8 (__DATA_CONST,__const) non-external (was a private external) _kICARootObjectKey
00007fff8874ab98 (__DATA_CONST,__const) external _kICASCSITransportType
00007fff8874ada8 (__DATA_CONST,__const) external _kICASaveAsFilenameKey
00007fff8874adb0 (__DATA_CONST,__const) external _kICASavedFilenameKey
00007fff8874b1e8 (__DATA_CONST,__const) non-external (was a private external) _kICAScannerCloseSessionCmd
00007fff8874b1f8 (__DATA_CONST,__const) non-external (was a private external) _kICAScannerGetParametersCmd
00007fff8874b1f0 (__DATA_CONST,__const) non-external (was a private external) _kICAScannerInitializeCmd
00007fff8874b1e0 (__DATA_CONST,__const) non-external (was a private external) _kICAScannerOpenSessionCmd
00007fff8874b0f8 (__DATA_CONST,__const) non-external (was a private external) _kICAScannerOpenSessionShouldCallCloseSessionFirstKey
00007fff8874b200 (__DATA_CONST,__const) non-external (was a private external) _kICAScannerSetParametersCmd
00007fff8874b210 (__DATA_CONST,__const) non-external (was a private external) _kICAScannerStartCmd
00007fff8874b208 (__DATA_CONST,__const) non-external (was a private external) _kICAScannerStatusCmd
00007fff8874b3a0 (__DATA_CONST,__const) non-external (was a private external) _kICAScannerStatusKey
00007fff8874ad40 (__DATA_CONST,__const) external _kICAScreenHeightKey
00007fff8874ad48 (__DATA_CONST,__const) external _kICAScreenWidthKey
00007fff8874b288 (__DATA_CONST,__const) non-external (was a private external) _kICASendNotificationCmd
00007fff8874b0d8 (__DATA_CONST,__const) non-external (was a private external) _kICASenderObjectKey
00007fff8874b390 (__DATA_CONST,__const) non-external (was a private external) _kICASessionIDKey
00007fff8874b148 (__DATA_CONST,__const) non-external (was a private external) _kICASetObjectRefConCmd
00007fff8874b178 (__DATA_CONST,__const) non-external (was a private external) _kICASetPropertyDataCmd
00007fff8874b198 (__DATA_CONST,__const) non-external (was a private external) _kICASetPropertyRefConCmd
00007fff8874b420 (__DATA_CONST,__const) non-external (was a private external) _kICASharingSetupPasswordKey
00007fff8874b418 (__DATA_CONST,__const) non-external (was a private external) _kICASharingSetupRequiresPasswordKey
00007fff8874b440 (__DATA_CONST,__const) non-external (was a private external) _kICASharingSetupScanningForRemoteDevicesKey
00007fff8874b410 (__DATA_CONST,__const) non-external (was a private external) _kICASharingSetupSharedNameKey
00007fff8874b428 (__DATA_CONST,__const) non-external (was a private external) _kICASharingSetupSharingEnabledKey
00007fff8874b438 (__DATA_CONST,__const) non-external (was a private external) _kICASharingSetupWebServerURLKey
00007fff8874b430 (__DATA_CONST,__const) non-external (was a private external) _kICASharingSetupWebSharingEnabledKey
00007fff8874ad30 (__DATA_CONST,__const) external _kICASoundFolderKey
00007fff8874ae10 (__DATA_CONST,__const) external _kICAStarRatingKey
00007fff8874b370 (__DATA_CONST,__const) non-external (was a private external) _kICAStartByteOffsetKey
00007fff8874ad00 (__DATA_CONST,__const) external _kICASupportedFeaturesKey
00007fff8874aca0 (__DATA_CONST,__const) non-external (was a private external) _kICASupportedFileExtensionsKey
00007fff8874acd0 (__DATA_CONST,__const) external _kICASupportingSoftwaresKey
00007fff8874ab90 (__DATA_CONST,__const) external _kICATCPIPTransportType
00007fff8874ac30 (__DATA_CONST,__const) non-external (was a private external) _kICATWAINClientPSNKey
00007fff8874ac38 (__DATA_CONST,__const) non-external (was a private external) _kICATWAINClientPathKey
00007fff8874ac18 (__DATA_CONST,__const) external _kICATWAINDSPathKey
00007fff8874ae40 (__DATA_CONST,__const) non-external (was a private external) _kICATWAINDevicesKey
00007fff8874ac20 (__DATA_CONST,__const) non-external (was a private external) _kICATWAINInfoDictionaryKey
00007fff8874ac28 (__DATA_CONST,__const) non-external (was a private external) _kICATWAINSessionIsOpenKey
00007fff8874aba0 (__DATA_CONST,__const) external _kICATWAINTransportType
00007fff8874ad50 (__DATA_CONST,__const) external _kICATelephoneNetworksKey
00007fff8874b3a8 (__DATA_CONST,__const) non-external (was a private external) _kICAThumbnailFormatKey
00007fff8874b3e0 (__DATA_CONST,__const) non-external (was a private external) _kICAThumbnailPropertyInfoKey
00007fff8874ab40 (__DATA_CONST,__const) external _kICAThumbnailPropertyKey
00007fff8874ab48 (__DATA_CONST,__const) external _kICAThumbnailSizeKey
00007fff8874abd0 (__DATA_CONST,__const) external _kICATransportTypeKey
00007fff8874ac80 (__DATA_CONST,__const) non-external (was a private external) _kICAUSBKey
00007fff8874abe0 (__DATA_CONST,__const) external _kICAUSBLocationIDKey
00007fff8874aac0 (__DATA_CONST,__const) external _kICAUSBProductIDKey
00007fff8874ab78 (__DATA_CONST,__const) external _kICAUSBTransportType
00007fff8874aab8 (__DATA_CONST,__const) external _kICAUSBVendorIDKey
00007fff8874b248 (__DATA_CONST,__const) non-external (was a private external) _kICAUnloadDeviceModuleCmd
00007fff8874b250 (__DATA_CONST,__const) non-external (was a private external) _kICAUpdateDeviceDictionaryCmd
00007fff8874b270 (__DATA_CONST,__const) non-external (was a private external) _kICAUploadFileCmd
00007fff8874ab20 (__DATA_CONST,__const) external _kICAUserAssignedDeviceNameKey
00007fff8874acb0 (__DATA_CONST,__const) external _kICAVendorNameKey
00007fff8874ad68 (__DATA_CONST,__const) external _kICAVideoCodecsKey
00007fff8874ad38 (__DATA_CONST,__const) external _kICAVideoFolderKey
00007fff8874ad80 (__DATA_CONST,__const) external _kICAWMCVersionKey
00007fff8874ad10 (__DATA_CONST,__const) non-external (was a private external) _kICAWiFiSecuritiesKey
00007fff8874ad18 (__DATA_CONST,__const) non-external (was a private external) _kICAWiFiSecurityAuthenticationKey
00007fff8874ad20 (__DATA_CONST,__const) non-external (was a private external) _kICAWiFiSecurityEncryptionKey
00007fff8874b1b8 (__DATA_CONST,__const) non-external (was a private external) _kICDBulkNewObjectsCmd
00007fff8874b1d0 (__DATA_CONST,__const) non-external (was a private external) _kICDBulkNewPropertiesCmd
00007fff8874b290 (__DATA_CONST,__const) non-external (was a private external) _kICDDeviceCallbackCmd
00007fff8874b280 (__DATA_CONST,__const) non-external (was a private external) _kICDDeviceNotificationCmd
00007fff8874b1a0 (__DATA_CONST,__const) non-external (was a private external) _kICDDeviceRegisterCmd
00007fff8874b1a8 (__DATA_CONST,__const) non-external (was a private external) _kICDDeviceUnregisterCmd
00007fff8874b1c0 (__DATA_CONST,__const) non-external (was a private external) _kICDDisposeObjectCmd
00007fff8874b1d8 (__DATA_CONST,__const) non-external (was a private external) _kICDDisposePropertyCmd
00007fff8874b1b0 (__DATA_CONST,__const) non-external (was a private external) _kICDNewObjectCmd
00007fff8874b1c8 (__DATA_CONST,__const) non-external (was a private external) _kICDNewPropertyCmd
00007fff8874ab68 (__DATA_CONST,__const) external _kMetaDataDictionaryKey
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)
