00007ffe43333710 (__DATA,__bss) non-external _A
00007ffe06b563bb (__TEXT,__text) external _cmark_strbuf_len
00007ffe06b567f4 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffe06b564fd (__TEXT,__text) external _cmark_strbuf_put
00007ffe06b564c4 (__TEXT,__text) external _cmark_strbuf_putc
00007ffe06b56551 (__TEXT,__text) external _cmark_strbuf_puts
00007ffe06b56756 (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffe06b56414 (__TEXT,__text) external _cmark_strbuf_set
00007ffe06b56494 (__TEXT,__text) external _cmark_strbuf_sets
00007ffe06b56677 (__TEXT,__text) external _cmark_strbuf_strchr
00007ffe06b566b7 (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffe06b565d0 (__TEXT,__text) external _cmark_strbuf_swap
00007ffe06b5679f (__TEXT,__text) external _cmark_strbuf_trim
00007ffe06b566ef (__TEXT,__text) external _cmark_strbuf_truncate
00007ffe06b5688b (__TEXT,__text) external _cmark_strbuf_unescape
00007ffe06b48b5a (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffe06b619f3 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffe06b48ac0 (__TEXT,__text) external _cmark_syntax_extension_free
00007ffe06b48c50 (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffe06b48b05 (__TEXT,__text) external _cmark_syntax_extension_new
00007ffe06b48bd2 (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffe06b48c74 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffe06b48be6 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffe06b48bdc (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffe06b48b8a (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffe06b48bc8 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffe06b48c28 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffe06b48c1b (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffe06b48bb4 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffe06b48bfa (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffe06b48c0e (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffe06b48ba1 (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffe06b48baa (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffe06b48c5a (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffe06b48c67 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffe06b48b97 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffe06b48bf0 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffe06b48c35 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffe06b48c42 (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffe06b48bbe (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffe06b48c04 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffe06b55ff6 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffe06b3dbce (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffe06b3d7a0 (__TEXT,__text) external _cmark_utf8proc_check
00007ffe06b3dab8 (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffe06b61824 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffe06b456be (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffe06b45664 (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffe06b3d96f (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffe06b46dc4 (__TEXT,__text) external _cmark_version
00007ffe06b46dcf (__TEXT,__text) external _cmark_version_string
00007ffe06b4831d (__TEXT,__text) non-external _commonmark_render
00007ffe06b4ac39 (__TEXT,__text) non-external _commonmark_render
00007ffe06b60105 (__TEXT,__text) non-external _commonmark_render
00007ffe06b62471 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffe06b600f0 (__TEXT,__text) non-external _contains_inlines
00007ffe06b56042 (__TEXT,__text) non-external _core_extensions_registration
00007ffe06b48c81 (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffe06b4ab16 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffe06b5f632 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffe06b616e9 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffe06b48163 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffe43333600 (__DATA,__bss) non-external _enable_safety_checks
00007ffe06b62740 (__TEXT,__const) non-external _encode_unknown.repl
00007ffe06b60d80 (__TEXT,__text) non-external _escape
00007ffe06b61717 (__TEXT,__text) non-external _filter
00007ffe06b58a3e (__TEXT,__text) non-external _finalize
00007ffe06b61c23 (__TEXT,__text) non-external _finalize.cold.1
00007ffe06b61c46 (__TEXT,__text) non-external _finalize.cold.2
00007ffe06b55fba (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffe06b593a2 (__TEXT,__text) non-external _free_node_as
00007ffe06b61384 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffe06b4be58 (__TEXT,__text) non-external _get_link_type
00007ffe06b4825c (__TEXT,__text) non-external _get_type_string
00007ffe06b4abf8 (__TEXT,__text) non-external _get_type_string
00007ffe06b60022 (__TEXT,__text) non-external _get_type_string
00007ffe06b5ecac (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffe06b62363 (__TEXT,__text) non-external _houdini_escape_href.cold.1
00007ffe06b65350 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffe06b61947 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffe06b6186b (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffe06b5ecdd (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffe06b5ef3f (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffe06b5f02f (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffe06b4838d (__TEXT,__text) non-external _html_render
00007ffe06b4acde (__TEXT,__text) non-external _html_render
00007ffe06b60702 (__TEXT,__text) non-external _html_render
00007ffe06b624da (__TEXT,__text) non-external _html_render.cold.1
00007ffe06b61481 (__TEXT,__text) non-external _html_table_add_align
00007ffe06b4ae64 (__TEXT,__text) non-external _insert
00007ffe06b49ac4 (__TEXT,__text) non-external _is_valid_hostchar
00007ffe06b4ac5a (__TEXT,__text) non-external _latex_render
00007ffe06b6031f (__TEXT,__text) non-external _latex_render
00007ffe06b62494 (__TEXT,__text) non-external _latex_render.cold.1
00007ffe06b5d9c8 (__TEXT,__text) non-external _link_label
00007ffe06b62112 (__TEXT,__text) non-external _link_label.cold.1
00007ffe06b62133 (__TEXT,__text) non-external _link_label.cold.2
00007ffe06b62156 (__TEXT,__text) non-external _link_label.cold.3
00007ffe06b62179 (__TEXT,__text) non-external _link_label.cold.4
00007ffe06b6219c (__TEXT,__text) non-external _link_label.cold.5
00007ffe06b5e482 (__TEXT,__text) non-external _make_autolink
00007ffe06b5e37b (__TEXT,__text) non-external _make_literal
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ffe06b4ac89 (__TEXT,__text) non-external _man_render
00007ffe06b60598 (__TEXT,__text) non-external _man_render
00007ffe06b624b7 (__TEXT,__text) non-external _man_render.cold.1
00007ffe06b5dc57 (__TEXT,__text) non-external _manual_scan_link_url
00007ffe06b48cef (__TEXT,__text) non-external _match
00007ffe06b4ad21 (__TEXT,__text) non-external _match
00007ffe06b481f8 (__TEXT,__text) non-external _matches
00007ffe06b5f754 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffe06b560a7 (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffe06b61ac3 (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffe06b60ce0 (__TEXT,__text) non-external _opaque_alloc
00007ffe06b60d2c (__TEXT,__text) non-external _opaque_free
00007ffe06b48269 (__TEXT,__text) non-external _open_tasklist_item
00007ffe06b45ea3 (__TEXT,__text) non-external _outc
00007ffe06b4b46e (__TEXT,__text) non-external _outc
00007ffe06b5f0c3 (__TEXT,__text) non-external _outc
00007ffe06b4ad00 (__TEXT,__text) non-external _plaintext_render
00007ffe06b49188 (__TEXT,__text) non-external _postprocess
00007ffe06b61a14 (__TEXT,__text) non-external _postprocess.cold.1
00007ffe06b61a37 (__TEXT,__text) non-external _postprocess.cold.2
00007ffe06b5d104 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _qsort (from libSystem)
00007ffe06b56307 (__TEXT,__text) non-external _refcmp
00007ffe06b56a78 (__TEXT,__text) non-external _reference_free
00007ffe06b56282 (__TEXT,__text) non-external _refsearch
00007ffe42e5e0c8 (__DATA_DIRTY,__bss) non-external _registered
00007ffe06b5d69c (__TEXT,__text) non-external _remove_delimiter
00007ffe06b61ffa (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffe06b58de0 (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffe06b60f82 (__TEXT,__text) non-external _row_from_string
00007ffe41186b30 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffe06b58fe5 (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffe06b5db82 (__TEXT,__text) non-external _spnl
00007ffe06b621bf (__TEXT,__text) non-external _spnl.cold.1
00007ffe06b621e2 (__TEXT,__text) non-external _spnl.cold.2
00007ffe06b62205 (__TEXT,__text) non-external _spnl.cold.3
00007ffe06b62228 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffe42e5e0c0 (__DATA_DIRTY,__bss) non-external _syntax_extensions
00007ffe06b613eb (__TEXT,__text) non-external _try_inserting_table_header_paragraph
00007ffe06b5f7e3 (__TEXT,__text) non-external _try_opening_table_block
00007ffe06b612e0 (__TEXT,__text) non-external _unescape_pipes
00007ffe06b62640 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffe06b49afd (__TEXT,__text) non-external _validate_protocol
00007ffe06b46ddc (__TEXT,__text) non-external _xcalloc
00007ffe06b61960 (__TEXT,__text) non-external _xcalloc.cold.1
00007ffe06b46e10 (__TEXT,__text) non-external _xfree
00007ffe06b484d9 (__TEXT,__text) non-external _xml_attr
00007ffe06b604b4 (__TEXT,__text) non-external _xml_attr
00007ffe06b46df6 (__TEXT,__text) non-external _xrealloc
00007ffe06b61985 (__TEXT,__text) non-external _xrealloc.cold.1
