00000001df323d20 (__DATA,__data) non-external _C
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00000001801dcbf4 (__TEXT,__text) external ___set_ones_D2A
0000000180218824 (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
00000001801ed798 (__TEXT,__text) external ___setonlyClocaleconv
00000001801ef738 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00000001df325928 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00000001df325930 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
0000000180224bc0 (__TEXT,__text) non-external ___setup_vars
0000000180222f8c (__TEXT,__text) non-external (was a private external) ___setutxent
00000001801f6dc8 (__TEXT,__text) external ___sflags
00000001801f5de0 (__TEXT,__text) external ___sflush
00000001801f68e0 (__TEXT,__text) external ___sfp
00000001801f6cb8 (__TEXT,__text) non-external (was a private external) ___sfprelease
00000001801f8438 (__TEXT,__text) external ___sfvwrite
00000001801ccef8 (__TEXT,__text) non-external (was a private external) ___sgetrune
00000001df323a08 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00000001801f6ac4 (__TEXT,__text) external ___sinit
00000001801f6000 (__TEXT,__text) external ___slbexpand
00000001801f9004 (__TEXT,__text) external ___smakebuf
0000000180231634 (__TEXT,__text) external ___snprintf_chk
0000000180231670 (__TEXT,__text) external ___snprintf_object_size_chk
00000001801d424c (__TEXT,__text) external ___split_page
0000000180205cf0 (__TEXT,__text) non-external ___sprint
0000000180231824 (__TEXT,__text) external ___sprintf_chk
0000000180231894 (__TEXT,__text) external ___sprintf_object_size_chk
00000001801ccff8 (__TEXT,__text) non-external (was a private external) ___sputrune
00000001801fc9d4 (__TEXT,__text) external ___sread
00000001801fc3d0 (__TEXT,__text) external ___srefill
00000001801fc1c4 (__TEXT,__text) non-external (was a private external) ___srefill0
00000001801fc360 (__TEXT,__text) non-external (was a private external) ___srefill1
00000001801fc4fc (__TEXT,__text) external ___srget
00000001801fca14 (__TEXT,__text) external ___sseek
00000001802130fc (__TEXT,__text) external ___stack_chk_fail
00000001eb744520 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
00000001df323fa0 (__DATA,__data) external ___stderrp
00000001df323f90 (__DATA,__data) external ___stdinp
00000001df325988 (__DATA,__bss) non-external ___stdout_evp
00000001df323f98 (__DATA,__data) external ___stdoutp
00000001802317b4 (__TEXT,__text) external ___stpcpy_chk
0000000180231928 (__TEXT,__text) external ___stpncpy_chk
00000001802316b4 (__TEXT,__text) external ___strcat_chk
00000001801db4f0 (__TEXT,__text) external ___strcp_D2A
0000000180231564 (__TEXT,__text) external ___strcpy_chk
00000001eb742cc0 (__DATA_DIRTY,__bss) non-external ___stream_max
00000001df323a38 (__DATA,__data) non-external ___strerror_ebuf
00000001802311fc (__TEXT,__text) external ___strlcat_chk
00000001802313cc (__TEXT,__text) external ___strlcpy_chk
000000018023142c (__TEXT,__text) external ___strncat_chk
00000001802314cc (__TEXT,__text) external ___strncpy_chk
00000001801dcfd4 (__TEXT,__text) external ___strtodg
00000001801dea04 (__TEXT,__text) external ___strtopdd
0000000180235720 (__TEXT,__const) non-external ___strtopdd.fpi0
00000001801deeac (__TEXT,__text) external ___sum_D2A
0000000180202934 (__TEXT,__text) external ___svfscanf
0000000180200ec4 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
0000000180235e10 (__TEXT,__const) non-external ___svfscanf_l.basefix
000000018020844c (__TEXT,__text) external ___swbuf
00000001801f9208 (__TEXT,__text) external ___swhatbuf
00000001801fc9f4 (__TEXT,__text) external ___swrite
0000000180208684 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
                 (undefined) external ___sysctlbyname (from libsystem_kernel)
00000001df324028 (__DATA,__data) non-external ___systemfn_mutex
00000001df324110 (__DATA,__data) non-external ___systemfn_mutex
0000000180235540 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00000001801c2754 (__TEXT,__text) non-external ___thread_stack_pcs
000000018020f580 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00000001df325a18 (__DATA,__bss) non-external ___time_load_locale.cache
0000000180235518 (__TEXT,__const) external ___tinytens_D2A
00000001801ee960 (__TEXT,__text) external ___tolower
00000001801eeaac (__TEXT,__text) external ___tolower_l
00000001801ee920 (__TEXT,__text) external ___toupper
00000001801eea8c (__TEXT,__text) external ___toupper_l
00000001801da7f4 (__TEXT,__text) external ___trailz_D2A
00000001801deff8 (__TEXT,__text) external ___ulp_D2A
0000000180200a4c (__TEXT,__text) non-external ___ultoa
0000000180205924 (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
00000001801fd1cc (__TEXT,__text) external ___ungetc
00000001801fd374 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
0000000180218b94 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
0000000180236291 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
0000000180223b1c (__TEXT,__text) non-external (was a private external) ___utmpxname
00000001df323ad0 (__DATA,__data) non-external ___utx__
0000000180235118 (__TEXT,__const) non-external (was a private external) ___utx_magic__
000000018022258c (__TEXT,__text) non-external (was a private external) ___v2printf
00000001801fd990 (__TEXT,__text) non-external (was a private external) ___vfprintf
0000000180235dcf (__TEXT,__const) non-external ___vfprintf.xdigs_lower
0000000180235ddf (__TEXT,__const) non-external ___vfprintf.xdigs_upper
0000000180202c88 (__TEXT,__text) non-external (was a private external) ___vfwprintf
0000000180235e34 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
0000000180235e44 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
0000000180205ee0 (__TEXT,__text) non-external (was a private external) ___vfwscanf
0000000180235f30 (__TEXT,__const) non-external ___vfwscanf.basefix
000000018023199c (__TEXT,__text) external ___vsnprintf_chk
0000000180231744 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00000001801f0b38 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00000001801f0890 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00000001801ee9a0 (__TEXT,__text) external ___wcwidth
00000001801eeacc (__TEXT,__text) external ___wcwidth_l
00000001801efd04 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00000001801c731c (__TEXT,__text) non-external (was a private external) ___xlocale_init
00000001801c7350 (__TEXT,__text) non-external ___xlocale_release
00000001801c9dd8 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
0000000180231d68 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00000001df323d28 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
0000000180222a30 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00000001802228a4 (__TEXT,__text) non-external (was a private external) ___xvprintf
0000000180218c6c (__TEXT,__text) external __allocenvstate
00000001801df274 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00000001801ea134 (__TEXT,__text) non-external (was a private external) __ascii_init
00000001801ea198 (__TEXT,__text) non-external __ascii_mbrtowc
00000001801ea1f4 (__TEXT,__text) non-external __ascii_mbsinit
00000001801ea1fc (__TEXT,__text) non-external __ascii_mbsnrtowcs
00000001801ea2d0 (__TEXT,__text) non-external __ascii_wcrtomb
00000001801ea30c (__TEXT,__text) non-external __ascii_wcsnrtombs
00000001801c1c80 (__TEXT,__text) external __atexit_receipt
00000001801bcc60 (__TEXT,__text) non-external __backtrace_snprintf
00000001e5915fb0 (__DATA_CONST,__const) external __c_locale
00000001801f6dbc (__TEXT,__text) external __cleanup
00000001801c3ee4 (__TEXT,__text) external __closeutx
0000000180218c70 (__TEXT,__text) external __copyenv
00000001eb771738 (__AUTH,__data) external __cthread_init_routine
0000000180218cfc (__TEXT,__text) external __deallocenvstate
00000001801c66f8 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00000001df325af8 (__DATA,__common) non-external (was a private external) __e_err_exit
00000001df325af0 (__DATA,__common) non-external (was a private external) __e_err_file
00000001801df8ec (__TEXT,__text) non-external (was a private external) __e_visprintf
000000018022310c (__TEXT,__text) external __endutxent
00000001802339c0 (__TEXT,__text) non-external __endutxent.cold.1
00000001802339f8 (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
00000001801e5608 (__TEXT,__text) non-external (was a private external) __filldir
00000001801e8080 (__TEXT,__text) non-external (was a private external) __fixtelldir
00000001801f58c0 (__TEXT,__text) external __flockfile_debug_stub
00000001801f7e38 (__TEXT,__text) external __fseeko
00000001801f8294 (__TEXT,__text) external __ftello
00000001801f8794 (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
0000000180213a2c (__TEXT,__text) external __getenvp
00000001802233d0 (__TEXT,__text) external __getutxent
0000000180233a30 (__TEXT,__text) non-external __getutxent.cold.1
0000000180233a68 (__TEXT,__text) non-external __getutxent.cold.2
0000000180223480 (__TEXT,__text) external __getutxid
0000000180233aa0 (__TEXT,__text) non-external __getutxid.cold.1
0000000180233ad8 (__TEXT,__text) non-external __getutxid.cold.2
0000000180223640 (__TEXT,__text) external __getutxline
0000000180233b10 (__TEXT,__text) non-external __getutxline.cold.1
0000000180233b48 (__TEXT,__text) non-external __getutxline.cold.2
00000001801f2b98 (__TEXT,__text) external __inet_aton_check
00000001801c1ce4 (__TEXT,__text) external __init_clock_port
000000018020f558 (__TEXT,__text) external __int_to_time
00000001802161fc (__TEXT,__text) non-external __isort
0000000180216d38 (__TEXT,__text) non-external __isort
00000001802185ac (__TEXT,__text) non-external __legacy_crt1_environ
00000001eb742c88 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00000001eb742c80 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00000001eb742c78 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00000001801cbb78 (__TEXT,__text) external __libc_fork_child
00000001801cbed0 (__TEXT,__text) non-external (was a private external) __libc_fork_init
00000001801cbad0 (__TEXT,__text) external __libc_initializer
000000018020f550 (__TEXT,__text) external __long_to_time
00000001801bc1dc (__TEXT,__text) non-external __mach_boottime_usec
00000001eb742cb8 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
00000001801f9914 (__TEXT,__text) non-external __mkdtemp_action
00000001801cc058 (__TEXT,__text) non-external __mkfilex_np
00000001801f9670 (__TEXT,__text) non-external __mkostemps_action
00000001801ca9dc (__TEXT,__text) non-external __mkpath
00000001801ca9c8 (__TEXT,__text) external __mkpath_np
00000001801f9b0c (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00000001802330b0 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00000001801f9994 (__TEXT,__text) external __mktemp
00000001801f99e8 (__TEXT,__text) non-external __mktemp_action
00000001801eeb10 (__TEXT,__text) non-external (was a private external) __none_init
00000001801eeb74 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00000001801eeba4 (__TEXT,__text) non-external (was a private external) __none_mbsinit
00000001801eebac (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00000001801eec50 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00000001801eec8c (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00000001df325750 (__DATA,__bss) non-external __onlyClocaleconv
00000001801c3e48 (__TEXT,__text) external __openutx
00000001801cd8bc (__TEXT,__text) non-external __os_abort_on_assumes
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
0000000180232070 (__TEXT,__text) external __os_assert_log
00000001802324ec (__TEXT,__text) external __os_assert_log_ctx
0000000180231e10 (__TEXT,__text) external __os_assumes_log
00000001802322b8 (__TEXT,__text) external __os_assumes_log_ctx
00000001801cd7c8 (__TEXT,__text) external __os_avoid_tail_call
0000000180231da0 (__TEXT,__text) external __os_crash
00000001df325ae8 (__DATA,__common) external __os_crash_callback
00000001801cd724 (__TEXT,__text) external __os_crash_fmt
0000000180232708 (__TEXT,__text) non-external __os_crash_fmt.cold.1
0000000180231b88 (__TEXT,__text) external __os_debug_log
0000000180231a74 (__TEXT,__text) external __os_debug_log_error_str
00000001801c3ffc (__TEXT,__text) non-external __os_debug_log_init
00000001801c41e8 (__TEXT,__text) non-external __os_debug_log_open_file
00000001801c3f6c (__TEXT,__text) non-external __os_debug_log_write_error
                 (undefined) external __os_log_pack_fill (from libsystem_trace)
                 (undefined) external __os_log_pack_size (from libsystem_trace)
00000001801cd7cc (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_once (from libsystem_platform)
00000001802185e0 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
0000000180218744 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
0000000180218694 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00000001eed6d590 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
00000001802380dd (__TEXT,__cstring) non-external __printf_tbl_flags
00000001801cbe90 (__TEXT,__text) non-external (was a private external) __program_vars_init
000000018021c868 (__TEXT,__text) non-external __psort
000000018021d3a4 (__TEXT,__text) non-external __psort
000000018021dfb0 (__TEXT,__text) non-external __psort
00000001802335d4 (__TEXT,__text) non-external __psort.cold.1
0000000180233624 (__TEXT,__text) non-external __psort.cold.1
0000000180233674 (__TEXT,__text) non-external __psort.cold.1
000000018021c7fc (__TEXT,__text) non-external __psort_parallel
000000018021d338 (__TEXT,__text) non-external __psort_parallel
000000018021df40 (__TEXT,__text) non-external __psort_parallel
00000001802157c0 (__TEXT,__text) external __putenvp
0000000180223748 (__TEXT,__text) external __pututxline
0000000180233b80 (__TEXT,__text) non-external __pututxline.cold.1
0000000180233bb8 (__TEXT,__text) non-external __pututxline.cold.2
00000001801c2ab4 (__TEXT,__text) non-external __pwuid_r
0000000180215954 (__TEXT,__text) non-external __qsort
0000000180216424 (__TEXT,__text) non-external __qsort
00000001df323d58 (__DATA,__data) external __rand48_add
00000001df323d50 (__DATA,__data) external __rand48_mult
00000001df323d48 (__DATA,__data) external __rand48_seed
00000001801e5da8 (__TEXT,__text) external __readdir_unlocked
00000001801e80b8 (__TEXT,__text) external __reclaim_telldir
00000001801c73c0 (__TEXT,__text) non-external __releaselocale
00000001802361c4 (__TEXT,__const) non-external (was a private external) __rp_alist
00000001eb744598 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
00000001801e7fb0 (__TEXT,__text) external __seekdir
0000000180218d58 (__TEXT,__text) external __setenvp
0000000180222fe4 (__TEXT,__text) external __setutxent
0000000180233950 (__TEXT,__text) non-external __setutxent.cold.1
0000000180233988 (__TEXT,__text) non-external __setutxent.cold.2
00000001801cc614 (__TEXT,__text) external __sigaction_nobind
00000001df325b18 (__DATA,__common) external __sigintr
00000001801e728c (__TEXT,__text) external __signal_nobind
00000001801bbd68 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_asl_msg_set (from libsystem_platform)
                 (undefined) external __simple_asl_send (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00000001801e6fe8 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00000001801fca24 (__TEXT,__text) external __sread
00000001801fcb50 (__TEXT,__text) external __sseek
000000018020c63c (__TEXT,__text) non-external (was a private external) __st_fmt
00000001801c99b4 (__TEXT,__text) non-external (was a private external) __st_get_timezone
000000018020a54c (__TEXT,__text) non-external (was a private external) __st_localsub
00000001801c99c0 (__TEXT,__text) non-external (was a private external) __st_set_timezone
000000018020b020 (__TEXT,__text) non-external (was a private external) __st_time1
0000000180208f8c (__TEXT,__text) non-external (was a private external) __st_tzset_basic
0000000180223dac (__TEXT,__text) non-external __strfmon
000000018020d7cc (__TEXT,__text) non-external __strptime0
0000000180236024 (__TEXT,__const) non-external __strptime0.start_of_month
00000001801c9274 (__TEXT,__text) external __subsystem_init
00000001801fca90 (__TEXT,__text) external __swrite
00000001801c2738 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
000000018020f538 (__TEXT,__text) external __time32_to_time
000000018020f544 (__TEXT,__text) external __time64_to_time
000000018020f554 (__TEXT,__text) external __time_to_int
000000018020f54c (__TEXT,__text) external __time_to_long
000000018020f540 (__TEXT,__text) external __time_to_time32
000000018020f548 (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
0000000180218de8 (__TEXT,__text) external __unsetenvp
00000001801c3d18 (__TEXT,__text) non-external (was a private external) __utmpx32_64
00000001801c3db0 (__TEXT,__text) non-external (was a private external) __utmpx64_32
00000001801c2d1c (__TEXT,__text) non-external (was a private external) __utmpx_asl
00000001802362a2 (__TEXT,__const) non-external (was a private external) __utmpx_vers
00000001801c3110 (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00000001df324fc0 (__DATA,__bss) non-external __utmpx_working_copy.idzero
0000000180223be0 (__TEXT,__text) external __utmpxname
0000000180233bf0 (__TEXT,__text) non-external __utmpxname.cold.1
0000000180233c28 (__TEXT,__text) non-external __utmpxname.cold.2
00000001801fd53c (__TEXT,__text) non-external (was a private external) __vasprintf
00000001801fd6dc (__TEXT,__text) non-external (was a private external) __vdprintf
0000000180207be4 (__TEXT,__text) non-external (was a private external) __vsnprintf
000000018020d514 (__TEXT,__text) non-external __yconv
000000018021315c (__TEXT,__text) external _a64l
0000000180234d10 (__TEXT,__const) non-external _a64toi
00000001802333d8 (__TEXT,__text) external _abort
0000000180233504 (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
0000000180213228 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00000001801c7f98 (__TEXT,__text) external _acl_add_flag_np
00000001801c80d0 (__TEXT,__text) external _acl_add_perm
00000001801c7780 (__TEXT,__text) external _acl_calc_mask
00000001801c7fac (__TEXT,__text) external _acl_clear_flags_np
00000001801c811c (__TEXT,__text) external _acl_clear_perms
00000001801c77a4 (__TEXT,__text) external _acl_copy_entry
00000001801c8348 (__TEXT,__text) external _acl_copy_ext
00000001801c84a4 (__TEXT,__text) external _acl_copy_ext_native
00000001801c8584 (__TEXT,__text) external _acl_copy_int
00000001801c864c (__TEXT,__text) external _acl_copy_int_native
00000001801c7908 (__TEXT,__text) external _acl_create_entry
00000001801c7824 (__TEXT,__text) external _acl_create_entry_np
00000001801c7f74 (__TEXT,__text) external _acl_delete_def_file
00000001801c7910 (__TEXT,__text) external _acl_delete_entry
00000001801c7c68 (__TEXT,__text) external _acl_delete_fd_np
00000001801c7c8c (__TEXT,__text) external _acl_delete_file_np
00000001801c7fb8 (__TEXT,__text) external _acl_delete_flag_np
00000001801c7cb0 (__TEXT,__text) external _acl_delete_link_np
00000001801c8128 (__TEXT,__text) external _acl_delete_perm
00000001801c75a0 (__TEXT,__text) external _acl_dup
00000001e5915fb8 (__DATA_CONST,__const) non-external _acl_flags
00000001801c761c (__TEXT,__text) external _acl_free
00000001801c8704 (__TEXT,__text) external _acl_from_text
00000001801c7a0c (__TEXT,__text) external _acl_get_entry
00000001801c7cd4 (__TEXT,__text) external _acl_get_fd
00000001801c7cdc (__TEXT,__text) external _acl_get_fd_np
00000001801c7d64 (__TEXT,__text) external _acl_get_file
00000001801c7d6c (__TEXT,__text) non-external _acl_get_file1
00000001801c7fcc (__TEXT,__text) external _acl_get_flag_np
00000001801c7fdc (__TEXT,__text) external _acl_get_flagset_np
00000001801c7e10 (__TEXT,__text) external _acl_get_link_np
00000001801c8174 (__TEXT,__text) external _acl_get_perm_np
00000001801c81b8 (__TEXT,__text) external _acl_get_permset
00000001801c8284 (__TEXT,__text) external _acl_get_permset_mask_np
00000001801c7abc (__TEXT,__text) external _acl_get_qualifier
00000001801c7b3c (__TEXT,__text) external _acl_get_tag_type
00000001801c7644 (__TEXT,__text) external _acl_init
00000001801c8270 (__TEXT,__text) external _acl_maximal_permset_mask_np
00000001e5916078 (__DATA_CONST,__const) non-external _acl_perms
00000001801c7e90 (__TEXT,__text) external _acl_set_fd
00000001801c7e18 (__TEXT,__text) external _acl_set_fd_np
00000001801c7e94 (__TEXT,__text) external _acl_set_file
00000001801c8054 (__TEXT,__text) external _acl_set_flagset_np
00000001801c7f0c (__TEXT,__text) external _acl_set_link_np
00000001801c8214 (__TEXT,__text) external _acl_set_permset
00000001801c82e0 (__TEXT,__text) external _acl_set_permset_mask_np
00000001801c7b98 (__TEXT,__text) external _acl_set_qualifier
00000001801c7c04 (__TEXT,__text) external _acl_set_tag_type
00000001801c8438 (__TEXT,__text) external _acl_size
00000001801c8d38 (__TEXT,__text) external _acl_to_text
00000001801c76c4 (__TEXT,__text) external _acl_valid
00000001801c7714 (__TEXT,__text) external _acl_valid_fd_np
00000001801c7738 (__TEXT,__text) external _acl_valid_file_np
00000001801c775c (__TEXT,__text) external _acl_valid_link
00000001801e6ef0 (__TEXT,__text) non-external _addcmd
00000001801f29d8 (__TEXT,__text) external _addr2ascii
00000001df325938 (__DATA,__bss) non-external _addr2ascii.staticbuf
00000001801c0c10 (__TEXT,__text) non-external _advance_directory
0000000180231a5c (__TEXT,__text) non-external _advance_directory.cold.1
00000001801df060 (__TEXT,__text) external _alarm
00000001801d1f68 (__TEXT,__text) non-external _alloc_segs
00000001801e67b4 (__TEXT,__text) external _alphasort
0000000180236114 (__TEXT,__const) non-external _ambig
00000001801df14c (__TEXT,__text) non-external _arc4_init
00000001801df0c4 (__TEXT,__text) external _arc4random
00000001801df0c0 (__TEXT,__text) external _arc4random_addrandom
00000001801df100 (__TEXT,__text) external _arc4random_buf
00000001801df22c (__TEXT,__text) external _arc4random_stir
00000001801df230 (__TEXT,__text) external _arc4random_uniform
00000001df325aa0 (__DATA,__bss) non-external _arg_type_queue
0000000180221790 (__TEXT,__text) non-external (was a private external) _arrayfree
0000000180222124 (__TEXT,__text) non-external _arrayget
00000001801f2aa0 (__TEXT,__text) external _ascii2addr
0000000180208d04 (__TEXT,__text) external _asctime
0000000180208bb8 (__TEXT,__text) external _asctime_r
0000000180235f67 (__TEXT,__const) non-external _asctime_r.mon_name
0000000180235f52 (__TEXT,__const) non-external _asctime_r.wday_name
                 (undefined) external _asl_append (from libsystem_asl)
                 (undefined) external _asl_get (from libsystem_asl)
                 (undefined) external _asl_match (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_next (from libsystem_asl)
                 (undefined) external _asl_open (from libsystem_asl)
                 (undefined) external _asl_release (from libsystem_asl)
                 (undefined) external _asl_send (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asl_set_query (from libsystem_asl)
00000001801f5948 (__TEXT,__text) external _asprintf
00000001801f599c (__TEXT,__text) external _asprintf_l
00000001801c99cc (__TEXT,__text) external _asxprintf
00000001801ca34c (__TEXT,__text) external _asxprintf_exec
000000018021327c (__TEXT,__text) external _atexit
00000001802133cc (__TEXT,__text) external _atexit_b
00000001eb741a20 (__DATA_DIRTY,__data) non-external _atexit_mutex
00000001802132c4 (__TEXT,__text) non-external _atexit_register
0000000180233554 (__TEXT,__text) non-external _atexit_register.cold.1
00000001802136a8 (__TEXT,__text) external _atof
00000001802136d4 (__TEXT,__text) external _atof_l
00000001802136e0 (__TEXT,__text) external _atoi
0000000180213724 (__TEXT,__text) external _atoi_l
0000000180213748 (__TEXT,__text) external _atol
0000000180213778 (__TEXT,__text) external _atol_l
0000000180213788 (__TEXT,__text) external _atoll
00000001802137b8 (__TEXT,__text) external _atoll_l
00000001801bca18 (__TEXT,__text) external _backtrace
00000001801bca70 (__TEXT,__text) external _backtrace_from_fp
00000001801bcec0 (__TEXT,__text) external _backtrace_image_offsets
00000001801bcad4 (__TEXT,__text) external _backtrace_symbols
00000001801bcde0 (__TEXT,__text) external _backtrace_symbols_fd
00000001801df36c (__TEXT,__text) external _basename
00000001eb742cf8 (__DATA_DIRTY,__bss) non-external _basename.bname
00000001801df28c (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00000001801c54c4 (__TEXT,__text) external _bcopy
0000000180235def (__TEXT,__const) non-external _blanks
0000000180235eb0 (__TEXT,__const) non-external _blanks
00000001df3240fc (__DATA,__data) non-external _blanks
                 (undefined) external _bootstrap_parent (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
00000001801c1f54 (__TEXT,__text) non-external _both_ftw
00000001df324f48 (__DATA,__bss) non-external _brapreg
00000001801bc678 (__TEXT,__text) external _brk
00000001801bc69c (__TEXT,__text) external _bsd_signal
00000001802137c8 (__TEXT,__text) external _bsearch
0000000180213848 (__TEXT,__text) external _bsearch_b
00000001801d105c (__TEXT,__text) non-external _bt_broot
00000001801d0d84 (__TEXT,__text) non-external _bt_page
00000001801d11c8 (__TEXT,__text) non-external _bt_preserve
00000001801d1220 (__TEXT,__text) non-external _bt_psplit
00000001801d0ca0 (__TEXT,__text) non-external _bt_root
00000001801d0f44 (__TEXT,__text) non-external _bt_rroot
00000001801ea620 (__TEXT,__text) external _btowc
00000001801ea568 (__TEXT,__text) external _btowc_l
00000001df323a70 (__DATA,__data) non-external _buf_asctime
00000001801fac44 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
0000000180234ca8 (__TEXT,__const) non-external (was a private external) _cVersionNumber
0000000180234c80 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
00000001801f57a8 (__TEXT,__text) external _catclose
00000001e5916518 (__DATA_CONST,__const) non-external _categories
00000001801f547c (__TEXT,__text) external _catgets
00000001801f4dd8 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
00000001801e82bc (__TEXT,__text) external _cfgetispeed
00000001801e82b4 (__TEXT,__text) external _cfgetospeed
