00007ffb0013a2f2 (__TEXT,__text) non-external _DiToMD5
00007ffb0014746e (__TEXT,__text) external __ZN12IOUserClient15AsyncCompletionEP8OSActioniPKyjPFiP15OSMetaClassBase5IORPCE
00007ffb00147a30 (__TEXT,__text) external __ZN12IOUserClient15_ExternalMethodEyPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS3_S5_P8OSActionPFiP15OSMetaClassBase5IORPCE
00007ffb00127c02 (__TEXT,__text) external __ZN12IOUserClient20_ExternalMethod_ImplEyPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS3_S5_P8OSAction
00007ffb00147cd4 (__TEXT,__text) external __ZN12IOUserClient22AsyncCompletion_InvokeE5IORPCP15OSMetaClassBasePFvS2_P8OSActioniPKyjE
00007ffb00147ce0 (__TEXT,__text) external __ZN12IOUserClient22AsyncCompletion_InvokeE5IORPCP15OSMetaClassBasePFvS2_P8OSActioniPKyjEPK11OSMetaClass
00007ffb001478c2 (__TEXT,__text) external __ZN12IOUserClient22CopyClientEntitlementsEPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb0014723c (__TEXT,__text) external __ZN12IOUserClient22_ExternalMethod_InvokeE5IORPCP15OSMetaClassBasePFiS2_yPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS6_S8_P8OSActionE
00007ffb001475b0 (__TEXT,__text) external __ZN12IOUserClient23CopyClientMemoryForTypeEyPyPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb00127a8c (__TEXT,__text) external __ZN12IOUserClient27CopyClientEntitlements_ImplEPP12OSDictionary
00007ffb00147c6a (__TEXT,__text) external __ZN12IOUserClient28CreateActionKernelCompletionEmPP8OSAction
00007ffb001471a4 (__TEXT,__text) external __ZN12IOUserClient29CopyClientEntitlements_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
00007ffb00147d86 (__TEXT,__text) external __ZN12IOUserClient30CopyClientMemoryForType_InvokeE5IORPCP15OSMetaClassBasePFiS2_yPyPP18IOMemoryDescriptorE
00007ffb0014773e (__TEXT,__text) external __ZN12IOUserClient32CreateMemoryDescriptorFromClientEyjPK16IOAddressSegmentPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb00147e0c (__TEXT,__text) external __ZN12IOUserClient39CreateMemoryDescriptorFromClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_yjPK16IOAddressSegmentPP18IOMemoryDescriptorE
00007ffb0012741c (__TEXT,__text) external __ZN12IOUserClient4freeEv
00007ffb00127364 (__TEXT,__text) external __ZN12IOUserClient4initEv
00007ffb0014709a (__TEXT,__text) external __ZN12IOUserClient8DispatchE5IORPC
00007ffb001470a4 (__TEXT,__text) external __ZN12IOUserClient9_DispatchEPS_5IORPC
00007ffb00148598 (__TEXT,__text) external __ZN12IOUserServer10LoadModuleEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb001480de (__TEXT,__text) external __ZN12IOUserServer11Exit_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb0014870a (__TEXT,__text) external __ZN12IOUserServer13Create_InvokeE5IORPCPFiPKcyyP8OSStringPPS_E
00007ffb00124686 (__TEXT,__text) external __ZN12IOUserServer15LoadModule_ImplEPKc
00007ffb00148192 (__TEXT,__text) external __ZN12IOUserServer17LoadModule_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb00148426 (__TEXT,__text) external __ZN12IOUserServer4ExitEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb00124622 (__TEXT,__text) external __ZN12IOUserServer4freeEv
00007ffb00124612 (__TEXT,__text) external __ZN12IOUserServer4initEv
00007ffb00148268 (__TEXT,__text) external __ZN12IOUserServer6CreateEPKcyyP8OSStringPPS_
00007ffb00147f8c (__TEXT,__text) external __ZN12IOUserServer8DispatchE5IORPC
00007ffb0012466c (__TEXT,__text) external __ZN12IOUserServer9Exit_ImplEPKc
00007ffb00147f96 (__TEXT,__text) external __ZN12IOUserServer9_DispatchEPS_5IORPC
00007ffb0012d6aa (__TEXT,__text) external __ZN12OSDictionary11withObjectsEPPK8OSObjectS3_jj
00007ffb0012d80a (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPK8OSObject
00007ffb0012d818 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPKc
00007ffb0012d6a0 (__TEXT,__text) external __ZN12OSDictionary12withCapacityEj
00007ffb0012d584 (__TEXT,__text) external __ZN12OSDictionary14ensureCapacityEj
00007ffb0012d732 (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
00007ffb0012d594 (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00007ffb0012d652 (__TEXT,__text) external __ZN12OSDictionary4freeEv
00007ffb0012d76c (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
00007ffb0012d722 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
00007ffb0012d7f8 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
00007ffb00128050 (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00007ffb00128362 (__TEXT,__text) external __ZN12OSMappedFile4freeEv
00007ffb00128322 (__TEXT,__text) external __ZN12OSMappedFile4initEv
00007ffb0012e568 (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
00007ffb0012e334 (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
00007ffb0012e4c0 (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
00007ffb0012e4f8 (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
00007ffb0012e3bc (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
00007ffb0012e3a4 (__TEXT,__text) external __ZN12OSOrderedSet4initEv
00007ffb0012e420 (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
00007ffb001285b0 (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
00007ffb00128492 (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
00007ffb00128692 (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
00007ffb00128764 (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
00007ffb0014bb04 (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
00007ffb00128806 (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00007ffb0014bb27 (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00007ffb001284f4 (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00007ffb00128482 (__TEXT,__text) external __ZN13IOCommandPool4initEv
00007ffb00128556 (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00007ffb00139ed8 (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00007ffb00139e80 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00007ffb00139d86 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00007ffb00139d34 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00007ffb00139bb2 (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00007ffb00139d78 (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00007ffb00149c08 (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00007ffb0013d0ae (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00007ffb00122d3a (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00007ffb0013d2a0 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00007ffb00124a7a (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00007ffb00124c0e (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00007ffb0013d22e (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb00122c58 (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00007ffb00124fd0 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00007ffb00124d42 (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00007ffb0014b6a8 (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00007ffb00125044 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00007ffb0014b734 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00007ffb0014b757 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00007ffb00124b76 (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00007ffb00124ba0 (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00007ffb0014b685 (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00007ffb00124a3c (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00007ffb001247e6 (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00007ffb001246c0 (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00007ffb0012503a (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00007ffb00124700 (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00007ffb001242ac (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00007ffb0014b49b (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00007ffb0014b4be (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00007ffb0014b4e1 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00007ffb0014b504 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00007ffb0014b527 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00007ffb0014b54a (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00007ffb0014b56d (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00007ffb0014b590 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00007ffb001250e2 (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00007ffb00122b8e (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00007ffb00122ba0 (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00007ffb0013cf9c (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00007ffb0013cf22 (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00007ffb001250ee (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00007ffb0013cf58 (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00007ffb0013967e (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00007ffb001392fc (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00007ffb00139368 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00007ffb0013976c (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00007ffb001397b4 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00007ffb00139372 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00007ffb0014ca43 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00007ffb00139968 (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00007ffb00139a5c (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00007ffb001394a2 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00007ffb0014ca55 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00007ffb00139a70 (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00007ffb00139a84 (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00007ffb00138c04 (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00007ffb00138c76 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00007ffb001395e6 (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00007ffb00139674 (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00007ffb00149530 (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00007ffb00121568 (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00007ffb00121d2e (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00007ffb00121f40 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00007ffb0014aa60 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00007ffb0014aa83 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00007ffb00121e98 (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00007ffb0014aa21 (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00007ffb00122638 (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00007ffb0014ac58 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00007ffb0014ac7b (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00007ffb0014ac9e (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00007ffb0014acc1 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00007ffb0014ace4 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00007ffb0014ad07 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00007ffb001220b8 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00007ffb0014ab40 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00007ffb0014ab63 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00007ffb0014ab86 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00007ffb0014aba9 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00007ffb0012155e (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00007ffb00121598 (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00007ffb0012ae38 (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00007ffb0012ec84 (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00007ffb0014c406 (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00007ffb0012ec40 (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00007ffb0014c3e3 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00007ffb0012ec2c (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00007ffb0012ec36 (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00007ffb0012ecaa (__TEXT,__text) external __ZN15OSSerialization4freeEv
00007ffb0013d778 (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00007ffb0013da96 (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00007ffb00125220 (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00007ffb0013d462 (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00007ffb0013db82 (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00007ffb0013d634 (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb0013db0a (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00007ffb00125208 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00007ffb001251f8 (__TEXT,__text) external __ZN16IODispatchSource4initEv
00007ffb0013d4f8 (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffb0013d3b0 (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00007ffb0013d956 (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00007ffb0013d3ba (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00007ffb00137d96 (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00007ffb001375a6 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00007ffb00137cc4 (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00007ffb001375c4 (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00007ffb001380ec (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00007ffb0013802e (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00007ffb0014c7ac (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00007ffb00137fbc (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00007ffb0014c793 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00007ffb00138066 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00007ffb0014c7c5 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00007ffb0013812a (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00007ffb00137988 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00007ffb0014c6d3 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00007ffb0014c6ec (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00007ffb0014c70c (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00007ffb0014c733 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00007ffb0014c753 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00007ffb0013763a (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00007ffb0014c5cf (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00007ffb0014c5e8 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00007ffb0014c601 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00007ffb00137c60 (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00007ffb00137b0a (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00007ffb00137588 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00007ffb0013805e (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00007ffb00137bc4 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00007ffb0014c77a (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00007ffb001380ae (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00007ffb001377f6 (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00007ffb0014c613 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00007ffb0014c62c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00007ffb0014c645 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00007ffb0014c665 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00007ffb0014c68c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00007ffb0014c6ac (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00007ffb001375d6 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00007ffb00137a4c (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00007ffb001372f8 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00007ffb001371f2 (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00007ffb00137414 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00007ffb0013740a (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00007ffb00137362 (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00007ffb0014c541 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00007ffb0014c561 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00007ffb0014c588 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00007ffb0014c5a8 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00007ffb00138332 (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00007ffb001381ba (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00007ffb001383c0 (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00007ffb0013822a (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00007ffb001382a4 (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00007ffb00149444 (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00007ffb0014a582 (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00007ffb00148e6c (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00007ffb00148f38 (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00007ffb001494b2 (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00007ffb001495ce (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00007ffb001495fe (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00007ffb00149674 (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00007ffb00149c46 (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00007ffb0013b510 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00007ffb0013fbfe (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00007ffb0013fd60 (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00007ffb00140160 (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00007ffb001401d4 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00007ffb0013fee2 (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
00007ffb0013fff4 (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
00007ffb0014026c (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
00007ffb00140332 (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
00007ffb00125d4e (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
00007ffb0014b88e (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
00007ffb00127078 (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00007ffb00127038 (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
00007ffb0013fb84 (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
00007ffb001270da (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
00007ffb0014b9c9 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
00007ffb0013fbba (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
00007ffb001407d0 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
00007ffb001413a2 (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
00007ffb00149482 (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
00007ffb00138bf8 (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00007ffb00138b1e (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00007ffb00138a98 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
00007ffb0013845c (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb0013850c (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffb001406e0 (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
00007ffb0013dc2e (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
00007ffb0013dd6e (__TEXT,__text) external __ZN20IOEventLinkMetaClass8DispatchE5IORPC
00007ffb0013e83c (__TEXT,__text) external __ZN20IOExtensiblePaniclog10AppendDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffb0013e6f4 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10InsertDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
